Orthogroup	N_naja.pep	X_tropicalis.pep
OG0000014	Nana27150-RA	ENSXETG00000004793.1
OG0000014	Nana24071-RA	ENSXETG00000014395.1, ENSXETG00000009426.1
OG0000014	Nana10429-RA	ENSXETG00000020403.1, ENSXETG00000002851.1
OG0000014	Nana23739-RA	ENSXETG00000005846.1
OG0000014	Nana27153-RA	ENSXETG00000002916.1
OG0000014	Nana30712-RA	ENSXETG00000020261.1
OG0000014	Nana09496-RB	ENSXETG00000014446.1
OG0000015	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA	ENSXETG00000008260.1, ENSXETG00000008214.1
OG0000018	Nana10432-RA	ENSXETG00000004068.1
OG0000018	Nana38984-RA	ENSXETG00000016254.1
OG0000021	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1
OG0000021	Nana09413-RA, Nana09413-RB, Nana09413-RC	ENSXETG00000004084.1
OG0000021	Nana13832-RA, Nana13832-RB	ENSXETG00000004298.1
OG0000021	Nana24863-RA	ENSXETG00000006074.1
OG0000021	Nana24248-RB	ENSXETG00000010941.1
OG0000023	Nana23400-RA	ENSXETG00000015184.1
OG0000027	Nana03933-RA	ENSXETG00000012120.1
OG0000027	Nana03934-RB, Nana03934-RA	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1
OG0000027	Nana27836-RA	ENSXETG00000017890.1, ENSXETG00000020471.1
OG0000027	Nana27543-RA	ENSXETG00000012204.1, ENSXETG00000008972.1
OG0000027	Nana13883-RA	ENSXETG00000004361.1
OG0000027	Nana03933-RB	ENSXETG00000003471.1
OG0000027	Nana09911-RA	ENSXETG00000001989.1
OG0000029	Nana10133-RA, Nana10134-RA, Nana10130-RA, Nana10131-RA	ENSXETG00000001917.1
OG0000029	Nana10387-RA	ENSXETG00000003326.1
OG0000029	Nana10116-RA	ENSXETG00000002021.1, ENSXETG00000002714.1
OG0000031	Nana30921-RA	ENSXETG00000005307.1, ENSXETG00000005319.1, ENSXETG00000005342.1, ENSXETG00000005293.1, ENSXETG00000005399.1, ENSXETG00000005407.1, ENSXETG00000005410.1
OG0000033	Nana25612-RA, Nana25617-RA, Nana25601-RA	ENSXETG00000015963.1
OG0000034	Nana36726-RA	ENSXETG00000001110.1
OG0000034	Nana15765-RA, Nana15763-RA	ENSXETG00000014970.1
OG0000034	Nana16081-RA	ENSXETG00000013453.1
OG0000039	Nana25427-RA	ENSXETG00000011586.1, ENSXETG00000011578.1
OG0000042	Nana15423-RA, Nana15427-RA, Nana15429-RA	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1
OG0000045	Nana30791-RA	ENSXETG00000005669.1, ENSXETG00000005928.1
OG0000050	Nana16983-RA, Nana16985-RA, Nana39960-RA, Nana16988-RA, Nana16986-RA, Nana17000-RA, Nana16988-RB, Nana16990-RA, Nana38885-RA, Nana16995-RA, Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA	ENSXETG00000021048.1
OG0000051	Nana03481-RA, Nana03471-RA	ENSXETG00000019147.1, ENSXETG00000018833.1
OG0000051	Nana22919-RA	ENSXETG00000002390.1
OG0000051	Nana21196-RA	ENSXETG00000001983.1
OG0000051	Nana09998-RA	ENSXETG00000019242.1
OG0000056	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1
OG0000057	Nana20821-RA, Nana20799-RA, Nana20825-RA, Nana20824-RA, Nana20776-RA, Nana20777-RA, Nana20786-RA, Nana20771-RA, Nana20773-RA, Nana20784-RA, Nana20793-RA, Nana20777-RB	ENSXETG00000016809.1
OG0000059	Nana09728-RA	ENSXETG00000002612.1
OG0000059	Nana34355-RA	ENSXETG00000003222.1
OG0000059	Nana05169-RA	ENSXETG00000018409.1
OG0000059	Nana28043-RB, Nana28043-RA, Nana01616-RA, Nana19300-RA	ENSXETG00000016356.1
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1
OG0000062	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA	ENSXETG00000020477.1, ENSXETG00000021248.1
OG0000065	Nana05575-RB, Nana05575-RA, Nana05574-RA	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1
OG0000066	Nana07879-RA	ENSXETG00000003520.1
OG0000067	Nana07313-RA, Nana07307-RA, Nana07305-RA, Nana07304-RA, Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA, Nana07271-RA, Nana07322-RC, Nana07279-RA, Nana07312-RA, Nana07274-RA, Nana07322-RA, Nana07258-RA	ENSXETG00000015118.1, ENSXETG00000006186.1, ENSXETG00000009067.1, ENSXETG00000015105.1, ENSXETG00000000987.1
OG0000069	Nana09934-RA	ENSXETG00000010603.1
OG0000072	Nana35916-RA	ENSXETG00000016641.1
OG0000072	Nana00984-RA	ENSXETG00000016735.1
OG0000073	Nana36370-RA	ENSXETG00000013236.1, ENSXETG00000014295.1
OG0000073	Nana30547-RA, Nana30547-RB	ENSXETG00000008614.1
OG0000073	Nana05770-RA	ENSXETG00000000353.1
OG0000074	Nana11137-RA, Nana11138-RA	ENSXETG00000005506.1
OG0000080	Nana38637-RA, Nana38740-RA, Nana39575-RA, Nana06848-RA, Nana06812-RA, Nana13283-RB, Nana13283-RC, Nana13283-RA, Nana37840-RA, Nana06904-RA, Nana13282-RA, Nana38043-RA, Nana24359-RA, Nana06873-RA, Nana06835-RA, Nana06839-RA, Nana38056-RA, Nana38276-RC, Nana24361-RA, Nana06859-RA, Nana06841-RB, Nana06841-RA, Nana06870-RA, Nana06870-RB, Nana39573-RA, Nana06506-RA, Nana06869-RA, Nana06832-RB, Nana06832-RC, Nana38875-RA, Nana38875-RB, Nana38053-RA, Nana38048-RA, Nana38050-RA, Nana38411-RA, Nana38704-RA, Nana39847-RA, Nana27798-RA, Nana38738-RA, Nana39897-RA, Nana06945-RA, Nana06852-RA, Nana06938-RA, Nana06857-RA, Nana38276-RB, Nana06865-RB, Nana06849-RA, Nana06855-RA, Nana38041-RA, Nana38291-RA	ENSXETG00000007284.1
OG0000081	Nana37639-RA	ENSXETG00000004100.1
OG0000081	Nana37247-RA	ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1
OG0000082	Nana14207-RA	ENSXETG00000011436.1
OG0000083	Nana06622-RA, Nana06624-RA	ENSXETG00000012891.1
OG0000083	Nana00630-RA	ENSXETG00000006371.1, ENSXETG00000006376.1
OG0000085	Nana02961-RA	ENSXETG00000001562.1
OG0000085	Nana32101-RD	ENSXETG00000009001.1
OG0000085	Nana02958-RA	ENSXETG00000001486.1
OG0000086	Nana13407-RA	ENSXETG00000020194.1, ENSXETG00000001876.1
OG0000086	Nana02319-RA	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1
OG0000087	Nana09343-RA, Nana09343-RB	ENSXETG00000005882.1
OG0000087	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA	ENSXETG00000019782.1
OG0000087	Nana27331-RA	ENSXETG00000011830.1
OG0000087	Nana23710-RA	ENSXETG00000015761.1
OG0000090	Nana31033-RB, Nana31033-RA, Nana31033-RC, Nana31027-RA	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1
OG0000091	Nana30970-RA	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1
OG0000092	Nana32804-RA, Nana32804-RB	ENSXETG00000018099.1
OG0000093	Nana27045-RA	ENSXETG00000021066.1
OG0000093	Nana14174-RA	ENSXETG00000012846.1
OG0000093	Nana10674-RA	ENSXETG00000005871.1
OG0000094	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA	ENSXETG00000000896.1
OG0000095	Nana09550-RA, Nana09552-RA	ENSXETG00000005045.1, ENSXETG00000015661.1
OG0000099	Nana20229-RA	ENSXETG00000001208.1
OG0000099	Nana02215-RA	ENSXETG00000013697.1
OG0000099	Nana24836-RA	ENSXETG00000004436.1
OG0000100	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA	ENSXETG00000019033.1, ENSXETG00000018055.1
OG0000101	Nana10097-RA, Nana10097-RB, Nana10097-RC	ENSXETG00000020222.1
OG0000101	Nana03073-RA, Nana03073-RB	ENSXETG00000002189.1
OG0000101	Nana21110-RA	ENSXETG00000008691.1, ENSXETG00000007676.1
OG0000102	Nana04405-RA, Nana27661-RA	ENSXETG00000004528.1
OG0000106	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA	ENSXETG00000004466.1
OG0000106	Nana03353-RD, Nana03353-RC, Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG	ENSXETG00000017121.1
OG0000108	Nana34378-RB, Nana34378-RA	ENSXETG00000004931.1, ENSXETG00000005033.1
OG0000108	Nana34377-RA, Nana34376-RA	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1
OG0000109	Nana22436-RA, Nana06305-RA, Nana21461-RA	ENSXETG00000007832.1
OG0000110	Nana35843-RA, Nana05423-RA	ENSXETG00000002348.1
OG0000110	Nana05425-RA, Nana00887-RA	ENSXETG00000013548.1
OG0000111	Nana17605-RA, Nana17605-RB	ENSXETG00000007548.1
OG0000111	Nana32413-RA, Nana26179-RA	ENSXETG00000000914.1
OG0000111	Nana08966-RA	ENSXETG00000017510.1
OG0000112	Nana22728-RA	ENSXETG00000008621.1
OG0000113	Nana02416-RA, Nana02420-RA, Nana02419-RA	ENSXETG00000021352.1
OG0000115	Nana24320-RA, Nana24321-RA, Nana24323-RA	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1
OG0000115	Nana15378-RA	ENSXETG00000002691.1
OG0000116	Nana23099-RA	ENSXETG00000003024.1
OG0000116	Nana23092-RA, Nana23093-RA, Nana23093-RB	ENSXETG00000002922.1
OG0000118	Nana30571-RA	ENSXETG00000000892.1
OG0000118	Nana30570-RA, Nana30515-RA	ENSXETG00000000902.1
OG0000119	Nana30054-RA	ENSXETG00000008731.1
OG0000119	Nana07708-RA	ENSXETG00000012191.1
OG0000119	Nana24627-RA, Nana02918-RA	ENSXETG00000001974.1
OG0000120	Nana23740-RA, Nana23738-RA, Nana24316-RA, Nana24308-RA, Nana27152-RA	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1
OG0000126	Nana11693-RA, Nana11693-RB	ENSXETG00000018540.1
OG0000126	Nana11690-RA	ENSXETG00000021190.1
OG0000129	Nana13746-RA	ENSXETG00000010610.1
OG0000129	Nana16117-RA	ENSXETG00000020896.1
OG0000129	Nana30228-RA	ENSXETG00000018955.1
OG0000129	Nana30225-RA, Nana01987-RA	ENSXETG00000020932.1
OG0000130	Nana36269-RA, Nana33055-RA	ENSXETG00000005046.1
OG0000131	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB	ENSXETG00000005085.1
OG0000134	Nana13327-RA	ENSXETG00000017896.1
OG0000136	Nana25848-RA	ENSXETG00000021421.1
OG0000136	Nana01675-RA, Nana01675-RB	ENSXETG00000010463.1
OG0000136	Nana30115-RA	ENSXETG00000013406.1
OG0000136	Nana32194-RC, Nana32194-RA, Nana32194-RB	ENSXETG00000009967.1
OG0000137	Nana21626-RB, Nana21626-RA	ENSXETG00000008151.1
OG0000137	Nana03410-RA, Nana03410-RB	ENSXETG00000011177.1
OG0000138	Nana21262-RA	ENSXETG00000013594.1
OG0000138	Nana08323-RA, Nana03937-RA, Nana03939-RA	ENSXETG00000003380.1
OG0000140	Nana08095-RA, Nana26831-RA, Nana23487-RA, Nana22120-RA, Nana22339-RA	ENSXETG00000014286.1
OG0000143	Nana28454-RA	ENSXETG00000000948.1, ENSXETG00000005553.1
OG0000143	Nana18923-RA, Nana18922-RA	ENSXETG00000020664.1
OG0000143	Nana18920-RA	ENSXETG00000019731.1
OG0000145	Nana08336-RA	ENSXETG00000017104.1, ENSXETG00000001363.1
OG0000146	Nana23491-RA	ENSXETG00000016291.1, ENSXETG00000016341.1, ENSXETG00000010028.1
OG0000146	Nana23497-RA, Nana23499-RA	ENSXETG00000010005.1, ENSXETG00000009719.1, ENSXETG00000009980.1, ENSXETG00000009594.1, ENSXETG00000009946.1, ENSXETG00000009921.1, ENSXETG00000009738.1, ENSXETG00000009419.1, ENSXETG00000009233.1, ENSXETG00000009516.1, ENSXETG00000009119.1
OG0000147	Nana19440-RA	ENSXETG00000018873.1
OG0000147	Nana18452-RA	ENSXETG00000004690.1
OG0000147	Nana09013-RA	ENSXETG00000012866.1
OG0000147	Nana28363-RA	ENSXETG00000002709.1
OG0000149	Nana30761-RA, Nana30762-RA	ENSXETG00000009281.1
OG0000149	Nana01559-RA	ENSXETG00000008787.1
OG0000149	Nana04942-RA	ENSXETG00000008935.1
OG0000150	Nana34190-RB, Nana34190-RA, Nana34186-RA, Nana34187-RB, Nana34187-RA	ENSXETG00000008789.1
OG0000151	Nana14459-RA, Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA	ENSXETG00000014196.1, ENSXETG00000014180.1, ENSXETG00000013814.1, ENSXETG00000014192.1, ENSXETG00000014225.1, ENSXETG00000013556.1
OG0000153	Nana11108-RA, Nana30407-RA	ENSXETG00000013593.1
OG0000154	Nana21272-RA	ENSXETG00000014539.1
OG0000154	Nana03716-RA	ENSXETG00000008186.1
OG0000155	Nana27596-RB, Nana27596-RA	ENSXETG00000016250.1
OG0000155	Nana27598-RA, Nana27600-RA	ENSXETG00000016171.1
OG0000156	Nana04038-RA, Nana04034-RA, Nana04040-RA, Nana04043-RA, Nana04035-RA, Nana04045-RA, Nana02904-RA	ENSXETG00000004141.1
OG0000157	Nana22164-RA	ENSXETG00000008491.1, ENSXETG00000005461.1, ENSXETG00000005750.1, ENSXETG00000017191.1, ENSXETG00000005007.1, ENSXETG00000000214.1, ENSXETG00000020365.1, ENSXETG00000003635.1, ENSXETG00000000155.1, ENSXETG00000012406.1, ENSXETG00000015726.1, ENSXETG00000012393.1, ENSXETG00000021001.1, ENSXETG00000014503.1, ENSXETG00000009360.1, ENSXETG00000014248.1, ENSXETG00000008020.1, ENSXETG00000009216.1, ENSXETG00000010931.1, ENSXETG00000017805.1, ENSXETG00000019058.1, ENSXETG00000005853.1, ENSXETG00000013480.1, ENSXETG00000013566.1, ENSXETG00000003169.1, ENSXETG00000020658.1, ENSXETG00000008966.1, ENSXETG00000011018.1, ENSXETG00000006215.1, ENSXETG00000018584.1, ENSXETG00000016025.1, ENSXETG00000012486.1, ENSXETG00000007206.1, ENSXETG00000014880.1, ENSXETG00000003405.1, ENSXETG00000013969.1, ENSXETG00000016234.1, ENSXETG00000016226.1
OG0000158	Nana36405-RA, Nana10438-RA	ENSXETG00000001031.1
OG0000158	Nana37069-RA, Nana37069-RB	ENSXETG00000015274.1
OG0000158	Nana39299-RA	ENSXETG00000001026.1
OG0000159	Nana35151-RA, Nana35150-RA, Nana35148-RA	ENSXETG00000008449.1, ENSXETG00000008452.1
OG0000160	Nana06954-RA	ENSXETG00000008293.1, ENSXETG00000008355.1
OG0000162	Nana01233-RA	ENSXETG00000010611.1
OG0000162	Nana01232-RB	ENSXETG00000000714.1, ENSXETG00000000377.1
OG0000162	Nana01383-RB, Nana01383-RC, Nana01383-RA, Nana35924-RA	ENSXETG00000010146.1
OG0000163	Nana10880-RA	ENSXETG00000019027.1
OG0000163	Nana11460-RA, Nana14489-RA	ENSXETG00000000198.1
OG0000164	Nana02902-RA, Nana02891-RB, Nana02893-RA, Nana02894-RB, Nana02894-RA, Nana02901-RA, Nana02890-RD, Nana02890-RC, Nana02890-RB	ENSXETG00000010838.1, ENSXETG00000010758.1, ENSXETG00000003168.1, ENSXETG00000020731.1, ENSXETG00000010802.1, ENSXETG00000016734.1, ENSXETG00000010778.1, ENSXETG00000002971.1, ENSXETG00000017014.1, ENSXETG00000016672.1, ENSXETG00000016626.1, ENSXETG00000002947.1, ENSXETG00000011170.1, ENSXETG00000010892.1, ENSXETG00000011241.1
OG0000169	Nana16688-RB, Nana16688-RC, Nana16688-RA	ENSXETG00000003385.1
OG0000169	Nana29768-RA	ENSXETG00000019135.1
OG0000169	Nana13679-RA	ENSXETG00000014902.1
OG0000171	Nana17788-RA, Nana17787-RA	ENSXETG00000002725.1
OG0000171	Nana17789-RA	ENSXETG00000002747.1, ENSXETG00000008984.1, ENSXETG00000002772.1, ENSXETG00000002585.1, ENSXETG00000001584.1
OG0000172	Nana08296-RA, Nana14058-RA	ENSXETG00000003587.1
OG0000172	Nana27786-RA	ENSXETG00000019930.1
OG0000172	Nana10639-RA	ENSXETG00000009655.1
OG0000174	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD	ENSXETG00000013730.1
OG0000174	Nana27734-RA	ENSXETG00000020300.1
OG0000174	Nana39652-RA, Nana39652-RB, Nana08485-RD, Nana08485-RC, Nana08485-RB	ENSXETG00000009711.1
OG0000179	Nana19279-RA, Nana19294-RA, Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA	ENSXETG00000010826.1
OG0000181	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA	ENSXETG00000015307.1, ENSXETG00000016035.1
OG0000183	Nana14703-RA	ENSXETG00000016403.1
OG0000183	Nana24962-RA	ENSXETG00000015211.1
OG0000183	Nana28668-RA, Nana28665-RA	ENSXETG00000007683.1
OG0000184	Nana12380-RA	ENSXETG00000016856.1
OG0000184	Nana33040-RA	ENSXETG00000017083.1
OG0000184	Nana36072-RA	ENSXETG00000015623.1
OG0000184	Nana06340-RA	ENSXETG00000016639.1
OG0000185	Nana21120-RA	ENSXETG00000010784.1
OG0000185	Nana08360-RA	ENSXETG00000018795.1
OG0000185	Nana10173-RA	ENSXETG00000006389.1
OG0000186	Nana18448-RA	ENSXETG00000006246.1
OG0000186	Nana19444-RA	ENSXETG00000021374.1
OG0000186	Nana09006-RA	ENSXETG00000020407.1
OG0000187	Nana02631-RA	ENSXETG00000009907.1
OG0000187	Nana14009-RA	ENSXETG00000018919.1
OG0000187	Nana08636-RA	ENSXETG00000015187.1, ENSXETG00000017358.1
OG0000188	Nana10451-RA, Nana10448-RA, Nana10449-RA	ENSXETG00000013051.1, ENSXETG00000000926.1, ENSXETG00000000905.1, ENSXETG00000011284.1, ENSXETG00000011305.1, ENSXETG00000011432.1, ENSXETG00000011340.1, ENSXETG00000011354.1, ENSXETG00000011380.1, ENSXETG00000011400.1, ENSXETG00000011330.1, ENSXETG00000011410.1
OG0000193	Nana34739-RA, Nana34739-RB	ENSXETG00000019382.1
OG0000194	Nana04300-RA	ENSXETG00000000522.1
OG0000194	Nana23580-RB, Nana23580-RA	ENSXETG00000007481.1
OG0000194	Nana13959-RA	ENSXETG00000010792.1
OG0000196	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA	ENSXETG00000010133.1
OG0000197	Nana18220-RA	ENSXETG00000000704.1
OG0000197	Nana09163-RA	ENSXETG00000007896.1
OG0000197	Nana25443-RA	ENSXETG00000002827.1
OG0000197	Nana32135-RA	ENSXETG00000021187.1
OG0000198	Nana29992-RA	ENSXETG00000010403.1
OG0000198	Nana17024-RD, Nana17024-RB	ENSXETG00000017810.1
OG0000199	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC	ENSXETG00000009721.1
OG0000199	Nana30635-RA	ENSXETG00000007730.1
OG0000199	Nana36358-RA	ENSXETG00000009444.1
OG0000200	Nana11623-RA	ENSXETG00000012495.1
OG0000200	Nana06294-RA	ENSXETG00000005689.1
OG0000201	Nana14043-RA	ENSXETG00000013252.1
OG0000201	Nana10669-RA	ENSXETG00000004668.1
OG0000201	Nana07920-RC	ENSXETG00000017674.1
OG0000202	Nana19477-RA, Nana28348-RA	ENSXETG00000010092.1
OG0000202	Nana19472-RA	ENSXETG00000017325.1
OG0000203	Nana12325-RA	ENSXETG00000018733.1
OG0000203	Nana10784-RA	ENSXETG00000007825.1
OG0000203	Nana14670-RA	ENSXETG00000017823.1
OG0000203	Nana06067-RA	ENSXETG00000015659.1
OG0000204	Nana22989-RJ, Nana22989-RG, Nana22989-RH, Nana22989-RI, Nana22989-RK, Nana22993-RM, Nana22993-RK, Nana22993-RL, Nana22993-RJ, Nana22993-RI, Nana22995-RA, Nana22989-RA, Nana22989-RE, Nana22989-RD, Nana22989-RF, Nana22989-RC, Nana22993-RD, Nana22993-RC, Nana22993-RA, Nana22993-RB, Nana22993-RE, Nana22993-RF, Nana22993-RH, Nana22989-RB, Nana22997-RA, Nana22989-RM	ENSXETG00000005102.1
OG0000205	Nana19313-RA, Nana19312-RA, Nana19314-RA, Nana19315-RA	ENSXETG00000017816.1, ENSXETG00000019929.1, ENSXETG00000019612.1, ENSXETG00000019613.1, ENSXETG00000019129.1, ENSXETG00000019124.1, ENSXETG00000017955.1, ENSXETG00000017259.1
OG0000212	Nana00145-RA	ENSXETG00000013979.1
OG0000212	Nana00135-RA	ENSXETG00000009573.1
OG0000212	Nana34717-RA	ENSXETG00000010843.1, ENSXETG00000006989.1, ENSXETG00000006782.1, ENSXETG00000016178.1, ENSXETG00000016028.1, ENSXETG00000010836.1
OG0000213	Nana26049-RA	ENSXETG00000017448.1
OG0000213	Nana26050-RA, Nana09216-RA, Nana26052-RA, Nana09215-RA	ENSXETG00000006311.1
OG0000214	Nana35941-RA, Nana35936-RA	ENSXETG00000008364.1, ENSXETG00000008358.1, ENSXETG00000008520.1, ENSXETG00000008531.1, ENSXETG00000008517.1
OG0000216	Nana12893-RF, Nana12893-RE, Nana12893-RD, Nana06004-RA	ENSXETG00000015858.1
OG0000217	Nana17917-RA, Nana28484-RA, Nana18823-RA, Nana08830-RA	ENSXETG00000004963.1
OG0000218	Nana19003-RA	ENSXETG00000017842.1
OG0000218	Nana28474-RA	ENSXETG00000018205.1
OG0000219	Nana24213-RB, Nana24213-RA, Nana24211-RA, Nana24210-RA, Nana24209-RA, Nana39539-RA, Nana24208-RA, Nana24207-RA	ENSXETG00000003450.1, ENSXETG00000003411.1, ENSXETG00000003399.1
OG0000220	Nana07784-RA	ENSXETG00000017316.1
OG0000220	Nana07713-RA, Nana07713-RB	ENSXETG00000004282.1
