Orthogroup	N_naja.pep	M_musculus.pep
OG0000031	Nana30920-RC	ENSMUSG00000091867.2, ENSMUSG00000060407.6, ENSMUSG00000074254.4, ENSMUSG00000005547.14
OG0000033	Nana25612-RA	ENSMUSG00000073948.3, ENSMUSG00000047545.5, ENSMUSG00000050085.5
OG0000033	Nana25617-RA	ENSMUSG00000073956.3, ENSMUSG00000051362.2, ENSMUSG00000073954.5, ENSMUSG00000059874.2, ENSMUSG00000073953.4, ENSMUSG00000073914.2, ENSMUSG00000044705.3, ENSMUSG00000051172.7, ENSMUSG00000073915.5, ENSMUSG00000094531.3, ENSMUSG00000096773.4
OG0000033	Nana25601-RA	ENSMUSG00000073931.3, ENSMUSG00000073977.2, ENSMUSG00000073928.5, ENSMUSG00000042909.4, ENSMUSG00000044899.3, ENSMUSG00000073927.6, ENSMUSG00000050266.6, ENSMUSG00000043948.2, ENSMUSG00000073944.6, ENSMUSG00000073943.4, ENSMUSG00000073946.5, ENSMUSG00000073945.2, ENSMUSG00000047535.11, ENSMUSG00000081859.3
OG0000034	Nana36726-RA	ENSMUSG00000036752.4
OG0000034	Nana15763-RA	ENSMUSG00000058672.7
OG0000034	Nana16081-RA	ENSMUSG00000001473.7
OG0000034	Nana13527-RA	ENSMUSG00000016255.5
OG0000039	Nana25427-RA	ENSMUSG00000052850.5, ENSMUSG00000054497.5, ENSMUSG00000053217.3, ENSMUSG00000059382.2, ENSMUSG00000058349.2, ENSMUSG00000062528.2, ENSMUSG00000063762.5, ENSMUSG00000056926.2, ENSMUSG00000030194.2, ENSMUSG00000071149.3, ENSMUSG00000062952.1, ENSMUSG00000057381.1, ENSMUSG00000078280.1, ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4
OG0000042	Nana15423-RA, Nana15427-RA, Nana15429-RA	ENSMUSG00000103037.1, ENSMUSG00000102748.1, ENSMUSG00000103749.1, ENSMUSG00000103585.1, ENSMUSG00000103088.1, ENSMUSG00000104063.1, ENSMUSG00000103081.2
OG0000045	Nana30791-RA	ENSMUSG00000051965.8
OG0000047	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE	ENSMUSG00000101389.1, ENSMUSG00000058470.10, ENSMUSG00000024675.19, ENSMUSG00000056290.16, ENSMUSG00000024678.6
OG0000047	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB	ENSMUSG00000067571.4, ENSMUSG00000024730.7, ENSMUSG00000101031.2
OG0000050	Nana16983-RA, Nana16985-RA, Nana39960-RA, Nana16988-RA, Nana16986-RA, Nana17000-RA, Nana16988-RB, Nana16990-RA, Nana38885-RA, Nana16995-RA, Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA	ENSMUSG00000059408.3
OG0000051	Nana03481-RA, Nana03471-RA	ENSMUSG00000075318.13
OG0000051	Nana03469-RA	ENSMUSG00000075316.11
OG0000051	Nana22919-RA	ENSMUSG00000001027.7
OG0000051	Nana21196-RA	ENSMUSG00000032511.17
OG0000051	Nana09998-RA	ENSMUSG00000023033.14
OG0000056	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA	ENSMUSG00000103310.1, ENSMUSG00000103770.1, ENSMUSG00000103707.5, ENSMUSG00000102206.5, ENSMUSG00000007440.10, ENSMUSG00000103458.1, ENSMUSG00000104252.5, ENSMUSG00000104318.1, ENSMUSG00000103800.1, ENSMUSG00000102312.1, ENSMUSG00000104148.5, ENSMUSG00000103442.5, ENSMUSG00000103092.1
OG0000057	Nana20799-RA	ENSMUSG00000022818.13
OG0000059	Nana09728-RA	ENSMUSG00000062825.15
OG0000059	Nana34355-RA	ENSMUSG00000029580.14
OG0000059	Nana05169-RA, Nana28043-RB, Nana28043-RA, Nana01616-RA, Nana19300-RA	ENSMUSG00000031085.16
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3
OG0000062	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA	ENSMUSG00000027876.4
OG0000063	Nana12777-RA	ENSMUSG00000045364.2, ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1
OG0000065	Nana05575-RB, Nana05575-RA, Nana05574-RA	ENSMUSG00000041567.3
OG0000066	Nana07879-RA	ENSMUSG00000091347.2, ENSMUSG00000063905.2, ENSMUSG00000091195.1
OG0000067	Nana07313-RA, Nana07307-RA, Nana07305-RA, Nana07304-RA, Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA, Nana07271-RA, Nana07322-RC, Nana07279-RA, Nana07312-RA, Nana07274-RA, Nana07322-RA, Nana07258-RA	ENSMUSG00000067929.3
OG0000069	Nana09934-RA	ENSMUSG00000025350.15
OG0000069	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1, ENSMUSG00000025396.7
OG0000071	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA	ENSMUSG00000054385.14, ENSMUSG00000074272.10
OG0000072	Nana35916-RA	ENSMUSG00000024650.5, ENSMUSG00000063796.9
OG0000072	Nana00984-RA	ENSMUSG00000067144.7
OG0000073	Nana36370-RA	ENSMUSG00000090877.3, ENSMUSG00000091971.3, ENSMUSG00000007033.4
OG0000073	Nana05770-RA	ENSMUSG00000059970.7
OG0000074	Nana11137-RA, Nana11138-RA	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3
OG0000077	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA	ENSMUSG00000097297.3, ENSMUSG00000078817.4, ENSMUSG00000032691.14
OG0000077	Nana04298-RA	ENSMUSG00000038650.15
OG0000081	Nana37639-RA	ENSMUSG00000062478.16
OG0000081	Nana37247-RA	ENSMUSG00000023433.8, ENSMUSG00000078520.3
OG0000083	Nana06622-RA, Nana06624-RA	ENSMUSG00000035042.2
OG0000083	Nana00630-RA	ENSMUSG00000000982.5, ENSMUSG00000018930.3
OG0000085	Nana02961-RA	ENSMUSG00000031502.11
OG0000085	Nana32101-RD	ENSMUSG00000031274.16
OG0000085	Nana02958-RA	ENSMUSG00000031503.13
OG0000085	Nana20286-RB	ENSMUSG00000067158.9
OG0000085	Nana20288-RA	ENSMUSG00000079465.8
OG0000086	Nana13407-RA	ENSMUSG00000016349.10
OG0000086	Nana02319-RA	ENSMUSG00000037742.14
OG0000087	Nana09343-RA, Nana09343-RB	ENSMUSG00000020900.15
OG0000087	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA	ENSMUSG00000018830.10
OG0000087	Nana27331-RA	ENSMUSG00000022443.17
OG0000087	Nana23710-RA	ENSMUSG00000030739.18
OG0000090	Nana31033-RB, Nana31033-RA, Nana31033-RC	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5
OG0000091	Nana30970-RA	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15, ENSMUSG00000028268.14, ENSMUSG00000040253.15, ENSMUSG00000028270.12, ENSMUSG00000040264.10, ENSMUSG00000105504.4
OG0000092	Nana12893-RB	ENSMUSG00000028464.16
OG0000092	Nana32804-RA, Nana32804-RB	ENSMUSG00000032366.15
OG0000093	Nana27045-RA	ENSMUSG00000019943.10
OG0000093	Nana14174-RA	ENSMUSG00000026463.17
OG0000093	Nana10674-RA	ENSMUSG00000031376.15
OG0000094	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA	ENSMUSG00000008438.3, ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4
OG0000095	Nana09550-RA	ENSMUSG00000063193.9, ENSMUSG00000069609.7, ENSMUSG00000089722.2, ENSMUSG00000069607.4, ENSMUSG00000089753.9, ENSMUSG00000034641.2, ENSMUSG00000047798.15
OG0000095	Nana09552-RA	ENSMUSG00000048498.7, ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12
OG0000098	Nana23223-RA	ENSMUSG00000092035.8
OG0000099	Nana20229-RA	ENSMUSG00000026235.14
OG0000099	Nana02215-RA	ENSMUSG00000028289.12
OG0000099	Nana24836-RA	ENSMUSG00000052504.7
OG0000100	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA	ENSMUSG00000014725.16, ENSMUSG00000022057.8
OG0000101	Nana10097-RA, Nana10097-RB, Nana10097-RC	ENSMUSG00000090841.2
OG0000101	Nana03073-RA, Nana03073-RB	ENSMUSG00000061816.15
OG0000101	Nana21110-RA	ENSMUSG00000061086.12, ENSMUSG00000059741.13
OG0000102	Nana04405-RA	ENSMUSG00000030851.15, ENSMUSG00000101959.1, ENSMUSG00000063229.15
OG0000102	Nana27661-RA	ENSMUSG00000030246.11
OG0000106	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA	ENSMUSG00000046434.16
OG0000106	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG	ENSMUSG00000059005.13
OG0000108	Nana34377-RA, Nana34376-RA	ENSMUSG00000075551.4, ENSMUSG00000075552.4, ENSMUSG00000054417.5, ENSMUSG00000038656.5, ENSMUSG00000056035.8, ENSMUSG00000070419.11, ENSMUSG00000061292.10, ENSMUSG00000029630.15, ENSMUSG00000029727.7
OG0000110	Nana35843-RA, Nana05423-RA	ENSMUSG00000066392.12
OG0000110	Nana05425-RA, Nana00887-RA	ENSMUSG00000024109.18
OG0000111	Nana17605-RA, Nana17605-RB	ENSMUSG00000058013.11
OG0000111	Nana32413-RA, Nana26179-RA	ENSMUSG00000034219.15, ENSMUSG00000019917.10
OG0000111	Nana08966-RA	ENSMUSG00000050379.15
OG0000112	Nana22728-RA	ENSMUSG00000035780.2, ENSMUSG00000054630.7, ENSMUSG00000061906.5, ENSMUSG00000057425.3, ENSMUSG00000070704.10, ENSMUSG00000035811.10, ENSMUSG00000035836.2, ENSMUSG00000029260.15, ENSMUSG00000107180.1, ENSMUSG00000029268.14, ENSMUSG00000106677.1
OG0000113	Nana02420-RA, Nana02419-RA	ENSMUSG00000025934.15, ENSMUSG00000074179.11, ENSMUSG00000057933.10, ENSMUSG00000111709.1, ENSMUSG00000074183.3
OG0000115	Nana24320-RA, Nana24321-RA, Nana24323-RA	ENSMUSG00000020891.11, ENSMUSG00000020892.10, ENSMUSG00000032807.5
OG0000115	Nana15380-RA, Nana15381-RA, Nana15378-RA	ENSMUSG00000025701.12
OG0000116	Nana23099-RA	ENSMUSG00000053654.7, ENSMUSG00000053797.10, ENSMUSG00000045545.8, ENSMUSG00000035557.9
OG0000116	Nana23092-RA	ENSMUSG00000019761.10, ENSMUSG00000044041.4, ENSMUSG00000054146.8
OG0000116	Nana23093-RA, Nana23093-RB	ENSMUSG00000020911.14
OG0000118	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA	ENSMUSG00000062028.8
OG0000119	Nana30054-RA	ENSMUSG00000037242.8
OG0000119	Nana07708-RA	ENSMUSG00000007041.9
OG0000119	Nana02918-RA	ENSMUSG00000023959.10
OG0000120	Nana24316-RA, Nana24308-RA	ENSMUSG00000049539.3
OG0000121	Nana15428-RA, Nana15421-RA, Nana15429-RB	ENSMUSG00000102222.1, ENSMUSG00000102440.1, ENSMUSG00000103897.1, ENSMUSG00000102428.1, ENSMUSG00000102742.1, ENSMUSG00000104346.1, ENSMUSG00000103332.1, ENSMUSG00000103144.1, ENSMUSG00000103567.1, ENSMUSG00000103677.1, ENSMUSG00000103472.1, ENSMUSG00000103793.1
OG0000126	Nana11693-RA, Nana11693-RB	ENSMUSG00000008305.18
OG0000126	Nana11690-RA	ENSMUSG00000024642.17
OG0000126	Nana33631-RC, Nana33631-RB, Nana33631-RA	ENSMUSG00000032280.16
OG0000127	Nana21098-RA	ENSMUSG00000025821.9
OG0000127	Nana38406-RA	ENSMUSG00000045466.18
OG0000128	Nana23910-RA, Nana23921-RA	ENSMUSG00000021876.15, ENSMUSG00000035896.5
OG0000128	Nana23918-RA, Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA	ENSMUSG00000060615.5, ENSMUSG00000047894.2, ENSMUSG00000072598.3, ENSMUSG00000053961.7, ENSMUSG00000072115.11
OG0000129	Nana13746-RA	ENSMUSG00000053141.16
OG0000129	Nana16117-RA	ENSMUSG00000033278.10
OG0000129	Nana30228-RA	ENSMUSG00000028909.17
OG0000129	Nana30225-RA, Nana01987-RA	ENSMUSG00000019889.10
OG0000130	Nana36269-RA	ENSMUSG00000028137.9
OG0000130	Nana33055-RA	ENSMUSG00000032297.11
OG0000131	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB	ENSMUSG00000056851.14, ENSMUSG00000051695.6
OG0000135	Nana13295-RA, Nana38700-RC, Nana38966-RA	ENSMUSG00000074677.11, ENSMUSG00000106923.3, ENSMUSG00000095028.6, ENSMUSG00000095788.6, ENSMUSG00000037902.18, ENSMUSG00000078780.7, ENSMUSG00000107166.3, ENSMUSG00000078783.1
OG0000136	Nana25848-RA	ENSMUSG00000031309.15
OG0000136	Nana01675-RA, Nana01675-RB	ENSMUSG00000023809.10
OG0000136	Nana30115-RA	ENSMUSG00000003644.17
OG0000136	Nana32194-RC, Nana32194-RA, Nana32194-RB	ENSMUSG00000025665.16, ENSMUSG00000116203.1
OG0000137	Nana21626-RB, Nana21626-RA	ENSMUSG00000019577.6
OG0000137	Nana23253-RA, Nana23253-RB	ENSMUSG00000038967.13
OG0000137	Nana03410-RA, Nana03410-RB	ENSMUSG00000006494.11
OG0000138	Nana21262-RA	ENSMUSG00000029131.14
OG0000138	Nana08323-RA	ENSMUSG00000048206.6
OG0000138	Nana03939-RA	ENSMUSG00000026203.16
OG0000143	Nana28454-RA	ENSMUSG00000039661.14
OG0000143	Nana18923-RA, Nana18922-RA	ENSMUSG00000021768.15
OG0000143	Nana18920-RA	ENSMUSG00000063821.6
OG0000144	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA	ENSMUSG00000047867.11, ENSMUSG00000090019.5
OG0000145	Nana08336-RA	ENSMUSG00000074593.11
OG0000146	Nana23491-RA	ENSMUSG00000048992.9, ENSMUSG00000024124.10, ENSMUSG00000049620.9, ENSMUSG00000050762.5
OG0000147	Nana19440-RA	ENSMUSG00000111393.1, ENSMUSG00000025478.15
OG0000147	Nana18452-RA	ENSMUSG00000029121.16
OG0000147	Nana09013-RA	ENSMUSG00000024501.20
OG0000147	Nana28363-RA	ENSMUSG00000022048.8
OG0000149	Nana30762-RA	ENSMUSG00000054808.15
OG0000149	Nana01559-RA	ENSMUSG00000052374.16
OG0000149	Nana04942-RA	ENSMUSG00000015143.15
OG0000150	Nana34186-RA	ENSMUSG00000030972.6
OG0000150	Nana34187-RB	ENSMUSG00000047026.9
OG0000150	Nana34187-RA	ENSMUSG00000030945.17, ENSMUSG00000033533.14
OG0000151	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA	ENSMUSG00000083138.3, ENSMUSG00000028715.2, ENSMUSG00000084346.4, ENSMUSG00000078597.2, ENSMUSG00000066071.6, ENSMUSG00000066072.13, ENSMUSG00000063929.6, ENSMUSG00000028712.12
OG0000153	Nana11108-RA	ENSMUSG00000110469.1, ENSMUSG00000057666.18, ENSMUSG00000097148.2, ENSMUSG00000099294.1
OG0000153	Nana30407-RA	ENSMUSG00000061099.12
OG0000154	Nana21272-RA	ENSMUSG00000011171.11
OG0000154	Nana03716-RA	ENSMUSG00000026387.15
OG0000154	Nana39032-RA	ENSMUSG00000004654.6
OG0000155	Nana27596-RB, Nana27596-RA	ENSMUSG00000030236.10
OG0000155	Nana27598-RA, Nana27600-RA	ENSMUSG00000030237.14, ENSMUSG00000084927.1, ENSMUSG00000079262.3, ENSMUSG00000063975.13, ENSMUSG00000041698.11, ENSMUSG00000079263.8
OG0000156	Nana02904-RA	ENSMUSG00000091043.2
OG0000158	Nana36405-RA, Nana10438-RA	ENSMUSG00000004098.7
OG0000158	Nana37069-RA, Nana37069-RB	ENSMUSG00000026837.16
OG0000158	Nana14954-RA, Nana39299-RA, Nana37076-RA	ENSMUSG00000027966.20
OG0000159	Nana35151-RA, Nana35150-RA, Nana35148-RA	ENSMUSG00000105906.1, ENSMUSG00000106039.1, ENSMUSG00000075370.12, ENSMUSG00000105547.1, ENSMUSG00000076937.3
OG0000160	Nana06954-RA	ENSMUSG00000036322.11, ENSMUSG00000024334.9
OG0000162	Nana01233-RA	ENSMUSG00000026509.15
OG0000162	Nana01232-RB	ENSMUSG00000038599.14
OG0000162	Nana01383-RB, Nana01383-RC, Nana01383-RA	ENSMUSG00000058626.16
OG0000162	Nana35924-RA	ENSMUSG00000024942.17
OG0000163	Nana10880-RA	ENSMUSG00000003410.8
OG0000163	Nana11460-RA, Nana14489-RA	ENSMUSG00000008489.18
OG0000169	Nana16688-RB, Nana16688-RC, Nana16688-RA	ENSMUSG00000022283.15
OG0000169	Nana29768-RA	ENSMUSG00000011257.19
OG0000169	Nana16688-RD	ENSMUSG00000090919.6
OG0000169	Nana13679-RA	ENSMUSG00000054582.4
OG0000171	Nana17789-RA	ENSMUSG00000074207.10, ENSMUSG00000055301.8
OG0000172	Nana08296-RA, Nana14058-RA	ENSMUSG00000030084.11
OG0000172	Nana27786-RA	ENSMUSG00000029765.12
OG0000172	Nana10639-RA	ENSMUSG00000031398.13
OG0000174	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD	ENSMUSG00000025271.13
OG0000174	Nana27734-RA	ENSMUSG00000026773.19
OG0000174	Nana08485-RD, Nana08485-RC, Nana08485-RB	ENSMUSG00000025648.18
OG0000179	Nana19279-RA	ENSMUSG00000024771.7, ENSMUSG00000024768.5
OG0000179	Nana19294-RA	ENSMUSG00000056078.6
OG0000179	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA	ENSMUSG00000024781.16
OG0000181	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA	ENSMUSG00000078506.1, ENSMUSG00000028593.5, ENSMUSG00000078504.2, ENSMUSG00000041735.8, ENSMUSG00000070609.3, ENSMUSG00000078505.1, ENSMUSG00000078507.1
OG0000183	Nana14703-RA	ENSMUSG00000040037.13
OG0000183	Nana24962-RA	ENSMUSG00000061080.11
OG0000183	Nana28668-RA, Nana28665-RA	ENSMUSG00000059974.10
OG0000184	Nana12380-RA	ENSMUSG00000021730.8
OG0000184	Nana33040-RA	ENSMUSG00000032338.9
OG0000184	Nana36072-RA	ENSMUSG00000028051.10
OG0000184	Nana06340-RA	ENSMUSG00000020331.9
OG0000185	Nana21120-RA	ENSMUSG00000048076.14
