Orthogroup	N_naja.pep	G_gallus.pep
OG0000062	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA	ENSGALG00000002931.6
OG0000063	Nana12777-RA	ENSGALG00000015062.5
OG0000065	Nana05575-RB, Nana05575-RA, Nana05574-RA	ENSGALG00000010969.6
OG0000069	Nana09934-RA	ENSGALG00000034988.3
OG0000069	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA	ENSGALG00000034701.2, ENSGALG00000041909.2
OG0000072	Nana35916-RA	ENSGALG00000048258.1
OG0000072	Nana00984-RA	ENSGALG00000001661.5
OG0000074	Nana11137-RA, Nana11138-RA	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1
OG0000077	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA	ENSGALG00000034124.3
OG0000077	Nana04298-RA	ENSGALG00000006904.6
OG0000081	Nana37639-RA	ENSGALG00000039406.2
OG0000083	Nana00631-RA	ENSGALG00000054196.1, ENSGALG00000049551.1, ENSGALG00000053121.1, ENSGALG00000014585.5
OG0000083	Nana06622-RA, Nana06624-RA	ENSGALG00000053868.1, ENSGALG00000032717.2, ENSGALG00000043603.2
OG0000083	Nana00630-RA	ENSGALG00000034478.2
OG0000085	Nana02961-RA	ENSGALG00000036798.3
OG0000085	Nana32101-RD	ENSGALG00000008141.6
OG0000085	Nana02958-RA	ENSGALG00000016843.7
OG0000085	Nana20286-RB	ENSGALG00000004946.6
OG0000085	Nana20288-RA	ENSGALG00000038612.2
OG0000086	Nana13407-RA	ENSGALG00000005843.5
OG0000086	Nana02319-RA	ENSGALG00000015917.7
OG0000087	Nana09343-RA, Nana09343-RB	ENSGALG00000001183.6
OG0000087	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA	ENSGALG00000006520.7
OG0000087	Nana27331-RA	ENSGALG00000043092.2
OG0000088	Nana00638-RA	ENSGALG00000049023.1, ENSGALG00000050991.1, ENSGALG00000052233.1, ENSGALG00000051866.1, ENSGALG00000050527.1, ENSGALG00000048890.1, ENSGALG00000048014.1, ENSGALG00000054175.1, ENSGALG00000051248.1, ENSGALG00000047329.1, ENSGALG00000052928.1, ENSGALG00000052227.1, ENSGALG00000050241.1, ENSGALG00000054122.1, ENSGALG00000051879.1, ENSGALG00000053213.1, ENSGALG00000046889.1, ENSGALG00000051399.1, ENSGALG00000048329.1, ENSGALG00000050479.1, ENSGALG00000055028.1, ENSGALG00000051944.1, ENSGALG00000049563.1, ENSGALG00000051015.1, ENSGALG00000052919.1, ENSGALG00000054902.1, ENSGALG00000051525.1, ENSGALG00000050180.1, ENSGALG00000051046.1, ENSGALG00000052861.1, ENSGALG00000052397.1, ENSGALG00000051865.1, ENSGALG00000051926.1, ENSGALG00000053218.1, ENSGALG00000048185.1, ENSGALG00000055012.1, ENSGALG00000048974.1, ENSGALG00000053908.1, ENSGALG00000048569.1, ENSGALG00000052819.1, ENSGALG00000052688.1, ENSGALG00000051695.1, ENSGALG00000055009.1, ENSGALG00000051355.1, ENSGALG00000052695.1, ENSGALG00000049837.1, ENSGALG00000050847.1, ENSGALG00000051894.1, ENSGALG00000046848.1, ENSGALG00000051997.1
OG0000091	Nana30970-RA	ENSGALG00000050544.1, ENSGALG00000054648.1
OG0000092	Nana32804-RA, Nana32804-RB, Nana32804-RC	ENSGALG00000003521.7
OG0000093	Nana27045-RA	ENSGALG00000030550.3
OG0000093	Nana14174-RA	ENSGALG00000003601.6
OG0000094	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA	ENSGALG00000013838.6
OG0000095	Nana09552-RA	ENSGALG00000019755.4
OG0000099	Nana20229-RA	ENSGALG00000005256.6
OG0000099	Nana02215-RA	ENSGALG00000015593.6
OG0000099	Nana24836-RA	ENSGALG00000015403.5
OG0000100	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA	ENSGALG00000000357.7
OG0000101	Nana10097-RA, Nana10097-RB, Nana10097-RC	ENSGALG00000035086.3
OG0000101	Nana03073-RB	ENSGALG00000002907.7
OG0000101	Nana21110-RA	ENSGALG00000000585.7, ENSGALG00000005448.6
OG0000102	Nana04405-RA	ENSGALG00000006300.7
OG0000102	Nana27661-RA	ENSGALG00000035836.3
OG0000106	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA	ENSGALG00000042011.3
OG0000106	Nana03353-RG	ENSGALG00000009250.6
OG0000108	Nana34378-RB, Nana34378-RA	ENSGALG00000004436.7
OG0000108	Nana34377-RA, Nana34376-RA	ENSGALG00000004449.5
OG0000110	Nana35843-RA, Nana05423-RA	ENSGALG00000027255.3
OG0000110	Nana05425-RA, Nana00887-RA	ENSGALG00000009107.6
OG0000111	Nana17605-RA, Nana17605-RB	ENSGALG00000011476.7
OG0000111	Nana32413-RA, Nana26179-RA	ENSGALG00000016811.6
OG0000111	Nana08966-RA	ENSGALG00000008633.7
OG0000112	Nana22728-RA	ENSGALG00000011805.6
OG0000113	Nana02416-RA	ENSGALG00000016322.5
OG0000113	Nana02420-RA	ENSGALG00000016328.7
OG0000113	Nana02419-RA	ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6
OG0000115	Nana24323-RA	ENSGALG00000044760.2
OG0000115	Nana15378-RA	ENSGALG00000005857.6
OG0000116	Nana23099-RA	ENSGALG00000051754.1, ENSGALG00000003690.7
OG0000116	Nana23092-RA	ENSGALG00000019718.6
OG0000116	Nana23093-RA, Nana23093-RB	ENSGALG00000019719.5
OG0000119	Nana30054-RA	ENSGALG00000001262.7
OG0000119	Nana24627-RA	ENSGALG00000016020.7
OG0000119	Nana02918-RA	ENSGALG00000016707.6
OG0000120	Nana23740-RA, Nana23738-RA, Nana24316-RA, Nana24308-RA, Nana27152-RA	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2
OG0000126	Nana11693-RA, Nana11693-RB	ENSGALG00000012575.6
OG0000126	Nana11690-RA	ENSGALG00000015184.6
OG0000126	Nana33631-RC, Nana33631-RB, Nana33631-RA	ENSGALG00000008120.7
OG0000127	Nana21098-RA	ENSGALG00000039048.2
OG0000127	Nana21079-RD, Nana21079-RC, Nana39208-RA, Nana21079-RE	ENSGALG00000036870.2
OG0000127	Nana38406-RA	ENSGALG00000023632.5
OG0000128	Nana23919-RA	ENSGALG00000003196.6, ENSGALG00000027165.4, ENSGALG00000011455.5
OG0000129	Nana13746-RA	ENSGALG00000037889.2
OG0000129	Nana16117-RA	ENSGALG00000031284.2
OG0000129	Nana30228-RA	ENSGALG00000031440.2
OG0000129	Nana30225-RA, Nana01987-RA	ENSGALG00000037423.2
OG0000130	Nana36269-RA, Nana33055-RA	ENSGALG00000002413.6
OG0000134	Nana13327-RA	ENSGALG00000042850.3
OG0000135	Nana13295-RA, Nana38700-RC	ENSGALG00000006152.6, ENSGALG00000025778.4
OG0000135	Nana38966-RA	ENSGALG00000029485.2
OG0000136	Nana25848-RA	ENSGALG00000016406.6
OG0000136	Nana01675-RA, Nana01675-RB	ENSGALG00000011473.6
OG0000136	Nana30115-RA	ENSGALG00000037136.2
OG0000136	Nana32194-RC, Nana32194-RA, Nana32194-RB	ENSGALG00000007097.6
OG0000137	Nana21626-RB, Nana21626-RA	ENSGALG00000009700.7
OG0000137	Nana23253-RA, Nana23253-RB	ENSGALG00000045846.2
OG0000137	Nana03410-RA, Nana03410-RB	ENSGALG00000013235.5
OG0000138	Nana21262-RA	ENSGALG00000051143.1, ENSGALG00000006477.7
OG0000138	Nana03937-RA	ENSGALG00000046725.1, ENSGALG00000027506.4
OG0000143	Nana28454-RA	ENSGALG00000001633.7
OG0000143	Nana18924-RD, Nana18924-RC	ENSGALG00000050860.1
OG0000143	Nana18923-RA	ENSGALG00000005007.6
OG0000143	Nana18922-RA	ENSGALG00000005017.6
OG0000143	Nana18920-RA	ENSGALG00000005019.5
OG0000144	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA	ENSGALG00000053964.1, ENSGALG00000029857.2
OG0000145	Nana13194-RA, Nana13189-RA, Nana13190-RA, Nana13195-RA, Nana13192-RA, Nana13193-RA	ENSGALG00000054868.1
OG0000145	Nana13191-RA, Nana17827-RA	ENSGALG00000050656.1
OG0000147	Nana19440-RA	ENSGALG00000010490.8
OG0000147	Nana18452-RA	ENSGALG00000041203.3
OG0000147	Nana09013-RA	ENSGALG00000007582.6
OG0000147	Nana28363-RA	ENSGALG00000000227.7
OG0000149	Nana30761-RA, Nana30762-RA	ENSGALG00000036496.2
OG0000149	Nana01559-RA	ENSGALG00000014463.7
OG0000149	Nana04942-RA	ENSGALG00000042458.3
OG0000150	Nana34186-RA	ENSGALG00000042446.2
OG0000150	Nana34187-RB, Nana34187-RA	ENSGALG00000029827.2
OG0000151	Nana14459-RA	ENSGALG00000020688.6
OG0000151	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA	ENSGALG00000010469.7
OG0000153	Nana11108-RA	ENSGALG00000014442.7
OG0000154	Nana21272-RA	ENSGALG00000006575.5
OG0000154	Nana03716-RA	ENSGALG00000012106.6
OG0000154	Nana39032-RA	ENSGALG00000005212.5
OG0000155	Nana27596-RB, Nana27596-RA	ENSGALG00000019277.5
OG0000155	Nana27598-RA	ENSGALG00000019276.5
OG0000155	Nana27600-RA	ENSGALG00000031293.2
OG0000156	Nana04038-RA, Nana04034-RA, Nana04040-RA, Nana04043-RA, Nana04035-RA, Nana04045-RA, Nana02904-RA	ENSGALG00000047313.1, ENSGALG00000040120.3
OG0000158	Nana37069-RA, Nana37069-RB	ENSGALG00000002546.6
OG0000158	Nana14954-RA, Nana39299-RA, Nana37076-RA	ENSGALG00000046817.1
OG0000159	Nana35151-RA, Nana35150-RA, Nana35148-RA	ENSGALG00000049450.1
OG0000160	Nana06954-RA	ENSGALG00000051101.1
OG0000162	Nana01233-RA	ENSGALG00000009360.6
OG0000162	Nana01232-RB	ENSGALG00000009382.7
OG0000162	Nana01383-RB, Nana01383-RC, Nana01383-RA	ENSGALG00000010186.7
OG0000162	Nana35924-RA	ENSGALG00000041685.2
OG0000163	Nana11460-RA, Nana14489-RA	ENSGALG00000015799.6
OG0000164	Nana02902-RA, Nana02891-RB, Nana02893-RA, Nana02894-RB, Nana02894-RA, Nana02901-RA, Nana02890-RD, Nana02890-RC, Nana02890-RB	ENSGALG00000016690.7, ENSGALG00000046639.2
OG0000169	Nana16688-RB, Nana16688-RC, Nana16688-RA	ENSGALG00000030280.3
OG0000169	Nana29768-RA	ENSGALG00000003800.6
OG0000169	Nana13679-RA	ENSGALG00000004123.6
OG0000171	Nana17788-RA, Nana17787-RA	ENSGALG00000020160.5, ENSGALG00000054856.1
OG0000171	Nana17789-RA	ENSGALG00000030614.2
OG0000172	Nana08296-RA, Nana14058-RA	ENSGALG00000006097.5
OG0000172	Nana27786-RA	ENSGALG00000006473.5
OG0000174	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD	ENSGALG00000032385.2
OG0000174	Nana27734-RA	ENSGALG00000040369.2
OG0000174	Nana39652-RA, Nana39652-RB, Nana08485-RD, Nana08485-RC, Nana08485-RB	ENSGALG00000002099.6
OG0000179	Nana19279-RA, Nana19294-RA	ENSGALG00000045194.2, ENSGALG00000003557.7
OG0000179	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA	ENSGALG00000006378.6
OG0000181	Nana14994-RA, Nana29724-RA, Nana27985-RA	ENSGALG00000044962.2
OG0000183	Nana14703-RA	ENSGALG00000011350.7
OG0000183	Nana24962-RA	ENSGALG00000040620.3
OG0000183	Nana28668-RA, Nana28665-RA	ENSGALG00000001437.6
OG0000184	Nana12380-RA	ENSGALG00000014875.7
OG0000184	Nana36072-RA	ENSGALG00000033653.2
OG0000184	Nana06340-RA	ENSGALG00000001342.6
OG0000185	Nana21120-RA	ENSGALG00000005393.6
OG0000185	Nana08360-RA	ENSGALG00000043476.2, ENSGALG00000005622.6
OG0000186	Nana18448-RA	ENSGALG00000015531.6
OG0000186	Nana19444-RA	ENSGALG00000010471.6
OG0000186	Nana09006-RA	ENSGALG00000000235.6
OG0000187	Nana02631-RA	ENSGALG00000016485.6
OG0000187	Nana14009-RA	ENSGALG00000001569.6
OG0000187	Nana08636-RA	ENSGALG00000003806.7
OG0000188	Nana10451-RA, Nana10448-RA, Nana10449-RA	ENSGALG00000037253.2
OG0000193	Nana34739-RA, Nana34739-RB	ENSGALG00000004901.7
OG0000193	Nana04026-RB, Nana04026-RA	ENSGALG00000033300.2
OG0000194	Nana04300-RA	ENSGALG00000029260.2
OG0000194	Nana13959-RA	ENSGALG00000026692.3
OG0000195	Nana38858-RA, Nana07067-RA, Nana08012-RA, Nana24593-RA, Nana06496-RA, Nana22476-RA, Nana00681-RA, Nana06948-RA, Nana22451-RA, Nana08544-RA, Nana22193-RA, Nana23416-RA, Nana15132-RA, Nana12292-RA, Nana35597-RA, Nana38009-RA, Nana39659-RA, Nana11511-RA, Nana39808-RA, Nana22419-RA, Nana39474-RA, Nana38857-RA, Nana10488-RA, Nana24469-RA, Nana00434-RA, Nana17430-RA, Nana24008-RA, Nana39397-RA, Nana15133-RA, Nana18713-RA, Nana23375-RA	ENSGALG00000053189.1, ENSGALG00000054778.1
OG0000197	Nana18220-RA	ENSGALG00000030065.3
OG0000197	Nana09163-RA	ENSGALG00000001768.6
OG0000197	Nana25443-RA	ENSGALG00000033966.2
OG0000197	Nana32135-RA	ENSGALG00000008442.6
OG0000198	Nana29992-RA	ENSGALG00000039713.2
OG0000198	Nana29987-RA	ENSGALG00000043711.3
OG0000198	Nana17024-RD, Nana17024-RB	ENSGALG00000040957.2
OG0000199	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC	ENSGALG00000032247.2
OG0000200	Nana11623-RA	ENSGALG00000015107.6
OG0000200	Nana36320-RH, Nana36320-RG, Nana36320-RJ, Nana36320-RE, Nana36320-RC, Nana36320-RD, Nana36320-RB	ENSGALG00000027372.3
OG0000201	Nana14043-RA	ENSGALG00000001319.6
OG0000201	Nana07920-RC	ENSGALG00000029912.2
OG0000202	Nana19477-RA, Nana28348-RA	ENSGALG00000047979.1
OG0000203	Nana12325-RA	ENSGALG00000014727.6
OG0000203	Nana14670-RA	ENSGALG00000011094.6
OG0000204	Nana22989-RJ, Nana22989-RG, Nana22989-RH, Nana22989-RI, Nana22989-RK, Nana22993-RM, Nana22993-RK, Nana22993-RL, Nana22993-RJ, Nana22993-RI, Nana22995-RA, Nana22989-RA, Nana22989-RE, Nana22989-RD, Nana22989-RF, Nana22989-RC, Nana22993-RD, Nana22993-RC, Nana22993-RA, Nana22993-RB, Nana22993-RE, Nana22993-RF, Nana22993-RH, Nana22989-RB, Nana22997-RA, Nana22989-RM	ENSGALG00000003536.6
OG0000205	Nana19313-RA, Nana19312-RA, Nana19314-RA, Nana19315-RA	ENSGALG00000045085.2
OG0000212	Nana00145-RA	ENSGALG00000004649.5
OG0000212	Nana00135-RA	ENSGALG00000004519.7
OG0000213	Nana26049-RA	ENSGALG00000041042.2
OG0000213	Nana26050-RA, Nana09216-RA, Nana26052-RA	ENSGALG00000020292.5
OG0000213	Nana09215-RA	ENSGALG00000038042.2
OG0000214	Nana35941-RA, Nana35936-RA	ENSGALG00000022137.3, ENSGALG00000039887.2
OG0000216	Nana12893-RF, Nana12893-RE, Nana12893-RD	ENSGALG00000025842.4
OG0000217	Nana17917-RA, Nana28484-RA, Nana18823-RA, Nana08830-RA	ENSGALG00000005621.7
OG0000218	Nana19003-RA	ENSGALG00000004809.4
OG0000219	Nana24213-RB, Nana24213-RA, Nana24211-RA, Nana24210-RA, Nana24209-RA, Nana39539-RA, Nana24208-RA, Nana24207-RA	ENSGALG00000050515.1
OG0000220	Nana07784-RA	ENSGALG00000050047.1
OG0000220	Nana07713-RA, Nana07713-RB	ENSGALG00000052089.1
OG0000221	Nana02364-RA	ENSGALG00000016271.5
OG0000221	Nana17042-RE, Nana17042-RD, Nana17042-RA, Nana17042-RB, Nana17042-RC	ENSGALG00000040969.2
OG0000222	Nana11085-RA	ENSGALG00000034438.2
OG0000222	Nana20656-RA	ENSGALG00000008983.6
OG0000223	Nana20407-RB, Nana20407-RA	ENSGALG00000029190.3
OG0000223	Nana26323-RA	ENSGALG00000016890.7
OG0000223	Nana32618-RA, Nana32618-RB	ENSGALG00000053597.1
OG0000224	Nana37623-RA	ENSGALG00000004848.7
OG0000226	Nana18637-RA	ENSGALG00000012010.6
OG0000226	Nana18820-RA	ENSGALG00000005107.6
OG0000226	Nana08824-RA	ENSGALG00000004581.5
OG0000227	Nana15538-RA	ENSGALG00000028520.4
OG0000228	Nana07844-RA	ENSGALG00000051737.1, ENSGALG00000000107.5
OG0000228	Nana07842-RA	ENSGALG00000019835.5, ENSGALG00000030397.2
OG0000229	Nana08354-RA, Nana08354-RB	ENSGALG00000005678.7
OG0000230	Nana14830-RA	ENSGALG00000006322.6
OG0000231	Nana22724-RA	ENSGALG00000048579.1
OG0000232	Nana04337-RA	ENSGALG00000006717.7
OG0000232	Nana04336-RA	ENSGALG00000031737.2
OG0000235	Nana32730-RA	ENSGALG00000033183.2
OG0000235	Nana26056-RA, Nana09225-RA	ENSGALG00000029392.3
OG0000236	Nana04020-RA, Nana04017-RA	ENSGALG00000036044.2, ENSGALG00000054835.1
OG0000236	Nana00165-RA	ENSGALG00000004763.6
OG0000237	Nana00862-RB	ENSGALG00000029261.3
OG0000237	Nana35961-RA	ENSGALG00000045424.2
OG0000238	Nana09145-RA	ENSGALG00000002080.6
OG0000238	Nana28341-RB, Nana28341-RA	ENSGALG00000000311.6
OG0000238	Nana19499-RA	ENSGALG00000042259.2
OG0000239	Nana35381-RA	ENSGALG00000002742.6
OG0000239	Nana35349-RA	ENSGALG00000002671.6
OG0000240	Nana22799-RA	ENSGALG00000026098.3, ENSGALG00000011668.4
OG0000241	Nana11741-RA	ENSGALG00000012610.7
OG0000241	Nana06412-RA, Nana06410-RA	ENSGALG00000004252.6
OG0000242	Nana03921-RA, Nana03921-RB	ENSGALG00000011360.7
OG0000242	Nana21215-RB, Nana21215-RA	ENSGALG00000006219.7
OG0000242	Nana10104-RA	ENSGALG00000036282.2
OG0000243	Nana06066-RA	ENSGALG00000030068.2
OG0000244	Nana25243-RA	ENSGALG00000019061.5
OG0000244	Nana25241-RA	ENSGALG00000019063.5
OG0000244	Nana25242-RA	ENSGALG00000026297.3
OG0000248	Nana27998-RA, Nana27998-RC, Nana27998-RB	ENSGALG00000034855.2
OG0000248	Nana19163-RA	ENSGALG00000021039.5
OG0000248	Nana19165-RE, Nana19165-RG, Nana19165-RF	ENSGALG00000004222.7
OG0000249	Nana30900-RA, Nana30900-RB	ENSGALG00000048592.1
OG0000249	Nana05664-RA, Nana05665-RA	ENSGALG00000011209.4
OG0000249	Nana01260-RA	ENSGALG00000009303.7
