Orthogroup	N_naja.pep	P_troglodytes.pep
OG0000015	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA	ENSPTRG00000048595.1, ENSPTRG00000001746.7
OG0000018	Nana10432-RA	ENSPTRG00000001238.5
OG0000018	Nana38984-RA	ENSPTRG00000046932.1
OG0000021	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB	ENSPTRG00000008769.4, ENSPTRG00000008770.5, ENSPTRG00000008771.7, ENSPTRG00000008768.6
OG0000021	Nana09413-RA, Nana09413-RB, Nana09413-RC	ENSPTRG00000008773.5
OG0000021	Nana13832-RA, Nana13832-RB	ENSPTRG00000013428.6
OG0000021	Nana24863-RA	ENSPTRG00000015191.4
OG0000021	Nana24248-RB	ENSPTRG00000006175.6
OG0000023	Nana23400-RA	ENSPTRG00000004413.3, ENSPTRG00000003695.4, ENSPTRG00000047267.1, ENSPTRG00000043210.1, ENSPTRG00000043163.1, ENSPTRG00000003692.4, ENSPTRG00000030829.4
OG0000026	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA	ENSPTRG00000017330.3, ENSPTRG00000045415.1, ENSPTRG00000032485.2, ENSPTRG00000028558.3, ENSPTRG00000017341.4, ENSPTRG00000017338.5, ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1, ENSPTRG00000017334.5, ENSPTRG00000032486.2, ENSPTRG00000017335.4, ENSPTRG00000017343.3, ENSPTRG00000050672.1
OG0000027	Nana20181-RA	ENSPTRG00000004900.5, ENSPTRG00000012467.6, ENSPTRG00000043972.1, ENSPTRG00000047687.1, ENSPTRG00000049222.1
OG0000027	Nana03934-RB, Nana03934-RA	ENSPTRG00000045808.1
OG0000027	Nana27836-RA	ENSPTRG00000002253.4
OG0000027	Nana27543-RA	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	Nana03933-RB	ENSPTRG00000012949.6
OG0000027	Nana09911-RA	ENSPTRG00000048544.1
OG0000029	Nana10133-RA	ENSPTRG00000004987.6, ENSPTRG00000046630.1
OG0000029	Nana10134-RA	ENSPTRG00000004993.4
OG0000029	Nana10130-RA, Nana10131-RA	ENSPTRG00000004984.3, ENSPTRG00000004982.5, ENSPTRG00000004985.4, ENSPTRG00000004991.5, ENSPTRG00000004990.3
OG0000029	Nana10387-RA	ENSPTRG00000046526.1, ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1, ENSPTRG00000044210.1
OG0000029	Nana10116-RA	ENSPTRG00000004969.4
OG0000031	Nana30920-RB	ENSPTRG00000011016.6
OG0000031	Nana30920-RC	ENSPTRG00000011014.4, ENSPTRG00000011015.7, ENSPTRG00000033800.3
OG0000033	Nana25617-RA	ENSPTRG00000028733.5, ENSPTRG00000003234.2, ENSPTRG00000003268.5, ENSPTRG00000003267.4, ENSPTRG00000028728.3
OG0000033	Nana25601-RA	ENSPTRG00000003252.3, ENSPTRG00000003255.7
OG0000034	Nana10821-RA	ENSPTRG00000044623.1
OG0000034	Nana36726-RA	ENSPTRG00000023373.3
OG0000034	Nana16081-RA	ENSPTRG00000009878.6
OG0000034	Nana13527-RA	ENSPTRG00000013680.2
OG0000039	Nana25427-RA	ENSPTRG00000050321.1, ENSPTRG00000019779.6, ENSPTRG00000004682.4, ENSPTRG00000004684.4, ENSPTRG00000004683.4, ENSPTRG00000047242.1, ENSPTRG00000045940.1, ENSPTRG00000046845.1, ENSPTRG00000032530.3, ENSPTRG00000046810.1, ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1, ENSPTRG00000049303.1, ENSPTRG00000004685.6
OG0000045	Nana30791-RA	ENSPTRG00000011172.2
OG0000047	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE	ENSPTRG00000034329.3, ENSPTRG00000003710.6
OG0000047	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB	ENSPTRG00000003719.4, ENSPTRG00000003718.3, ENSPTRG00000003716.5
OG0000051	Nana03481-RA, Nana03471-RA	ENSPTRG00000012591.6
OG0000051	Nana03469-RA	ENSPTRG00000012597.7
OG0000051	Nana22919-RA	ENSPTRG00000009532.6
OG0000051	Nana21196-RA	ENSPTRG00000014762.7
OG0000051	Nana09998-RA	ENSPTRG00000004959.7
OG0000053	Nana07286-RA, Nana07283-RA, Nana07283-RB, Nana05961-RA, Nana37792-RA, Nana23513-RA, Nana07296-RA, Nana07339-RA, Nana07341-RA, Nana07333-RA, Nana07349-RA, Nana07343-RA, Nana07342-RA, Nana07259-RA, Nana07292-RA, Nana07282-RA, Nana07375-RA, Nana07255-RA	ENSPTRG00000047486.1
OG0000057	Nana20799-RA	ENSPTRG00000048232.1
OG0000059	Nana09728-RA	ENSPTRG00000048969.1
OG0000059	Nana34355-RA	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6
OG0000059	Nana05169-RA	ENSPTRG00000006890.4
OG0000059	Nana01616-RA	ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1
OG0000062	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA	ENSPTRG00000001180.6
OG0000063	Nana12777-RA	ENSPTRG00000020823.3, ENSPTRG00000048038.1, ENSPTRG00000041238.2, ENSPTRG00000043432.1, ENSPTRG00000050673.1, ENSPTRG00000044822.1, ENSPTRG00000044382.1, ENSPTRG00000045595.1, ENSPTRG00000048249.1, ENSPTRG00000045477.1, ENSPTRG00000020820.3, ENSPTRG00000048978.1
OG0000065	Nana05575-RB, Nana05575-RA, Nana05574-RA	ENSPTRG00000006682.3
OG0000069	Nana09934-RA	ENSPTRG00000005060.3
OG0000069	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA	ENSPTRG00000005113.5
OG0000071	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA	ENSPTRG00000011030.6, ENSPTRG00000050646.1, ENSPTRG00000045990.1, ENSPTRG00000051404.1, ENSPTRG00000045877.1, ENSPTRG00000045330.1, ENSPTRG00000049486.1, ENSPTRG00000011067.7, ENSPTRG00000051729.1, ENSPTRG00000048170.1, ENSPTRG00000049328.1, ENSPTRG00000048924.1, ENSPTRG00000050518.1, ENSPTRG00000052731.1, ENSPTRG00000048736.1, ENSPTRG00000047617.1, ENSPTRG00000049320.1, ENSPTRG00000041975.2, ENSPTRG00000011072.6, ENSPTRG00000011063.4, ENSPTRG00000011032.6, ENSPTRG00000011031.6, ENSPTRG00000011061.7, ENSPTRG00000011033.7, ENSPTRG00000011029.4
OG0000072	Nana35916-RA	ENSPTRG00000023694.5, ENSPTRG00000003796.6
OG0000072	Nana00984-RA	ENSPTRG00000018194.7
OG0000073	Nana36370-RA	ENSPTRG00000029753.4, ENSPTRG00000029754.4, ENSPTRG00000040614.2, ENSPTRG00000049334.1
OG0000073	Nana05770-RA	ENSPTRG00000006439.5
OG0000074	Nana11137-RA, Nana11138-RA	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1
OG0000077	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA	ENSPTRG00000011432.6, ENSPTRG00000002198.7
OG0000077	Nana04298-RA	ENSPTRG00000003118.7
OG0000081	Nana37639-RA	ENSPTRG00000000197.7
OG0000081	Nana37247-RA	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1
OG0000083	Nana06622-RA, Nana06624-RA	ENSPTRG00000046869.1
OG0000083	Nana00630-RA	ENSPTRG00000009039.6, ENSPTRG00000047483.1, ENSPTRG00000045727.1, ENSPTRG00000009037.6, ENSPTRG00000043187.1, ENSPTRG00000030907.4, ENSPTRG00000033677.3
OG0000085	Nana02961-RA	ENSPTRG00000006031.6
OG0000085	Nana32101-RD	ENSPTRG00000022173.6
OG0000085	Nana02958-RA	ENSPTRG00000006032.7
OG0000085	Nana20286-RB	ENSPTRG00000012991.7
OG0000085	Nana20288-RA	ENSPTRG00000012992.7
OG0000086	Nana13407-RA	ENSPTRG00000013737.4
OG0000086	Nana02319-RA	ENSPTRG00000016737.5, ENSPTRG00000048890.1, ENSPTRG00000051935.1, ENSPTRG00000051235.1, ENSPTRG00000047542.1, ENSPTRG00000018347.7
OG0000087	Nana09343-RA, Nana09343-RB	ENSPTRG00000008746.7
OG0000087	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA	ENSPTRG00000007810.7
OG0000087	Nana27331-RA	ENSPTRG00000014309.6
OG0000087	Nana23710-RA	ENSPTRG00000011333.6
OG0000090	Nana31033-RB, Nana31033-RA, Nana31033-RC	ENSPTRG00000022723.5
OG0000091	Nana30970-RA	ENSPTRG00000000940.5, ENSPTRG00000000938.6, ENSPTRG00000034354.2, ENSPTRG00000000937.5, ENSPTRG00000000934.6, ENSPTRG00000048580.1, ENSPTRG00000000935.6, ENSPTRG00000000939.6
OG0000092	Nana12893-RB, Nana12893-RC, Nana12893-RA	ENSPTRG00000052468.1, ENSPTRG00000010637.6
OG0000092	Nana32804-RA, Nana32804-RB	ENSPTRG00000007141.6
OG0000092	Nana32804-RC	ENSPTRG00000024321.6
OG0000093	Nana27045-RA	ENSPTRG00000005286.7
OG0000093	Nana14174-RA	ENSPTRG00000001873.7
OG0000093	Nana10674-RA	ENSPTRG00000022399.4
OG0000094	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA	ENSPTRG00000030707.2, ENSPTRG00000048603.1, ENSPTRG00000006493.6
OG0000095	Nana09550-RA	ENSPTRG00000009610.3, ENSPTRG00000030785.2, ENSPTRG00000009615.6
OG0000095	Nana09552-RA	ENSPTRG00000009613.5, ENSPTRG00000050623.1, ENSPTRG00000022952.5, ENSPTRG00000009611.3
OG0000099	Nana20229-RA	ENSPTRG00000012967.5
OG0000099	Nana02215-RA	ENSPTRG00000018428.5
OG0000099	Nana24836-RA	ENSPTRG00000015127.3
OG0000100	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA	ENSPTRG00000020084.5, ENSPTRG00000020085.4
OG0000101	Nana10097-RA, Nana10097-RB, Nana10097-RC	ENSPTRG00000049344.1, ENSPTRG00000005080.7
OG0000101	Nana03073-RA, Nana03073-RB	ENSPTRG00000012879.6
OG0000101	Nana21110-RA	ENSPTRG00000024314.6, ENSPTRG00000014860.6
OG0000102	Nana04405-RA	ENSPTRG00000003422.7, ENSPTRG00000003423.6, ENSPTRG00000049319.1, ENSPTRG00000007125.6, ENSPTRG00000047792.1, ENSPTRG00000050528.1, ENSPTRG00000050437.1, ENSPTRG00000043159.1, ENSPTRG00000003421.5
OG0000102	Nana27661-RA	ENSPTRG00000004762.5, ENSPTRG00000042933.1, ENSPTRG00000052843.1
OG0000106	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA	ENSPTRG00000044399.1, ENSPTRG00000032634.2, ENSPTRG00000031176.4, ENSPTRG00000049417.1
OG0000106	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG	ENSPTRG00000052830.1, ENSPTRG00000012676.4, ENSPTRG00000018253.5
OG0000108	Nana34377-RA, Nana34376-RA	ENSPTRG00000019458.7, ENSPTRG00000033773.3, ENSPTRG00000019459.7, ENSPTRG00000019461.7, ENSPTRG00000048873.1
OG0000109	Nana21461-RA	ENSPTRG00000038833.2
OG0000110	Nana35843-RA, Nana05423-RA	ENSPTRG00000006589.6
OG0000110	Nana05425-RA, Nana00887-RA	ENSPTRG00000047199.1
OG0000111	Nana17605-RA, Nana17605-RB	ENSPTRG00000016192.3
OG0000111	Nana32413-RA, Nana26179-RA	ENSPTRG00000045367.1, ENSPTRG00000019200.6, ENSPTRG00000046053.1, ENSPTRG00000048384.1
OG0000111	Nana08966-RA	ENSPTRG00000022227.7
OG0000112	Nana22728-RA	ENSPTRG00000022603.4, ENSPTRG00000031179.3, ENSPTRG00000031178.3, ENSPTRG00000043598.1, ENSPTRG00000043146.1, ENSPTRG00000050567.1, ENSPTRG00000039427.2, ENSPTRG00000016116.6
OG0000113	Nana02420-RA, Nana02419-RA	ENSPTRG00000018280.6, ENSPTRG00000032454.4, ENSPTRG00000048903.1, ENSPTRG00000018284.3, ENSPTRG00000032453.3
OG0000115	Nana24320-RA, Nana24321-RA, Nana24323-RA	ENSPTRG00000008721.5, ENSPTRG00000008724.5, ENSPTRG00000008723.4
OG0000115	Nana15380-RA, Nana15381-RA, Nana15378-RA	ENSPTRG00000002458.5
OG0000116	Nana23099-RA	ENSPTRG00000042666.1, ENSPTRG00000009171.4, ENSPTRG00000009172.6, ENSPTRG00000008819.6, ENSPTRG00000009173.6
OG0000116	Nana23092-RA	ENSPTRG00000009132.5, ENSPTRG00000009166.5, ENSPTRG00000009167.5
OG0000116	Nana23093-RA, Nana23093-RB	ENSPTRG00000009168.5
OG0000118	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA	ENSPTRG00000011092.4
OG0000119	Nana30054-RA	ENSPTRG00000000350.6
OG0000119	Nana07708-RA	ENSPTRG00000017982.6
OG0000119	Nana24627-RA	ENSPTRG00000013882.5
OG0000119	Nana02918-RA	ENSPTRG00000018230.7
OG0000121	Nana15428-RA, Nana15421-RA, Nana15429-RB	ENSPTRG00000043323.1, ENSPTRG00000048702.1
OG0000126	Nana11693-RA, Nana11693-RB	ENSPTRG00000021048.7
OG0000126	Nana11690-RA	ENSPTRG00000021047.6
OG0000126	Nana33631-RC, Nana33631-RB, Nana33631-RA	ENSPTRG00000007231.7
OG0000127	Nana21098-RA	ENSPTRG00000019841.5
OG0000128	Nana23910-RA, Nana23921-RA	ENSPTRG00000044163.1, ENSPTRG00000006105.5
OG0000128	Nana23918-RA, Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA	ENSPTRG00000043768.1
OG0000129	Nana13746-RA	ENSPTRG00000013505.6
OG0000129	Nana16117-RA	ENSPTRG00000009851.6
OG0000129	Nana30228-RA	ENSPTRG00000000447.7
OG0000129	Nana30225-RA, Nana01987-RA	ENSPTRG00000018587.7
OG0000130	Nana36269-RA	ENSPTRG00000001293.7
OG0000130	Nana33055-RA	ENSPTRG00000034360.3
OG0000131	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB	ENSPTRG00000005018.6, ENSPTRG00000012025.5
OG0000135	Nana13295-RA, Nana38700-RC, Nana38966-RA	ENSPTRG00000013166.7, ENSPTRG00000047284.1, ENSPTRG00000044253.1, ENSPTRG00000013171.6
OG0000136	Nana25848-RA	ENSPTRG00000052293.1
OG0000136	Nana01675-RA, Nana01675-RB	ENSPTRG00000018793.6
OG0000136	Nana30115-RA	ENSPTRG00000000387.6
OG0000136	Nana32194-RC, Nana32194-RA, Nana32194-RB	ENSPTRG00000022064.4
OG0000137	Nana21626-RB, Nana21626-RA	ENSPTRG00000019421.3
OG0000137	Nana23253-RA, Nana23253-RB	ENSPTRG00000009388.4
OG0000137	Nana03410-RA, Nana03410-RB	ENSPTRG00000012642.6
OG0000138	Nana21262-RA	ENSPTRG00000051226.1, ENSPTRG00000052479.1, ENSPTRG00000046598.1
OG0000138	Nana08323-RA	ENSPTRG00000030133.2
OG0000138	Nana03939-RA	ENSPTRG00000012951.6
OG0000143	Nana28454-RA	ENSPTRG00000020152.4
OG0000143	Nana18923-RA, Nana18922-RA	ENSPTRG00000002655.6
OG0000143	Nana18920-RA	ENSPTRG00000002653.5
OG0000144	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA	ENSPTRG00000052806.1, ENSPTRG00000028357.4
OG0000146	Nana23491-RA	ENSPTRG00000014859.5, ENSPTRG00000049614.1, ENSPTRG00000007661.4
OG0000146	Nana23497-RA	ENSPTRG00000012456.6
OG0000147	Nana19440-RA	ENSPTRG00000003073.5
OG0000147	Nana18452-RA	ENSPTRG00000015878.6
OG0000147	Nana09013-RA	ENSPTRG00000017380.6
OG0000147	Nana28363-RA	ENSPTRG00000020099.4
OG0000149	Nana30762-RA	ENSPTRG00000010935.5
OG0000149	Nana01559-RA	ENSPTRG00000002144.4
OG0000149	Nana04942-RA	ENSPTRG00000006477.6
OG0000150	Nana34186-RA	ENSPTRG00000007843.6
OG0000150	Nana34187-RB	ENSPTRG00000034486.3
OG0000150	Nana34187-RA	ENSPTRG00000007846.6, ENSPTRG00000007845.6, ENSPTRG00000050863.1
OG0000151	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA	ENSPTRG00000000705.5, ENSPTRG00000000708.7
OG0000153	Nana11108-RA	ENSPTRG00000004577.6, ENSPTRG00000050523.1, ENSPTRG00000046665.1, ENSPTRG00000039246.2
OG0000153	Nana30407-RA	ENSPTRG00000010848.5
OG0000154	Nana21272-RA	ENSPTRG00000019929.4
OG0000154	Nana03716-RA	ENSPTRG00000012403.3
OG0000154	Nana39032-RA	ENSPTRG00000019048.5, ENSPTRG00000048512.1
OG0000155	Nana27596-RB, Nana27596-RA	ENSPTRG00000004754.5, ENSPTRG00000004750.6, ENSPTRG00000044231.1
OG0000155	Nana27598-RA, Nana27600-RA	ENSPTRG00000004755.7
OG0000156	Nana02904-RA	ENSPTRG00000029617.3
OG0000158	Nana36405-RA, Nana10438-RA	ENSPTRG00000010454.5
OG0000158	Nana37069-RA, Nana37069-RB	ENSPTRG00000047304.1
OG0000158	Nana14954-RA, Nana39299-RA, Nana37076-RA	ENSPTRG00000001017.6
OG0000159	Nana35151-RA, Nana35150-RA, Nana35148-RA	ENSPTRG00000050283.1, ENSPTRG00000042669.1, ENSPTRG00000042977.1, ENSPTRG00000052527.1, ENSPTRG00000042833.1, ENSPTRG00000052579.1, ENSPTRG00000043139.1, ENSPTRG00000050238.1
OG0000160	Nana06954-RA	ENSPTRG00000018016.4, ENSPTRG00000018029.6, ENSPTRG00000018028.6
OG0000162	Nana01233-RA	ENSPTRG00000002016.6, ENSPTRG00000048164.1
OG0000162	Nana01232-RB	ENSPTRG00000043346.1
OG0000162	Nana01383-RB, Nana01383-RC, Nana01383-RA	ENSPTRG00000018215.6
OG0000162	Nana35924-RA	ENSPTRG00000003869.5
OG0000163	Nana10880-RA	ENSPTRG00000010506.5
OG0000163	Nana11460-RA, Nana14489-RA	ENSPTRG00000020830.7
OG0000169	Nana16688-RB, Nana16688-RC, Nana16688-RA	ENSPTRG00000022593.5, ENSPTRG00000047939.1
OG0000169	Nana29768-RA	ENSPTRG00000000573.6
OG0000169	Nana16688-RD	ENSPTRG00000045513.1
OG0000169	Nana13679-RA	ENSPTRG00000013531.5
OG0000171	Nana17789-RA	ENSPTRG00000041356.2, ENSPTRG00000039360.2, ENSPTRG00000049233.1
OG0000172	Nana08296-RA, Nana14058-RA	ENSPTRG00000015341.6
OG0000172	Nana27786-RA	ENSPTRG00000041884.2
OG0000172	Nana10639-RA	ENSPTRG00000022438.5
OG0000174	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD	ENSPTRG00000021945.4
OG0000174	Nana27734-RA	ENSPTRG00000002267.7
OG0000174	Nana08485-RD, Nana08485-RC, Nana08485-RB	ENSPTRG00000014889.5
OG0000179	Nana19279-RA	ENSPTRG00000029843.3, ENSPTRG00000002722.7
OG0000179	Nana19294-RA	ENSPTRG00000002725.6
OG0000179	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA	ENSPTRG00000002732.6
OG0000181	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA	ENSPTRG00000030826.3, ENSPTRG00000000168.6
OG0000183	Nana14703-RA	ENSPTRG00000000857.4
OG0000183	Nana24962-RA	ENSPTRG00000015247.3
OG0000183	Nana28668-RA, Nana28665-RA	ENSPTRG00000004488.5
OG0000184	Nana12380-RA	ENSPTRG00000016855.4
OG0000184	Nana33040-RA	ENSPTRG00000007258.3
OG0000184	Nana36072-RA	ENSPTRG00000001420.4
OG0000184	Nana06340-RA	ENSPTRG00000041761.2, ENSPTRG00000049419.1
OG0000185	Nana21120-RA	ENSPTRG00000002066.5
OG0000185	Nana08360-RA	ENSPTRG00000019651.5, ENSPTRG00000015051.5
OG0000185	Nana10173-RA	ENSPTRG00000004891.4
OG0000186	Nana18448-RA	ENSPTRG00000015883.6
OG0000186	Nana19444-RA	ENSPTRG00000003065.6
OG0000186	Nana09006-RA	ENSPTRG00000042450.2
OG0000187	Nana14009-RA	ENSPTRG00000001112.6
OG0000187	Nana08636-RA	ENSPTRG00000014922.5
OG0000188	Nana10451-RA, Nana10448-RA, Nana10449-RA	ENSPTRG00000010404.7, ENSPTRG00000010403.7, ENSPTRG00000039006.2
OG0000193	Nana34739-RA, Nana34739-RB	ENSPTRG00000005408.4
OG0000193	Nana04026-RB, Nana04026-RA	ENSPTRG00000003959.7
OG0000193	Nana23748-RA	ENSPTRG00000007989.5
OG0000194	Nana04300-RA	ENSPTRG00000034469.3
OG0000194	Nana13959-RA	ENSPTRG00000001140.5
OG0000196	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA	ENSPTRG00000006118.7, ENSPTRG00000039710.2, ENSPTRG00000043469.1, ENSPTRG00000045559.1, ENSPTRG00000043496.1
OG0000197	Nana18220-RA	ENSPTRG00000016622.6
OG0000197	Nana09163-RA	ENSPTRG00000017505.6
OG0000197	Nana25443-RA	ENSPTRG00000004118.5
OG0000197	Nana32135-RA	ENSPTRG00000022250.5
OG0000198	Nana29992-RA	ENSPTRG00000000527.6
OG0000198	Nana29987-RA	ENSPTRG00000000529.6
OG0000198	Nana17024-RD, Nana17024-RB	ENSPTRG00000020622.7
