Orthogroup	N_naja.pep	P_Mucros.pep
OG0000053	Nana07296-RA	"XP_015685493.1, XP_015683778.2"
OG0000053	Nana07339-RA	XP_015684847.1
OG0000053	Nana07349-RA	XP_029142333.1
OG0000056	"Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA"	"XP_015686863.1, XP_015686845.1, XP_015686795.1"
OG0000056	Nana15452-RA	XP_015667034.1
OG0000057	Nana20821-RA	XP_015687186.2
OG0000057	Nana20799-RA	XP_015675899.1
OG0000057	Nana20825-RA	XP_015687182.2
OG0000057	Nana20776-RA	XP_015679108.2
OG0000057	Nana20777-RA	XP_015679109.2
OG0000057	Nana20786-RA	"XP_015679164.2, XP_029140766.1, XP_015683374.1, XP_015675889.2, XP_015675900.2, XP_015675893.2"
OG0000057	Nana20771-RA	XP_029141441.1
OG0000057	"Nana20773-RA, Nana20784-RA"	"XP_029141451.1, XP_029141440.1"
OG0000057	Nana20793-RA	"XP_015679161.2, XP_015679159.2, XP_029141452.1, XP_015684294.2"
OG0000059	Nana09728-RA	XP_015670662.1
OG0000059	Nana34355-RA	XP_015682953.1
OG0000059	Nana05169-RA	XP_015684708.1
OG0000059	"Nana28043-RB, Nana28043-RA"	"XP_015666627.1, XP_015666628.1"
OG0000059	Nana01616-RA	XP_015671497.1
OG0000059	Nana19300-RA	XP_015687360.1
OG0000061	Nana07751-RA	XP_015683390.1
OG0000061	"Nana07746-RA, Nana07750-RA, Nana07753-RA"	XP_029142390.1
OG0000061	Nana07752-RA	XP_015683388.1
OG0000062	Nana23924-RA	XP_029142599.1
OG0000062	Nana23925-RA	XP_015684243.1
OG0000062	Nana39516-RA	XP_015676883.1
OG0000062	Nana23927-RA	"XP_029140961.1, XP_015685340.1, XP_029142849.1"
OG0000062	"Nana18624-RB, Nana18624-RA"	"XP_015685339.2, XP_029142959.1"
OG0000062	Nana27935-RA	XP_015673408.1
OG0000062	Nana27905-RA	XP_029142076.1
OG0000062	Nana27903-RA	XP_015686729.2
OG0000062	Nana27895-RA	XP_015681994.1
OG0000062	"Nana27899-RA, Nana27902-RA"	XP_015686675.1
OG0000065	"Nana05575-RB, Nana05575-RA, Nana05574-RA"	"XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2"
OG0000066	Nana07879-RA	"XP_029142067.1, XP_029142710.1"
OG0000067	"Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA"	XP_015686765.2
OG0000067	Nana07271-RA	"XP_029140118.1, XP_015672278.1"
OG0000067	Nana07322-RC	"XP_029142810.1, XP_029142556.1"
OG0000067	"Nana07279-RA, Nana07312-RA, Nana07274-RA"	"XP_015685658.1, XP_029143041.1"
OG0000067	Nana07258-RA	"XP_029140375.1, XP_029142563.1, XP_029142626.1, XP_029142564.1, XP_029142372.1, XP_029142985.1, XP_029142373.1, XP_029142374.1, XP_029142992.1, XP_029142951.1, XP_029142371.1, XP_029142376.1, XP_029142375.1, XP_029140376.1, XP_029142588.1, XP_029140377.1, XP_029142812.1, XP_029142861.1, XP_029142565.1, XP_029142555.1, XP_015686428.1, XP_029142886.1, XP_015683356.1, XP_015685286.1"
OG0000069	Nana09934-RA	XP_015679681.1
OG0000069	Nana10146-RA	"XP_015678382.1, XP_015678381.1, XP_015678383.1"
OG0000069	Nana10140-RA	XP_015678379.1
OG0000069	Nana10137-RA	XP_015686129.1
OG0000069	Nana10142-RA	"XP_015678380.1, XP_029141284.1"
OG0000069	Nana10295-RA	XP_015672627.1
OG0000071	Nana30659-RB	XP_015685533.1
OG0000071	"Nana30659-RA, Nana30662-RA"	XP_015682491.1
OG0000071	Nana34398-RA	XP_015684998.1
OG0000072	Nana35916-RA	"XP_015684770.2, XP_029141432.1, XP_029141435.1, XP_029141436.1"
OG0000072	Nana00984-RA	XP_015671903.1
OG0000073	Nana36370-RA	XP_015674252.1
OG0000073	"Nana30547-RA, Nana30547-RB"	XP_015678018.1
OG0000073	Nana05770-RA	XP_015668814.1
OG0000074	"Nana39081-RB, Nana39423-RA, Nana39648-RA, Nana39219-RA"	"XP_015670841.1, XP_015670838.1, XP_029139862.1"
OG0000074	Nana11137-RA	XP_015670840.1
OG0000074	Nana11138-RA	XP_015670842.1
OG0000077	Nana12814-RA	XP_029141841.1
OG0000077	"Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA"	XP_015679149.1
OG0000077	Nana04248-RA	XP_029140712.1
OG0000077	Nana04224-RA	"XP_015679160.1, XP_015681733.2"
OG0000077	Nana08643-RA	XP_015672809.1
OG0000077	Nana04298-RA	"XP_015671970.1, XP_015671971.1"
OG0000080	"Nana38637-RA, Nana38740-RA, Nana39575-RA, Nana06848-RA, Nana06812-RA, Nana13283-RB, Nana13283-RC, Nana13283-RA, Nana37840-RA, Nana06904-RA, Nana13282-RA, Nana38043-RA, Nana24359-RA, Nana06873-RA, Nana06835-RA, Nana06839-RA, Nana38056-RA, Nana38276-RC, Nana24361-RA, Nana06859-RA, Nana06841-RB, Nana06841-RA, Nana06870-RA, Nana06870-RB, Nana39573-RA, Nana06506-RA, Nana06869-RA, Nana06832-RB, Nana06832-RC, Nana38875-RA, Nana38875-RB, Nana38053-RA, Nana38048-RA, Nana38050-RA, Nana38411-RA, Nana38704-RA, Nana39847-RA, Nana27798-RA, Nana38738-RA, Nana39897-RA, Nana06945-RA, Nana06852-RA, Nana06938-RA, Nana06857-RA, Nana38276-RB, Nana06865-RB, Nana06849-RA, Nana06855-RA, Nana38041-RA, Nana38291-RA"	XP_029141141.1
OG0000081	Nana37639-RA	XP_015675839.1
OG0000081	Nana37247-RA	XP_015683637.1
OG0000083	Nana00631-RA	XP_015670327.1
OG0000083	"Nana06622-RA, Nana06624-RA"	"XP_015682220.1, XP_015682221.1"
OG0000083	Nana00630-RA	XP_015670326.1
OG0000085	Nana02961-RA	XP_029139245.1
OG0000085	Nana32101-RD	XP_029138764.1
OG0000085	Nana02958-RA	XP_029139244.1
OG0000085	Nana20286-RB	XP_029139815.1
OG0000085	Nana20288-RA	XP_029140039.1
OG0000086	Nana13407-RA	XP_015685683.1
OG0000086	Nana02319-RA	XP_015672964.1
OG0000087	"Nana09343-RA, Nana09343-RB"	"XP_015677192.1, XP_015677190.1, XP_015677194.1"
OG0000087	"Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA"	"XP_015667487.1, XP_015667489.1"
OG0000087	Nana27331-RA	"XP_015687322.1, XP_015687313.1"
OG0000087	Nana23710-RA	"XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1"
OG0000090	"Nana31033-RB, Nana31033-RA, Nana31033-RC"	XP_029139218.1
OG0000091	Nana30970-RA	XP_015686258.1
OG0000092	Nana12893-RB	XP_015671316.1
OG0000092	"Nana12893-RC, Nana12893-RA"	"XP_015671317.1, XP_015671315.1"
OG0000092	"Nana32804-RA, Nana32804-RB"	"XP_015666499.1, XP_015666500.1, XP_015666495.1"
OG0000092	Nana32804-RC	XP_015666496.1
OG0000093	Nana27045-RA	"XP_029138978.1, XP_029138977.1"
OG0000093	Nana14174-RA	"XP_015687648.1, XP_015687649.1"
OG0000093	Nana19135-RA	XP_029140098.1
OG0000093	Nana10674-RA	"XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1"
OG0000094	Nana04968-RC	XP_015686431.1
OG0000094	"Nana04967-RA, Nana04968-RA"	"XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1"
OG0000094	Nana04966-RA	XP_015675520.2
OG0000094	Nana25546-RA	XP_029139882.1
OG0000094	Nana25533-RA	XP_029139885.1
OG0000095	Nana09550-RA	XP_015667286.1
OG0000095	Nana09552-RA	XP_029139131.1
OG0000099	Nana20229-RA	XP_015673346.1
OG0000099	Nana02215-RA	XP_029140096.1
OG0000099	Nana24836-RA	XP_015675447.2
OG0000100	Nana28324-RA	XP_015683146.2
OG0000100	Nana28328-RB	"XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1"
OG0000100	"Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA"	XP_015682631.1
OG0000100	Nana28321-RA	XP_015683143.1
OG0000101	"Nana10097-RA, Nana10097-RB"	XP_015678399.1
OG0000101	Nana10097-RC	XP_015678398.1
OG0000101	Nana03073-RA	XP_015686607.1
OG0000101	Nana03073-RB	XP_015686600.1
OG0000101	Nana21110-RA	"XP_015687734.1, XP_015669788.1"
OG0000102	Nana04405-RA	XP_015675100.1
OG0000102	Nana27661-RA	XP_015682701.1
OG0000106	"Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA"	XP_015673749.1
OG0000106	"Nana03353-RF, Nana03353-RE, Nana03353-RB"	XP_015670458.1
OG0000106	Nana03353-RG	XP_015670457.1
OG0000108	"Nana34378-RB, Nana34378-RA"	"XP_015674991.1, XP_015685952.1, XP_015674990.1, XP_015674989.1, XP_015674988.1"
OG0000108	Nana34377-RA	XP_015675017.1
OG0000108	Nana34376-RA	XP_015675003.1
OG0000109	Nana21461-RA	"XP_029141959.1, XP_015678078.1, XP_015670871.1"
OG0000110	"Nana35843-RA, Nana05423-RA"	XP_015674238.1
OG0000110	"Nana05425-RA, Nana00887-RA"	"XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1"
OG0000111	"Nana17605-RA, Nana17605-RB"	XP_015671863.1
OG0000111	"Nana32413-RA, Nana26179-RA"	XP_015671967.2
OG0000111	Nana08966-RA	"XP_015685194.1, XP_015685989.1"
OG0000112	Nana22728-RA	XP_029139834.1
OG0000113	Nana02416-RA	XP_015676715.1
OG0000113	Nana02420-RA	"XP_015672662.1, XP_015672664.1, XP_015672663.1"
OG0000113	Nana02419-RA	"XP_015672656.1, XP_015672657.1"
OG0000115	Nana24320-RA	XP_015681977.1
OG0000115	Nana24321-RA	XP_029142064.1
OG0000115	Nana15381-RA	XP_015672908.1
OG0000115	Nana15378-RA	XP_015676950.1
OG0000116	Nana23099-RA	"XP_015687773.1, XP_015687806.2, XP_029143187.1"
OG0000118	"Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA"	"XP_015686784.1, XP_015685484.1, XP_015686918.2"
OG0000118	"Nana30521-RA, Nana30520-RA, Nana38829-RA"	"XP_015685483.1, XP_015685041.1, XP_015686387.1, XP_015685832.1, XP_015684166.1, XP_015686413.1"
OG0000118	Nana30546-RA	"XP_015686756.1, XP_015686637.1"
OG0000118	Nana30571-RA	XP_029141999.1
OG0000118	Nana30570-RA	XP_015681724.1
OG0000118	Nana30515-RA	XP_015682381.1
OG0000118	Nana35776-RA	XP_015680316.1
OG0000119	Nana30054-RA	XP_015675783.1
OG0000119	Nana07708-RA	XP_015678738.1
OG0000119	Nana24627-RA	"XP_015676013.1, XP_015680784.2"
OG0000119	Nana02918-RA	"XP_015667791.1, XP_015667790.1"
OG0000120	"Nana24316-RA, Nana24308-RA"	"XP_015681942.1, XP_015686317.1, XP_015681935.1"
OG0000120	Nana27152-RA	XP_015669915.1
OG0000121	"Nana15428-RA, Nana15421-RA, Nana15429-RB"	"XP_015684165.2, XP_029142635.1, XP_029142591.1"
OG0000126	"Nana11693-RA, Nana11693-RB"	"XP_015667989.1, XP_015667988.1"
OG0000126	Nana11690-RA	XP_015672138.1
OG0000126	"Nana33631-RC, Nana33631-RB, Nana33631-RA"	"XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1"
OG0000127	Nana21098-RA	XP_015684744.1
OG0000127	"Nana21079-RD, Nana21079-RC, Nana39208-RA"	XP_029141138.1
OG0000127	Nana21079-RE	XP_015686770.1
OG0000127	Nana38406-RA	XP_029142411.1
OG0000128	Nana23910-RA	XP_029142455.1
OG0000128	Nana23921-RA	"XP_015681176.1, XP_015681179.1"
OG0000128	Nana23918-RA	XP_015681182.1
OG0000128	"Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA"	XP_015687069.2
OG0000129	Nana13746-RA	XP_015677033.1
OG0000129	Nana16117-RA	XP_015669757.1
OG0000129	"Nana16115-RA, Nana01988-RA"	XP_029140022.1
OG0000129	Nana30228-RA	XP_029139363.1
OG0000129	"Nana30225-RA, Nana01987-RA"	XP_029140019.1
OG0000130	Nana36269-RA	"XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1"
OG0000130	Nana33055-RA	XP_029141364.1
OG0000131	"Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB"	XP_015675704.1
OG0000134	Nana13327-RA	"XP_029142359.1, XP_029142815.1, XP_015686361.2, XP_029140487.1, XP_029142865.1, XP_029140468.1, XP_029142960.1"
OG0000135	"Nana13295-RA, Nana38700-RC"	"XP_029143026.1, XP_029142788.1, XP_029142878.1, XP_029142287.1, XP_029142789.1"
OG0000136	Nana25848-RA	"XP_015680878.1, XP_015680870.1"
OG0000136	"Nana01675-RA, Nana01675-RB"	XP_015673847.1
OG0000136	Nana30115-RA	XP_029140470.1
OG0000136	"Nana32194-RC, Nana32194-RA, Nana32194-RB"	XP_029141621.1
OG0000137	"Nana21626-RB, Nana21626-RA"	XP_015667066.1
OG0000137	"Nana23253-RA, Nana23253-RB"	XP_015665901.1
OG0000137	"Nana03410-RA, Nana03410-RB"	XP_015676018.1
OG0000138	Nana21262-RA	"XP_015688007.1, XP_015688008.1, XP_015688006.1"
OG0000138	Nana08323-RA	XP_015681515.1
OG0000138	Nana03937-RA	XP_015672190.1
OG0000138	Nana03939-RA	XP_015672185.1
OG0000140	"Nana08095-RA, Nana26831-RA, Nana23487-RA, Nana22120-RA, Nana22339-RA"	XP_029142978.1
OG0000141	Nana23409-RA	"XP_029141886.1, XP_029141888.1, XP_029141929.1, XP_029139480.1, XP_029141934.1, XP_015681393.1, XP_029141642.1, XP_029141891.1, XP_029141892.1, XP_029141930.1, XP_029141933.1, XP_015681391.1, XP_015681395.1, XP_029141646.1, XP_029141645.1, XP_029141647.1, XP_029141644.1, XP_015681389.1, XP_015681387.1, XP_029141643.1, XP_029141640.1, XP_029141931.1, XP_029141890.1, XP_029141932.1, XP_029141639.1, XP_015681386.2, XP_015681388.1, XP_029141887.1, XP_015669885.1, XP_015680074.2, XP_015680075.1, XP_029141889.1, XP_015669886.1, XP_029141641.1, XP_029139479.1, XP_029139484.1, XP_029139478.1, XP_029139477.1, XP_029139476.1, XP_029139475.1"
OG0000143	Nana28454-RA	XP_015676537.1
OG0000143	"Nana18924-RD, Nana18924-RC"	"XP_015684838.1, XP_015671949.1"
OG0000143	Nana18923-RA	XP_015671953.1
OG0000143	Nana18922-RA	XP_015671938.1
OG0000143	Nana18920-RA	XP_015671939.1
OG0000144	"Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA"	"XP_029143019.1, XP_029142873.1, XP_029141366.1, XP_015685258.1, XP_029141365.1, XP_015686440.1, XP_029142369.1, XP_029141367.1, XP_015678767.1, XP_015683151.1, XP_015683350.1, XP_015685563.1, XP_015685103.1, XP_015684701.1, XP_015684933.1, XP_029142796.1, XP_015684959.1, XP_029142805.1, XP_015685104.1, XP_029142983.1, XP_015684680.2"
OG0000145	Nana13194-RA	XP_015682430.1
OG0000145	Nana13189-RA	XP_015682429.1
OG0000145	Nana13190-RA	"XP_015686853.1, XP_015686492.1"
OG0000145	Nana13195-RA	"XP_015685170.1, XP_015682427.1"
OG0000146	Nana23491-RA	XP_015674430.2
OG0000146	Nana23497-RA	XP_015674428.1
OG0000146	Nana23499-RA	"XP_029141375.1, XP_015665730.2"
OG0000147	Nana19440-RA	"XP_015667871.1, XP_015667872.1, XP_029139251.1"
OG0000147	Nana18452-RA	XP_015682850.1
OG0000147	Nana09013-RA	XP_015676540.1
OG0000147	Nana28363-RA	"XP_029141582.1, XP_015679774.1"
OG0000149	Nana30761-RA	XP_015678292.1
OG0000149	Nana30762-RA	XP_015680285.1
OG0000149	Nana01559-RA	XP_015674515.1
OG0000149	Nana04942-RA	XP_015669576.1
OG0000150	"Nana34190-RB, Nana34190-RA"	XP_015681862.1
OG0000150	Nana34186-RA	XP_015681761.1
OG0000150	Nana34187-RB	XP_015681941.1
OG0000150	Nana34187-RA	XP_015681947.1
OG0000151	Nana14459-RA	XP_015668037.1
OG0000151	"Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA"	XP_029139285.1
OG0000153	Nana11108-RA	XP_015669483.1
OG0000153	Nana30407-RA	XP_015677236.2
OG0000154	Nana21272-RA	XP_015666971.1
OG0000154	Nana03716-RA	XP_015681070.1
OG0000154	Nana39032-RA	XP_029139258.1
OG0000155	"Nana27596-RB, Nana27596-RA"	XP_029141321.1
OG0000155	Nana27598-RA	XP_029141320.1
OG0000155	Nana27600-RA	XP_015678568.1
OG0000156	Nana04038-RA	"XP_029142934.1, XP_015686873.1"
OG0000156	"Nana04034-RA, Nana04040-RA, Nana04043-RA, Nana04035-RA, Nana04045-RA"	"XP_029143117.1, XP_029142935.1"
OG0000156	Nana02904-RA	XP_015676189.1
OG0000158	"Nana37069-RA, Nana37069-RB"	XP_015680736.1
OG0000158	Nana14953-RA	XP_015666892.1
OG0000158	Nana37076-RA	XP_015677214.1
OG0000159	"Nana35151-RA, Nana35150-RA, Nana35148-RA"	"XP_029141105.1, XP_015677573.2"
OG0000160	Nana06954-RA	"XP_015685652.1, XP_015685536.1"
OG0000162	Nana01233-RA	XP_015672503.1
OG0000162	"Nana01383-RB, Nana01383-RC, Nana01383-RA"	XP_015679176.1
OG0000162	Nana35924-RA	XP_015679096.1
OG0000163	Nana10880-RA	"XP_015668795.1, XP_015668794.1, XP_015668792.2"
OG0000163	"Nana11460-RA, Nana14489-RA"	"XP_015672310.1, XP_029140139.1, XP_015672311.1, XP_029140136.1, XP_029140137.1, XP_015672308.1, XP_015672309.1, XP_029140138.1, XP_015672307.1"
OG0000164	Nana02902-RA	XP_015676190.1
