Orthogroup	N_naja.pep	H_sapiens.pep
OG0000073	Nana36370-RA	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6, ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6, ENSG00000173110.8
OG0000073	Nana05770-RA	ENSG00000126803.9
OG0000074	Nana11137-RA, Nana11138-RA	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5
OG0000077	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA	ENSG00000142405.21, ENSG00000162711.17
OG0000077	Nana04298-RA	ENSG00000276230.4, ENSG00000023191.17
OG0000081	Nana37639-RA	ENSG00000162438.12
OG0000081	Nana37247-RA	ENSG00000142789.20, ENSG00000219073.8
OG0000083	Nana00630-RA	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2, ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5, ENSG00000275302.2, ENSG00000276409.5, ENSG00000277236.4
OG0000085	Nana02961-RA	ENSG00000187498.16
OG0000085	Nana32101-RD	ENSG00000188153.13
OG0000085	Nana02958-RA	ENSG00000134871.19
OG0000085	Nana20286-RB	ENSG00000081052.13
OG0000085	Nana20288-RA	ENSG00000169031.20
OG0000086	Nana13407-RA	ENSG00000101210.12
OG0000086	Nana02319-RA	ENSG00000156508.18
OG0000087	Nana09343-RA, Nana09343-RB	ENSG00000133026.12
OG0000087	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA	ENSG00000276480.5, ENSG00000133392.18
OG0000087	Nana27331-RA	ENSG00000100345.21
OG0000087	Nana23710-RA	ENSG00000105357.18
OG0000090	Nana31033-RB, Nana31033-RA, Nana31033-RC	ENSG00000198848.12, ENSG00000262243.5
OG0000091	Nana30970-RA	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14
OG0000092	Nana12893-RB, Nana12893-RC, Nana12893-RA	ENSG00000167460.17
OG0000092	Nana32804-RA, Nana32804-RB	ENSG00000140416.22
OG0000092	Nana32804-RC	ENSG00000198467.15
OG0000093	Nana27045-RA	ENSG00000070961.15
OG0000093	Nana14174-RA	ENSG00000058668.14
OG0000093	Nana10674-RA	ENSG00000067842.17
OG0000094	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA	ENSG00000134007.5, ENSG00000139985.7
OG0000095	Nana09550-RA	ENSG00000178789.9, ENSG00000204345.1, ENSG00000186074.19
OG0000095	Nana09552-RA	ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4
OG0000099	Nana20229-RA	ENSG00000116106.12
OG0000099	Nana02215-RA	ENSG00000135333.14
OG0000099	Nana24836-RA	ENSG00000044524.11
OG0000100	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA	ENSG00000042980.13, ENSG00000134028.14
OG0000101	Nana10097-RA, Nana10097-RB, Nana10097-RC	ENSG00000092841.18
OG0000101	Nana03073-RA, Nana03073-RB	ENSG00000168530.16
OG0000101	Nana21110-RA	ENSG00000198336.9, ENSG00000160808.11
OG0000102	Nana04405-RA	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14
OG0000102	Nana27661-RA	ENSG00000111716.14, ENSG00000285854.1
OG0000106	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17
OG0000106	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG	ENSG00000170144.20
OG0000108	Nana34377-RA, Nana34376-RA	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16
OG0000109	Nana21461-RA	ENSG00000221944.8, ENSG00000177946.6
OG0000110	Nana35843-RA, Nana05423-RA	ENSG00000021645.19
OG0000110	Nana05425-RA, Nana00887-RA	ENSG00000179915.23
OG0000111	Nana17605-RA, Nana17605-RB	ENSG00000138758.11
OG0000111	Nana32413-RA, Nana26179-RA	ENSG00000154997.9, ENSG00000186522.15
OG0000111	Nana08966-RA	ENSG00000125354.23
OG0000112	Nana22728-RA	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5
OG0000113	Nana02420-RA, Nana02419-RA	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15
OG0000115	Nana24320-RA, Nana24321-RA, Nana24323-RA	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11
OG0000115	Nana15380-RA, Nana15381-RA, Nana15378-RA	ENSG00000012779.11, ENSG00000275565.4
OG0000116	Nana23099-RA	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17
OG0000116	Nana23092-RA	ENSG00000186395.8, ENSG00000171401.15, ENSG00000171346.16
OG0000116	Nana23093-RA, Nana23093-RB	ENSG00000171345.13
OG0000118	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA	ENSG00000124449.7
OG0000119	Nana30054-RA	ENSG00000169504.15
OG0000119	Nana07708-RA	ENSG00000213719.8, ENSG00000206394.8, ENSG00000226248.6, ENSG00000226417.6, ENSG00000226651.6, ENSG00000223639.6, ENSG00000230685.6
OG0000119	Nana24627-RA	ENSG00000159212.12
OG0000119	Nana02918-RA	ENSG00000112782.19
OG0000121	Nana15428-RA, Nana15421-RA, Nana15429-RB	ENSG00000253846.2, ENSG00000261934.2, ENSG00000253767.2, ENSG00000253159.3, ENSG00000253873.6, ENSG00000254245.2, ENSG00000081853.15, ENSG00000204956.5, ENSG00000253485.2, ENSG00000262576.3, ENSG00000253537.3, ENSG00000253731.2
OG0000126	Nana11693-RA, Nana11693-RB	ENSG00000196781.16
OG0000126	Nana11690-RA	ENSG00000106829.19
OG0000126	Nana33631-RC, Nana33631-RB, Nana33631-RA	ENSG00000140332.16
OG0000127	Nana21098-RA	ENSG00000170265.12
OG0000128	Nana23919-RA	ENSG00000259171.1
OG0000128	Nana23910-RA, Nana23921-RA	ENSG00000258818.4, ENSG00000129538.14
OG0000128	Nana23918-RA, Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA	ENSG00000214274.9
OG0000129	Nana13746-RA	ENSG00000196090.12
OG0000129	Nana16117-RA	ENSG00000173482.16
OG0000129	Nana30228-RA	ENSG00000060656.20
OG0000129	Nana30225-RA, Nana01987-RA	ENSG00000152894.14, ENSG00000273993.4
OG0000130	Nana36269-RA	ENSG00000159409.15
OG0000130	Nana33055-RA	ENSG00000273025.1, ENSG00000140488.16
OG0000131	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB	ENSG00000197111.15, ENSG00000169564.7
OG0000135	Nana13295-RA, Nana38700-RC, Nana38966-RA	ENSG00000125900.13, ENSG00000101307.15, ENSG00000089012.14, ENSG00000198053.11, ENSG00000260861.6
OG0000136	Nana25848-RA	ENSG00000177189.14
OG0000136	Nana01675-RA, Nana01675-RB	ENSG00000071242.12
OG0000136	Nana30115-RA	ENSG00000117676.14, ENSG00000281877.3
OG0000136	Nana32194-RC, Nana32194-RA, Nana32194-RB	ENSG00000072133.11
OG0000137	Nana21626-RB, Nana21626-RA	ENSG00000004799.8
OG0000137	Nana23253-RA, Nana23253-RB	ENSG00000005882.12
OG0000137	Nana03410-RA, Nana03410-RB	ENSG00000152256.13
OG0000138	Nana21262-RA	ENSG00000105993.15
OG0000138	Nana08323-RA	ENSG00000179407.3
OG0000138	Nana03939-RA	ENSG00000135924.15
OG0000143	Nana28454-RA	ENSG00000133878.9
OG0000143	Nana18923-RA, Nana18922-RA	ENSG00000079393.20
OG0000143	Nana18920-RA	ENSG00000188716.5, ENSG00000281660.1
OG0000144	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA	ENSG00000106560.11, ENSG00000213203.3
OG0000146	Nana23491-RA	ENSG00000103355.13, ENSG00000172382.10
OG0000147	Nana19440-RA	ENSG00000151640.13
OG0000147	Nana18452-RA	ENSG00000072832.15
OG0000147	Nana09013-RA	ENSG00000113657.13
OG0000147	Nana28363-RA	ENSG00000092964.18
OG0000149	Nana30762-RA	ENSG00000130402.12, ENSG00000282844.2
OG0000149	Nana01559-RA	ENSG00000077522.13
OG0000149	Nana04942-RA	ENSG00000072110.13
OG0000150	Nana34186-RA	ENSG00000183549.10
OG0000150	Nana34187-RB	ENSG00000215009.5
OG0000150	Nana34187-RA	ENSG00000066813.14, ENSG00000183747.12, ENSG00000166743.9
OG0000151	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA	ENSG00000187048.13, ENSG00000162365.12
OG0000153	Nana11108-RA	ENSG00000111640.15
OG0000153	Nana30407-RA	ENSG00000105679.9
OG0000154	Nana21272-RA	ENSG00000106018.14
OG0000154	Nana03716-RA	ENSG00000080293.9
OG0000154	Nana39032-RA	ENSG00000106128.19
OG0000155	Nana27596-RB, Nana27596-RA	ENSG00000134538.3, ENSG00000205754.11, ENSG00000257046.5, ENSG00000111700.12
OG0000155	Nana27598-RA, Nana27600-RA	ENSG00000084453.16
OG0000156	Nana02904-RA	ENSG00000203972.10
OG0000158	Nana36405-RA, Nana10438-RA	ENSG00000080573.7
OG0000158	Nana37069-RA, Nana37069-RB	ENSG00000130635.16
OG0000158	Nana14954-RA, Nana39299-RA, Nana37076-RA	ENSG00000060718.22
OG0000159	Nana35151-RA, Nana35150-RA, Nana35148-RA	ENSG00000128322.7, ENSG00000254709.8, ENSG00000211685.3, ENSG00000211675.2, ENSG00000211677.2, ENSG00000211679.2
OG0000160	Nana06954-RA	ENSG00000226260.9, ENSG00000230726.9, ENSG00000228987.9, ENSG00000227993.9, ENSG00000277263.1, ENSG00000204287.14, ENSG00000206308.11, ENSG00000234794.9, ENSG00000206291.10, ENSG00000224103.7, ENSG00000236177.9, ENSG00000235844.8, ENSG00000229685.8, ENSG00000228163.8, ENSG00000231389.7, ENSG00000168384.11, ENSG00000232957.11, ENSG00000206292.13, ENSG00000232962.11, ENSG00000231558.11, ENSG00000235744.11, ENSG00000204252.14, ENSG00000230141.11
OG0000162	Nana01233-RA	ENSG00000162909.18
OG0000162	Nana01232-RB	ENSG00000203697.12
OG0000162	Nana01383-RB, Nana01383-RC, Nana01383-RA	ENSG00000137225.13
OG0000162	Nana35924-RA	ENSG00000014216.15
OG0000163	Nana10880-RA	ENSG00000196361.10
OG0000163	Nana11460-RA, Nana14489-RA	ENSG00000107105.15
OG0000169	Nana16688-RB, Nana16688-RC, Nana16688-RA	ENSG00000151846.8, ENSG00000070756.16
OG0000169	Nana29768-RA	ENSG00000090621.14
OG0000169	Nana16688-RD	ENSG00000254535.4
OG0000169	Nana13679-RA	ENSG00000101104.12
OG0000171	Nana17789-RA	ENSG00000187758.8, ENSG00000248144.6, ENSG00000196616.14, ENSG00000196344.11
OG0000172	Nana08296-RA, Nana14058-RA	ENSG00000114554.11
OG0000172	Nana27786-RA	ENSG00000221866.9
OG0000172	Nana10639-RA	ENSG00000130827.6
OG0000174	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD	ENSG00000158571.11
OG0000174	Nana27734-RA	ENSG00000170525.21
OG0000174	Nana08485-RD, Nana08485-RC, Nana08485-RB	ENSG00000114268.12
OG0000179	Nana19279-RA	ENSG00000204021.4, ENSG00000182333.14
OG0000179	Nana19294-RA	ENSG00000173239.14
OG0000179	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA	ENSG00000107798.18
OG0000181	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA	ENSG00000204518.2, ENSG00000188984.12
OG0000183	Nana14703-RA	ENSG00000172260.15
OG0000183	Nana24962-RA	ENSG00000185565.12
OG0000183	Nana28668-RA, Nana28665-RA	ENSG00000182667.14
OG0000184	Nana12380-RA	ENSG00000164588.8
OG0000184	Nana33040-RA	ENSG00000138622.4
OG0000184	Nana36072-RA	ENSG00000143630.10, ENSG00000263324.5
OG0000184	Nana06340-RA	ENSG00000099822.3
OG0000185	Nana08360-RA	ENSG00000004059.11, ENSG00000168374.11
OG0000185	Nana10173-RA	ENSG00000134287.10
OG0000186	Nana18448-RA	ENSG00000074211.14
OG0000186	Nana19444-RA	ENSG00000175470.20
OG0000186	Nana09006-RA	ENSG00000221914.11
OG0000187	Nana02631-RA	ENSG00000143878.10
OG0000187	Nana08636-RA	ENSG00000067560.12
OG0000188	Nana10451-RA, Nana10448-RA, Nana10449-RA	ENSG00000104938.17, ENSG00000090659.18
OG0000193	Nana34739-RA, Nana34739-RB	ENSG00000110880.10
OG0000193	Nana04026-RB, Nana04026-RA	ENSG00000172725.14
OG0000193	Nana23748-RA	ENSG00000102879.15
OG0000194	Nana04300-RA	ENSG00000174775.17, ENSG00000276536.4
OG0000194	Nana13959-RA	ENSG00000213281.5
OG0000196	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA	ENSG00000092199.17, ENSG00000275774.3, ENSG00000283370.2, ENSG00000282530.2, ENSG00000274109.2, ENSG00000282175.2, ENSG00000179172.9, ENSG00000283231.1, ENSG00000179412.10, ENSG00000282559.1, ENSG00000283292.1, ENSG00000282095.1, ENSG00000277058.2, ENSG00000273865.2
OG0000197	Nana18220-RA	ENSG00000218336.9
OG0000197	Nana09163-RA	ENSG00000145934.16
OG0000197	Nana25443-RA	ENSG00000149256.16
OG0000197	Nana32135-RA	ENSG00000009694.13
OG0000198	Nana29992-RA	ENSG00000134698.11
OG0000198	Nana29987-RA	ENSG00000126070.20
OG0000198	Nana17024-RD, Nana17024-RB	ENSG00000123908.12
OG0000199	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC	ENSG00000163399.16
OG0000199	Nana30635-RA	ENSG00000285505.1, ENSG00000105409.19
OG0000199	Nana00152-RA	ENSG00000132681.17
OG0000199	Nana36358-RA	ENSG00000018625.15
OG0000200	Nana11623-RA	ENSG00000107242.19
OG0000200	Nana36320-RH, Nana36320-RG, Nana36320-RJ, Nana36320-RE, Nana36320-RC, Nana36320-RD, Nana36320-RB	ENSG00000143398.20
OG0000201	Nana14043-RA	ENSG00000008118.10
OG0000201	Nana10669-RA	ENSG00000130822.15
OG0000201	Nana07920-RC	ENSG00000134072.11
OG0000202	Nana19472-RA	ENSG00000088881.20
OG0000203	Nana12325-RA	ENSG00000113448.19
OG0000203	Nana10784-RA	ENSG00000065989.16
OG0000203	Nana14670-RA	ENSG00000184588.18
OG0000203	Nana06067-RA	ENSG00000105650.22, ENSG00000285188.1
