Orthogroup	N_naja.pep	A_carolinensis.pep
OG0000035	Nana38375-RA, Nana24024-RA	ENSACAG00000003944.2, ENSACAG00000022131.1, ENSACAG00000004225.3, ENSACAG00000022512.1, ENSACAG00000025141.1, ENSACAG00000026403.1, ENSACAG00000027697.1, ENSACAG00000026113.1, ENSACAG00000022580.1, ENSACAG00000013714.2, ENSACAG00000026610.1, ENSACAG00000023561.1, ENSACAG00000026581.1, ENSACAG00000022830.1, ENSACAG00000023466.1, ENSACAG00000024889.1, ENSACAG00000022781.1, ENSACAG00000024859.1, ENSACAG00000025712.1, ENSACAG00000022818.1, ENSACAG00000027834.1, ENSACAG00000029657.1, ENSACAG00000027690.2, ENSACAG00000023264.1, ENSACAG00000025786.1, ENSACAG00000026995.1, ENSACAG00000000373.2, ENSACAG00000022079.1, ENSACAG00000023862.1, ENSACAG00000026934.2, ENSACAG00000025967.1, ENSACAG00000023537.1, ENSACAG00000027335.1, ENSACAG00000027729.1, ENSACAG00000022260.1, ENSACAG00000022852.1, ENSACAG00000008162.2, ENSACAG00000002078.2, ENSACAG00000023489.1, ENSACAG00000025965.1, ENSACAG00000027051.1, ENSACAG00000024198.1, ENSACAG00000022659.1, ENSACAG00000022984.1, ENSACAG00000025708.1, ENSACAG00000027137.1, ENSACAG00000002146.2, ENSACAG00000027392.1, ENSACAG00000024977.1, ENSACAG00000023809.1, ENSACAG00000010540.2, ENSACAG00000025308.1, ENSACAG00000026456.1, ENSACAG00000024014.1, ENSACAG00000010429.3, ENSACAG00000026045.1, ENSACAG00000003761.2, ENSACAG00000023584.1, ENSACAG00000024244.2, ENSACAG00000006523.2, ENSACAG00000024455.1, ENSACAG00000025207.1, ENSACAG00000027466.1, ENSACAG00000026942.1, ENSACAG00000022384.1, ENSACAG00000023710.2, ENSACAG00000022537.1, ENSACAG00000024371.1, ENSACAG00000026784.1, ENSACAG00000026859.1, ENSACAG00000025809.1, ENSACAG00000024720.1, ENSACAG00000024168.1, ENSACAG00000027677.1, ENSACAG00000025567.1, ENSACAG00000001859.2, ENSACAG00000027405.1, ENSACAG00000022930.1, ENSACAG00000004720.2
OG0000039	Nana25427-RA	ENSACAG00000021090.2, ENSACAG00000021058.2
OG0000041	Nana06960-RA	ENSACAG00000029586.1
OG0000041	Nana07059-RA	ENSACAG00000027605.1, ENSACAG00000023158.1, ENSACAG00000024407.2, ENSACAG00000022577.1, ENSACAG00000024561.1, ENSACAG00000023154.1, ENSACAG00000024808.1, ENSACAG00000022378.1, ENSACAG00000022611.2
OG0000042	Nana15423-RA, Nana15427-RA, Nana15429-RA	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2
OG0000045	Nana30791-RA	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1
OG0000047	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE	ENSACAG00000017816.2
OG0000047	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB	ENSACAG00000017822.2, ENSACAG00000023869.2, ENSACAG00000025055.2
OG0000049	Nana38096-RA, Nana18741-RA, Nana19096-RA, Nana22203-RA, Nana22441-RA, Nana22326-RA, Nana02453-RA, Nana22206-RA, Nana15557-RA, Nana37767-RA, Nana37939-RA, Nana22298-RA, Nana22469-RA, Nana22759-RA, Nana24091-RA, Nana37713-RA, Nana10471-RA, Nana22492-RA, Nana22092-RA, Nana07672-RA, Nana26785-RA, Nana37877-RA, Nana04238-RA, Nana22493-RA, Nana22207-RA, Nana22202-RA, Nana22556-RA, Nana12007-RA, Nana04127-RA, Nana15374-RA, Nana22470-RA, Nana24450-RA, Nana22773-RA, Nana37741-RA, Nana10957-RA, Nana21912-RA, Nana39304-RA, Nana15361-RA, Nana22301-RA, Nana23109-RA, Nana33596-RA, Nana26874-RA, Nana21994-RA, Nana37845-RA, Nana22460-RA, Nana38878-RA, Nana10975-RA, Nana22142-RA, Nana29870-RA, Nana22391-RA, Nana22371-RA, Nana22641-RA, Nana15318-RA, Nana22924-RA, Nana03010-RA, Nana22921-RA, Nana13114-RA, Nana18294-RA, Nana18708-RA, Nana39343-RA, Nana22198-RA, Nana21384-RA, Nana38560-RA, Nana25872-RA, Nana22420-RA, Nana22393-RA, Nana26784-RA, Nana22441-RB, Nana39909-RA, Nana22574-RA, Nana24018-RA	ENSACAG00000029145.1
OG0000050	Nana16983-RA, Nana16985-RA, Nana39960-RA	ENSACAG00000025099.1, ENSACAG00000021137.2, ENSACAG00000021078.2
OG0000050	Nana16988-RA, Nana16986-RA	ENSACAG00000021146.2
OG0000050	Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA	ENSACAG00000029639.1, ENSACAG00000000131.2, ENSACAG00000000133.2
OG0000051	Nana03481-RA, Nana03471-RA	ENSACAG00000002063.3
OG0000051	Nana03469-RA	ENSACAG00000000353.3
OG0000051	Nana22919-RA	ENSACAG00000012739.3
OG0000051	Nana21196-RA	ENSACAG00000009381.3
OG0000051	Nana09998-RA	ENSACAG00000017243.3
OG0000053	Nana07283-RA, Nana07283-RB	ENSACAG00000003920.2
OG0000053	Nana05961-RA	ENSACAG00000028206.1
OG0000053	Nana37792-RA, Nana23513-RA	ENSACAG00000006825.2
OG0000053	Nana07296-RA	ENSACAG00000005304.2, ENSACAG00000028305.1
OG0000053	Nana07349-RA	ENSACAG00000003835.2
OG0000053	Nana07343-RA, Nana07342-RA, Nana07259-RA, Nana07292-RA, Nana07282-RA, Nana07375-RA	ENSACAG00000017789.2
OG0000053	Nana07255-RA	ENSACAG00000024768.1
OG0000056	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1
OG0000057	Nana20821-RA	ENSACAG00000011299.3
OG0000057	Nana20799-RA	ENSACAG00000011570.3
OG0000057	Nana20824-RA	ENSACAG00000011823.3, ENSACAG00000012051.2, ENSACAG00000009904.3, ENSACAG00000010281.3, ENSACAG00000028446.1, ENSACAG00000010263.3, ENSACAG00000022942.2, ENSACAG00000024471.2, ENSACAG00000009958.2, ENSACAG00000022100.2, ENSACAG00000009906.2, ENSACAG00000009463.2, ENSACAG00000009632.2, ENSACAG00000008999.3, ENSACAG00000010252.3
OG0000057	Nana20776-RA, Nana20777-RA, Nana20786-RA, Nana20771-RA, Nana20773-RA, Nana20784-RA, Nana20793-RA, Nana20777-RB	ENSACAG00000010307.3
OG0000059	Nana09728-RA	ENSACAG00000015238.2
OG0000059	Nana34355-RA	ENSACAG00000001200.3
OG0000059	Nana05169-RA	ENSACAG00000001104.3
OG0000059	Nana28043-RB, Nana28043-RA	ENSACAG00000001718.2
OG0000059	Nana01616-RA, Nana19300-RA	ENSACAG00000000475.3
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3
OG0000062	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA	ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2
OG0000062	Nana23927-RA, Nana18624-RB, Nana18624-RA	ENSACAG00000029001.1
OG0000062	Nana27935-RA	ENSACAG00000029029.1, ENSACAG00000000571.2
OG0000062	Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA	ENSACAG00000029058.1
OG0000063	Nana12777-RA	ENSACAG00000023930.1
OG0000065	Nana05575-RB, Nana05575-RA, Nana05574-RA	ENSACAG00000004073.3
OG0000066	Nana07879-RA	ENSACAG00000011147.2
OG0000067	Nana07313-RA, Nana07307-RA, Nana07305-RA, Nana07304-RA, Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA, Nana07271-RA, Nana07322-RC, Nana07279-RA, Nana07312-RA, Nana07274-RA, Nana07322-RA, Nana07258-RA	ENSACAG00000012916.1
OG0000069	Nana09934-RA	ENSACAG00000009989.3
OG0000069	Nana10146-RA	ENSACAG00000009223.2
OG0000069	Nana10137-RA	ENSACAG00000029377.1
OG0000069	Nana10142-RA	ENSACAG00000009380.3
OG0000069	Nana10295-RA	ENSACAG00000007510.2
OG0000072	Nana35916-RA	ENSACAG00000006380.3, ENSACAG00000013956.2, ENSACAG00000024988.2, ENSACAG00000026822.2
OG0000072	Nana00984-RA	ENSACAG00000004635.2, ENSACAG00000004528.3
OG0000073	Nana36370-RA	ENSACAG00000014684.2
OG0000073	Nana30547-RA, Nana30547-RB	ENSACAG00000028324.1
OG0000073	Nana05770-RA	ENSACAG00000015774.1
OG0000074	Nana39081-RB, Nana39423-RA, Nana39648-RA, Nana39219-RA	ENSACAG00000007893.3
OG0000074	Nana11137-RA, Nana11138-RA	ENSACAG00000007958.3
OG0000077	Nana12814-RA	ENSACAG00000022288.2
OG0000077	Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA	ENSACAG00000024664.2
OG0000077	Nana04298-RA	ENSACAG00000014816.3
OG0000080	Nana38637-RA, Nana38740-RA, Nana39575-RA, Nana06848-RA, Nana06812-RA, Nana13283-RB, Nana13283-RC, Nana13283-RA, Nana37840-RA, Nana06904-RA, Nana13282-RA, Nana38043-RA, Nana24359-RA, Nana06873-RA, Nana06835-RA, Nana06839-RA, Nana38056-RA, Nana38276-RC, Nana24361-RA, Nana06859-RA, Nana06841-RB, Nana06841-RA, Nana06870-RA, Nana06870-RB, Nana39573-RA, Nana06506-RA, Nana06869-RA, Nana06832-RB, Nana06832-RC, Nana38875-RA, Nana38875-RB, Nana38053-RA, Nana38048-RA, Nana38050-RA, Nana38411-RA, Nana38704-RA, Nana39847-RA, Nana27798-RA, Nana38738-RA, Nana39897-RA, Nana06945-RA, Nana06852-RA, Nana06938-RA, Nana06857-RA, Nana38276-RB, Nana06865-RB, Nana06849-RA, Nana06855-RA, Nana38041-RA, Nana38291-RA	ENSACAG00000028691.1
OG0000081	Nana37247-RA	ENSACAG00000028645.1
OG0000082	Nana14207-RA	ENSACAG00000028863.1, ENSACAG00000028905.1, ENSACAG00000029474.1, ENSACAG00000029339.1, ENSACAG00000028350.1, ENSACAG00000029109.1, ENSACAG00000029411.1, ENSACAG00000028941.1, ENSACAG00000029287.1, ENSACAG00000028329.1, ENSACAG00000028610.1, ENSACAG00000028877.1, ENSACAG00000029583.1, ENSACAG00000028309.1, ENSACAG00000028520.1, ENSACAG00000029092.1, ENSACAG00000028440.1, ENSACAG00000028541.1, ENSACAG00000029527.1, ENSACAG00000029520.1, ENSACAG00000028449.1, ENSACAG00000028552.1, ENSACAG00000028582.1, ENSACAG00000028738.1, ENSACAG00000029383.1, ENSACAG00000029519.1, ENSACAG00000028970.1, ENSACAG00000028263.1, ENSACAG00000029396.1, ENSACAG00000028985.1, ENSACAG00000028321.1, ENSACAG00000028485.1, ENSACAG00000029421.1, ENSACAG00000028868.1, ENSACAG00000028394.1, ENSACAG00000029501.1, ENSACAG00000028407.1, ENSACAG00000029489.1, ENSACAG00000029199.1, ENSACAG00000028789.1, ENSACAG00000029437.1, ENSACAG00000029200.1, ENSACAG00000028621.1, ENSACAG00000028543.1, ENSACAG00000028434.1, ENSACAG00000029132.1, ENSACAG00000028706.1, ENSACAG00000023092.1, ENSACAG00000029003.1, ENSACAG00000028852.1
OG0000085	Nana02961-RA	ENSACAG00000014194.3
OG0000085	Nana32101-RD	ENSACAG00000012321.3
OG0000085	Nana02958-RA	ENSACAG00000014055.2
OG0000085	Nana20286-RB	ENSACAG00000003770.3
OG0000085	Nana20288-RA	ENSACAG00000004217.3
OG0000086	Nana13407-RA	ENSACAG00000006007.3
OG0000086	Nana02319-RA	ENSACAG00000004556.3
OG0000087	Nana09343-RA, Nana09343-RB	ENSACAG00000017579.3
OG0000087	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA	ENSACAG00000008633.3
OG0000087	Nana27331-RA	ENSACAG00000016387.3
OG0000087	Nana23710-RA	ENSACAG00000015586.3
OG0000090	Nana31033-RB, Nana31033-RA, Nana31033-RC, Nana31027-RA	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2
OG0000092	Nana12893-RB	ENSACAG00000011479.3
OG0000092	Nana32804-RC	ENSACAG00000022662.1
OG0000093	Nana27045-RA	ENSACAG00000011979.3
OG0000093	Nana14174-RA	ENSACAG00000010151.3
OG0000093	Nana19135-RA	ENSACAG00000010617.2
OG0000093	Nana10674-RA	ENSACAG00000009210.3
OG0000094	Nana04968-RC	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1
OG0000094	Nana04967-RA, Nana04968-RA, Nana04966-RA	ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2
OG0000094	Nana25546-RA	ENSACAG00000015961.3
OG0000094	Nana25533-RA	ENSACAG00000022750.1
OG0000095	Nana09550-RA	ENSACAG00000005375.3
OG0000095	Nana09552-RA	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1
OG0000098	Nana23223-RA	ENSACAG00000027109.1, ENSACAG00000005423.2, ENSACAG00000001206.2, ENSACAG00000026136.1, ENSACAG00000023852.1, ENSACAG00000027875.1, ENSACAG00000028040.1, ENSACAG00000026203.1, ENSACAG00000023848.1, ENSACAG00000023173.1, ENSACAG00000027590.1, ENSACAG00000025381.1, ENSACAG00000024362.1, ENSACAG00000029241.1, ENSACAG00000028894.1, ENSACAG00000029454.1, ENSACAG00000025137.1, ENSACAG00000023834.2, ENSACAG00000024750.1, ENSACAG00000022637.1, ENSACAG00000027535.1, ENSACAG00000022668.1, ENSACAG00000025004.1, ENSACAG00000027418.1, ENSACAG00000025751.1, ENSACAG00000026734.1, ENSACAG00000024498.1, ENSACAG00000026091.1, ENSACAG00000023214.1, ENSACAG00000024773.1, ENSACAG00000023485.1, ENSACAG00000026110.1, ENSACAG00000024307.1, ENSACAG00000023888.1, ENSACAG00000024980.1, ENSACAG00000028585.1, ENSACAG00000023336.1, ENSACAG00000027111.1, ENSACAG00000023091.1, ENSACAG00000022708.1, ENSACAG00000028099.1, ENSACAG00000022428.1, ENSACAG00000026661.1, ENSACAG00000026449.1, ENSACAG00000028023.1
OG0000099	Nana20229-RA	ENSACAG00000005061.3
OG0000099	Nana02215-RA	ENSACAG00000003318.3
OG0000099	Nana24836-RA	ENSACAG00000000872.2
OG0000100	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA	ENSACAG00000011428.3
OG0000101	Nana10097-RA, Nana10097-RB	ENSACAG00000007876.3
OG0000101	Nana03073-RB	ENSACAG00000010643.3
OG0000101	Nana21110-RA	ENSACAG00000017407.2, ENSACAG00000005125.3
OG0000102	Nana04405-RA	ENSACAG00000000061.3
OG0000102	Nana27661-RA	ENSACAG00000017089.3
OG0000106	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA	ENSACAG00000007169.3
OG0000106	Nana03353-RG	ENSACAG00000012234.3
OG0000108	Nana34378-RB, Nana34378-RA	ENSACAG00000026691.1, ENSACAG00000001762.3, ENSACAG00000001765.3
OG0000108	Nana34377-RA	ENSACAG00000000874.3
OG0000108	Nana34376-RA	ENSACAG00000017475.3
OG0000109	Nana22436-RA, Nana06305-RA	ENSACAG00000022728.2
OG0000109	Nana21461-RA	ENSACAG00000021011.2, ENSACAG00000024704.1, ENSACAG00000027474.1, ENSACAG00000017078.2, ENSACAG00000024505.1, ENSACAG00000016372.2, ENSACAG00000017462.2, ENSACAG00000022446.2, ENSACAG00000024590.1, ENSACAG00000025266.1, ENSACAG00000024991.1
OG0000110	Nana35843-RA, Nana05423-RA	ENSACAG00000017328.3, ENSACAG00000015074.3
OG0000110	Nana05425-RA, Nana00887-RA	ENSACAG00000001550.3
OG0000111	Nana17605-RA, Nana17605-RB	ENSACAG00000012255.3
OG0000111	Nana32413-RA, Nana26179-RA	ENSACAG00000001660.3
OG0000111	Nana08966-RA	ENSACAG00000011892.3
OG0000112	Nana22728-RA	ENSACAG00000029696.1, ENSACAG00000009562.3, ENSACAG00000009384.3
OG0000113	Nana02416-RA	ENSACAG00000008814.2
OG0000113	Nana02419-RA	ENSACAG00000021110.2, ENSACAG00000001664.3, ENSACAG00000009032.3, ENSACAG00000008898.2
OG0000115	Nana24320-RA	ENSACAG00000029538.1
OG0000115	Nana24323-RA	ENSACAG00000005188.3, ENSACAG00000025047.1, ENSACAG00000005203.3, ENSACAG00000005465.2
OG0000115	Nana15378-RA	ENSACAG00000013726.3
OG0000116	Nana23099-RA	ENSACAG00000026769.2, ENSACAG00000017879.3
OG0000116	Nana23092-RA	ENSACAG00000028720.1
OG0000116	Nana23093-RA, Nana23093-RB	ENSACAG00000017868.3
OG0000118	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA	ENSACAG00000027865.2
OG0000118	Nana30546-RA	ENSACAG00000027084.2
OG0000118	Nana30571-RA	ENSACAG00000006864.2, ENSACAG00000027740.2
OG0000118	Nana30570-RA, Nana30515-RA	ENSACAG00000004461.2, ENSACAG00000005249.2
OG0000118	Nana35776-RA	ENSACAG00000022806.2
OG0000119	Nana30054-RA	ENSACAG00000017852.2
OG0000119	Nana07708-RA	ENSACAG00000017312.2
OG0000119	Nana02918-RA	ENSACAG00000013030.3
OG0000120	Nana23740-RA, Nana23738-RA	ENSACAG00000015475.2
OG0000120	Nana24316-RA, Nana24308-RA	ENSACAG00000026425.1, ENSACAG00000004423.2
OG0000121	Nana15428-RA, Nana15421-RA, Nana15429-RB	ENSACAG00000012366.2, ENSACAG00000023024.1, ENSACAG00000024968.1, ENSACAG00000023556.1, ENSACAG00000024949.1, ENSACAG00000026692.1, ENSACAG00000028163.1, ENSACAG00000022026.1, ENSACAG00000025849.1, ENSACAG00000024960.1
OG0000126	Nana11693-RA, Nana11693-RB	ENSACAG00000002262.3
OG0000126	Nana11690-RA	ENSACAG00000002789.2
OG0000126	Nana33631-RC, Nana33631-RB, Nana33631-RA	ENSACAG00000014467.3
