Orthogroup	A_carolinensis.pep	P_Mucros.pep
OG0000013	ENSACAG00000026301.1	XP_015668983.1, XP_015669884.2, XP_029139679.1
OG0000014	ENSACAG00000026224.2	XP_015680070.1
OG0000014	ENSACAG00000021043.1	XP_015669928.1, XP_015669926.1
OG0000014	ENSACAG00000024894.1	XP_015665992.1, XP_015681930.1
OG0000014	ENSACAG00000007297.3	XP_015674626.1
OG0000015	ENSACAG00000006471.3	XP_029141494.1, XP_029142842.1, XP_029142300.1
OG0000015	ENSACAG00000024638.2	XP_015681564.2, XP_029141960.1, XP_015681563.1, XP_029142070.1, XP_029142071.1
OG0000015	ENSACAG00000024939.1, ENSACAG00000025539.1	XP_015683644.1, XP_015684435.1, XP_029142095.1
OG0000018	ENSACAG00000021103.2	XP_015686319.1
OG0000018	ENSACAG00000024530.1, ENSACAG00000015323.3	XP_015665997.1
OG0000021	ENSACAG00000017332.3	XP_015665898.1, XP_015665882.1, XP_015665890.1
OG0000021	ENSACAG00000017003.3	XP_029138891.1
OG0000021	ENSACAG00000007497.3	XP_015669261.1
OG0000021	ENSACAG00000006610.3	XP_015677905.1, XP_015677906.1, XP_015677907.1
OG0000021	ENSACAG00000006296.3	XP_015677713.1
OG0000023	ENSACAG00000002843.2	XP_015680186.1, XP_015680187.1
OG0000023	ENSACAG00000008699.2	XP_015677478.2, XP_029141074.1
OG0000023	ENSACAG00000022276.1, ENSACAG00000010915.2	XP_029140194.1, XP_015672569.2
OG0000023	ENSACAG00000008714.2	XP_015677304.1
OG0000023	ENSACAG00000025829.1	XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1
OG0000025	ENSACAG00000006391.2	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1
OG0000026	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1	XP_029142608.1, XP_029142559.1, XP_015684188.2, XP_029142606.1
OG0000027	ENSACAG00000005101.2, ENSACAG00000002559.3	XP_015670228.1, XP_015681657.1
OG0000027	ENSACAG00000013417.3	XP_015672184.1
OG0000027	ENSACAG00000017598.3	XP_015684007.1, XP_015674309.1
OG0000027	ENSACAG00000012426.3	XP_015679069.1
OG0000027	ENSACAG00000012411.3	XP_015679074.1
OG0000027	ENSACAG00000013342.3, ENSACAG00000028051.2	XP_015672183.1, XP_015672182.1
OG0000027	ENSACAG00000013414.3	XP_015670229.1
OG0000029	ENSACAG00000007370.3	XP_015677404.1
OG0000029	ENSACAG00000029684.1	XP_015683489.1
OG0000029	ENSACAG00000028764.1	XP_015668619.1
OG0000029	ENSACAG00000029007.1	XP_029139397.1
OG0000029	ENSACAG00000011658.3	XP_015672252.1
OG0000029	ENSACAG00000007961.3	XP_015677400.1
OG0000031	ENSACAG00000005129.2, ENSACAG00000005055.3	XP_015669362.1
OG0000031	ENSACAG00000002646.2, ENSACAG00000008145.3, ENSACAG00000004881.2	XP_015669369.1, XP_015669367.1, XP_015669370.1, XP_015669368.1, XP_015669366.1, XP_029139546.1, XP_029139545.1, XP_029139547.1, XP_029139544.1, XP_029139542.1, XP_029139543.1
OG0000031	ENSACAG00000014804.2, ENSACAG00000013978.2, ENSACAG00000028689.1, ENSACAG00000026849.1, ENSACAG00000025222.1, ENSACAG00000028549.1, ENSACAG00000026831.1, ENSACAG00000028685.1, ENSACAG00000027070.1, ENSACAG00000028069.1, ENSACAG00000022418.1, ENSACAG00000024612.1, ENSACAG00000004347.2, ENSACAG00000028595.1, ENSACAG00000004759.3, ENSACAG00000004682.3	XP_029139541.1, XP_015669359.1
OG0000032	ENSACAG00000002989.2	XP_015676330.1, XP_015676339.1
OG0000034	ENSACAG00000017201.3	XP_015681155.1
OG0000034	ENSACAG00000012869.2	XP_015687129.1
OG0000034	ENSACAG00000017670.3	XP_015669891.1
OG0000034	ENSACAG00000017677.3	XP_015669671.1
OG0000034	ENSACAG00000015226.3	XP_015678223.1
OG0000034	ENSACAG00000001102.2	XP_015679451.1
OG0000041	ENSACAG00000029586.1	XP_015678898.1, XP_015674874.1
OG0000041	ENSACAG00000011268.2, ENSACAG00000026171.1, ENSACAG00000029675.1, ENSACAG00000028998.1, ENSACAG00000026226.1, ENSACAG00000025597.2, ENSACAG00000014018.2, ENSACAG00000026597.1, ENSACAG00000025016.2, ENSACAG00000012859.2, ENSACAG00000010386.3, ENSACAG00000010225.3, ENSACAG00000025636.1, ENSACAG00000026755.1, ENSACAG00000023927.2, ENSACAG00000012963.2	XP_015685068.2
OG0000041	ENSACAG00000012210.2, ENSACAG00000029028.1, ENSACAG00000027930.2, ENSACAG00000026827.2, ENSACAG00000028855.1, ENSACAG00000023808.2, ENSACAG00000028195.1, ENSACAG00000023749.1, ENSACAG00000027275.1, ENSACAG00000022693.2, ENSACAG00000025624.1, ENSACAG00000024701.2, ENSACAG00000026956.1, ENSACAG00000025274.1, ENSACAG00000024680.1, ENSACAG00000027065.2, ENSACAG00000025038.1, ENSACAG00000025615.2, ENSACAG00000022033.2, ENSACAG00000027215.1, ENSACAG00000027155.2, ENSACAG00000025519.1, ENSACAG00000024849.1, ENSACAG00000023780.2, ENSACAG00000026923.2, ENSACAG00000026249.2, ENSACAG00000026016.1, ENSACAG00000023752.1, ENSACAG00000024674.1, ENSACAG00000010912.2, ENSACAG00000028149.1, ENSACAG00000024631.2, ENSACAG00000028034.2, ENSACAG00000025109.2, ENSACAG00000025588.2, ENSACAG00000002775.3, ENSACAG00000028283.1	XP_029142712.1
OG0000041	ENSACAG00000027605.1, ENSACAG00000023158.1, ENSACAG00000024407.2, ENSACAG00000022577.1, ENSACAG00000024561.1, ENSACAG00000023154.1, ENSACAG00000024808.1, ENSACAG00000022378.1, ENSACAG00000022611.2	XP_029141199.1
OG0000042	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2	XP_029142585.1
OG0000042	ENSACAG00000015633.3, ENSACAG00000026732.1, ENSACAG00000024780.1, ENSACAG00000024944.1, ENSACAG00000026340.1, ENSACAG00000023499.1	XP_015684114.1, XP_029142579.1
OG0000045	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1	XP_029142106.1
OG0000047	ENSACAG00000017822.2, ENSACAG00000023869.2, ENSACAG00000025055.2	XP_015677274.1, XP_015676675.1, XP_015676674.1, XP_015676672.1, XP_015676673.1, XP_015676670.1, XP_015676671.1, XP_015676669.1, XP_015677273.1, XP_015677272.1
OG0000050	ENSACAG00000025099.1, ENSACAG00000021137.2, ENSACAG00000021078.2	XP_029142422.1, XP_029140729.1
OG0000050	ENSACAG00000021146.2	XP_015678109.1, XP_015678110.1, XP_015685176.2, XP_015678113.2, XP_015678116.1, XP_015678118.1, XP_015678117.1
OG0000050	ENSACAG00000029639.1, ENSACAG00000000131.2, ENSACAG00000000133.2	XP_015680472.2, XP_029141732.1, XP_015678112.1, XP_015680471.2, XP_015680476.2, XP_015680474.2, XP_015685624.2, XP_015680470.1, XP_015680468.1, XP_029141731.1, XP_015680473.1
OG0000050	ENSACAG00000004224.2	XP_029142247.1
OG0000051	ENSACAG00000002063.3	XP_029141524.1
OG0000051	ENSACAG00000002844.3	XP_015679123.1
OG0000051	ENSACAG00000001038.3	XP_029141610.1
OG0000051	ENSACAG00000000353.3	XP_015679120.1
OG0000051	ENSACAG00000012739.3	XP_029143052.1
OG0000051	ENSACAG00000009381.3	XP_015688000.1
OG0000051	ENSACAG00000009159.3	XP_015688027.1
OG0000051	ENSACAG00000017243.3	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1
OG0000053	ENSACAG00000029154.1	XP_029139701.1
OG0000053	ENSACAG00000028022.2, ENSACAG00000029105.1	XP_029142755.1, XP_029142424.1, XP_029142382.1
OG0000053	ENSACAG00000006825.2	XP_015665798.1, XP_015681317.1
OG0000053	ENSACAG00000029407.1	XP_015671808.2
OG0000053	ENSACAG00000005304.2, ENSACAG00000028305.1	XP_015685493.1, XP_015683778.2
OG0000053	ENSACAG00000027551.2, ENSACAG00000008664.2, ENSACAG00000029589.1, ENSACAG00000026315.2, ENSACAG00000022907.1, ENSACAG00000028824.1	XP_015678893.1
OG0000053	ENSACAG00000003835.2	XP_029142333.1
OG0000054	ENSACAG00000025114.1, ENSACAG00000027656.2	XP_015671511.1
OG0000054	ENSACAG00000029453.1, ENSACAG00000029127.1	XP_029140903.1
OG0000054	ENSACAG00000025671.2, ENSACAG00000022748.2, ENSACAG00000003902.3, ENSACAG00000028803.1, ENSACAG00000024957.1, ENSACAG00000025246.1, ENSACAG00000023005.2, ENSACAG00000028572.1, ENSACAG00000025781.1, ENSACAG00000022028.1, ENSACAG00000024265.1, ENSACAG00000006630.3, ENSACAG00000024062.1, ENSACAG00000022494.2, ENSACAG00000028988.1, ENSACAG00000024581.1, ENSACAG00000023984.1, ENSACAG00000028886.1, ENSACAG00000026879.2, ENSACAG00000026848.1, ENSACAG00000025301.1, ENSACAG00000027577.2, ENSACAG00000022603.1, ENSACAG00000023018.2, ENSACAG00000026038.1, ENSACAG00000023239.2, ENSACAG00000027528.1, ENSACAG00000023395.2, ENSACAG00000023526.2, ENSACAG00000029457.1, ENSACAG00000029398.1, ENSACAG00000029162.1, ENSACAG00000024846.1, ENSACAG00000027133.2, ENSACAG00000029330.1, ENSACAG00000025667.1, ENSACAG00000022280.1, ENSACAG00000027246.2, ENSACAG00000002585.2, ENSACAG00000028567.1, ENSACAG00000028649.1, ENSACAG00000029426.1, ENSACAG00000006596.3, ENSACAG00000001767.3, ENSACAG00000029263.1, ENSACAG00000028823.1, ENSACAG00000029476.1, ENSACAG00000024511.2, ENSACAG00000029491.1, ENSACAG00000028462.1, ENSACAG00000024153.1, ENSACAG00000029242.1, ENSACAG00000023124.1, ENSACAG00000024210.2, ENSACAG00000027143.1, ENSACAG00000025247.1	XP_029141394.1, XP_029141969.1
OG0000055	ENSACAG00000027280.1	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1
OG0000055	ENSACAG00000010884.2, ENSACAG00000027953.1	XP_029139999.1, XP_029140004.1
OG0000055	ENSACAG00000010760.2	XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1
OG0000055	ENSACAG00000024757.1	XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2
OG0000055	ENSACAG00000028141.1	XP_029138831.1
OG0000055	ENSACAG00000023599.1	XP_015665604.1, XP_015665603.1, XP_015665594.1, XP_015665596.1, XP_015665589.2
OG0000056	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1	XP_015686863.1, XP_015686845.1, XP_015686795.1, XP_015667034.1, XP_029139102.1
OG0000057	ENSACAG00000011299.3	XP_015687186.2
OG0000057	ENSACAG00000011570.3	XP_015675899.1, XP_015687190.2, XP_015687185.2, XP_015687192.2
OG0000057	ENSACAG00000010307.3	XP_015679163.2, XP_015679108.2, XP_015679109.2, XP_015679164.2, XP_029140766.1, XP_015683374.1, XP_015675889.2, XP_015675900.2, XP_015675893.2, XP_029141441.1, XP_029141451.1, XP_029141440.1, XP_015684092.2, XP_015679106.2, XP_015684036.2, XP_015679161.2, XP_015679159.2, XP_029141452.1, XP_015684294.2, XP_029140767.1
OG0000059	ENSACAG00000015238.2	XP_015670662.1
OG0000059	ENSACAG00000001200.3	XP_015682953.1
OG0000059	ENSACAG00000001104.3	XP_015684708.1
OG0000059	ENSACAG00000000836.3	XP_015679888.1
OG0000059	ENSACAG00000001718.2	XP_015666627.1, XP_015666628.1
OG0000059	ENSACAG00000000475.3	XP_015671497.1, XP_015687360.1
OG0000061	ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1
OG0000061	ENSACAG00000012097.2, ENSACAG00000012089.3	XP_015681309.1, XP_029141912.1
OG0000062	ENSACAG00000028723.1	XP_029142850.1
OG0000062	ENSACAG00000007915.2, ENSACAG00000022832.2	XP_029142268.1
OG0000062	ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2	XP_029142599.1, XP_015684243.1, XP_015676883.1
OG0000062	ENSACAG00000029001.1	XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1
OG0000062	ENSACAG00000029029.1, ENSACAG00000000571.2	XP_015673408.1
OG0000062	ENSACAG00000029058.1	XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1
OG0000065	ENSACAG00000004073.3	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2
OG0000066	ENSACAG00000002916.2, ENSACAG00000027083.1, ENSACAG00000022686.1, ENSACAG00000024430.1, ENSACAG00000024717.1, ENSACAG00000025390.1, ENSACAG00000024880.1, ENSACAG00000028465.1, ENSACAG00000027562.1, ENSACAG00000026157.1, ENSACAG00000023819.1, ENSACAG00000012710.2, ENSACAG00000000660.2, ENSACAG00000027911.1, ENSACAG00000028798.1, ENSACAG00000024325.1, ENSACAG00000024436.1, ENSACAG00000023714.1, ENSACAG00000027882.1, ENSACAG00000023288.1, ENSACAG00000027510.1, ENSACAG00000007845.2, ENSACAG00000007161.2, ENSACAG00000026996.1, ENSACAG00000022012.1, ENSACAG00000026659.1, ENSACAG00000024353.1, ENSACAG00000001119.2, ENSACAG00000010538.2, ENSACAG00000002211.2, ENSACAG00000024818.1, ENSACAG00000023562.1, ENSACAG00000004158.2, ENSACAG00000028083.1, ENSACAG00000028075.1, ENSACAG00000011048.2, ENSACAG00000015467.2, ENSACAG00000024388.1, ENSACAG00000011147.2, ENSACAG00000000082.2, ENSACAG00000026535.1, ENSACAG00000017171.2	XP_029142067.1, XP_029142710.1
OG0000067	ENSACAG00000012916.1	XP_015686765.2, XP_029140118.1, XP_015672278.1, XP_029142810.1, XP_029142556.1, XP_015685658.1, XP_029143041.1, XP_029140375.1, XP_029142563.1, XP_029142626.1, XP_029142564.1, XP_029142372.1, XP_029142985.1, XP_029142373.1, XP_029142374.1, XP_029142992.1, XP_029142951.1, XP_029142371.1, XP_029142376.1, XP_029142375.1, XP_029140376.1, XP_029142588.1, XP_029140377.1, XP_029142812.1, XP_029142861.1, XP_029142565.1, XP_029142555.1, XP_015686428.1, XP_029142886.1, XP_015683356.1, XP_015685286.1, XP_015686074.1, XP_015684091.2, XP_029142379.1, XP_029142450.1, XP_029142811.1
OG0000069	ENSACAG00000009989.3	XP_015679681.1
OG0000069	ENSACAG00000009223.2	XP_015678382.1, XP_015678381.1, XP_015678383.1
OG0000069	ENSACAG00000029377.1	XP_015686129.1
OG0000069	ENSACAG00000009380.3	XP_015678380.1, XP_029141284.1
OG0000069	ENSACAG00000007510.2	XP_015672627.1
OG0000072	ENSACAG00000013956.2	XP_015684770.2, XP_029141432.1
OG0000072	ENSACAG00000024988.2	XP_029141435.1
OG0000072	ENSACAG00000026822.2	XP_029141436.1
OG0000072	ENSACAG00000004635.2, ENSACAG00000004528.3	XP_015671903.1
OG0000072	ENSACAG00000008091.2	XP_015680830.1
OG0000073	ENSACAG00000014684.2	XP_015674252.1
OG0000073	ENSACAG00000004884.2	XP_015676898.1
OG0000073	ENSACAG00000028324.1	XP_015678018.1
OG0000073	ENSACAG00000015774.1	XP_015668814.1
OG0000074	ENSACAG00000007893.3	XP_015670841.1, XP_015670838.1, XP_029139862.1
OG0000074	ENSACAG00000016715.2	XP_015672094.1
OG0000074	ENSACAG00000007958.3	XP_015670840.1, XP_015670842.1
OG0000077	ENSACAG00000022288.2	XP_029141841.1
OG0000077	ENSACAG00000024664.2	XP_015679149.1, XP_029140712.1, XP_015679160.1, XP_015681733.2, XP_015672809.1
OG0000077	ENSACAG00000014816.3	XP_015671970.1, XP_015671971.1
OG0000080	ENSACAG00000028691.1	XP_029141141.1
OG0000081	ENSACAG00000012636.3	XP_015686395.1, XP_015686839.1, XP_015686746.1, XP_015686887.1, XP_015685638.1
OG0000081	ENSACAG00000028645.1	XP_015683637.1
OG0000085	ENSACAG00000014194.3	XP_029139245.1
OG0000085	ENSACAG00000012321.3	XP_029138764.1
OG0000085	ENSACAG00000014055.2	XP_029139244.1
OG0000085	ENSACAG00000012181.3	XP_029138762.1
OG0000085	ENSACAG00000003770.3	XP_029139815.1
OG0000085	ENSACAG00000004217.3	XP_029140039.1
OG0000086	ENSACAG00000006007.3	XP_015685683.1
OG0000086	ENSACAG00000004556.3	XP_015685765.1, XP_015672964.1
OG0000087	ENSACAG00000017579.3	XP_015677192.1, XP_015677190.1, XP_015677194.1
OG0000087	ENSACAG00000008633.3	XP_015667487.1, XP_015667489.1
OG0000087	ENSACAG00000016387.3	XP_015687322.1, XP_015687313.1
OG0000087	ENSACAG00000015586.3	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1
OG0000090	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2	XP_029139218.1
OG0000091	ENSACAG00000006626.3, ENSACAG00000028945.1	XP_015680841.1, XP_015680846.1
OG0000092	ENSACAG00000011902.3	XP_015665454.1
OG0000092	ENSACAG00000011479.3	XP_015671316.1
OG0000092	ENSACAG00000010562.2	XP_015668851.1, XP_029139443.1, XP_015668848.1, XP_015668852.1
OG0000092	ENSACAG00000022662.1	XP_015666496.1
OG0000093	ENSACAG00000011979.3	XP_029138978.1, XP_029138977.1
OG0000093	ENSACAG00000010151.3	XP_015687648.1, XP_015687649.1
OG0000093	ENSACAG00000010617.2	XP_029140098.1
OG0000093	ENSACAG00000009210.3	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1
OG0000093	ENSACAG00000009556.3	XP_029143067.1
OG0000094	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1	XP_015686431.1
OG0000094	ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2	XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2
OG0000094	ENSACAG00000015961.3	XP_029139882.1
OG0000094	ENSACAG00000022750.1	XP_029139885.1
OG0000095	ENSACAG00000005375.3	XP_015667286.1
OG0000095	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1	XP_029139131.1
OG0000099	ENSACAG00000005061.3	XP_015673346.1
OG0000099	ENSACAG00000003318.3	XP_029140096.1
OG0000099	ENSACAG00000000872.2	XP_015675447.2
OG0000099	ENSACAG00000014526.3	XP_029139330.1
