Orthogroup	A_carolinensis.pep	G_gallus.pep
OG0000010	ENSACAG00000027274.1	ENSGALG00000052649.1
OG0000010	ENSACAG00000003370.1	ENSGALG00000031804.2
OG0000010	ENSACAG00000026549.1	ENSGALG00000050350.1, ENSGALG00000051251.1, ENSGALG00000027571.3, ENSGALG00000049751.1, ENSGALG00000050309.1
OG0000011	ENSACAG00000029142.1	ENSGALG00000052489.1, ENSGALG00000052411.1, ENSGALG00000049217.1, ENSGALG00000049642.1, ENSGALG00000053374.1, ENSGALG00000052198.1, ENSGALG00000054642.1, ENSGALG00000054370.1, ENSGALG00000054356.1, ENSGALG00000055099.1, ENSGALG00000052363.1, ENSGALG00000053424.1, ENSGALG00000051009.1, ENSGALG00000051624.1, ENSGALG00000051324.1, ENSGALG00000054809.1, ENSGALG00000053730.1, ENSGALG00000051453.1, ENSGALG00000054858.1, ENSGALG00000049257.1, ENSGALG00000054278.1, ENSGALG00000049830.1, ENSGALG00000053757.1, ENSGALG00000052304.1, ENSGALG00000055113.1, ENSGALG00000054413.1, ENSGALG00000052449.1, ENSGALG00000054387.1, ENSGALG00000049771.1, ENSGALG00000051197.1, ENSGALG00000049374.1, ENSGALG00000051675.1, ENSGALG00000050009.1, ENSGALG00000052917.1, ENSGALG00000054029.1, ENSGALG00000052974.1, ENSGALG00000050351.1, ENSGALG00000051576.1, ENSGALG00000047469.1, ENSGALG00000050043.1, ENSGALG00000050031.1, ENSGALG00000049628.1, ENSGALG00000050342.1, ENSGALG00000053306.1, ENSGALG00000049173.1, ENSGALG00000053127.1, ENSGALG00000052441.1, ENSGALG00000050117.1, ENSGALG00000051806.1, ENSGALG00000055132.1, ENSGALG00000050727.1, ENSGALG00000053912.1, ENSGALG00000048604.1, ENSGALG00000053810.1, ENSGALG00000050141.1, ENSGALG00000054754.1, ENSGALG00000055122.1, ENSGALG00000050883.1, ENSGALG00000054994.1, ENSGALG00000053183.1, ENSGALG00000050265.1, ENSGALG00000047064.1, ENSGALG00000055024.1, ENSGALG00000050555.1, ENSGALG00000054228.1, ENSGALG00000052766.1, ENSGALG00000049776.1, ENSGALG00000049152.1, ENSGALG00000053215.1, ENSGALG00000047029.1, ENSGALG00000053033.1, ENSGALG00000049056.1, ENSGALG00000047322.1, ENSGALG00000054614.1, ENSGALG00000051097.1, ENSGALG00000050399.1, ENSGALG00000051305.1, ENSGALG00000054416.1, ENSGALG00000047982.1, ENSGALG00000053417.1, ENSGALG00000047518.1, ENSGALG00000048416.1, ENSGALG00000050649.1, ENSGALG00000048525.1, ENSGALG00000049210.1, ENSGALG00000051731.1, ENSGALG00000054560.1, ENSGALG00000054620.1, ENSGALG00000048478.1, ENSGALG00000051205.1, ENSGALG00000049368.1, ENSGALG00000052360.1, ENSGALG00000047989.1, ENSGALG00000049435.1, ENSGALG00000052283.1, ENSGALG00000054550.1, ENSGALG00000053556.1, ENSGALG00000050302.1, ENSGALG00000049305.1, ENSGALG00000050123.1, ENSGALG00000049783.1, ENSGALG00000048900.1, ENSGALG00000046763.1, ENSGALG00000052984.1, ENSGALG00000052368.1, ENSGALG00000053378.1, ENSGALG00000050855.1, ENSGALG00000049735.1, ENSGALG00000049346.1, ENSGALG00000050335.1, ENSGALG00000054912.1, ENSGALG00000048125.1, ENSGALG00000051759.1, ENSGALG00000051133.1, ENSGALG00000054775.1, ENSGALG00000048701.1, ENSGALG00000049124.1, ENSGALG00000052402.1, ENSGALG00000048170.1, ENSGALG00000047154.1, ENSGALG00000053338.1, ENSGALG00000047964.1, ENSGALG00000049758.1, ENSGALG00000046064.2, ENSGALG00000045605.2, ENSGALG00000052317.1, ENSGALG00000054082.1, ENSGALG00000051139.1, ENSGALG00000048743.1, ENSGALG00000048028.1, ENSGALG00000048143.1, ENSGALG00000050225.1, ENSGALG00000050082.1, ENSGALG00000051783.1, ENSGALG00000047291.1
OG0000013	ENSACAG00000027007.1, ENSACAG00000024209.1, ENSACAG00000024155.2, ENSACAG00000022589.1	ENSGALG00000050513.1
OG0000013	ENSACAG00000010940.2, ENSACAG00000010942.2, ENSACAG00000010938.2, ENSACAG00000022282.1	ENSGALG00000052602.1, ENSGALG00000049479.1, ENSGALG00000053747.1, ENSGALG00000051173.1, ENSGALG00000053944.1, ENSGALG00000048833.1, ENSGALG00000043575.2, ENSGALG00000041504.3, ENSGALG00000051768.1, ENSGALG00000053894.1, ENSGALG00000048915.1, ENSGALG00000047841.1, ENSGALG00000039250.2, ENSGALG00000041951.2, ENSGALG00000054729.1, ENSGALG00000054864.1, ENSGALG00000051877.1, ENSGALG00000049816.1, ENSGALG00000053200.1, ENSGALG00000053420.1, ENSGALG00000047375.1, ENSGALG00000052630.1, ENSGALG00000051246.1, ENSGALG00000040481.2, ENSGALG00000054846.1, ENSGALG00000054897.1, ENSGALG00000046428.2, ENSGALG00000049748.1, ENSGALG00000045377.2, ENSGALG00000053395.1, ENSGALG00000049263.1, ENSGALG00000054611.1, ENSGALG00000046913.1, ENSGALG00000048999.1, ENSGALG00000048618.1, ENSGALG00000053470.1, ENSGALG00000049392.1, ENSGALG00000048175.1, ENSGALG00000047930.1, ENSGALG00000050222.1, ENSGALG00000050447.1, ENSGALG00000048938.1, ENSGALG00000048354.1, ENSGALG00000054311.1
OG0000013	ENSACAG00000026301.1	ENSGALG00000048673.1, ENSGALG00000034369.2, ENSGALG00000049109.1, ENSGALG00000048811.1, ENSGALG00000045206.2, ENSGALG00000052981.1, ENSGALG00000049158.1, ENSGALG00000046143.2, ENSGALG00000036079.2, ENSGALG00000049531.1, ENSGALG00000036455.2, ENSGALG00000047178.1, ENSGALG00000048651.1, ENSGALG00000050209.1, ENSGALG00000052836.1, ENSGALG00000054533.1, ENSGALG00000055137.1, ENSGALG00000054884.1, ENSGALG00000049845.1, ENSGALG00000050259.1, ENSGALG00000046926.1, ENSGALG00000054852.1, ENSGALG00000047992.1, ENSGALG00000054226.1, ENSGALG00000051719.1, ENSGALG00000054705.1, ENSGALG00000054589.1, ENSGALG00000043510.2, ENSGALG00000049681.1, ENSGALG00000048180.1, ENSGALG00000050463.1, ENSGALG00000046814.1, ENSGALG00000043446.2, ENSGALG00000049458.1, ENSGALG00000054101.1, ENSGALG00000053077.1, ENSGALG00000052019.1, ENSGALG00000048784.1
OG0000014	ENSACAG00000026224.2	ENSGALG00000054599.1, ENSGALG00000020078.6
OG0000014	ENSACAG00000021043.1	ENSGALG00000038969.2
OG0000014	ENSACAG00000004420.2, ENSACAG00000024894.1, ENSACAG00000010716.2	ENSGALG00000048231.1
OG0000018	ENSACAG00000021103.2, ENSACAG00000023217.1, ENSACAG00000015480.1	ENSGALG00000050250.1
OG0000018	ENSACAG00000024530.1	ENSGALG00000048097.1
OG0000018	ENSACAG00000015323.3	ENSGALG00000053680.1
OG0000018	ENSACAG00000015478.1	ENSGALG00000037322.2
OG0000021	ENSACAG00000017332.3, ENSACAG00000017003.3	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4
OG0000021	ENSACAG00000017325.2	ENSGALG00000029660.2
OG0000021	ENSACAG00000007497.3	ENSGALG00000030985.2
OG0000021	ENSACAG00000006610.3	ENSGALG00000015358.7
OG0000021	ENSACAG00000006296.3	ENSGALG00000035960.2
OG0000023	ENSACAG00000002843.2, ENSACAG00000008699.2, ENSACAG00000022276.1, ENSACAG00000010915.2, ENSACAG00000008714.2, ENSACAG00000025829.1	ENSGALG00000054820.1
OG0000025	ENSACAG00000006391.2	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7
OG0000026	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1
OG0000027	ENSACAG00000005101.2, ENSACAG00000002559.3	ENSGALG00000006241.5
OG0000027	ENSACAG00000015652.2	ENSGALG00000037953.3
OG0000027	ENSACAG00000013417.3	ENSGALG00000052192.1
OG0000027	ENSACAG00000017598.3	ENSGALG00000008444.6
OG0000027	ENSACAG00000012426.3, ENSACAG00000012411.3	ENSGALG00000013045.6, ENSGALG00000013056.6
OG0000027	ENSACAG00000013342.3, ENSACAG00000028051.2	ENSGALG00000000433.7, ENSGALG00000011324.6
OG0000027	ENSACAG00000013414.3	ENSGALG00000040260.2
OG0000029	ENSACAG00000007370.3	ENSGALG00000032672.3
OG0000029	ENSACAG00000007706.2	ENSGALG00000035972.2, ENSGALG00000030629.3
OG0000029	ENSACAG00000007961.3	ENSGALG00000034868.3
OG0000029	ENSACAG00000021999.1	ENSGALG00000043689.2
OG0000032	ENSACAG00000002989.2	ENSGALG00000037290.2
OG0000034	ENSACAG00000017201.3	ENSGALG00000041471.2
OG0000034	ENSACAG00000012869.2	ENSGALG00000008586.5
OG0000034	ENSACAG00000017670.3	ENSGALG00000012821.7
OG0000034	ENSACAG00000017677.3	ENSGALG00000054420.1
OG0000034	ENSACAG00000001102.2	ENSGALG00000007447.5
OG0000042	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2, ENSACAG00000015633.3, ENSACAG00000026732.1, ENSACAG00000024780.1, ENSACAG00000024944.1, ENSACAG00000026340.1, ENSACAG00000023499.1, ENSACAG00000012349.2, ENSACAG00000012353.2, ENSACAG00000023291.1, ENSACAG00000027406.1, ENSACAG00000026891.1, ENSACAG00000028317.1, ENSACAG00000024549.2	ENSGALG00000028565.3, ENSGALG00000052936.1
OG0000050	ENSACAG00000027706.1, ENSACAG00000022451.1, ENSACAG00000025714.2, ENSACAG00000020938.2, ENSACAG00000024154.2, ENSACAG00000026564.1, ENSACAG00000000135.2, ENSACAG00000022635.1, ENSACAG00000021023.2, ENSACAG00000025099.1, ENSACAG00000021137.2, ENSACAG00000021078.2, ENSACAG00000021146.2, ENSACAG00000029639.1, ENSACAG00000000131.2, ENSACAG00000000133.2	ENSGALG00000054732.1, ENSGALG00000051203.1, ENSGALG00000037166.2, ENSGALG00000047526.1, ENSGALG00000032803.2
OG0000050	ENSACAG00000004224.2	ENSGALG00000011622.4
OG0000051	ENSACAG00000002063.3	ENSGALG00000011009.6
OG0000051	ENSACAG00000002844.3	ENSGALG00000010943.7
OG0000051	ENSACAG00000001038.3	ENSGALG00000011040.6
OG0000051	ENSACAG00000000353.3	ENSGALG00000027793.3
OG0000051	ENSACAG00000012739.3	ENSGALG00000034427.2
OG0000051	ENSACAG00000009381.3	ENSGALG00000027702.3, ENSGALG00000006072.8
OG0000051	ENSACAG00000009159.3	ENSGALG00000006112.6
OG0000051	ENSACAG00000017243.3	ENSGALG00000043728.2
OG0000055	ENSACAG00000027280.1, ENSACAG00000010884.2, ENSACAG00000027953.1, ENSACAG00000010760.2, ENSACAG00000024757.1, ENSACAG00000028141.1, ENSACAG00000023599.1	ENSGALG00000041229.2
OG0000056	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2
OG0000057	ENSACAG00000011299.3	ENSGALG00000008283.7
OG0000057	ENSACAG00000011570.3	ENSGALG00000045255.2
OG0000057	ENSACAG00000010244.3, ENSACAG00000010564.2, ENSACAG00000028467.1, ENSACAG00000010241.3, ENSACAG00000011823.3, ENSACAG00000012051.2, ENSACAG00000009904.3, ENSACAG00000010281.3, ENSACAG00000028446.1, ENSACAG00000010263.3, ENSACAG00000022942.2, ENSACAG00000024471.2, ENSACAG00000009958.2, ENSACAG00000022100.2, ENSACAG00000009906.2, ENSACAG00000009463.2, ENSACAG00000009632.2, ENSACAG00000008999.3, ENSACAG00000010252.3, ENSACAG00000010307.3	ENSGALG00000008178.6, ENSGALG00000045351.2
OG0000059	ENSACAG00000015238.2	ENSGALG00000028749.4
OG0000059	ENSACAG00000001200.3	ENSGALG00000009621.7
OG0000059	ENSACAG00000001104.3	ENSGALG00000009844.7
OG0000059	ENSACAG00000000836.3	ENSGALG00000011086.6
OG0000059	ENSACAG00000013951.2	ENSGALG00000040415.2
OG0000059	ENSACAG00000000475.3	ENSGALG00000006343.6
OG0000061	ENSACAG00000024109.1	ENSGALG00000045540.2, ENSGALG00000042611.3, ENSGALG00000050315.1, ENSGALG00000053510.1, ENSGALG00000042449.2, ENSGALG00000042684.2, ENSGALG00000044598.2, ENSGALG00000047623.1, ENSGALG00000044630.2, ENSGALG00000050091.1, ENSGALG00000044569.2, ENSGALG00000047794.1, ENSGALG00000052376.1, ENSGALG00000051297.1, ENSGALG00000042023.3, ENSGALG00000051677.1
OG0000061	ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3, ENSACAG00000012097.2, ENSACAG00000012089.3	ENSGALG00000028659.2
OG0000062	ENSACAG00000008003.2, ENSACAG00000028410.1, ENSACAG00000028256.1, ENSACAG00000007989.2, ENSACAG00000028723.1, ENSACAG00000007915.2, ENSACAG00000022832.2, ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2, ENSACAG00000029001.1, ENSACAG00000029029.1, ENSACAG00000000571.2, ENSACAG00000029058.1, ENSACAG00000011171.3, ENSACAG00000011159.2, ENSACAG00000011151.2, ENSACAG00000011120.2, ENSACAG00000024909.2, ENSACAG00000000536.3, ENSACAG00000027149.1	ENSGALG00000002931.6
OG0000063	ENSACAG00000023930.1	ENSGALG00000015062.5
OG0000065	ENSACAG00000004073.3, ENSACAG00000004230.3	ENSGALG00000010969.6
OG0000065	ENSACAG00000029443.1, ENSACAG00000025656.1, ENSACAG00000005298.2	ENSGALG00000046409.2, ENSGALG00000020390.5
OG0000065	ENSACAG00000022474.2, ENSACAG00000004228.2	ENSGALG00000020388.5, ENSGALG00000023070.3
OG0000066	ENSACAG00000000082.2, ENSACAG00000026535.1, ENSACAG00000017171.2	ENSGALG00000046739.1
OG0000069	ENSACAG00000009989.3	ENSGALG00000034988.3
OG0000069	ENSACAG00000021954.2	ENSGALG00000042928.2
OG0000069	ENSACAG00000009223.2, ENSACAG00000009362.3, ENSACAG00000029689.1, ENSACAG00000009319.1, ENSACAG00000028794.1, ENSACAG00000009382.3, ENSACAG00000029377.1, ENSACAG00000009380.3, ENSACAG00000007510.2	ENSGALG00000034701.2, ENSGALG00000041909.2
OG0000072	ENSACAG00000024988.2	ENSGALG00000048258.1
OG0000072	ENSACAG00000004635.2, ENSACAG00000004528.3	ENSGALG00000001661.5
OG0000073	ENSACAG00000004884.2	ENSGALG00000006512.6
OG0000074	ENSACAG00000016715.2	ENSGALG00000046716.1, ENSGALG00000050594.1, ENSGALG00000048265.1, ENSGALG00000054335.1, ENSGALG00000047647.1, ENSGALG00000054324.1
OG0000074	ENSACAG00000007958.3	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1
OG0000077	ENSACAG00000022288.2, ENSACAG00000024664.2	ENSGALG00000034124.3
OG0000077	ENSACAG00000014816.3	ENSGALG00000006904.6
OG0000081	ENSACAG00000012038.2	ENSGALG00000034825.2
OG0000081	ENSACAG00000011397.3	ENSGALG00000027189.3
OG0000085	ENSACAG00000014194.3	ENSGALG00000036798.3
OG0000085	ENSACAG00000012321.3	ENSGALG00000008141.6
OG0000085	ENSACAG00000014055.2	ENSGALG00000016843.7
OG0000085	ENSACAG00000012181.3	ENSGALG00000048179.1
OG0000085	ENSACAG00000003770.3	ENSGALG00000004946.6
OG0000085	ENSACAG00000004217.3	ENSGALG00000038612.2
OG0000086	ENSACAG00000006007.3	ENSGALG00000005843.5
OG0000086	ENSACAG00000004556.3	ENSGALG00000015917.7
OG0000087	ENSACAG00000017579.3	ENSGALG00000001183.6
OG0000087	ENSACAG00000008633.3	ENSGALG00000006520.7
OG0000087	ENSACAG00000016387.3	ENSGALG00000043092.2
OG0000090	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2	ENSGALG00000050831.1, ENSGALG00000048343.1, ENSGALG00000054822.1
OG0000091	ENSACAG00000006626.3, ENSACAG00000028945.1, ENSACAG00000022872.1	ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6
OG0000092	ENSACAG00000011902.3	ENSGALG00000002563.7
OG0000092	ENSACAG00000010562.2	ENSGALG00000013537.7
OG0000092	ENSACAG00000022662.1	ENSGALG00000003521.7
OG0000093	ENSACAG00000011979.3	ENSGALG00000030550.3
OG0000093	ENSACAG00000010151.3	ENSGALG00000003601.6
OG0000093	ENSACAG00000009556.3	ENSGALG00000030908.2
OG0000094	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1, ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2, ENSACAG00000015961.3, ENSACAG00000022750.1	ENSGALG00000013838.6
OG0000095	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1	ENSGALG00000019755.4
OG0000099	ENSACAG00000005061.3	ENSGALG00000005256.6
OG0000099	ENSACAG00000003318.3	ENSGALG00000015593.6
OG0000099	ENSACAG00000000872.2	ENSGALG00000015403.5
OG0000099	ENSACAG00000014526.3	ENSGALG00000021567.5
OG0000099	ENSACAG00000012709.3	ENSGALG00000011680.6
OG0000100	ENSACAG00000011428.3	ENSGALG00000000357.7
OG0000101	ENSACAG00000007876.3	ENSGALG00000035086.3
OG0000101	ENSACAG00000010643.3	ENSGALG00000002907.7
OG0000101	ENSACAG00000017407.2	ENSGALG00000000585.7
OG0000101	ENSACAG00000005125.3	ENSGALG00000005448.6
OG0000102	ENSACAG00000000061.3	ENSGALG00000006300.7
OG0000102	ENSACAG00000017089.3	ENSGALG00000035836.3
OG0000106	ENSACAG00000007169.3	ENSGALG00000042011.3
OG0000106	ENSACAG00000012234.3	ENSGALG00000009250.6
OG0000108	ENSACAG00000026691.1, ENSACAG00000001762.3, ENSACAG00000001765.3	ENSGALG00000004436.7
OG0000108	ENSACAG00000000874.3, ENSACAG00000017475.3	ENSGALG00000004449.5
OG0000110	ENSACAG00000017328.3, ENSACAG00000015074.3	ENSGALG00000027255.3
OG0000110	ENSACAG00000001550.3	ENSGALG00000009107.6
OG0000111	ENSACAG00000012255.3	ENSGALG00000011476.7
OG0000111	ENSACAG00000001660.3	ENSGALG00000016811.6
OG0000111	ENSACAG00000012880.3	ENSGALG00000034187.2
OG0000111	ENSACAG00000011892.3	ENSGALG00000008633.7
OG0000112	ENSACAG00000029696.1, ENSACAG00000009562.3, ENSACAG00000009384.3	ENSGALG00000011805.6
OG0000113	ENSACAG00000008814.2	ENSGALG00000016322.5
OG0000113	ENSACAG00000021110.2, ENSACAG00000001664.3, ENSACAG00000009032.3, ENSACAG00000008898.2	ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6
OG0000115	ENSACAG00000005188.3, ENSACAG00000025047.1, ENSACAG00000005203.3, ENSACAG00000005465.2	ENSGALG00000044760.2
OG0000115	ENSACAG00000013726.3	ENSGALG00000005857.6
OG0000116	ENSACAG00000026769.2, ENSACAG00000017879.3	ENSGALG00000051754.1, ENSGALG00000003690.7
OG0000116	ENSACAG00000028720.1	ENSGALG00000019718.6
OG0000116	ENSACAG00000017868.3	ENSGALG00000019719.5
OG0000119	ENSACAG00000017852.2	ENSGALG00000001262.7
OG0000119	ENSACAG00000013030.3	ENSGALG00000016707.6
OG0000120	ENSACAG00000015475.2, ENSACAG00000026425.1, ENSACAG00000004423.2, ENSACAG00000024289.1	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2
OG0000126	ENSACAG00000002262.3	ENSGALG00000012575.6
OG0000126	ENSACAG00000002789.2	ENSGALG00000015184.6
OG0000126	ENSACAG00000014467.3	ENSGALG00000008120.7
OG0000127	ENSACAG00000006602.2	ENSGALG00000039048.2
OG0000127	ENSACAG00000029260.1	ENSGALG00000036870.2
OG0000127	ENSACAG00000027554.2	ENSGALG00000044014.2
OG0000127	ENSACAG00000017661.3	ENSGALG00000038657.3
OG0000129	ENSACAG00000013632.3	ENSGALG00000037889.2
OG0000129	ENSACAG00000010005.3	ENSGALG00000031284.2
OG0000129	ENSACAG00000001027.3	ENSGALG00000031440.2
OG0000129	ENSACAG00000010512.3	ENSGALG00000037423.2
OG0000130	ENSACAG00000012428.3	ENSGALG00000028478.3, ENSGALG00000031313.2, ENSGALG00000002413.6
OG0000131	ENSACAG00000004607.2	ENSGALG00000004394.6
OG0000131	ENSACAG00000009819.3	ENSGALG00000013155.6
OG0000134	ENSACAG00000025773.1, ENSACAG00000007411.2, ENSACAG00000027795.1, ENSACAG00000026015.1, ENSACAG00000022224.1	ENSGALG00000042850.3
OG0000135	ENSACAG00000011411.3, ENSACAG00000026651.2, ENSACAG00000011407.3	ENSGALG00000006152.6, ENSGALG00000025778.4
OG0000135	ENSACAG00000027636.2	ENSGALG00000029485.2
OG0000136	ENSACAG00000012681.3	ENSGALG00000016406.6
OG0000136	ENSACAG00000015344.3	ENSGALG00000011473.6
OG0000136	ENSACAG00000014143.3	ENSGALG00000007097.6
OG0000137	ENSACAG00000014020.3	ENSGALG00000009700.7
OG0000137	ENSACAG00000005384.3	ENSGALG00000045846.2
OG0000137	ENSACAG00000007063.3	ENSGALG00000016323.5
OG0000137	ENSACAG00000015877.3	ENSGALG00000013235.5
OG0000138	ENSACAG00000011443.3	ENSGALG00000006477.7
OG0000138	ENSACAG00000028348.1	ENSGALG00000046725.1, ENSGALG00000027506.4
OG0000143	ENSACAG00000000791.3	ENSGALG00000001633.7
OG0000143	ENSACAG00000008652.3, ENSACAG00000025605.2	ENSGALG00000050860.1
OG0000143	ENSACAG00000028463.1	ENSGALG00000005007.6
OG0000143	ENSACAG00000008666.3	ENSGALG00000005017.6
OG0000143	ENSACAG00000008686.3	ENSGALG00000005019.5
OG0000144	ENSACAG00000016862.2, ENSACAG00000028535.1, ENSACAG00000017193.2	ENSGALG00000053964.1, ENSGALG00000029857.2
OG0000145	ENSACAG00000006253.3, ENSACAG00000006258.3, ENSACAG00000000111.2, ENSACAG00000000113.2, ENSACAG00000000116.2, ENSACAG00000028439.1, ENSACAG00000029486.1, ENSACAG00000006263.3, ENSACAG00000022040.2	ENSGALG00000054868.1
OG0000147	ENSACAG00000007703.3	ENSGALG00000010490.8
OG0000147	ENSACAG00000015019.3	ENSGALG00000041203.3
OG0000147	ENSACAG00000014556.3	ENSGALG00000007582.6
OG0000147	ENSACAG00000006159.3	ENSGALG00000000227.7
OG0000149	ENSACAG00000010046.3	ENSGALG00000036496.2
OG0000149	ENSACAG00000002769.3	ENSGALG00000014463.7
OG0000149	ENSACAG00000005395.3	ENSGALG00000042458.3
OG0000150	ENSACAG00000009619.3	ENSGALG00000042446.2
OG0000150	ENSACAG00000024291.2, ENSACAG00000028432.1	ENSGALG00000029827.2
OG0000151	ENSACAG00000026328.2	ENSGALG00000020688.6
OG0000151	ENSACAG00000005985.3	ENSGALG00000010469.7
OG0000152	ENSACAG00000029195.1, ENSACAG00000014592.3, ENSACAG00000014531.3, ENSACAG00000003630.3, ENSACAG00000011442.3, ENSACAG00000013536.2, ENSACAG00000027231.1, ENSACAG00000023926.2, ENSACAG00000022573.2, ENSACAG00000010182.3	ENSGALG00000052243.1, ENSGALG00000047199.1, ENSGALG00000005795.6, ENSGALG00000049414.1
OG0000153	ENSACAG00000006502.3	ENSGALG00000014442.7
OG0000154	ENSACAG00000002292.3	ENSGALG00000006575.5
OG0000154	ENSACAG00000000986.3	ENSGALG00000012106.6
OG0000154	ENSACAG00000006506.3	ENSGALG00000005259.6
