Orthogroup	A_carolinensis.pep	P_troglodytes.pep
OG0000045	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1	ENSPTRG00000011172.2
OG0000047	ENSACAG00000017816.2	ENSPTRG00000034329.3, ENSPTRG00000003710.6
OG0000047	ENSACAG00000017822.2, ENSACAG00000023869.2, ENSACAG00000025055.2	ENSPTRG00000003719.4, ENSPTRG00000003718.3, ENSPTRG00000003716.5
OG0000050	ENSACAG00000004224.2	ENSPTRG00000018763.6
OG0000051	ENSACAG00000002063.3	ENSPTRG00000012591.6
OG0000051	ENSACAG00000002844.3	ENSPTRG00000012595.6
OG0000051	ENSACAG00000001038.3	ENSPTRG00000012590.7
OG0000051	ENSACAG00000000353.3	ENSPTRG00000012597.7
OG0000051	ENSACAG00000012739.3	ENSPTRG00000009532.6
OG0000051	ENSACAG00000009381.3, ENSACAG00000009159.3	ENSPTRG00000014762.7
OG0000051	ENSACAG00000017243.3	ENSPTRG00000004959.7
OG0000053	ENSACAG00000011079.2, ENSACAG00000029154.1, ENSACAG00000028022.2, ENSACAG00000029105.1, ENSACAG00000003920.2, ENSACAG00000007826.3, ENSACAG00000027940.1, ENSACAG00000028206.1, ENSACAG00000010730.2, ENSACAG00000023620.1, ENSACAG00000025475.2, ENSACAG00000026832.1, ENSACAG00000027861.2, ENSACAG00000002856.3, ENSACAG00000027589.1, ENSACAG00000026969.1, ENSACAG00000006825.2, ENSACAG00000029407.1, ENSACAG00000005304.2, ENSACAG00000028305.1, ENSACAG00000004271.3, ENSACAG00000011044.3, ENSACAG00000027551.2, ENSACAG00000008664.2, ENSACAG00000029589.1, ENSACAG00000026315.2, ENSACAG00000022907.1, ENSACAG00000028824.1, ENSACAG00000025611.2, ENSACAG00000003835.2, ENSACAG00000017789.2, ENSACAG00000024768.1	ENSPTRG00000047486.1
OG0000055	ENSACAG00000027280.1, ENSACAG00000010884.2, ENSACAG00000027953.1, ENSACAG00000010760.2, ENSACAG00000024757.1	ENSPTRG00000034080.3
OG0000057	ENSACAG00000011570.3	ENSPTRG00000048232.1
OG0000059	ENSACAG00000015238.2	ENSPTRG00000048969.1
OG0000059	ENSACAG00000001200.3	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6
OG0000059	ENSACAG00000001104.3	ENSPTRG00000006890.4
OG0000059	ENSACAG00000000836.3	ENSPTRG00000002086.7
OG0000059	ENSACAG00000000475.3	ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	ENSACAG00000024109.1, ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3, ENSACAG00000012097.2, ENSACAG00000012089.3	ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1
OG0000062	ENSACAG00000008003.2, ENSACAG00000028410.1, ENSACAG00000028256.1, ENSACAG00000007989.2, ENSACAG00000028723.1, ENSACAG00000007915.2, ENSACAG00000022832.2, ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2, ENSACAG00000029001.1, ENSACAG00000029029.1, ENSACAG00000000571.2, ENSACAG00000029058.1, ENSACAG00000011171.3, ENSACAG00000011159.2, ENSACAG00000011151.2, ENSACAG00000011120.2, ENSACAG00000024909.2, ENSACAG00000000536.3, ENSACAG00000027149.1	ENSPTRG00000001180.6
OG0000063	ENSACAG00000023930.1	ENSPTRG00000020823.3, ENSPTRG00000048038.1, ENSPTRG00000041238.2, ENSPTRG00000043432.1, ENSPTRG00000050673.1, ENSPTRG00000044822.1, ENSPTRG00000044382.1, ENSPTRG00000045595.1, ENSPTRG00000048249.1, ENSPTRG00000045477.1, ENSPTRG00000020820.3, ENSPTRG00000048978.1
OG0000065	ENSACAG00000004073.3	ENSPTRG00000006682.3
OG0000065	ENSACAG00000029443.1, ENSACAG00000025656.1, ENSACAG00000005298.2, ENSACAG00000022474.2, ENSACAG00000004228.2	ENSPTRG00000006681.6, ENSPTRG00000006683.3, ENSPTRG00000023582.6, ENSPTRG00000023666.5
OG0000069	ENSACAG00000009989.3	ENSPTRG00000005060.3
OG0000069	ENSACAG00000009223.2, ENSACAG00000009362.3, ENSACAG00000029689.1, ENSACAG00000009319.1, ENSACAG00000028794.1, ENSACAG00000009382.3, ENSACAG00000029377.1, ENSACAG00000009380.3, ENSACAG00000007510.2	ENSPTRG00000005113.5
OG0000072	ENSACAG00000006380.3, ENSACAG00000013956.2, ENSACAG00000024988.2, ENSACAG00000026822.2	ENSPTRG00000023694.5, ENSPTRG00000003796.6
OG0000072	ENSACAG00000004635.2, ENSACAG00000004528.3	ENSPTRG00000018194.7
OG0000072	ENSACAG00000008091.2	ENSPTRG00000052347.1, ENSPTRG00000023703.5, ENSPTRG00000003841.6, ENSPTRG00000003799.5, ENSPTRG00000003797.6, ENSPTRG00000024251.5, ENSPTRG00000003800.7
OG0000073	ENSACAG00000014684.2	ENSPTRG00000029753.4, ENSPTRG00000029754.4, ENSPTRG00000040614.2, ENSPTRG00000049334.1
OG0000073	ENSACAG00000004884.2	ENSPTRG00000043209.1, ENSPTRG00000050744.1, ENSPTRG00000052825.1, ENSPTRG00000051554.1, ENSPTRG00000004404.6
OG0000073	ENSACAG00000015774.1	ENSPTRG00000006439.5
OG0000074	ENSACAG00000007958.3	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1
OG0000076	ENSACAG00000002837.2, ENSACAG00000029665.1	ENSPTRG00000049078.1, ENSPTRG00000043697.1
OG0000076	ENSACAG00000029247.1, ENSACAG00000022679.1	ENSPTRG00000043764.1, ENSPTRG00000052458.1, ENSPTRG00000046492.1, ENSPTRG00000050708.1, ENSPTRG00000050616.1
OG0000077	ENSACAG00000022288.2, ENSACAG00000024664.2	ENSPTRG00000011432.6, ENSPTRG00000002198.7
OG0000077	ENSACAG00000014816.3	ENSPTRG00000003118.7
OG0000078	ENSACAG00000028668.1	ENSPTRG00000047645.1
OG0000081	ENSACAG00000012038.2	ENSPTRG00000004955.4
OG0000081	ENSACAG00000011397.3, ENSACAG00000012636.3, ENSACAG00000028645.1	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1
OG0000085	ENSACAG00000014194.3	ENSPTRG00000006031.6
OG0000085	ENSACAG00000012321.3	ENSPTRG00000022173.6
OG0000085	ENSACAG00000014055.2	ENSPTRG00000006032.7
OG0000085	ENSACAG00000012181.3	ENSPTRG00000022171.7
OG0000085	ENSACAG00000003770.3	ENSPTRG00000012991.7
OG0000085	ENSACAG00000004217.3	ENSPTRG00000012992.7
OG0000086	ENSACAG00000006007.3	ENSPTRG00000013737.4
OG0000086	ENSACAG00000004556.3	ENSPTRG00000016737.5, ENSPTRG00000048890.1, ENSPTRG00000051935.1, ENSPTRG00000051235.1, ENSPTRG00000047542.1, ENSPTRG00000018347.7
OG0000087	ENSACAG00000017579.3	ENSPTRG00000008746.7
OG0000087	ENSACAG00000008633.3	ENSPTRG00000007810.7
OG0000087	ENSACAG00000016387.3	ENSPTRG00000014309.6
OG0000087	ENSACAG00000015586.3	ENSPTRG00000011333.6
OG0000090	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2	ENSPTRG00000022723.5, ENSPTRG00000008128.6
OG0000091	ENSACAG00000006626.3, ENSACAG00000028945.1, ENSACAG00000022872.1	ENSPTRG00000000940.5, ENSPTRG00000000938.6, ENSPTRG00000034354.2, ENSPTRG00000000937.5, ENSPTRG00000000934.6, ENSPTRG00000048580.1, ENSPTRG00000000935.6, ENSPTRG00000000939.6
OG0000092	ENSACAG00000011479.3	ENSPTRG00000052468.1, ENSPTRG00000010637.6
OG0000092	ENSACAG00000010562.2	ENSPTRG00000001375.7
OG0000092	ENSACAG00000022662.1	ENSPTRG00000024321.6
OG0000093	ENSACAG00000011979.3	ENSPTRG00000005286.7
OG0000093	ENSACAG00000010151.3	ENSPTRG00000001873.7
OG0000093	ENSACAG00000009210.3	ENSPTRG00000022399.4
OG0000093	ENSACAG00000009556.3	ENSPTRG00000014620.7
OG0000094	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1, ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2, ENSACAG00000015961.3, ENSACAG00000022750.1	ENSPTRG00000030707.2, ENSPTRG00000048603.1, ENSPTRG00000006493.6
OG0000095	ENSACAG00000005375.3	ENSPTRG00000009610.3, ENSPTRG00000030785.2, ENSPTRG00000009615.6
OG0000095	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1	ENSPTRG00000009613.5, ENSPTRG00000050623.1, ENSPTRG00000022952.5, ENSPTRG00000009611.3
OG0000099	ENSACAG00000005061.3	ENSPTRG00000012967.5
OG0000099	ENSACAG00000003318.3	ENSPTRG00000018428.5
OG0000099	ENSACAG00000000872.2	ENSPTRG00000015127.3
OG0000099	ENSACAG00000014526.3	ENSPTRG00000000316.6
OG0000099	ENSACAG00000012709.3	ENSPTRG00000016095.5
OG0000100	ENSACAG00000011428.3	ENSPTRG00000020084.5, ENSPTRG00000020085.4
OG0000101	ENSACAG00000007876.3	ENSPTRG00000049344.1, ENSPTRG00000005080.7
OG0000101	ENSACAG00000022592.2	ENSPTRG00000023043.4
OG0000101	ENSACAG00000010643.3	ENSPTRG00000012879.6
OG0000101	ENSACAG00000017407.2	ENSPTRG00000024314.6
OG0000101	ENSACAG00000005125.3	ENSPTRG00000014860.6
OG0000102	ENSACAG00000000061.3	ENSPTRG00000003422.7, ENSPTRG00000003423.6, ENSPTRG00000049319.1, ENSPTRG00000007125.6, ENSPTRG00000047792.1, ENSPTRG00000050528.1, ENSPTRG00000050437.1, ENSPTRG00000043159.1, ENSPTRG00000003421.5
OG0000102	ENSACAG00000017089.3	ENSPTRG00000004762.5, ENSPTRG00000042933.1, ENSPTRG00000052843.1
OG0000106	ENSACAG00000007169.3	ENSPTRG00000044399.1, ENSPTRG00000032634.2, ENSPTRG00000031176.4, ENSPTRG00000049417.1
OG0000106	ENSACAG00000012234.3	ENSPTRG00000052830.1, ENSPTRG00000012676.4, ENSPTRG00000018253.5
OG0000108	ENSACAG00000000874.3, ENSACAG00000017475.3	ENSPTRG00000019458.7, ENSPTRG00000033773.3, ENSPTRG00000019459.7, ENSPTRG00000019461.7, ENSPTRG00000048873.1
OG0000109	ENSACAG00000016498.2, ENSACAG00000014576.2, ENSACAG00000029238.1	ENSPTRG00000007693.4
OG0000109	ENSACAG00000021011.2	ENSPTRG00000038833.2
OG0000109	ENSACAG00000020942.2	ENSPTRG00000048020.1
OG0000110	ENSACAG00000017328.3, ENSACAG00000015074.3	ENSPTRG00000006589.6
OG0000110	ENSACAG00000001550.3	ENSPTRG00000047199.1
OG0000111	ENSACAG00000012255.3	ENSPTRG00000016192.3
OG0000111	ENSACAG00000001660.3	ENSPTRG00000045367.1, ENSPTRG00000019200.6, ENSPTRG00000046053.1, ENSPTRG00000048384.1
OG0000111	ENSACAG00000012880.3	ENSPTRG00000044122.1, ENSPTRG00000017222.6
OG0000111	ENSACAG00000011892.3	ENSPTRG00000022227.7
OG0000112	ENSACAG00000029696.1, ENSACAG00000009562.3, ENSACAG00000009384.3	ENSPTRG00000022603.4, ENSPTRG00000031179.3, ENSPTRG00000031178.3, ENSPTRG00000043598.1, ENSPTRG00000043146.1, ENSPTRG00000050567.1, ENSPTRG00000039427.2, ENSPTRG00000016116.6
OG0000113	ENSACAG00000021110.2, ENSACAG00000001664.3, ENSACAG00000009032.3, ENSACAG00000008898.2	ENSPTRG00000018280.6, ENSPTRG00000032454.4, ENSPTRG00000048903.1, ENSPTRG00000018284.3, ENSPTRG00000032453.3
OG0000115	ENSACAG00000029538.1, ENSACAG00000004949.3, ENSACAG00000005188.3, ENSACAG00000025047.1, ENSACAG00000005203.3, ENSACAG00000005465.2	ENSPTRG00000008721.5, ENSPTRG00000008724.5, ENSPTRG00000008723.4
OG0000115	ENSACAG00000013726.3	ENSPTRG00000002458.5
OG0000116	ENSACAG00000026769.2, ENSACAG00000017879.3	ENSPTRG00000042666.1, ENSPTRG00000009171.4, ENSPTRG00000009172.6, ENSPTRG00000008819.6, ENSPTRG00000009173.6
OG0000116	ENSACAG00000028720.1	ENSPTRG00000009132.5, ENSPTRG00000009166.5, ENSPTRG00000009167.5
OG0000116	ENSACAG00000017868.3	ENSPTRG00000009168.5
OG0000118	ENSACAG00000027865.2, ENSACAG00000027084.2, ENSACAG00000006864.2, ENSACAG00000027740.2, ENSACAG00000004461.2, ENSACAG00000005249.2, ENSACAG00000022806.2	ENSPTRG00000011092.4
OG0000119	ENSACAG00000017852.2	ENSPTRG00000000350.6
OG0000119	ENSACAG00000017312.2	ENSPTRG00000017982.6
OG0000119	ENSACAG00000013030.3	ENSPTRG00000018230.7
OG0000120	ENSACAG00000024289.1	ENSPTRG00000017807.3, ENSPTRG00000017796.3
OG0000121	ENSACAG00000012366.2, ENSACAG00000023024.1, ENSACAG00000024968.1, ENSACAG00000023556.1, ENSACAG00000024949.1, ENSACAG00000026692.1, ENSACAG00000028163.1, ENSACAG00000022026.1, ENSACAG00000025849.1, ENSACAG00000024960.1	ENSPTRG00000043323.1, ENSPTRG00000048702.1
OG0000126	ENSACAG00000002262.3	ENSPTRG00000021048.7
OG0000126	ENSACAG00000002789.2	ENSPTRG00000021047.6
OG0000126	ENSACAG00000014467.3	ENSPTRG00000007231.7
OG0000127	ENSACAG00000006602.2	ENSPTRG00000019841.5
OG0000127	ENSACAG00000027554.2, ENSACAG00000017661.3	ENSPTRG00000050853.1, ENSPTRG00000023917.4, ENSPTRG00000049199.1, ENSPTRG00000028361.4, ENSPTRG00000019845.6
OG0000128	ENSACAG00000007894.2, ENSACAG00000022863.1	ENSPTRG00000044163.1, ENSPTRG00000006105.5
OG0000128	ENSACAG00000025388.1, ENSACAG00000021050.2, ENSACAG00000007895.2, ENSACAG00000005615.2, ENSACAG00000005623.2, ENSACAG00000005620.2, ENSACAG00000007898.2	ENSPTRG00000043768.1
OG0000129	ENSACAG00000013632.3	ENSPTRG00000013505.6
OG0000129	ENSACAG00000010005.3	ENSPTRG00000009851.6
OG0000129	ENSACAG00000001027.3	ENSPTRG00000000447.7
OG0000129	ENSACAG00000010512.3	ENSPTRG00000018587.7
OG0000130	ENSACAG00000012428.3	ENSPTRG00000009982.7, ENSPTRG00000001293.7, ENSPTRG00000034360.3
OG0000131	ENSACAG00000004607.2	ENSPTRG00000014010.6
OG0000131	ENSACAG00000000783.3	ENSPTRG00000005018.6, ENSPTRG00000012025.5
