Orthogroup	A_carolinensis.pep	X_tropicalis.pep
OG0000008	ENSACAG00000003365.1, ENSACAG00000004700.2, ENSACAG00000004696.1	ENSXETG00000000565.1, ENSXETG00000000652.1, ENSXETG00000019718.1, ENSXETG00000000619.1, ENSXETG00000000587.1, ENSXETG00000000557.1
OG0000008	ENSACAG00000006010.3	ENSXETG00000001158.1
OG0000009	ENSACAG00000022706.1	ENSXETG00000002126.1
OG0000009	ENSACAG00000000504.2, ENSACAG00000022928.1, ENSACAG00000011333.2, ENSACAG00000011889.2	ENSXETG00000002349.1, ENSXETG00000002345.1, ENSXETG00000002352.1
OG0000009	ENSACAG00000013832.2	ENSXETG00000010384.1
OG0000009	ENSACAG00000011030.2	ENSXETG00000015160.1
OG0000009	ENSACAG00000027540.1, ENSACAG00000010971.2	ENSXETG00000008980.1, ENSXETG00000008996.1, ENSXETG00000009017.1
OG0000009	ENSACAG00000020941.2	ENSXETG00000002333.1
OG0000010	ENSACAG00000003370.1	ENSXETG00000016136.1
OG0000010	ENSACAG00000003373.1, ENSACAG00000004410.1, ENSACAG00000004417.1	ENSXETG00000002946.1, ENSXETG00000017467.1, ENSXETG00000015942.1, ENSXETG00000014585.1, ENSXETG00000002797.1, ENSXETG00000004730.1, ENSXETG00000015228.1, ENSXETG00000016166.1, ENSXETG00000014659.1, ENSXETG00000016210.1, ENSXETG00000009411.1, ENSXETG00000009551.1, ENSXETG00000004096.1, ENSXETG00000009494.1
OG0000010	ENSACAG00000026549.1	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1
OG0000014	ENSACAG00000026224.2	ENSXETG00000001142.1
OG0000014	ENSACAG00000021043.1	ENSXETG00000014395.1
OG0000014	ENSACAG00000024894.1	ENSXETG00000009296.1, ENSXETG00000005846.1, ENSXETG00000002916.1
OG0000014	ENSACAG00000010716.2	ENSXETG00000000116.1
OG0000014	ENSACAG00000025743.1	ENSXETG00000000552.1
OG0000014	ENSACAG00000007297.3	ENSXETG00000020261.1
OG0000015	ENSACAG00000011968.3, ENSACAG00000006471.3, ENSACAG00000024638.2, ENSACAG00000029516.1, ENSACAG00000006498.3, ENSACAG00000000468.2, ENSACAG00000006674.2, ENSACAG00000017226.3, ENSACAG00000000562.3, ENSACAG00000011070.2, ENSACAG00000006478.3, ENSACAG00000024528.1, ENSACAG00000023667.1, ENSACAG00000022634.1, ENSACAG00000027871.1, ENSACAG00000022657.2, ENSACAG00000025947.1, ENSACAG00000024081.2, ENSACAG00000024309.2, ENSACAG00000003088.2, ENSACAG00000024337.1, ENSACAG00000013947.2, ENSACAG00000026915.2, ENSACAG00000024939.1, ENSACAG00000025539.1	ENSXETG00000008260.1, ENSXETG00000008214.1
OG0000018	ENSACAG00000021103.2, ENSACAG00000023217.1, ENSACAG00000015480.1	ENSXETG00000004068.1
OG0000018	ENSACAG00000024530.1	ENSXETG00000016155.1
OG0000018	ENSACAG00000015323.3	ENSXETG00000005825.1
OG0000018	ENSACAG00000015478.1	ENSXETG00000000117.1
OG0000020	ENSACAG00000025737.1	ENSXETG00000015201.1, ENSXETG00000003671.1, ENSXETG00000003669.1, ENSXETG00000015210.1, ENSXETG00000020653.1, ENSXETG00000017293.1, ENSXETG00000021231.1, ENSXETG00000020942.1
OG0000021	ENSACAG00000017332.3, ENSACAG00000017003.3, ENSACAG00000017325.2	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1
OG0000021	ENSACAG00000007497.3	ENSXETG00000004298.1
OG0000021	ENSACAG00000006610.3	ENSXETG00000006074.1
OG0000021	ENSACAG00000006296.3, ENSACAG00000029475.1	ENSXETG00000010941.1
OG0000023	ENSACAG00000002843.2, ENSACAG00000008699.2, ENSACAG00000022276.1, ENSACAG00000010915.2, ENSACAG00000008714.2, ENSACAG00000025829.1	ENSXETG00000015184.1
OG0000025	ENSACAG00000006391.2	ENSXETG00000008190.1
OG0000027	ENSACAG00000005101.2	ENSXETG00000012120.1
OG0000027	ENSACAG00000015652.2	ENSXETG00000001944.1
OG0000027	ENSACAG00000013417.3	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1
OG0000027	ENSACAG00000017598.3	ENSXETG00000017890.1, ENSXETG00000020471.1
OG0000027	ENSACAG00000012426.3, ENSACAG00000012411.3	ENSXETG00000012204.1, ENSXETG00000008972.1
OG0000027	ENSACAG00000013342.3, ENSACAG00000028051.2	ENSXETG00000003471.1
OG0000027	ENSACAG00000013414.3	ENSXETG00000001989.1
OG0000028	ENSACAG00000027060.2	ENSXETG00000011785.1
OG0000029	ENSACAG00000007370.3	ENSXETG00000002038.1
OG0000029	ENSACAG00000029684.1, ENSACAG00000028764.1, ENSACAG00000029007.1	ENSXETG00000001917.1
OG0000029	ENSACAG00000023015.1	ENSXETG00000002069.1
OG0000029	ENSACAG00000011658.3	ENSXETG00000003326.1
OG0000029	ENSACAG00000007961.3	ENSXETG00000002021.1, ENSXETG00000002714.1
OG0000031	ENSACAG00000005129.2, ENSACAG00000005055.3	ENSXETG00000005307.1, ENSXETG00000005319.1, ENSXETG00000005342.1, ENSXETG00000005293.1, ENSXETG00000005399.1, ENSXETG00000005407.1, ENSXETG00000005410.1
OG0000032	ENSACAG00000002989.2	ENSXETG00000001411.1
OG0000034	ENSACAG00000017201.3	ENSXETG00000003987.1
OG0000034	ENSACAG00000012869.2	ENSXETG00000001110.1
OG0000034	ENSACAG00000017670.3, ENSACAG00000017677.3	ENSXETG00000014970.1
OG0000034	ENSACAG00000015226.3	ENSXETG00000012328.1
OG0000039	ENSACAG00000021090.2, ENSACAG00000021058.2	ENSXETG00000011586.1, ENSXETG00000011578.1
OG0000042	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2, ENSACAG00000015633.3, ENSACAG00000026732.1, ENSACAG00000024780.1, ENSACAG00000024944.1, ENSACAG00000026340.1, ENSACAG00000023499.1, ENSACAG00000012349.2, ENSACAG00000012353.2, ENSACAG00000023291.1, ENSACAG00000027406.1, ENSACAG00000026891.1, ENSACAG00000028317.1, ENSACAG00000024549.2	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1
OG0000045	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1	ENSXETG00000005669.1, ENSXETG00000005928.1
OG0000050	ENSACAG00000027706.1, ENSACAG00000022451.1, ENSACAG00000025714.2, ENSACAG00000020938.2, ENSACAG00000024154.2, ENSACAG00000026564.1, ENSACAG00000000135.2, ENSACAG00000022635.1, ENSACAG00000021023.2, ENSACAG00000025099.1, ENSACAG00000021137.2, ENSACAG00000021078.2, ENSACAG00000021146.2, ENSACAG00000029639.1, ENSACAG00000000131.2, ENSACAG00000000133.2, ENSACAG00000004224.2	ENSXETG00000021048.1
OG0000051	ENSACAG00000002063.3, ENSACAG00000002844.3, ENSACAG00000001038.3	ENSXETG00000019147.1, ENSXETG00000018833.1
OG0000051	ENSACAG00000012739.3	ENSXETG00000002390.1
OG0000051	ENSACAG00000009381.3, ENSACAG00000009159.3	ENSXETG00000001983.1
OG0000051	ENSACAG00000017243.3	ENSXETG00000019242.1
OG0000055	ENSACAG00000027280.1, ENSACAG00000010884.2, ENSACAG00000027953.1, ENSACAG00000010760.2, ENSACAG00000024757.1	ENSXETG00000007575.1, ENSXETG00000009322.1, ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1
OG0000055	ENSACAG00000028141.1, ENSACAG00000023599.1	ENSXETG00000020116.1
OG0000056	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1
OG0000057	ENSACAG00000011299.3, ENSACAG00000011570.3, ENSACAG00000010244.3, ENSACAG00000010564.2, ENSACAG00000028467.1, ENSACAG00000010241.3, ENSACAG00000011823.3, ENSACAG00000012051.2, ENSACAG00000009904.3, ENSACAG00000010281.3, ENSACAG00000028446.1, ENSACAG00000010263.3, ENSACAG00000022942.2, ENSACAG00000024471.2, ENSACAG00000009958.2, ENSACAG00000022100.2, ENSACAG00000009906.2, ENSACAG00000009463.2, ENSACAG00000009632.2, ENSACAG00000008999.3, ENSACAG00000010252.3, ENSACAG00000010307.3	ENSXETG00000016809.1
OG0000059	ENSACAG00000015238.2	ENSXETG00000002612.1
OG0000059	ENSACAG00000001200.3	ENSXETG00000003222.1
OG0000059	ENSACAG00000012464.2	ENSXETG00000014392.1
OG0000059	ENSACAG00000001104.3	ENSXETG00000018409.1
OG0000059	ENSACAG00000013951.2, ENSACAG00000001718.2, ENSACAG00000000475.3	ENSXETG00000016356.1
OG0000060	ENSACAG00000004377.3	ENSXETG00000013180.1, ENSXETG00000013136.1, ENSXETG00000013080.1, ENSXETG00000013104.1, ENSXETG00000013095.1, ENSXETG00000013125.1, ENSXETG00000020197.1, ENSXETG00000013145.1, ENSXETG00000013138.1, ENSXETG00000019628.1, ENSXETG00000020332.1, ENSXETG00000017861.1, ENSXETG00000017176.1, ENSXETG00000017180.1, ENSXETG00000020536.1, ENSXETG00000020372.1, ENSXETG00000019431.1, ENSXETG00000011181.1, ENSXETG00000011189.1, ENSXETG00000020070.1, ENSXETG00000000912.1, ENSXETG00000009775.1, ENSXETG00000009763.1, ENSXETG00000009706.1, ENSXETG00000009753.1, ENSXETG00000009692.1, ENSXETG00000009681.1, ENSXETG00000009739.1, ENSXETG00000009731.1, ENSXETG00000009690.1, ENSXETG00000009682.1, ENSXETG00000010240.1, ENSXETG00000014019.1, ENSXETG00000013579.1, ENSXETG00000013958.1, ENSXETG00000013554.1, ENSXETG00000013234.1, ENSXETG00000013489.1, ENSXETG00000013535.1, ENSXETG00000013479.1, ENSXETG00000013487.1, ENSXETG00000013681.1, ENSXETG00000013205.1, ENSXETG00000013766.1, ENSXETG00000013847.1, ENSXETG00000013699.1, ENSXETG00000013621.1, ENSXETG00000013591.1, ENSXETG00000013603.1, ENSXETG00000013583.1, ENSXETG00000013647.1, ENSXETG00000013665.1, ENSXETG00000013674.1, ENSXETG00000013635.1, ENSXETG00000013208.1, ENSXETG00000013520.1, ENSXETG00000013309.1, ENSXETG00000013289.1, ENSXETG00000013732.1, ENSXETG00000013200.1, ENSXETG00000013266.1, ENSXETG00000013494.1, ENSXETG00000013215.1, ENSXETG00000013226.1
OG0000061	ENSACAG00000024109.1, ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3, ENSACAG00000012097.2, ENSACAG00000012089.3	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1
OG0000062	ENSACAG00000008003.2, ENSACAG00000028410.1, ENSACAG00000028256.1, ENSACAG00000007989.2, ENSACAG00000028723.1, ENSACAG00000007915.2, ENSACAG00000022832.2, ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2, ENSACAG00000029001.1, ENSACAG00000029029.1, ENSACAG00000000571.2, ENSACAG00000029058.1, ENSACAG00000011171.3, ENSACAG00000011159.2, ENSACAG00000011151.2, ENSACAG00000011120.2, ENSACAG00000024909.2, ENSACAG00000000536.3, ENSACAG00000027149.1	ENSXETG00000020477.1, ENSXETG00000021248.1
OG0000065	ENSACAG00000004073.3, ENSACAG00000004230.3	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1
OG0000065	ENSACAG00000029443.1, ENSACAG00000025656.1, ENSACAG00000005298.2, ENSACAG00000022474.2, ENSACAG00000004228.2	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1
OG0000066	ENSACAG00000002916.2, ENSACAG00000027083.1, ENSACAG00000022686.1, ENSACAG00000024430.1, ENSACAG00000024717.1, ENSACAG00000025390.1, ENSACAG00000024880.1, ENSACAG00000028465.1, ENSACAG00000027562.1, ENSACAG00000026157.1, ENSACAG00000023819.1, ENSACAG00000012710.2, ENSACAG00000000660.2, ENSACAG00000027911.1, ENSACAG00000028798.1, ENSACAG00000024325.1, ENSACAG00000024436.1, ENSACAG00000023714.1, ENSACAG00000027882.1, ENSACAG00000023288.1, ENSACAG00000027510.1, ENSACAG00000007845.2, ENSACAG00000007161.2, ENSACAG00000026996.1, ENSACAG00000022012.1, ENSACAG00000026659.1, ENSACAG00000024353.1, ENSACAG00000001119.2, ENSACAG00000010538.2, ENSACAG00000002211.2, ENSACAG00000024818.1, ENSACAG00000023562.1, ENSACAG00000004158.2, ENSACAG00000028083.1, ENSACAG00000028075.1, ENSACAG00000011048.2, ENSACAG00000015467.2, ENSACAG00000024388.1, ENSACAG00000011147.2, ENSACAG00000000082.2, ENSACAG00000026535.1, ENSACAG00000017171.2	ENSXETG00000003520.1
OG0000067	ENSACAG00000012916.1	ENSXETG00000015118.1, ENSXETG00000006186.1, ENSXETG00000009067.1, ENSXETG00000015105.1, ENSXETG00000000987.1
OG0000069	ENSACAG00000009989.3	ENSXETG00000010603.1
OG0000069	ENSACAG00000021954.2	ENSXETG00000000242.1
OG0000072	ENSACAG00000013956.2	ENSXETG00000016641.1
OG0000072	ENSACAG00000004635.2, ENSACAG00000004528.3	ENSXETG00000016735.1
OG0000072	ENSACAG00000008091.2	ENSXETG00000017539.1, ENSXETG00000001264.1, ENSXETG00000001222.1
OG0000073	ENSACAG00000014684.2	ENSXETG00000013236.1, ENSXETG00000014295.1
OG0000073	ENSACAG00000004884.2	ENSXETG00000018563.1
OG0000073	ENSACAG00000028324.1	ENSXETG00000008614.1
OG0000073	ENSACAG00000015774.1	ENSXETG00000000353.1
OG0000074	ENSACAG00000016715.2	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1
OG0000074	ENSACAG00000007958.3	ENSXETG00000005506.1
OG0000076	ENSACAG00000002837.2, ENSACAG00000029665.1, ENSACAG00000029247.1, ENSACAG00000022679.1	ENSXETG00000014707.1, ENSXETG00000003785.1, ENSXETG00000003794.1, ENSXETG00000014671.1, ENSXETG00000014682.1, ENSXETG00000014726.1, ENSXETG00000003774.1, ENSXETG00000014635.1
OG0000078	ENSACAG00000026578.1	ENSXETG00000013742.1, ENSXETG00000008384.1, ENSXETG00000000563.1, ENSXETG00000021370.1, ENSXETG00000001815.1, ENSXETG00000005114.1, ENSXETG00000003569.1, ENSXETG00000014468.1, ENSXETG00000010194.1, ENSXETG00000017274.1, ENSXETG00000000646.1
OG0000078	ENSACAG00000028668.1	ENSXETG00000014121.1, ENSXETG00000008482.1, ENSXETG00000015519.1, ENSXETG00000005115.1, ENSXETG00000001802.1, ENSXETG00000010636.1, ENSXETG00000003923.1, ENSXETG00000003458.1, ENSXETG00000006717.1, ENSXETG00000003972.1, ENSXETG00000012435.1, ENSXETG00000005278.1, ENSXETG00000005508.1, ENSXETG00000001212.1, ENSXETG00000007194.1, ENSXETG00000006440.1, ENSXETG00000001560.1, ENSXETG00000002452.1, ENSXETG00000012252.1, ENSXETG00000018100.1, ENSXETG00000003273.1, ENSXETG00000019891.1, ENSXETG00000014957.1, ENSXETG00000014736.1, ENSXETG00000014658.1, ENSXETG00000019793.1, ENSXETG00000007864.1, ENSXETG00000018383.1, ENSXETG00000019943.1, ENSXETG00000003981.1, ENSXETG00000007288.1, ENSXETG00000013308.1, ENSXETG00000021411.1, ENSXETG00000006293.1, ENSXETG00000017473.1, ENSXETG00000009835.1, ENSXETG00000006996.1, ENSXETG00000019617.1
OG0000080	ENSACAG00000028691.1	ENSXETG00000007284.1
OG0000081	ENSACAG00000012038.2	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1
OG0000081	ENSACAG00000011397.3	ENSXETG00000005580.1
OG0000081	ENSACAG00000028645.1	ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1
OG0000082	ENSACAG00000028863.1, ENSACAG00000028905.1, ENSACAG00000029474.1, ENSACAG00000029339.1, ENSACAG00000028350.1, ENSACAG00000029109.1, ENSACAG00000029411.1, ENSACAG00000028941.1, ENSACAG00000029287.1, ENSACAG00000028329.1, ENSACAG00000028610.1, ENSACAG00000028877.1, ENSACAG00000029583.1, ENSACAG00000028309.1, ENSACAG00000028520.1, ENSACAG00000029092.1, ENSACAG00000028440.1, ENSACAG00000028541.1, ENSACAG00000029527.1, ENSACAG00000029520.1, ENSACAG00000028449.1, ENSACAG00000028552.1, ENSACAG00000028582.1, ENSACAG00000028738.1, ENSACAG00000029383.1, ENSACAG00000029519.1, ENSACAG00000028970.1, ENSACAG00000028263.1, ENSACAG00000029396.1, ENSACAG00000028985.1, ENSACAG00000028321.1, ENSACAG00000028485.1, ENSACAG00000029421.1, ENSACAG00000028868.1, ENSACAG00000028394.1, ENSACAG00000029501.1, ENSACAG00000028407.1, ENSACAG00000029489.1, ENSACAG00000029199.1, ENSACAG00000028789.1, ENSACAG00000029437.1, ENSACAG00000029200.1, ENSACAG00000028621.1, ENSACAG00000028543.1, ENSACAG00000028434.1, ENSACAG00000029132.1, ENSACAG00000028706.1, ENSACAG00000023092.1, ENSACAG00000029003.1, ENSACAG00000028852.1	ENSXETG00000011436.1
OG0000085	ENSACAG00000014194.3	ENSXETG00000001562.1
OG0000085	ENSACAG00000012321.3	ENSXETG00000009001.1
OG0000085	ENSACAG00000014055.2	ENSXETG00000001486.1
OG0000085	ENSACAG00000012181.3	ENSXETG00000008608.1
OG0000086	ENSACAG00000006007.3	ENSXETG00000001876.1
OG0000086	ENSACAG00000004556.3	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1
OG0000087	ENSACAG00000017579.3	ENSXETG00000005882.1
OG0000087	ENSACAG00000008633.3	ENSXETG00000019782.1
OG0000087	ENSACAG00000016387.3	ENSXETG00000011830.1
OG0000087	ENSACAG00000015586.3	ENSXETG00000015761.1
OG0000090	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1
OG0000091	ENSACAG00000006626.3, ENSACAG00000028945.1, ENSACAG00000022872.1	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1
OG0000092	ENSACAG00000011902.3	ENSXETG00000009074.1
OG0000093	ENSACAG00000011979.3	ENSXETG00000021066.1
OG0000093	ENSACAG00000010151.3	ENSXETG00000012846.1
OG0000093	ENSACAG00000009210.3	ENSXETG00000005871.1
OG0000093	ENSACAG00000009556.3	ENSXETG00000006206.1
OG0000094	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1, ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2, ENSACAG00000015961.3, ENSACAG00000022750.1	ENSXETG00000000896.1
OG0000095	ENSACAG00000005375.3, ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1	ENSXETG00000005045.1, ENSXETG00000015661.1
OG0000099	ENSACAG00000005061.3	ENSXETG00000001208.1
OG0000099	ENSACAG00000003318.3	ENSXETG00000013697.1
OG0000099	ENSACAG00000000872.2	ENSXETG00000004436.1
OG0000099	ENSACAG00000014526.3	ENSXETG00000003855.1
OG0000099	ENSACAG00000012709.3	ENSXETG00000008942.1, ENSXETG00000006635.1
OG0000100	ENSACAG00000011428.3	ENSXETG00000019033.1, ENSXETG00000018055.1
OG0000101	ENSACAG00000007876.3	ENSXETG00000020222.1
OG0000101	ENSACAG00000010643.3	ENSXETG00000002189.1
OG0000101	ENSACAG00000017407.2	ENSXETG00000008691.1
OG0000101	ENSACAG00000005125.3	ENSXETG00000007676.1
OG0000102	ENSACAG00000000061.3, ENSACAG00000017089.3	ENSXETG00000004528.1
OG0000106	ENSACAG00000007169.3	ENSXETG00000004466.1
OG0000106	ENSACAG00000012234.3	ENSXETG00000017121.1
OG0000108	ENSACAG00000026691.1, ENSACAG00000001762.3, ENSACAG00000001765.3	ENSXETG00000004931.1, ENSXETG00000005033.1
