Orthogroup	M_musculus.pep	C_familiaris.pep
OG0000008	ENSMUSG00000063021.3	ENSCAFG00000029759.1, ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1
OG0000008	ENSMUSG00000069302.5	ENSCAFG00000024329.2, ENSCAFG00000030507.1, ENSCAFG00000029078.1, ENSCAFG00000049775.1
OG0000009	ENSMUSG00000067522.3	ENSCAFG00000007632.4
OG0000009	ENSMUSG00000043226.5	ENSCAFG00000007993.2
OG0000009	ENSMUSG00000075212.5, ENSMUSG00000075214.3	ENSCAFG00000041303.1
OG0000009	ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1	ENSCAFG00000043344.1
OG0000009	ENSMUSG00000047149.5	ENSCAFG00000030998.1, ENSCAFG00000031814.1
OG0000009	ENSMUSG00000075164.2	ENSCAFG00000031163.1
OG0000009	ENSMUSG00000075161.3, ENSMUSG00000075163.5, ENSMUSG00000075159.5, ENSMUSG00000075160.3	ENSCAFG00000008094.4
OG0000009	ENSMUSG00000075208.6	ENSCAFG00000008017.4
OG0000009	ENSMUSG00000051392.5	ENSCAFG00000011043.4
OG0000009	ENSMUSG00000046975.7	ENSCAFG00000008020.3
OG0000009	ENSMUSG00000075158.5	ENSCAFG00000008097.3
OG0000010	ENSMUSG00000050799.3	ENSCAFG00000029445.1
OG0000010	ENSMUSG00000105827.1	ENSCAFG00000030731.2
OG0000010	ENSMUSG00000069307.6, ENSMUSG00000069303.6	ENSCAFG00000030570.1, ENSCAFG00000029200.2
OG0000010	ENSMUSG00000058385.8	ENSCAFG00000043731.1
OG0000010	ENSMUSG00000114279.1	ENSCAFG00000044027.1
OG0000010	ENSMUSG00000114456.1	ENSCAFG00000031494.1
OG0000010	ENSMUSG00000075031.4	ENSCAFG00000024333.1, ENSCAFG00000024336.2
OG0000013	ENSMUSG00000108426.2	ENSCAFG00000029783.1, ENSCAFG00000031439.1
OG0000014	ENSMUSG00000016559.14	ENSCAFG00000016119.5
OG0000014	ENSMUSG00000101972.1	ENSCAFG00000040996.1, ENSCAFG00000049134.1, ENSCAFG00000043815.1, ENSCAFG00000048797.1
OG0000014	ENSMUSG00000099517.2	ENSCAFG00000042995.1
OG0000018	ENSMUSG00000060678.5	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1
OG0000018	ENSMUSG00000069305.3, ENSMUSG00000069306.5	ENSCAFG00000024275.3, ENSCAFG00000029451.2
OG0000018	ENSMUSG00000067455.5	ENSCAFG00000029066.1
OG0000020	ENSMUSG00000095554.2, ENSMUSG00000094241.2, ENSMUSG00000076709.2, ENSMUSG00000095863.2, ENSMUSG00000094051.6, ENSMUSG00000096410.2, ENSMUSG00000095130.1, ENSMUSG00000095859.2, ENSMUSG00000094652.2, ENSMUSG00000095923.6, ENSMUSG00000095761.6, ENSMUSG00000096649.2, ENSMUSG00000094546.1, ENSMUSG00000103290.1, ENSMUSG00000103254.1, ENSMUSG00000094561.1, ENSMUSG00000093955.2, ENSMUSG00000076695.7	ENSCAFG00000044868.1, ENSCAFG00000045759.1
OG0000020	ENSMUSG00000102888.1	ENSCAFG00000046928.1
OG0000021	ENSMUSG00000057003.12	ENSCAFG00000017575.4
OG0000021	ENSMUSG00000033196.17, ENSMUSG00000055775.16	ENSCAFG00000017522.4
OG0000021	ENSMUSG00000060180.12	ENSCAFG00000017460.5
OG0000021	ENSMUSG00000020908.14	ENSCAFG00000023094.3
OG0000021	ENSMUSG00000074652.3	ENSCAFG00000007782.4
OG0000021	ENSMUSG00000092009.1	ENSCAFG00000010154.4
OG0000021	ENSMUSG00000040752.16	ENSCAFG00000011619.5
OG0000023	ENSMUSG00000035626.4	ENSCAFG00000005679.3
OG0000023	ENSMUSG00000046210.7	ENSCAFG00000023739.3, ENSCAFG00000015460.4
OG0000023	ENSMUSG00000045812.5	ENSCAFG00000011456.3
OG0000023	ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3	ENSCAFG00000029148.1
OG0000023	ENSMUSG00000067529.2	ENSCAFG00000031594.1
OG0000023	ENSMUSG00000067525.3	ENSCAFG00000030249.1, ENSCAFG00000031974.1
OG0000023	ENSMUSG00000067524.4	ENSCAFG00000031533.1
OG0000023	ENSMUSG00000060787.9	ENSCAFG00000041125.1
OG0000023	ENSMUSG00000093920.2, ENSMUSG00000093839.2	ENSCAFG00000030533.2, ENSCAFG00000045423.1
OG0000023	ENSMUSG00000090874.2, ENSMUSG00000091873.2	ENSCAFG00000030818.1
OG0000023	ENSMUSG00000048933.8	ENSCAFG00000025368.3
OG0000025	ENSMUSG00000073421.6	ENSCAFG00000000806.4, ENSCAFG00000000814.4
OG0000025	ENSMUSG00000060586.11, ENSMUSG00000067341.6	ENSCAFG00000000900.4
OG0000026	ENSMUSG00000051663.4	ENSCAFG00000024617.2
OG0000026	ENSMUSG00000044022.5	ENSCAFG00000043743.1
OG0000026	ENSMUSG00000047033.2	ENSCAFG00000041019.1
OG0000026	ENSMUSG00000051599.4	ENSCAFG00000024614.3
OG0000026	ENSMUSG00000046191.7	ENSCAFG00000006106.4
OG0000026	ENSMUSG00000047307.2	ENSCAFG00000030815.2
OG0000027	ENSMUSG00000067702.5	ENSCAFG00000031767.2
OG0000027	ENSMUSG00000067338.6	ENSCAFG00000015086.4
OG0000027	ENSMUSG00000023004.8	ENSCAFG00000015217.3
OG0000027	ENSMUSG00000021216.7	ENSCAFG00000005248.4
OG0000027	ENSMUSG00000030137.8	ENSCAFG00000010412.4
OG0000027	ENSMUSG00000026202.13	ENSCAFG00000015209.4
OG0000028	ENSMUSG00000112023.1, ENSMUSG00000112148.1, ENSMUSG00000062593.17, ENSMUSG00000070873.5	ENSCAFG00000042932.1, ENSCAFG00000050021.1, ENSCAFG00000047890.1
OG0000028	ENSMUSG00000074419.11, ENSMUSG00000089942.9, ENSMUSG00000081665.2, ENSMUSG00000074417.9, ENSMUSG00000030427.17, ENSMUSG00000058818.13	ENSCAFG00000030509.2, ENSCAFG00000024425.3
OG0000029	ENSMUSG00000022986.5	ENSCAFG00000025322.3
OG0000029	ENSMUSG00000049382.10	ENSCAFG00000005908.4
OG0000031	ENSMUSG00000030483.14, ENSMUSG00000040583.8, ENSMUSG00000040660.6, ENSMUSG00000066704.6, ENSMUSG00000040650.8	ENSCAFG00000005052.4
OG0000031	ENSMUSG00000049685.8	ENSCAFG00000005065.4
OG0000031	ENSMUSG00000091867.2, ENSMUSG00000060407.6, ENSMUSG00000074254.4, ENSMUSG00000005547.14	ENSCAFG00000032339.2, ENSCAFG00000031823.2
OG0000032	ENSMUSG00000044293.5	ENSCAFG00000032021.1, ENSCAFG00000030837.1
OG0000032	ENSMUSG00000095138.3, ENSMUSG00000094734.2	ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1
OG0000032	ENSMUSG00000042801.5	ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1
OG0000032	ENSMUSG00000044897.3	ENSCAFG00000006303.3
OG0000032	ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3	ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1
OG0000032	ENSMUSG00000044025.6	ENSCAFG00000009495.3, ENSCAFG00000043356.1
OG0000032	ENSMUSG00000095696.3, ENSMUSG00000093866.3	ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4
OG0000032	ENSMUSG00000049217.4	ENSCAFG00000029875.1, ENSCAFG00000044831.1
OG0000032	ENSMUSG00000111273.1	ENSCAFG00000032546.1
OG0000032	ENSMUSG00000048745.3	ENSCAFG00000006304.4
OG0000032	ENSMUSG00000107648.4, ENSMUSG00000107748.4	ENSCAFG00000049942.1
OG0000032	ENSMUSG00000048153.6	ENSCAFG00000044223.1
OG0000033	ENSMUSG00000073948.3, ENSMUSG00000047545.5, ENSMUSG00000050085.5	ENSCAFG00000032056.2
OG0000033	ENSMUSG00000073926.4	ENSCAFG00000006276.4
OG0000033	ENSMUSG00000073956.3	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1
OG0000033	ENSMUSG00000051362.2	ENSCAFG00000031681.2, ENSCAFG00000029703.1
OG0000033	ENSMUSG00000073954.5	ENSCAFG00000029246.1
OG0000033	ENSMUSG00000059874.2, ENSMUSG00000073953.4	ENSCAFG00000047997.1
OG0000033	ENSMUSG00000073914.2	ENSCAFG00000042183.1
OG0000033	ENSMUSG00000051172.7	ENSCAFG00000006328.3
OG0000033	ENSMUSG00000073915.5	ENSCAFG00000024431.2
OG0000033	ENSMUSG00000094531.3, ENSMUSG00000096773.4	ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2
OG0000033	ENSMUSG00000073931.3	ENSCAFG00000031226.2, ENSCAFG00000029020.2
OG0000033	ENSMUSG00000073977.2	ENSCAFG00000006016.4
OG0000033	ENSMUSG00000073928.5	ENSCAFG00000029611.1
OG0000033	ENSMUSG00000042909.4	ENSCAFG00000024586.1, ENSCAFG00000047088.1
OG0000033	ENSMUSG00000044899.3	ENSCAFG00000049488.1, ENSCAFG00000041929.1
OG0000033	ENSMUSG00000073927.6	ENSCAFG00000044138.1, ENSCAFG00000041265.1
OG0000033	ENSMUSG00000050266.6, ENSMUSG00000043948.2	ENSCAFG00000006366.3
OG0000033	ENSMUSG00000081859.3	ENSCAFG00000006226.4
OG0000034	ENSMUSG00000001525.10	ENSCAFG00000000443.4, ENSCAFG00000042737.1
OG0000034	ENSMUSG00000036752.4	ENSCAFG00000019460.4
OG0000034	ENSMUSG00000045136.6	ENSCAFG00000009337.4
OG0000034	ENSMUSG00000058672.7	ENSCAFG00000042390.1
OG0000034	ENSMUSG00000062591.5	ENSCAFG00000018634.4
OG0000039	ENSMUSG00000052850.5	ENSCAFG00000024740.3
OG0000039	ENSMUSG00000054497.5	ENSCAFG00000013384.1
OG0000039	ENSMUSG00000053217.3, ENSMUSG00000059382.2	ENSCAFG00000013378.2, ENSCAFG00000048463.1
OG0000039	ENSMUSG00000078280.1	ENSCAFG00000024377.1
OG0000039	ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4	ENSCAFG00000013381.2
OG0000040	ENSMUSG00000053835.17	ENSCAFG00000018099.4, ENSCAFG00000000487.5, ENSCAFG00000032222.2
OG0000040	ENSMUSG00000054128.16, ENSMUSG00000067212.8, ENSMUSG00000016206.6, ENSMUSG00000056116.18, ENSMUSG00000079491.9, ENSMUSG00000092243.8, ENSMUSG00000079492.2, ENSMUSG00000067235.14, ENSMUSG00000091705.8, ENSMUSG00000079507.10, ENSMUSG00000061232.16, ENSMUSG00000073411.12, ENSMUSG00000073402.11, ENSMUSG00000073406.10, ENSMUSG00000035929.11, ENSMUSG00000073409.12, ENSMUSG00000060550.16, ENSMUSG00000055413.12, ENSMUSG00000016283.13, ENSMUSG00000024459.18, ENSMUSG00000037334.2, ENSMUSG00000067201.11, ENSMUSG00000037537.6, ENSMUSG00000037130.4, ENSMUSG00000048231.14, ENSMUSG00000023083.7, ENSMUSG00000037246.6, ENSMUSG00000058124.4, ENSMUSG00000024448.14	ENSCAFG00000008234.5
OG0000042	ENSMUSG00000103749.1	ENSCAFG00000049483.1
OG0000042	ENSMUSG00000103081.2	ENSCAFG00000046241.1
OG0000045	ENSMUSG00000051965.8	ENSCAFG00000024541.1
OG0000047	ENSMUSG00000101389.1	ENSCAFG00000010365.4
OG0000047	ENSMUSG00000058470.10, ENSMUSG00000024675.19, ENSMUSG00000056290.16, ENSMUSG00000024678.6	ENSCAFG00000046787.1, ENSCAFG00000030195.2
OG0000050	ENSMUSG00000068037.11	ENSCAFG00000000742.3
OG0000051	ENSMUSG00000075318.13	ENSCAFG00000011130.5
OG0000051	ENSMUSG00000064329.13	ENSCAFG00000005058.5
OG0000051	ENSMUSG00000057182.15	ENSCAFG00000010864.5
OG0000051	ENSMUSG00000075316.11	ENSCAFG00000011438.5
OG0000051	ENSMUSG00000001027.7	ENSCAFG00000012146.5
OG0000051	ENSMUSG00000032511.17	ENSCAFG00000005051.5
OG0000051	ENSMUSG00000023033.14	ENSCAFG00000007600.4
OG0000052	ENSMUSG00000076862.5	ENSCAFG00000011096.4
OG0000052	ENSMUSG00000076760.2, ENSMUSG00000076858.3, ENSMUSG00000094828.5, ENSMUSG00000094877.2, ENSMUSG00000093953.2, ENSMUSG00000096106.1, ENSMUSG00000096168.1, ENSMUSG00000095607.3, ENSMUSG00000076761.1, ENSMUSG00000095646.1, ENSMUSG00000094792.3, ENSMUSG00000096551.2	ENSCAFG00000048140.1, ENSCAFG00000043519.1, ENSCAFG00000047752.1
OG0000055	ENSMUSG00000043529.4	ENSCAFG00000019773.4
OG0000056	ENSMUSG00000103310.1	ENSCAFG00000023033.4
OG0000056	ENSMUSG00000103092.1	ENSCAFG00000045181.1
OG0000059	ENSMUSG00000062825.15	ENSCAFG00000005734.5
OG0000059	ENSMUSG00000055194.3	ENSCAFG00000006961.3
OG0000059	ENSMUSG00000031085.16	ENSCAFG00000010442.5
OG0000061	ENSMUSG00000030156.5	ENSCAFG00000013596.4
OG0000061	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2
OG0000062	ENSMUSG00000027876.4	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2
OG0000063	ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1
OG0000064	ENSMUSG00000093861.2, ENSMUSG00000094335.2, ENSMUSG00000095497.2, ENSMUSG00000076535.1, ENSMUSG00000076525.3	ENSCAFG00000047687.1, ENSCAFG00000046041.1, ENSCAFG00000046135.1, ENSCAFG00000047572.1, ENSCAFG00000042663.1, ENSCAFG00000042778.1, ENSCAFG00000043564.1, ENSCAFG00000041882.1, ENSCAFG00000042584.1, ENSCAFG00000031121.2, ENSCAFG00000043563.1, ENSCAFG00000047982.1, ENSCAFG00000043200.1, ENSCAFG00000042397.1, ENSCAFG00000049138.1, ENSCAFG00000044081.1, ENSCAFG00000049391.1, ENSCAFG00000047614.1, ENSCAFG00000049667.1, ENSCAFG00000042234.1, ENSCAFG00000044414.1, ENSCAFG00000045261.1, ENSCAFG00000028583.2, ENSCAFG00000047583.1, ENSCAFG00000042668.1, ENSCAFG00000046921.1
OG0000065	ENSMUSG00000041567.3	ENSCAFG00000017661.3
OG0000065	ENSMUSG00000058260.2	ENSCAFG00000023610.3
OG0000065	ENSMUSG00000079013.2, ENSMUSG00000066364.2, ENSMUSG00000041536.13, ENSMUSG00000058207.6, ENSMUSG00000079012.11, ENSMUSG00000066361.3, ENSMUSG00000021091.8, ENSMUSG00000079014.4, ENSMUSG00000066363.12, ENSMUSG00000041481.17	ENSCAFG00000017675.5
OG0000065	ENSMUSG00000021081.12, ENSMUSG00000072849.10, ENSMUSG00000071177.4, ENSMUSG00000066366.14, ENSMUSG00000079015.2, ENSMUSG00000071178.11	ENSCAFG00000017646.4
OG0000069	ENSMUSG00000025350.15	ENSCAFG00000000063.4
OG0000069	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1	ENSCAFG00000000148.4
OG0000069	ENSMUSG00000025396.7	ENSCAFG00000000143.4
OG0000069	ENSMUSG00000040127.13	ENSCAFG00000023161.2
OG0000071	ENSMUSG00000054385.14, ENSMUSG00000074272.10	ENSCAFG00000014247.5, ENSCAFG00000023933.3
OG0000072	ENSMUSG00000024650.5	ENSCAFG00000015418.4
OG0000072	ENSMUSG00000063796.9	ENSCAFG00000024439.3
OG0000072	ENSMUSG00000037451.8	ENSCAFG00000029947.2, ENSCAFG00000013724.3
OG0000072	ENSMUSG00000107099.4, ENSMUSG00000061742.12	ENSCAFG00000025146.3, ENSCAFG00000014367.4
OG0000072	ENSMUSG00000022366.12	ENSCAFG00000025291.4, ENSCAFG00000043861.1, ENSCAFG00000015226.5
OG0000073	ENSMUSG00000090877.3, ENSMUSG00000091971.3	ENSCAFG00000000641.4
OG0000073	ENSMUSG00000007033.4	ENSCAFG00000000639.3
OG0000073	ENSMUSG00000015656.17	ENSCAFG00000001886.2, ENSCAFG00000011666.4
OG0000073	ENSMUSG00000059970.7	ENSCAFG00000016031.2
OG0000074	ENSMUSG00000044737.6	ENSCAFG00000002880.4
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	ENSCAFG00000003818.4
OG0000076	ENSMUSG00000096055.2, ENSMUSG00000095689.5, ENSMUSG00000096825.2, ENSMUSG00000095958.3, ENSMUSG00000093915.2, ENSMUSG00000094607.2, ENSMUSG00000096531.2, ENSMUSG00000096129.2, ENSMUSG00000096656.6, ENSMUSG00000076800.1, ENSMUSG00000096149.5, ENSMUSG00000095426.6, ENSMUSG00000076802.3, ENSMUSG00000094176.6, ENSMUSG00000095862.1, ENSMUSG00000076764.3, ENSMUSG00000094468.5, ENSMUSG00000095387.5, ENSMUSG00000076762.1, ENSMUSG00000096600.5, ENSMUSG00000094220.5, ENSMUSG00000095126.3, ENSMUSG00000095370.2, ENSMUSG00000095756.2	ENSCAFG00000014977.4, ENSCAFG00000045242.1, ENSCAFG00000024337.3, ENSCAFG00000031023.2, ENSCAFG00000048830.1
OG0000077	ENSMUSG00000097297.3, ENSMUSG00000078817.4	ENSCAFG00000002723.5, ENSCAFG00000032019.2
OG0000077	ENSMUSG00000032691.14	ENSCAFG00000010686.4
OG0000077	ENSMUSG00000016626.10	ENSCAFG00000006714.5
OG0000077	ENSMUSG00000038650.15	ENSCAFG00000024796.3
OG0000079	ENSMUSG00000076475.2	ENSCAFG00000042586.1
OG0000079	ENSMUSG00000076480.2	ENSCAFG00000049082.1
OG0000079	ENSMUSG00000076469.3, ENSMUSG00000076467.3, ENSMUSG00000076470.1	ENSCAFG00000003812.4
OG0000081	ENSMUSG00000023031.8	ENSCAFG00000007774.4
OG0000081	ENSMUSG00000062478.16	ENSCAFG00000016301.5
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	ENSCAFG00000014733.4
OG0000083	ENSMUSG00000000982.5	ENSCAFG00000018167.4
OG0000083	ENSMUSG00000018930.3	ENSCAFG00000018164.4
OG0000085	ENSMUSG00000031502.11	ENSCAFG00000006062.5
OG0000085	ENSMUSG00000031274.16	ENSCAFG00000018020.5
OG0000085	ENSMUSG00000116510.1, ENSMUSG00000031273.16	ENSCAFG00000018016.5
OG0000085	ENSMUSG00000067158.9	ENSCAFG00000010423.5
OG0000085	ENSMUSG00000079465.8	ENSCAFG00000010426.5
OG0000086	ENSMUSG00000016349.10	ENSCAFG00000013249.4
OG0000086	ENSMUSG00000037742.14	ENSCAFG00000041091.1, ENSCAFG00000003668.3, ENSCAFG00000024474.2, ENSCAFG00000011673.1, ENSCAFG00000024406.2, ENSCAFG00000042176.1, ENSCAFG00000003316.1, ENSCAFG00000012222.4, ENSCAFG00000023039.3, ENSCAFG00000044361.1, ENSCAFG00000041097.1, ENSCAFG00000006899.3, ENSCAFG00000017848.4, ENSCAFG00000018228.5, ENSCAFG00000014607.4, ENSCAFG00000041885.1, ENSCAFG00000008655.4, ENSCAFG00000025295.2, ENSCAFG00000002656.4, ENSCAFG00000007079.4, ENSCAFG00000000565.3, ENSCAFG00000017221.3, ENSCAFG00000024806.5, ENSCAFG00000046499.1, ENSCAFG00000009708.2
OG0000087	ENSMUSG00000020900.15	ENSCAFG00000017262.4
OG0000087	ENSMUSG00000018830.10	ENSCAFG00000018560.4
OG0000087	ENSMUSG00000022443.17	ENSCAFG00000001630.4
OG0000087	ENSMUSG00000030739.18	ENSCAFG00000003156.5
OG0000090	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5	ENSCAFG00000009316.4
OG0000090	ENSMUSG00000091813.4, ENSMUSG00000050097.6, ENSMUSG00000061825.10, ENSMUSG00000031877.9, ENSMUSG00000062826.7, ENSMUSG00000031886.14, ENSMUSG00000055730.16	ENSCAFG00000020391.4
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15	ENSCAFG00000020200.6
OG0000091	ENSMUSG00000028270.12, ENSMUSG00000040264.10	ENSCAFG00000020204.5
OG0000092	ENSMUSG00000028464.16	ENSCAFG00000015796.4
OG0000092	ENSMUSG00000027940.18	ENSCAFG00000017311.5
OG0000093	ENSMUSG00000019943.10	ENSCAFG00000006121.5
OG0000093	ENSMUSG00000026463.17	ENSCAFG00000009564.4
OG0000093	ENSMUSG00000031376.15	ENSCAFG00000019230.4
OG0000093	ENSMUSG00000030302.16	ENSCAFG00000005076.5
OG0000094	ENSMUSG00000046258.4	ENSCAFG00000045458.1
OG0000094	ENSMUSG00000008438.3	ENSCAFG00000016663.3
OG0000094	ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4	ENSCAFG00000007921.4
OG0000095	ENSMUSG00000063193.9	ENSCAFG00000004561.5
OG0000095	ENSMUSG00000069609.7, ENSMUSG00000089722.2, ENSMUSG00000069607.4, ENSMUSG00000089753.9, ENSMUSG00000034641.2, ENSMUSG00000047798.15	ENSCAFG00000004595.5
OG0000095	ENSMUSG00000048498.7	ENSCAFG00000004565.5
OG0000095	ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12	ENSCAFG00000044944.1, ENSCAFG00000024792.3
OG0000096	ENSMUSG00000051493.7	ENSCAFG00000011300.4
OG0000096	ENSMUSG00000064333.2, ENSMUSG00000062103.5	ENSCAFG00000011293.4
OG0000096	ENSMUSG00000063221.6, ENSMUSG00000047667.5, ENSMUSG00000058515.4	ENSCAFG00000023573.3
OG0000096	ENSMUSG00000049073.7	ENSCAFG00000011470.3
OG0000096	ENSMUSG00000061165.9, ENSMUSG00000110526.2	ENSCAFG00000011237.4
OG0000096	ENSMUSG00000043911.5	ENSCAFG00000041893.1
