Orthogroup	M_musculus.pep	P_Mucros.pep
OG0000009	ENSMUSG00000070460.7, ENSMUSG00000070459.6, ENSMUSG00000116179.1	XP_015674575.1, XP_015674572.2, XP_015684098.2, XP_015684478.1, XP_015684097.1, XP_015684481.1, XP_015684482.1, XP_015684103.1
OG0000009	ENSMUSG00000075158.5	XP_015677981.1, XP_015677982.2
OG0000009	ENSMUSG00000075155.2	XP_015673239.1
OG0000010	ENSMUSG00000050799.3, ENSMUSG00000105827.1, ENSMUSG00000056895.4	XP_015672062.1, XP_015681933.1, XP_015681932.1
OG0000010	ENSMUSG00000018102.5, ENSMUSG00000069307.6, ENSMUSG00000069303.6, ENSMUSG00000058385.8, ENSMUSG00000047246.7, ENSMUSG00000114279.1, ENSMUSG00000114456.1	XP_015683800.1
OG0000013	ENSMUSG00000109212.3, ENSMUSG00000058114.3, ENSMUSG00000059030.5, ENSMUSG00000109376.1, ENSMUSG00000062629.4, ENSMUSG00000092292.3, ENSMUSG00000061336.3, ENSMUSG00000051611.9, ENSMUSG00000092413.5, ENSMUSG00000050613.5, ENSMUSG00000108426.2	XP_029141885.1, XP_029139675.1, XP_015669877.1, XP_015669871.1, XP_029139676.1, XP_015669872.1, XP_029139682.1, XP_015669863.1, XP_015669864.1, XP_029139677.1, XP_015669887.1, XP_015669873.1, XP_015668983.1, XP_015669884.2, XP_029139679.1
OG0000014	ENSMUSG00000016559.14	XP_015680070.1
OG0000014	ENSMUSG00000099583.2	XP_015678752.1
OG0000014	ENSMUSG00000060743.12	XP_015674626.1
OG0000015	ENSMUSG00000026471.14	XP_029141494.1, XP_029142842.1, XP_029142300.1, XP_015681564.2, XP_029141960.1, XP_015681563.1, XP_029142070.1, XP_029142071.1, XP_029142618.1, XP_015683643.1, XP_029142096.1, XP_029142472.1, XP_029142644.1, XP_015681576.1, XP_015684078.2, XP_015686359.1, XP_029142551.1, XP_015682087.2, XP_015682091.1, XP_015682088.2, XP_015682092.1, XP_015681575.1, XP_015683644.1, XP_015684435.1, XP_029142095.1, XP_015680096.1, XP_015683740.1, XP_029142552.1, XP_015684387.1, XP_015684316.1, XP_015684388.1, XP_029142094.1, XP_015684314.1, XP_029142617.1
OG0000018	ENSMUSG00000060678.5	XP_015686319.1
OG0000018	ENSMUSG00000091405.2, ENSMUSG00000064288.4, ENSMUSG00000069266.5, ENSMUSG00000060981.7, ENSMUSG00000060093.6, ENSMUSG00000069305.3, ENSMUSG00000069306.5, ENSMUSG00000067455.5, ENSMUSG00000096010.2, ENSMUSG00000069274.3	XP_015665997.1
OG0000021	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1
OG0000021	ENSMUSG00000020908.14	XP_015665771.1, XP_015665778.1
OG0000021	ENSMUSG00000074652.3	XP_015669261.1
OG0000021	ENSMUSG00000092009.1	XP_015677905.1, XP_015677906.1, XP_015677907.1
OG0000021	ENSMUSG00000040752.16	XP_015677713.1
OG0000023	ENSMUSG00000059887.7, ENSMUSG00000057564.6	XP_015680186.1, XP_015680187.1
OG0000023	ENSMUSG00000035626.4	XP_015680192.1, XP_015680188.1, XP_029141670.1
OG0000023	ENSMUSG00000046210.7	XP_015677478.2, XP_029141074.1
OG0000023	ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2	XP_029140194.1, XP_015672569.2
OG0000023	ENSMUSG00000045306.3	XP_015677304.1
OG0000023	ENSMUSG00000090874.2, ENSMUSG00000091873.2, ENSMUSG00000048933.8	XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1
OG0000025	ENSMUSG00000073421.6, ENSMUSG00000060586.11, ENSMUSG00000067341.6	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1
OG0000026	ENSMUSG00000051663.4, ENSMUSG00000044022.5, ENSMUSG00000048347.5, ENSMUSG00000047033.2, ENSMUSG00000051599.4, ENSMUSG00000046191.7, ENSMUSG00000046387.5, ENSMUSG00000047910.6, ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3, ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3, ENSMUSG00000044043.4, ENSMUSG00000047307.2, ENSMUSG00000045498.1, ENSMUSG00000073591.4, ENSMUSG00000043313.6	XP_029142608.1, XP_029142559.1, XP_015684188.2, XP_029142606.1
OG0000027	ENSMUSG00000067702.5, ENSMUSG00000067338.6	XP_015670228.1, XP_015681657.1
OG0000027	ENSMUSG00000023004.8	XP_015672184.1
OG0000027	ENSMUSG00000021216.7	XP_015684007.1, XP_015674309.1
OG0000027	ENSMUSG00000030137.8	XP_015679069.1, XP_015679074.1
OG0000027	ENSMUSG00000026202.13	XP_015672183.1, XP_015672182.1
OG0000027	ENSMUSG00000043091.9	XP_015670229.1
OG0000029	ENSMUSG00000022986.5, ENSMUSG00000023041.7, ENSMUSG00000058354.7, ENSMUSG00000064232.2, ENSMUSG00000095241.2, ENSMUSG00000061527.7	XP_015677404.1
OG0000029	ENSMUSG00000046834.7	XP_015683489.1
OG0000029	ENSMUSG00000061397.8	XP_015683491.1
OG0000029	ENSMUSG00000056605.7, ENSMUSG00000051879.4, ENSMUSG00000063661.6, ENSMUSG00000075402.1	XP_015668619.1, XP_029139397.1
OG0000029	ENSMUSG00000049382.10	XP_015672252.1
OG0000029	ENSMUSG00000023039.17	XP_015677400.1
OG0000031	ENSMUSG00000049685.8	XP_015669369.1, XP_015669367.1, XP_015669370.1, XP_015669368.1, XP_015669366.1, XP_029139546.1, XP_029139545.1, XP_029139547.1, XP_029139544.1, XP_029139542.1, XP_029139543.1
OG0000031	ENSMUSG00000091867.2, ENSMUSG00000060407.6, ENSMUSG00000074254.4, ENSMUSG00000005547.14	XP_015669360.1, XP_015669364.1, XP_015669371.1
OG0000032	ENSMUSG00000044293.5, ENSMUSG00000095138.3, ENSMUSG00000094734.2, ENSMUSG00000042801.5, ENSMUSG00000050478.3, ENSMUSG00000044897.3, ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3, ENSMUSG00000049894.3, ENSMUSG00000094496.2, ENSMUSG00000095002.3, ENSMUSG00000044025.6, ENSMUSG00000095696.3, ENSMUSG00000093866.3, ENSMUSG00000049217.4, ENSMUSG00000111732.1, ENSMUSG00000095483.2, ENSMUSG00000096220.2, ENSMUSG00000096229.3, ENSMUSG00000096497.2, ENSMUSG00000046041.4, ENSMUSG00000111273.1, ENSMUSG00000056853.3, ENSMUSG00000059762.4, ENSMUSG00000048745.3, ENSMUSG00000107648.4, ENSMUSG00000107748.4, ENSMUSG00000048153.6	XP_015676330.1, XP_015676339.1
OG0000033	ENSMUSG00000073948.3, ENSMUSG00000047545.5, ENSMUSG00000050085.5	XP_015682503.1, XP_029142234.1, XP_015686066.1
OG0000033	ENSMUSG00000073956.3, ENSMUSG00000051362.2, ENSMUSG00000073954.5, ENSMUSG00000059874.2, ENSMUSG00000073953.4, ENSMUSG00000073914.2, ENSMUSG00000044705.3, ENSMUSG00000051172.7, ENSMUSG00000073915.5, ENSMUSG00000094531.3, ENSMUSG00000096773.4	XP_015682498.1, XP_015682497.1
OG0000033	ENSMUSG00000073931.3, ENSMUSG00000073977.2, ENSMUSG00000073928.5, ENSMUSG00000042909.4, ENSMUSG00000044899.3, ENSMUSG00000073927.6, ENSMUSG00000050266.6, ENSMUSG00000043948.2, ENSMUSG00000073944.6, ENSMUSG00000073943.4, ENSMUSG00000073946.5, ENSMUSG00000073945.2, ENSMUSG00000047535.11, ENSMUSG00000081859.3	XP_015682719.2, XP_015683403.1, XP_015682714.1
OG0000034	ENSMUSG00000001525.10	XP_015681155.1
OG0000034	ENSMUSG00000036752.4	XP_015687129.1
OG0000034	ENSMUSG00000058672.7	XP_015669671.1
OG0000034	ENSMUSG00000062591.5	XP_015678223.1
OG0000034	ENSMUSG00000001473.7	XP_015672240.1
OG0000034	ENSMUSG00000062380.4	XP_029139073.1, XP_029139075.1, XP_029139074.1
OG0000034	ENSMUSG00000016255.5	XP_015679451.1
OG0000042	ENSMUSG00000103037.1, ENSMUSG00000102748.1, ENSMUSG00000103749.1, ENSMUSG00000103585.1, ENSMUSG00000103088.1, ENSMUSG00000104063.1, ENSMUSG00000103081.2	XP_029142585.1, XP_015684114.1, XP_029142579.1
OG0000045	ENSMUSG00000051965.8	XP_029142106.1
OG0000047	ENSMUSG00000067571.4, ENSMUSG00000024730.7, ENSMUSG00000101031.2	XP_015677274.1, XP_015676675.1, XP_015676674.1, XP_015676672.1, XP_015676673.1, XP_015676670.1, XP_015676671.1, XP_015676669.1, XP_015677273.1, XP_015677272.1
OG0000050	ENSMUSG00000059408.3	XP_029142422.1, XP_029140729.1, XP_015678109.1, XP_015678110.1, XP_015685176.2, XP_015678113.2, XP_015678116.1, XP_015678118.1, XP_015678117.1, XP_029141730.1, XP_015678111.1, XP_015680472.2, XP_029141732.1, XP_015678112.1, XP_015680471.2, XP_015680476.2, XP_015680474.2, XP_015685624.2, XP_015680470.1, XP_015680468.1, XP_029141731.1, XP_015680473.1
OG0000050	ENSMUSG00000068037.11	XP_029142247.1
OG0000051	ENSMUSG00000075318.13	XP_029141524.1
OG0000051	ENSMUSG00000064329.13	XP_015679123.1
OG0000051	ENSMUSG00000057182.15	XP_029141610.1
OG0000051	ENSMUSG00000075316.11	XP_015679120.1
OG0000051	ENSMUSG00000001027.7	XP_029143052.1
OG0000051	ENSMUSG00000032511.17	XP_015688000.1, XP_015688027.1
OG0000051	ENSMUSG00000023033.14	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1
OG0000055	ENSMUSG00000071764.2, ENSMUSG00000056281.4, ENSMUSG00000067971.5, ENSMUSG00000043529.4, ENSMUSG00000054036.6, ENSMUSG00000064121.4	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1, XP_029139999.1, XP_029140004.1, XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1, XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2
OG0000056	ENSMUSG00000103310.1, ENSMUSG00000103770.1, ENSMUSG00000103707.5, ENSMUSG00000102206.5, ENSMUSG00000007440.10, ENSMUSG00000103458.1, ENSMUSG00000104252.5, ENSMUSG00000104318.1, ENSMUSG00000103800.1, ENSMUSG00000102312.1, ENSMUSG00000104148.5, ENSMUSG00000103442.5, ENSMUSG00000103092.1	XP_015686863.1, XP_015686845.1, XP_015686795.1, XP_015667034.1, XP_029139102.1
OG0000057	ENSMUSG00000022818.13	XP_015675899.1
OG0000059	ENSMUSG00000062825.15	XP_015670662.1
OG0000059	ENSMUSG00000029580.14	XP_015682953.1
OG0000059	ENSMUSG00000031085.16	XP_015684708.1, XP_015679888.1, XP_015666627.1, XP_015666628.1, XP_015671497.1, XP_015687360.1
OG0000061	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1, XP_015681309.1, XP_029141912.1
OG0000062	ENSMUSG00000027876.4	XP_029142850.1, XP_029142268.1, XP_029142599.1, XP_015684243.1, XP_015676883.1, XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1, XP_015673408.1, XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1
OG0000065	ENSMUSG00000041567.3	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2
OG0000066	ENSMUSG00000091347.2, ENSMUSG00000063905.2, ENSMUSG00000091195.1, ENSMUSG00000095993.1	XP_029142067.1, XP_029142710.1
OG0000066	ENSMUSG00000069475.1	XP_029142942.1, XP_015681981.2, XP_029142950.1, XP_029141664.1, XP_029141663.1, XP_029141665.1, XP_029141630.1, XP_029141316.1
OG0000067	ENSMUSG00000067929.3	XP_015686765.2, XP_029140118.1, XP_015672278.1, XP_029142810.1, XP_029142556.1, XP_015685658.1, XP_029143041.1, XP_029140375.1, XP_029142563.1, XP_029142626.1, XP_029142564.1, XP_029142372.1, XP_029142985.1, XP_029142373.1, XP_029142374.1, XP_029142992.1, XP_029142951.1, XP_029142371.1, XP_029142376.1, XP_029142375.1, XP_029140376.1, XP_029142588.1, XP_029140377.1, XP_029142812.1, XP_029142861.1, XP_029142565.1, XP_029142555.1, XP_015686428.1, XP_029142886.1, XP_015683356.1, XP_015685286.1, XP_015686074.1, XP_015684091.2, XP_029142379.1, XP_029142450.1, XP_029142811.1
OG0000069	ENSMUSG00000025350.15	XP_015679681.1
OG0000069	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1, ENSMUSG00000025396.7	XP_015678382.1, XP_015678381.1, XP_015678383.1, XP_015678379.1, XP_015686129.1, XP_015678380.1, XP_029141284.1, XP_015672627.1
OG0000071	ENSMUSG00000054385.14, ENSMUSG00000074272.10	XP_015685533.1, XP_015682491.1, XP_015684998.1
OG0000072	ENSMUSG00000024650.5, ENSMUSG00000063796.9	XP_015684770.2, XP_029141432.1, XP_029141435.1, XP_029141436.1
OG0000072	ENSMUSG00000067144.7	XP_015671903.1
OG0000072	ENSMUSG00000037451.8, ENSMUSG00000107099.4, ENSMUSG00000061742.12, ENSMUSG00000022366.12	XP_015680830.1
OG0000073	ENSMUSG00000090877.3, ENSMUSG00000091971.3, ENSMUSG00000007033.4	XP_015674252.1
OG0000073	ENSMUSG00000015656.17	XP_015676898.1
OG0000073	ENSMUSG00000059970.7	XP_015668814.1
OG0000074	ENSMUSG00000044737.6	XP_015672094.1
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	XP_015670840.1, XP_015670842.1
OG0000077	ENSMUSG00000097297.3, ENSMUSG00000078817.4, ENSMUSG00000032691.14	XP_029141841.1, XP_015679149.1, XP_029140712.1, XP_015679160.1, XP_015681733.2, XP_015672809.1
OG0000077	ENSMUSG00000038650.15	XP_015671970.1, XP_015671971.1
OG0000081	ENSMUSG00000062478.16	XP_015675839.1
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	XP_015686395.1, XP_015686839.1, XP_015686746.1, XP_015686887.1, XP_015685638.1, XP_015683637.1
OG0000083	ENSMUSG00000035042.2	XP_015682220.1, XP_015682221.1
OG0000083	ENSMUSG00000000982.5, ENSMUSG00000018930.3	XP_015670326.1
OG0000085	ENSMUSG00000031502.11	XP_029139245.1
OG0000085	ENSMUSG00000031274.16	XP_029138764.1
OG0000085	ENSMUSG00000031503.13	XP_029139244.1
OG0000085	ENSMUSG00000116510.1, ENSMUSG00000031273.16	XP_029138762.1
OG0000085	ENSMUSG00000067158.9	XP_029139815.1
OG0000085	ENSMUSG00000079465.8	XP_029140039.1
OG0000086	ENSMUSG00000016349.10	XP_015685683.1
OG0000086	ENSMUSG00000037742.14	XP_015685765.1, XP_015672964.1
OG0000087	ENSMUSG00000020900.15	XP_015677192.1, XP_015677190.1, XP_015677194.1
OG0000087	ENSMUSG00000018830.10	XP_015667487.1, XP_015667489.1
OG0000087	ENSMUSG00000022443.17	XP_015687322.1, XP_015687313.1
OG0000087	ENSMUSG00000030739.18	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1
OG0000090	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5	XP_029139218.1
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15, ENSMUSG00000028268.14, ENSMUSG00000040253.15, ENSMUSG00000028270.12, ENSMUSG00000040264.10, ENSMUSG00000105504.4	XP_015686258.1, XP_015680841.1, XP_015680846.1
OG0000092	ENSMUSG00000028464.16	XP_015671316.1
OG0000092	ENSMUSG00000027940.18	XP_015668851.1, XP_029139443.1, XP_015668848.1, XP_015668852.1
OG0000092	ENSMUSG00000032366.15	XP_015666499.1, XP_015666500.1, XP_015666495.1
OG0000093	ENSMUSG00000019943.10	XP_029138978.1, XP_029138977.1
OG0000093	ENSMUSG00000026463.17	XP_015687648.1, XP_015687649.1
OG0000093	ENSMUSG00000031376.15	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1
OG0000093	ENSMUSG00000030302.16	XP_029143067.1
OG0000094	ENSMUSG00000008438.3, ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4	XP_015686431.1, XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2, XP_029139882.1, XP_029139885.1
OG0000095	ENSMUSG00000063193.9, ENSMUSG00000069609.7, ENSMUSG00000089722.2, ENSMUSG00000069607.4, ENSMUSG00000089753.9, ENSMUSG00000034641.2, ENSMUSG00000047798.15	XP_015667286.1
OG0000095	ENSMUSG00000048498.7, ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12	XP_029139131.1
OG0000099	ENSMUSG00000026235.14	XP_015673346.1
OG0000099	ENSMUSG00000028289.12	XP_029140096.1
OG0000099	ENSMUSG00000052504.7	XP_015675447.2
OG0000099	ENSMUSG00000028661.8	XP_029139330.1
OG0000099	ENSMUSG00000055540.15	XP_015679762.1
OG0000100	ENSMUSG00000014725.16, ENSMUSG00000022057.8	XP_015683146.2, XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1, XP_015682631.1, XP_015683143.1
OG0000101	ENSMUSG00000090841.2	XP_015678399.1, XP_015678398.1
OG0000101	ENSMUSG00000039824.4	XP_015678396.1
OG0000101	ENSMUSG00000061816.15	XP_015686607.1, XP_015686600.1
OG0000101	ENSMUSG00000061086.12	XP_015687734.1
OG0000101	ENSMUSG00000059741.13	XP_015669788.1
OG0000102	ENSMUSG00000030851.15, ENSMUSG00000101959.1, ENSMUSG00000063229.15	XP_015675100.1
OG0000102	ENSMUSG00000030246.11	XP_015682701.1
OG0000103	ENSMUSG00000043605.5, ENSMUSG00000045708.4, ENSMUSG00000059411.6, ENSMUSG00000061210.4, ENSMUSG00000048693.5, ENSMUSG00000073111.3, ENSMUSG00000043119.5, ENSMUSG00000071481.4, ENSMUSG00000094669.3, ENSMUSG00000073110.3, ENSMUSG00000094200.2	XP_015669529.1, XP_015669539.1, XP_015669528.2
OG0000106	ENSMUSG00000046434.16	XP_015673749.1
OG0000106	ENSMUSG00000059005.13	XP_015670458.1, XP_015670457.1
OG0000108	ENSMUSG00000075551.4, ENSMUSG00000075552.4, ENSMUSG00000054417.5, ENSMUSG00000038656.5, ENSMUSG00000056035.8, ENSMUSG00000070419.11, ENSMUSG00000061292.10, ENSMUSG00000029630.15, ENSMUSG00000029727.7	XP_015675017.1, XP_015675003.1
OG0000110	ENSMUSG00000066392.12	XP_015674238.1
OG0000110	ENSMUSG00000107104.4, ENSMUSG00000033768.17	XP_029140479.1
OG0000110	ENSMUSG00000024109.18	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1
OG0000111	ENSMUSG00000058013.11	XP_015671863.1
OG0000111	ENSMUSG00000034219.15, ENSMUSG00000019917.10	XP_015671967.2
OG0000111	ENSMUSG00000018398.18	XP_015682442.1
OG0000111	ENSMUSG00000050379.15	XP_015685194.1, XP_015685989.1
OG0000112	ENSMUSG00000035780.2, ENSMUSG00000054630.7, ENSMUSG00000061906.5, ENSMUSG00000057425.3, ENSMUSG00000070704.10, ENSMUSG00000035811.10, ENSMUSG00000035836.2, ENSMUSG00000029260.15, ENSMUSG00000107180.1, ENSMUSG00000029268.14, ENSMUSG00000106677.1	XP_029139834.1
OG0000113	ENSMUSG00000025934.15, ENSMUSG00000074179.11, ENSMUSG00000057933.10, ENSMUSG00000111709.1, ENSMUSG00000074183.3	XP_015672662.1, XP_015672664.1, XP_015672663.1, XP_015672656.1, XP_015672657.1
OG0000115	ENSMUSG00000020891.11, ENSMUSG00000020892.10, ENSMUSG00000032807.5	XP_015681977.1, XP_015681973.1, XP_029142064.1
OG0000115	ENSMUSG00000025701.12	XP_015672908.1, XP_015676950.1
OG0000116	ENSMUSG00000053654.7, ENSMUSG00000053797.10, ENSMUSG00000045545.8, ENSMUSG00000035557.9	XP_015687773.1, XP_015687806.2, XP_029143187.1
OG0000118	ENSMUSG00000062028.8	XP_015686784.1, XP_015685484.1, XP_015686918.2, XP_015685483.1, XP_015685041.1, XP_015686387.1, XP_015685832.1, XP_015684166.1, XP_015686413.1, XP_015686756.1, XP_015686637.1, XP_029141999.1, XP_015681724.1, XP_015682381.1, XP_015680316.1
OG0000119	ENSMUSG00000037242.8	XP_015675783.1
OG0000119	ENSMUSG00000007041.9	XP_015678738.1
OG0000119	ENSMUSG00000023959.10	XP_015667791.1, XP_015667790.1
OG0000120	ENSMUSG00000049539.3	XP_015681942.1, XP_015686317.1, XP_015681935.1
OG0000121	ENSMUSG00000102222.1, ENSMUSG00000102440.1, ENSMUSG00000103897.1, ENSMUSG00000102428.1, ENSMUSG00000102742.1, ENSMUSG00000104346.1, ENSMUSG00000103332.1, ENSMUSG00000103144.1, ENSMUSG00000103567.1, ENSMUSG00000103677.1, ENSMUSG00000103472.1, ENSMUSG00000103793.1	XP_015684165.2, XP_029142635.1, XP_029142591.1
OG0000122	ENSMUSG00000095858.4, ENSMUSG00000095603.4, ENSMUSG00000094884.3, ENSMUSG00000049618.6, ENSMUSG00000092077.2, ENSMUSG00000091531.2, ENSMUSG00000029184.5	XP_015671586.1, XP_015671585.1, XP_015671621.1, XP_015671588.1, XP_015671620.1, XP_015671587.1, XP_015671584.1, XP_015671590.1, XP_015671589.1, XP_015671591.1, XP_015671596.1, XP_015671595.1, XP_015671593.1, XP_015671597.1, XP_015671592.1, XP_015671598.1, XP_029140000.1
OG0000126	ENSMUSG00000008305.18	XP_015667989.1, XP_015667988.1
OG0000126	ENSMUSG00000024642.17	XP_015672138.1
OG0000126	ENSMUSG00000032280.16	XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1
OG0000127	ENSMUSG00000025821.9	XP_015684744.1
OG0000127	ENSMUSG00000045466.18	XP_029142411.1
OG0000127	ENSMUSG00000062519.13, ENSMUSG00000057691.8	XP_015677677.1
OG0000128	ENSMUSG00000021876.15, ENSMUSG00000035896.5	XP_029142455.1, XP_015681176.1, XP_015681179.1
OG0000128	ENSMUSG00000060615.5, ENSMUSG00000047894.2, ENSMUSG00000072598.3, ENSMUSG00000053961.7, ENSMUSG00000072115.11	XP_015681182.1, XP_015687069.2
OG0000129	ENSMUSG00000053141.16	XP_015677033.1
