Orthogroup	M_musculus.pep	X_tropicalis.pep
OG0000010	ENSMUSG00000018102.5, ENSMUSG00000069307.6, ENSMUSG00000069303.6, ENSMUSG00000058385.8, ENSMUSG00000047246.7, ENSMUSG00000114279.1, ENSMUSG00000114456.1	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1
OG0000014	ENSMUSG00000016559.14	ENSXETG00000001142.1
OG0000014	ENSMUSG00000101972.1, ENSMUSG00000101355.1, ENSMUSG00000099517.2, ENSMUSG00000069265.2	ENSXETG00000020403.1, ENSXETG00000002851.1
OG0000014	ENSMUSG00000074403.2	ENSXETG00000000552.1
OG0000014	ENSMUSG00000069273.2	ENSXETG00000009522.1
OG0000014	ENSMUSG00000100210.2	ENSXETG00000002828.1
OG0000014	ENSMUSG00000060743.12	ENSXETG00000020261.1
OG0000015	ENSMUSG00000026471.14	ENSXETG00000008260.1, ENSXETG00000008214.1
OG0000018	ENSMUSG00000060678.5	ENSXETG00000004068.1
OG0000018	ENSMUSG00000061482.7	ENSXETG00000000626.1
OG0000018	ENSMUSG00000069305.3, ENSMUSG00000069306.5, ENSMUSG00000067455.5	ENSXETG00000016155.1
OG0000018	ENSMUSG00000069274.3	ENSXETG00000005825.1
OG0000020	ENSMUSG00000102888.1	ENSXETG00000015201.1
OG0000021	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16, ENSMUSG00000060180.12	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1
OG0000021	ENSMUSG00000020908.14	ENSXETG00000004084.1
OG0000021	ENSMUSG00000074652.3	ENSXETG00000004298.1
OG0000021	ENSMUSG00000092009.1	ENSXETG00000006074.1
OG0000021	ENSMUSG00000053093.16, ENSMUSG00000040752.16	ENSXETG00000010941.1
OG0000023	ENSMUSG00000059887.7, ENSMUSG00000057564.6, ENSMUSG00000035626.4, ENSMUSG00000046210.7, ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2, ENSMUSG00000045306.3, ENSMUSG00000090874.2, ENSMUSG00000091873.2, ENSMUSG00000048933.8	ENSXETG00000015184.1
OG0000025	ENSMUSG00000073421.6, ENSMUSG00000060586.11, ENSMUSG00000067341.6	ENSXETG00000008190.1
OG0000027	ENSMUSG00000072235.6	ENSXETG00000001944.1
OG0000027	ENSMUSG00000023004.8	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1
OG0000027	ENSMUSG00000021216.7	ENSXETG00000017890.1, ENSXETG00000020471.1
OG0000027	ENSMUSG00000030137.8	ENSXETG00000012204.1, ENSXETG00000008972.1
OG0000027	ENSMUSG00000026202.13	ENSXETG00000003471.1
OG0000027	ENSMUSG00000043091.9	ENSXETG00000001989.1
OG0000028	ENSMUSG00000112023.1, ENSMUSG00000112148.1, ENSMUSG00000062593.17, ENSMUSG00000070873.5, ENSMUSG00000074419.11, ENSMUSG00000089942.9, ENSMUSG00000081665.2, ENSMUSG00000074417.9, ENSMUSG00000030427.17, ENSMUSG00000058818.13	ENSXETG00000011785.1
OG0000029	ENSMUSG00000022986.5, ENSMUSG00000023041.7, ENSMUSG00000058354.7, ENSMUSG00000064232.2, ENSMUSG00000095241.2, ENSMUSG00000061527.7	ENSXETG00000002038.1
OG0000029	ENSMUSG00000046834.7, ENSMUSG00000061397.8, ENSMUSG00000059668.6, ENSMUSG00000056605.7, ENSMUSG00000051879.4, ENSMUSG00000063661.6, ENSMUSG00000075402.1	ENSXETG00000001917.1
OG0000029	ENSMUSG00000049382.10	ENSXETG00000003326.1
OG0000029	ENSMUSG00000023039.17	ENSXETG00000002021.1, ENSXETG00000002714.1
OG0000032	ENSMUSG00000044293.5, ENSMUSG00000095138.3, ENSMUSG00000094734.2, ENSMUSG00000042801.5, ENSMUSG00000050478.3, ENSMUSG00000044897.3, ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3, ENSMUSG00000049894.3, ENSMUSG00000094496.2, ENSMUSG00000095002.3, ENSMUSG00000044025.6, ENSMUSG00000095696.3, ENSMUSG00000093866.3, ENSMUSG00000049217.4, ENSMUSG00000111732.1, ENSMUSG00000095483.2, ENSMUSG00000096220.2, ENSMUSG00000096229.3, ENSMUSG00000096497.2, ENSMUSG00000046041.4, ENSMUSG00000111273.1, ENSMUSG00000056853.3, ENSMUSG00000059762.4, ENSMUSG00000048745.3, ENSMUSG00000107648.4, ENSMUSG00000107748.4, ENSMUSG00000048153.6	ENSXETG00000001411.1
OG0000033	ENSMUSG00000073948.3, ENSMUSG00000047545.5, ENSMUSG00000050085.5, ENSMUSG00000073926.4, ENSMUSG00000073956.3, ENSMUSG00000051362.2, ENSMUSG00000073954.5, ENSMUSG00000059874.2, ENSMUSG00000073953.4, ENSMUSG00000073914.2, ENSMUSG00000044705.3, ENSMUSG00000051172.7, ENSMUSG00000073915.5, ENSMUSG00000094531.3, ENSMUSG00000096773.4, ENSMUSG00000073931.3, ENSMUSG00000073977.2, ENSMUSG00000073928.5, ENSMUSG00000042909.4, ENSMUSG00000044899.3, ENSMUSG00000073927.6, ENSMUSG00000050266.6, ENSMUSG00000043948.2, ENSMUSG00000073944.6, ENSMUSG00000073943.4, ENSMUSG00000073946.5, ENSMUSG00000073945.2, ENSMUSG00000047535.11, ENSMUSG00000081859.3	ENSXETG00000015963.1
OG0000034	ENSMUSG00000001525.10	ENSXETG00000003987.1
OG0000034	ENSMUSG00000036752.4	ENSXETG00000001110.1
OG0000034	ENSMUSG00000045136.6, ENSMUSG00000058672.7	ENSXETG00000014970.1
OG0000034	ENSMUSG00000062591.5	ENSXETG00000012328.1
OG0000034	ENSMUSG00000001473.7	ENSXETG00000013453.1
OG0000034	ENSMUSG00000062380.4	ENSXETG00000006687.1
OG0000039	ENSMUSG00000052850.5, ENSMUSG00000054497.5, ENSMUSG00000053217.3, ENSMUSG00000059382.2, ENSMUSG00000058349.2, ENSMUSG00000062528.2, ENSMUSG00000063762.5, ENSMUSG00000056926.2, ENSMUSG00000030194.2, ENSMUSG00000071149.3, ENSMUSG00000062952.1, ENSMUSG00000057381.1, ENSMUSG00000078280.1, ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4	ENSXETG00000011586.1, ENSXETG00000011578.1
OG0000042	ENSMUSG00000103037.1, ENSMUSG00000102748.1, ENSMUSG00000103749.1, ENSMUSG00000103585.1, ENSMUSG00000103088.1, ENSMUSG00000104063.1, ENSMUSG00000103081.2	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1
OG0000045	ENSMUSG00000051965.8	ENSXETG00000005669.1, ENSXETG00000005928.1
OG0000050	ENSMUSG00000059408.3, ENSMUSG00000068037.11	ENSXETG00000021048.1
OG0000051	ENSMUSG00000075318.13, ENSMUSG00000064329.13, ENSMUSG00000057182.15	ENSXETG00000019147.1, ENSXETG00000018833.1
OG0000051	ENSMUSG00000001027.7	ENSXETG00000002390.1
OG0000051	ENSMUSG00000032511.17	ENSXETG00000001983.1
OG0000051	ENSMUSG00000023033.14	ENSXETG00000019242.1
OG0000052	ENSMUSG00000105629.1, ENSMUSG00000105393.1, ENSMUSG00000106620.1, ENSMUSG00000094766.3, ENSMUSG00000094023.3, ENSMUSG00000095736.1, ENSMUSG00000104620.1, ENSMUSG00000096417.2, ENSMUSG00000105533.1, ENSMUSG00000096746.3, ENSMUSG00000096908.3, ENSMUSG00000096138.5, ENSMUSG00000105080.1, ENSMUSG00000105721.1, ENSMUSG00000076862.5, ENSMUSG00000095560.2, ENSMUSG00000093801.2, ENSMUSG00000095711.5, ENSMUSG00000076840.4, ENSMUSG00000096827.2, ENSMUSG00000095854.4, ENSMUSG00000094212.3, ENSMUSG00000094619.2, ENSMUSG00000076824.3, ENSMUSG00000076760.2, ENSMUSG00000076858.3, ENSMUSG00000094828.5, ENSMUSG00000094877.2, ENSMUSG00000093953.2, ENSMUSG00000096106.1, ENSMUSG00000096168.1, ENSMUSG00000095607.3, ENSMUSG00000076761.1, ENSMUSG00000095646.1, ENSMUSG00000094792.3, ENSMUSG00000096551.2	ENSXETG00000014881.1, ENSXETG00000014892.1
OG0000055	ENSMUSG00000056281.4, ENSMUSG00000067971.5	ENSXETG00000007575.1, ENSXETG00000009322.1
OG0000055	ENSMUSG00000043529.4, ENSMUSG00000054036.6, ENSMUSG00000064121.4	ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1
OG0000056	ENSMUSG00000103310.1, ENSMUSG00000103770.1, ENSMUSG00000103707.5, ENSMUSG00000102206.5, ENSMUSG00000007440.10, ENSMUSG00000103458.1, ENSMUSG00000104252.5, ENSMUSG00000104318.1, ENSMUSG00000103800.1, ENSMUSG00000102312.1, ENSMUSG00000104148.5, ENSMUSG00000103442.5, ENSMUSG00000103092.1	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1
OG0000057	ENSMUSG00000022818.13	ENSXETG00000016809.1
OG0000059	ENSMUSG00000062825.15	ENSXETG00000002612.1
OG0000059	ENSMUSG00000029580.14	ENSXETG00000003222.1
OG0000059	ENSMUSG00000031085.16	ENSXETG00000012167.1, ENSXETG00000014392.1, ENSXETG00000018409.1, ENSXETG00000021252.1, ENSXETG00000016356.1
OG0000061	ENSMUSG00000030156.5, ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1
OG0000062	ENSMUSG00000027876.4	ENSXETG00000020477.1, ENSXETG00000021248.1
OG0000065	ENSMUSG00000041567.3	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1
OG0000065	ENSMUSG00000058260.2, ENSMUSG00000079013.2, ENSMUSG00000066364.2, ENSMUSG00000041536.13, ENSMUSG00000058207.6, ENSMUSG00000079012.11, ENSMUSG00000066361.3, ENSMUSG00000021091.8, ENSMUSG00000079014.4, ENSMUSG00000066363.12, ENSMUSG00000041481.17, ENSMUSG00000021081.12, ENSMUSG00000072849.10, ENSMUSG00000071177.4, ENSMUSG00000066366.14, ENSMUSG00000079015.2, ENSMUSG00000071178.11	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1
OG0000066	ENSMUSG00000091347.2, ENSMUSG00000063905.2, ENSMUSG00000091195.1, ENSMUSG00000095993.1, ENSMUSG00000069475.1	ENSXETG00000003520.1
OG0000067	ENSMUSG00000067929.3	ENSXETG00000015118.1, ENSXETG00000006186.1, ENSXETG00000009067.1, ENSXETG00000015105.1, ENSXETG00000000987.1
OG0000069	ENSMUSG00000025350.15	ENSXETG00000010603.1
OG0000069	ENSMUSG00000040127.13	ENSXETG00000016879.1, ENSXETG00000016859.1, ENSXETG00000012063.1, ENSXETG00000016886.1, ENSXETG00000016817.1, ENSXETG00000012062.1
OG0000072	ENSMUSG00000024650.5, ENSMUSG00000063796.9	ENSXETG00000016641.1
OG0000072	ENSMUSG00000067144.7	ENSXETG00000016735.1
OG0000072	ENSMUSG00000037451.8	ENSXETG00000017539.1
OG0000072	ENSMUSG00000107099.4, ENSMUSG00000061742.12, ENSMUSG00000022366.12	ENSXETG00000001264.1, ENSXETG00000001222.1
OG0000073	ENSMUSG00000090877.3, ENSMUSG00000091971.3, ENSMUSG00000007033.4	ENSXETG00000013236.1, ENSXETG00000014295.1
OG0000073	ENSMUSG00000015656.17	ENSXETG00000018563.1
OG0000073	ENSMUSG00000059970.7	ENSXETG00000000353.1
OG0000074	ENSMUSG00000044737.6	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	ENSXETG00000005506.1
OG0000076	ENSMUSG00000096055.2, ENSMUSG00000095689.5, ENSMUSG00000096825.2, ENSMUSG00000095958.3, ENSMUSG00000093915.2, ENSMUSG00000094607.2, ENSMUSG00000096531.2, ENSMUSG00000096129.2, ENSMUSG00000096656.6, ENSMUSG00000076800.1, ENSMUSG00000096149.5, ENSMUSG00000095426.6, ENSMUSG00000076802.3, ENSMUSG00000094176.6, ENSMUSG00000095862.1, ENSMUSG00000076764.3, ENSMUSG00000094468.5, ENSMUSG00000095387.5, ENSMUSG00000076762.1, ENSMUSG00000096600.5, ENSMUSG00000094220.5, ENSMUSG00000095126.3, ENSMUSG00000095370.2, ENSMUSG00000095756.2	ENSXETG00000014707.1, ENSXETG00000003785.1, ENSXETG00000003794.1, ENSXETG00000014671.1, ENSXETG00000014682.1, ENSXETG00000014726.1, ENSXETG00000003774.1, ENSXETG00000014635.1
OG0000078	ENSMUSG00000074682.4	ENSXETG00000014121.1, ENSXETG00000008482.1, ENSXETG00000015519.1, ENSXETG00000005115.1, ENSXETG00000001802.1, ENSXETG00000010636.1, ENSXETG00000003923.1, ENSXETG00000003458.1, ENSXETG00000006717.1, ENSXETG00000003972.1, ENSXETG00000012435.1, ENSXETG00000005278.1, ENSXETG00000005508.1, ENSXETG00000001212.1, ENSXETG00000007194.1, ENSXETG00000006440.1, ENSXETG00000001560.1, ENSXETG00000002452.1, ENSXETG00000012252.1, ENSXETG00000018100.1, ENSXETG00000003273.1, ENSXETG00000019891.1, ENSXETG00000014957.1, ENSXETG00000014736.1, ENSXETG00000014658.1, ENSXETG00000019793.1, ENSXETG00000007864.1, ENSXETG00000018383.1, ENSXETG00000019943.1, ENSXETG00000003981.1, ENSXETG00000007288.1, ENSXETG00000013308.1, ENSXETG00000021411.1, ENSXETG00000006293.1, ENSXETG00000017473.1, ENSXETG00000009835.1, ENSXETG00000006996.1, ENSXETG00000019617.1
OG0000079	ENSMUSG00000076475.2, ENSMUSG00000076480.2, ENSMUSG00000076469.3, ENSMUSG00000076467.3, ENSMUSG00000076470.1	ENSXETG00000019724.1, ENSXETG00000018500.1
OG0000081	ENSMUSG00000023031.8	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1
OG0000081	ENSMUSG00000058579.5	ENSXETG00000004157.1, ENSXETG00000005859.1
OG0000081	ENSMUSG00000062478.16	ENSXETG00000004100.1
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	ENSXETG00000005580.1, ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1
OG0000083	ENSMUSG00000035042.2	ENSXETG00000012891.1
OG0000083	ENSMUSG00000000982.5, ENSMUSG00000018930.3	ENSXETG00000006371.1, ENSXETG00000006376.1
OG0000085	ENSMUSG00000031502.11	ENSXETG00000001562.1
OG0000085	ENSMUSG00000031274.16	ENSXETG00000009001.1
OG0000085	ENSMUSG00000031503.13	ENSXETG00000001486.1
OG0000085	ENSMUSG00000116510.1, ENSMUSG00000031273.16	ENSXETG00000008608.1
OG0000086	ENSMUSG00000016349.10	ENSXETG00000001876.1
OG0000086	ENSMUSG00000037742.14	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1
OG0000087	ENSMUSG00000020900.15	ENSXETG00000005882.1
OG0000087	ENSMUSG00000018830.10	ENSXETG00000019782.1
OG0000087	ENSMUSG00000022443.17	ENSXETG00000011830.1
OG0000087	ENSMUSG00000030739.18	ENSXETG00000015761.1
OG0000090	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5, ENSMUSG00000060560.8, ENSMUSG00000058019.13, ENSMUSG00000091813.4, ENSMUSG00000050097.6, ENSMUSG00000061825.10, ENSMUSG00000031877.9, ENSMUSG00000062826.7, ENSMUSG00000031886.14, ENSMUSG00000055730.16	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15, ENSMUSG00000028268.14, ENSMUSG00000040253.15, ENSMUSG00000028270.12, ENSMUSG00000040264.10, ENSMUSG00000105504.4	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1
OG0000092	ENSMUSG00000032366.15	ENSXETG00000018099.1
OG0000093	ENSMUSG00000019943.10	ENSXETG00000021066.1
OG0000093	ENSMUSG00000026463.17	ENSXETG00000012846.1
OG0000093	ENSMUSG00000031376.15	ENSXETG00000005871.1
OG0000093	ENSMUSG00000030302.16	ENSXETG00000006206.1
OG0000094	ENSMUSG00000046258.4	ENSXETG00000000933.1
OG0000094	ENSMUSG00000008438.3, ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4	ENSXETG00000000896.1
OG0000095	ENSMUSG00000063193.9, ENSMUSG00000069609.7, ENSMUSG00000089722.2, ENSMUSG00000069607.4, ENSMUSG00000089753.9, ENSMUSG00000034641.2, ENSMUSG00000047798.15, ENSMUSG00000048498.7, ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12	ENSXETG00000005045.1, ENSXETG00000015661.1
OG0000096	ENSMUSG00000051493.7, ENSMUSG00000064333.2, ENSMUSG00000062103.5, ENSMUSG00000063221.6, ENSMUSG00000047667.5, ENSMUSG00000058515.4, ENSMUSG00000049073.7, ENSMUSG00000061165.9, ENSMUSG00000110526.2, ENSMUSG00000043911.5, ENSMUSG00000044798.7, ENSMUSG00000059595.2, ENSMUSG00000058820.3	ENSXETG00000016928.1, ENSXETG00000017521.1, ENSXETG00000019046.1, ENSXETG00000019139.1
OG0000099	ENSMUSG00000026235.14	ENSXETG00000001208.1
OG0000099	ENSMUSG00000028289.12	ENSXETG00000013697.1
OG0000099	ENSMUSG00000052504.7	ENSXETG00000004436.1
OG0000099	ENSMUSG00000028661.8, ENSMUSG00000055540.15	ENSXETG00000003855.1
OG0000099	ENSMUSG00000029245.16	ENSXETG00000008942.1, ENSXETG00000006635.1
OG0000100	ENSMUSG00000014725.16, ENSMUSG00000022057.8	ENSXETG00000019033.1, ENSXETG00000018055.1
OG0000101	ENSMUSG00000090841.2	ENSXETG00000020222.1
OG0000101	ENSMUSG00000061816.15	ENSXETG00000002189.1
OG0000101	ENSMUSG00000061086.12	ENSXETG00000008691.1
OG0000101	ENSMUSG00000059741.13	ENSXETG00000007676.1
