M_musculus.pep,P_Mucros.pep
ENSMUSG00000004530,XP_029139939.1
ENSMUSG00000025499,XP_015671969.1
ENSMUSG00000030265,XP_015680441.1
ENSMUSG00000027852,XP_015667544.1
ENSMUSG00000031561,XP_015672863.1
ENSMUSG00000049336,XP_015674820.1
ENSMUSG00000048078,XP_015682229.1
ENSMUSG00000016150,XP_015672837.1
ENSMUSG00000042500,XP_015679641.1
ENSMUSG00000028842,XP_015679495.1
ENSMUSG00000033161,XP_015673566.1
ENSMUSG00000040907,XP_015683861.1
ENSMUSG00000007097,XP_015683080.1
ENSMUSG00000024867,XP_015679138.1
ENSMUSG00000028126,XP_029141710.1
ENSMUSG00000034902,XP_015666168.1
ENSMUSG00000016179,XP_015674986.1
ENSMUSG00000002012,XP_015670612.1
ENSMUSG00000039145,XP_015677956.1
ENSMUSG00000030272,XP_015683034.1
ENSMUSG00000022053,XP_015673987.1
ENSMUSG00000010476,XP_029139196.1
ENSMUSG00000021699,XP_029139831.1
ENSMUSG00000032177,XP_029139567.1
ENSMUSG00000028525,XP_015684967.1
ENSMUSG00000014158,XP_015671282.1
ENSMUSG00000055026,XP_015666876.1
ENSMUSG00000020436,XP_015672992.1
ENSMUSG00000024617,XP_029140602.1
ENSMUSG00000053819,XP_029139820.1
ENSMUSG00000057897,XP_029139719.1
ENSMUSG00000021820,XP_015677811.1
ENSMUSG00000021868,XP_015680421.1
ENSMUSG00000038838,XP_029141778.1
ENSMUSG00000007029,XP_015684700.1
ENSMUSG00000059895,XP_015677537.1
ENSMUSG00000029064,XP_015668680.1
ENSMUSG00000022139,XP_029142495.1
ENSMUSG00000018554,XP_015683714.1
ENSMUSG00000028639,XP_015675851.1
ENSMUSG00000019927,XP_015674324.1
ENSMUSG00000091896,XP_015668019.1
ENSMUSG00000078578,XP_015683878.1
ENSMUSG00000054008,XP_015675418.1
ENSMUSG00000068699,XP_015683242.1
ENSMUSG00000031328,XP_015670602.1
ENSMUSG00000061184,XP_015670647.1
ENSMUSG00000037974,XP_029140044.1
ENSMUSG00000029212,XP_015678419.1
ENSMUSG00000033676,XP_015666878.1
ENSMUSG00000010025,XP_029142387.1
ENSMUSG00000020458,XP_029143039.1
ENSMUSG00000024758,XP_015678307.2
ENSMUSG00000020143,XP_015669064.1
ENSMUSG00000044447,XP_029140427.1
ENSMUSG00000058325,XP_015673107.1
ENSMUSG00000006542,XP_015682858.1
ENSMUSG00000021700,XP_015670630.1
ENSMUSG00000003411,XP_015666407.1
ENSMUSG00000000628,XP_015666616.1
ENSMUSG00000030403,XP_015676145.1
ENSMUSG00000021262,XP_015675754.1
ENSMUSG00000014778,XP_029139221.1
ENSMUSG00000034295,XP_015672454.1
ENSMUSG00000022092,XP_015673469.1
ENSMUSG00000033569,XP_015679413.1
ENSMUSG00000028782,XP_015674516.1
ENSMUSG00000034730,XP_015681585.1
ENSMUSG00000038257,XP_015670377.1
ENSMUSG00000000263,XP_015677827.1
ENSMUSG00000018595,XP_015687890.1
ENSMUSG00000028307,XP_015683026.1
ENSMUSG00000049630,XP_015666713.1
ENSMUSG00000045532,XP_015670112.1
ENSMUSG00000001076,XP_015678280.1
ENSMUSG00000020354,XP_015677968.1
ENSMUSG00000033295,XP_029139042.1
ENSMUSG00000013236,XP_015683953.1
ENSMUSG00000028399,XP_015683998.1
ENSMUSG00000021000,XP_015674853.1
ENSMUSG00000020315,XP_015669178.1
ENSMUSG00000011751,XP_015669353.2
ENSMUSG00000067889,XP_015673162.2
ENSMUSG00000038459,XP_015670772.1
ENSMUSG00000047368,XP_015667968.1
ENSMUSG00000003346,XP_015665504.1
ENSMUSG00000023032,XP_029140923.1
ENSMUSG00000021733,XP_015667194.1
ENSMUSG00000026904,XP_029141470.1
ENSMUSG00000073702,XP_015672238.1
ENSMUSG00000015843,XP_015677141.1
ENSMUSG00000015846,XP_015677215.1
ENSMUSG00000028107,XP_015683377.1
ENSMUSG00000030515,XP_029141121.1
ENSMUSG00000022241,XP_015672504.1
ENSMUSG00000004113,XP_029142215.1
ENSMUSG00000034656,XP_015684484.1
ENSMUSG00000023122,XP_029141424.1
ENSMUSG00000055609,XP_015667447.1
ENSMUSG00000018326,XP_015671846.1
ENSMUSG00000076432,XP_015680629.1
ENSMUSG00000022285,XP_015668838.1
ENSMUSG00000078591,XP_015687209.1
ENSMUSG00000039628,XP_015684391.1
ENSMUSG00000020366,XP_015679366.1
ENSMUSG00000089768,XP_015687920.1
ENSMUSG00000091955,XP_015673192.1
ENSMUSG00000005054,XP_015667611.1
ENSMUSG00000064179,XP_015665820.1
ENSMUSG00000026414,XP_029140042.1
ENSMUSG00000019173,XP_015665944.1
ENSMUSG00000022773,XP_015678052.1
ENSMUSG00000034059,XP_015676036.1
ENSMUSG00000018427,XP_015682956.2
ENSMUSG00000003992,XP_015670152.1
ENSMUSG00000070003,XP_015665542.1
ENSMUSG00000034566,XP_015670533.1
ENSMUSG00000022388,XP_029141464.1
ENSMUSG00000031207,XP_015668195.1
ENSMUSG00000032050,XP_015681188.1
ENSMUSG00000003153,XP_015682283.1
ENSMUSG00000028645,XP_015675869.1
ENSMUSG00000018566,XP_015683713.2
ENSMUSG00000014956,XP_015682869.1
ENSMUSG00000034673,XP_015681568.1
ENSMUSG00000038718,XP_015676404.1
ENSMUSG00000052534,XP_015670145.1
ENSMUSG00000037446,XP_015677428.1
ENSMUSG00000031028,XP_029141370.1
ENSMUSG00000055761,XP_015687348.1
ENSMUSG00000045991,XP_015679405.1
ENSMUSG00000043013,XP_015666481.1
ENSMUSG00000045518,XP_015665423.1
ENSMUSG00000020788,XP_015676371.1
ENSMUSG00000030730,XP_015665779.1
ENSMUSG00000029467,XP_015684492.1
ENSMUSG00000024177,XP_029140559.1
ENSMUSG00000073435,XP_015678465.1
ENSMUSG00000004032,XP_015677208.1
ENSMUSG00000063239,XP_015675450.1
ENSMUSG00000024211,XP_015670165.1
ENSMUSG00000000617,XP_015684903.1
ENSMUSG00000056755,XP_029139816.1
ENSMUSG00000016028,XP_015679241.1
ENSMUSG00000068740,XP_029143083.1
ENSMUSG00000018474,XP_029142325.1
ENSMUSG00000063870,XP_015669488.1
ENSMUSG00000022905,XP_015667615.1
ENSMUSG00000003731,XP_015667156.1
ENSMUSG00000033256,XP_029141361.1
ENSMUSG00000039154,XP_029142730.1
ENSMUSG00000044813,XP_015676936.1
ENSMUSG00000035828,XP_015673553.1
ENSMUSG00000024014,XP_015668084.1
ENSMUSG00000066705,XP_029139361.1
ENSMUSG00000031659,XP_029140527.1
ENSMUSG00000021536,XP_029142229.1
ENSMUSG00000022220,XP_029139790.1
ENSMUSG00000022952,XP_015676012.1
ENSMUSG00000039153,XP_015667789.1
ENSMUSG00000070691,XP_015681570.1
ENSMUSG00000031326,XP_015666241.2
ENSMUSG00000029646,XP_015671138.1
ENSMUSG00000051314,XP_029141028.1
ENSMUSG00000017291,XP_015682861.1
ENSMUSG00000061288,XP_015672930.1
ENSMUSG00000000826,XP_015678114.1
ENSMUSG00000027827,XP_015670886.1
ENSMUSG00000018470,XP_015683175.1
ENSMUSG00000060216,XP_015668678.1
ENSMUSG00000060890,XP_029140731.1
ENSMUSG00000004897,XP_015684247.1
ENSMUSG00000025104,XP_015687161.1
ENSMUSG00000038855,XP_015675665.1
ENSMUSG00000003752,XP_015669347.1
ENSMUSG00000027296,XP_015680257.1
ENSMUSG00000031681,XP_015669996.1
ENSMUSG00000027796,XP_015671665.1
ENSMUSG00000021540,XP_015679998.1
ENSMUSG00000027011,XP_015678338.1
ENSMUSG00000025329,XP_015681300.1
ENSMUSG00000028927,XP_015683638.1
ENSMUSG00000033987,XP_015674374.1
ENSMUSG00000056752,XP_015679410.1
ENSMUSG00000030621,XP_015680090.1
ENSMUSG00000024556,XP_015667630.1
ENSMUSG00000003228,XP_015672730.1
ENSMUSG00000074886,XP_015675882.1
ENSMUSG00000032537,XP_029141186.1
ENSMUSG00000033981,XP_015682424.1
ENSMUSG00000025892,XP_029141415.1
ENSMUSG00000022935,XP_015674818.1
ENSMUSG00000001985,XP_015667154.1
ENSMUSG00000056073,XP_015683639.1
ENSMUSG00000004698,XP_015666276.1
ENSMUSG00000036545,XP_029139602.1
ENSMUSG00000043635,XP_015676342.1
ENSMUSG00000059901,XP_015684439.1
ENSMUSG00000031284,XP_015680738.1
ENSMUSG00000030774,XP_015685216.1
ENSMUSG00000022781,XP_015679733.1
ENSMUSG00000005640,XP_029142386.1
ENSMUSG00000005534,XP_029138799.1
ENSMUSG00000005533,XP_015674966.1
ENSMUSG00000019880,XP_015671722.1
ENSMUSG00000068323,XP_029138998.1
ENSMUSG00000024485,XP_015667635.1
ENSMUSG00000060961,XP_015674066.1
ENSMUSG00000041075,XP_015679508.1
ENSMUSG00000044674,XP_015670759.1
ENSMUSG00000050288,XP_015686948.1
ENSMUSG00000003037,XP_015665451.1
ENSMUSG00000020671,XP_015686286.1
ENSMUSG00000036943,XP_015666520.1
ENSMUSG00000030781,XP_015684082.1
ENSMUSG00000009731,XP_015676486.1
ENSMUSG00000055320,XP_015675528.1
ENSMUSG00000030796,XP_029138857.1
ENSMUSG00000028751,XP_029140759.1
ENSMUSG00000033059,XP_015667595.1
ENSMUSG00000063672,XP_015672018.1
ENSMUSG00000041309,XP_015669457.1
ENSMUSG00000035187,XP_015687877.1
ENSMUSG00000032384,XP_015673929.1
ENSMUSG00000003345,XP_015665509.1
ENSMUSG00000030075,XP_015679212.1
ENSMUSG00000030092,XP_015681133.1
ENSMUSG00000045467,XP_029139156.1
ENSMUSG00000038756,XP_029138886.1
ENSMUSG00000066058,XP_015674356.1
ENSMUSG00000062515,XP_015687553.1
ENSMUSG00000052468,XP_015687560.1
ENSMUSG00000024697,XP_015668118.1
ENSMUSG00000034781,XP_015680128.1
ENSMUSG00000031896,XP_029140282.1
ENSMUSG00000031957,XP_015671362.1
ENSMUSG00000029406,XP_029139501.1
ENSMUSG00000018286,XP_015668649.1
ENSMUSG00000041453,XP_015681704.1
ENSMUSG00000001288,XP_015672623.1
ENSMUSG00000037992,XP_015687761.1
ENSMUSG00000034000,XP_015679726.1
ENSMUSG00000026825,XP_015682506.1
ENSMUSG00000002459,XP_015675644.1
ENSMUSG00000002458,XP_015681875.1
ENSMUSG00000019775,XP_015676901.1
ENSMUSG00000032562,XP_015680240.1
ENSMUSG00000057614,XP_015683859.1
ENSMUSG00000045534,XP_015683975.1
ENSMUSG00000047976,XP_015684836.1
ENSMUSG00000047959,XP_015666790.1
ENSMUSG00000026450,XP_015678645.1
ENSMUSG00000008845,XP_029139473.1
ENSMUSG00000027403,XP_015680950.1
ENSMUSG00000027401,XP_015680949.1
ENSMUSG00000027204,XP_029140016.1
ENSMUSG00000024598,XP_015676857.1
ENSMUSG00000024188,XP_015674733.1
ENSMUSG00000030510,XP_029139146.1
ENSMUSG00000008206,XP_029140801.1
ENSMUSG00000021541,XP_015682438.1
ENSMUSG00000031997,XP_015678217.1
ENSMUSG00000004231,XP_015675279.1
ENSMUSG00000005474,XP_015679579.1
ENSMUSG00000026452,XP_015668022.1
ENSMUSG00000027293,XP_015671418.1
ENSMUSG00000038467,XP_015678705.1
ENSMUSG00000050965,XP_015669595.1
ENSMUSG00000052889,XP_015668742.2
ENSMUSG00000018012,XP_015673012.1
ENSMUSG00000033220,XP_015687431.1
ENSMUSG00000071553,XP_015684943.1
ENSMUSG00000026918,XP_015675459.1
ENSMUSG00000024335,XP_015682489.1
ENSMUSG00000027849,XP_029140168.1
ENSMUSG00000063260,XP_015671166.1
ENSMUSG00000062542,XP_015679616.1
ENSMUSG00000039860,XP_029141514.1
ENSMUSG00000016382,XP_015687937.1
ENSMUSG00000006356,XP_015685887.1
ENSMUSG00000006360,XP_015685897.1
ENSMUSG00000030307,XP_015687067.1
ENSMUSG00000030109,XP_015669656.1
ENSMUSG00000050029,XP_015687941.1
ENSMUSG00000051615,XP_015683884.1
ENSMUSG00000036894,XP_015668505.1
ENSMUSG00000028709,XP_015668049.1
ENSMUSG00000073910,XP_015675063.1
ENSMUSG00000029088,XP_015680900.1
ENSMUSG00000079056,XP_015667082.1
ENSMUSG00000053519,XP_029140149.1
ENSMUSG00000017781,XP_015673838.1
ENSMUSG00000045515,XP_015670740.1
ENSMUSG00000095139,XP_015677342.1
ENSMUSG00000056854,XP_015679994.1
ENSMUSG00000036466,XP_015674087.1
ENSMUSG00000016921,XP_015681228.1
ENSMUSG00000028911,XP_015669811.1
ENSMUSG00000024647,XP_015672272.1
ENSMUSG00000067578,XP_015682595.1
ENSMUSG00000031654,XP_015674486.1
ENSMUSG00000001729,XP_015687024.1
ENSMUSG00000019699,XP_015677610.1
ENSMUSG00000031633,XP_015687282.1
ENSMUSG00000016319,XP_015686313.1
ENSMUSG00000051747,XP_015674335.1
ENSMUSG00000053754,XP_029139800.1
ENSMUSG00000028923,XP_015681836.1
ENSMUSG00000046707,XP_015667579.1
ENSMUSG00000074698,XP_015682959.1
ENSMUSG00000071646,XP_015676984.1
ENSMUSG00000055817,XP_015668591.2
ENSMUSG00000060600,XP_015668676.1
ENSMUSG00000004267,XP_015669549.1
ENSMUSG00000066037,XP_015672067.1
ENSMUSG00000067818,XP_015672479.1
ENSMUSG00000048065,XP_015675538.1
ENSMUSG00000018042,XP_015684234.1
ENSMUSG00000022542,XP_029140575.1
ENSMUSG00000022456,XP_015668998.1
ENSMUSG00000046213,XP_015670095.1
ENSMUSG00000024738,XP_015677238.1
ENSMUSG00000038150,XP_015687750.1
ENSMUSG00000031367,XP_015681164.1
ENSMUSG00000054702,XP_015674502.1
ENSMUSG00000004849,XP_015668682.1
ENSMUSG00000053465,XP_015687909.1
ENSMUSG00000045216,XP_015671679.1
ENSMUSG00000009108,XP_015677211.1
ENSMUSG00000034837,XP_015680241.1
ENSMUSG00000028777,XP_015683858.1
ENSMUSG00000028280,XP_015681646.1
ENSMUSG00000023267,XP_015681005.1
ENSMUSG00000074991,XP_029143126.1
ENSMUSG00000057378,XP_015674772.1
ENSMUSG00000021313,XP_015674514.1
ENSMUSG00000030592,XP_015678588.1
ENSMUSG00000027470,XP_015684990.1
ENSMUSG00000031698,XP_029140518.1
ENSMUSG00000044951,XP_029139423.1
ENSMUSG00000033316,XP_015681160.1
ENSMUSG00000034040,XP_015679449.1
ENSMUSG00000029071,XP_029139993.1
ENSMUSG00000020888,XP_015680138.1
ENSMUSG00000003233,XP_029141578.1
ENSMUSG00000022831,XP_015681995.1
ENSMUSG00000028655,XP_015686288.1
ENSMUSG00000037336,XP_029141230.1
ENSMUSG00000059923,XP_015677318.1
ENSMUSG00000069255,XP_015668918.2
ENSMUSG00000027359,XP_029143072.1
ENSMUSG00000043004,XP_015680521.1
ENSMUSG00000021303,XP_015672404.1
ENSMUSG00000063594,XP_015676484.1
ENSMUSG00000003500,XP_015673407.2
ENSMUSG00000003032,XP_029140957.1
ENSMUSG00000055148,XP_029138797.1
ENSMUSG00000020532,XP_015678787.1
ENSMUSG00000042010,XP_029139940.1
ENSMUSG00000027162,XP_015670868.1
ENSMUSG00000003872,XP_015665631.1
ENSMUSG00000019906,XP_015667533.1
ENSMUSG00000026610,XP_015678099.1
ENSMUSG00000036093,XP_015669848.1
ENSMUSG00000017418,XP_015670865.1
ENSMUSG00000005649,XP_015665836.1
ENSMUSG00000038546,XP_015670178.1
ENSMUSG00000000794,XP_015681523.1
ENSMUSG00000054477,XP_015681710.1
ENSMUSG00000048264,XP_015666978.1
ENSMUSG00000023026,XP_015687334.1
ENSMUSG00000021270,XP_015679541.1
ENSMUSG00000023944,XP_015680795.1
ENSMUSG00000037217,XP_029142182.1
ENSMUSG00000052560,XP_015681345.1
ENSMUSG00000024008,XP_015687157.1
ENSMUSG00000030270,XP_029140669.1
ENSMUSG00000034171,XP_015668027.1
ENSMUSG00000025422,XP_029140821.1
ENSMUSG00000023353,XP_015682656.1
ENSMUSG00000060450,XP_015670750.1
ENSMUSG00000015759,XP_015678798.1
ENSMUSG00000026514,XP_015669140.1
ENSMUSG00000024873,XP_015683615.1
ENSMUSG00000031576,XP_029140654.1
ENSMUSG00000038371,XP_015678146.1
ENSMUSG00000036529,XP_029140325.1
ENSMUSG00000032316,XP_029140875.1
ENSMUSG00000059146,XP_029140230.1
ENSMUSG00000032249,XP_015667384.1
ENSMUSG00000038094,XP_029142592.1
ENSMUSG00000048939,XP_029142593.1
ENSMUSG00000001774,XP_015685360.1
ENSMUSG00000031312,XP_029138772.1
ENSMUSG00000028955,XP_015668235.1
ENSMUSG00000020894,XP_029139583.1
ENSMUSG00000041556,XP_015684259.1
ENSMUSG00000069117,XP_015686849.2
ENSMUSG00000044134,XP_015670932.1
ENSMUSG00000049687,XP_015669019.1
ENSMUSG00000026175,XP_015675980.1
ENSMUSG00000025432,XP_015676131.1
ENSMUSG00000028370,XP_015684026.1
ENSMUSG00000073530,XP_015674005.1
ENSMUSG00000022433,XP_015672741.1
ENSMUSG00000009079,XP_029140264.1
ENSMUSG00000029640,XP_015681703.1
ENSMUSG00000068240,XP_015666208.1
ENSMUSG00000031441,XP_015684336.1
ENSMUSG00000059540,XP_015682845.1
ENSMUSG00000036432,XP_015679170.1
ENSMUSG00000009900,XP_015669786.2
ENSMUSG00000000125,XP_015687790.1
ENSMUSG00000060036,XP_015672209.1
ENSMUSG00000002500,XP_015671735.1
ENSMUSG00000020399,XP_015682194.1
ENSMUSG00000031529,XP_015669323.2
ENSMUSG00000024811,XP_015678172.1
ENSMUSG00000054764,XP_015687300.1
ENSMUSG00000033610,XP_015678513.1
ENSMUSG00000037514,XP_015680705.1
ENSMUSG00000018846,XP_015677471.1
ENSMUSG00000027668,XP_015669412.1
ENSMUSG00000029020,XP_015680228.1
ENSMUSG00000052298,XP_015677939.1
ENSMUSG00000040136,XP_029142654.1
ENSMUSG00000030249,XP_029142594.1
ENSMUSG00000038811,XP_015665961.1
ENSMUSG00000029621,XP_015684647.1
ENSMUSG00000032572,XP_015669852.1
ENSMUSG00000074637,XP_015684084.1
ENSMUSG00000032402,XP_015667379.1
ENSMUSG00000020463,XP_015686865.1
ENSMUSG00000041846,XP_015682174.1
ENSMUSG00000004791,XP_015677690.2
ENSMUSG00000073924,XP_015683397.1
ENSMUSG00000073973,XP_015683290.1
ENSMUSG00000025094,XP_015670709.1
ENSMUSG00000036330,XP_015682301.1
ENSMUSG00000021495,XP_015675878.1
ENSMUSG00000028465,XP_029139948.1
ENSMUSG00000052698,XP_015666519.1
ENSMUSG00000069867,XP_029139053.1
ENSMUSG00000036139,XP_015673760.1
ENSMUSG00000011752,XP_015678942.1
ENSMUSG00000020475,XP_015670061.1
ENSMUSG00000009356,XP_015672685.1
ENSMUSG00000028670,XP_015675134.1
ENSMUSG00000025903,XP_015675642.1
ENSMUSG00000067370,XP_015684445.1
ENSMUSG00000020483,XP_015680902.1
ENSMUSG00000059316,XP_015687588.1
ENSMUSG00000031808,XP_015671209.1
ENSMUSG00000057236,XP_015667132.1
ENSMUSG00000024036,XP_015685140.1
ENSMUSG00000040653,XP_015671395.1
ENSMUSG00000056379,XP_015682686.1
ENSMUSG00000032220,XP_015666503.1
ENSMUSG00000024300,XP_015665521.1
ENSMUSG00000090236,XP_015677574.1
ENSMUSG00000032261,XP_015672294.1
ENSMUSG00000031246,XP_015683958.1
ENSMUSG00000038765,XP_029141988.1
ENSMUSG00000026686,XP_015670146.1
ENSMUSG00000078302,XP_015674915.1
ENSMUSG00000022311,XP_015677050.1
ENSMUSG00000060924,XP_029139307.1
ENSMUSG00000022292,XP_029140045.1
ENSMUSG00000071379,XP_015678771.1
ENSMUSG00000028785,XP_015667161.1
ENSMUSG00000051359,XP_015671858.1
ENSMUSG00000046329,XP_015682873.1
ENSMUSG00000024397,XP_015675308.1
ENSMUSG00000001864,XP_015675830.1
ENSMUSG00000010097,XP_015677003.1
ENSMUSG00000058620,XP_015666866.1
ENSMUSG00000020402,XP_015679656.1
ENSMUSG00000021771,XP_029142427.1
ENSMUSG00000068798,XP_015677128.1
ENSMUSG00000035027,XP_015680117.1
ENSMUSG00000033826,XP_029140899.1
ENSMUSG00000022262,XP_015668484.1
ENSMUSG00000011148,XP_015687023.1
ENSMUSG00000029581,XP_015687579.1
ENSMUSG00000025380,XP_015670775.1
ENSMUSG00000016940,XP_029139811.1
ENSMUSG00000016946,XP_015687225.1
ENSMUSG00000033287,XP_015687420.1
ENSMUSG00000005986,XP_015683966.1
ENSMUSG00000042581,XP_029140014.1
ENSMUSG00000032625,XP_015667313.1
ENSMUSG00000037953,XP_015669649.1
ENSMUSG00000044986,XP_015687481.1
ENSMUSG00000020793,XP_015675201.2
ENSMUSG00000027799,XP_015671668.1
ENSMUSG00000028080,XP_029140069.1
ENSMUSG00000054509,XP_015672315.1
ENSMUSG00000021679,XP_015678195.1
ENSMUSG00000062098,XP_015677928.1
ENSMUSG00000034402,XP_015683008.1
ENSMUSG00000058248,XP_015672701.1
ENSMUSG00000020160,XP_015666217.1
ENSMUSG00000027210,XP_015666218.1
ENSMUSG00000050627,XP_015667916.1
ENSMUSG00000020385,XP_015681106.1
ENSMUSG00000007035,XP_015675286.1
ENSMUSG00000020448,XP_015678142.1
ENSMUSG00000016024,XP_015686229.1
ENSMUSG00000050493,XP_015669189.1
ENSMUSG00000035095,XP_015673539.1
ENSMUSG00000032518,XP_015678284.1
ENSMUSG00000020456,XP_015682306.1
ENSMUSG00000032549,XP_015680734.1
ENSMUSG00000030704,XP_029139880.1
ENSMUSG00000070871,XP_015669950.1
ENSMUSG00000024286,XP_015667499.1
ENSMUSG00000028032,XP_015665766.1
ENSMUSG00000024899,XP_029139432.1
ENSMUSG00000003762,XP_015669383.1
ENSMUSG00000026489,XP_015675658.1
ENSMUSG00000020088,XP_015681136.1
ENSMUSG00000034912,XP_029140738.1
ENSMUSG00000043557,XP_015676469.1
ENSMUSG00000018921,XP_029139417.1
ENSMUSG00000043670,XP_015681691.1
ENSMUSG00000022544,XP_015683897.2
ENSMUSG00000008475,XP_015668604.1
ENSMUSG00000036073,XP_015685272.1
ENSMUSG00000022074,XP_029142553.1
ENSMUSG00000041444,XP_015676810.1
ENSMUSG00000054423,XP_015675689.1
ENSMUSG00000022098,XP_015673461.1
ENSMUSG00000053626,XP_015675300.1
ENSMUSG00000029595,XP_015683742.1
ENSMUSG00000018698,XP_015682628.1
ENSMUSG00000029217,XP_015684005.1
ENSMUSG00000020890,XP_029142065.1
ENSMUSG00000054455,XP_015687567.1
ENSMUSG00000050996,XP_015677791.1
ENSMUSG00000022587,XP_029142045.1
ENSMUSG00000030536,XP_015674085.1
ENSMUSG00000013033,XP_029140530.1
