Orthogroup	M_musculus.pep	P_troglodytes.pep
OG0000006	ENSMUSG00000050844.5, ENSMUSG00000063535.7	ENSPTRG00000011558.5
OG0000006	ENSMUSG00000067942.6, ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1	ENSPTRG00000039931.2
OG0000006	ENSMUSG00000054519.8	ENSPTRG00000023216.4
OG0000006	ENSMUSG00000074472.10	ENSPTRG00000052677.1, ENSPTRG00000048805.1
OG0000006	ENSMUSG00000092544.8, ENSMUSG00000043090.18, ENSMUSG00000091764.3, ENSMUSG00000092260.7	ENSPTRG00000010522.6, ENSPTRG00000050902.1
OG0000006	ENSMUSG00000096718.2, ENSMUSG00000094622.2	ENSPTRG00000010249.6
OG0000006	ENSMUSG00000002266.17	ENSPTRG00000030267.3
OG0000006	ENSMUSG00000044807.13	ENSPTRG00000045846.1
OG0000006	ENSMUSG00000020335.13	ENSPTRG00000017606.5, ENSPTRG00000017609.5
OG0000006	ENSMUSG00000031374.13	ENSPTRG00000047228.1
OG0000006	ENSMUSG00000072623.6	ENSPTRG00000047693.1, ENSPTRG00000042406.2
OG0000006	ENSMUSG00000033669.8, ENSMUSG00000116024.1	ENSPTRG00000020717.6
OG0000008	ENSMUSG00000060032.6	ENSPTRG00000004723.4
OG0000008	ENSMUSG00000068855.3	ENSPTRG00000052021.1
OG0000008	ENSMUSG00000063689.4	ENSPTRG00000047219.1
OG0000008	ENSMUSG00000049932.3	ENSPTRG00000004369.4
OG0000008	ENSMUSG00000064220.6, ENSMUSG00000063954.7	ENSPTRG00000046303.1
OG0000008	ENSMUSG00000078851.4	ENSPTRG00000047640.1
OG0000008	ENSMUSG00000069270.6, ENSMUSG00000094248.1, ENSMUSG00000069272.6, ENSMUSG00000069301.5	ENSPTRG00000049137.1
OG0000008	ENSMUSG00000094777.2	ENSPTRG00000045582.1
OG0000008	ENSMUSG00000063021.3	ENSPTRG00000043908.1, ENSPTRG00000029801.2, ENSPTRG00000042706.1, ENSPTRG00000044259.1
OG0000008	ENSMUSG00000069302.5	ENSPTRG00000044636.1, ENSPTRG00000045889.1
OG0000009	ENSMUSG00000067522.3	ENSPTRG00000003691.3
OG0000009	ENSMUSG00000075205.5, ENSMUSG00000043226.5, ENSMUSG00000075212.5, ENSMUSG00000075214.3, ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1	ENSPTRG00000003646.4
OG0000009	ENSMUSG00000047149.5	ENSPTRG00000003626.2
OG0000009	ENSMUSG00000075208.6	ENSPTRG00000029960.3
OG0000009	ENSMUSG00000090894.4, ENSMUSG00000090675.2	ENSPTRG00000029785.4
OG0000009	ENSMUSG00000046975.7	ENSPTRG00000003643.4
OG0000009	ENSMUSG00000075158.5	ENSPTRG00000003619.3
OG0000010	ENSMUSG00000050799.3	ENSPTRG00000051324.1
OG0000010	ENSMUSG00000105827.1	ENSPTRG00000047357.1
OG0000010	ENSMUSG00000056895.4	ENSPTRG00000050958.1
OG0000010	ENSMUSG00000069307.6, ENSMUSG00000069303.6	ENSPTRG00000052585.1
OG0000010	ENSMUSG00000058385.8	ENSPTRG00000049674.1
OG0000010	ENSMUSG00000114279.1	ENSPTRG00000050249.1, ENSPTRG00000045223.1, ENSPTRG00000048874.1
OG0000010	ENSMUSG00000075031.4	ENSPTRG00000049906.1
OG0000010	ENSMUSG00000095217.1, ENSMUSG00000069300.3, ENSMUSG00000069268.4, ENSMUSG00000094338.1	ENSPTRG00000049839.1
OG0000013	ENSMUSG00000109212.3, ENSMUSG00000058114.3, ENSMUSG00000059030.5, ENSMUSG00000109376.1, ENSMUSG00000062629.4, ENSMUSG00000092292.3, ENSMUSG00000061336.3, ENSMUSG00000051611.9, ENSMUSG00000092413.5, ENSMUSG00000050613.5	ENSPTRG00000017891.3
OG0000014	ENSMUSG00000016559.14	ENSPTRG00000043737.1
OG0000014	ENSMUSG00000101972.1	ENSPTRG00000046297.1, ENSPTRG00000049252.1, ENSPTRG00000047137.1, ENSPTRG00000052362.1, ENSPTRG00000048013.1, ENSPTRG00000043155.1, ENSPTRG00000017824.3
OG0000014	ENSMUSG00000099517.2	ENSPTRG00000042751.1
OG0000015	ENSMUSG00000026471.14	ENSPTRG00000048595.1, ENSPTRG00000001746.7
OG0000018	ENSMUSG00000060678.5	ENSPTRG00000001238.5
OG0000018	ENSMUSG00000069305.3, ENSMUSG00000069306.5	ENSPTRG00000046786.1, ENSPTRG00000043887.1, ENSPTRG00000047281.1
OG0000018	ENSMUSG00000096010.2	ENSPTRG00000004722.5
OG0000020	ENSMUSG00000095554.2, ENSMUSG00000094241.2, ENSMUSG00000076709.2, ENSMUSG00000095863.2, ENSMUSG00000094051.6, ENSMUSG00000096410.2, ENSMUSG00000095130.1, ENSMUSG00000095859.2, ENSMUSG00000094652.2, ENSMUSG00000095923.6, ENSMUSG00000095761.6, ENSMUSG00000096649.2, ENSMUSG00000094546.1, ENSMUSG00000103290.1, ENSMUSG00000103254.1, ENSMUSG00000094561.1, ENSMUSG00000093955.2, ENSMUSG00000076695.7	ENSPTRG00000030364.3
OG0000021	ENSMUSG00000057003.12	ENSPTRG00000008769.4
OG0000021	ENSMUSG00000033196.17	ENSPTRG00000008771.7
OG0000021	ENSMUSG00000055775.16	ENSPTRG00000008768.6
OG0000021	ENSMUSG00000060180.12	ENSPTRG00000008766.6
OG0000021	ENSMUSG00000020908.14	ENSPTRG00000008773.5
OG0000021	ENSMUSG00000074652.3	ENSPTRG00000013428.6
OG0000021	ENSMUSG00000092009.1	ENSPTRG00000015191.4
OG0000021	ENSMUSG00000053093.16	ENSPTRG00000042734.1
OG0000021	ENSMUSG00000040752.16	ENSPTRG00000006175.6
OG0000023	ENSMUSG00000059887.7, ENSMUSG00000057564.6	ENSPTRG00000047914.1
OG0000023	ENSMUSG00000035626.4	ENSPTRG00000041296.2
OG0000023	ENSMUSG00000045812.5	ENSPTRG00000004413.3
OG0000023	ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3	ENSPTRG00000047267.1, ENSPTRG00000043210.1
OG0000023	ENSMUSG00000067529.2	ENSPTRG00000043163.1
OG0000023	ENSMUSG00000067524.4	ENSPTRG00000003692.4
OG0000023	ENSMUSG00000060787.9	ENSPTRG00000030829.4
OG0000023	ENSMUSG00000048933.8	ENSPTRG00000006083.2
OG0000025	ENSMUSG00000073421.6	ENSPTRG00000023404.6, ENSPTRG00000018018.7
OG0000025	ENSMUSG00000060586.11, ENSMUSG00000067341.6	ENSPTRG00000023735.6, ENSPTRG00000051243.1, ENSPTRG00000018001.7
OG0000026	ENSMUSG00000051663.4	ENSPTRG00000017330.3
OG0000026	ENSMUSG00000044022.5	ENSPTRG00000045415.1
OG0000026	ENSMUSG00000048347.5	ENSPTRG00000032485.2, ENSPTRG00000028558.3
OG0000026	ENSMUSG00000046191.7	ENSPTRG00000017341.4
OG0000026	ENSMUSG00000046387.5	ENSPTRG00000017338.5
OG0000026	ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3	ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1
OG0000026	ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3	ENSPTRG00000017334.5
OG0000026	ENSMUSG00000044043.4	ENSPTRG00000032486.2
OG0000026	ENSMUSG00000047307.2	ENSPTRG00000017335.4
OG0000026	ENSMUSG00000073591.4	ENSPTRG00000017343.3
OG0000026	ENSMUSG00000043313.6	ENSPTRG00000050672.1
OG0000027	ENSMUSG00000067702.5	ENSPTRG00000004900.5
OG0000027	ENSMUSG00000067338.6	ENSPTRG00000012467.6
OG0000027	ENSMUSG00000072235.6	ENSPTRG00000004901.5
OG0000027	ENSMUSG00000021216.7	ENSPTRG00000002253.4
OG0000027	ENSMUSG00000030137.8	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	ENSMUSG00000026202.13	ENSPTRG00000012949.6
OG0000027	ENSMUSG00000043091.9	ENSPTRG00000048544.1
OG0000028	ENSMUSG00000112023.1, ENSMUSG00000112148.1, ENSMUSG00000062593.17, ENSMUSG00000070873.5	ENSPTRG00000011455.5
OG0000028	ENSMUSG00000074419.11, ENSMUSG00000089942.9, ENSMUSG00000081665.2, ENSMUSG00000074417.9, ENSMUSG00000030427.17, ENSMUSG00000058818.13	ENSPTRG00000011456.3, ENSPTRG00000028888.5, ENSPTRG00000045348.1
OG0000029	ENSMUSG00000022986.5	ENSPTRG00000043894.1
OG0000029	ENSMUSG00000023041.7, ENSMUSG00000058354.7, ENSMUSG00000064232.2, ENSMUSG00000095241.2	ENSPTRG00000051265.1, ENSPTRG00000004979.4
OG0000029	ENSMUSG00000061527.7	ENSPTRG00000020404.6
OG0000029	ENSMUSG00000046834.7	ENSPTRG00000004987.6, ENSPTRG00000046630.1
OG0000029	ENSMUSG00000061397.8	ENSPTRG00000004993.4
OG0000029	ENSMUSG00000059668.6	ENSPTRG00000004992.5
OG0000029	ENSMUSG00000056605.7	ENSPTRG00000004984.3
OG0000029	ENSMUSG00000051879.4	ENSPTRG00000004982.5
OG0000029	ENSMUSG00000063661.6	ENSPTRG00000004985.4
OG0000029	ENSMUSG00000075402.1	ENSPTRG00000004991.5, ENSPTRG00000004990.3
OG0000029	ENSMUSG00000049382.10	ENSPTRG00000046526.1, ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1, ENSPTRG00000044210.1
OG0000029	ENSMUSG00000023039.17	ENSPTRG00000004969.4
OG0000031	ENSMUSG00000030483.14, ENSMUSG00000040583.8, ENSMUSG00000040660.6, ENSMUSG00000066704.6, ENSMUSG00000040650.8	ENSPTRG00000033855.3, ENSPTRG00000023029.6
OG0000031	ENSMUSG00000049685.8	ENSPTRG00000011016.6
OG0000031	ENSMUSG00000091867.2, ENSMUSG00000060407.6, ENSMUSG00000074254.4, ENSMUSG00000005547.14	ENSPTRG00000011014.4, ENSPTRG00000011015.7, ENSPTRG00000033800.3
OG0000032	ENSMUSG00000044293.5, ENSMUSG00000095138.3, ENSMUSG00000094734.2	ENSPTRG00000029745.2
OG0000032	ENSMUSG00000044897.3	ENSPTRG00000005050.4
OG0000032	ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3	ENSPTRG00000005052.4
OG0000032	ENSMUSG00000095696.3, ENSMUSG00000093866.3	ENSPTRG00000029744.2
OG0000032	ENSMUSG00000056853.3, ENSMUSG00000059762.4	ENSPTRG00000050576.1, ENSPTRG00000045202.1
OG0000033	ENSMUSG00000073956.3	ENSPTRG00000028733.5
OG0000033	ENSMUSG00000051362.2	ENSPTRG00000003234.2
OG0000033	ENSMUSG00000073914.2	ENSPTRG00000003268.5
OG0000033	ENSMUSG00000094531.3, ENSMUSG00000096773.4	ENSPTRG00000003267.4, ENSPTRG00000028728.3
OG0000033	ENSMUSG00000073931.3	ENSPTRG00000003252.3
OG0000033	ENSMUSG00000042909.4	ENSPTRG00000003255.7
OG0000034	ENSMUSG00000001525.10	ENSPTRG00000017675.6
OG0000034	ENSMUSG00000036752.4	ENSPTRG00000023373.3
OG0000034	ENSMUSG00000062591.5	ENSPTRG00000010369.4
OG0000034	ENSMUSG00000001473.7	ENSPTRG00000009878.6
OG0000034	ENSMUSG00000016255.5	ENSPTRG00000013680.2
OG0000039	ENSMUSG00000052850.5	ENSPTRG00000050321.1, ENSPTRG00000019779.6
OG0000039	ENSMUSG00000054497.5	ENSPTRG00000004682.4
OG0000039	ENSMUSG00000053217.3, ENSMUSG00000059382.2	ENSPTRG00000047242.1, ENSPTRG00000045940.1, ENSPTRG00000046845.1, ENSPTRG00000032530.3, ENSPTRG00000046810.1, ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1, ENSPTRG00000049303.1
OG0000039	ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4	ENSPTRG00000004685.6
OG0000040	ENSMUSG00000053835.17	ENSPTRG00000046522.1
OG0000040	ENSMUSG00000054128.16, ENSMUSG00000067212.8, ENSMUSG00000016206.6, ENSMUSG00000056116.18, ENSMUSG00000079491.9, ENSMUSG00000092243.8, ENSMUSG00000079492.2, ENSMUSG00000067235.14, ENSMUSG00000091705.8, ENSMUSG00000079507.10, ENSMUSG00000061232.16, ENSMUSG00000073411.12, ENSMUSG00000073402.11, ENSMUSG00000073406.10, ENSMUSG00000035929.11, ENSMUSG00000073409.12, ENSMUSG00000060550.16, ENSMUSG00000055413.12	ENSPTRG00000043460.1
OG0000040	ENSMUSG00000016283.13	ENSPTRG00000017908.7, ENSPTRG00000041261.2, ENSPTRG00000017912.7, ENSPTRG00000039521.2, ENSPTRG00000017906.6, ENSPTRG00000046552.1, ENSPTRG00000038986.2
OG0000045	ENSMUSG00000051965.8	ENSPTRG00000011172.2
OG0000047	ENSMUSG00000101389.1	ENSPTRG00000034329.3, ENSPTRG00000003710.6
OG0000047	ENSMUSG00000067571.4	ENSPTRG00000003719.4
OG0000047	ENSMUSG00000024730.7	ENSPTRG00000003718.3
OG0000047	ENSMUSG00000101031.2	ENSPTRG00000003716.5
OG0000050	ENSMUSG00000068037.11	ENSPTRG00000018763.6
OG0000051	ENSMUSG00000075318.13	ENSPTRG00000012591.6
OG0000051	ENSMUSG00000064329.13	ENSPTRG00000012595.6
OG0000051	ENSMUSG00000057182.15	ENSPTRG00000012590.7
OG0000051	ENSMUSG00000075316.11	ENSPTRG00000012597.7
OG0000051	ENSMUSG00000001027.7	ENSPTRG00000009532.6
OG0000051	ENSMUSG00000032511.17	ENSPTRG00000014762.7
OG0000051	ENSMUSG00000023033.14	ENSPTRG00000004959.7
OG0000052	ENSMUSG00000105629.1, ENSMUSG00000105393.1, ENSMUSG00000106620.1, ENSMUSG00000094766.3, ENSMUSG00000094023.3, ENSMUSG00000095736.1, ENSMUSG00000104620.1, ENSMUSG00000096417.2, ENSMUSG00000105533.1, ENSMUSG00000096746.3, ENSMUSG00000096908.3, ENSMUSG00000096138.5, ENSMUSG00000105080.1, ENSMUSG00000105721.1	ENSPTRG00000045499.1, ENSPTRG00000045304.1, ENSPTRG00000045951.1
OG0000052	ENSMUSG00000076862.5	ENSPTRG00000046436.1, ENSPTRG00000043709.1, ENSPTRG00000047479.1, ENSPTRG00000049224.1
OG0000052	ENSMUSG00000095560.2, ENSMUSG00000093801.2, ENSMUSG00000095711.5, ENSMUSG00000076840.4, ENSMUSG00000096827.2, ENSMUSG00000095854.4, ENSMUSG00000094212.3, ENSMUSG00000094619.2, ENSMUSG00000076824.3	ENSPTRG00000047741.1
OG0000052	ENSMUSG00000076760.2, ENSMUSG00000076858.3, ENSMUSG00000094828.5, ENSMUSG00000094877.2, ENSMUSG00000093953.2	ENSPTRG00000050303.1
OG0000052	ENSMUSG00000096106.1, ENSMUSG00000096168.1, ENSMUSG00000095607.3, ENSMUSG00000076761.1, ENSMUSG00000095646.1, ENSMUSG00000094792.3, ENSMUSG00000096551.2	ENSPTRG00000043877.1
OG0000055	ENSMUSG00000054036.6, ENSMUSG00000064121.4	ENSPTRG00000034080.3
OG0000057	ENSMUSG00000022818.13	ENSPTRG00000048232.1
OG0000059	ENSMUSG00000062825.15	ENSPTRG00000048969.1
OG0000059	ENSMUSG00000029580.14	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6
OG0000059	ENSMUSG00000031085.16	ENSPTRG00000006890.4, ENSPTRG00000002086.7, ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	ENSMUSG00000030156.5	ENSPTRG00000004659.4
OG0000061	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1
OG0000062	ENSMUSG00000027876.4	ENSPTRG00000001180.6
OG0000063	ENSMUSG00000045364.2	ENSPTRG00000020823.3
OG0000063	ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1	ENSPTRG00000048038.1, ENSPTRG00000041238.2, ENSPTRG00000043432.1, ENSPTRG00000050673.1, ENSPTRG00000044822.1, ENSPTRG00000044382.1, ENSPTRG00000045595.1, ENSPTRG00000048249.1, ENSPTRG00000045477.1, ENSPTRG00000020820.3
OG0000064	ENSMUSG00000105606.1, ENSMUSG00000076501.2, ENSMUSG00000076500.2, ENSMUSG00000076518.6	ENSPTRG00000049723.1
OG0000064	ENSMUSG00000093861.2, ENSMUSG00000094335.2, ENSMUSG00000095497.2, ENSMUSG00000076535.1, ENSMUSG00000076525.3	ENSPTRG00000044845.1, ENSPTRG00000049020.1, ENSPTRG00000048779.1, ENSPTRG00000051521.1, ENSPTRG00000014031.5, ENSPTRG00000052131.1, ENSPTRG00000047568.1
OG0000065	ENSMUSG00000041567.3	ENSPTRG00000006682.3
OG0000065	ENSMUSG00000058260.2	ENSPTRG00000006681.6, ENSPTRG00000006683.3
OG0000065	ENSMUSG00000079013.2, ENSMUSG00000066364.2, ENSMUSG00000041536.13, ENSMUSG00000058207.6, ENSMUSG00000079012.11, ENSMUSG00000066361.3, ENSMUSG00000021091.8, ENSMUSG00000079014.4, ENSMUSG00000066363.12, ENSMUSG00000041481.17	ENSPTRG00000023582.6
OG0000065	ENSMUSG00000072849.10, ENSMUSG00000071177.4, ENSMUSG00000066366.14, ENSMUSG00000079015.2, ENSMUSG00000071178.11	ENSPTRG00000023666.5
OG0000069	ENSMUSG00000025350.15	ENSPTRG00000005060.3
OG0000069	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1	ENSPTRG00000005113.5
OG0000069	ENSMUSG00000040127.13	ENSPTRG00000005112.4
OG0000071	ENSMUSG00000054385.14, ENSMUSG00000074272.10	ENSPTRG00000011030.6, ENSPTRG00000050646.1, ENSPTRG00000045990.1, ENSPTRG00000051404.1, ENSPTRG00000045877.1, ENSPTRG00000045330.1, ENSPTRG00000049486.1, ENSPTRG00000011067.7, ENSPTRG00000051729.1, ENSPTRG00000048170.1, ENSPTRG00000049328.1, ENSPTRG00000048924.1, ENSPTRG00000050518.1, ENSPTRG00000052731.1, ENSPTRG00000048736.1, ENSPTRG00000047617.1, ENSPTRG00000049320.1, ENSPTRG00000041975.2, ENSPTRG00000011072.6, ENSPTRG00000011063.4, ENSPTRG00000011032.6, ENSPTRG00000011031.6, ENSPTRG00000011061.7
OG0000072	ENSMUSG00000024650.5	ENSPTRG00000023694.5
OG0000072	ENSMUSG00000063796.9	ENSPTRG00000003796.6
OG0000072	ENSMUSG00000067144.7	ENSPTRG00000018194.7
OG0000072	ENSMUSG00000037451.8	ENSPTRG00000052347.1
OG0000072	ENSMUSG00000107099.4, ENSMUSG00000061742.12	ENSPTRG00000023703.5, ENSPTRG00000003841.6
OG0000072	ENSMUSG00000022366.12	ENSPTRG00000003799.5, ENSPTRG00000003797.6, ENSPTRG00000024251.5, ENSPTRG00000003800.7
OG0000073	ENSMUSG00000090877.3, ENSMUSG00000091971.3	ENSPTRG00000029753.4
OG0000073	ENSMUSG00000007033.4	ENSPTRG00000029754.4
OG0000073	ENSMUSG00000015656.17	ENSPTRG00000043209.1, ENSPTRG00000050744.1, ENSPTRG00000052825.1, ENSPTRG00000051554.1, ENSPTRG00000004404.6
OG0000073	ENSMUSG00000059970.7	ENSPTRG00000006439.5
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1
OG0000076	ENSMUSG00000076800.1, ENSMUSG00000096149.5, ENSMUSG00000095426.6	ENSPTRG00000049078.1
OG0000076	ENSMUSG00000076802.3, ENSMUSG00000094176.6, ENSMUSG00000095862.1, ENSMUSG00000076764.3, ENSMUSG00000094468.5, ENSMUSG00000095387.5, ENSMUSG00000076762.1, ENSMUSG00000096600.5, ENSMUSG00000094220.5, ENSMUSG00000095126.3, ENSMUSG00000095370.2, ENSMUSG00000095756.2	ENSPTRG00000043697.1
OG0000077	ENSMUSG00000097297.3, ENSMUSG00000078817.4	ENSPTRG00000011432.6
OG0000077	ENSMUSG00000032691.14	ENSPTRG00000002198.7
OG0000077	ENSMUSG00000016626.10	ENSPTRG00000003311.4
OG0000077	ENSMUSG00000032999.10, ENSMUSG00000034087.14, ENSMUSG00000045693.8, ENSMUSG00000034690.13, ENSMUSG00000040601.13	ENSPTRG00000011530.5
OG0000077	ENSMUSG00000038650.15	ENSPTRG00000003118.7
OG0000078	ENSMUSG00000074682.4	ENSPTRG00000047645.1
OG0000079	ENSMUSG00000076475.2	ENSPTRG00000046992.1
OG0000079	ENSMUSG00000076480.2	ENSPTRG00000049138.1
OG0000079	ENSMUSG00000076469.3, ENSMUSG00000076467.3, ENSMUSG00000076470.1	ENSPTRG00000046904.1, ENSPTRG00000049879.1, ENSPTRG00000040773.2
OG0000081	ENSMUSG00000023031.8	ENSPTRG00000004955.4
OG0000081	ENSMUSG00000058579.5	ENSPTRG00000034262.3, ENSPTRG00000049760.1
OG0000081	ENSMUSG00000062478.16	ENSPTRG00000000197.7
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1
OG0000083	ENSMUSG00000035042.2	ENSPTRG00000046869.1
OG0000083	ENSMUSG00000000982.5	ENSPTRG00000009039.6, ENSPTRG00000047483.1, ENSPTRG00000045727.1, ENSPTRG00000009037.6
OG0000083	ENSMUSG00000018930.3	ENSPTRG00000043187.1, ENSPTRG00000030907.4
OG0000085	ENSMUSG00000031502.11	ENSPTRG00000006031.6
OG0000085	ENSMUSG00000031274.16	ENSPTRG00000022173.6
OG0000085	ENSMUSG00000031503.13	ENSPTRG00000006032.7
OG0000085	ENSMUSG00000116510.1, ENSMUSG00000031273.16	ENSPTRG00000022171.7
OG0000085	ENSMUSG00000067158.9	ENSPTRG00000012991.7
OG0000085	ENSMUSG00000079465.8	ENSPTRG00000012992.7
OG0000086	ENSMUSG00000016349.10	ENSPTRG00000013737.4
OG0000086	ENSMUSG00000037742.14	ENSPTRG00000016737.5, ENSPTRG00000048890.1, ENSPTRG00000051935.1, ENSPTRG00000051235.1, ENSPTRG00000047542.1, ENSPTRG00000018347.7
OG0000087	ENSMUSG00000020900.15	ENSPTRG00000008746.7
OG0000087	ENSMUSG00000018830.10	ENSPTRG00000007810.7
OG0000087	ENSMUSG00000022443.17	ENSPTRG00000014309.6
OG0000087	ENSMUSG00000030739.18	ENSPTRG00000011333.6
OG0000090	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5	ENSPTRG00000022723.5
OG0000090	ENSMUSG00000058019.13	ENSPTRG00000008128.6
OG0000090	ENSMUSG00000091813.4, ENSMUSG00000050097.6, ENSMUSG00000061825.10, ENSMUSG00000031877.9, ENSMUSG00000062826.7, ENSMUSG00000031886.14, ENSMUSG00000055730.16	ENSPTRG00000008209.4, ENSPTRG00000051277.1
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15	ENSPTRG00000000940.5
