Orthogroup	M_musculus.pep	G_gallus.pep
OG0000009	ENSMUSG00000051392.5, ENSMUSG00000090894.4, ENSMUSG00000090675.2, ENSMUSG00000070460.7, ENSMUSG00000070459.6, ENSMUSG00000116179.1	ENSGALG00000031739.2
OG0000009	ENSMUSG00000046975.7	ENSGALG00000041249.2, ENSGALG00000038269.2
OG0000009	ENSMUSG00000075158.5	ENSGALG00000043910.2
OG0000010	ENSMUSG00000050799.3, ENSMUSG00000105827.1, ENSMUSG00000056895.4	ENSGALG00000036908.2
OG0000013	ENSMUSG00000109212.3, ENSMUSG00000058114.3, ENSMUSG00000059030.5, ENSMUSG00000109376.1, ENSMUSG00000062629.4, ENSMUSG00000092292.3, ENSMUSG00000061336.3, ENSMUSG00000051611.9, ENSMUSG00000092413.5, ENSMUSG00000050613.5, ENSMUSG00000108426.2	ENSGALG00000050513.1, ENSGALG00000052602.1, ENSGALG00000049479.1, ENSGALG00000053747.1, ENSGALG00000051173.1, ENSGALG00000053944.1, ENSGALG00000048833.1, ENSGALG00000043575.2, ENSGALG00000041504.3, ENSGALG00000051768.1, ENSGALG00000053894.1, ENSGALG00000048915.1, ENSGALG00000047841.1, ENSGALG00000039250.2, ENSGALG00000041951.2, ENSGALG00000054729.1, ENSGALG00000054864.1, ENSGALG00000051877.1, ENSGALG00000049816.1, ENSGALG00000053200.1, ENSGALG00000053420.1, ENSGALG00000047375.1, ENSGALG00000052630.1, ENSGALG00000051246.1, ENSGALG00000040481.2, ENSGALG00000054846.1, ENSGALG00000054897.1, ENSGALG00000046428.2, ENSGALG00000049748.1, ENSGALG00000045377.2, ENSGALG00000053395.1, ENSGALG00000049263.1, ENSGALG00000054611.1, ENSGALG00000046913.1, ENSGALG00000048999.1, ENSGALG00000048618.1, ENSGALG00000053470.1, ENSGALG00000049392.1, ENSGALG00000048175.1, ENSGALG00000047930.1, ENSGALG00000050222.1, ENSGALG00000050447.1, ENSGALG00000048938.1, ENSGALG00000048354.1, ENSGALG00000054311.1, ENSGALG00000048673.1, ENSGALG00000034369.2, ENSGALG00000049109.1, ENSGALG00000048811.1, ENSGALG00000045206.2, ENSGALG00000052981.1, ENSGALG00000049158.1, ENSGALG00000046143.2, ENSGALG00000036079.2, ENSGALG00000049531.1, ENSGALG00000036455.2, ENSGALG00000047178.1, ENSGALG00000048651.1, ENSGALG00000050209.1, ENSGALG00000052836.1, ENSGALG00000054533.1, ENSGALG00000055137.1, ENSGALG00000054884.1, ENSGALG00000049845.1, ENSGALG00000050259.1, ENSGALG00000046926.1, ENSGALG00000054852.1, ENSGALG00000047992.1, ENSGALG00000054226.1, ENSGALG00000051719.1, ENSGALG00000054705.1, ENSGALG00000054589.1, ENSGALG00000043510.2, ENSGALG00000049681.1, ENSGALG00000048180.1, ENSGALG00000050463.1, ENSGALG00000046814.1, ENSGALG00000043446.2, ENSGALG00000049458.1, ENSGALG00000054101.1, ENSGALG00000053077.1, ENSGALG00000052019.1, ENSGALG00000048784.1
OG0000014	ENSMUSG00000016559.14	ENSGALG00000054599.1, ENSGALG00000020078.6
OG0000014	ENSMUSG00000101972.1, ENSMUSG00000101355.1, ENSMUSG00000099517.2, ENSMUSG00000069265.2, ENSMUSG00000069310.4	ENSGALG00000048231.1
OG0000018	ENSMUSG00000060678.5, ENSMUSG00000061482.7	ENSGALG00000050250.1
OG0000018	ENSMUSG00000069266.5, ENSMUSG00000060981.7, ENSMUSG00000060093.6, ENSMUSG00000069305.3, ENSMUSG00000069306.5, ENSMUSG00000067455.5, ENSMUSG00000096010.2	ENSGALG00000048097.1
OG0000018	ENSMUSG00000069274.3	ENSGALG00000053680.1
OG0000021	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4
OG0000021	ENSMUSG00000060180.12	ENSGALG00000029660.2
OG0000021	ENSMUSG00000074652.3	ENSGALG00000030985.2
OG0000021	ENSMUSG00000092009.1	ENSGALG00000015358.7
OG0000021	ENSMUSG00000053093.16	ENSGALG00000035594.2
OG0000021	ENSMUSG00000040752.16	ENSGALG00000035960.2
OG0000023	ENSMUSG00000059887.7, ENSMUSG00000057564.6, ENSMUSG00000035626.4, ENSMUSG00000046210.7, ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2, ENSMUSG00000045306.3, ENSMUSG00000090874.2, ENSMUSG00000091873.2, ENSMUSG00000048933.8	ENSGALG00000054820.1
OG0000025	ENSMUSG00000073421.6, ENSMUSG00000060586.11, ENSMUSG00000067341.6	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7
OG0000026	ENSMUSG00000051663.4, ENSMUSG00000044022.5, ENSMUSG00000048347.5, ENSMUSG00000047033.2, ENSMUSG00000051599.4, ENSMUSG00000046191.7, ENSMUSG00000046387.5, ENSMUSG00000047910.6, ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3, ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3, ENSMUSG00000044043.4, ENSMUSG00000047307.2, ENSMUSG00000045498.1, ENSMUSG00000073591.4, ENSMUSG00000043313.6	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1
OG0000027	ENSMUSG00000067702.5, ENSMUSG00000067338.6	ENSGALG00000006241.5
OG0000027	ENSMUSG00000072235.6	ENSGALG00000037953.3
OG0000027	ENSMUSG00000021216.7	ENSGALG00000008444.6
OG0000027	ENSMUSG00000030137.8	ENSGALG00000013045.6, ENSGALG00000013056.6
OG0000027	ENSMUSG00000026202.13	ENSGALG00000000433.7, ENSGALG00000011324.6
OG0000027	ENSMUSG00000043091.9	ENSGALG00000040260.2
OG0000029	ENSMUSG00000022986.5, ENSMUSG00000023041.7, ENSMUSG00000058354.7, ENSMUSG00000064232.2, ENSMUSG00000095241.2, ENSMUSG00000061527.7	ENSGALG00000032672.3
OG0000029	ENSMUSG00000023039.17	ENSGALG00000034868.3
OG0000029	ENSMUSG00000048699.4	ENSGALG00000043689.2
OG0000032	ENSMUSG00000044293.5, ENSMUSG00000095138.3, ENSMUSG00000094734.2, ENSMUSG00000042801.5, ENSMUSG00000050478.3, ENSMUSG00000044897.3, ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3, ENSMUSG00000049894.3, ENSMUSG00000094496.2, ENSMUSG00000095002.3, ENSMUSG00000044025.6, ENSMUSG00000095696.3, ENSMUSG00000093866.3, ENSMUSG00000049217.4, ENSMUSG00000111732.1, ENSMUSG00000095483.2, ENSMUSG00000096220.2, ENSMUSG00000096229.3, ENSMUSG00000096497.2, ENSMUSG00000046041.4, ENSMUSG00000111273.1, ENSMUSG00000056853.3, ENSMUSG00000059762.4, ENSMUSG00000048745.3, ENSMUSG00000107648.4, ENSMUSG00000107748.4, ENSMUSG00000048153.6	ENSGALG00000037290.2
OG0000033	ENSMUSG00000073931.3, ENSMUSG00000073977.2, ENSMUSG00000073928.5, ENSMUSG00000042909.4, ENSMUSG00000044899.3, ENSMUSG00000073927.6, ENSMUSG00000050266.6, ENSMUSG00000043948.2, ENSMUSG00000073944.6, ENSMUSG00000073943.4, ENSMUSG00000073946.5, ENSMUSG00000073945.2, ENSMUSG00000047535.11, ENSMUSG00000081859.3	ENSGALG00000017341.7, ENSGALG00000017342.5
OG0000034	ENSMUSG00000001525.10	ENSGALG00000041471.2
OG0000034	ENSMUSG00000036752.4	ENSGALG00000008586.5
OG0000034	ENSMUSG00000058672.7	ENSGALG00000054420.1
OG0000034	ENSMUSG00000001473.7	ENSGALG00000031275.3
OG0000034	ENSMUSG00000062380.4	ENSGALG00000000059.6
OG0000034	ENSMUSG00000016255.5	ENSGALG00000007447.5
OG0000042	ENSMUSG00000103037.1, ENSMUSG00000102748.1, ENSMUSG00000103749.1, ENSMUSG00000103585.1, ENSMUSG00000103088.1, ENSMUSG00000104063.1, ENSMUSG00000103081.2	ENSGALG00000028565.3, ENSGALG00000052936.1
OG0000050	ENSMUSG00000059408.3	ENSGALG00000054732.1, ENSGALG00000051203.1, ENSGALG00000037166.2, ENSGALG00000047526.1, ENSGALG00000032803.2
OG0000050	ENSMUSG00000068037.11	ENSGALG00000011622.4
OG0000051	ENSMUSG00000075318.13	ENSGALG00000011009.6
OG0000051	ENSMUSG00000064329.13	ENSGALG00000010943.7
OG0000051	ENSMUSG00000057182.15	ENSGALG00000011040.6
OG0000051	ENSMUSG00000075316.11	ENSGALG00000027793.3
OG0000051	ENSMUSG00000001027.7	ENSGALG00000034427.2
OG0000051	ENSMUSG00000032511.17	ENSGALG00000027702.3, ENSGALG00000006072.8, ENSGALG00000006112.6
OG0000051	ENSMUSG00000023033.14	ENSGALG00000043728.2
OG0000055	ENSMUSG00000071764.2, ENSMUSG00000056281.4, ENSMUSG00000067971.5, ENSMUSG00000043529.4, ENSMUSG00000054036.6, ENSMUSG00000064121.4	ENSGALG00000041229.2
OG0000056	ENSMUSG00000103310.1, ENSMUSG00000103770.1, ENSMUSG00000103707.5, ENSMUSG00000102206.5, ENSMUSG00000007440.10, ENSMUSG00000103458.1, ENSMUSG00000104252.5, ENSMUSG00000104318.1, ENSMUSG00000103800.1, ENSMUSG00000102312.1, ENSMUSG00000104148.5, ENSMUSG00000103442.5, ENSMUSG00000103092.1	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2
OG0000057	ENSMUSG00000022818.13	ENSGALG00000045255.2
OG0000059	ENSMUSG00000062825.15	ENSGALG00000028749.4
OG0000059	ENSMUSG00000029580.14	ENSGALG00000009621.7
OG0000059	ENSMUSG00000031085.16	ENSGALG00000009844.7, ENSGALG00000011086.6, ENSGALG00000040415.2, ENSGALG00000006343.6
OG0000061	ENSMUSG00000030156.5	ENSGALG00000049665.1
OG0000061	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	ENSGALG00000045540.2, ENSGALG00000042611.3, ENSGALG00000050315.1, ENSGALG00000053510.1, ENSGALG00000042449.2, ENSGALG00000042684.2, ENSGALG00000044598.2, ENSGALG00000047623.1, ENSGALG00000044630.2, ENSGALG00000050091.1, ENSGALG00000044569.2, ENSGALG00000047794.1, ENSGALG00000052376.1, ENSGALG00000051297.1, ENSGALG00000042023.3, ENSGALG00000051677.1, ENSGALG00000028659.2
OG0000062	ENSMUSG00000027876.4	ENSGALG00000002931.6
OG0000063	ENSMUSG00000045364.2, ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1	ENSGALG00000015062.5
OG0000065	ENSMUSG00000041567.3	ENSGALG00000010969.6
OG0000065	ENSMUSG00000058260.2, ENSMUSG00000079013.2, ENSMUSG00000066364.2, ENSMUSG00000041536.13, ENSMUSG00000058207.6, ENSMUSG00000079012.11, ENSMUSG00000066361.3, ENSMUSG00000021091.8, ENSMUSG00000079014.4, ENSMUSG00000066363.12, ENSMUSG00000041481.17, ENSMUSG00000021081.12, ENSMUSG00000072849.10, ENSMUSG00000071177.4, ENSMUSG00000066366.14, ENSMUSG00000079015.2, ENSMUSG00000071178.11	ENSGALG00000046409.2, ENSGALG00000020390.5, ENSGALG00000020388.5, ENSGALG00000023070.3
OG0000066	ENSMUSG00000095993.1	ENSGALG00000046739.1
OG0000069	ENSMUSG00000025350.15	ENSGALG00000034988.3
OG0000069	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1, ENSMUSG00000025396.7	ENSGALG00000034701.2, ENSGALG00000041909.2
OG0000072	ENSMUSG00000024650.5, ENSMUSG00000063796.9	ENSGALG00000048258.1
OG0000072	ENSMUSG00000067144.7	ENSGALG00000001661.5
OG0000073	ENSMUSG00000015656.17	ENSGALG00000006512.6
OG0000074	ENSMUSG00000044737.6	ENSGALG00000046716.1, ENSGALG00000050594.1, ENSGALG00000048265.1, ENSGALG00000054335.1, ENSGALG00000047647.1, ENSGALG00000054324.1
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1
OG0000077	ENSMUSG00000097297.3, ENSMUSG00000078817.4, ENSMUSG00000032691.14	ENSGALG00000034124.3
OG0000077	ENSMUSG00000038650.15	ENSGALG00000006904.6
OG0000079	ENSMUSG00000076475.2, ENSMUSG00000076480.2, ENSMUSG00000076469.3, ENSMUSG00000076467.3, ENSMUSG00000076470.1	ENSGALG00000014750.7
OG0000081	ENSMUSG00000023031.8	ENSGALG00000034825.2
OG0000081	ENSMUSG00000058579.5	ENSGALG00000004568.6
OG0000081	ENSMUSG00000062478.16	ENSGALG00000039406.2
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	ENSGALG00000027189.3
OG0000083	ENSMUSG00000035042.2	ENSGALG00000053868.1, ENSGALG00000032717.2, ENSGALG00000043603.2
OG0000083	ENSMUSG00000000982.5, ENSMUSG00000018930.3	ENSGALG00000034478.2
OG0000085	ENSMUSG00000031502.11	ENSGALG00000036798.3
OG0000085	ENSMUSG00000031274.16	ENSGALG00000008141.6
OG0000085	ENSMUSG00000031503.13	ENSGALG00000016843.7
OG0000085	ENSMUSG00000116510.1, ENSMUSG00000031273.16	ENSGALG00000048179.1
OG0000085	ENSMUSG00000067158.9	ENSGALG00000004946.6
OG0000085	ENSMUSG00000079465.8	ENSGALG00000038612.2
OG0000086	ENSMUSG00000016349.10	ENSGALG00000005843.5
OG0000086	ENSMUSG00000037742.14	ENSGALG00000015917.7
OG0000087	ENSMUSG00000020900.15	ENSGALG00000001183.6
OG0000087	ENSMUSG00000018830.10	ENSGALG00000006520.7
OG0000087	ENSMUSG00000022443.17	ENSGALG00000043092.2
OG0000090	ENSMUSG00000060560.8	ENSGALG00000050831.1, ENSGALG00000048343.1, ENSGALG00000054822.1
OG0000090	ENSMUSG00000091813.4, ENSMUSG00000050097.6, ENSMUSG00000061825.10, ENSMUSG00000031877.9, ENSMUSG00000062826.7, ENSMUSG00000031886.14, ENSMUSG00000055730.16	ENSGALG00000038923.2
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15, ENSMUSG00000028268.14, ENSMUSG00000040253.15, ENSMUSG00000028270.12, ENSMUSG00000040264.10, ENSMUSG00000105504.4	ENSGALG00000050544.1, ENSGALG00000054648.1, ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6
OG0000092	ENSMUSG00000027940.18	ENSGALG00000013537.7
OG0000092	ENSMUSG00000032366.15	ENSGALG00000003521.7
OG0000093	ENSMUSG00000019943.10	ENSGALG00000030550.3
OG0000093	ENSMUSG00000026463.17	ENSGALG00000003601.6
OG0000093	ENSMUSG00000030302.16	ENSGALG00000030908.2
OG0000094	ENSMUSG00000008438.3, ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4	ENSGALG00000013838.6
OG0000095	ENSMUSG00000048498.7, ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12	ENSGALG00000019755.4
OG0000099	ENSMUSG00000026235.14	ENSGALG00000005256.6
OG0000099	ENSMUSG00000028289.12	ENSGALG00000015593.6
OG0000099	ENSMUSG00000052504.7	ENSGALG00000015403.5
OG0000099	ENSMUSG00000028661.8	ENSGALG00000021567.5
OG0000099	ENSMUSG00000029245.16	ENSGALG00000011680.6
OG0000100	ENSMUSG00000014725.16, ENSMUSG00000022057.8	ENSGALG00000000357.7
OG0000101	ENSMUSG00000090841.2	ENSGALG00000035086.3
OG0000101	ENSMUSG00000061816.15	ENSGALG00000002907.7
OG0000101	ENSMUSG00000061086.12	ENSGALG00000000585.7
OG0000101	ENSMUSG00000059741.13	ENSGALG00000005448.6
OG0000102	ENSMUSG00000030851.15, ENSMUSG00000101959.1, ENSMUSG00000063229.15	ENSGALG00000006300.7
OG0000102	ENSMUSG00000030246.11	ENSGALG00000035836.3
OG0000106	ENSMUSG00000046434.16	ENSGALG00000042011.3
OG0000106	ENSMUSG00000059005.13	ENSGALG00000009250.6
OG0000108	ENSMUSG00000075551.4, ENSMUSG00000075552.4, ENSMUSG00000054417.5, ENSMUSG00000038656.5, ENSMUSG00000056035.8, ENSMUSG00000070419.11, ENSMUSG00000061292.10, ENSMUSG00000029630.15, ENSMUSG00000029727.7	ENSGALG00000004449.5
OG0000110	ENSMUSG00000066392.12	ENSGALG00000027255.3
OG0000110	ENSMUSG00000024109.18	ENSGALG00000009107.6
OG0000111	ENSMUSG00000058013.11	ENSGALG00000011476.7
OG0000111	ENSMUSG00000034219.15, ENSMUSG00000019917.10	ENSGALG00000016811.6
OG0000111	ENSMUSG00000018398.18	ENSGALG00000034187.2
OG0000111	ENSMUSG00000050379.15	ENSGALG00000008633.7
OG0000112	ENSMUSG00000035780.2, ENSMUSG00000054630.7, ENSMUSG00000061906.5, ENSMUSG00000057425.3, ENSMUSG00000070704.10, ENSMUSG00000035811.10, ENSMUSG00000035836.2, ENSMUSG00000029260.15, ENSMUSG00000107180.1, ENSMUSG00000029268.14, ENSMUSG00000106677.1	ENSGALG00000011805.6
OG0000113	ENSMUSG00000025934.15, ENSMUSG00000074179.11, ENSMUSG00000057933.10, ENSMUSG00000111709.1, ENSMUSG00000074183.3	ENSGALG00000016328.7, ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6
OG0000115	ENSMUSG00000020891.11, ENSMUSG00000020892.10, ENSMUSG00000032807.5	ENSGALG00000044760.2
OG0000115	ENSMUSG00000025701.12	ENSGALG00000005857.6
OG0000116	ENSMUSG00000053654.7, ENSMUSG00000053797.10, ENSMUSG00000045545.8, ENSMUSG00000035557.9	ENSGALG00000051754.1, ENSGALG00000003690.7
OG0000116	ENSMUSG00000019761.10, ENSMUSG00000044041.4, ENSMUSG00000054146.8	ENSGALG00000019718.6
OG0000116	ENSMUSG00000020911.14	ENSGALG00000019719.5
OG0000119	ENSMUSG00000037242.8	ENSGALG00000001262.7
OG0000119	ENSMUSG00000023959.10	ENSGALG00000016707.6
OG0000120	ENSMUSG00000049539.3, ENSMUSG00000036211.4, ENSMUSG00000051627.3, ENSMUSG00000052565.7, ENSMUSG00000058773.2, ENSMUSG00000036181.2	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2
OG0000122	ENSMUSG00000095858.4, ENSMUSG00000095603.4, ENSMUSG00000094884.3, ENSMUSG00000049618.6, ENSMUSG00000092077.2, ENSMUSG00000091531.2, ENSMUSG00000029184.5	ENSGALG00000042358.2, ENSGALG00000044048.2
OG0000126	ENSMUSG00000008305.18	ENSGALG00000012575.6
OG0000126	ENSMUSG00000024642.17	ENSGALG00000015184.6
OG0000126	ENSMUSG00000032280.16	ENSGALG00000008120.7
OG0000127	ENSMUSG00000025821.9	ENSGALG00000039048.2
OG0000127	ENSMUSG00000052763.7	ENSGALG00000034903.2
OG0000127	ENSMUSG00000045466.18	ENSGALG00000023632.5
OG0000127	ENSMUSG00000062519.13, ENSMUSG00000057691.8	ENSGALG00000044014.2, ENSGALG00000038657.3
OG0000129	ENSMUSG00000053141.16	ENSGALG00000037889.2
OG0000129	ENSMUSG00000033278.10	ENSGALG00000031284.2
OG0000129	ENSMUSG00000028909.17	ENSGALG00000031440.2
OG0000129	ENSMUSG00000019889.10	ENSGALG00000037423.2
OG0000130	ENSMUSG00000028137.9, ENSMUSG00000032297.11	ENSGALG00000002413.6
OG0000131	ENSMUSG00000001120.15	ENSGALG00000004394.6
OG0000135	ENSMUSG00000074677.11, ENSMUSG00000106923.3, ENSMUSG00000095028.6, ENSMUSG00000095788.6, ENSMUSG00000037902.18, ENSMUSG00000078780.7, ENSMUSG00000107166.3, ENSMUSG00000078783.1	ENSGALG00000006152.6, ENSGALG00000025778.4, ENSGALG00000029485.2
OG0000136	ENSMUSG00000031309.15	ENSGALG00000016406.6
OG0000136	ENSMUSG00000023809.10	ENSGALG00000011473.6
OG0000136	ENSMUSG00000003644.17	ENSGALG00000037136.2
OG0000136	ENSMUSG00000025665.16, ENSMUSG00000116203.1	ENSGALG00000007097.6
OG0000137	ENSMUSG00000019577.6	ENSGALG00000009700.7
OG0000137	ENSMUSG00000038967.13	ENSGALG00000045846.2
OG0000137	ENSMUSG00000035232.8	ENSGALG00000016323.5
OG0000137	ENSMUSG00000006494.11	ENSGALG00000013235.5
OG0000138	ENSMUSG00000029131.14	ENSGALG00000051143.1, ENSGALG00000006477.7
OG0000143	ENSMUSG00000039661.14	ENSGALG00000001633.7
OG0000143	ENSMUSG00000021768.15	ENSGALG00000005007.6, ENSGALG00000005017.6
OG0000143	ENSMUSG00000063821.6	ENSGALG00000005019.5
OG0000144	ENSMUSG00000047867.11, ENSMUSG00000090019.5	ENSGALG00000053964.1, ENSGALG00000029857.2
OG0000147	ENSMUSG00000111393.1, ENSMUSG00000025478.15	ENSGALG00000010490.8
OG0000147	ENSMUSG00000029121.16	ENSGALG00000041203.3
OG0000147	ENSMUSG00000024501.20	ENSGALG00000007582.6
OG0000147	ENSMUSG00000022048.8	ENSGALG00000000227.7
OG0000149	ENSMUSG00000054808.15	ENSGALG00000036496.2
OG0000149	ENSMUSG00000052374.16	ENSGALG00000014463.7
OG0000149	ENSMUSG00000015143.15	ENSGALG00000042458.3
OG0000150	ENSMUSG00000030972.6	ENSGALG00000042446.2
OG0000150	ENSMUSG00000047026.9, ENSMUSG00000030945.17, ENSMUSG00000033533.14	ENSGALG00000029827.2
OG0000151	ENSMUSG00000083138.3, ENSMUSG00000028715.2, ENSMUSG00000084346.4, ENSMUSG00000078597.2, ENSMUSG00000066071.6, ENSMUSG00000066072.13, ENSMUSG00000063929.6, ENSMUSG00000028712.12	ENSGALG00000010469.7
OG0000152	ENSMUSG00000025197.9, ENSMUSG00000025004.16, ENSMUSG00000074882.3, ENSMUSG00000092008.2, ENSMUSG00000062624.5, ENSMUSG00000042248.4, ENSMUSG00000054827.12, ENSMUSG00000067225.2, ENSMUSG00000025003.6, ENSMUSG00000032808.2, ENSMUSG00000003053.17, ENSMUSG00000067229.3, ENSMUSG00000067231.4, ENSMUSG00000025002.5, ENSMUSG00000060613.10	ENSGALG00000052243.1, ENSGALG00000047199.1, ENSGALG00000005795.6, ENSGALG00000049414.1
OG0000153	ENSMUSG00000110469.1, ENSMUSG00000057666.18, ENSMUSG00000097148.2, ENSMUSG00000099294.1	ENSGALG00000014442.7
OG0000154	ENSMUSG00000011171.11	ENSGALG00000006575.5
OG0000154	ENSMUSG00000026387.15	ENSGALG00000012106.6
OG0000154	ENSMUSG00000032528.5	ENSGALG00000005259.6
OG0000154	ENSMUSG00000004654.6	ENSGALG00000005242.7, ENSGALG00000000274.7, ENSGALG00000005212.5
OG0000155	ENSMUSG00000030236.10	ENSGALG00000019277.5
OG0000155	ENSMUSG00000030237.14, ENSMUSG00000084927.1, ENSMUSG00000079262.3, ENSMUSG00000063975.13, ENSMUSG00000041698.11, ENSMUSG00000079263.8	ENSGALG00000019276.5, ENSGALG00000031293.2
OG0000155	ENSMUSG00000030235.17	ENSGALG00000013154.5
OG0000156	ENSMUSG00000063683.12, ENSMUSG00000071633.11, ENSMUSG00000024694.9, ENSMUSG00000091043.2	ENSGALG00000047313.1, ENSGALG00000040120.3
OG0000158	ENSMUSG00000026837.16	ENSGALG00000002546.6
OG0000158	ENSMUSG00000027966.20	ENSGALG00000005180.7, ENSGALG00000046817.1
OG0000159	ENSMUSG00000105906.1, ENSMUSG00000106039.1, ENSMUSG00000075370.12, ENSMUSG00000105547.1, ENSMUSG00000076937.3	ENSGALG00000049450.1
OG0000160	ENSMUSG00000036322.11	ENSGALG00000051101.1
OG0000162	ENSMUSG00000026509.15	ENSGALG00000009360.6
OG0000162	ENSMUSG00000038599.14	ENSGALG00000009382.7
OG0000162	ENSMUSG00000058626.16	ENSGALG00000010186.7
OG0000162	ENSMUSG00000024942.17	ENSGALG00000041685.2
OG0000163	ENSMUSG00000028546.17	ENSGALG00000010533.7
OG0000163	ENSMUSG00000008489.18	ENSGALG00000015799.6
OG0000169	ENSMUSG00000022283.15	ENSGALG00000030280.3
OG0000169	ENSMUSG00000011257.19	ENSGALG00000003800.6
