M_musculus.pep P_Mucros.pep
ENSMUSG00000023122.6 XP_029141424.1
ENSMUSG00000055609.8 XP_015667447.1
ENSMUSG00000018326.9 XP_015671846.1
ENSMUSG00000076432.13 XP_015680629.1
ENSMUSG00000022285.17 XP_015668838.1
ENSMUSG00000078591.1 XP_015687209.1
ENSMUSG00000039628.9 XP_015684391.1
ENSMUSG00000020366.18 XP_015679366.1
ENSMUSG00000089768.2 XP_015687920.1
ENSMUSG00000091955.2 XP_015673192.1
ENSMUSG00000005054.7 XP_015667611.1
ENSMUSG00000064179.13 XP_015665820.1
ENSMUSG00000026414.13 XP_029140042.1
ENSMUSG00000019173.11 XP_015665944.1
ENSMUSG00000022773.19 XP_015678052.1
ENSMUSG00000034059.14 XP_015676036.1
ENSMUSG00000018427.8 XP_015682956.2
ENSMUSG00000003992.15 XP_015670152.1
ENSMUSG00000070003.7 XP_015665542.1
ENSMUSG00000034566.10 XP_015670533.1
ENSMUSG00000022388.14 XP_029141464.1
ENSMUSG00000031207.16 XP_015668195.1
ENSMUSG00000032050.18 XP_015681188.1
ENSMUSG00000003153.10 XP_015682283.1
ENSMUSG00000028645.11 XP_015675869.1
ENSMUSG00000018566.14 XP_015683713.2
ENSMUSG00000014956.15 XP_015682869.1
ENSMUSG00000034673.14 XP_015681568.1
ENSMUSG00000038718.15 XP_015676404.1
ENSMUSG00000052534.15 XP_015670145.1
ENSMUSG00000037446.14 XP_015677428.1
ENSMUSG00000031028.14 XP_029141370.1
ENSMUSG00000055761.14 XP_015687348.1
ENSMUSG00000045991.19 XP_015679405.1
ENSMUSG00000043013.10 XP_015666481.1
ENSMUSG00000045518.8 XP_015665423.1
ENSMUSG00000020788.15 XP_015676371.1
ENSMUSG00000030730.12 XP_015665779.1
ENSMUSG00000029467.15 XP_015684492.1
ENSMUSG00000024177.9 XP_029140559.1
ENSMUSG00000073435.10 XP_015678465.1
ENSMUSG00000004032.10 XP_015677208.1
ENSMUSG00000063239.17 XP_015675450.1
ENSMUSG00000024211.15 XP_015670165.1
ENSMUSG00000000617.14 XP_015684903.1
ENSMUSG00000056755.13 XP_029139816.1
ENSMUSG00000016028.10 XP_015679241.1
ENSMUSG00000068740.13 XP_029143083.1
ENSMUSG00000018474.18 XP_029142325.1
ENSMUSG00000063870.12 XP_015669488.1
ENSMUSG00000022905.12 XP_015667615.1
ENSMUSG00000003731.13 XP_015667156.1
ENSMUSG00000033256.14 XP_029141361.1
ENSMUSG00000039154.8 XP_029142730.1
ENSMUSG00000044813.15 XP_015676936.1
ENSMUSG00000035828.11 XP_015673553.1
ENSMUSG00000024014.8 XP_015668084.1
ENSMUSG00000066705.7 XP_029139361.1
ENSMUSG00000031659.13 XP_029140527.1
ENSMUSG00000021536.7 XP_029142229.1
ENSMUSG00000022220.14 XP_029139790.1
ENSMUSG00000022952.17 XP_015676012.1
ENSMUSG00000039153.17 XP_015667789.1
ENSMUSG00000070691.10 XP_015681570.1
ENSMUSG00000031326.2 XP_015666241.2
ENSMUSG00000029646.3 XP_015671138.1
ENSMUSG00000051314.11 XP_029141028.1
ENSMUSG00000017291.13 XP_015682861.1
ENSMUSG00000061288.13 XP_015672930.1
ENSMUSG00000000826.16 XP_015678114.1
ENSMUSG00000027827.17 XP_015670886.1
ENSMUSG00000018470.8 XP_015683175.1
ENSMUSG00000060216.15 XP_015668678.1
ENSMUSG00000060890.11 XP_029140731.1
ENSMUSG00000004897.16 XP_015684247.1
ENSMUSG00000025104.13 XP_015687161.1
ENSMUSG00000038855.10 XP_015675665.1
ENSMUSG00000003752.9 XP_015669347.1
ENSMUSG00000027296.7 XP_015680257.1
ENSMUSG00000031681.16 XP_015669996.1
ENSMUSG00000027796.2 XP_015671665.1
ENSMUSG00000021540.16 XP_015679998.1
ENSMUSG00000027011.14 XP_015678338.1
ENSMUSG00000025329.3 XP_015681300.1
ENSMUSG00000028927.6 XP_015683638.1
ENSMUSG00000033987.16 XP_015674374.1
ENSMUSG00000056752.16 XP_015679410.1
ENSMUSG00000030621.17 XP_015680090.1
ENSMUSG00000024556.4 XP_015667630.1
ENSMUSG00000003228.9 XP_015672730.1
ENSMUSG00000074886.11 XP_015675882.1
ENSMUSG00000032537.15 XP_029141186.1
ENSMUSG00000033981.14 XP_015682424.1
ENSMUSG00000025892.16 XP_029141415.1
ENSMUSG00000022935.16 XP_015674818.1
ENSMUSG00000001985.9 XP_015667154.1
ENSMUSG00000056073.16 XP_015683639.1
ENSMUSG00000004698.11 XP_015666276.1
ENSMUSG00000036545.9 XP_029139602.1
ENSMUSG00000043635.12 XP_015676342.1
ENSMUSG00000059901.12 XP_015684439.1
ENSMUSG00000031284.16 XP_015680738.1
ENSMUSG00000030774.13 XP_015685216.1
ENSMUSG00000022781.8 XP_015679733.1
ENSMUSG00000005640.11 XP_029142386.1
ENSMUSG00000005534.10 XP_029138799.1
ENSMUSG00000005533.10 XP_015674966.1
ENSMUSG00000019880.10 XP_015671722.1
ENSMUSG00000068323.12 XP_029138998.1
ENSMUSG00000024485.16 XP_015667635.1
ENSMUSG00000060961.16 XP_015674066.1
ENSMUSG00000041075.8 XP_015679508.1
ENSMUSG00000044674.6 XP_015670759.1
ENSMUSG00000050288.6 XP_015686948.1
ENSMUSG00000003037.16 XP_015665451.1
ENSMUSG00000020671.9 XP_015686286.1
ENSMUSG00000036943.9 XP_015666520.1
ENSMUSG00000030781.13 XP_015684082.1
ENSMUSG00000009731.4 XP_015676486.1
ENSMUSG00000055320.17 XP_015675528.1
ENSMUSG00000030796.17 XP_029138857.1
ENSMUSG00000028751.13 XP_029140759.1
ENSMUSG00000033059.7 XP_015667595.1
ENSMUSG00000063672.7 XP_015672018.1
ENSMUSG00000041309.17 XP_015669457.1
ENSMUSG00000035187.10 XP_015687877.1
ENSMUSG00000032384.16 XP_015673929.1
ENSMUSG00000003345.16 XP_015665509.1
ENSMUSG00000030075.10 XP_015679212.1
ENSMUSG00000030092.14 XP_015681133.1
ENSMUSG00000045467.13 XP_029139156.1
ENSMUSG00000038756.13 XP_029138886.1
ENSMUSG00000066058.11 XP_015674356.1
ENSMUSG00000062515.3 XP_015687553.1
ENSMUSG00000052468.7 XP_015687560.1
ENSMUSG00000024697.4 XP_015668118.1
ENSMUSG00000034781.5 XP_015680128.1
ENSMUSG00000031896.7 XP_029140282.1
ENSMUSG00000031957.6 XP_015671362.1
ENSMUSG00000029406.15 XP_029139501.1
ENSMUSG00000018286.6 XP_015668649.1
ENSMUSG00000041453.12 XP_015681704.1
ENSMUSG00000001288.15 XP_015672623.1
ENSMUSG00000037992.16 XP_015687761.1
ENSMUSG00000034000.15 XP_015679726.1
ENSMUSG00000026825.17 XP_015682506.1
ENSMUSG00000002459.17 XP_015675644.1
ENSMUSG00000002458.13 XP_015681875.1
ENSMUSG00000019775.17 XP_015676901.1
ENSMUSG00000032562.13 XP_015680240.1
ENSMUSG00000057614.6 XP_015683859.1
ENSMUSG00000045534.4 XP_015683975.1
ENSMUSG00000047976.4 XP_015684836.1
ENSMUSG00000047959.4 XP_015666790.1
ENSMUSG00000026450.14 XP_015678645.1
ENSMUSG00000008845.9 XP_029139473.1
ENSMUSG00000027403.12 XP_015680950.1
ENSMUSG00000027401.9 XP_015680949.1
ENSMUSG00000027204.13 XP_029140016.1
ENSMUSG00000024598.9 XP_015676857.1
ENSMUSG00000024188.16 XP_015674733.1
ENSMUSG00000030510.11 XP_029139146.1
ENSMUSG00000008206.16 XP_029140801.1
ENSMUSG00000021541.14 XP_015682438.1
ENSMUSG00000031997.9 XP_015678217.1
ENSMUSG00000004231.15 XP_015675279.1
ENSMUSG00000005474.9 XP_015679579.1
ENSMUSG00000026452.15 XP_015668022.1
ENSMUSG00000027293.13 XP_015671418.1
ENSMUSG00000038467.15 XP_015678705.1
ENSMUSG00000050965.14 XP_015669595.1
ENSMUSG00000052889.11 XP_015668742.2
ENSMUSG00000018012.11 XP_015673012.1
ENSMUSG00000033220.7 XP_015687431.1
ENSMUSG00000071553.10 XP_015684943.1
ENSMUSG00000026918.16 XP_015675459.1
ENSMUSG00000024335.20 XP_015682489.1
ENSMUSG00000027849.19 XP_029140168.1
ENSMUSG00000063260.2 XP_015671166.1
ENSMUSG00000062542.11 XP_015679616.1
ENSMUSG00000039860.19 XP_029141514.1
ENSMUSG00000016382.15 XP_015687937.1
ENSMUSG00000006356.10 XP_015685887.1
ENSMUSG00000006360.11 XP_015685897.1
ENSMUSG00000030307.8 XP_015687067.1
ENSMUSG00000030109.15 XP_015669656.1
ENSMUSG00000050029.7 XP_015687941.1
ENSMUSG00000051615.14 XP_015683884.1
ENSMUSG00000036894.3 XP_015668505.1
ENSMUSG00000028709.3 XP_015668049.1
ENSMUSG00000073910.10 XP_015675063.1
ENSMUSG00000029088.16 XP_015680900.1
ENSMUSG00000079056.12 XP_015667082.1
ENSMUSG00000053519.17 XP_029140149.1
ENSMUSG00000017781.17 XP_015673838.1
ENSMUSG00000045515.4 XP_015670740.1
ENSMUSG00000095139.2 XP_015677342.1
ENSMUSG00000056854.4 XP_015679994.1
ENSMUSG00000036466.17 XP_015674087.1
ENSMUSG00000016921.14 XP_015681228.1
ENSMUSG00000028911.16 XP_015669811.1
ENSMUSG00000024647.14 XP_015672272.1
ENSMUSG00000067578.3 XP_015682595.1
ENSMUSG00000031654.16 XP_015674486.1
ENSMUSG00000001729.14 XP_015687024.1
ENSMUSG00000019699.16 XP_015677610.1
ENSMUSG00000031633.4 XP_015687282.1
ENSMUSG00000016319.3 XP_015686313.1
ENSMUSG00000051747.15 XP_015674335.1
ENSMUSG00000053754.14 XP_029139800.1
ENSMUSG00000028923.14 XP_015681836.1
ENSMUSG00000046707.9 XP_015667579.1
ENSMUSG00000074698.10 XP_015682959.1
ENSMUSG00000071646.9 XP_015676984.1
ENSMUSG00000055817.18 XP_015668591.2
ENSMUSG00000060600.15 XP_015668676.1
ENSMUSG00000004267.16 XP_015669549.1
ENSMUSG00000066037.14 XP_015672067.1
ENSMUSG00000067818.6 XP_015672479.1
ENSMUSG00000048065.8 XP_015675538.1
ENSMUSG00000018042.18 XP_015684234.1
ENSMUSG00000022542.7 XP_029140575.1
ENSMUSG00000022456.18 XP_015668998.1
ENSMUSG00000046213.9 XP_015670095.1
ENSMUSG00000024738.6 XP_015677238.1
ENSMUSG00000038150.7 XP_015687750.1
ENSMUSG00000031367.15 XP_015681164.1
ENSMUSG00000054702.14 XP_015674502.1
ENSMUSG00000004849.14 XP_015668682.1
ENSMUSG00000053465.6 XP_015687909.1
ENSMUSG00000045216.7 XP_015671679.1
ENSMUSG00000009108.15 XP_015677211.1
ENSMUSG00000034837.12 XP_015680241.1
ENSMUSG00000028777.8 XP_015683858.1
ENSMUSG00000028280.9 XP_015681646.1
ENSMUSG00000023267.10 XP_015681005.1
ENSMUSG00000074991.5 XP_029143126.1
ENSMUSG00000057378.15 XP_015674772.1
ENSMUSG00000021313.16 XP_015674514.1
ENSMUSG00000030592.18 XP_015678588.1
ENSMUSG00000027470.9 XP_015684990.1
ENSMUSG00000031698.14 XP_029140518.1
ENSMUSG00000044951.16 XP_029139423.1
ENSMUSG00000033316.14 XP_015681160.1
ENSMUSG00000034040.16 XP_015679449.1
ENSMUSG00000029071.16 XP_029139993.1
ENSMUSG00000020888.16 XP_015680138.1
ENSMUSG00000003233.12 XP_029141578.1
ENSMUSG00000022831.14 XP_015681995.1
ENSMUSG00000028655.11 XP_015686288.1
ENSMUSG00000037336.14 XP_029141230.1
ENSMUSG00000059923.13 XP_015677318.1
ENSMUSG00000069255.13 XP_015668918.2
ENSMUSG00000027359.16 XP_029143072.1
ENSMUSG00000043004.13 XP_015680521.1
ENSMUSG00000021303.14 XP_015672404.1
ENSMUSG00000063594.5 XP_015676484.1
ENSMUSG00000003500.13 XP_015673407.2
ENSMUSG00000003032.8 XP_029140957.1
ENSMUSG00000055148.7 XP_029138797.1
ENSMUSG00000020532.18 XP_015678787.1
ENSMUSG00000042010.16 XP_029139940.1
ENSMUSG00000027162.7 XP_015670868.1
ENSMUSG00000003872.9 XP_015665631.1
ENSMUSG00000019906.15 XP_015667533.1
ENSMUSG00000026610.13 XP_015678099.1
ENSMUSG00000036093.7 XP_015669848.1
ENSMUSG00000017418.14 XP_015670865.1
ENSMUSG00000005649.17 XP_015665836.1
ENSMUSG00000038546.9 XP_015670178.1
ENSMUSG00000000794.9 XP_015681523.1
ENSMUSG00000054477.16 XP_015681710.1
ENSMUSG00000048264.16 XP_015666978.1
ENSMUSG00000023026.16 XP_015687334.1
ENSMUSG00000021270.13 XP_015679541.1
ENSMUSG00000023944.14 XP_015680795.1
ENSMUSG00000037217.15 XP_029142182.1
ENSMUSG00000052560.15 XP_015681345.1
ENSMUSG00000024008.16 XP_015687157.1
ENSMUSG00000030270.11 XP_029140669.1
ENSMUSG00000034171.13 XP_015668027.1
ENSMUSG00000025422.10 XP_029140821.1
ENSMUSG00000023353.14 XP_015682656.1
ENSMUSG00000060450.14 XP_015670750.1
ENSMUSG00000015759.11 XP_015678798.1
ENSMUSG00000026514.14 XP_015669140.1
ENSMUSG00000024873.7 XP_015683615.1
ENSMUSG00000031576.16 XP_029140654.1
ENSMUSG00000038371.15 XP_015678146.1
ENSMUSG00000036529.17 XP_029140325.1
ENSMUSG00000032316.8 XP_029140875.1
ENSMUSG00000059146.12 XP_029140230.1
ENSMUSG00000032249.14 XP_015667384.1
ENSMUSG00000038094.15 XP_029142592.1
ENSMUSG00000048939.13 XP_029142593.1
ENSMUSG00000001774.8 XP_015685360.1
ENSMUSG00000031312.5 XP_029138772.1
ENSMUSG00000028955.3 XP_015668235.1
ENSMUSG00000020894.16 XP_029139583.1
ENSMUSG00000041556.8 XP_015684259.1
ENSMUSG00000069117.4 XP_015686849.2
ENSMUSG00000044134.9 XP_015670932.1
ENSMUSG00000049687.5 XP_015669019.1
ENSMUSG00000026175.12 XP_015675980.1
ENSMUSG00000025432.11 XP_015676131.1
ENSMUSG00000028370.7 XP_015684026.1
ENSMUSG00000073530.11 XP_015674005.1
ENSMUSG00000022433.20 XP_015672741.1
ENSMUSG00000009079.16 XP_029140264.1
ENSMUSG00000029640.17 XP_015681703.1
ENSMUSG00000068240.5 XP_015666208.1
ENSMUSG00000031441.15 XP_015684336.1
ENSMUSG00000059540.15 XP_015682845.1
ENSMUSG00000036432.8 XP_015679170.1
ENSMUSG00000009900.7 XP_015669786.2
ENSMUSG00000000125.5 XP_015687790.1
ENSMUSG00000060036.14 XP_015672209.1
ENSMUSG00000002500.15 XP_015671735.1
ENSMUSG00000020399.14 XP_015682194.1
ENSMUSG00000031529.5 XP_015669323.2
ENSMUSG00000024811.11 XP_015678172.1
ENSMUSG00000054764.9 XP_015687300.1
ENSMUSG00000033610.16 XP_015678513.1
ENSMUSG00000037514.17 XP_015680705.1
ENSMUSG00000018846.8 XP_015677471.1
ENSMUSG00000027668.13 XP_015669412.1
ENSMUSG00000029020.13 XP_015680228.1
ENSMUSG00000052298.12 XP_015677939.1
ENSMUSG00000040136.10 XP_029142654.1
ENSMUSG00000030249.15 XP_029142594.1
ENSMUSG00000038811.13 XP_015665961.1
ENSMUSG00000029621.14 XP_015684647.1
ENSMUSG00000032572.9 XP_015669852.1
ENSMUSG00000074637.7 XP_015684084.1
ENSMUSG00000032402.12 XP_015667379.1
ENSMUSG00000020463.15 XP_015686865.1
ENSMUSG00000041846.15 XP_015682174.1
ENSMUSG00000004791.7 XP_015677690.2
ENSMUSG00000073924.5 XP_015683397.1
ENSMUSG00000073973.4 XP_015683290.1
ENSMUSG00000025094.8 XP_015670709.1
ENSMUSG00000036330.12 XP_015682301.1
ENSMUSG00000021495.10 XP_015675878.1
ENSMUSG00000028465.16 XP_029139948.1
ENSMUSG00000052698.15 XP_015666519.1
ENSMUSG00000069867.3 XP_029139053.1
ENSMUSG00000036139.6 XP_015673760.1
ENSMUSG00000011752.7 XP_015678942.1
ENSMUSG00000020475.3 XP_015670061.1
ENSMUSG00000009356.12 XP_015672685.1
ENSMUSG00000028670.14 XP_015675134.1
ENSMUSG00000025903.14 XP_015675642.1
ENSMUSG00000067370.4 XP_015684445.1
ENSMUSG00000020483.14 XP_015680902.1
ENSMUSG00000059316.2 XP_015687588.1
ENSMUSG00000031808.7 XP_015671209.1
ENSMUSG00000057236.10 XP_015667132.1
ENSMUSG00000024036.16 XP_015685140.1
ENSMUSG00000040653.6 XP_015671395.1
ENSMUSG00000056379.3 XP_015682686.1
ENSMUSG00000032220.10 XP_015666503.1
ENSMUSG00000024300.17 XP_015665521.1
ENSMUSG00000090236.3 XP_015677574.1
ENSMUSG00000032261.16 XP_015672294.1
ENSMUSG00000031246.14 XP_015683958.1
ENSMUSG00000038765.13 XP_029141988.1
ENSMUSG00000026686.14 XP_015670146.1
ENSMUSG00000078302.5 XP_015674915.1
ENSMUSG00000022311.15 XP_015677050.1
ENSMUSG00000060924.15 XP_029139307.1
ENSMUSG00000022292.16 XP_029140045.1
ENSMUSG00000071379.2 XP_015678771.1
ENSMUSG00000028785.13 XP_015667161.1
ENSMUSG00000051359.15 XP_015671858.1
ENSMUSG00000046329.14 XP_015682873.1
ENSMUSG00000024397.14 XP_015675308.1
ENSMUSG00000001864.13 XP_015675830.1
ENSMUSG00000010097.15 XP_015677003.1
ENSMUSG00000058620.5 XP_015666866.1
ENSMUSG00000020402.11 XP_015679656.1
ENSMUSG00000021771.14 XP_029142427.1
ENSMUSG00000068798.10 XP_015677128.1
ENSMUSG00000035027.18 XP_015680117.1
ENSMUSG00000033826.10 XP_029140899.1
ENSMUSG00000022262.8 XP_015668484.1
ENSMUSG00000011148.14 XP_015687023.1
ENSMUSG00000029581.14 XP_015687579.1
ENSMUSG00000025380.2 XP_015670775.1
