Orthogroup	M_musculus.pep	N_naja.pep
OG0000015	ENSMUSG00000026471.14	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA
OG0000018	ENSMUSG00000060678.5	Nana10432-RA
OG0000021	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	ENSMUSG00000020908.14	Nana09413-RA, Nana09413-RB, Nana09413-RC
OG0000021	ENSMUSG00000074652.3	Nana13832-RA, Nana13832-RB
OG0000021	ENSMUSG00000092009.1	Nana24863-RA
OG0000021	ENSMUSG00000040752.16	Nana24248-RB
OG0000023	ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2	Nana23400-RA
OG0000026	ENSMUSG00000051663.4, ENSMUSG00000044022.5, ENSMUSG00000048347.5, ENSMUSG00000047033.2, ENSMUSG00000051599.4, ENSMUSG00000046191.7, ENSMUSG00000046387.5, ENSMUSG00000047910.6, ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3, ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3, ENSMUSG00000044043.4, ENSMUSG00000047307.2, ENSMUSG00000045498.1, ENSMUSG00000073591.4, ENSMUSG00000043313.6	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA
OG0000027	ENSMUSG00000067702.5, ENSMUSG00000067338.6	Nana20181-RA
OG0000027	ENSMUSG00000023004.8	Nana03934-RB, Nana03934-RA
OG0000027	ENSMUSG00000021216.7	Nana27836-RA
OG0000027	ENSMUSG00000030137.8	Nana27543-RA
OG0000027	ENSMUSG00000026202.13	Nana03933-RB
OG0000027	ENSMUSG00000043091.9	Nana09911-RA
OG0000029	ENSMUSG00000046834.7	Nana10133-RA
OG0000029	ENSMUSG00000061397.8	Nana10134-RA
OG0000029	ENSMUSG00000056605.7, ENSMUSG00000051879.4, ENSMUSG00000063661.6, ENSMUSG00000075402.1	Nana10130-RA, Nana10131-RA
OG0000029	ENSMUSG00000049382.10	Nana10387-RA
OG0000029	ENSMUSG00000023039.17	Nana10116-RA
OG0000031	ENSMUSG00000049685.8	Nana30920-RB
OG0000031	ENSMUSG00000091867.2, ENSMUSG00000060407.6, ENSMUSG00000074254.4, ENSMUSG00000005547.14	Nana30920-RC
OG0000033	ENSMUSG00000073948.3, ENSMUSG00000047545.5, ENSMUSG00000050085.5	Nana25612-RA
OG0000033	ENSMUSG00000073956.3, ENSMUSG00000051362.2, ENSMUSG00000073954.5, ENSMUSG00000059874.2, ENSMUSG00000073953.4, ENSMUSG00000073914.2, ENSMUSG00000044705.3, ENSMUSG00000051172.7, ENSMUSG00000073915.5, ENSMUSG00000094531.3, ENSMUSG00000096773.4	Nana25617-RA
OG0000033	ENSMUSG00000073931.3, ENSMUSG00000073977.2, ENSMUSG00000073928.5, ENSMUSG00000042909.4, ENSMUSG00000044899.3, ENSMUSG00000073927.6, ENSMUSG00000050266.6, ENSMUSG00000043948.2, ENSMUSG00000073944.6, ENSMUSG00000073943.4, ENSMUSG00000073946.5, ENSMUSG00000073945.2, ENSMUSG00000047535.11, ENSMUSG00000081859.3	Nana25601-RA
OG0000034	ENSMUSG00000036752.4	Nana36726-RA
OG0000034	ENSMUSG00000058672.7	Nana15763-RA
OG0000034	ENSMUSG00000001473.7	Nana16081-RA
OG0000034	ENSMUSG00000016255.5	Nana13527-RA
OG0000039	ENSMUSG00000052850.5, ENSMUSG00000054497.5, ENSMUSG00000053217.3, ENSMUSG00000059382.2, ENSMUSG00000058349.2, ENSMUSG00000062528.2, ENSMUSG00000063762.5, ENSMUSG00000056926.2, ENSMUSG00000030194.2, ENSMUSG00000071149.3, ENSMUSG00000062952.1, ENSMUSG00000057381.1, ENSMUSG00000078280.1, ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4	Nana25427-RA
OG0000042	ENSMUSG00000103037.1, ENSMUSG00000102748.1, ENSMUSG00000103749.1, ENSMUSG00000103585.1, ENSMUSG00000103088.1, ENSMUSG00000104063.1, ENSMUSG00000103081.2	Nana15423-RA, Nana15427-RA, Nana15429-RA
OG0000045	ENSMUSG00000051965.8	Nana30791-RA
OG0000047	ENSMUSG00000101389.1, ENSMUSG00000058470.10, ENSMUSG00000024675.19, ENSMUSG00000056290.16, ENSMUSG00000024678.6	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE
OG0000047	ENSMUSG00000067571.4, ENSMUSG00000024730.7, ENSMUSG00000101031.2	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB
OG0000050	ENSMUSG00000059408.3	Nana16983-RA, Nana16985-RA, Nana39960-RA, Nana16988-RA, Nana16986-RA, Nana17000-RA, Nana16988-RB, Nana16990-RA, Nana38885-RA, Nana16995-RA, Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA
OG0000051	ENSMUSG00000075318.13	Nana03481-RA, Nana03471-RA
OG0000051	ENSMUSG00000075316.11	Nana03469-RA
OG0000051	ENSMUSG00000001027.7	Nana22919-RA
OG0000051	ENSMUSG00000032511.17	Nana21196-RA
OG0000051	ENSMUSG00000023033.14	Nana09998-RA
OG0000056	ENSMUSG00000103310.1, ENSMUSG00000103770.1, ENSMUSG00000103707.5, ENSMUSG00000102206.5, ENSMUSG00000007440.10, ENSMUSG00000103458.1, ENSMUSG00000104252.5, ENSMUSG00000104318.1, ENSMUSG00000103800.1, ENSMUSG00000102312.1, ENSMUSG00000104148.5, ENSMUSG00000103442.5, ENSMUSG00000103092.1	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA
OG0000057	ENSMUSG00000022818.13	Nana20799-RA
OG0000059	ENSMUSG00000062825.15	Nana09728-RA
OG0000059	ENSMUSG00000029580.14	Nana34355-RA
OG0000059	ENSMUSG00000031085.16	Nana05169-RA, Nana28043-RB, Nana28043-RA, Nana01616-RA, Nana19300-RA
OG0000061	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA
OG0000062	ENSMUSG00000027876.4	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA
OG0000063	ENSMUSG00000045364.2, ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1	Nana12777-RA
OG0000065	ENSMUSG00000041567.3	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000066	ENSMUSG00000091347.2, ENSMUSG00000063905.2, ENSMUSG00000091195.1	Nana07879-RA
OG0000067	ENSMUSG00000067929.3	Nana07313-RA, Nana07307-RA, Nana07305-RA, Nana07304-RA, Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA, Nana07271-RA, Nana07322-RC, Nana07279-RA, Nana07312-RA, Nana07274-RA, Nana07322-RA, Nana07258-RA
OG0000069	ENSMUSG00000025350.15	Nana09934-RA
OG0000069	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1, ENSMUSG00000025396.7	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA
OG0000071	ENSMUSG00000054385.14, ENSMUSG00000074272.10	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA
OG0000072	ENSMUSG00000024650.5, ENSMUSG00000063796.9	Nana35916-RA
OG0000072	ENSMUSG00000067144.7	Nana00984-RA
OG0000073	ENSMUSG00000090877.3, ENSMUSG00000091971.3, ENSMUSG00000007033.4	Nana36370-RA
OG0000073	ENSMUSG00000059970.7	Nana05770-RA
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	Nana11137-RA, Nana11138-RA
OG0000077	ENSMUSG00000097297.3, ENSMUSG00000078817.4, ENSMUSG00000032691.14	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA
OG0000077	ENSMUSG00000038650.15	Nana04298-RA
OG0000081	ENSMUSG00000062478.16	Nana37639-RA
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	Nana37247-RA
OG0000083	ENSMUSG00000035042.2	Nana06622-RA, Nana06624-RA
OG0000083	ENSMUSG00000000982.5, ENSMUSG00000018930.3	Nana00630-RA
OG0000085	ENSMUSG00000031502.11	Nana02961-RA
OG0000085	ENSMUSG00000031274.16	Nana32101-RD
OG0000085	ENSMUSG00000031503.13	Nana02958-RA
OG0000085	ENSMUSG00000067158.9	Nana20286-RB
OG0000085	ENSMUSG00000079465.8	Nana20288-RA
OG0000086	ENSMUSG00000016349.10	Nana13407-RA
OG0000086	ENSMUSG00000037742.14	Nana02319-RA
OG0000087	ENSMUSG00000020900.15	Nana09343-RA, Nana09343-RB
OG0000087	ENSMUSG00000018830.10	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	ENSMUSG00000022443.17	Nana27331-RA
OG0000087	ENSMUSG00000030739.18	Nana23710-RA
OG0000090	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5	Nana31033-RB, Nana31033-RA, Nana31033-RC
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15, ENSMUSG00000028268.14, ENSMUSG00000040253.15, ENSMUSG00000028270.12, ENSMUSG00000040264.10, ENSMUSG00000105504.4	Nana30970-RA
OG0000092	ENSMUSG00000028464.16	Nana12893-RB
OG0000092	ENSMUSG00000032366.15	Nana32804-RA, Nana32804-RB
OG0000093	ENSMUSG00000019943.10	Nana27045-RA
OG0000093	ENSMUSG00000026463.17	Nana14174-RA
OG0000093	ENSMUSG00000031376.15	Nana10674-RA
OG0000094	ENSMUSG00000008438.3, ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA
OG0000095	ENSMUSG00000063193.9, ENSMUSG00000069609.7, ENSMUSG00000089722.2, ENSMUSG00000069607.4, ENSMUSG00000089753.9, ENSMUSG00000034641.2, ENSMUSG00000047798.15	Nana09550-RA
OG0000095	ENSMUSG00000048498.7, ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12	Nana09552-RA
OG0000098	ENSMUSG00000092035.8	Nana23223-RA
OG0000099	ENSMUSG00000026235.14	Nana20229-RA
OG0000099	ENSMUSG00000028289.12	Nana02215-RA
OG0000099	ENSMUSG00000052504.7	Nana24836-RA
OG0000100	ENSMUSG00000014725.16, ENSMUSG00000022057.8	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA
OG0000101	ENSMUSG00000090841.2	Nana10097-RA, Nana10097-RB, Nana10097-RC
OG0000101	ENSMUSG00000061816.15	Nana03073-RA, Nana03073-RB
OG0000101	ENSMUSG00000061086.12, ENSMUSG00000059741.13	Nana21110-RA
OG0000102	ENSMUSG00000030851.15, ENSMUSG00000101959.1, ENSMUSG00000063229.15	Nana04405-RA
OG0000102	ENSMUSG00000030246.11	Nana27661-RA
OG0000106	ENSMUSG00000046434.16	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	ENSMUSG00000059005.13	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG
OG0000108	ENSMUSG00000075551.4, ENSMUSG00000075552.4, ENSMUSG00000054417.5, ENSMUSG00000038656.5, ENSMUSG00000056035.8, ENSMUSG00000070419.11, ENSMUSG00000061292.10, ENSMUSG00000029630.15, ENSMUSG00000029727.7	Nana34377-RA, Nana34376-RA
OG0000110	ENSMUSG00000066392.12	Nana35843-RA, Nana05423-RA
OG0000110	ENSMUSG00000024109.18	Nana05425-RA, Nana00887-RA
OG0000111	ENSMUSG00000058013.11	Nana17605-RA, Nana17605-RB
OG0000111	ENSMUSG00000034219.15, ENSMUSG00000019917.10	Nana32413-RA, Nana26179-RA
OG0000111	ENSMUSG00000050379.15	Nana08966-RA
OG0000112	ENSMUSG00000035780.2, ENSMUSG00000054630.7, ENSMUSG00000061906.5, ENSMUSG00000057425.3, ENSMUSG00000070704.10, ENSMUSG00000035811.10, ENSMUSG00000035836.2, ENSMUSG00000029260.15, ENSMUSG00000107180.1, ENSMUSG00000029268.14, ENSMUSG00000106677.1	Nana22728-RA
OG0000113	ENSMUSG00000025934.15, ENSMUSG00000074179.11, ENSMUSG00000057933.10, ENSMUSG00000111709.1, ENSMUSG00000074183.3	Nana02420-RA, Nana02419-RA
OG0000115	ENSMUSG00000020891.11, ENSMUSG00000020892.10, ENSMUSG00000032807.5	Nana24320-RA, Nana24321-RA, Nana24323-RA
OG0000115	ENSMUSG00000025701.12	Nana15380-RA, Nana15381-RA, Nana15378-RA
OG0000116	ENSMUSG00000053654.7, ENSMUSG00000053797.10, ENSMUSG00000045545.8, ENSMUSG00000035557.9	Nana23099-RA
OG0000116	ENSMUSG00000019761.10, ENSMUSG00000044041.4, ENSMUSG00000054146.8	Nana23092-RA
OG0000116	ENSMUSG00000020911.14	Nana23093-RA, Nana23093-RB
OG0000118	ENSMUSG00000062028.8	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA
OG0000119	ENSMUSG00000037242.8	Nana30054-RA
OG0000119	ENSMUSG00000007041.9	Nana07708-RA
OG0000119	ENSMUSG00000023959.10	Nana02918-RA
OG0000120	ENSMUSG00000049539.3	Nana24316-RA, Nana24308-RA
OG0000121	ENSMUSG00000102222.1, ENSMUSG00000102440.1, ENSMUSG00000103897.1, ENSMUSG00000102428.1, ENSMUSG00000102742.1, ENSMUSG00000104346.1, ENSMUSG00000103332.1, ENSMUSG00000103144.1, ENSMUSG00000103567.1, ENSMUSG00000103677.1, ENSMUSG00000103472.1, ENSMUSG00000103793.1	Nana15428-RA, Nana15421-RA, Nana15429-RB
OG0000126	ENSMUSG00000008305.18	Nana11693-RA, Nana11693-RB
OG0000126	ENSMUSG00000024642.17	Nana11690-RA
OG0000126	ENSMUSG00000032280.16	Nana33631-RC, Nana33631-RB, Nana33631-RA
OG0000127	ENSMUSG00000025821.9	Nana21098-RA
OG0000127	ENSMUSG00000045466.18	Nana38406-RA
OG0000128	ENSMUSG00000021876.15, ENSMUSG00000035896.5	Nana23910-RA, Nana23921-RA
OG0000128	ENSMUSG00000060615.5, ENSMUSG00000047894.2, ENSMUSG00000072598.3, ENSMUSG00000053961.7, ENSMUSG00000072115.11	Nana23918-RA, Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA
OG0000129	ENSMUSG00000053141.16	Nana13746-RA
OG0000129	ENSMUSG00000033278.10	Nana16117-RA
OG0000129	ENSMUSG00000028909.17	Nana30228-RA
OG0000129	ENSMUSG00000019889.10	Nana30225-RA, Nana01987-RA
OG0000130	ENSMUSG00000028137.9	Nana36269-RA
OG0000130	ENSMUSG00000032297.11	Nana33055-RA
OG0000131	ENSMUSG00000056851.14, ENSMUSG00000051695.6	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB
OG0000135	ENSMUSG00000074677.11, ENSMUSG00000106923.3, ENSMUSG00000095028.6, ENSMUSG00000095788.6, ENSMUSG00000037902.18, ENSMUSG00000078780.7, ENSMUSG00000107166.3, ENSMUSG00000078783.1	Nana13295-RA, Nana38700-RC, Nana38966-RA
OG0000136	ENSMUSG00000031309.15	Nana25848-RA
OG0000136	ENSMUSG00000023809.10	Nana01675-RA, Nana01675-RB
OG0000136	ENSMUSG00000003644.17	Nana30115-RA
OG0000136	ENSMUSG00000025665.16, ENSMUSG00000116203.1	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	ENSMUSG00000019577.6	Nana21626-RB, Nana21626-RA
OG0000137	ENSMUSG00000038967.13	Nana23253-RA, Nana23253-RB
OG0000137	ENSMUSG00000006494.11	Nana03410-RA, Nana03410-RB
OG0000138	ENSMUSG00000029131.14	Nana21262-RA
OG0000138	ENSMUSG00000048206.6	Nana08323-RA
OG0000138	ENSMUSG00000026203.16	Nana03939-RA
OG0000143	ENSMUSG00000039661.14	Nana28454-RA
OG0000143	ENSMUSG00000021768.15	Nana18923-RA, Nana18922-RA
OG0000143	ENSMUSG00000063821.6	Nana18920-RA
OG0000144	ENSMUSG00000047867.11, ENSMUSG00000090019.5	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA
OG0000145	ENSMUSG00000074593.11	Nana08336-RA
OG0000146	ENSMUSG00000048992.9, ENSMUSG00000024124.10, ENSMUSG00000049620.9, ENSMUSG00000050762.5	Nana23491-RA
OG0000147	ENSMUSG00000111393.1, ENSMUSG00000025478.15	Nana19440-RA
OG0000147	ENSMUSG00000029121.16	Nana18452-RA
OG0000147	ENSMUSG00000024501.20	Nana09013-RA
OG0000147	ENSMUSG00000022048.8	Nana28363-RA
OG0000149	ENSMUSG00000054808.15	Nana30762-RA
OG0000149	ENSMUSG00000052374.16	Nana01559-RA
OG0000149	ENSMUSG00000015143.15	Nana04942-RA
OG0000150	ENSMUSG00000030972.6	Nana34186-RA
OG0000150	ENSMUSG00000047026.9	Nana34187-RB
OG0000150	ENSMUSG00000030945.17, ENSMUSG00000033533.14	Nana34187-RA
OG0000151	ENSMUSG00000083138.3, ENSMUSG00000028715.2, ENSMUSG00000084346.4, ENSMUSG00000078597.2, ENSMUSG00000066071.6, ENSMUSG00000066072.13, ENSMUSG00000063929.6, ENSMUSG00000028712.12	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	ENSMUSG00000110469.1, ENSMUSG00000057666.18, ENSMUSG00000097148.2, ENSMUSG00000099294.1	Nana11108-RA
OG0000153	ENSMUSG00000061099.12	Nana30407-RA
OG0000154	ENSMUSG00000011171.11	Nana21272-RA
OG0000154	ENSMUSG00000026387.15	Nana03716-RA
OG0000154	ENSMUSG00000004654.6	Nana39032-RA
OG0000155	ENSMUSG00000030236.10	Nana27596-RB, Nana27596-RA
OG0000155	ENSMUSG00000030237.14, ENSMUSG00000084927.1, ENSMUSG00000079262.3, ENSMUSG00000063975.13, ENSMUSG00000041698.11, ENSMUSG00000079263.8	Nana27598-RA, Nana27600-RA
OG0000156	ENSMUSG00000091043.2	Nana02904-RA
OG0000158	ENSMUSG00000004098.7	Nana36405-RA, Nana10438-RA
OG0000158	ENSMUSG00000026837.16	Nana37069-RA, Nana37069-RB
OG0000158	ENSMUSG00000027966.20	Nana14954-RA, Nana39299-RA, Nana37076-RA
OG0000159	ENSMUSG00000105906.1, ENSMUSG00000106039.1, ENSMUSG00000075370.12, ENSMUSG00000105547.1, ENSMUSG00000076937.3	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	ENSMUSG00000036322.11, ENSMUSG00000024334.9	Nana06954-RA
OG0000162	ENSMUSG00000026509.15	Nana01233-RA
OG0000162	ENSMUSG00000038599.14	Nana01232-RB
OG0000162	ENSMUSG00000058626.16	Nana01383-RB, Nana01383-RC, Nana01383-RA
OG0000162	ENSMUSG00000024942.17	Nana35924-RA
OG0000163	ENSMUSG00000003410.8	Nana10880-RA
OG0000163	ENSMUSG00000008489.18	Nana11460-RA, Nana14489-RA
OG0000169	ENSMUSG00000022283.15	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	ENSMUSG00000011257.19	Nana29768-RA
OG0000169	ENSMUSG00000090919.6	Nana16688-RD
OG0000169	ENSMUSG00000054582.4	Nana13679-RA
OG0000171	ENSMUSG00000074207.10, ENSMUSG00000055301.8	Nana17789-RA
OG0000172	ENSMUSG00000030084.11	Nana08296-RA, Nana14058-RA
OG0000172	ENSMUSG00000029765.12	Nana27786-RA
OG0000172	ENSMUSG00000031398.13	Nana10639-RA
OG0000174	ENSMUSG00000025271.13	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD
OG0000174	ENSMUSG00000026773.19	Nana27734-RA
OG0000174	ENSMUSG00000025648.18	Nana08485-RD, Nana08485-RC, Nana08485-RB
OG0000179	ENSMUSG00000024771.7, ENSMUSG00000024768.5	Nana19279-RA
OG0000179	ENSMUSG00000056078.6	Nana19294-RA
OG0000179	ENSMUSG00000024781.16	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA
OG0000181	ENSMUSG00000078506.1, ENSMUSG00000028593.5, ENSMUSG00000078504.2, ENSMUSG00000041735.8, ENSMUSG00000070609.3, ENSMUSG00000078505.1, ENSMUSG00000078507.1	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA
OG0000183	ENSMUSG00000040037.13	Nana14703-RA
OG0000183	ENSMUSG00000061080.11	Nana24962-RA
OG0000183	ENSMUSG00000059974.10	Nana28668-RA, Nana28665-RA
OG0000184	ENSMUSG00000021730.8	Nana12380-RA
OG0000184	ENSMUSG00000032338.9	Nana33040-RA
OG0000184	ENSMUSG00000028051.10	Nana36072-RA
OG0000184	ENSMUSG00000020331.9	Nana06340-RA
OG0000185	ENSMUSG00000048076.14	Nana21120-RA
