Orthogroup	M_musculus.pep	A_carolinensis.pep
OG0000009	ENSMUSG00000070460.7, ENSMUSG00000070459.6, ENSMUSG00000116179.1	ENSACAG00000007620.2, ENSACAG00000022960.1, ENSACAG00000007614.2, ENSACAG00000023376.1
OG0000009	ENSMUSG00000046975.7	ENSACAG00000020941.2
OG0000010	ENSMUSG00000018102.5, ENSMUSG00000069307.6, ENSMUSG00000069303.6, ENSMUSG00000058385.8, ENSMUSG00000047246.7, ENSMUSG00000114279.1, ENSMUSG00000114456.1	ENSACAG00000026549.1
OG0000013	ENSMUSG00000109212.3, ENSMUSG00000058114.3, ENSMUSG00000059030.5, ENSMUSG00000109376.1, ENSMUSG00000062629.4, ENSMUSG00000092292.3, ENSMUSG00000061336.3, ENSMUSG00000051611.9, ENSMUSG00000092413.5, ENSMUSG00000050613.5, ENSMUSG00000108426.2	ENSACAG00000010954.2, ENSACAG00000027007.1, ENSACAG00000024209.1, ENSACAG00000024155.2, ENSACAG00000022589.1, ENSACAG00000010940.2, ENSACAG00000010942.2, ENSACAG00000010938.2, ENSACAG00000022282.1, ENSACAG00000026301.1
OG0000014	ENSMUSG00000016559.14	ENSACAG00000026224.2
OG0000014	ENSMUSG00000069310.4	ENSACAG00000004420.2
OG0000014	ENSMUSG00000074403.2	ENSACAG00000025743.1
OG0000014	ENSMUSG00000060743.12	ENSACAG00000007297.3
OG0000015	ENSMUSG00000026471.14	ENSACAG00000011968.3, ENSACAG00000006471.3, ENSACAG00000024638.2, ENSACAG00000029516.1, ENSACAG00000006498.3, ENSACAG00000000468.2, ENSACAG00000006674.2, ENSACAG00000017226.3, ENSACAG00000000562.3, ENSACAG00000011070.2, ENSACAG00000006478.3, ENSACAG00000024528.1, ENSACAG00000023667.1, ENSACAG00000022634.1, ENSACAG00000027871.1, ENSACAG00000022657.2, ENSACAG00000025947.1, ENSACAG00000024081.2, ENSACAG00000024309.2, ENSACAG00000003088.2, ENSACAG00000024337.1, ENSACAG00000013947.2, ENSACAG00000026915.2, ENSACAG00000024939.1, ENSACAG00000025539.1
OG0000018	ENSMUSG00000060678.5	ENSACAG00000021103.2
OG0000018	ENSMUSG00000069305.3, ENSMUSG00000069306.5	ENSACAG00000024530.1
OG0000018	ENSMUSG00000069274.3	ENSACAG00000015323.3
OG0000020	ENSMUSG00000095554.2, ENSMUSG00000094241.2, ENSMUSG00000076709.2, ENSMUSG00000095863.2, ENSMUSG00000094051.6, ENSMUSG00000096410.2, ENSMUSG00000095130.1, ENSMUSG00000095859.2, ENSMUSG00000094652.2, ENSMUSG00000095923.6, ENSMUSG00000095761.6, ENSMUSG00000096649.2, ENSMUSG00000094546.1, ENSMUSG00000103290.1, ENSMUSG00000103254.1, ENSMUSG00000094561.1, ENSMUSG00000093955.2, ENSMUSG00000076695.7, ENSMUSG00000096499.2, ENSMUSG00000095889.1, ENSMUSG00000094694.6, ENSMUSG00000095127.2, ENSMUSG00000094075.1, ENSMUSG00000095416.6, ENSMUSG00000095589.2, ENSMUSG00000094124.5, ENSMUSG00000093894.1, ENSMUSG00000096074.2, ENSMUSG00000096767.2, ENSMUSG00000094198.2, ENSMUSG00000095197.6, ENSMUSG00000094502.5, ENSMUSG00000094087.1, ENSMUSG00000095204.6, ENSMUSG00000094088.2, ENSMUSG00000094787.2, ENSMUSG00000096672.1, ENSMUSG00000094940.1, ENSMUSG00000093896.2, ENSMUSG00000096577.2, ENSMUSG00000096078.2, ENSMUSG00000096326.2, ENSMUSG00000096150.1, ENSMUSG00000094689.1, ENSMUSG00000096020.2, ENSMUSG00000095519.2, ENSMUSG00000102313.1, ENSMUSG00000094862.2, ENSMUSG00000096452.2, ENSMUSG00000095442.1, ENSMUSG00000095200.2, ENSMUSG00000076710.2, ENSMUSG00000102888.1	ENSACAG00000025737.1
OG0000021	ENSMUSG00000057003.12, ENSMUSG00000056328.14, ENSMUSG00000033196.17, ENSMUSG00000055775.16	ENSACAG00000017332.3, ENSACAG00000017003.3
OG0000021	ENSMUSG00000060180.12	ENSACAG00000017325.2
OG0000021	ENSMUSG00000074652.3	ENSACAG00000007497.3
OG0000021	ENSMUSG00000092009.1	ENSACAG00000006610.3
OG0000021	ENSMUSG00000040752.16	ENSACAG00000006296.3, ENSACAG00000029475.1
OG0000023	ENSMUSG00000059887.7, ENSMUSG00000057564.6	ENSACAG00000002843.2
OG0000023	ENSMUSG00000046210.7	ENSACAG00000008699.2
OG0000023	ENSMUSG00000045812.5, ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3, ENSMUSG00000067529.2, ENSMUSG00000067525.3, ENSMUSG00000067524.4, ENSMUSG00000060787.9, ENSMUSG00000093920.2, ENSMUSG00000093839.2	ENSACAG00000022276.1, ENSACAG00000010915.2
OG0000023	ENSMUSG00000045306.3	ENSACAG00000008714.2
OG0000023	ENSMUSG00000090874.2, ENSMUSG00000091873.2, ENSMUSG00000048933.8	ENSACAG00000025829.1
OG0000025	ENSMUSG00000073421.6, ENSMUSG00000060586.11, ENSMUSG00000067341.6	ENSACAG00000006391.2
OG0000026	ENSMUSG00000051663.4, ENSMUSG00000044022.5, ENSMUSG00000048347.5, ENSMUSG00000047033.2, ENSMUSG00000051599.4, ENSMUSG00000046191.7, ENSMUSG00000046387.5, ENSMUSG00000047910.6, ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3, ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3, ENSMUSG00000044043.4, ENSMUSG00000047307.2, ENSMUSG00000045498.1, ENSMUSG00000073591.4, ENSMUSG00000043313.6	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1
OG0000027	ENSMUSG00000067702.5	ENSACAG00000002559.3
OG0000027	ENSMUSG00000072235.6	ENSACAG00000015652.2
OG0000027	ENSMUSG00000023004.8	ENSACAG00000013417.3
OG0000027	ENSMUSG00000021216.7	ENSACAG00000017598.3
OG0000027	ENSMUSG00000030137.8	ENSACAG00000012426.3, ENSACAG00000012411.3
OG0000027	ENSMUSG00000026202.13	ENSACAG00000013342.3, ENSACAG00000028051.2
OG0000027	ENSMUSG00000043091.9	ENSACAG00000013414.3
OG0000028	ENSMUSG00000112023.1, ENSMUSG00000112148.1, ENSMUSG00000062593.17, ENSMUSG00000070873.5, ENSMUSG00000074419.11, ENSMUSG00000089942.9, ENSMUSG00000081665.2, ENSMUSG00000074417.9, ENSMUSG00000030427.17, ENSMUSG00000058818.13	ENSACAG00000027060.2
OG0000029	ENSMUSG00000022986.5, ENSMUSG00000023041.7, ENSMUSG00000058354.7, ENSMUSG00000064232.2, ENSMUSG00000095241.2, ENSMUSG00000061527.7	ENSACAG00000007370.3
OG0000029	ENSMUSG00000046834.7	ENSACAG00000029684.1
OG0000029	ENSMUSG00000056605.7, ENSMUSG00000051879.4, ENSMUSG00000063661.6, ENSMUSG00000075402.1	ENSACAG00000028764.1, ENSACAG00000029007.1
OG0000029	ENSMUSG00000049382.10	ENSACAG00000011658.3
OG0000029	ENSMUSG00000023039.17	ENSACAG00000007961.3
OG0000029	ENSMUSG00000048699.4	ENSACAG00000021999.1
OG0000031	ENSMUSG00000049685.8	ENSACAG00000002646.2, ENSACAG00000008145.3, ENSACAG00000004881.2
OG0000032	ENSMUSG00000044293.5, ENSMUSG00000095138.3, ENSMUSG00000094734.2, ENSMUSG00000042801.5, ENSMUSG00000050478.3, ENSMUSG00000044897.3, ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3, ENSMUSG00000049894.3, ENSMUSG00000094496.2, ENSMUSG00000095002.3, ENSMUSG00000044025.6, ENSMUSG00000095696.3, ENSMUSG00000093866.3, ENSMUSG00000049217.4, ENSMUSG00000111732.1, ENSMUSG00000095483.2, ENSMUSG00000096220.2, ENSMUSG00000096229.3, ENSMUSG00000096497.2, ENSMUSG00000046041.4, ENSMUSG00000111273.1, ENSMUSG00000056853.3, ENSMUSG00000059762.4, ENSMUSG00000048745.3, ENSMUSG00000107648.4, ENSMUSG00000107748.4, ENSMUSG00000048153.6	ENSACAG00000002989.2
OG0000034	ENSMUSG00000001525.10	ENSACAG00000017201.3
OG0000034	ENSMUSG00000036752.4	ENSACAG00000012869.2
OG0000034	ENSMUSG00000058672.7	ENSACAG00000017677.3
OG0000034	ENSMUSG00000062591.5	ENSACAG00000015226.3
OG0000034	ENSMUSG00000016255.5	ENSACAG00000001102.2
OG0000039	ENSMUSG00000052850.5, ENSMUSG00000054497.5, ENSMUSG00000053217.3, ENSMUSG00000059382.2, ENSMUSG00000058349.2, ENSMUSG00000062528.2, ENSMUSG00000063762.5, ENSMUSG00000056926.2, ENSMUSG00000030194.2, ENSMUSG00000071149.3, ENSMUSG00000062952.1, ENSMUSG00000057381.1, ENSMUSG00000078280.1, ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4	ENSACAG00000021090.2, ENSACAG00000021058.2
OG0000042	ENSMUSG00000103037.1, ENSMUSG00000102748.1, ENSMUSG00000103749.1, ENSMUSG00000103585.1, ENSMUSG00000103088.1, ENSMUSG00000104063.1, ENSMUSG00000103081.2	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2, ENSACAG00000015633.3, ENSACAG00000026732.1, ENSACAG00000024780.1, ENSACAG00000024944.1, ENSACAG00000026340.1, ENSACAG00000023499.1, ENSACAG00000012349.2, ENSACAG00000012353.2, ENSACAG00000023291.1, ENSACAG00000027406.1, ENSACAG00000026891.1, ENSACAG00000028317.1, ENSACAG00000024549.2
OG0000045	ENSMUSG00000051965.8	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1
OG0000047	ENSMUSG00000101389.1, ENSMUSG00000058470.10, ENSMUSG00000024675.19, ENSMUSG00000056290.16, ENSMUSG00000024678.6	ENSACAG00000017816.2
OG0000047	ENSMUSG00000067571.4, ENSMUSG00000024730.7, ENSMUSG00000101031.2	ENSACAG00000017822.2, ENSACAG00000023869.2, ENSACAG00000025055.2
OG0000050	ENSMUSG00000059408.3	ENSACAG00000027706.1, ENSACAG00000022451.1, ENSACAG00000025714.2, ENSACAG00000020938.2, ENSACAG00000024154.2, ENSACAG00000026564.1, ENSACAG00000000135.2, ENSACAG00000022635.1, ENSACAG00000021023.2, ENSACAG00000025099.1, ENSACAG00000021137.2, ENSACAG00000021078.2, ENSACAG00000021146.2, ENSACAG00000029639.1, ENSACAG00000000131.2, ENSACAG00000000133.2
OG0000050	ENSMUSG00000068037.11	ENSACAG00000004224.2
OG0000051	ENSMUSG00000075318.13	ENSACAG00000002063.3
OG0000051	ENSMUSG00000064329.13	ENSACAG00000002844.3
OG0000051	ENSMUSG00000057182.15	ENSACAG00000001038.3
OG0000051	ENSMUSG00000075316.11	ENSACAG00000000353.3
OG0000051	ENSMUSG00000001027.7	ENSACAG00000012739.3
OG0000051	ENSMUSG00000032511.17	ENSACAG00000009381.3, ENSACAG00000009159.3
OG0000051	ENSMUSG00000023033.14	ENSACAG00000017243.3
OG0000055	ENSMUSG00000071764.2, ENSMUSG00000056281.4, ENSMUSG00000067971.5, ENSMUSG00000043529.4, ENSMUSG00000054036.6, ENSMUSG00000064121.4	ENSACAG00000027280.1, ENSACAG00000010884.2, ENSACAG00000027953.1, ENSACAG00000010760.2, ENSACAG00000024757.1
OG0000056	ENSMUSG00000103310.1, ENSMUSG00000103770.1, ENSMUSG00000103707.5, ENSMUSG00000102206.5, ENSMUSG00000007440.10, ENSMUSG00000103458.1, ENSMUSG00000104252.5, ENSMUSG00000104318.1, ENSMUSG00000103800.1, ENSMUSG00000102312.1, ENSMUSG00000104148.5, ENSMUSG00000103442.5, ENSMUSG00000103092.1	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1
OG0000057	ENSMUSG00000022818.13	ENSACAG00000011570.3
OG0000059	ENSMUSG00000062825.15	ENSACAG00000015238.2
OG0000059	ENSMUSG00000029580.14	ENSACAG00000001200.3
OG0000059	ENSMUSG00000031085.16	ENSACAG00000012464.2, ENSACAG00000001104.3, ENSACAG00000000836.3, ENSACAG00000013951.2, ENSACAG00000001718.2, ENSACAG00000000475.3
OG0000061	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3	ENSACAG00000024109.1, ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3, ENSACAG00000012097.2, ENSACAG00000012089.3
OG0000062	ENSMUSG00000027876.4	ENSACAG00000008003.2, ENSACAG00000028410.1, ENSACAG00000028256.1, ENSACAG00000007989.2, ENSACAG00000028723.1, ENSACAG00000007915.2, ENSACAG00000022832.2, ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2, ENSACAG00000029001.1, ENSACAG00000029029.1, ENSACAG00000000571.2, ENSACAG00000029058.1, ENSACAG00000011171.3, ENSACAG00000011159.2, ENSACAG00000011151.2, ENSACAG00000011120.2, ENSACAG00000024909.2, ENSACAG00000000536.3, ENSACAG00000027149.1
OG0000063	ENSMUSG00000045364.2, ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1	ENSACAG00000023930.1
OG0000065	ENSMUSG00000041567.3	ENSACAG00000004073.3
OG0000065	ENSMUSG00000058260.2, ENSMUSG00000079013.2, ENSMUSG00000066364.2, ENSMUSG00000041536.13, ENSMUSG00000058207.6, ENSMUSG00000079012.11, ENSMUSG00000066361.3, ENSMUSG00000021091.8, ENSMUSG00000079014.4, ENSMUSG00000066363.12, ENSMUSG00000041481.17, ENSMUSG00000021081.12, ENSMUSG00000072849.10, ENSMUSG00000071177.4, ENSMUSG00000066366.14, ENSMUSG00000079015.2, ENSMUSG00000071178.11	ENSACAG00000029443.1, ENSACAG00000025656.1, ENSACAG00000005298.2, ENSACAG00000022474.2, ENSACAG00000004228.2
OG0000066	ENSMUSG00000091347.2, ENSMUSG00000063905.2, ENSMUSG00000091195.1	ENSACAG00000011147.2
OG0000066	ENSMUSG00000095993.1	ENSACAG00000000082.2, ENSACAG00000026535.1, ENSACAG00000017171.2
OG0000067	ENSMUSG00000067929.3	ENSACAG00000012916.1
OG0000069	ENSMUSG00000025350.15	ENSACAG00000009989.3
OG0000069	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1, ENSMUSG00000025396.7	ENSACAG00000009223.2, ENSACAG00000009362.3, ENSACAG00000029689.1, ENSACAG00000009319.1, ENSACAG00000028794.1, ENSACAG00000009382.3, ENSACAG00000029377.1, ENSACAG00000009380.3, ENSACAG00000007510.2
OG0000072	ENSMUSG00000024650.5, ENSMUSG00000063796.9	ENSACAG00000006380.3, ENSACAG00000013956.2, ENSACAG00000024988.2, ENSACAG00000026822.2
OG0000072	ENSMUSG00000067144.7	ENSACAG00000004635.2, ENSACAG00000004528.3
OG0000072	ENSMUSG00000037451.8, ENSMUSG00000107099.4, ENSMUSG00000061742.12, ENSMUSG00000022366.12	ENSACAG00000008091.2
OG0000073	ENSMUSG00000090877.3, ENSMUSG00000091971.3, ENSMUSG00000007033.4	ENSACAG00000014684.2
OG0000073	ENSMUSG00000015656.17	ENSACAG00000004884.2
OG0000073	ENSMUSG00000059970.7	ENSACAG00000015774.1
OG0000074	ENSMUSG00000044737.6	ENSACAG00000016715.2
OG0000074	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3	ENSACAG00000007958.3
OG0000076	ENSMUSG00000096055.2, ENSMUSG00000095689.5, ENSMUSG00000096825.2, ENSMUSG00000095958.3, ENSMUSG00000093915.2, ENSMUSG00000094607.2, ENSMUSG00000096531.2, ENSMUSG00000096129.2, ENSMUSG00000096656.6, ENSMUSG00000076800.1, ENSMUSG00000096149.5, ENSMUSG00000095426.6, ENSMUSG00000076802.3, ENSMUSG00000094176.6, ENSMUSG00000095862.1, ENSMUSG00000076764.3, ENSMUSG00000094468.5, ENSMUSG00000095387.5, ENSMUSG00000076762.1, ENSMUSG00000096600.5, ENSMUSG00000094220.5, ENSMUSG00000095126.3, ENSMUSG00000095370.2, ENSMUSG00000095756.2	ENSACAG00000002837.2, ENSACAG00000029665.1
OG0000077	ENSMUSG00000097297.3, ENSMUSG00000078817.4, ENSMUSG00000032691.14	ENSACAG00000022288.2, ENSACAG00000024664.2
OG0000077	ENSMUSG00000038650.15	ENSACAG00000014816.3
OG0000078	ENSMUSG00000074682.4	ENSACAG00000028668.1
OG0000081	ENSMUSG00000023031.8	ENSACAG00000012038.2
OG0000081	ENSMUSG00000023433.8, ENSMUSG00000078520.3	ENSACAG00000011397.3, ENSACAG00000012636.3, ENSACAG00000028645.1
OG0000085	ENSMUSG00000031502.11	ENSACAG00000014194.3
OG0000085	ENSMUSG00000031274.16	ENSACAG00000012321.3
OG0000085	ENSMUSG00000031503.13	ENSACAG00000014055.2
OG0000085	ENSMUSG00000116510.1, ENSMUSG00000031273.16	ENSACAG00000012181.3
OG0000085	ENSMUSG00000067158.9	ENSACAG00000003770.3
OG0000085	ENSMUSG00000079465.8	ENSACAG00000004217.3
OG0000086	ENSMUSG00000016349.10	ENSACAG00000006007.3
OG0000086	ENSMUSG00000037742.14	ENSACAG00000004556.3
OG0000087	ENSMUSG00000020900.15	ENSACAG00000017579.3
OG0000087	ENSMUSG00000018830.10	ENSACAG00000008633.3
OG0000087	ENSMUSG00000022443.17	ENSACAG00000016387.3
OG0000087	ENSMUSG00000030739.18	ENSACAG00000015586.3
OG0000090	ENSMUSG00000061959.13, ENSMUSG00000074156.6, ENSMUSG00000031725.8, ENSMUSG00000078964.2, ENSMUSG00000057400.14, ENSMUSG00000056973.6, ENSMUSG00000057074.6, ENSMUSG00000071047.5, ENSMUSG00000060560.8, ENSMUSG00000058019.13	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2
OG0000091	ENSMUSG00000105096.1, ENSMUSG00000104713.4, ENSMUSG00000079362.5, ENSMUSG00000079363.7, ENSMUSG00000092021.8, ENSMUSG00000034438.16, ENSMUSG00000029298.15, ENSMUSG00000028268.14, ENSMUSG00000040253.15, ENSMUSG00000028270.12, ENSMUSG00000040264.10, ENSMUSG00000105504.4	ENSACAG00000006626.3, ENSACAG00000028945.1, ENSACAG00000022872.1
OG0000092	ENSMUSG00000028464.16	ENSACAG00000011479.3
OG0000092	ENSMUSG00000027940.18	ENSACAG00000010562.2
OG0000093	ENSMUSG00000019943.10	ENSACAG00000011979.3
OG0000093	ENSMUSG00000026463.17	ENSACAG00000010151.3
OG0000093	ENSMUSG00000031376.15	ENSACAG00000009210.3
OG0000093	ENSMUSG00000030302.16	ENSACAG00000009556.3
OG0000094	ENSMUSG00000008438.3, ENSMUSG00000046723.4, ENSMUSG00000054033.6, ENSMUSG00000071937.4, ENSMUSG00000046282.7, ENSMUSG00000063900.5, ENSMUSG00000048516.2, ENSMUSG00000079058.3, ENSMUSG00000050190.4	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1, ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2, ENSACAG00000015961.3, ENSACAG00000022750.1
OG0000095	ENSMUSG00000063193.9, ENSMUSG00000069609.7, ENSMUSG00000089722.2, ENSMUSG00000069607.4, ENSMUSG00000089753.9, ENSMUSG00000034641.2, ENSMUSG00000047798.15	ENSACAG00000005375.3
OG0000095	ENSMUSG00000048498.7, ENSMUSG00000058728.15, ENSMUSG00000044811.13, ENSMUSG00000034652.12	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1
