Orthogroup	X_tropicalis.pep	P_troglodytes.pep
OG0000008	ENSXETG00000015698.1, ENSXETG00000016218.1, ENSXETG00000016244.1, ENSXETG00000015715.1, ENSXETG00000016286.1, ENSXETG00000016187.1, ENSXETG00000016029.1, ENSXETG00000015725.1, ENSXETG00000004077.1, ENSXETG00000004085.1, ENSXETG00000004783.1, ENSXETG00000002937.1, ENSXETG00000009231.1, ENSXETG00000014480.1, ENSXETG00000000107.1, ENSXETG00000000090.1, ENSXETG00000000610.1, ENSXETG00000015778.1, ENSXETG00000014388.1, ENSXETG00000009239.1, ENSXETG00000002804.1, ENSXETG00000002898.1, ENSXETG00000004726.1	ENSPTRG00000047219.1
OG0000008	ENSXETG00000017971.1	ENSPTRG00000045799.1
OG0000008	ENSXETG00000001657.1, ENSXETG00000001664.1	ENSPTRG00000004369.4
OG0000008	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1	ENSPTRG00000043908.1
OG0000009	ENSXETG00000008905.1, ENSXETG00000008965.1, ENSXETG00000002126.1	ENSPTRG00000003646.4
OG0000009	ENSXETG00000002333.1	ENSPTRG00000003643.4
OG0000009	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1	ENSPTRG00000003619.3
OG0000010	ENSXETG00000020462.1	ENSPTRG00000051324.1, ENSPTRG00000047357.1, ENSPTRG00000050958.1
OG0000010	ENSXETG00000016136.1	ENSPTRG00000047237.1, ENSPTRG00000046524.1
OG0000010	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1	ENSPTRG00000051703.1, ENSPTRG00000052585.1, ENSPTRG00000049674.1, ENSPTRG00000050249.1, ENSPTRG00000045223.1, ENSPTRG00000048874.1, ENSPTRG00000047324.1, ENSPTRG00000050454.1, ENSPTRG00000046214.1, ENSPTRG00000043345.1, ENSPTRG00000043707.1, ENSPTRG00000045140.1
OG0000014	ENSXETG00000001142.1	ENSPTRG00000043737.1
OG0000014	ENSXETG00000004793.1	ENSPTRG00000044724.1
OG0000014	ENSXETG00000005833.1, ENSXETG00000000591.1, ENSXETG00000016233.1	ENSPTRG00000044185.1
OG0000014	ENSXETG00000020403.1, ENSXETG00000002851.1	ENSPTRG00000049585.1, ENSPTRG00000046297.1, ENSPTRG00000049252.1, ENSPTRG00000047137.1, ENSPTRG00000052362.1, ENSPTRG00000048013.1, ENSPTRG00000043155.1, ENSPTRG00000017824.3, ENSPTRG00000042751.1, ENSPTRG00000044316.1, ENSPTRG00000045132.1, ENSPTRG00000052301.1
OG0000014	ENSXETG00000014446.1	ENSPTRG00000002045.6
OG0000015	ENSXETG00000008260.1, ENSXETG00000008214.1	ENSPTRG00000048595.1, ENSPTRG00000001746.7
OG0000018	ENSXETG00000004068.1	ENSPTRG00000001238.5
OG0000018	ENSXETG00000014569.1	ENSPTRG00000052602.1
OG0000018	ENSXETG00000009489.1	ENSPTRG00000052551.1
OG0000018	ENSXETG00000016155.1	ENSPTRG00000051784.1, ENSPTRG00000046786.1, ENSPTRG00000043887.1, ENSPTRG00000047281.1
OG0000018	ENSXETG00000016254.1	ENSPTRG00000046932.1
OG0000020	ENSXETG00000003671.1, ENSXETG00000003669.1, ENSXETG00000015210.1, ENSXETG00000020653.1, ENSXETG00000017293.1, ENSXETG00000021231.1, ENSXETG00000020942.1	ENSPTRG00000044994.1, ENSPTRG00000046655.1
OG0000021	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1	ENSPTRG00000008769.4, ENSPTRG00000008770.5, ENSPTRG00000008771.7, ENSPTRG00000008768.6, ENSPTRG00000008766.6
OG0000021	ENSXETG00000004084.1	ENSPTRG00000008773.5
OG0000021	ENSXETG00000004298.1	ENSPTRG00000013428.6
OG0000021	ENSXETG00000006074.1	ENSPTRG00000015191.4
OG0000021	ENSXETG00000010941.1	ENSPTRG00000042734.1, ENSPTRG00000006175.6
OG0000023	ENSXETG00000015184.1	ENSPTRG00000047914.1, ENSPTRG00000041296.2, ENSPTRG00000050187.1, ENSPTRG00000004413.3, ENSPTRG00000003695.4, ENSPTRG00000047267.1, ENSPTRG00000043210.1, ENSPTRG00000043163.1, ENSPTRG00000003692.4, ENSPTRG00000030829.4, ENSPTRG00000006083.2
OG0000025	ENSXETG00000008190.1	ENSPTRG00000023404.6, ENSPTRG00000018018.7, ENSPTRG00000023735.6, ENSPTRG00000051243.1, ENSPTRG00000018001.7
OG0000027	ENSXETG00000001944.1	ENSPTRG00000004901.5
OG0000027	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1	ENSPTRG00000045808.1
OG0000027	ENSXETG00000017890.1, ENSXETG00000020471.1	ENSPTRG00000002253.4
OG0000027	ENSXETG00000012204.1, ENSXETG00000008972.1	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	ENSXETG00000003471.1	ENSPTRG00000012949.6
OG0000027	ENSXETG00000001989.1	ENSPTRG00000048544.1
OG0000028	ENSXETG00000011785.1	ENSPTRG00000046222.1, ENSPTRG00000011468.6, ENSPTRG00000011452.6, ENSPTRG00000011451.7, ENSPTRG00000043706.1, ENSPTRG00000046872.1, ENSPTRG00000047045.1, ENSPTRG00000048836.1, ENSPTRG00000011466.6, ENSPTRG00000011465.7, ENSPTRG00000045259.1, ENSPTRG00000050080.1, ENSPTRG00000046197.1, ENSPTRG00000011467.6, ENSPTRG00000011453.7, ENSPTRG00000011455.5, ENSPTRG00000011456.3, ENSPTRG00000028888.5, ENSPTRG00000045348.1
OG0000029	ENSXETG00000002038.1	ENSPTRG00000043894.1, ENSPTRG00000051265.1, ENSPTRG00000004979.4, ENSPTRG00000020404.6
OG0000029	ENSXETG00000001917.1	ENSPTRG00000004987.6, ENSPTRG00000046630.1, ENSPTRG00000004993.4, ENSPTRG00000004992.5, ENSPTRG00000004984.3, ENSPTRG00000004982.5, ENSPTRG00000004985.4, ENSPTRG00000004991.5, ENSPTRG00000004990.3
OG0000029	ENSXETG00000003326.1	ENSPTRG00000046526.1, ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1, ENSPTRG00000044210.1
OG0000029	ENSXETG00000002021.1, ENSXETG00000002714.1	ENSPTRG00000004969.4
OG0000032	ENSXETG00000001411.1	ENSPTRG00000029745.2, ENSPTRG00000005050.4, ENSPTRG00000005052.4, ENSPTRG00000029744.2, ENSPTRG00000048341.1, ENSPTRG00000047388.1, ENSPTRG00000050576.1, ENSPTRG00000045202.1
OG0000033	ENSXETG00000015963.1	ENSPTRG00000028733.5, ENSPTRG00000003234.2, ENSPTRG00000003268.5, ENSPTRG00000003267.4, ENSPTRG00000028728.3, ENSPTRG00000003252.3, ENSPTRG00000003255.7
OG0000034	ENSXETG00000003987.1	ENSPTRG00000017675.6
OG0000034	ENSXETG00000001110.1	ENSPTRG00000023373.3
OG0000034	ENSXETG00000012328.1	ENSPTRG00000010369.4
OG0000034	ENSXETG00000013453.1	ENSPTRG00000009878.6
OG0000034	ENSXETG00000006687.1	ENSPTRG00000008496.7
OG0000039	ENSXETG00000011586.1, ENSXETG00000011578.1	ENSPTRG00000050321.1, ENSPTRG00000019779.6, ENSPTRG00000004682.4, ENSPTRG00000004684.4, ENSPTRG00000004683.4, ENSPTRG00000047242.1, ENSPTRG00000045940.1, ENSPTRG00000046845.1, ENSPTRG00000032530.3, ENSPTRG00000046810.1, ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1, ENSPTRG00000049303.1, ENSPTRG00000004685.6
OG0000045	ENSXETG00000005669.1, ENSXETG00000005928.1	ENSPTRG00000011172.2
OG0000050	ENSXETG00000021048.1	ENSPTRG00000018763.6
OG0000051	ENSXETG00000019147.1, ENSXETG00000018833.1	ENSPTRG00000012591.6, ENSPTRG00000012595.6, ENSPTRG00000012590.7
OG0000051	ENSXETG00000002390.1	ENSPTRG00000009532.6
OG0000051	ENSXETG00000001983.1	ENSPTRG00000014762.7
OG0000051	ENSXETG00000019242.1	ENSPTRG00000004959.7
OG0000052	ENSXETG00000014881.1, ENSXETG00000014892.1	ENSPTRG00000045499.1, ENSPTRG00000045304.1, ENSPTRG00000045951.1, ENSPTRG00000048564.1, ENSPTRG00000048109.1, ENSPTRG00000045967.1, ENSPTRG00000046905.1, ENSPTRG00000046436.1, ENSPTRG00000043709.1, ENSPTRG00000047479.1, ENSPTRG00000049224.1, ENSPTRG00000047741.1, ENSPTRG00000050303.1, ENSPTRG00000043877.1, ENSPTRG00000052207.1
OG0000055	ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1	ENSPTRG00000034080.3
OG0000057	ENSXETG00000016809.1	ENSPTRG00000048232.1
OG0000059	ENSXETG00000002612.1	ENSPTRG00000048969.1
OG0000059	ENSXETG00000003222.1	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6
OG0000059	ENSXETG00000018409.1	ENSPTRG00000006890.4
OG0000059	ENSXETG00000016356.1	ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1	ENSPTRG00000004659.4, ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1
OG0000062	ENSXETG00000020477.1, ENSXETG00000021248.1	ENSPTRG00000001180.6
OG0000065	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1	ENSPTRG00000006682.3
OG0000065	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1	ENSPTRG00000006681.6, ENSPTRG00000006683.3, ENSPTRG00000023582.6, ENSPTRG00000023666.5
OG0000069	ENSXETG00000010603.1	ENSPTRG00000005060.3
OG0000069	ENSXETG00000016879.1, ENSXETG00000016859.1, ENSXETG00000012063.1, ENSXETG00000016886.1, ENSXETG00000016817.1, ENSXETG00000012062.1	ENSPTRG00000005112.4
OG0000072	ENSXETG00000016641.1	ENSPTRG00000023694.5, ENSPTRG00000003796.6
OG0000072	ENSXETG00000016735.1	ENSPTRG00000018194.7
OG0000072	ENSXETG00000017539.1	ENSPTRG00000052347.1
OG0000072	ENSXETG00000001264.1, ENSXETG00000001222.1	ENSPTRG00000023703.5, ENSPTRG00000003841.6, ENSPTRG00000003799.5, ENSPTRG00000003797.6, ENSPTRG00000024251.5, ENSPTRG00000003800.7
OG0000073	ENSXETG00000013236.1, ENSXETG00000014295.1	ENSPTRG00000029753.4, ENSPTRG00000029754.4, ENSPTRG00000040614.2, ENSPTRG00000049334.1
OG0000073	ENSXETG00000018563.1	ENSPTRG00000043209.1, ENSPTRG00000050744.1, ENSPTRG00000052825.1, ENSPTRG00000051554.1, ENSPTRG00000004404.6
OG0000073	ENSXETG00000000353.1	ENSPTRG00000006439.5
OG0000074	ENSXETG00000005506.1	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1
OG0000076	ENSXETG00000014707.1, ENSXETG00000003785.1, ENSXETG00000003794.1, ENSXETG00000014671.1, ENSXETG00000014682.1, ENSXETG00000014726.1, ENSXETG00000003774.1, ENSXETG00000014635.1	ENSPTRG00000049078.1, ENSPTRG00000043697.1, ENSPTRG00000043764.1, ENSPTRG00000052458.1, ENSPTRG00000046492.1, ENSPTRG00000050708.1, ENSPTRG00000050616.1
OG0000078	ENSXETG00000014121.1, ENSXETG00000008482.1, ENSXETG00000015519.1, ENSXETG00000005115.1, ENSXETG00000001802.1, ENSXETG00000010636.1, ENSXETG00000003923.1, ENSXETG00000003458.1, ENSXETG00000006717.1, ENSXETG00000003972.1, ENSXETG00000012435.1, ENSXETG00000005278.1, ENSXETG00000005508.1, ENSXETG00000001212.1, ENSXETG00000007194.1, ENSXETG00000006440.1, ENSXETG00000001560.1, ENSXETG00000002452.1, ENSXETG00000012252.1, ENSXETG00000018100.1, ENSXETG00000003273.1, ENSXETG00000019891.1, ENSXETG00000014957.1, ENSXETG00000014736.1, ENSXETG00000014658.1, ENSXETG00000019793.1, ENSXETG00000007864.1, ENSXETG00000018383.1, ENSXETG00000019943.1, ENSXETG00000003981.1, ENSXETG00000007288.1, ENSXETG00000013308.1, ENSXETG00000021411.1, ENSXETG00000006293.1, ENSXETG00000017473.1, ENSXETG00000009835.1, ENSXETG00000006996.1, ENSXETG00000019617.1	ENSPTRG00000047645.1
OG0000079	ENSXETG00000019724.1, ENSXETG00000018500.1	ENSPTRG00000046992.1, ENSPTRG00000052324.1, ENSPTRG00000052787.1, ENSPTRG00000049138.1, ENSPTRG00000046904.1, ENSPTRG00000049879.1, ENSPTRG00000040773.2, ENSPTRG00000052858.1
OG0000081	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1	ENSPTRG00000004955.4
OG0000081	ENSXETG00000004157.1, ENSXETG00000005859.1	ENSPTRG00000034262.3, ENSPTRG00000049760.1
OG0000081	ENSXETG00000004100.1	ENSPTRG00000000197.7
OG0000081	ENSXETG00000005580.1, ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1
OG0000083	ENSXETG00000012891.1	ENSPTRG00000046869.1
OG0000083	ENSXETG00000006371.1, ENSXETG00000006376.1	ENSPTRG00000009039.6, ENSPTRG00000047483.1, ENSPTRG00000045727.1, ENSPTRG00000009037.6, ENSPTRG00000043187.1, ENSPTRG00000030907.4, ENSPTRG00000033677.3
OG0000085	ENSXETG00000001562.1	ENSPTRG00000006031.6
OG0000085	ENSXETG00000009001.1	ENSPTRG00000022173.6
OG0000085	ENSXETG00000001486.1	ENSPTRG00000006032.7
OG0000085	ENSXETG00000008608.1	ENSPTRG00000022171.7
OG0000086	ENSXETG00000001876.1	ENSPTRG00000013737.4
OG0000086	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1	ENSPTRG00000016737.5, ENSPTRG00000048890.1, ENSPTRG00000051935.1, ENSPTRG00000051235.1, ENSPTRG00000047542.1, ENSPTRG00000018347.7
OG0000087	ENSXETG00000005882.1	ENSPTRG00000008746.7
OG0000087	ENSXETG00000019782.1	ENSPTRG00000007810.7
OG0000087	ENSXETG00000011830.1	ENSPTRG00000014309.6
OG0000087	ENSXETG00000015761.1	ENSPTRG00000011333.6
OG0000090	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1	ENSPTRG00000022723.5, ENSPTRG00000008128.6, ENSPTRG00000008209.4, ENSPTRG00000051277.1
OG0000091	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1	ENSPTRG00000000940.5, ENSPTRG00000000938.6, ENSPTRG00000034354.2, ENSPTRG00000000937.5, ENSPTRG00000000934.6, ENSPTRG00000048580.1, ENSPTRG00000000935.6, ENSPTRG00000000939.6
OG0000092	ENSXETG00000018099.1	ENSPTRG00000007141.6
OG0000093	ENSXETG00000021066.1	ENSPTRG00000005286.7
OG0000093	ENSXETG00000012846.1	ENSPTRG00000001873.7
OG0000093	ENSXETG00000005871.1	ENSPTRG00000022399.4
OG0000093	ENSXETG00000006206.1	ENSPTRG00000014620.7
OG0000094	ENSXETG00000000933.1	ENSPTRG00000016608.5
OG0000094	ENSXETG00000000896.1	ENSPTRG00000030707.2, ENSPTRG00000048603.1, ENSPTRG00000006493.6
OG0000095	ENSXETG00000005045.1, ENSXETG00000015661.1	ENSPTRG00000009610.3, ENSPTRG00000030785.2, ENSPTRG00000009615.6, ENSPTRG00000009613.5, ENSPTRG00000050623.1, ENSPTRG00000022952.5, ENSPTRG00000009611.3
OG0000096	ENSXETG00000016928.1, ENSXETG00000017521.1, ENSXETG00000019046.1, ENSXETG00000019139.1	ENSPTRG00000024368.3, ENSPTRG00000028369.3, ENSPTRG00000004412.3, ENSPTRG00000004416.6, ENSPTRG00000044958.1, ENSPTRG00000004420.3, ENSPTRG00000044709.1, ENSPTRG00000047513.1
OG0000099	ENSXETG00000001208.1	ENSPTRG00000012967.5
OG0000099	ENSXETG00000013697.1	ENSPTRG00000018428.5
OG0000099	ENSXETG00000004436.1	ENSPTRG00000015127.3
OG0000099	ENSXETG00000003855.1	ENSPTRG00000000316.6, ENSPTRG00000015134.6
OG0000099	ENSXETG00000008942.1, ENSXETG00000006635.1	ENSPTRG00000016095.5
OG0000100	ENSXETG00000019033.1, ENSXETG00000018055.1	ENSPTRG00000020084.5, ENSPTRG00000020085.4
OG0000101	ENSXETG00000020222.1	ENSPTRG00000049344.1, ENSPTRG00000005080.7
OG0000101	ENSXETG00000002189.1	ENSPTRG00000012879.6
OG0000101	ENSXETG00000008691.1	ENSPTRG00000024314.6
OG0000101	ENSXETG00000007676.1	ENSPTRG00000014860.6
OG0000102	ENSXETG00000004528.1	ENSPTRG00000003422.7, ENSPTRG00000003423.6, ENSPTRG00000049319.1, ENSPTRG00000007125.6, ENSPTRG00000047792.1, ENSPTRG00000050528.1, ENSPTRG00000050437.1, ENSPTRG00000043159.1, ENSPTRG00000003421.5, ENSPTRG00000004762.5, ENSPTRG00000042933.1, ENSPTRG00000052843.1
OG0000106	ENSXETG00000004466.1	ENSPTRG00000044399.1, ENSPTRG00000032634.2, ENSPTRG00000031176.4, ENSPTRG00000049417.1
OG0000106	ENSXETG00000017121.1	ENSPTRG00000052830.1, ENSPTRG00000012676.4, ENSPTRG00000018253.5
OG0000107	ENSXETG00000009765.1, ENSXETG00000003555.1, ENSXETG00000015608.1	ENSPTRG00000049794.1, ENSPTRG00000028486.3, ENSPTRG00000031266.4
OG0000108	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1	ENSPTRG00000019458.7, ENSPTRG00000033773.3, ENSPTRG00000019459.7, ENSPTRG00000019461.7, ENSPTRG00000048873.1
OG0000109	ENSXETG00000007832.1	ENSPTRG00000031142.2, ENSPTRG00000028419.5, ENSPTRG00000007693.4, ENSPTRG00000038833.2, ENSPTRG00000048020.1
OG0000110	ENSXETG00000002348.1	ENSPTRG00000006589.6
OG0000110	ENSXETG00000000543.1	ENSPTRG00000003843.6
OG0000110	ENSXETG00000013548.1	ENSPTRG00000047199.1
OG0000111	ENSXETG00000007548.1	ENSPTRG00000016192.3
OG0000111	ENSXETG00000000914.1	ENSPTRG00000045367.1, ENSPTRG00000019200.6, ENSPTRG00000046053.1, ENSPTRG00000048384.1
OG0000111	ENSXETG00000006548.1	ENSPTRG00000044122.1, ENSPTRG00000017222.6
OG0000111	ENSXETG00000017510.1	ENSPTRG00000022227.7
OG0000112	ENSXETG00000008621.1	ENSPTRG00000022603.4, ENSPTRG00000031179.3, ENSPTRG00000031178.3, ENSPTRG00000043598.1, ENSPTRG00000043146.1, ENSPTRG00000050567.1, ENSPTRG00000039427.2, ENSPTRG00000016116.6
OG0000113	ENSXETG00000021352.1	ENSPTRG00000018280.6, ENSPTRG00000032454.4, ENSPTRG00000048903.1, ENSPTRG00000018284.3, ENSPTRG00000032453.3, ENSPTRG00000018285.3
OG0000115	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1	ENSPTRG00000008721.5, ENSPTRG00000008724.5, ENSPTRG00000008723.4
OG0000115	ENSXETG00000002691.1	ENSPTRG00000002458.5
OG0000116	ENSXETG00000003024.1	ENSPTRG00000042666.1, ENSPTRG00000009171.4, ENSPTRG00000009172.6, ENSPTRG00000008819.6, ENSPTRG00000009173.6
OG0000116	ENSXETG00000002922.1	ENSPTRG00000009132.5, ENSPTRG00000009166.5, ENSPTRG00000009167.5, ENSPTRG00000009168.5
OG0000118	ENSXETG00000000892.1, ENSXETG00000000902.1	ENSPTRG00000011092.4
OG0000119	ENSXETG00000008731.1	ENSPTRG00000000350.6
OG0000119	ENSXETG00000012191.1	ENSPTRG00000017982.6
OG0000119	ENSXETG00000001974.1	ENSPTRG00000013882.5, ENSPTRG00000018230.7
OG0000120	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1	ENSPTRG00000017807.3, ENSPTRG00000017796.3, ENSPTRG00000017810.3, ENSPTRG00000017819.4, ENSPTRG00000017858.3, ENSPTRG00000017804.2
OG0000122	ENSXETG00000010024.1	ENSPTRG00000017893.4, ENSPTRG00000044200.1, ENSPTRG00000047098.1
OG0000126	ENSXETG00000018540.1	ENSPTRG00000021048.7
OG0000126	ENSXETG00000021190.1	ENSPTRG00000021047.6
OG0000129	ENSXETG00000010610.1	ENSPTRG00000013505.6
OG0000129	ENSXETG00000020896.1	ENSPTRG00000009851.6
OG0000129	ENSXETG00000018955.1	ENSPTRG00000000447.7
OG0000129	ENSXETG00000020932.1	ENSPTRG00000018587.7
OG0000130	ENSXETG00000005046.1	ENSPTRG00000009982.7, ENSPTRG00000001293.7, ENSPTRG00000034360.3
OG0000131	ENSXETG00000021214.1	ENSPTRG00000014010.6
OG0000131	ENSXETG00000005085.1	ENSPTRG00000005018.6, ENSPTRG00000012025.5
OG0000136	ENSXETG00000021421.1	ENSPTRG00000052293.1
OG0000136	ENSXETG00000010463.1	ENSPTRG00000018793.6
OG0000136	ENSXETG00000013406.1	ENSPTRG00000000387.6
OG0000136	ENSXETG00000009967.1	ENSPTRG00000022064.4
OG0000137	ENSXETG00000008151.1	ENSPTRG00000019421.3
OG0000137	ENSXETG00000011285.1	ENSPTRG00000021750.6
OG0000137	ENSXETG00000011177.1	ENSPTRG00000012642.6
OG0000138	ENSXETG00000013594.1	ENSPTRG00000052479.1, ENSPTRG00000046598.1
OG0000138	ENSXETG00000003380.1	ENSPTRG00000047621.1, ENSPTRG00000047270.1, ENSPTRG00000044952.1, ENSPTRG00000051497.1, ENSPTRG00000030133.2, ENSPTRG00000012951.6
OG0000143	ENSXETG00000000948.1, ENSXETG00000005553.1	ENSPTRG00000020152.4
OG0000143	ENSXETG00000020664.1	ENSPTRG00000002655.6
OG0000143	ENSXETG00000019731.1	ENSPTRG00000002653.5
OG0000145	ENSXETG00000019119.1, ENSXETG00000002868.1	ENSPTRG00000013550.5
OG0000146	ENSXETG00000016291.1, ENSXETG00000016341.1, ENSXETG00000010028.1	ENSPTRG00000014859.5, ENSPTRG00000049614.1, ENSPTRG00000007661.4
OG0000146	ENSXETG00000010005.1, ENSXETG00000009719.1, ENSXETG00000009980.1, ENSXETG00000009594.1, ENSXETG00000009946.1, ENSXETG00000009921.1, ENSXETG00000009738.1, ENSXETG00000009419.1, ENSXETG00000009233.1, ENSXETG00000009516.1, ENSXETG00000009119.1	ENSPTRG00000012456.6
