Orthogroup	X_tropicalis.pep	H_sapiens.pep
OG0000042	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2
OG0000045	ENSXETG00000005669.1, ENSXETG00000005928.1	ENSG00000188425.4
OG0000050	ENSXETG00000021048.1	ENSG00000130368.6
OG0000051	ENSXETG00000019147.1, ENSXETG00000018833.1	ENSG00000136531.17, ENSG00000144285.21, ENSG00000153253.18
OG0000051	ENSXETG00000002390.1	ENSG00000007314.12
OG0000051	ENSXETG00000001983.1	ENSG00000183873.16
OG0000051	ENSXETG00000019242.1	ENSG00000196876.17
OG0000052	ENSXETG00000014881.1, ENSXETG00000014892.1	ENSG00000211785.1, ENSG00000211789.2, ENSG00000211794.3, ENSG00000211801.3, ENSG00000211780.3, ENSG00000211781.3, ENSG00000211800.3, ENSG00000211810.3, ENSG00000211803.2, ENSG00000211779.3, ENSG00000211791.2, ENSG00000211788.2
OG0000055	ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11
OG0000056	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9
OG0000059	ENSXETG00000002612.1	ENSG00000184009.12
OG0000059	ENSXETG00000003222.1	ENSG00000075624.16
OG0000059	ENSXETG00000021252.1	ENSG00000159251.8
OG0000059	ENSXETG00000016356.1	ENSG00000163017.14, ENSG00000107796.13
OG0000061	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1	ENSG00000110848.8, ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15
OG0000062	ENSXETG00000020477.1, ENSXETG00000021248.1	ENSG00000134193.15
OG0000065	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1	ENSG00000165953.9
OG0000065	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1	ENSG00000170054.14, ENSG00000100665.12, ENSG00000196136.18, ENSG00000258597.3, ENSG00000274821.4, ENSG00000277377.4, ENSG00000197249.14
OG0000069	ENSXETG00000010603.1	ENSG00000135437.9
OG0000069	ENSXETG00000016879.1, ENSXETG00000016859.1, ENSXETG00000012063.1, ENSXETG00000016886.1, ENSXETG00000016817.1, ENSXETG00000012062.1	ENSG00000170426.2
OG0000072	ENSXETG00000016641.1	ENSG00000197901.11, ENSG00000149452.16
OG0000072	ENSXETG00000016735.1	ENSG00000137204.14
OG0000072	ENSXETG00000001264.1, ENSXETG00000001222.1	ENSG00000168065.16, ENSG00000197891.12, ENSG00000184999.12, ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10
OG0000073	ENSXETG00000013236.1, ENSXETG00000014295.1	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6, ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6, ENSG00000173110.8
OG0000073	ENSXETG00000018563.1	ENSG00000109971.14
OG0000073	ENSXETG00000000353.1	ENSG00000126803.9
OG0000074	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1	ENSG00000129437.10
OG0000074	ENSXETG00000005506.1	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5
OG0000076	ENSXETG00000014707.1, ENSXETG00000003785.1, ENSXETG00000003794.1, ENSXETG00000014671.1, ENSXETG00000014682.1, ENSXETG00000014726.1, ENSXETG00000003774.1, ENSXETG00000014635.1	ENSG00000211798.3, ENSG00000211783.3, ENSG00000211793.2, ENSG00000211808.3, ENSG00000211795.3, ENSG00000211777.2, ENSG00000211796.1
OG0000078	ENSXETG00000014121.1, ENSXETG00000008482.1, ENSXETG00000015519.1, ENSXETG00000005115.1, ENSXETG00000001802.1, ENSXETG00000010636.1, ENSXETG00000003923.1, ENSXETG00000003458.1, ENSXETG00000006717.1, ENSXETG00000003972.1, ENSXETG00000012435.1, ENSXETG00000005278.1, ENSXETG00000005508.1, ENSXETG00000001212.1, ENSXETG00000007194.1, ENSXETG00000006440.1, ENSXETG00000001560.1, ENSXETG00000002452.1, ENSXETG00000012252.1, ENSXETG00000018100.1, ENSXETG00000003273.1, ENSXETG00000019891.1, ENSXETG00000014957.1, ENSXETG00000014736.1, ENSXETG00000014658.1, ENSXETG00000019793.1, ENSXETG00000007864.1, ENSXETG00000018383.1, ENSXETG00000019943.1, ENSXETG00000003981.1, ENSXETG00000007288.1, ENSXETG00000013308.1, ENSXETG00000021411.1, ENSXETG00000006293.1, ENSXETG00000017473.1, ENSXETG00000009835.1, ENSXETG00000006996.1, ENSXETG00000019617.1	ENSG00000247315.4
OG0000079	ENSXETG00000019724.1, ENSXETG00000018500.1	ENSG00000211746.3, ENSG00000282621.1, ENSG00000282730.1, ENSG00000211750.2, ENSG00000281963.1, ENSG00000282499.1, ENSG00000282812.1, ENSG00000211753.4, ENSG00000282610.1, ENSG00000282134.1, ENSG00000253534.1, ENSG00000282470.1, ENSG00000253188.1, ENSG00000277110.3, ENSG00000211721.2, ENSG00000211724.3, ENSG00000282459.1, ENSG00000281970.1, ENSG00000211706.2, ENSG00000282240.1, ENSG00000211713.3, ENSG00000282719.1, ENSG00000283063.1, ENSG00000282353.1, ENSG00000282007.1, ENSG00000229769.2, ENSG00000275791.1, ENSG00000282340.1, ENSG00000211717.3, ENSG00000282618.1, ENSG00000211752.3, ENSG00000282234.1
OG0000081	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1	ENSG00000139610.2
OG0000081	ENSXETG00000004157.1, ENSXETG00000005859.1	ENSG00000142615.8, ENSG00000215704.10
OG0000081	ENSXETG00000004100.1	ENSG00000162438.12
OG0000081	ENSXETG00000005580.1, ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1	ENSG00000142789.20, ENSG00000219073.8
OG0000083	ENSXETG00000006371.1, ENSXETG00000006376.1	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2, ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5, ENSG00000275302.2, ENSG00000276409.5, ENSG00000277236.4
OG0000085	ENSXETG00000001562.1	ENSG00000187498.16
OG0000085	ENSXETG00000009001.1	ENSG00000188153.13
OG0000085	ENSXETG00000001486.1	ENSG00000134871.19
OG0000085	ENSXETG00000008608.1	ENSG00000197565.16
OG0000086	ENSXETG00000001876.1	ENSG00000101210.12
OG0000086	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1	ENSG00000156508.18
OG0000087	ENSXETG00000005882.1	ENSG00000133026.12
OG0000087	ENSXETG00000019782.1	ENSG00000276480.5, ENSG00000133392.18
OG0000087	ENSXETG00000011830.1	ENSG00000100345.21
OG0000087	ENSXETG00000015761.1	ENSG00000105357.18
OG0000090	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1	ENSG00000198848.12, ENSG00000262243.5, ENSG00000172824.16, ENSG00000159398.16, ENSG00000261972.5, ENSG00000172831.13
OG0000091	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14
OG0000092	ENSXETG00000018099.1	ENSG00000140416.22
OG0000093	ENSXETG00000021066.1	ENSG00000070961.15
OG0000093	ENSXETG00000012846.1	ENSG00000058668.14
OG0000093	ENSXETG00000005871.1	ENSG00000067842.17
OG0000093	ENSXETG00000006206.1	ENSG00000157087.20
OG0000094	ENSXETG00000000933.1	ENSG00000168594.15
OG0000094	ENSXETG00000000896.1	ENSG00000134007.5, ENSG00000139985.7
OG0000095	ENSXETG00000005045.1, ENSXETG00000015661.1	ENSG00000178789.9, ENSG00000204345.1, ENSG00000186074.19, ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4
OG0000096	ENSXETG00000016928.1, ENSXETG00000017521.1, ENSXETG00000019046.1, ENSXETG00000019139.1	ENSG00000279116.2, ENSG00000196341.3, ENSG00000181518.4, ENSG00000196119.8, ENSG00000197849.6, ENSG00000255298.3
OG0000099	ENSXETG00000001208.1	ENSG00000116106.12
OG0000099	ENSXETG00000013697.1	ENSG00000135333.14
OG0000099	ENSXETG00000004436.1	ENSG00000044524.11
OG0000099	ENSXETG00000003855.1	ENSG00000070886.12, ENSG00000080224.17
OG0000099	ENSXETG00000008942.1, ENSXETG00000006635.1	ENSG00000145242.13
OG0000100	ENSXETG00000019033.1, ENSXETG00000018055.1	ENSG00000042980.13, ENSG00000134028.14
OG0000101	ENSXETG00000020222.1	ENSG00000092841.18
OG0000101	ENSXETG00000002189.1	ENSG00000168530.16
OG0000101	ENSXETG00000008691.1	ENSG00000198336.9
OG0000101	ENSXETG00000007676.1	ENSG00000160808.11
OG0000102	ENSXETG00000004528.1	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14, ENSG00000111716.14, ENSG00000285854.1
OG0000106	ENSXETG00000004466.1	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17
OG0000106	ENSXETG00000017121.1	ENSG00000170144.20
OG0000107	ENSXETG00000009765.1, ENSXETG00000003555.1, ENSXETG00000015608.1	ENSG00000235780.3, ENSG00000227140.3, ENSG00000228856.3, ENSG00000231051.3, ENSG00000285497.1, ENSG00000226430.6, ENSG00000227551.1, ENSG00000231637.3, ENSG00000223569.6, ENSG00000233136.2, ENSG00000248920.2, ENSG00000232399.3, ENSG00000249104.2, ENSG00000231396.2, ENSG00000232264.4, ENSG00000229579.4, ENSG00000230430.4, ENSG00000249811.2, ENSG00000250745.2, ENSG00000248933.2, ENSG00000250844.2, ENSG00000250913.2, ENSG00000284990.1, ENSG00000223443.2, ENSG00000237038.5, ENSG00000284781.1, ENSG00000236125.3, ENSG00000230549.3, ENSG00000284806.1, ENSG00000225327.3
OG0000108	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16
OG0000109	ENSXETG00000007832.1	ENSG00000180346.3, ENSG00000183340.7, ENSG00000140993.11, ENSG00000221944.8, ENSG00000177946.6, ENSG00000234616.9
OG0000110	ENSXETG00000002348.1	ENSG00000021645.19
OG0000110	ENSXETG00000000543.1	ENSG00000110076.19
OG0000110	ENSXETG00000013548.1	ENSG00000179915.23
OG0000111	ENSXETG00000007548.1	ENSG00000138758.11
OG0000111	ENSXETG00000000914.1	ENSG00000154997.9, ENSG00000186522.15
OG0000111	ENSXETG00000006548.1	ENSG00000164402.14
OG0000111	ENSXETG00000017510.1	ENSG00000125354.23
OG0000112	ENSXETG00000008621.1	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5
OG0000113	ENSXETG00000021352.1	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15, ENSG00000170899.11
OG0000115	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11
OG0000115	ENSXETG00000002691.1	ENSG00000012779.11, ENSG00000275565.4
OG0000116	ENSXETG00000003024.1	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17
OG0000116	ENSXETG00000002922.1	ENSG00000186395.8, ENSG00000171401.15, ENSG00000171346.16, ENSG00000171345.13
OG0000118	ENSXETG00000000892.1, ENSXETG00000000902.1	ENSG00000124449.7
OG0000119	ENSXETG00000008731.1	ENSG00000169504.15
OG0000119	ENSXETG00000012191.1	ENSG00000213719.8, ENSG00000206394.8, ENSG00000226248.6, ENSG00000226417.6, ENSG00000226651.6, ENSG00000223639.6, ENSG00000230685.6
OG0000119	ENSXETG00000001974.1	ENSG00000159212.12, ENSG00000112782.19
OG0000120	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1	ENSG00000187475.5, ENSG00000124610.4, ENSG00000168298.6, ENSG00000124575.6, ENSG00000184357.4, ENSG00000187837.3
OG0000122	ENSXETG00000010024.1	ENSG00000251608.2, ENSG00000227446.2, ENSG00000225247.4, ENSG00000280236.3, ENSG00000233481.4, ENSG00000204690.6, ENSG00000235966.4, ENSG00000204692.9, ENSG00000224487.8, ENSG00000251394.6, ENSG00000250364.6, ENSG00000112462.8, ENSG00000242022.8
OG0000126	ENSXETG00000018540.1	ENSG00000196781.16
OG0000126	ENSXETG00000021190.1	ENSG00000106829.19
OG0000129	ENSXETG00000010610.1	ENSG00000196090.12
OG0000129	ENSXETG00000020896.1	ENSG00000173482.16
OG0000129	ENSXETG00000018955.1	ENSG00000060656.20
OG0000129	ENSXETG00000020932.1	ENSG00000152894.14, ENSG00000273993.4
OG0000130	ENSXETG00000005046.1	ENSG00000101489.20, ENSG00000159409.15, ENSG00000273025.1, ENSG00000140488.16
