Orthogroup	X_tropicalis.pep	N_naja.pep
OG0000126	ENSXETG00000021190.1	Nana11690-RA
OG0000129	ENSXETG00000010610.1	Nana13746-RA
OG0000129	ENSXETG00000020896.1	Nana16117-RA
OG0000129	ENSXETG00000018955.1	Nana30228-RA
OG0000129	ENSXETG00000020932.1	Nana30225-RA, Nana01987-RA
OG0000130	ENSXETG00000005046.1	Nana36269-RA, Nana33055-RA
OG0000131	ENSXETG00000005085.1	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB
OG0000134	ENSXETG00000017896.1	Nana13327-RA
OG0000136	ENSXETG00000021421.1	Nana25848-RA
OG0000136	ENSXETG00000010463.1	Nana01675-RA, Nana01675-RB
OG0000136	ENSXETG00000013406.1	Nana30115-RA
OG0000136	ENSXETG00000009967.1	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	ENSXETG00000008151.1	Nana21626-RB, Nana21626-RA
OG0000137	ENSXETG00000011177.1	Nana03410-RA, Nana03410-RB
OG0000138	ENSXETG00000013594.1	Nana21262-RA
OG0000138	ENSXETG00000003380.1	Nana08323-RA, Nana03937-RA, Nana03939-RA
OG0000140	ENSXETG00000014286.1	Nana08095-RA, Nana26831-RA, Nana23487-RA, Nana22120-RA, Nana22339-RA
OG0000143	ENSXETG00000000948.1, ENSXETG00000005553.1	Nana28454-RA
OG0000143	ENSXETG00000020664.1	Nana18923-RA, Nana18922-RA
OG0000143	ENSXETG00000019731.1	Nana18920-RA
OG0000145	ENSXETG00000017104.1, ENSXETG00000001363.1	Nana08336-RA
OG0000146	ENSXETG00000016291.1, ENSXETG00000016341.1, ENSXETG00000010028.1	Nana23491-RA
OG0000146	ENSXETG00000010005.1, ENSXETG00000009719.1, ENSXETG00000009980.1, ENSXETG00000009594.1, ENSXETG00000009946.1, ENSXETG00000009921.1, ENSXETG00000009738.1, ENSXETG00000009419.1, ENSXETG00000009233.1, ENSXETG00000009516.1, ENSXETG00000009119.1	Nana23497-RA, Nana23499-RA
OG0000147	ENSXETG00000018873.1	Nana19440-RA
OG0000147	ENSXETG00000004690.1	Nana18452-RA
OG0000147	ENSXETG00000012866.1	Nana09013-RA
OG0000147	ENSXETG00000002709.1	Nana28363-RA
OG0000149	ENSXETG00000009281.1	Nana30761-RA, Nana30762-RA
OG0000149	ENSXETG00000008787.1	Nana01559-RA
OG0000149	ENSXETG00000008935.1	Nana04942-RA
OG0000150	ENSXETG00000008789.1	Nana34190-RB, Nana34190-RA, Nana34186-RA, Nana34187-RB, Nana34187-RA
OG0000151	ENSXETG00000014196.1, ENSXETG00000014180.1, ENSXETG00000013814.1, ENSXETG00000014192.1, ENSXETG00000014225.1, ENSXETG00000013556.1	Nana14459-RA, Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	ENSXETG00000013593.1	Nana11108-RA, Nana30407-RA
OG0000154	ENSXETG00000014539.1	Nana21272-RA
OG0000154	ENSXETG00000008186.1	Nana03716-RA
OG0000155	ENSXETG00000016250.1	Nana27596-RB, Nana27596-RA
OG0000155	ENSXETG00000016171.1	Nana27598-RA, Nana27600-RA
OG0000156	ENSXETG00000004141.1	Nana04038-RA, Nana04034-RA, Nana04040-RA, Nana04043-RA, Nana04035-RA, Nana04045-RA, Nana02904-RA
OG0000157	ENSXETG00000008491.1, ENSXETG00000005461.1, ENSXETG00000005750.1, ENSXETG00000017191.1, ENSXETG00000005007.1, ENSXETG00000000214.1, ENSXETG00000020365.1, ENSXETG00000003635.1, ENSXETG00000000155.1, ENSXETG00000012406.1, ENSXETG00000015726.1, ENSXETG00000012393.1, ENSXETG00000021001.1, ENSXETG00000014503.1, ENSXETG00000009360.1, ENSXETG00000014248.1, ENSXETG00000008020.1, ENSXETG00000009216.1, ENSXETG00000010931.1, ENSXETG00000017805.1, ENSXETG00000019058.1, ENSXETG00000005853.1, ENSXETG00000013480.1, ENSXETG00000013566.1, ENSXETG00000003169.1, ENSXETG00000020658.1, ENSXETG00000008966.1, ENSXETG00000011018.1, ENSXETG00000006215.1, ENSXETG00000018584.1, ENSXETG00000016025.1, ENSXETG00000012486.1, ENSXETG00000007206.1, ENSXETG00000014880.1, ENSXETG00000003405.1, ENSXETG00000013969.1, ENSXETG00000016234.1, ENSXETG00000016226.1	Nana22164-RA
OG0000158	ENSXETG00000001031.1	Nana36405-RA, Nana10438-RA
OG0000158	ENSXETG00000015274.1	Nana37069-RA, Nana37069-RB
OG0000158	ENSXETG00000001026.1	Nana39299-RA
OG0000159	ENSXETG00000008449.1, ENSXETG00000008452.1	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	ENSXETG00000008293.1, ENSXETG00000008355.1	Nana06954-RA
OG0000162	ENSXETG00000010611.1	Nana01233-RA
OG0000162	ENSXETG00000000714.1, ENSXETG00000000377.1	Nana01232-RB
OG0000162	ENSXETG00000010146.1	Nana01383-RB, Nana01383-RC, Nana01383-RA, Nana35924-RA
OG0000163	ENSXETG00000019027.1	Nana10880-RA
OG0000163	ENSXETG00000000198.1	Nana11460-RA, Nana14489-RA
OG0000164	ENSXETG00000010838.1, ENSXETG00000010758.1, ENSXETG00000003168.1, ENSXETG00000020731.1, ENSXETG00000010802.1, ENSXETG00000016734.1, ENSXETG00000010778.1, ENSXETG00000002971.1, ENSXETG00000017014.1, ENSXETG00000016672.1, ENSXETG00000016626.1, ENSXETG00000002947.1, ENSXETG00000011170.1, ENSXETG00000010892.1, ENSXETG00000011241.1	Nana02902-RA, Nana02891-RB, Nana02893-RA, Nana02894-RB, Nana02894-RA, Nana02901-RA, Nana02890-RD, Nana02890-RC, Nana02890-RB
OG0000169	ENSXETG00000003385.1	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	ENSXETG00000019135.1	Nana29768-RA
OG0000169	ENSXETG00000014902.1	Nana13679-RA
OG0000171	ENSXETG00000002725.1	Nana17788-RA, Nana17787-RA
OG0000171	ENSXETG00000002747.1, ENSXETG00000008984.1, ENSXETG00000002772.1, ENSXETG00000002585.1, ENSXETG00000001584.1	Nana17789-RA
OG0000172	ENSXETG00000003587.1	Nana08296-RA, Nana14058-RA
OG0000172	ENSXETG00000019930.1	Nana27786-RA
OG0000172	ENSXETG00000009655.1	Nana10639-RA
OG0000174	ENSXETG00000013730.1	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD
OG0000174	ENSXETG00000020300.1	Nana27734-RA
OG0000174	ENSXETG00000009711.1	Nana39652-RA, Nana39652-RB, Nana08485-RD, Nana08485-RC, Nana08485-RB
OG0000179	ENSXETG00000010826.1	Nana19279-RA, Nana19294-RA, Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA
OG0000181	ENSXETG00000015307.1, ENSXETG00000016035.1	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA
OG0000183	ENSXETG00000016403.1	Nana14703-RA
OG0000183	ENSXETG00000015211.1	Nana24962-RA
OG0000183	ENSXETG00000007683.1	Nana28668-RA, Nana28665-RA
OG0000184	ENSXETG00000016856.1	Nana12380-RA
OG0000184	ENSXETG00000017083.1	Nana33040-RA
OG0000184	ENSXETG00000015623.1	Nana36072-RA
OG0000184	ENSXETG00000016639.1	Nana06340-RA
OG0000185	ENSXETG00000010784.1	Nana21120-RA
OG0000185	ENSXETG00000018795.1	Nana08360-RA
OG0000185	ENSXETG00000006389.1	Nana10173-RA
OG0000186	ENSXETG00000006246.1	Nana18448-RA
OG0000186	ENSXETG00000021374.1	Nana19444-RA
OG0000186	ENSXETG00000020407.1	Nana09006-RA
OG0000187	ENSXETG00000009907.1	Nana02631-RA
OG0000187	ENSXETG00000018919.1	Nana14009-RA
OG0000187	ENSXETG00000015187.1, ENSXETG00000017358.1	Nana08636-RA
OG0000188	ENSXETG00000013051.1, ENSXETG00000000926.1, ENSXETG00000000905.1, ENSXETG00000011284.1, ENSXETG00000011305.1, ENSXETG00000011432.1, ENSXETG00000011340.1, ENSXETG00000011354.1, ENSXETG00000011380.1, ENSXETG00000011400.1, ENSXETG00000011330.1, ENSXETG00000011410.1	Nana10451-RA, Nana10448-RA, Nana10449-RA
OG0000193	ENSXETG00000019382.1	Nana34739-RA, Nana34739-RB
OG0000194	ENSXETG00000000522.1	Nana04300-RA
OG0000194	ENSXETG00000007481.1	Nana23580-RB, Nana23580-RA
OG0000194	ENSXETG00000010792.1	Nana13959-RA
OG0000196	ENSXETG00000010133.1	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA
OG0000197	ENSXETG00000000704.1	Nana18220-RA
OG0000197	ENSXETG00000007896.1	Nana09163-RA
OG0000197	ENSXETG00000002827.1	Nana25443-RA
OG0000197	ENSXETG00000021187.1	Nana32135-RA
OG0000198	ENSXETG00000010403.1	Nana29992-RA
OG0000198	ENSXETG00000017810.1	Nana17024-RD, Nana17024-RB
OG0000199	ENSXETG00000009721.1	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC
OG0000199	ENSXETG00000007730.1	Nana30635-RA
OG0000199	ENSXETG00000009444.1	Nana36358-RA
OG0000200	ENSXETG00000012495.1	Nana11623-RA
OG0000200	ENSXETG00000005689.1	Nana06294-RA
OG0000201	ENSXETG00000013252.1	Nana14043-RA
OG0000201	ENSXETG00000004668.1	Nana10669-RA
OG0000201	ENSXETG00000017674.1	Nana07920-RC
OG0000202	ENSXETG00000010092.1	Nana19477-RA, Nana28348-RA
OG0000202	ENSXETG00000017325.1	Nana19472-RA
OG0000203	ENSXETG00000018733.1	Nana12325-RA
OG0000203	ENSXETG00000007825.1	Nana10784-RA
OG0000203	ENSXETG00000017823.1	Nana14670-RA
OG0000203	ENSXETG00000015659.1	Nana06067-RA
OG0000204	ENSXETG00000005102.1	Nana22989-RJ, Nana22989-RG, Nana22989-RH, Nana22989-RI, Nana22989-RK, Nana22993-RM, Nana22993-RK, Nana22993-RL, Nana22993-RJ, Nana22993-RI, Nana22995-RA, Nana22989-RA, Nana22989-RE, Nana22989-RD, Nana22989-RF, Nana22989-RC, Nana22993-RD, Nana22993-RC, Nana22993-RA, Nana22993-RB, Nana22993-RE, Nana22993-RF, Nana22993-RH, Nana22989-RB, Nana22997-RA, Nana22989-RM
OG0000205	ENSXETG00000017816.1, ENSXETG00000019929.1, ENSXETG00000019612.1, ENSXETG00000019613.1, ENSXETG00000019129.1, ENSXETG00000019124.1, ENSXETG00000017955.1, ENSXETG00000017259.1	Nana19313-RA, Nana19312-RA, Nana19314-RA, Nana19315-RA
OG0000212	ENSXETG00000013979.1	Nana00145-RA
OG0000212	ENSXETG00000009573.1	Nana00135-RA
OG0000212	ENSXETG00000010843.1, ENSXETG00000006989.1, ENSXETG00000006782.1, ENSXETG00000016178.1, ENSXETG00000016028.1, ENSXETG00000010836.1	Nana34717-RA
OG0000213	ENSXETG00000017448.1	Nana26049-RA
OG0000213	ENSXETG00000006311.1	Nana26050-RA, Nana09216-RA, Nana26052-RA, Nana09215-RA
OG0000214	ENSXETG00000008364.1, ENSXETG00000008358.1, ENSXETG00000008520.1, ENSXETG00000008531.1, ENSXETG00000008517.1	Nana35941-RA, Nana35936-RA
OG0000216	ENSXETG00000015858.1	Nana12893-RF, Nana12893-RE, Nana12893-RD, Nana06004-RA
OG0000217	ENSXETG00000004963.1	Nana17917-RA, Nana28484-RA, Nana18823-RA, Nana08830-RA
OG0000218	ENSXETG00000017842.1	Nana19003-RA
OG0000218	ENSXETG00000018205.1	Nana28474-RA
OG0000219	ENSXETG00000003450.1, ENSXETG00000003411.1, ENSXETG00000003399.1	Nana24213-RB, Nana24213-RA, Nana24211-RA, Nana24210-RA, Nana24209-RA, Nana39539-RA, Nana24208-RA, Nana24207-RA
OG0000220	ENSXETG00000017316.1	Nana07784-RA
OG0000220	ENSXETG00000004282.1	Nana07713-RA, Nana07713-RB
