Orthogroup	X_tropicalis.pep	G_gallus.pep
OG0000050	ENSXETG00000021048.1	ENSGALG00000054732.1, ENSGALG00000051203.1, ENSGALG00000037166.2, ENSGALG00000047526.1, ENSGALG00000032803.2, ENSGALG00000011622.4
OG0000051	ENSXETG00000019147.1, ENSXETG00000018833.1	ENSGALG00000011009.6, ENSGALG00000010943.7, ENSGALG00000011040.6
OG0000051	ENSXETG00000002390.1	ENSGALG00000034427.2
OG0000051	ENSXETG00000001983.1	ENSGALG00000027702.3, ENSGALG00000006072.8, ENSGALG00000006112.6
OG0000051	ENSXETG00000019242.1	ENSGALG00000043728.2
OG0000055	ENSXETG00000007575.1, ENSXETG00000009322.1, ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1, ENSXETG00000020116.1	ENSGALG00000041229.2
OG0000056	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2
OG0000057	ENSXETG00000016809.1	ENSGALG00000008283.7, ENSGALG00000045255.2, ENSGALG00000008178.6, ENSGALG00000045351.2
OG0000058	ENSXETG00000015825.1	ENSGALG00000052157.1, ENSGALG00000048857.1, ENSGALG00000053173.1, ENSGALG00000049219.1, ENSGALG00000048560.1, ENSGALG00000044734.2, ENSGALG00000049341.1, ENSGALG00000054582.1, ENSGALG00000052108.1, ENSGALG00000047706.1, ENSGALG00000049069.1, ENSGALG00000049073.1, ENSGALG00000046681.1, ENSGALG00000050537.1, ENSGALG00000049887.1, ENSGALG00000050102.1, ENSGALG00000045335.2, ENSGALG00000052522.1, ENSGALG00000050409.1, ENSGALG00000049991.1, ENSGALG00000054257.1, ENSGALG00000047170.1, ENSGALG00000050454.1, ENSGALG00000050520.1, ENSGALG00000052997.1, ENSGALG00000047828.1, ENSGALG00000049772.1, ENSGALG00000044238.2, ENSGALG00000050356.1, ENSGALG00000049351.1, ENSGALG00000053933.1, ENSGALG00000045984.2, ENSGALG00000054035.1, ENSGALG00000045962.2, ENSGALG00000050186.1, ENSGALG00000048095.1, ENSGALG00000047968.1, ENSGALG00000048665.1, ENSGALG00000052635.1, ENSGALG00000052158.1, ENSGALG00000054532.1, ENSGALG00000046707.1, ENSGALG00000053475.1, ENSGALG00000051508.1, ENSGALG00000054995.1, ENSGALG00000051424.1, ENSGALG00000051916.1, ENSGALG00000050826.1, ENSGALG00000050139.1, ENSGALG00000044818.2, ENSGALG00000053834.1, ENSGALG00000053798.1, ENSGALG00000046911.1, ENSGALG00000051313.1, ENSGALG00000046517.2, ENSGALG00000047839.1, ENSGALG00000044674.2, ENSGALG00000047682.1, ENSGALG00000033827.3, ENSGALG00000049520.1, ENSGALG00000052513.1, ENSGALG00000045131.2, ENSGALG00000050833.1, ENSGALG00000029286.3, ENSGALG00000048839.1
OG0000059	ENSXETG00000002612.1	ENSGALG00000028749.4
OG0000059	ENSXETG00000003222.1	ENSGALG00000009621.7
OG0000059	ENSXETG00000018409.1	ENSGALG00000009844.7
OG0000059	ENSXETG00000016356.1	ENSGALG00000040415.2, ENSGALG00000006343.6
OG0000061	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1	ENSGALG00000049665.1, ENSGALG00000045540.2, ENSGALG00000042611.3, ENSGALG00000050315.1, ENSGALG00000053510.1, ENSGALG00000042449.2, ENSGALG00000042684.2, ENSGALG00000044598.2, ENSGALG00000047623.1, ENSGALG00000044630.2, ENSGALG00000050091.1, ENSGALG00000044569.2, ENSGALG00000047794.1, ENSGALG00000052376.1, ENSGALG00000051297.1, ENSGALG00000042023.3, ENSGALG00000051677.1, ENSGALG00000028659.2
OG0000062	ENSXETG00000020477.1, ENSXETG00000021248.1	ENSGALG00000002931.6
OG0000065	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1	ENSGALG00000010969.6
OG0000065	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1	ENSGALG00000046409.2, ENSGALG00000020390.5, ENSGALG00000020388.5, ENSGALG00000023070.3
OG0000066	ENSXETG00000003520.1	ENSGALG00000046739.1
OG0000069	ENSXETG00000010603.1	ENSGALG00000034988.3
OG0000069	ENSXETG00000000242.1	ENSGALG00000042928.2
OG0000072	ENSXETG00000016735.1	ENSGALG00000001661.5
OG0000073	ENSXETG00000018563.1	ENSGALG00000006512.6
OG0000074	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1	ENSGALG00000046716.1, ENSGALG00000050594.1, ENSGALG00000048265.1, ENSGALG00000054335.1, ENSGALG00000047647.1, ENSGALG00000054324.1
OG0000074	ENSXETG00000005506.1	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1
OG0000079	ENSXETG00000019724.1, ENSXETG00000018500.1	ENSGALG00000014750.7
OG0000081	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1	ENSGALG00000034825.2
OG0000081	ENSXETG00000004157.1, ENSXETG00000005859.1	ENSGALG00000004568.6
OG0000081	ENSXETG00000004100.1	ENSGALG00000039406.2
OG0000081	ENSXETG00000005580.1	ENSGALG00000027189.3
OG0000083	ENSXETG00000012891.1	ENSGALG00000053868.1, ENSGALG00000032717.2, ENSGALG00000043603.2
OG0000083	ENSXETG00000006371.1, ENSXETG00000006376.1	ENSGALG00000034478.2
OG0000085	ENSXETG00000001562.1	ENSGALG00000036798.3
OG0000085	ENSXETG00000009001.1	ENSGALG00000008141.6
OG0000085	ENSXETG00000001486.1	ENSGALG00000016843.7
OG0000085	ENSXETG00000008608.1	ENSGALG00000048179.1
OG0000086	ENSXETG00000001876.1	ENSGALG00000005843.5
OG0000086	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1	ENSGALG00000015917.7
OG0000087	ENSXETG00000005882.1	ENSGALG00000001183.6
OG0000087	ENSXETG00000019782.1	ENSGALG00000006520.7
OG0000087	ENSXETG00000011830.1	ENSGALG00000043092.2
OG0000090	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1	ENSGALG00000050831.1, ENSGALG00000048343.1, ENSGALG00000054822.1, ENSGALG00000038923.2
OG0000091	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1	ENSGALG00000050544.1, ENSGALG00000054648.1, ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6
OG0000092	ENSXETG00000009074.1	ENSGALG00000002563.7
OG0000092	ENSXETG00000018099.1	ENSGALG00000003521.7
OG0000093	ENSXETG00000021066.1	ENSGALG00000030550.3
OG0000093	ENSXETG00000012846.1	ENSGALG00000003601.6
OG0000093	ENSXETG00000006206.1	ENSGALG00000030908.2
OG0000094	ENSXETG00000000896.1	ENSGALG00000013838.6
OG0000095	ENSXETG00000005045.1, ENSXETG00000015661.1	ENSGALG00000007713.7, ENSGALG00000019755.4
OG0000099	ENSXETG00000001208.1	ENSGALG00000005256.6
OG0000099	ENSXETG00000013697.1	ENSGALG00000015593.6
OG0000099	ENSXETG00000004436.1	ENSGALG00000015403.5
OG0000099	ENSXETG00000003855.1	ENSGALG00000021567.5
OG0000099	ENSXETG00000008942.1, ENSXETG00000006635.1	ENSGALG00000011680.6
OG0000100	ENSXETG00000019033.1, ENSXETG00000018055.1	ENSGALG00000000357.7
OG0000101	ENSXETG00000020222.1	ENSGALG00000035086.3
OG0000101	ENSXETG00000002189.1	ENSGALG00000002907.7
OG0000101	ENSXETG00000008691.1	ENSGALG00000000585.7
OG0000101	ENSXETG00000007676.1	ENSGALG00000005448.6
OG0000102	ENSXETG00000004528.1	ENSGALG00000006300.7, ENSGALG00000035836.3
OG0000106	ENSXETG00000004466.1	ENSGALG00000042011.3
OG0000106	ENSXETG00000017121.1	ENSGALG00000009250.6
OG0000108	ENSXETG00000004931.1, ENSXETG00000005033.1	ENSGALG00000004436.7
OG0000108	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1	ENSGALG00000004449.5
OG0000110	ENSXETG00000002348.1	ENSGALG00000027255.3
OG0000110	ENSXETG00000013548.1	ENSGALG00000009107.6
OG0000111	ENSXETG00000007548.1	ENSGALG00000011476.7
OG0000111	ENSXETG00000000914.1	ENSGALG00000016811.6
OG0000111	ENSXETG00000006548.1	ENSGALG00000034187.2
OG0000111	ENSXETG00000017510.1	ENSGALG00000008633.7
OG0000112	ENSXETG00000008621.1	ENSGALG00000011805.6
OG0000113	ENSXETG00000021352.1	ENSGALG00000016322.5, ENSGALG00000016328.7, ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6, ENSGALG00000016324.3
OG0000115	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1	ENSGALG00000044760.2
OG0000115	ENSXETG00000002691.1	ENSGALG00000005857.6
OG0000116	ENSXETG00000003024.1	ENSGALG00000051754.1, ENSGALG00000003690.7
OG0000116	ENSXETG00000002922.1	ENSGALG00000019718.6, ENSGALG00000019719.5
OG0000119	ENSXETG00000008731.1	ENSGALG00000001262.7
OG0000119	ENSXETG00000001974.1	ENSGALG00000016020.7, ENSGALG00000016707.6
OG0000120	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2
OG0000122	ENSXETG00000010024.1	ENSGALG00000042358.2, ENSGALG00000044048.2
OG0000126	ENSXETG00000018540.1	ENSGALG00000012575.6
OG0000126	ENSXETG00000021190.1	ENSGALG00000015184.6
OG0000129	ENSXETG00000010610.1	ENSGALG00000037889.2
OG0000129	ENSXETG00000020896.1	ENSGALG00000031284.2
OG0000129	ENSXETG00000018955.1	ENSGALG00000031440.2
OG0000129	ENSXETG00000020932.1	ENSGALG00000037423.2
OG0000130	ENSXETG00000005046.1	ENSGALG00000028478.3, ENSGALG00000031313.2, ENSGALG00000002413.6
OG0000131	ENSXETG00000021214.1	ENSGALG00000004394.6
OG0000131	ENSXETG00000019816.1	ENSGALG00000013155.6
OG0000131	ENSXETG00000005085.1	ENSGALG00000041030.2
OG0000134	ENSXETG00000006395.1, ENSXETG00000017896.1, ENSXETG00000015402.1, ENSXETG00000009059.1, ENSXETG00000015408.1	ENSGALG00000042850.3
OG0000136	ENSXETG00000021421.1	ENSGALG00000016406.6
OG0000136	ENSXETG00000010463.1	ENSGALG00000011473.6
OG0000136	ENSXETG00000013406.1	ENSGALG00000037136.2
OG0000136	ENSXETG00000009967.1	ENSGALG00000007097.6
OG0000137	ENSXETG00000008151.1	ENSGALG00000009700.7
OG0000137	ENSXETG00000011285.1	ENSGALG00000016323.5
OG0000137	ENSXETG00000011177.1	ENSGALG00000013235.5
OG0000138	ENSXETG00000013594.1	ENSGALG00000006477.7
OG0000138	ENSXETG00000003380.1	ENSGALG00000046725.1, ENSGALG00000027506.4
OG0000143	ENSXETG00000000948.1, ENSXETG00000005553.1	ENSGALG00000001633.7
OG0000143	ENSXETG00000020664.1	ENSGALG00000005007.6, ENSGALG00000005017.6
OG0000143	ENSXETG00000019731.1	ENSGALG00000005019.5
OG0000147	ENSXETG00000018873.1	ENSGALG00000010490.8
OG0000147	ENSXETG00000004690.1	ENSGALG00000041203.3
OG0000147	ENSXETG00000012866.1	ENSGALG00000007582.6
OG0000147	ENSXETG00000002709.1	ENSGALG00000000227.7
OG0000149	ENSXETG00000009281.1	ENSGALG00000036496.2
OG0000149	ENSXETG00000008787.1	ENSGALG00000014463.7
OG0000149	ENSXETG00000008935.1	ENSGALG00000042458.3
OG0000150	ENSXETG00000008789.1	ENSGALG00000002200.6, ENSGALG00000042446.2, ENSGALG00000029827.2
OG0000151	ENSXETG00000014196.1, ENSXETG00000014180.1, ENSXETG00000013814.1, ENSXETG00000014192.1, ENSXETG00000014225.1, ENSXETG00000013556.1	ENSGALG00000020688.6, ENSGALG00000010469.7
OG0000153	ENSXETG00000013593.1	ENSGALG00000014442.7
OG0000154	ENSXETG00000014539.1	ENSGALG00000006575.5
OG0000154	ENSXETG00000008186.1	ENSGALG00000012106.6
OG0000154	ENSXETG00000014451.1	ENSGALG00000005259.6
OG0000154	ENSXETG00000011324.1	ENSGALG00000005242.7, ENSGALG00000000274.7
OG0000155	ENSXETG00000016250.1	ENSGALG00000019277.5
OG0000155	ENSXETG00000016171.1	ENSGALG00000019276.5, ENSGALG00000031293.2, ENSGALG00000013154.5
OG0000156	ENSXETG00000004141.1	ENSGALG00000047313.1, ENSGALG00000040120.3
OG0000158	ENSXETG00000015274.1	ENSGALG00000002546.6
OG0000158	ENSXETG00000001026.1	ENSGALG00000046817.1
OG0000159	ENSXETG00000008449.1, ENSXETG00000008452.1	ENSGALG00000049450.1
OG0000160	ENSXETG00000008293.1, ENSXETG00000008355.1	ENSGALG00000051101.1
OG0000162	ENSXETG00000010611.1	ENSGALG00000009360.6
OG0000162	ENSXETG00000000714.1, ENSXETG00000000377.1	ENSGALG00000009382.7
OG0000162	ENSXETG00000010146.1	ENSGALG00000010186.7, ENSGALG00000041685.2
OG0000163	ENSXETG00000007916.1	ENSGALG00000010533.7
OG0000163	ENSXETG00000000198.1	ENSGALG00000015799.6
OG0000164	ENSXETG00000010838.1, ENSXETG00000010758.1, ENSXETG00000003168.1, ENSXETG00000020731.1, ENSXETG00000010802.1, ENSXETG00000016734.1, ENSXETG00000010778.1, ENSXETG00000002971.1, ENSXETG00000017014.1, ENSXETG00000016672.1, ENSXETG00000016626.1, ENSXETG00000002947.1, ENSXETG00000011170.1, ENSXETG00000010892.1, ENSXETG00000011241.1	ENSGALG00000016690.7, ENSGALG00000046639.2
OG0000169	ENSXETG00000003385.1	ENSGALG00000030280.3
OG0000169	ENSXETG00000019135.1	ENSGALG00000003800.6
OG0000169	ENSXETG00000014902.1	ENSGALG00000004123.6
OG0000171	ENSXETG00000002725.1	ENSGALG00000020160.5, ENSGALG00000054856.1
OG0000171	ENSXETG00000002747.1, ENSXETG00000008984.1, ENSXETG00000002772.1, ENSXETG00000002585.1, ENSXETG00000001584.1	ENSGALG00000030614.2
OG0000172	ENSXETG00000003587.1	ENSGALG00000006097.5
OG0000172	ENSXETG00000014061.1	ENSGALG00000001264.6
OG0000172	ENSXETG00000019930.1	ENSGALG00000006473.5
OG0000173	ENSXETG00000006385.1	ENSGALG00000040256.2
OG0000174	ENSXETG00000013730.1	ENSGALG00000032385.2
OG0000174	ENSXETG00000020300.1	ENSGALG00000040369.2
OG0000174	ENSXETG00000009711.1	ENSGALG00000002099.6
OG0000179	ENSXETG00000010826.1	ENSGALG00000045194.2, ENSGALG00000003557.7, ENSGALG00000006378.6
OG0000181	ENSXETG00000015307.1, ENSXETG00000016035.1	ENSGALG00000044962.2, ENSGALG00000021598.5, ENSGALG00000049664.1, ENSGALG00000041400.3
OG0000183	ENSXETG00000016403.1	ENSGALG00000011350.7
OG0000183	ENSXETG00000015211.1	ENSGALG00000040620.3
OG0000183	ENSXETG00000007699.1	ENSGALG00000001442.7
OG0000183	ENSXETG00000007683.1	ENSGALG00000001437.6
OG0000184	ENSXETG00000016856.1	ENSGALG00000014875.7
OG0000184	ENSXETG00000015623.1	ENSGALG00000033653.2
OG0000184	ENSXETG00000016639.1	ENSGALG00000001342.6
OG0000185	ENSXETG00000010784.1	ENSGALG00000005393.6
OG0000185	ENSXETG00000018795.1	ENSGALG00000043476.2, ENSGALG00000005622.6
OG0000186	ENSXETG00000006246.1	ENSGALG00000015531.6
OG0000186	ENSXETG00000017988.1	ENSGALG00000007565.7
OG0000186	ENSXETG00000021374.1	ENSGALG00000010471.6
OG0000186	ENSXETG00000020407.1	ENSGALG00000000235.6
OG0000187	ENSXETG00000009907.1	ENSGALG00000016485.6
OG0000187	ENSXETG00000018919.1	ENSGALG00000001569.6
OG0000187	ENSXETG00000015187.1, ENSXETG00000017358.1	ENSGALG00000003806.7
OG0000188	ENSXETG00000013051.1, ENSXETG00000000926.1, ENSXETG00000000905.1, ENSXETG00000011284.1, ENSXETG00000011305.1, ENSXETG00000011432.1, ENSXETG00000011340.1, ENSXETG00000011354.1, ENSXETG00000011380.1, ENSXETG00000011400.1, ENSXETG00000011330.1, ENSXETG00000011410.1	ENSGALG00000037253.2
OG0000193	ENSXETG00000019382.1	ENSGALG00000004901.7
OG0000194	ENSXETG00000000522.1	ENSGALG00000029260.2
OG0000194	ENSXETG00000016715.1	ENSGALG00000030943.2
OG0000194	ENSXETG00000010792.1	ENSGALG00000026692.3
OG0000197	ENSXETG00000000704.1	ENSGALG00000030065.3
OG0000197	ENSXETG00000007896.1	ENSGALG00000001768.6
OG0000197	ENSXETG00000002827.1	ENSGALG00000033966.2
OG0000197	ENSXETG00000021187.1	ENSGALG00000008442.6
OG0000198	ENSXETG00000010403.1	ENSGALG00000039713.2
OG0000198	ENSXETG00000017810.1	ENSGALG00000040957.2
OG0000198	ENSXETG00000005350.1	ENSGALG00000002249.6
OG0000199	ENSXETG00000009721.1	ENSGALG00000032247.2
OG0000200	ENSXETG00000012495.1	ENSGALG00000015107.6
OG0000200	ENSXETG00000018710.1	ENSGALG00000000784.7
OG0000201	ENSXETG00000013252.1	ENSGALG00000001319.6
OG0000201	ENSXETG00000006150.1	ENSGALG00000033051.2
OG0000201	ENSXETG00000017674.1	ENSGALG00000029912.2
OG0000202	ENSXETG00000008638.1	ENSGALG00000003699.6
OG0000202	ENSXETG00000010092.1	ENSGALG00000047979.1
OG0000202	ENSXETG00000017325.1	ENSGALG00000000242.6
OG0000202	ENSXETG00000017824.1	ENSGALG00000010461.6
OG0000203	ENSXETG00000018733.1	ENSGALG00000014727.6
OG0000203	ENSXETG00000017823.1	ENSGALG00000011094.6
OG0000204	ENSXETG00000005102.1	ENSGALG00000003536.6
OG0000205	ENSXETG00000017816.1, ENSXETG00000019929.1, ENSXETG00000019612.1, ENSXETG00000019613.1, ENSXETG00000019129.1, ENSXETG00000019124.1, ENSXETG00000017955.1, ENSXETG00000017259.1	ENSGALG00000045085.2
OG0000212	ENSXETG00000013979.1	ENSGALG00000004649.5
OG0000212	ENSXETG00000009573.1	ENSGALG00000004519.7
OG0000213	ENSXETG00000017448.1	ENSGALG00000041042.2
OG0000213	ENSXETG00000006311.1	ENSGALG00000020292.5, ENSGALG00000020143.5, ENSGALG00000038042.2
OG0000214	ENSXETG00000008364.1, ENSXETG00000008358.1, ENSXETG00000008520.1, ENSXETG00000008531.1, ENSXETG00000008517.1	ENSGALG00000022137.3, ENSGALG00000039887.2
OG0000216	ENSXETG00000015858.1	ENSGALG00000025842.4
