"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9"
"20","107282178","microtubule associated protein 7",857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484
"21","107282180","major facilitator superfamily domain containing 12",161,54,55,71,38,37,49,19,58,22,39,84,30,40,42,34,43,42,48,34,64,49,67,35,93,43,48,125,19,237
"22","107282182","nuclear factor I/C (CCAAT-binding transcription factor)",154,129,179,106,195,96,163,182,181,179,199,304,117,160,106,138,123,167,160,111,55,146,421,133,398,84,172,263,275,184
"23","107282183","ATPase phospholipid transporting 8B3",0,9,37,3,1,6,2,7,9,5,7,10,11,2,1,0,7,0,17,9,1,12,49,13,26,10,11,4,35,0
"24","107282185","transcription factor 3",185.49,575.64,1626.01,467.11,168.87,271.28,111.93,202.18,443.29,139.99,604.22,339.18,188.95,204.95,97.58,152.32,160.13,164.32,596.42,207.32,199.22,321.27,738.41,974.64,711.04,530.76,344.24,611.32,1025.89,488.22
"25","107282186","DOT1 like histone H3K79 methyltransferase",30,43,77,35,10,17,13,51,54,28,74,21,24,37,24,33,37,40,50,25,12,51,118,47,55,29,27,60,98,26
"26","107282188","ADAM metallopeptidase with thrombospondin type 1 motif 10",3,10,6,1,2,6,2,7,9,8,10,6,11,3,1,4,3,5,10,9,5,8,27,7,8,5,3,4,9,2
"27","107282189","tyrosine-protein kinase ZAP-70",1,1,4,0,0,1,0,3,2,1,28,0,10,4,1,1,1,5,4,0,4,17,0,0,3,9,1,0,1,0
"28","107282192","mucin-16-like",274.17,2943.88,4334.04,510,713.93,1533.33,168.31,1474.87,485.32,375.73,2367.49,371.27,2100.69,333.74,284.7,999.19,185.11,114.82,1112.44,611.56,504.4,1349.71,2695.03,1767.97,1981.36,2823.79,273.89,17.12,2311.26,67.57
"29","107282193","serine-rich adhesin for platelets-like",60.67,467.8,1370.36,131.47,177.37,259.36,27.45,423.02,103.58,87.31,573.81,125.57,446.03,85.48,57.4,199,29.79,10.62,222.64,120.6,112.95,250.72,630.17,450.32,498.76,414.65,97.88,53.91,510.06,17.12
"30","107282194","cell wall protein DAN4-like",5.17,11.04,41.14,6.11,4.68,17.9,3.35,0,5.64,2.47,21.73,0,9.12,2.04,0,4.31,3.94,1.6,7.74,1.89,8.56,9.88,9.46,9.99,15.3,16.42,0,0,17.84,5.54
"31","107282195","hyaluronan and proteoglycan link protein 1",19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20
"32","107282196","X-ray repair complementing defective repair in Chinese hamster cells 4",115,117,142,89,44,52,25,53,97,43,100,83,112,41,28,54,48,54,128,41,45,134,180,143,121,96,80,17,113,53
"33","107282197","transmembrane protein 167A",903,561,551,752,587,349,262,429,460,330,329,418,301,407,275,299,424,368,579,299,389,375,781.1,346.23,688,519.08,526,603,401,464
"34","107282198","40S ribosomal protein S23",1500.96,1429.3,2138.02,1908.91,1165.01,1488.11,544.91,578.39,1846.1,607.95,716.31,1135.48,827.01,828.66,645.16,623.23,620.11,395.81,1721.07,516.77,591.21,1011.43,1185.14,1035.21,1365.6,1611.71,1130.4,4246.54,982.16,1097.66
"35","107282199","vacuolar protein 8-like",4,53,82,8,5,6,3,8,36,1,24,47,48,5,12,13,2,4,85,9,7,78,149,37,8,7,27,3,43,3
"36","107282200","ribosomal protein S23",553.04,533.7,815.98,723.09,394.99,489.89,284.09,222.61,722.9,241.05,339.69,392.52,360.99,365.34,334.84,312.77,176.89,150.19,719.93,254.23,317.79,424.57,458.86,480.79,443.4,644.29,418.6,1478.46,407.84,547.34
"37","107282201","uncharacterized LOC107282201",262,207,150,151,99,107,58,72,192,41,82,206,85,107,104,96,77,95,166,63,86,106,196,138,134,110,119,104,109,186
"38","107282202","cytochrome b561",1761,1439,1625,653,843,694,426,395,528,365,776,989,535,606,670,538,626,582,1007,774,516,705,2097,1007,1538,875,1041,326,671,480
"39","107282203","zinc finger protein 511",48,47,62,36,40,42,16,38,29,13,45,41,27,22,23,11,15,27,62,21,30,38,98,45,49,34,27,23,45,38
"40","107282204","tubulin gamma complex associated protein 2",276,488,527,187,218,387,96,260,295,164,457,352,444,199,205,230,190,212,629,236,168,632,1132,599,419,299,283,158,431,154
"41","107282205","erlin-1-like",252,167,249,211,115,114,97,107,225,72,152,232,142,133,136,139,100,90,218,96,146,150,258,241,221,176,133,223,185,172
"42","107282206","CWF19-like 1 cell cycle control (S. pombe)",114,98,175,87,67,97,51,87,57,28,189,121,102,60,69,79,79,89,176,62,57,144,355,209,171,66,67,25,183,28
"43","107282207","mitochondrial fission regulator 2",0,20.67,17.71,9,10,15.59,6,11.67,21.6,2.08,40.61,15.33,29.58,9.28,1.18,15,2,2,23.75,8.9,13.32,39.22,18.97,23.27,10,9.36,7,5,15,2
"44","107282208","adaptor related protein complex 1 mu 1 subunit",1507,612,938,746,1597,579,592,707,511,990,918,831,697,719,494,800,1110,1432,1053,715,491,894,2275,1129,2883,322,1088,173,1100,505
"45","107282209","RAB8A member RAS oncogene family",1358.76,808.83,1152.75,904.58,583.94,448.86,227,574.92,591.83,263,798.51,934.79,631.92,433.81,455.93,529.93,440.87,460.91,1027.66,335.9,538,1105.63,1433.27,1172.21,1078.67,1399.87,666.91,489.45,1030.75,614.59
"46","107282210","family with sequence similarity 32 member A",744,792,1851,987,543,1189,468,645,1340,389,1586,1319,1063,605,494,609,409,395,2004,200,580,955,917,2071,1379,1789,979,644,1616,559
"47","107282211","tropomyosin 4",1124,1205,2263.99,692,654,807,140,326,661,196,1023,1219,780.19,415,241,276,259,158,869.78,369,269,1125,3308.88,1182,1052,1213,549,643,766,999
"48","107282212","Kruppel-like factor 2",174,807,699,394,186,431,79,175,532,162,547,403,311,158,134,282,82,126,834,176,213,417,1020,619,527,681,251,171,600,264
"49","107282213","epidermal growth factor receptor pathway substrate 15-like 1",163,122,162,73,152,87,52,122,89,134,147,139,68,95,69,102,85,138,158,115,59,165,298,167,285,83,73,38,159,61
"50","107282214","chromosome unknown open reading frame human C19orf44",85,300,282,104,76,216,39,88,177,66,374,94,153,64,98,135,70,48,143,127,84,262,162,230,164,170,130,49,155,62
"51","107282215","calcium homeostasis endoplasmic reticulum protein",235,204,298,150,146,122,74,92,183,93,172,233,139,90,67,122,78,85,165,80,102,167,431,239,323,184,106,240,172,194
"52","107282216","transcription factor HES-5-like",0,2.7,0,0,0,0,1,3,0,0,1,0,0,4.79,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,5.44
"53","107282217","solute carrier family 35 member E1",51,34,30,32,23,16,16,24,19,9,31,13,20,16,13,19,22,18,23,12,8,16,69,27,50,22,34,25,29,18
"54","107282218","transmembrane protein 38A",370,1675,1166,625,509,2201,136,784,134,779,1613,643,969,395,360,420,73,80,793,398,287,2221,534,1380,1941,1279,438,459,3601,58
"55","107282219","interferon gamma-inducible protein 30",541,2027,2462,1332,546,794,363,1143,1060,322,4409,929,2248,800,333,490,240,324,2165,703,1048,3089,1499,2374,615,1475,1075,447,873,485
"56","107282220","arrestin domain containing 2",66,223,167,178,96,138,30,56,219,60,156,100,81,59,59,95,40,66,399,63,47,147,227,204,132,372,71,30,220,19
"57","107282221","Rho/Rac guanine nucleotide exchange factor 18",45,42,38,25,11,11,14,24,30,18,36,26,14,14,28,15,47,16,41,27,9,30,48,31,34,26,34,24,32,19
"58","107282222","insulin receptor",26,41,18,12,16,27,23,15,30,24,31,17,18,17,24,16,18,16,24,21,14,24,46,15,47,18,28,25,28,9
"59","107282223","unconventional SNARE in the ER 1 homolog (S. cerevisiae)",204,96,74,45,48,28,13,102,34,43,132,158,66,91,52,45,164,72,40,115,66,158,233,49,278,36,43,45,94,14
"60","107282224","lon peptidase 1 mitochondrial",80,36,47,65,40,28,40,17,57,41,65,85,26,52,28,29,43,44,61,48,16,59,200,64,108,58,28,101,57,86
"61","107282225","excitatory amino acid transporter 1-like",380,79,73,380,267,93,259,198,306,433,118,212,44,400,321,243,377,412,252,276,285,81,188,144,325,68,202,615,38,631
"62","107282226","calcyphosine",1569,6062,5263,5666,1332,3283,563,4007,5915,1725,3768,5121,3714,1189,841,3675,1069,1050,9399,2008,4033,9858,7612,7711,1946,8578,1909,543,3319,941
"63","107282227","transcription factor HES-5-like",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
"64","107282228","RAN binding protein 3",64,64,51,57,52,81,19,50,59,49,94,79,68,45,40,45,51,70,81,47,52,149,273,169,188,45,54,24,90,47
"65","107282229","myosin IXB",163,287,342,142,109,98,72,139,309,122,363,264,197,164,114,126,92,124,269,116,93,307,946,252,330,180,165,129,227,142
"66","107282230","RAB3A member RAS oncogene family",124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38
"67","107282231","pyroglutamyl-peptidase I",45,72,121,37,50,40,22,62,72,119,99,58,89,42,107,41,66,36,54,65,51,108,142,58,83,34,88,10,207,28
"68","107282232","elongation factor for RNA polymerase II",192,93,130,87,119,56,30,78,117,74,162,153,80,105,89,69,99,94,179,64,58,110,311,144,212,92,91,110,115,93
"69","107282233","DET1 and DDB1 associated 1",556,607,442,345,304,358,166,289,353,150,450,492,318,246,211,270,264,222,425,188,259,423,661,391,691,466,409,331.73,437.01,359
"70","107282234","plasmalemma vesicle associated protein",730,1701,1506,777,427,792,586,462,1215,569,1003,1623,729,638,855,895,508,1002,2023,819,488,1236,1962,1477,1515,1345,862,376,632,1249
"71","107282235","uncharacterized LOC107282235",1.55,94.81,10.47,23.39,38.6,3.31,1.6,36.91,3.4,93.3,43.66,8.42,44.32,26.55,421.65,130.77,1.73,8.12,150.25,19.25,60.12,56.59,133.95,79.56,9.87,82.85,0,3.49,0,0
"72","107282236","kinesin-like protein kif7",0,22.48,26.3,11.25,20.26,6,20.28,102.41,11,13.84,156.83,5.23,76.16,32.07,149,101.4,1,0,39.28,4,41,529.7,29.8,43.13,25.82,226.99,10.03,0,1.74,0
"73","107282237","mitotic spindle positioning",18,62,82,22,18,26,4,39,19,20,74,37,40,20,15,39,8,11,47,23,10,52,88,24,55,54,26,4,33,4
"74","107282238","mitogen-activated protein kinase kinase kinase 5",30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18
"75","107282239","polypyrimidine tract binding protein 1",308,374,517,189,270,165,144,195,232,154,347,288,207,291,192,157,146,166,245,236,123,420,764,90,533,198,233,120,236,127
"76","107282240","R3H domain containing 4",377,103,170,201,154,107,118,98,235,157,174,112,122,124,151,85,137,104,79,67,113,133,141,146,271,114,192,152,284,459
"77","107282241","AT-rich interaction domain 3A",39,26,29,27,33,11,26,30,42,27,42,26,9,42.01,42,36,43,54.86,20,42,28,34,37,42,47,13,44.22,58,20,22
"78","107282242","ring finger protein 126",243,90,139,119,173,154,58,115,121,71,250,177,112,57,52,60,110,96,164,57,75,185,200,225,403,108,122,241,353,162
"79","107282243","polymerase (RNA) II subunit E",2558,821,1040,1193,1130,757,443,473,779,419,753,1389,480,606,592,416,329,621,842,313,427,480,1363,957,1494,1100,802,972,787,1070
"80","107282244","calponin 2",25,13,34,13,14,18,5,9,27,7,19,14,8,18,9,7,6,10,32,7,5,22,30,22,40,20,20,32,17,19
"81","107282245","cactin spliceosome C complex subunit",45,48,100,45,42,33,31,39,52,46,57,85,33,44,31,47,36,44,80,37,30,69,122,56,66,51,37,67,46,50
"82","107282246","fizzy/cell division cycle 20 related 1",117,77,178,94,195,143,94,187,145,197,200,290,175,96,62,176,98,118,346,95,167,360,271,330,352,91,149,102,266,147
"83","107282247","BCL2 associated transcription factor 1",1800,2332,2529,1075,696,1394,447,793,1413,565,1362,1626,1002,876,956,867,753,821,1909,794,833,1287,2735,1231,1901,1745,1252,406,1409,1058
"84","107282248","GRAM domain-containing protein 3-like",175,376,316,297,244,230,31,290,297,96,615,903,305,134,80,230,83,278,534,130,180,653,551,412,345,733,265,51,790,108
"85","107282249","deoxyhypusine hydroxylase/monooxygenase",288,105,168,118,200,139,100,113,90,137,143,271,69,199,111,117,234,245,192,144,136,158,365,206,267,93,202,537,158,202
"86","107282250","abhydrolase domain containing 17A",187,130,163,140,143,120,89,134,163,143,114,183,81,70,118,147,105,82,186,55,78,102,193,163,321,95,172,316,214,273
"87","107282251","REX1 RNA exonuclease 1 homolog",96,90,196,154,55,64,73,126,119,86,132,158,85,121,147,116,93,128,146,79,121,118,209,117,146,93,166,75,95,108
"88","107282252","uncharacterized LOC107282252",7,23,48,9,11,6,7,15,12,10,44,27,8,12,6,10,12,5,35,15,10,19,31,23,35,15,7,2,19,2
"89","107282253","methyl-CpG binding domain protein 3",790,182,446,422,355,354,333,271,284,236,286,250,223,173,230,243,317,403,216,220,192,260,416,334,376,142,638,134,265,330
"90","107282254","casein kinase 1 gamma 2",16,15,13,13,14,8,8,13,7,7,17,9,6,11,3,7,14,14,10,15,1,18,24,11,17,5,8,11,10,9
"91","107282255","MAP kinase interacting serine/threonine kinase 2",104,359,296,163,163,108,71,85,226,90,157,204,97,102,69,78,97,54,366,58,69,157,324,100,160,441,154,27,203,66
"92","107282256","MOB kinase activator 3A",147,143,186,175,96,61,50,117,123,47,154,80,150,114,78,85,107,100,235,54,128,239,139,152,119,190,126,175,121,98
"93","107282257","IZUMO family member 4",38,15,11,21,12,22,7,10,14,25,23,21,15,24,26,14,13,7,34,11,19,14,9,16,15,18,19,67,17,13
"94","107282258","adaptor related protein complex 3 delta 1 subunit",434,199,365,216,292,162,170,220,274,205,331,435,208,250,148,197,194,278,246,219,162,352,639,373,633,160,284,359,240,327
"95","107282259","pleckstrin homology domain containing J1",194,144,307,266,175,132,131,66,230,67,86,172,72,51,61,53,71,173,267,86,61,157,122,319,249,242,265,348,208,361
"96","107282260","junctional sarcoplasmic reticulum protein 1",372.31,1800.32,662.04,676.27,376.38,1644.92,89.29,536.14,390.24,538.75,1342.59,404.6,559.15,240.53,334.63,303.01,68.77,92.06,1835.79,271.64,147.27,1009.93,524.1,555.87,1279.61,964.35,252.09,294.8,2503.06,56.03
"97","107282261","ornithine decarboxylase antizyme 1",1490,2174,3219,2526,1060,1273,767,1271,2157,1032,1728,1147,1207,1307,984,1228,1076,950,3252,1327,1591,2016,2310,1602,1712,2562,1051,2227,1557,1198
"98","107282262","myosin IF",12,53,41,29,14,7,19,38,40,23,132,32,50,34,28,29,24,28,86,24,22,58,144,74,18,38,40,16,19,18
"99","107282263","mucin-16-like",20,119,307,53,51,94,17,187,47,41,218,10,129,32,13,58,6,16,113,36,50,142,99,174,62,314,44,7,173,12
"100","107282264","dynein axonemal light chain 4",147,377,406,267,112,237,39,154,214,68,246,297,238,89,65,217,75,82,449,92,200,511,447,434,158,477,168,71,266,121
"101","107282265","uncharacterized LOC107282265",550,370,412,202,253,182,63,71,373,75,248,422,214,149,187,131,86,87,427,99,158,309,286,327,245,283,225,282,190,325
"102","107282266","mediator complex subunit 26",66,60,64.02,55,46,23,39,28.63,61,21,49.35,61,29,44,36,28,45,20,54,24,24,49,105,53.51,75,64,34.01,51,38.02,38.01
"103","107282267","small integral membrane protein 7",143,166,176,173,79,85,40,84,123,54,97,113,82,65,71,46,79,48,161,78,84,132,176,161,111,117,120,87,95,86
"104","107282268","tetraspanin-33-like",1,26,29,7,7,19,2,1,5,4,8,20,17,7,1,16,2,3,55,17,5,25,69,9,7,22,3,0,7,2
"105","107282269","SIN3 transcription regulator family member B",7,8,6,10,14,12,5.99,9,7,6,10,10,9,7,6,5,7,4,12,5,6,20,24,7,32,6,7,5,11,5
"106","107282270","F2R like thrombin/trypsin receptor 3",41,66,149,31,51,36,11,35,41,20,164,52,89,49,20,44,36,29,119,39,38,135,133,142,87,62,51,29,80,30
"107","107282271","tumor necrosis factor receptor superfamily member 14-like",114,455,642,287,278,248,79,506,278,178,2749,339,1012,345,308,371,117,143,680,194,407,1227,444,809,392,802,309,125,425,141
"108","107282272","uncharacterized LOC107282272",10,43,22,6,2,11,3,2,8,3,19,15,9,5,2,2,1,2,36,3,4,32,102,20,30,12,11,0,33,1
"109","107282273","phosphoinositide-3-kinase regulatory subunit 2",41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12
"110","107282274","microtubule associated serine/threonine kinase 3",4,10,4,27,15,8,15,5,8,5,11,6,1,12,11,15,18,15,12,12,11,11,11,4,18,2,17,28,2,23
"111","107282275","ribosomal protein L36",4299,1906,2935,3923,2170,2199,1460,1363,3634,1549,1663,2498,1183,2145,1579,1493,1486,1421,3233,986,1578,1566,2107,1960,2876,2685,1938,11162,2038,3369
"112","107282276","NADH:ubiquinone oxidoreductase subunit A11",772,535,736,1154,661,415,353,468,873,441,590,513,520,515,418,443,411,378,747,257,573,681,565,710,668,800,585,1664,901,626
"113","107282277","HAUS augmin like complex subunit 8",125,325,404,150,62,145,23,134,205,54,241,245,209,68,91,83,78,44,234,67,130,322,407,251,267,246,102,77,276,88
"114","107282278","MPV17 mitochondrial membrane protein-like 2",38,29,29,43,26,4,7,14,16,8,10,20,13,35,20,23,25,31,20,23,14,28,28,9,37,44,12,33,17,15
"115","107282279","jun D proto-oncogene",4,1,0,3,0,4,0,1,0,0,3,2,0,0,0,1,1,0,6,0,2,4,4,2,2,1,2,3,0,0
"116","107282280","LSM4 homolog U6 small nuclear RNA and mRNA degradation associated",734,534,805,410,304,380,116,210,485,153,411,670,286,201,302,217,177,155,657,200,259,400,1034,482,495,578,379,557,447,328
"117","107282281","uncharacterized LOC107282281",0,16,18,1,0,0,0,2,7,1,5,15,9,0,4,3,0,0,12,3,2,8,34,7,3,0,8,0,17,0
"118","107282283","leucine rich repeat containing 25",26,171,194,227,33,20,15,84,93,15,444,91,160,49,31,53,10,13,273,29,142,408,243,326,110,216,83,67,57,27
"119","107282284","single stranded DNA binding protein 4",0,2,2,1,0,4,0,0,2,3,2,1,2,1,0,0,1,0,2,2,1,0,3,4,5,0,0,1,2,0
"120","107282285","inositol-3-phosphate synthase 1",12,45,84,30,27,11,7,26,28,21,37,95,49,26,14,27,19,17,103,48,23,156,275,84,28,25,18,16,33,5
"121","107282286","mitochondrial ribosomal protein L34",119,144,127,247,94,85,26,45,101,51,85,77,73,102,41,104,37,57,186,46,88,102,118,116,103,126,79,224,60,79
"122","107282287","myosin-11-like",2,37,21,15,9,14,3,6,17,10,11,16,13,10,6,7,0,7,36,6,3,33,19,35,13,38,9,10,20,18
"123","107282288","coiled-coil serine rich protein 1",187,171,227,127,108,97,75,88,115,87,136,97,94,120,153,89,168,113,175,131,133,107,247,124,163,75,182,147,101,112
"124","107282289","uncharacterized LOC107282289",1.45,331.19,365.53,231.61,262.4,176.69,62.4,261.09,170.6,136.7,846.34,143.58,238.68,277.45,62.35,1277.23,42.27,49.88,679.75,72.75,14.88,603.41,161.05,507.44,207.13,801.15,197,188.51,187,77
"125","107282290","phospholipid phosphatase related 3",1,6,10,0,0,1,0,1,2,2,5,2,4,1,0,1,0,0,8,2,0,5,12,4,3,2,1,0,1,0
"126","107282291","complement factor D (adipsin)",95,73,61,26,26,12,2,58,35,28,279,89,87,37,7,10,8,12,98,10,69,119,138,82,118,220,19,0,56,8
"127","107282292","mediator complex subunit 16",13,19,16,10,8,10,12,9,18,7,22,18,5,8,5,6,2,9,11,7,3,16,35,23,44,8,6,2,17,7
"128","107282293","fibroblast growth factor 22",0,1,7,0,1,3,1,0,1,0,2,3,1,0,0,1,0,0,3,0,0,4,10,9,1,2,1,1,8,0
"129","107282294","thromboxane A2 receptor",1,17,2,0,0,7,0,0,1,1,3,1,4,1,0,2,0,0,5,5,1,6,16,1,8,4,2,0,0,1
"130","107282295","high mobility group 20B",43,128,142,38,27,58,22,67,78,50,114,73,74,45,38,43,36,63,201,65,49,121,424,184,110,54,39,2,126,26
"131","107282296","chromosome unknown open reading frame human C19orf71",0,3,1,8,5,9,0,9,1,1,15,2,8,4,6,3,2,1,9,1,21,39,1,18,0,23,2,2,1,2
"132","107282297","Kruppel-like factor 16",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0
"133","107282298","mex-3 RNA binding family member D",8,1,8,1,4,1,5,2,2,1,0,7,1,6,1,1,3,6,4,3,1,1,10,7,12,5,0,1,0,2
"134","107282299","solute carrier family 10 (sodium/bile acid cotransporter) member 2",0,0,1,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0
"135","107282300","nuclear receptor ROR-beta-like",3,7,5,0,0,6,0,2,4,4,5,2,4,6,0,1,0,2,5,0,4,13,9,11,9,3,2,4,6,0
"136","107282301","secretory carrier membrane protein 4",44,11,25,19,32,11,15,22,19,28,24,26,13,19,17,22,21,27,8,16,27,18,27,14,41,7,27,7,16,9
"137","107282302","BTB domain containing 2",11,10,23,5,11,11,5,9,9,10,14,9,6,6,5,9,9,9,20,11,2,18,24,32,26,7,9,11,17,4
"138","107282303","splicing factor 3a subunit 2",98,76,53,48,86,61,30,31,46,30,106,66,61,84,32,30,50,37,79,47,38,75,135,41,170,63,52,66,65,53
"139","107282304","olfactory receptor 6B1-like",0,3,2,0,0,1,0,6,2,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,1,1,2,0,0,0
"140","107282310","excision repair cross-complementation group 5",152.36,244,284.34,149,78,137.04,66.64,110,205,84,337.21,154.64,139.83,113.66,119,101.5,103,123,178,104.75,101.5,252.53,405.99,164,202.59,190,162,66,190,121.97
"141","107282315","olfactory receptor 10A7-like",0,6,7,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,3,0,1,0
"142","107282318","olfactory receptor 10A7",2,2,0,0,1,5,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0,1,0
"143","107282321","importin 5",3796,2304,2879,1309,1612,2205,648,764,1218,892,1535,2360,1122,1235,984,786,774,853,2053,1116,771,1606,3554,1488,3509,1510,1894,1054,1696,1325
"144","107282325","olfactory receptor 10A4-like",4,3.18,5.99,1,1.27,1,1.07,0.98,5,0,2.22,1,0,1,0,0,1.21,1.18,4,2,3,2,1,0,3.16,2.33,0.99,8,2,4
"145","107282327","olfactory receptor 6M1-like",0,1,1,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,0,0,0
"146","107282328","olfactory receptor 10C1-like",0,3,1,0,0,1,0,1,1,0,2,0,0,3,0,2,0,0,0,0,0,0,0,3,3,2,0,2,1,0
"147","107282329","olfactory receptor 10A2-like",0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,2,0
"148","107282330","olfactory receptor 10A2-like",0,4,6,0,0,11,2,5,1,7,14,3,0,0,0,2,0,0,0,2,0,3,2,2,12,17,3,4,4,0
"149","107282331","olfactory receptor 10A3-like",0,3,2,0,0,3,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0
"150","107282335","semaphorin-6A-like",1,9,1,0,0,10,0,1,2,5,3,2,0,1,0,2,0,0,0,0,1,0,0,1,1,8,0,2,4,0
"151","107282336","olfactory receptor 6B1-like",3,2,0,0,1,1,1,1,0,3,2,7,2,3,0,0,1,0,0,0,0,0,2,1,2,4,2,1,3,2
"152","107282337","olfactory receptor 10A7-like",9,5,3,5,0,3,0,2,4,3,1,2,1,2,1,2,1,4,3,3,1,0,2.64,9,1,1,1,9,3,7
