Taxa,Tissue,Library,Project,Layout,Study,
Mus,heart,SRR453174,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,heart,SRR453175,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,liver,SRR453152,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,liver,SRR453153,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,liver,SRR453154,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,liver,SRR453155,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,kidney,SRR453147,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,kidney,SRR453148,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,kidney,SRR453149,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
Mus,salivary gland,SRR8133129,PRJNA501787,Paired,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121954,https://www.ncbi.nlm.nih.gov/sra/SRX4954232[accn]
Mus,salivary gland,SRR8133134,PRJNA501787,Paired,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121954,https://www.ncbi.nlm.nih.gov/sra/SRX4954232[accn]
Mus,salivary gland,SRR8133136,PRJNA501787,Paired,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121954,https://www.ncbi.nlm.nih.gov/sra/SRX4954232[accn]
Mus,salivary gland,SRR8133137,PRJNA501787,Paired,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121954,https://www.ncbi.nlm.nih.gov/sra/SRX4954232[accn]
Naja,liver,SRR8754967,PRJNA527614,Single, Suryamohan K,
Naja,liver,SRR8754989,PRJNA527614,Single, Suryamohan K,
Naja,kidney,SRR8754966,PRJNA527614,Single, Suryamohan K,
Naja,kidney,SRR8754970,PRJNA527614,Single, Suryamohan K,
Naja,salivary gland,SRR8754972,PRJNA527614,Single, Suryamohan K,
Naja,venom gland,SRR8754964,PRJNA527614,Single, Suryamohan K,
Naja,venom gland,SRR8754977,PRJNA527614,Single, Suryamohan K,
Naja,venom gland,SRR8754980,PRJNA527614,Single, Suryamohan K,
Naja,venom gland,SRR8754981,PRJNA527614,Single, Suryamohan K,
Naja,venom gland,SRR8754986,PRJNA527614,Single, Suryamohan K,
Naja,venom gland,SRR8754988,PRJNA527614,Single, Suryamohan K,
Pan,heart,SRR306819,PRJNA143627,Single,"Brawand D et al., ",
Pan,heart,SRR306820,PRJNA143627,Single,"Brawand D et al., ",
Pan,liver,SRR306823,PRJNA143627,Single,"Brawand D et al., ",
Pan,kidney,SRR306821,PRJNA143627,Single,"Brawand D et al., ",
Pan,kidney,SRR306822,PRJNA143627,Single,"Brawand D et al., ",
Xeno,heart,SRR579562,PRJNA176589,Paired,"Barbosa-Morais NL et al.,",
Xeno,heart,SRR5412268,PRJNA381064,Single,"Marin R et al.,",
Xeno,liver,SRR579561,PRJNA176589,Paired,"Barbosa-Morais NL et al.,",
Xeno,liver,SRR5412274,PRJNA381064,Single,"Marin R et al.,",
Xeno,liver,SRR5412276,PRJNA381064,Single,"Marin R et al.,",
Xeno,kidney,SRR579562,PRJNA176589,Paired,"Barbosa-Morais NL et al.,",
Xeno,kidney,SRR5412270,PRJNA381064,Single,"Marin R et al.,",
Xeno,kidney,SRR5412271,PRJNA381064,Single,"Marin R et al.,",
