"","gene","description","Pm_1_liver","Pm_10_liver","Pm_3_liver","Pm_5_liver","Pm_8_liver","Mus_livr_1","Mus_livr_2","Mus_livr_3","Mus_livr_4","Homo_livr_1","Homo_livr_2","Homo_livr_3","Canis_livr_1","Canis_livr_2","Canis_livr_3"
"16",107282238,"mitogen-activated protein kinase kinase kinase 5",36,117,99,72,154,3.335835,6.58378,3.865613,4.91121,1.48062,4.44681,5.0962,5.40759,4.57022,3.172
"17",107282258,"adaptor related protein complex 3 delta 1 subunit",73,190,101,145,168,38.167617,51.908437,52.22318,52.456094,64.432855,14.53526381,15.934942,16.25931,19.98744,15.8128
"18",107282273,"phosphoinositide-3-kinase regulatory subunit 2",26,46,24,26,30,14.158753,23.436601,23.009531,19.704837,27.989861,0.551115,1.9916941,1.67154,3.8816107,4.94749
"19",107282274,"microtubule associated serine/threonine kinase 3",12,25,3,6,31,18.1307453,19.85813,25.1759336,23.198127,11.40037,0.5193051,2.6748912,7.573488881,13.73862417,12.199622
"20",107282288,"coiled-coil serine rich protein 1",4,12,8,9,86,0.0156553,0.111124,0.0765373,0.0361145,0.0970815,0,0.00690204,3.020070252,3.12969,2.759524422
"21",107282290,"phospholipid phosphatase related 3",0,0,2,0,0,1.1907433,3.213345,3.4594113,3.009403,0.0585594,0,0,0,0,0
"22",107282350,"serine/threonine kinase 24",220,146,219,120,159,7.28818,7.954497,8.7356878,8.808192,11.497396,8.7946956,8.9434832,19.97839094,19.97542238,12.9956552
"23",107282361,"dickkopf WNT signaling pathway inhibitor 2",7,11,5,4,16,0.0930627,0.146888,0.10447,0.167075,0.0525551,0,0.0149457,0,0.164482,0
"24",107282362,"solute carrier family 15 (oligopeptide transporter), member 1",1,0,0,0,0,0.238041,0.322656,0.241978,0.155763,19.988153,3.3343308,8.41594,118.659863,31.16374,38.9616381
"25",107282380,"F-box protein 47",0,3,0,2,0,0.3430541,0.0787096,0.177979,0.142268,0,0,0,0,0,0
"26",107282413,"tubulin folding cofactor D",184.87,205.14,208.19,191.52,388.77,25.885425,24.266094,24.262416,27.03499,18.8520899,5.6787149,15.90181573,0.18517,0.265485,18.51665
"27",107282421,"plexin domain containing 1",12,41,3,22,32,0.638639,0.9314588,1.220708,1.123019,0.607121,0.17732224,0.616563,0,0,0.478995
"28",107282422,"DEAD-box helicase 42",223,451,430,449,830,4.198,4.5941,4.66713,4.56239,25.35848,6.674152,17.79563,0,0,7.76739
"29",107282423,"zinc finger protein 750",5,4,5,0,6,2.25502,3.16563,2.79861,2.86268,0.0997001,0,0.0214145,0,0,0.0202451
"30",107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",51,61,58,68,183,5.910323,5.6865168,6.208272,6.010889729,3.283221,1.93207,3.097175,8.490719,10.310064,2.73725
"31",107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",361,235,229,260,194,12.127897,17.655808,16.848502,19.272193,3.745801,3.997258,4.849748,0,0,4.69281
"32",107282516,"myocardin",0,8,3,3,19,0.0386942,0.0673074,0.0365689,0.0405754,0.0938763,0.00401392,0.0547302,0,0,0.0779295
"33",107282539,"troponin T1, slow skeletal type",0,0,0,0,0,2.355393,4.143782,3.6400518,4.1419868,0.276726,0,0.3075552,0.0736281,0.0620547,2.209553
"34",107282560,"SAGA complex associated factor 29",56,64,45,79,80,37.1648826,67.85463,68.8552,73.20281,33.76993,8.26826,11.79425,0,0.100667,14.784022
"35",107282562,"sphingomyelin synthase 2",379,486,134,213,263,16.241803,14.0424575,11.277133,9.8356809,6.140008,1.9157516,3.511911,8.70842,9.54646,9.23289
"36",107282570,"regulator of G-protein signaling 9",0,0,0,2,1,0.391636,0.4001027,0.3901719,0.44684,2.223658,0.900299108,1.616206785,0.497282,0.443007,0.691643
"37",107282571,"guanine nucleotide binding protein (G protein), alpha 13",770,568,632,491,504,10.09079,14.65642,14.57067,12.97154,3.824871,4.30258,3.53536,0.0463474,0,2.80287
"38",107282575,"arylsulfatase G",209,189,218,263,290,7.061942,7.8794009,7.005919,6.347657,2.347482,0.296824,1.3553251,0,0,0.909734
"39",107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",77,124,135,106,227,41.374252,49.373172,52.69665,49.360371,64.760756,32.9780218,37.84874832,0.136599,0.46464,70.84772
"40",107282581,"potassium voltage-gated channel subfamily J member 16",1,1,4,3,4,0.135762073,0.431199028,0.431988155,0.489502021,0.805691,0.298557981,0.684788834,0.10084,0.0351468,0.458578
"41",107282586,"phosphatase, orphan 1",1,1,1,3,6,24.57037,24.35919,27.23258,20.62263,0.434787,0.707319,0.3273043,0,0,0.625498
"42",107282593,"homeobox B1",0,0,0,0,0,0.0244302,0,0.0959649,0.0255878,0,0,0,0,0,0
"43",107282595,"T-box 21",0,0,4,2,0,0.181463,0.25715,0.211398,0.401638,0.544565,0.116822,0.730073,0,0,0.589778
"44",107282597,"potassium voltage-gated channel subfamily H member 4",0,0,0,0,2,0.0260579,0.01513,0.0684072,0.0273648,0.0343194,0,0.00731984,0,0,0
"45",107282604,"transmembrane protein 101",5,18,17,28,40,13.444787,10.768331,9.580944,7.98524,15.632556,7.7806434,10.16355,0.0555872,0,18.1262
"46",107282607,"protein phosphatase 1 regulatory subunit 9B",1,1,1,6.39,3,2.569097,2.84048,3.15498,3.11653,7.654992,0.708845,2.493041,0,0,3.147249
"47",107282610,"integrin subunit alpha 3",1,4,1,4,6,7.605354001,4.889729,4.889916,7.158278,2.6693481,0.7324362,0.6023476,0,0.0212033,0.8706636
"48",107282615,"solute carrier family 35 member B1",149,209,332,485,570,68.306725,85.2949,75.16291,82.428779,53.19623644,57.30003503,28.75115421,0.0422927,0.0375463,9.76756
"49",107282616,"speckle type BTB/POZ protein",1,16.51,5,15,12,43.7704661,33.636938,34.352915,32.834387,19.961218,7.0510705,11.30251131,0,0.165783,9.30795
"50",107282620,"SNF8, ESCRT-II complex subunit",1288,840,1190,1208,946,22.137781,15.77569,17.367927,19.211438,53.806133,42.596047,42.016597,0.117597,0.092680712,37.000979
"51",107282621,"ubiquitin conjugating enzyme E2Z",25,42.72,45,44,106,17.0607,18.9388,18.9767,18.2013,13.0962551,5.5092406,9.087873,0,0,12.5119
"52",107282630,"CDK5 regulatory subunit associated protein 3",659,993,1196,1210,2097,31.96932864,47.843058,43.6775716,44.0072534,50.41543231,36.67722926,58.52558417,0,0.115959,18.7199
"53",107282631,"proline rich 15 like",134,373,131,219,608,1.1750419,2.737269,2.9715784,3.2701724,0.641963,0.47274,0.674076,0,0,5.68527
"54",107282634,"Sp6 transcription factor",1,0,0,1,3,0.0138124,0.0481112,0.0181271,0.0425604,0.03355267,0.009447224,0.04293788,0,0,0
"55",107282635,"secernin 2",28,49,25,32,79,48.115365,45.27235,49.653641,49.988361,34.292188,3.961972,24.350162,0,0.0509828,7.91019
"56",107282636,"mitochondrial ribosomal protein L10",51.94,65,148.98,155,132.91,168.1722,119.3847,123.4812,123.7179,28.5636375,8.309502,10.2947906,0,0.0282889,7.88822
"57",107282640,"mitochondrial ribosomal protein L45",298,304,475,507,618,10.9161,10.9295,10.1012,10.788814,12.2204,2.07782,0,0,0,21.7972
"58",107282641,"Rho GTPase activating protein 23",12,41,44,32,76,8.4472728,9.821366,13.3423753,10.016907,1.428192,0.123041,5.65e-08,0,0,0.48684
"59",107282642,"SRC kinase signaling inhibitor 1",11,6,0,3,3,0.0753322,0.1808814,0.1241564,0.187471,3.531003,0.6286561,0.8583714,0,0,0.1300528
"60",107282643,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",9,28,26,23,71,8.958598,12.58093,12.47091,9.76693,5.663185,0.4879787,0.7320444,0,0.0407923,9.43629
"61",107282646,"CDGSH iron sulfur domain 3",80,36,80,70,99,82.86292,60.69427,66.0681,65.67956,60.4524,37.80938,48.67191,0.38711,0.278563,315.911
"62",107282649,"lysine acetyltransferase 2A",41,56,62,61,110,13.31788,16.76257,15.90227,15.654652,25.45329,6.783354,16.76478,0,0.0202414,5.15459
"63",107282654,"potassium voltage-gated channel modifier subfamily G member 4",0,0,0,0,0,0.054967,0,0,0.0134638,0.12665,0.0069078,0.0102401,0,0,0
"64",107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,0,0,0,3.579186,5.540762,4.7436931,4.752180836,1.6179,0.172881,1.27746,0.169491,0.0376123,1.44698
"65",107282673,"pyridoxamine 5'-phosphate oxidase",12,20,18,15,74,139.42034,152.87917,146.56814,151.33203,48.20049427,12.0499549,41.0556966,0,0.356827,86.334208
"66",107282675,"leucine rich repeat containing 46",3,1,1,9,21,1.0497,0.932049,1.05365,1.22178,0.608303,0.1614725,0.344546,0,0,0.578143
"67",107282677,"N-acetylglucosaminidase, alpha",20,27,38,49,72,30.16478,34.55907,34.638457,36.64144,27.000216,14.037041,21.900818,0,0.0277154,8.61601
"68",107282727,"cysteine rich secretory protein LCCL domain containing 2",34,27,5,6,7,0.4964148,0.3718997,0.305194,1.0073043,1.204022,1.4192274,1.0965443,0,0,0.822291
"69",107282747,"serine/threonine kinase 31",0,2,0,0,2,0,0,0,0,0.1581535,0.05040549,0.2642331,0,0,0.0302418
"70",107282748,"WAP four-disulfide core domain 1",1,1,0,3,9,15.64236,10.74156,10.74926,11.61057,2.334758,0.2452988,1.2767349,0.894876,0.527199,2.812149
"71",107282749,"neuropeptide VF precursor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",107282756,"glycoprotein nmb",21,2,11,5,69,0.303709,0.139591,0.1304133,0.20838435,1.560523,1.090293111,3.07952,7.3718,28.0547,2.2663
"73",107282760,"coiled-coil domain containing 126",50,48,112,96,130,0.771801,0.719146,0.7294745,0.806649,4.142813,2.229614,5.3804,8.62188,3.08281,3.57605
"74",107282761,"family with sequence similarity 221 member A",46,46,87,21,78,0.0830587,0.204705268,0.3776182,0.2226072,2.61154,3.513762,7.553504,4.49697,3.373959,2.379787
"75",107282762,"membrane protein, palmitoylated 6",41,51,113,59,134,18.7002744,14.028105,19.738277,14.68757,7.471978,1.0394292,1.7776573,14.867992,11.062211,6.91632
"76",107282763,"deafness, autosomal dominant 5",30,77,119,93,166,1.6843805,1.988369,1.598548,1.8954258,1.0913815,0.6560447,1.2148767,0.418394,0.319601,0.131238
"77",107282764,"oxysterol binding protein like 3",1247,1637,1169,2884,1063,0.1389964,0.53152818,0.4578022,0.2480446,1.0670944,0.1435724,0.882739518,0.50869,1.1813411,0.5512616
"78",107282765,"cytochrome c",1698,574,806,546,499,2.57345,2.500124,2.315796,3.250573,84.85053,49.96765,40.92601,382.499,218.817,27.849
"79",107282769,"sorting nexin 10",2593,496,2661,655,681,4.207968,3.7946,5.192427,4.6907,10.692615,28.387267,10.0631047,40.58095,10.83954,13.88221
"80",107282770,"src kinase associated phosphoprotein 2",137,190,259,314,300,4.38748099,3.7136487,6.1820888,4.5224078,1.861513,1.34545,1.947845,9.78379,5.261792,1.83815
"81",107282778,"secernin 1",2,9,11,2,16,0.010043767,0.0612861,0.105523,0.0211076,0.89233984,0.29235398,0.5888815,6.07741,5.258953,1.5975157
"82",107282780,"pleckstrin homology domain containing A8",325,301,500,387,602,4.32489,2.802792,3.2831617,2.91098,0.9096208,0.60857231,0.5686247,2.99423,1.965694,1.8701549
"83",107282781,"interleukin 6",0,0,0,2,2,0,0.113858,0.0776726,0.102877,0,0.1507834,0,0,0,0
"84",107282787,"insulin like growth factor 2 mRNA binding protein 3",2,7,5,0,7,0.303575,0.4199759,0.3409447,0.770427,0.2391541,0,0.3068279,0.0484528,0.127715,0.376459
"85",107282800,"TLR4 interactor with leucine-rich repeats",6,4,8,4,5,0.340682,0.448593,0.459447,0.461968,0.100136,0.0281946,0.106788,0.922676,1.1139,0.509456
"86",107282855,"cartilage oligomeric matrix protein",0,0,0,1,0,0.104069,0,0,0,0.940281,0,0.2377035,0.0350376,0.125967,0.206097
"87",107282876,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",372,613,305,415,910,1257.151691,1155.8977,1392.885023,1136.0337,282.7648969,114.0778968,98.092072,277.147,532.78,189.328
"88",107282880,"peptidase (mitochondrial processing) beta",303,873,381,336,597,58.068713,52.783285,53.971202,53.462263,26.504223,23.808995,39.0006464,30.4511,30.2878,24.9054
"89",107282882,"mitochondrial ribosomal protein L54",216,261,143,159,198,69.65636,66.84113,59.30373,54.45794,69.176,83.3537,69.006,41.7085,41.6762,27.2283
"90",107282883,"chromosome unknown open reading frame, human C19orf25",3,6,1,8,0,20.0858,19.5227,21.3221,20.9025,17.25502641,8.372523555,9.4432918,13.6798,17.2871,12.1947
"91",107282895,"protein phosphatase 2C like domain containing 1",6,3,6,3,8,0.0616899,0,0.054496,0,0,0,0.0279359,5.79083,2.3041,0.848667
"92",107282896,"potassium voltage-gated channel subfamily H member 8",0,0,0,0,0,0,0,0,0,0,0.01378402,0.0156655,0,0,0
"93",107282899,"shugoshin-like 1 (S. pombe)",3,2,18,4,17,0,0.0156561,0.0176964,0,0.36817159,0.1027565,0.2707122,0.144056,0.0323155,0.0222143
"94",107282900,"lysine acetyltransferase 2B",66,71,62,63,119,12.060814,13.6888,15.3907,14.617452,14.65192,4.3856475,11.81793,42.61533,51.17028,37.389912
"95",107282902,"EF-hand domain family member B",3,0,0,0,0,0.0134768,0.0160103,0.0746554,0.100493,0.0601296,0.0320041,0.242777168,0,0,0.0289075
"96",107282904,"TBC1 domain family member 5",175,157,189,194,260,4.3876308,4.7848009,4.9693565,4.7303304,6.6672409,1.05062,2.940967,4.121814606,5.739144,3.901887
"97",107282905,"phospholipase C like 2",9,25,37,42,43,2.82,3.5436887,3.4121793,3.6922503,1.037138,0.317748,1.451052,1.4097179,1.727136665,0.4645098
"98",107282907,"oxidoreductase NAD-binding domain containing 1",33,62,76,106,64,28.014191,22.4604657,29.142264,30.239639,6.524788,4.581036,7.2315795,13.64696,7.444866,6.417709
"99",107282909,"biotinidase",2119.76,1547.57,2630.99,3285.49,1960.07,75.8054,91.417,78.023,81.9081,43.42237,11.26169,40.33523,80.93817,105.5781,70.46055
"100",107282911,"ankyrin repeat domain 28",215,149,412,223,325,3.915262,4.662348,4.150495,3.9659716,14.48667,3.261455,5.851854,3.34642,5.7985546,5.170813
"101",107282925,"KIAA2022 ortholog",0,0,0,0,0,0,0,0,0,0.01189887,0,0,0,0,0
"102",107282929,"ectodysplasin A",0,1,0,0,0,0.633601003,0.647526531,0.52934757,0.422822093,0.524994915,0.187859238,0.378233,0.197383,0.0837334,1.49611
"103",107282932,"ring finger protein, LIM domain interacting",56,77,61,65,97,2.100077,2.541624,2.195691,2.1601898,1.543274,1.03285,1.64838,0,0,2.98038
"104",107282951,"aryl hydrocarbon receptor",419,312,423,362,394,10.1259,8.516257,8.8615689,9.095328,4.301476,2.2257024,6.6739138,63.09988,31.5099,30.7493
"105",107282955,"integrin subunit beta 8",3,7,15,15,20,0,0.00656869,0.00742447,0.00594071,0.2861156,0.0321183,0.1113001,0.315634,0.160544,0.243897
"106",107282956,"cell division cycle associated 7 like",0,0,0,0,0,0.1181745,0.1955742,0.0439345,0.265104,3.224745,1.576802,3.028024,9.15654,10.48493,5.78684
"107",107282960,"ankyrin repeat and MYND domain containing 2",123,179,228,163,333,2.166997,2.6163615,3.389466,2.7862588,2.94785,1.23488,3.738153,16.7093,22.2289,7.45006
"108",107282961,"basic leucine zipper and W2 domains 2",44,64,128,58,113,9.164531,3.2671768,3.127868,3.1125103,7.732642,5.661931548,6.1391195,13.956065,14.393175,7.690198
"109",107282962,"tetraspanin 13",33,20,29,47,21,2.016057,1.882836,1.745475,2.341389,7.7978488,14.5038,12.3661,32.2436,20.5083,5.96111
"110",107282965,"sorting nexin 13",541,387,675,449,581,3.3914011,6.836949,10.190228,8.7291521,3.6828607,2.4538263,4.2200779,8.5344019,5.2494537,2.823425
"111",107282966,"TWIST neighbor",130,129,131,146,221,30.16709,29.78406,35.04626,30.7103,1.4212,1.66503,1.72814,11.8654,9.19627,3.90782
"112",107282967,"metastasis associated in colon cancer 1",79,113,180,59,140,0.0173863,0.03092,0.039681,0.0440259,0.2644108,0.03708038,0.0472114,0.0657109,0.100699,0.0532687
"113",107282968,"Sp4 transcription factor",8,21,9,14,50,1.503664,1.547944,1.280399,1.255465,0.223732,0.339402,0.616782,1.27153,2.22414,0.521135
"114",107282969,"cyclin J",14,33,15,30,25,1.907138,2.335633,2.56519,2.824374,0.8221939,0.126429,0.472014,4.86359,2.27485,2.32471
"115",107282970,"dynein, axonemal, heavy chain 11",11,5,0,0,17,0.04590903,0.1287448,0.1208931,0.0394518,0.245500124,0.129818605,0.945846223,0.652552,0.805762,0.360483
"116",107282978,"B-TFIID TATA-box binding protein associated factor 1",177,223,188,158,192,2.1064272,2.3501012,2.701116,2.1727416,3.382317,1.720969,4.6932304,4.83039,3.64429001,2.684200004
"117",107282981,"neural precursor cell expressed, developmentally down-regulated 9",207,118,97,74,129,1.060406,3.1465873,2.456221,3.204250033,1.163504,15.20655,1.291619,21.18943,10.77361,5.474360012
"118",107282982,"ELOVL fatty acid elongase 2",0,0,0,0,0,127.731454,149.865275,138.553197,149.949262,8.00209,0.268759,14.6718,1.49636,1.77973,0.165469
"119",107282987,"male germ cell associated kinase",39,37,10,27,42,0.0337419,0.00813998,0.00920053,0.00736167,0.0279338,0,0.0354906,0.0628053,0.0568029,0.0497364
"120",107282989,"zinc finger protein 518A",169,227,240,222,299,0.440652,0.170298,0.22915,0.242024,0.5978238,0.8097638,1.647883,2.17032,2.16548,1.22432
"121",107282992,"eukaryotic translation elongation factor 1 epsilon 1",984,330,486,252,265,3.768887,3.65157,4.219686,2.999797,8.025614,10.3744,8.112275,44.03684,22.8166,11.055975
"122",107282993,"biogenesis of lysosomal organelles complex 1 subunit 5",278,390,332,328,423,6.28626,5.32698,5.60698,6.478853,2.300295,2.37019,4.00515,31.7514,19.7591,11.52593
"123",107282996,"oligosaccharyltransferase complex subunit (non-catalytic)",1390,1188,784,950,1167,41.1787857,35.8605546,33.601951,34.165337,34.5063,108.1297,82.15598,141.6036,66.4867,45.645691
"124",107282998,"RIO kinase 1",553,357,278,129,326,3.0945162,4.035849,7.1337493,5.9761,4.16977,2.355478,2.61632,7.75542,5.66762,3.66796
"125",107283003,"ras responsive element binding protein 1",12,50,9,46,33,15.547119,14.38700539,12.667385,11.7438374,14.18899651,0.84076966,4.7724523,6.0632446,11.71423,6.632068
"126",107283006,"coagulation factor XIII A chain",62,240,130,99,172,0.0754074,0.0939595,0.155269,0.2349447,0.149771,0.581374,0.347835,1.801752,3.28784,0.296542
"127",107283007,"phenylalanyl-tRNA synthetase 2, mitochondrial",276,397,232,355,493,33.212011,44.754214,39.760886,46.465898,6.23025,3.286066,6.202503,15.3862286,18.57254,10.40218672
"128",107283009,"ribonuclease P/MRP 40kDa subunit",138,50,96,51,42,3.3249215,4.504893,3.70782,4.522443,3.594863,2.899779,3.3736287,11.729172,10.5261505,7.349359
"129",107283011,"endothelin 1",3,6,6,1,12,0.166369,0.330414,0.124497,0.473042,0.343799,0.174242,0.527958,1.22335,0.29036,0.682482
"130",107283014,"neuritin 1",0,1,0,0,0,208.969006,194.87078,202.382557,191.054622,1.78496,0.5412392,1.585594,0,0.262622,0
"131",107283018,"deiodinase, iodothyronine, type I",1433,318,937,151,926,180.875007,138.307933,150.479183,148.939652,158.7146,4.773904,82.98427,0.912113,0.686868,589.295
"132",107283021,"family with sequence similarity 159 member A",1,5,3,1,5,0,0,0,0,1.087301,0.171066,0.2921435,9.93802,26.3033,1.41734
"133",107283031,"transcription elongation factor A N-terminal and central domain containing 2",73,127,64,162,125,3.945533,5.199639,4.86067,5.435336,0.9007255,0.122958,0.7644456,0,0,6.59644
"134",107283033,"leucine rich repeat containing 42",293,282,149,327,52,5.602218,5.986136,6.23017,5.91547,6.0825721,4.00529,6.606176,0,0.04559242,7.02737
"135",107283035,"heat shock protein family B (small) member 11",42,17,10,37,17,1.089775,2.10286,1.940263,1.768206,6.66697,10.8511452,21.466162,0,0,4.08251
"136",107283040,"LDL receptor related protein 8",3,3,0,0,5,0.0161162,0.1635787,0.404911801,0.121704,0.1855454,0.120739301,0.4382468,5.87762,4.66263,2.772568
"137",107283043,"podocan",10,4,50,26,65,2.395536,3.52942181,3.1542838,3.165813164,2.129286,0.872398,1.308422,2.85227,1.86694,15.3592
"138",107283044,"sterol carrier protein 2",9641,5056,6951,4271,5198,1361.982558,952.62381,904.126138,962.55095,384.7240319,289.294845,492.47445,1.4546,4.30461,401.7461
"139",107283045,"enoyl-CoA hydratase domain containing 2",377,584,315,203,511,167.607615,230.739726,223.327553,228.761594,491.63716,244.5115481,556.456925,0,0.9481381,176.8627
"140",107283050,"pre-mRNA processing factor 38A",877,1037,721,649,791,2.1859771,2.2004032,2.419643,2.2419924,8.47562,7.2873,5.549977,22.1161,14.1944,9.3726
"141",107283052,"coiled-coil and C2 domain containing 1B",66,208,137,109,218,6.264465,9.261822,8.26376812,9.029513027,4.91401,4.3231993,4.9340207,10.806606,15.994727,8.92823
"142",107283055,"thioredoxin domain containing 12 (endoplasmic reticulum)",228,131,153,162,121,12.435749,15.70837,16.71502,16.458152,18.87616,21.509674,28.300316,420.1524,237.9669,298.0273
"143",107283057,"nardilysin convertase",722,746,781,576,686,11.2572202,12.23555304,12.81339758,26.53021801,40.884285,62.659375,55.05599174,12.68957,12.40361,11.07626
"144",107283060,"ring finger protein 11",537,644,497,692,499,35.429257,29.66553,35.301175,27.96537,55.37671,14.493,19.525712,69.9414,62.23655,25.4475
"145",107283061,"Fas associated factor 1",80,41,55,55,100,12.07902,3.99155,4.9102,4.40684,11.90601,11.20989,13.19535,3.74746,6.90634,14.0042
"146",107283064,"WD repeat domain 92",712,650,335,350,734,4.14083,4.41052,4.28293,4.84443,2.53707,0.8312087,2.319257,9.13049,10.4598,7.29914
"147",107283067,"solute carrier family 1 (glutamate transporter), member 7",1,0,0,3,0,0.0715223,0.2357607,0.182668,0.0561981,4.755034549,0.215250857,0.224590831,0.533652,0.0967305,0.608337
"148",107283068,"cytochrome c oxidase assembly factor 7",137,161,124,139,120,18.15133,16.65224,16.13999,16.25002804,17.51287,1.759907,3.70346,21.1458,25.0335,12.1555
"149",107283075,"beaded filament structural protein 1",0,0,0,0,0,0.0235141,0.0492248,0.027821,0.0246334,0.43123,0.019043227,0.14425359,0.132464,0.0781526,0.109863
"150",107283103,"transmembrane protein 238",1,4,0,1,3,83.317574,75.31289,95.8704,70.75985,30.8917,3.19709,3.13411,4.47175,11.8626,98.2841
"151",107283114,"centrosomal protein 290kDa",192,180,106,140,288,0.3780228,0.6810997,0.7970281,0.759079,0.9286434,1.030251,2.170161,2.86809922,1.3961118,0.8676132
"152",107283121,"dual specificity phosphatase 6",8,5,12,7,10,43.49169,47.67854,42.178098,50.05982,17.17139,8.886018,10.010928,35.7259,37.2601,19.0852
"153",107283122,"pleckstrin",113,189,53,124,109,0.165956,0.275383,0.197055,0.3126319,1.22527,0.676451,2.9387004,7.4894,5.92386,2.134278
"154",107283124,"transient receptor potential cation channel subfamily M member 1",8,21,27,13,30,0.2264006,0.1106264,0.114398009,0.1030263,0.0446191,0,0.000165402,0.219701635,0.040922239,0.008839958
"155",107283134,"regulatory factor X7",8,9,7,8,17,2.028323465,2.98081029,2.855157031,2.907741122,1.125111,0.2522938,0.9663858,1.549830004,2.94072,1.93513
"156",107283138,"WD repeat domain 72",0,3,2,0,0,0.0446208,1.966432,2.330365,2.106266,2.223827,9.331057,10.28564,0.37915,0.167136,0.1236173
"157",107283141,"myotubularin related protein 10",11,30,10,23,26,7.285881,5.93340035,6.246513,6.648833059,6.640116,2.179797,8.52096,18.1098,21.3625,17.6763
"158",107283146,"annexin A2",434,475,752,401,821,11.8367506,11.448594,11.9934504,11.5510222,52.19317,21.45795,41.55343,26.0132,38.2508,11.424344
"159",107283147,"RAR related orphan receptor A",9,26,11,30,69,16.8413645,14.601365,13.294873,13.63814,3.4041766,3.769838,6.7882642,4.57032,4.58527,4.439414
"160",107283154,"ADAM metallopeptidase domain 10",38,112,62,120,136,5.84364,8.003313,9.617973,6.34053,20.0220961,5.2760781,6.8157351,13.414637,13.678441,6.272158
"161",107283157,"zinc finger protein 280D",21,24,22,32,47,2.38298292,9.3392461,10.75125936,7.29122552,0.640861,0.180957,0.170867,4.998569,3.745962,3.153709
"162",107283162,"methylmalonyl-CoA epimerase",105,177,48,71,145,40.51307,33.12019,36.60262,32.26968,19.892858,27.235905,38.816269,231.451,257.759,87.4075
"163",107283168,"carbonic anhydrase XII",0,0,0,0,0,0.1773245,0,0,0.0160696,1.942457,0.0443453,0.156762,0.5391436,0.0750376,0.230167
"164",107283170,"ubiquitin specific peptidase 3",35,78,51,123,99,10.299216,10.390333,9.733944732,10.607749,16.46561705,6.1929157,8.9749115,7.85575763,10.1503469,7.22605
