"","Orthogroup","Species.Tree.Node","Gene.Tree.Node","Support","Type","Genes.1","Genes.2"
"11","OG0000137","N_naja.pep","n9",1,"Terminal","N_naja_pep_Nana21626-RB","N_naja_pep_Nana21626-RA"
"12","OG0000137","N0","n10",0.888888888888889,"Non-Terminal","A_carolinensis_pep_ENSACAG00000005384.3, P_Mucros_pep_XP_015665901.1, N_naja_pep_Nana23253-RA, N_naja_pep_Nana23253-RB, M_musculus_pep_ENSMUSG00000038967.13, C_familiaris_pep_ENSCAFG00000016967.4, P_troglodytes_pep_ENSPTRG00000009388.4, H_sapiens_pep_ENSG00000005882.12, G_gallus_pep_ENSGALG00000045846.2","P_Mucros_pep_XP_015683353.1, P_Mucros_pep_XP_015683349.1, P_Mucros_pep_XP_015683341.1, A_carolinensis_pep_ENSACAG00000007063.3, H_sapiens_pep_ENSG00000067992.15, C_familiaris_pep_ENSCAFG00000013476.4, P_troglodytes_pep_ENSPTRG00000021750.6, M_musculus_pep_ENSMUSG00000035232.8, G_gallus_pep_ENSGALG00000016323.5, X_tropicalis_pep_ENSXETG00000011285.1, C_familiaris_pep_ENSCAFG00000006315.4, N_naja_pep_Nana25813-RA, X_tropicalis_pep_ENSXETG00000011177.1, N_naja_pep_Nana03410-RA, N_naja_pep_Nana03410-RB, P_Mucros_pep_XP_015676018.1, A_carolinensis_pep_ENSACAG00000015877.3, G_gallus_pep_ENSGALG00000013235.5, C_familiaris_pep_ENSCAFG00000013060.5, P_troglodytes_pep_ENSPTRG00000012642.6, H_sapiens_pep_ENSG00000152256.13, M_musculus_pep_ENSMUSG00000006494.11"
"13","OG0000137","N_naja.pep","n14",1,"Terminal","N_naja_pep_Nana23253-RA","N_naja_pep_Nana23253-RB"
"14","OG0000137","N0","n19",0.888888888888889,"Non-Terminal","P_Mucros_pep_XP_015683353.1, P_Mucros_pep_XP_015683349.1, P_Mucros_pep_XP_015683341.1, A_carolinensis_pep_ENSACAG00000007063.3, H_sapiens_pep_ENSG00000067992.15, C_familiaris_pep_ENSCAFG00000013476.4, P_troglodytes_pep_ENSPTRG00000021750.6, M_musculus_pep_ENSMUSG00000035232.8, G_gallus_pep_ENSGALG00000016323.5, X_tropicalis_pep_ENSXETG00000011285.1","C_familiaris_pep_ENSCAFG00000006315.4, N_naja_pep_Nana25813-RA, X_tropicalis_pep_ENSXETG00000011177.1, N_naja_pep_Nana03410-RA, N_naja_pep_Nana03410-RB, P_Mucros_pep_XP_015676018.1, A_carolinensis_pep_ENSACAG00000015877.3, G_gallus_pep_ENSGALG00000013235.5, C_familiaris_pep_ENSCAFG00000013060.5, P_troglodytes_pep_ENSPTRG00000012642.6, H_sapiens_pep_ENSG00000152256.13, M_musculus_pep_ENSMUSG00000006494.11"
"15","OG0000137","P_Mucros.pep","n23",1,"Terminal","P_Mucros_pep_XP_015683353.1","P_Mucros_pep_XP_015683349.1, P_Mucros_pep_XP_015683341.1"
"16","OG0000137","P_Mucros.pep","n24",1,"Terminal","P_Mucros_pep_XP_015683349.1","P_Mucros_pep_XP_015683341.1"
"17","OG0000137","N_naja.pep","n36",1,"Terminal","N_naja_pep_Nana03410-RA","N_naja_pep_Nana03410-RB"
"18","OG0000187","N0","n0",1,"Non-Terminal","X_tropicalis_pep_ENSXETG00000009907.1, N_naja_pep_Nana02631-RA, P_Mucros_pep_XP_015679486.1, P_Mucros_pep_XP_015679485.1, G_gallus_pep_ENSGALG00000016485.6, C_familiaris_pep_ENSCAFG00000003850.3, M_musculus_pep_ENSMUSG00000054364.5, H_sapiens_pep_ENSG00000143878.10, A_carolinensis_pep_ENSACAG00000010665.2, M_musculus_pep_ENSMUSG00000036463.8, A_carolinensis_pep_ENSACAG00000005247.3, P_troglodytes_pep_ENSPTRG00000001112.6, M_musculus_pep_ENSMUSG00000002233.13, C_familiaris_pep_ENSCAFG00000047569.1, C_familiaris_pep_ENSCAFG00000013413.4, G_gallus_pep_ENSGALG00000001569.6, A_carolinensis_pep_ENSACAG00000017941.3, P_Mucros_pep_XP_015682140.1, P_Mucros_pep_XP_015682141.1, N_naja_pep_Nana14009-RA, X_tropicalis_pep_ENSXETG00000018919.1","P_troglodytes_pep_ENSPTRG00000014922.5, C_familiaris_pep_ENSCAFG00000023066.2, H_sapiens_pep_ENSG00000067560.12, M_musculus_pep_ENSMUSG00000007815.13, P_Mucros_pep_XP_015680999.1, P_Mucros_pep_XP_015680930.1, P_Mucros_pep_XP_015680859.1, A_carolinensis_pep_ENSACAG00000008297.3, N_naja_pep_Nana08636-RA, G_gallus_pep_ENSGALG00000003806.7, P_Mucros_pep_XP_029140248.1, P_Mucros_pep_XP_015672812.1, P_Mucros_pep_XP_029140247.1, X_tropicalis_pep_ENSXETG00000015187.1, X_tropicalis_pep_ENSXETG00000017358.1"
"19","OG0000187","N0","n1",0.777777777777778,"Non-Terminal","X_tropicalis_pep_ENSXETG00000009907.1, N_naja_pep_Nana02631-RA, P_Mucros_pep_XP_015679486.1, P_Mucros_pep_XP_015679485.1, G_gallus_pep_ENSGALG00000016485.6, C_familiaris_pep_ENSCAFG00000003850.3, M_musculus_pep_ENSMUSG00000054364.5, H_sapiens_pep_ENSG00000143878.10, A_carolinensis_pep_ENSACAG00000010665.2, M_musculus_pep_ENSMUSG00000036463.8, A_carolinensis_pep_ENSACAG00000005247.3","P_troglodytes_pep_ENSPTRG00000001112.6, M_musculus_pep_ENSMUSG00000002233.13, C_familiaris_pep_ENSCAFG00000047569.1, C_familiaris_pep_ENSCAFG00000013413.4, G_gallus_pep_ENSGALG00000001569.6, A_carolinensis_pep_ENSACAG00000017941.3, P_Mucros_pep_XP_015682140.1, P_Mucros_pep_XP_015682141.1, N_naja_pep_Nana14009-RA, X_tropicalis_pep_ENSXETG00000018919.1"
"20","OG0000187","P_Mucros.pep","n8",1,"Terminal","P_Mucros_pep_XP_015679486.1","P_Mucros_pep_XP_015679485.1"
"21","OG0000187","C_familiaris.pep","n17",1,"Terminal","C_familiaris_pep_ENSCAFG00000047569.1","C_familiaris_pep_ENSCAFG00000013413.4"
"22","OG0000187","P_Mucros.pep","n20",1,"Terminal","P_Mucros_pep_XP_015682140.1","P_Mucros_pep_XP_015682141.1"
"23","OG0000187","P_Mucros.pep","n27",1,"Terminal","P_Mucros_pep_XP_015680999.1","P_Mucros_pep_XP_015680930.1, P_Mucros_pep_XP_015680859.1"
"24","OG0000187","P_Mucros.pep","n28",1,"Terminal","P_Mucros_pep_XP_015680930.1","P_Mucros_pep_XP_015680859.1"
"25","OG0000187","P_Mucros.pep","n32",1,"Terminal","P_Mucros_pep_XP_029140248.1","P_Mucros_pep_XP_015672812.1, P_Mucros_pep_XP_029140247.1"
"26","OG0000187","P_Mucros.pep","n33",1,"Terminal","P_Mucros_pep_XP_015672812.1","P_Mucros_pep_XP_029140247.1"
"27","OG0000187","X_tropicalis.pep","n34",1,"Terminal","X_tropicalis_pep_ENSXETG00000015187.1","X_tropicalis_pep_ENSXETG00000017358.1"
"28","OG0000243","N0","n0",0.888888888888889,"Non-Terminal","H_sapiens_pep_ENSG00000105649.10, P_troglodytes_pep_ENSPTRG00000010697.4, C_familiaris_pep_ENSCAFG00000014945.4, M_musculus_pep_ENSMUSG00000031840.12, M_musculus_pep_ENSMUSG00000111277.2, X_tropicalis_pep_ENSXETG00000006946.1, G_gallus_pep_ENSGALG00000030068.2, N_naja_pep_Nana06066-RA, P_Mucros_pep_XP_015665477.1","P_Mucros_pep_XP_015670630.1, G_gallus_pep_ENSGALG00000014726.6, C_familiaris_pep_ENSCAFG00000007008.5, H_sapiens_pep_ENSG00000152932.8, P_troglodytes_pep_ENSPTRG00000016898.6, M_musculus_pep_ENSMUSG00000021700.10, X_tropicalis_pep_ENSXETG00000020228.1, P_Mucros_pep_XP_015666407.1, A_carolinensis_pep_ENSACAG00000028717.1, G_gallus_pep_ENSGALG00000010567.6, X_tropicalis_pep_ENSXETG00000001595.1, P_troglodytes_pep_ENSPTRG00000000732.4, H_sapiens_pep_ENSG00000169213.7, M_musculus_pep_ENSMUSG00000003411.10, C_familiaris_pep_ENSCAFG00000003790.4, X_tropicalis_pep_ENSXETG00000010363.1, P_troglodytes_pep_ENSPTRG00000010497.4, H_sapiens_pep_ENSG00000105514.8, C_familiaris_pep_ENSCAFG00000017438.5, M_musculus_pep_ENSMUSG00000019066.13, A_carolinensis_pep_ENSACAG00000016810.2, P_Mucros_pep_XP_015668788.1, P_Mucros_pep_XP_015668787.1, N_naja_pep_Nana10898-RA"
"29","OG0000243","M_musculus.pep","n6",1,"Terminal","M_musculus_pep_ENSMUSG00000031840.12","M_musculus_pep_ENSMUSG00000111277.2"
"30","OG0000243","N0","n9",0.777777777777778,"Non-Terminal","P_Mucros_pep_XP_015670630.1, G_gallus_pep_ENSGALG00000014726.6, C_familiaris_pep_ENSCAFG00000007008.5, H_sapiens_pep_ENSG00000152932.8, P_troglodytes_pep_ENSPTRG00000016898.6, M_musculus_pep_ENSMUSG00000021700.10, X_tropicalis_pep_ENSXETG00000020228.1","P_Mucros_pep_XP_015666407.1, A_carolinensis_pep_ENSACAG00000028717.1, G_gallus_pep_ENSGALG00000010567.6, X_tropicalis_pep_ENSXETG00000001595.1, P_troglodytes_pep_ENSPTRG00000000732.4, H_sapiens_pep_ENSG00000169213.7, M_musculus_pep_ENSMUSG00000003411.10, C_familiaris_pep_ENSCAFG00000003790.4, X_tropicalis_pep_ENSXETG00000010363.1, P_troglodytes_pep_ENSPTRG00000010497.4, H_sapiens_pep_ENSG00000105514.8, C_familiaris_pep_ENSCAFG00000017438.5, M_musculus_pep_ENSMUSG00000019066.13, A_carolinensis_pep_ENSACAG00000016810.2, P_Mucros_pep_XP_015668788.1, P_Mucros_pep_XP_015668787.1, N_naja_pep_Nana10898-RA"
"31","OG0000243","N0","n16",0.777777777777778,"Non-Terminal","P_Mucros_pep_XP_015666407.1, A_carolinensis_pep_ENSACAG00000028717.1, G_gallus_pep_ENSGALG00000010567.6, X_tropicalis_pep_ENSXETG00000001595.1, P_troglodytes_pep_ENSPTRG00000000732.4, H_sapiens_pep_ENSG00000169213.7, M_musculus_pep_ENSMUSG00000003411.10, C_familiaris_pep_ENSCAFG00000003790.4","X_tropicalis_pep_ENSXETG00000010363.1, P_troglodytes_pep_ENSPTRG00000010497.4, H_sapiens_pep_ENSG00000105514.8, C_familiaris_pep_ENSCAFG00000017438.5, M_musculus_pep_ENSMUSG00000019066.13, A_carolinensis_pep_ENSACAG00000016810.2, P_Mucros_pep_XP_015668788.1, P_Mucros_pep_XP_015668787.1, N_naja_pep_Nana10898-RA"
"32","OG0000243","P_Mucros.pep","n31",1,"Terminal","P_Mucros_pep_XP_015668788.1","P_Mucros_pep_XP_015668787.1"
"33","OG0000252","N0","n0",0.888888888888889,"Non-Terminal","H_sapiens_pep_ENSG00000138814.17, P_troglodytes_pep_ENSPTRG00000016315.5, C_familiaris_pep_ENSCAFG00000010644.5, M_musculus_pep_ENSMUSG00000028161.17, A_carolinensis_pep_ENSACAG00000012558.3, P_Mucros_pep_XP_015683811.1, P_Mucros_pep_XP_015683804.1, P_Mucros_pep_XP_015683825.1, P_Mucros_pep_XP_015683833.1, P_Mucros_pep_XP_015683818.1, G_gallus_pep_ENSGALG00000039498.2, X_tropicalis_pep_ENSXETG00000012165.1","G_gallus_pep_ENSGALG00000005243.6, P_troglodytes_pep_ENSPTRG00000002631.6, C_familiaris_pep_ENSCAFG00000014818.5, M_musculus_pep_ENSMUSG00000021816.11, H_sapiens_pep_ENSG00000107758.15, A_carolinensis_pep_ENSACAG00000010008.3, X_tropicalis_pep_ENSXETG00000020699.1, X_tropicalis_pep_ENSXETG00000003011.1, P_troglodytes_pep_ENSPTRG00000020059.6, H_sapiens_pep_ENSG00000120910.14, C_familiaris_pep_ENSCAFG00000009390.5, M_musculus_pep_ENSMUSG00000022092.11, G_gallus_pep_ENSGALG00000041413.2, A_carolinensis_pep_ENSACAG00000010782.3, P_Mucros_pep_XP_015673469.1, N_naja_pep_Nana28247-RA, N_naja_pep_Nana28247-RC, N_naja_pep_Nana28247-RE, N_naja_pep_Nana28247-RB, N_naja_pep_Nana28247-RD"
"34","OG0000252","P_Mucros.pep","n8",1,"Terminal","P_Mucros_pep_XP_015683811.1, P_Mucros_pep_XP_015683804.1, P_Mucros_pep_XP_015683825.1, P_Mucros_pep_XP_015683833.1","P_Mucros_pep_XP_015683818.1"
"35","OG0000252","P_Mucros.pep","n9",1,"Terminal","P_Mucros_pep_XP_015683811.1, P_Mucros_pep_XP_015683804.1","P_Mucros_pep_XP_015683825.1, P_Mucros_pep_XP_015683833.1"
"36","OG0000252","P_Mucros.pep","n10",1,"Terminal","P_Mucros_pep_XP_015683811.1","P_Mucros_pep_XP_015683804.1"
"37","OG0000252","P_Mucros.pep","n11",1,"Terminal","P_Mucros_pep_XP_015683825.1","P_Mucros_pep_XP_015683833.1"
"38","OG0000252","N0","n12",0.777777777777778,"Non-Terminal","G_gallus_pep_ENSGALG00000005243.6, P_troglodytes_pep_ENSPTRG00000002631.6, C_familiaris_pep_ENSCAFG00000014818.5, M_musculus_pep_ENSMUSG00000021816.11, H_sapiens_pep_ENSG00000107758.15, A_carolinensis_pep_ENSACAG00000010008.3, X_tropicalis_pep_ENSXETG00000020699.1","X_tropicalis_pep_ENSXETG00000003011.1, P_troglodytes_pep_ENSPTRG00000020059.6, H_sapiens_pep_ENSG00000120910.14, C_familiaris_pep_ENSCAFG00000009390.5, M_musculus_pep_ENSMUSG00000022092.11, G_gallus_pep_ENSGALG00000041413.2, A_carolinensis_pep_ENSACAG00000010782.3, P_Mucros_pep_XP_015673469.1, N_naja_pep_Nana28247-RA, N_naja_pep_Nana28247-RC, N_naja_pep_Nana28247-RE, N_naja_pep_Nana28247-RB, N_naja_pep_Nana28247-RD"
"39","OG0000252","N_naja.pep","n27",1,"Terminal","N_naja_pep_Nana28247-RA, N_naja_pep_Nana28247-RC","N_naja_pep_Nana28247-RE, N_naja_pep_Nana28247-RB, N_naja_pep_Nana28247-RD"
"40","OG0000252","N_naja.pep","n28",1,"Terminal","N_naja_pep_Nana28247-RA","N_naja_pep_Nana28247-RC"
"41","OG0000252","N_naja.pep","n29",1,"Terminal","N_naja_pep_Nana28247-RE, N_naja_pep_Nana28247-RB","N_naja_pep_Nana28247-RD"
"42","OG0000252","N_naja.pep","n30",1,"Terminal","N_naja_pep_Nana28247-RE","N_naja_pep_Nana28247-RB"
"43","OG0000281","N0","n0",1,"Non-Terminal","A_carolinensis_pep_ENSACAG00000000017.3, G_gallus_pep_ENSGALG00000011272.3, P_Mucros_pep_XP_015666225.1, P_Mucros_pep_XP_015666224.1, N_naja_pep_Nana21935-RA, P_troglodytes_pep_ENSPTRG00000014682.5, H_sapiens_pep_ENSG00000144566.11, C_familiaris_pep_ENSCAFG00000005814.3, M_musculus_pep_ENSMUSG00000017831.8, X_tropicalis_pep_ENSXETG00000017328.1","M_musculus_pep_ENSMUSG00000000711.3, C_familiaris_pep_ENSCAFG00000000087.4, H_sapiens_pep_ENSG00000111540.16, P_troglodytes_pep_ENSPTRG00000005071.5, A_carolinensis_pep_ENSACAG00000005380.3, P_Mucros_pep_XP_015671801.1, P_Mucros_pep_XP_015671802.1, P_Mucros_pep_XP_015671803.1, G_gallus_pep_ENSGALG00000042482.3, X_tropicalis_pep_ENSXETG00000017660.1, P_Mucros_pep_XP_015671804.1, X_tropicalis_pep_ENSXETG00000002474.1, P_Mucros_pep_XP_015665944.1, N_naja_pep_Nana23150-RA, N_naja_pep_Nana23150-RB, A_carolinensis_pep_ENSACAG00000017960.2, G_gallus_pep_ENSGALG00000003359.5, P_troglodytes_pep_ENSPTRG00000009194.4, H_sapiens_pep_ENSG00000108774.14, C_familiaris_pep_ENSCAFG00000015629.3, M_musculus_pep_ENSMUSG00000019173.11"
"44","OG0000281","P_Mucros.pep","n6",1,"Terminal","P_Mucros_pep_XP_015666225.1","P_Mucros_pep_XP_015666224.1"
"45","OG0000281","N0","n10",0.777777777777778,"Non-Terminal","M_musculus_pep_ENSMUSG00000000711.3, C_familiaris_pep_ENSCAFG00000000087.4, H_sapiens_pep_ENSG00000111540.16, P_troglodytes_pep_ENSPTRG00000005071.5, A_carolinensis_pep_ENSACAG00000005380.3, P_Mucros_pep_XP_015671801.1, P_Mucros_pep_XP_015671802.1, P_Mucros_pep_XP_015671803.1, G_gallus_pep_ENSGALG00000042482.3, X_tropicalis_pep_ENSXETG00000017660.1, P_Mucros_pep_XP_015671804.1, X_tropicalis_pep_ENSXETG00000002474.1","P_Mucros_pep_XP_015665944.1, N_naja_pep_Nana23150-RA, N_naja_pep_Nana23150-RB, A_carolinensis_pep_ENSACAG00000017960.2, G_gallus_pep_ENSGALG00000003359.5, P_troglodytes_pep_ENSPTRG00000009194.4, H_sapiens_pep_ENSG00000108774.14, C_familiaris_pep_ENSCAFG00000015629.3, M_musculus_pep_ENSMUSG00000019173.11"
"46","OG0000281","P_Mucros.pep","n19",1,"Terminal","P_Mucros_pep_XP_015671801.1","P_Mucros_pep_XP_015671802.1, P_Mucros_pep_XP_015671803.1"
"47","OG0000281","P_Mucros.pep","n20",1,"Terminal","P_Mucros_pep_XP_015671802.1","P_Mucros_pep_XP_015671803.1"
"48","OG0000281","N_naja.pep","n25",1,"Terminal","N_naja_pep_Nana23150-RA","N_naja_pep_Nana23150-RB"
"49","OG0000331","N0","n0",1,"Non-Terminal","N_naja_pep_Nana16409-RA, P_Mucros_pep_XP_015673116.1, P_Mucros_pep_XP_015673115.1, A_carolinensis_pep_ENSACAG00000016702.1, G_gallus_pep_ENSGALG00000030660.3, X_tropicalis_pep_ENSXETG00000017622.1, H_sapiens_pep_ENSG00000147570.10, P_troglodytes_pep_ENSPTRG00000020301.4, M_musculus_pep_ENSMUSG00000027606.12, C_familiaris_pep_ENSCAFG00000025445.4","N_naja_pep_Nana13337-RA, P_troglodytes_pep_ENSPTRG00000044788.1, P_troglodytes_pep_ENSPTRG00000043106.1, H_sapiens_pep_ENSG00000101152.11, M_musculus_pep_ENSMUSG00000000826.16, P_Mucros_pep_XP_015678114.1, G_gallus_pep_ENSGALG00000035378.2, A_carolinensis_pep_ENSACAG00000006841.3, C_familiaris_pep_ENSCAFG00000013084.6, C_familiaris_pep_ENSCAFG00000032365.2, P_troglodytes_pep_ENSPTRG00000011758.6, H_sapiens_pep_ENSG00000163793.13, M_musculus_pep_ENSMUSG00000053856.7, G_gallus_pep_ENSGALG00000034137.2, X_tropicalis_pep_ENSXETG00000003716.1, N_naja_pep_Nana00675-RA, P_Mucros_pep_XP_015670302.1, P_Mucros_pep_XP_029139764.1, P_Mucros_pep_XP_015670301.1"
"50","OG0000331","P_Mucros.pep","n6",1,"Terminal","P_Mucros_pep_XP_015673116.1","P_Mucros_pep_XP_015673115.1"
"51","OG0000331","N0","n10",0.777777777777778,"Non-Terminal","N_naja_pep_Nana13337-RA, P_troglodytes_pep_ENSPTRG00000044788.1, P_troglodytes_pep_ENSPTRG00000043106.1, H_sapiens_pep_ENSG00000101152.11, M_musculus_pep_ENSMUSG00000000826.16, P_Mucros_pep_XP_015678114.1, G_gallus_pep_ENSGALG00000035378.2, A_carolinensis_pep_ENSACAG00000006841.3, C_familiaris_pep_ENSCAFG00000013084.6","C_familiaris_pep_ENSCAFG00000032365.2, P_troglodytes_pep_ENSPTRG00000011758.6, H_sapiens_pep_ENSG00000163793.13, M_musculus_pep_ENSMUSG00000053856.7, G_gallus_pep_ENSGALG00000034137.2, X_tropicalis_pep_ENSXETG00000003716.1, N_naja_pep_Nana00675-RA, P_Mucros_pep_XP_015670302.1, P_Mucros_pep_XP_029139764.1, P_Mucros_pep_XP_015670301.1"
"52","OG0000331","P_Mucros.pep","n26",1,"Terminal","P_Mucros_pep_XP_015670302.1, P_Mucros_pep_XP_029139764.1","P_Mucros_pep_XP_015670301.1"
"53","OG0000331","P_Mucros.pep","n27",1,"Terminal","P_Mucros_pep_XP_015670302.1","P_Mucros_pep_XP_029139764.1"
