"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_kidn_1","Mus_kidn_2","Mus_kidn_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Canis_kidn_1","Canis_kidn_2","Canis_kidn_3"
"11",107282217,"solute carrier family 35 member E1",51,34,30,32,23,16,16,24,19,9,31,13,20,16,13,19,22,18,23,12,8,16,69,27,50,22,34,25,29,18,34.9254,33.3856,35.2168,17.51409,20.25054428,21.44453,20.2707,25.5709,14.2639
"12",107282221,"Rho/Rac guanine nucleotide exchange factor 18",45,42,38,25,11,11,14,24,30,18,36,26,14,14,28,15,47,16,41,27,9,30,48,31,34,26,34,24,32,19,32.691918,27.6331561,31.026534,0,0,0,9.7666,11.5494,16.6258
"13",107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",204,96,74,45,48,28,13,102,34,43,132,158,66,91,52,45,164,72,40,115,66,158,233,49,278,36,43,45,94,14,91.96616203,95.670868,90.035338,76.481099,57.86596,47.77905,27.71461,25.30728,49.507842
"14",107282230,"RAB3A, member RAS oncogene family",124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38,21.034012,21.138345,21.075653,19.59218,17.880694,9.684418,11.49606,17.83606,16.68849
"15",107282233,"DET1 and DDB1 associated 1",556,607,442,345,304,358,166,289,353,150,450,492,318,246,211,270,264,222,425,188,259,423,661,391,691,466,409,331.73,437.01,359,42.9660967,39.067829,44.991043,61.383,26.00269,18.02716,35.05612,71.8718,44.5731
"16",107282238,"mitogen-activated protein kinase kinase kinase 5",30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18,13.397352,14.124607,11.590454,6.92595,3.388671,12.7459,6.543698,5.9603,4.44082
"17",107282258,"adaptor related protein complex 3 delta 1 subunit",434,199,365,216,292,162,170,220,274,205,331,435,208,250,148,197,194,278,246,219,162,352,639,373,633,160,284,359,240,327,79.99737,80.033848,82.49106,81.0281828,93.3675634,74.967597,48.9958,40.01507,27.07515
"18",107282273,"phosphoinositide-3-kinase regulatory subunit 2",41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12,22.027134,20.267622,20.613483,44.580378,20.770787,11.21174,13.257627,10.223877,5.7308113
"19",107282274,"microtubule associated serine/threonine kinase 3",4,10,4,27,15,8,15,5,8,5,11,6,1,12,11,15,18,15,12,12,11,11,11,4,18,2,17,28,2,23,10.314624,8.6637124,11.386318,9.33287,14.34645,7.245677,13.8268333,15.661587,4.009120401
"20",107282288,"coiled-coil serine rich protein 1",187,171,227,127,108,97,75,88,115,87,136,97,94,120,153,89,168,113,175,131,133,107,247,124,163,75,182,147,101,112,3.793922,3.928565,3.5652089,3.649003,1.469982,4.21026,1.1961368,1.883526606,0.4709314
"21",107282290,"phospholipid phosphatase related 3",1,6,10,0,0,1,0,1,2,2,5,2,4,1,0,1,0,0,8,2,0,5,12,4,3,2,1,0,1,0,3.871601,3.373219,4.142697,0.0347298,0,0,0.0493937,0.0164394,0.0678372
"22",107282350,"serine/threonine kinase 24",261,225,236,282,191,112,70,145.99,208,68,203,97,139,124,115,112,114,149,158,86,137,177,226,164,175,216,181,61,191,199,19.842851,19.776031,19.0891272,43.333124,48.389634,60.922016,41.17323005,40.83160042,57.39563734
"23",107282361,"dickkopf WNT signaling pathway inhibitor 2",87,651,652,147.97,365,93,515,324,239,116,126,242,389,642,606,457,311,179,489,135,145,238,785,337,340,247,158,143.98,187,126,8.64818,8.21692,8.34349,0.246961,0.0246807,0.33978,0.828696,12.2521,2.7796
"24",107282362,"solute carrier family 15 (oligopeptide transporter), member 1",3753,455,2,1259,880,497,450,324,326,487,81,2402,2,527,1144,537,407,351,134,449,591,1,1,136,1949,8,2803,1140,23,555,0.227587,0.325874,0.238259,19.048952,11.194612,22.800559,0.0652997,0.161655,0.11714862
"25",107282380,"F-box protein 47",0,9,1,2,0,9,0,0,1,1,3,4,0,1,0,3,1,3,3,0,1,4,2,0,3.98,8,3,2,6,2,0.13329,0.300328,0.2275527,0,0.083559,0,0,0,0.0175877
"26",107282413,"tubulin folding cofactor D",2228.62,545.85,629.62,1889.44,1251.7,1019.47,2603.91,2745.77,1621.09,1492.39,1071.94,888.71,328.07,1243.69,3154.29,2054.24,3725.42,3132.22,758.01,1795.75,2540,514.43,787.55,524.34,1052.6,360.37,1938.01,1428.81,405.47,937.8,38.899467,44.173369,36.841813,32.84824,38.510023,45.4293068,26.4973,1.2355465,10.397274
"27",107282421,"plexin domain containing 1",5.56,79,89,70,5,28,6,26,73,10,66,70,36,14,19,13,9,5,86,10,17,90,127,52,28,117,24,8,67,6,0.661083,0.88151,0.854545,2.526656,7.9207436,1.600324,1.39147,0,3.863516
"28",107282422,"DEAD-box helicase 42",442.23,722.52,723.47,483,278.03,615.62,207,487.01,408.08,315.04,450.06,601.09,365,199,269,237.47,301.08,511,773.51,472.22,399,878.94,2438.04,485.01,608.85,684.25,362.97,135.03,601.51,418,7.539652,6.840598,7.065579,50.46079,33.64802,43.11882,12.7651,0.16315,15.5372
"29",107282423,"zinc finger protein 750",2288,1082,1712,1708,1200,692,819,1103,1244,839,1003,1302,680,1052,815,1074,1218,1438,1305,996,979,956,2229,775,1168,939,1654,430,801,1063,2.12227,2.25394,2.20835,1.157015,0.464718,0.62837322,0.0942797,0,0.211247
"30",107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",269,267,288,139,147,197,109,138,253,124,207,267,212,193,167,144,233,188,376,238,99,205,545,244,280,102,250,80,124,162,37.841167,37.783656,36.35836,20.70553,16.388755,28.888974,12.121052,28.19898,25.365319
"31",107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",192,198,270,213,127,149,58,113,170,56,191,146,181,117,95,102,61,72,269,82,142,257,286,163,175,334,168,78,120,116,16.5421,15.389745,15.727136,1.049248,1.058014,3.654694,3.39983,9.94643,4.67852
"32",107282516,"myocardin",7,17,14,9,2,9,0,7,9,4,4,9,10,1,7,9,3,5,10,6,1,17,31,16,13,14,16,3,9,4,0.1799672,0.2060387,0.267077902,0.4748378,0.2864345,0.566158012,0.141374,0.111401,1.29271
"33",107282539,"troponin T1, slow skeletal type",0,53,1,16,21,1293,5,50,13,25,115.85,84,3,9,1,36,9,1,30,0,0,121,3,16,2,2,15,79,1360,41,11.886718,10.262262,9.587853,0.948482,0.327262,0.72765,3.37232,0.684763,0.4357454
"34",107282560,"SAGA complex associated factor 29",60,74,116,49,27,106,27,71,44,71,46,113,47,33,46,36,29,68,76,48,63,92,173,55,67,118,58,11,81,31,36.689502,31.831785,45.00603,25.87294,23.94817,9.916956,14.961928,13.59809,14.98823
"35",107282562,"sphingomyelin synthase 2",917,725,1032,627,366,406,171,451,420,235,875,556,578,322,344,344,300,329,618,264,233,470,1071,469,787,1235,553,216,538,548,20.357316,18.154866,20.644666,6.9591019,3.549287,13.471349,11.52835,43.0481,17.7708
"36",107282570,"regulator of G-protein signaling 9",29,6,5,13,11,16,83,55,30,41,11,6,2,2,51,32,60,26,11,47,24,3,27,14,3,4,27,22,3,31,1.189715,1.150043,1.50267,4.018443123,3.2475499,4.324101,1.694646,0.44152,1.1370932
"37",107282571,"guanine nucleotide binding protein (G protein), alpha 13",990,1622,1773,830,573,962,278,506,769,379,1023,440,609,410,546,388,571,559,913,509,410,1000,1789,700,1204,1513,805,252,1016,458,22.15171,21.64255,22.09093,5.64068,2.0589,13.6193789,10.7209,0.18316,7.77278
"38",107282575,"arylsulfatase G",1043,498,457,533,327,384,268,332,587,347,286,510,300,386,434,362,643,396,527,431,285,216,516,465,694,496,550,446,395,645,14.49214514,13.678066,14.596052,9.379939481,6.79713,6.20706255,14.7437,0,6.55132
"39",107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",183,106,148,80,70,80,31,100,72,44,130,124,109,75,72,96,92,91,193,96,73,180,388,133,211,118,120,51,133,75,70.32936,68.76041,70.23314,225.7349603,60.4909,188.4816638,106.197119,0.590511,197.94385
"40",107282581,"potassium voltage-gated channel subfamily J member 16",0,0,1,0,0,7,0,0,0,1,2,1,0,0,0,0,0,0,8,1,0,8.02,0,1,0,6,0,1,3.03,0,120.4115,122.957515,122.93045,74.66137,23.8310238,135.5265,32.7362,0.162717,10.2695
"41",107282586,"phosphatase, orphan 1",4,6,5,6,5,13,1,5,83,2,8,42,6,2,0,4,0,1,5,1,5,22,244,4,18,13,3,0,15,1,27.1551074,27.095,28.8973,1.104998,0.890982,0.733525,0.964271,0,0.521615
"42",107282593,"homeobox B1",0,2,3,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,1,0,0,3,0,0.0198057,0,0.0805681,0,0.679468,0.1832,0,0,0
"43",107282595,"T-box 21",0,3,2,1,0,8,0,3,0,4,4,1,0,3,0,0,0,0,1,0,0,3,1,0,0,4,0,0,5,0,0.392101,0.368649,0.398747,0.383919,0.109601,0.196125,0.109775,0,0.19324
"44",107282597,"potassium voltage-gated channel subfamily H member 4",0,4.99,7,0,0,6,0,6,3,0,2,0,1,2,0,2,0,0,2,1,2,3,4.99,3,3,9,1,1,2,4,0.33954117,0.476054,0.332518,0,0.120877,0.0288403,0.0807588,0,0.115513
"45",107282604,"transmembrane protein 101",30,27,38,36,20,45,15,24,12,20,15,26,19,12,21,17,12,38,21,13,17,56,127,5,21,51,20,3,22,10,14.0785495,12.43165,13.264158,69.988802,56.579652,63.8629134,14.832,0,13.855
"46",107282607,"protein phosphatase 1 regulatory subunit 9B",0,22,21,5,4,9,1,9,5,8,41,8,16,9,4,7,4,8,21,11.35,4,26,50,22,14,12,6,0,21,5,19.735203,18.57677,19.82466,91.138,33.04126,22.81404,5.1048,0.170493,17.72584
"47",107282610,"integrin subunit alpha 3",7,24,27,17,16,24,7,18,22,18,32,28,13,11,3,14,4,28,27,6,15,43,237,19,29,49,21,3,44,21,34.85405,33.3197501,34.496273,52.381715,87.7380914,33.68008663,21.35447,0.0904002,22.55841
"48",107282615,"solute carrier family 35 member B1",500,105,166,1319,272,277,227,743,242,656,127,501,89,431,305,256,454,725,160,206,520,253,355,136,267,268,304,323,195,395,43.965651,44.59312,44.469648,50.28143502,33.23758613,76.87136501,16.545,0.0278065,15.1735
"49",107282616,"speckle type BTB/POZ protein",54.07,52.08,49.17,42,31.91,32,23.15,24,41.47,21,56.75,58,25.03,12.99,15.74,23.35,21.58,9.77,57.54,33.45,18,61,112,52.59,51.79,37,28.7,7.43,51,19.45,38.617393,37.543528,45.700988,28.560483,10.621701,28.72965329,15.6458,0.0620136,29.8857
"50",107282620,"SNF8, ESCRT-II complex subunit",664,366,478,660,267,490,143,361,304,192,313,1185,196,157,223,167,137,275,463,156,419,730,1026,421,443,817,325,121,473,182,34.011862,34.67402632,35.893483,113.1022269,83.208227,114.7386564,51.37169,0.159805,64.27331
"51",107282621,"ubiquitin conjugating enzyme E2Z",82.58,97.22,89.75,100,52.87,72,27.13,74,70,53,106.01,95,35.54,46.75,32.79,50.08,57.53,50,75.02,39.17,69,98,159,83.44,71.86,131,41,69.9,88,71,25.6994,26.122,26.1435,31.267595,35.36563,36.736815,25.4825,0,30.4626
"52",107282630,"CDK5 regulatory subunit associated protein 3",1165,579,813,880,574,1175,276,587,503,546,442,2457,281,424,533,300,370,1132,706,397,726,803,1695,580,801,778,687,578,945,474,26.549181,23.724479,25.92039411,112.257017,73.27589826,102.5025461,26.5942,0.0287083,24.3444
"53",107282631,"proline rich 15 like",465,173,285,374,134,271,131,270,134,216,93,582,106,115,141,127,213,419,175,186,384,244,449,280,441,304,274,106,324,206,95.33886,91.181887,91.092915,25.3359,34.0205,37.8462,158.965,0.49957,735.778
"54",107282634,"Sp6 transcription factor",31,30,29,34,23,17,19,74,348,19,42,630,58,8,8,19,14,26,56,16,11,292,2763,22,40,26,25,5,38,12,0.672028,0.634738,0.745291,0.2049353,0.680687,0.1832743,0.319434,0,0.270153
"55",107282635,"secernin 2",28,54,60,41,13,41,11,39,15,47,34,105,28,29,14,29,11,39,66,24,51,81,126,44,49,47,32,2,65,15,74.183438,66.616145,76.167341,230.098571,194.36819,133.915693,22.4406,0.0782313,13.5817
"56",107282636,"mitochondrial ribosomal protein L10",121,94,112.77,270.96,108.97,139,33,82,101,80.92,84.88,114.95,84,50,35.81,55,33,84.91,103.82,54,100,326.87,345,82,113,251,108.94,25.64,177,57,140.4484,136.4627,145.6638,104.50937,70.789588,38.094721,18.6019,0.0613833,13.6539
"57",107282640,"mitochondrial ribosomal protein L45",363,280,470,726,200,415,117,313,270,204,223,619,198,154,148,141,185,267,314,127,328,559,991,261,360,895,254,276,473,209,17.221412,17.144603,17.7318,8.49218,4.5e-06,16.5808,32.2788,0,64.9159
"58",107282641,"Rho GTPase activating protein 23",25,63,82,50,40,100,16,69,53,67,77,100,35,37,27,27,35,70,42,27,47,130,412,32,51,75,37,33,130,21,9.868484,8.767272,9.454058,8.650095,8.059627,4.726963,1.36841,0,4.39489
"59",107282642,"SRC kinase signaling inhibitor 1",3,15,16,14,4,18,1,15,2,13,16,8,3,4,0,8,0,2,17,8,6,38,49,17,9,20,1,3,18,6,10.12517,9.570772,13.563028,0.4062282,0.197259,0.08961192,0.5106664,0,0.4355485
"60",107282643,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",14,23,20,38,13,28,10,41,33,30,39,64,31,24,24,19,10,28,47,16,53,74,86,35,45,51,37,20,50,3,29.324593,27.3816,29.562932,44.49809,18.12533,12.30837,10.258,0.0189666,11.961
"61",107282646,"CDGSH iron sulfur domain 3",14,23,47,84,13,51,9,64,31,23,25,64,23,22,13,39,21,38,54,19,38,77,95,49,31,101,30,32,76,14,111.02626,110.97987,119.3106,36.5633,56.65667,48.86511,345.529,0.135197,323.077
"62",107282649,"lysine acetyltransferase 2A",92,100,161,97,69,145,23,64,87,61,104,169,95,48,41,38,51,62,89,52,50,208,511,72,172,198,63,41,177,46,18.431734,17.425053,18.08998,17.09214,22.032744,19.83897,3.4868,0,6.0779
"63",107282654,"potassium voltage-gated channel modifier subfamily G member 4",2,3,3,2,0,1,2,1,1,0,1,1,2,0,0,0,0,0,2,1,0,0,6,1,1,2,0,1,0,0,0.342503,0.401498,0.432723,0.0600586,0.0851036,0.0711009,0.582763,0.855953,0
"64",107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7.626017,7.99108,9.398673,1.823141,3.768407,1.570441,1.12147,0.696503,9.13844
"65",107282673,"pyridoxamine 5'-phosphate oxidase",4,20,28,9,7,13,5,15,9,13,24,18,10,6,14,11,8,17,9,9,14,39,65,17,15,9,5,0,44,4,52.014191,51.106517,52.68652,48.318556,53.8915618,70.705692,149.25264,0.237543,85.99294
"66",107282675,"leucine rich repeat containing 46",13,20,12,37,1,13,1,58,21,16,39,19,30,10,7,31,1,7,35,15,57,114,38,35,11,69,9,3,28,3,2.03319,1.93774,1.80113,1.301229,3.620808,1.362584,4.82926,0.0432068,3.00518
"67",107282677,"N-acetylglucosaminidase, alpha",66,58,76,70,31,97,36,60,40,54,76,52,47,36,32,45,46,100,64,76,37,116,289,53,74,92,55,6,81,19,33.7249,33.411047,35.345526,66.02359,89.04484,66.58195,23.3774,0,15.6261
"68",107282727,"cysteine rich secretory protein LCCL domain containing 2",65,197,129,22,13,76,24,12,31,40,68,58,66,50,40,57,42,19,75,40,21,78,97,71,92,106,58,16,51,10,11.97778,12.04515,11.78807,2.644722,12.709709,2.707867,1.02038,18.2342,51.943
"69",107282747,"serine/threonine kinase 31",0,10,11,8,5,14,0,10,6,3,13,9,2,0,8,1,0,4,6,4,8,17,43,27,1,22,0,0,20,0,0,0,0,0.0517138,0.8719046,0.3792834,0.0117503,0,0.0251309
"70",107282748,"WAP four-disulfide core domain 1",24,105,89,11,6,31,3,8,86,11,6,109,53,10,20,12,5,3,37,12,5,83,158,41,29,95,18,29,67,3,6.9483,5.69456,6.59714,6.010153,13.151914,6.328308,7.228005,34.14207,31.1739
"71",107282749,"neuropeptide VF precursor",0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"72",107282756,"glycoprotein nmb",81,185,128,81,13,72,26,46,104,22,112,162,749,42,55,27,37,49,426,41,197,259,207,135,101,50,80,11,196,26,1.3712953,1.067629,0.6168485,42.152324,22.853159,65.455415,6.98888,92.0778,24.1593
"73",107282760,"coiled-coil domain containing 126",167,165,211,244,80,184,75,134,105,140,132,178,78,94,115,77,84,148,175,108,184,200,418,128,157,210,152,67,220,62,2.952568,3.4158018,2.896274,5.68156,1.492001,7.544516,22.95762,69.60964,14.44176
"74",107282761,"family with sequence similarity 221 member A",71,83,93,193,76,112,28,110,68,61,62,152,65,83,58,47,33,78,120,50,159,226,107.99,76.99,75,154,86,65,72,47,1.649295,1.42914,1.9675876,6.285483,2.821496,8.370455,6.481917,4.602456,7.57401
"75",107282762,"membrane protein, palmitoylated 6",26,58,87,64,12,131,7,70,97,16,88,92,47,19,30,18,15,37,62,28,58,243,505,51,24,161,25,8,124,20,16.3345688,12.891846,14.7905105,6.228232,3.222157,7.0173662,6.4640224,10.25168,2.719027
"76",107282763,"deafness, autosomal dominant 5",91,134,218,89,17,38,4,13,90,11,67,153,37,20,29,17,13,39,72,21,45,130,450,79,87,140,48,4,61,71,4.815335,4.7957631,4.7410081,21.86995,9.7307451,15.63207031,6.85532,8.32349,19.1419
"77",107282764,"oxysterol binding protein like 3",77,469,726,267,93,323,37,293,303,107,463,299,269,132,151,121,88,186,313,195,313,1157,1984,443,193,486.99,223,37,990,78,27.217368,25.2337117,23.163264,5.770471321,4.519624,6.564647,2.45757,2.0206349,4.049565
"78",107282765,"cytochrome c",4717,1781,2856,5400,2279,3384,473,1437,1609,1140,2138,2326,1673,1221,678,832,1083,1241,1976,630,1524,3177,3509,3641,3966,6909,1387,9520,8216,3155,8.2342,8.053046,8.582275,151.4064,18.52518,320.5694,83.0129,433.796,217.277
"79",107282769,"sorting nexin 10",218,608,790,513,150,338,42,312,251,188,535,398,263,129,157,136,64,259,363,120,383,565,600,360,263,757,301,46,671,160,3.5833887,4.040713,3.703796,61.30821,3.737432,105.07066,39.6079,76.97928,28.5522
"80",107282770,"src kinase associated phosphoprotein 2",112.94,211.99,266,216.89,67,171.98,51,130.97,141,83.11,126.95,143.52,116,66,70,81,60.44,123,142,107,130,272,580,156.98,115,355.99,123.93,10.33,236.86,58.94,15.7418451,18.5113143,17.5893112,19.718577,6.043,26.1406,12.109723,29.215332,30.6961
"81",107282778,"secernin 1",68,13,7,167,54,65,16,15,67,38,5,44,8,42,44,3,27,80,15,24,7,16,65,11,46,12,121,59,9,62,2.234261,1.9123845,1.7222007,21.32308,13.22682008,21.03074,4.1848537,8.541043,4.46702
"82",107282780,"pleckstrin homology domain containing A8",157,207,186,368,115,254,83,135,177,174,101,294,93,107,132,118,136,165,167,155,195,195,559,147,189,234,184,73,212,152,4.535409,4.501715,4.3640083,4.672966,1.829733,6.584358706,3.699088,3.319947,3.062999
"83",107282781,"interleukin 6",12,12,15,44,8,11,5,21,5,19,25,35,6,9,8,7,16,24,13,4,27,17,23,14,8,34,15,8,16,7,0,0,0,0.111765,0.336769,0.200876,0.173972105,0.872631,18.331893
"84",107282787,"insulin like growth factor 2 mRNA binding protein 3",2,49,46,8,6,20,1,3,19,1,27,14,10,1,11,6,3,0,18,9,4,70,171,32,28,13.98,11,0,33,0,1.5508215,1.318031,1.2084495,0.3379202,0.301821,0.2057848,0.0468845,0.095829,0
"85",107282800,"TLR4 interactor with leucine-rich repeats",21,32,25,25,14,26,2,10,27,20,28,36,14,24,18,13,5,9,41,3,14,28,81,29,50,43,29,4,41,24,11.7669,11.2791,12.7102,1.71253,4.19702,1.55676,6.48985,8.22885,1.43336
"86",107282855,"cartilage oligomeric matrix protein",4,20,22,19,11,7,3,10,18,11,11,7,2,3,7,14,2,1,15,1,3,7,7,44,21,22,27,20,15,8,1.1605896,1.12363,1.503062,1.726566,2.624112,0.569292,0.7439284,0.895571,1.452388
"87",107282876,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",494,666,776,786,405,580,291,400,756,403,586,545,496,350,256,344,318,272,873,266,453,793,680,541,622,827,455,1190,827,417,1345.650626,1159.062278,1391.943546,416.322469,700.84254,246.045644,335.068,498.556,249.014
"88",107282880,"peptidase (mitochondrial processing) beta",600,311,309,203,342,238,123,156,243,224,305,648,200,268,234,278,211,232,391,221,188,510,750,369,490,127,372,656,319,353,93.6252042,101.1424449,95.689488,74.211581,27.126848,95.520942,68.7347,28.3758,31.8742
"89",107282882,"mitochondrial ribosomal protein L54",222,109,109,194,157,79,127,123,180,147,91,160,112,240,181,171,201,155,145,96,158,127,105,126,157,139,156,752,102,177,105.73344,94.86773,107.87575,95.68669,143.0226,104.6827,41.9926,100.211,34.5144
"90",107282883,"chromosome unknown open reading frame, human C19orf25",20,20,14,11,26,11,9,20,16,22,24,28,12,18,11,33,17,21,13,28,5,6,38,23,44,3,12,24,11,1,32.4672,31.3147,32.5228,26.000203,48.55947505,28.741044,20.5966,51.0273,11.4076
"91",107282895,"protein phosphatase 2C like domain containing 1",8,21,30,37,4,15,1,36,8,17,27,16,12,4,3,9,9,10,34,2,35,81,36,39,11,65,8,0,35,6,0,0.0179884,0.0343583,0.1531131,0.138397,0.0825511,1.26897,7.15101,2.54569
"92",107282896,"potassium voltage-gated channel subfamily H member 8",0,4,3,2,0,2,0,4,3,2,1,10,5,0,1,0,2,1,3,2,0,16,74,4,2,4,0,0,3,1,0,0.0855132,0,0,0,0.1582666,0,0,0
"93",107282899,"shugoshin-like 1 (S. pombe)",13,50,65,89,27,148,16,226,87,39,266,52,205,75,29,84,27,21,144,41,131,713,346,164,33,145,36,5,175,4,0.0327498,0.0234609,0.0222022,0.3417359,0.4275032,0.3466267,0.0344674,0.708402,0.0972727
"94",107282900,"lysine acetyltransferase 2B",31,130,107,112,19,119,12,91,63,76,77,86,34,32,44,31,34,53,48,36,72,157,220,57,63,105,47,25,168,27,9.481382,10.350957,10.091503,5.41719,6.06219,10.882363,19.32685,15.7695,19.1226
"95",107282902,"EF-hand domain family member B",9,104,60,75,15,107,3,51,31,35,38,60,53,16,9,76,14,19,98,29,103,263,83,69,9,210,28,2,78,7,0.0110329,0.0326494,0.0309,1.937091,0.2018096,3.055588,0.0224673,0.0464257,0.0154729
"96",107282904,"TBC1 domain family member 5",81,170,142,150,41,133,53,97,117,112,205,109,83,72,70,55,84,130,100,89,97,270,461,84,124,116,116,34,220,31,8.7528029,8.0665475,8.3161225,12.699263,9.140149,17.21576555,8.540223,14.85732605,6.661287
"97",107282905,"phospholipase C like 2",6,56,57,45,20,109,7,59,45,35,119,40,45,22,27,32,11,11,59,16,26,136,98,71,68,123,47,3,156,3,2.73356,2.9057599,3.1224573,2.829000005,2.635141044,5.3412009,3.2439184,8.420141,2.3037401
"98",107282907,"oxidoreductase NAD-binding domain containing 1",71,119,129,186,69,128,23,90,59,64,69,150,60,54,65,27,22,68,85,45,97,142,288,34,69,246,59,44,129,51,38.113823,33.421383,37.656677,10.0354431,4.14671,15.1681531,12.455829,16.490631,10.443237
"99",107282909,"biotinidase",1207.75,280.29,419.12,2077.07,707.59,587.18,320.15,795.36,430.15,1024.67,229.44,921.04,214.38,435.9,339,442.74,538.23,797.59,510,294.62,781.13,408.34,661.5,392.32,762.78,593.03,648.76,268.71,438.16,563.83,79.4479,81.3881,78.6961,35.06504,32.54211,43.03893,42.91414,88.35700807,25.92769
"100",107282911,"ankyrin repeat domain 28",611,629,698,729,216,573,202,573,565,391,669,918,454,294,300,317,296,605,715,327,530,845,1719,641,741,855,515,86,855,396,6.11948,5.628950171,5.8981353,29.98042,4.89046,22.443,8.031608,12.661893,6.67134
