"","gene","description","Pm_1_heart","Pm_10_heart","Pm_3_heart","Pm_5_heart","Pm_8_heart","Mus_hrt_1","Mus_hrt_2","Mus_hrt_3","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Canis_hrt_1","Canis_hrt_2","Canis_hrt_3"
"38",107282575,"arylsulfatase G",204,288,207,494,234,0.729485086,0.990462001,0.898884774,2.9497825,4.529514,4.070727,0.514446,1.18261,2.48412
"39",107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",142,36,130,98,94,92.81893,91.45893,90.906323,209.7731675,279.1313003,286.334012,57.616786,88.15484,97.59803
"40",107282581,"potassium voltage-gated channel subfamily J member 16",0,1,0,23,1,0.068097907,0.0673476,0.037507308,0.486728,0,0.1426573,0.105467,0.537115,1.58681
"41",107282586,"phosphatase, orphan 1",0,3,12,17,13,72.3487,132.64976,134.9957,0.845272,1.367457,1.171997,4.294082,16.50752,0.275442
"42",107282593,"homeobox B1",0,0,0,1,0,0,0,0.0157525,0,0.0899935,0,0,0,0
"43",107282595,"T-box 21",1,1,1,5,1,0.115239,0.32108,0.246825,0.551313,0.411091,0.270767,0.0293394,0.117291,0.27394
"44",107282597,"potassium voltage-gated channel subfamily H member 4",0,1,2,3,0,0.0185722,0.0318784,0,0.0200676,0.0448908,0.149311,0.0218243,0,0.033751
"45",107282604,"transmembrane protein 101",18,8,44,9,21,7.722696,11.0021674,11.349002,10.117603,21.22924,21.634886,4.33273,7.4,18.3666
"46",107282607,"protein phosphatase 1 regulatory subunit 9B",16,11,32,46,15,8.78843,11.655457,11.93066,58.405,29.0391,26.95728,5.81418,14.04739,0.183911
"47",107282610,"integrin subunit alpha 3",1,2,19,25,14,6.264568,6.543246546,6.969497,6.602942,23.123311,16.549972,0.501294,3.202909,0.0182695
"48",107282615,"solute carrier family 35 member B1",83,121,192,108,248,29.914383,27.361415,27.38301,25.013571,36.31646408,33.6743593,7.38763,12.6855,0.13526
"49",107282616,"speckle type BTB/POZ protein",14.23,4.42,17,22,10,35.972549,36.349858,35.675239,22.25319661,18.65512311,20.93702441,6.23529,10.8616,0
"50",107282620,"SNF8, ESCRT-II complex subunit",387,337,460,348,563,13.838678,12.102404,12.365991,66.278362,54.832179,50.178094,42.00882,36.967619,0.786713
"51",107282621,"ubiquitin conjugating enzyme E2Z",33,27,36,42,40,15.5835,12.8472,11.8227,15.563186,17.509127,16.7066063,8.12381,21.5168,0.0967158
"52",107282630,"CDK5 regulatory subunit associated protein 3",552,364,1221,494,1184,6.81551,7.975333614,8.575162,55.8047711,67.6859159,61.65371201,21.9119,22.5219,27.8653
"53",107282631,"proline rich 15 like",0,0,0,4,2,1.4379715,2.1737645,1.733889047,0.0577502,0.387558,0.343748,0,1.004,0.615226
"54",107282634,"Sp6 transcription factor",0,0,2,29,0,0.0689295,0.109851,0.142228,0.977857,0.351103,0.02919512,0,0.126634,0
"55",107282635,"secernin 2",48,20,62,67,50,6.24208,7.7219628,7.4764265,18.797801,34.790869,43.544818,2.81258,4.41487,7.67815
"56",107282636,"mitochondrial ribosomal protein L10",61,40,170.91,48,157,39.0641,72.5828,73.795,45.94691983,84.311203,88.88652,5.31335,7.78307,17.6122
"57",107282640,"mitochondrial ribosomal protein L45",289,311,548,132,573,19.1398,17.6579,18.3936,3.1588,4.1604,2.14654,25.834,46.9157,168.838
"58",107282641,"Rho GTPase activating protein 23",36,22,125,262,117,5.801026,8.286522,9.248211,9.836988,21.48832,26.72233,1.13262,4.84169,2.85118
"59",107282642,"SRC kinase signaling inhibitor 1",1,1,1,3,2,0.0866757,0.23014342,0.2192972,0.1664383,0.5078703,0.8085913,0.1461288,0.1461436,0.1550136
"60",107282643,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",25,18,85,121,72,19.44406,26.09195,25.836548,43.8845,35.54384,36.72504,3.22358,11.7594,30.1472
"61",107282646,"CDGSH iron sulfur domain 3",33,35,100,17,95,37.0943,63.9935,58.49489,11.8898,24.42167,21.72351,401.446,329.383,514.885
"62",107282649,"lysine acetyltransferase 2A",35,57,73,124,64,8.084021,10.558295,10.569839,17.974504,17.613239,17.75382,3.04773,6.27444,5.56684
"63",107282654,"potassium voltage-gated channel modifier subfamily G member 4",0,2,0,0,1,0.191869,0.203881,0.164983,0.0858027,0.161916,0.15242,0,0,0
"64",107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,1,0,0,5.690097,7.907535,7.474416,1.675542,1.05307,0.628922,2.99982,3.22105,0.271045
"65",107282673,"pyridoxamine 5'-phosphate oxidase",6,4,17,4,26,7.693019,12.396093,13.33283,5.9447953,19.6238241,10.5584505,8.201012,23.404756,53.9285
"66",107282675,"leucine rich repeat containing 46",7,1,6,4,8,0.319456,0.570851,0.704896,0.2927549,1.57993,1.183225,0.199205,1.21549,0.626157
"67",107282677,"N-acetylglucosaminidase, alpha",30,15,47,32,38,4.59371,8.32945,8.374572,6.291574,11.264,13.26742,1.22142,2.76136,2.30847
"68",107282727,"cysteine rich secretory protein LCCL domain containing 2",31,232,54,164,27,17.4087345,17.4488669,17.8124745,13.301647,25.461297,27.405176,2.15271,3.50445,17.2186
"69",107282747,"serine/threonine kinase 31",0,7,3,73,0,0,0.0804532,0,0.3261736,0.263091,1.263412,0,0.0377866,0.078495
"70",107282748,"WAP four-disulfide core domain 1",2,858,14,80,81,17.311103,26.48825,28.1476,1.625742,4.160512,3.227628,1.996463,2.939036,16.6076
"71",107282749,"neuropeptide VF precursor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",107282756,"glycoprotein nmb",9,24,21,69,34,1.0352461,2.8495686,2.8647668,24.628766,103.314027,114.68888,0.168487,0.31924,0.287847
"73",107282760,"coiled-coil domain containing 126",101,99,220,207,213,1.3791,1.44474,1.40926,2.01446,1.126575,3.403636,1.635174,4.61566,17.6515
"74",107282761,"family with sequence similarity 221 member A",13,40,47,43,25,0.50158,1.2818649,0.6777704,2.46167,2.849039,2.51802,0.7372838,1.629095,4.10464
"75",107282762,"membrane protein, palmitoylated 6",28,22,91,84,81,11.301093,7.0912369,7.2216243,0.6686805,0.3417967,0.4597678,0.491955,0.944556,3.610861
"76",107282763,"deafness, autosomal dominant 5",125,123,296,118,191,0.83998732,0.750796937,0.63234,2.883279,5.839141,4.2483382,1.11586,0.973205,1.8929
"77",107282764,"oxysterol binding protein like 3",205,103,525,568,594,6.9939212,9.025311,8.607921,2.68487,1.549114,1.090436241,2.471465,7.508071,5.335132
"78",107282765,"cytochrome c",15571,11703,10201,809,22320,26.73946,14.248944,15.66742,146.0138,157.0323,161.2971,364.553,309.134,1319.42
"79",107282769,"sorting nexin 10",98,116,270,299,287,3.769053,3.121828,3.014541,0.202073,1.778269701,0.300701,9.68791,5.335572,19.28229
"80",107282770,"src kinase associated phosphoprotein 2",91,122,239,308,266,3.1305176,3.3561026,2.9537783,2.529915,0.658379,1.882363,1.06427,2.3872,4.41857
"81",107282778,"secernin 1",22,46,60,33,41,5.994322,4.084192,4.602199,6.44995,6.611389,6.499796,0.936805,1.5167281,2.9890426
"82",107282780,"pleckstrin homology domain containing A8",139,129,309,111,223,2.417815,1.43978,1.45527,1.57940409,0.855521,0.931256,1.1106315,1.665457,1.524737
"83",107282781,"interleukin 6",0,15,7,6,2,0,0,0,3.311312,0.7919352,1.144889,0.0204495,0,0.159215
"84",107282787,"insulin like growth factor 2 mRNA binding protein 3",1,6,8,24,5,0.7681976,0.6384936,0.7264924,0.0829563,0.0588238,0.0973349,0.0497795,0.124918,0.311055
"85",107282800,"TLR4 interactor with leucine-rich repeats",50,80,43,18,62,1.89031,2.38352,2.47857,0.497697,3.0453,3.33276,0.0472159,0.909498,0.391021
"86",107282855,"cartilage oligomeric matrix protein",1,1,0,13,3,7.359316,6.802412,7.115021,1.882012,4.186334677,6.168038005,0.871282,0.635069,0.390525
"87",107282876,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",1233,1606,1415,183,2018,404.66619,1072.155263,1088.578717,231.858385,721.8391626,785.349441,340.94,434.118,740.712
"88",107282880,"peptidase (mitochondrial processing) beta",160,253,194,189,176,67.7017005,54.165445,54.6866525,24.405918,33.712709,30.061603,24.536,55.4667,40.7473
"89",107282882,"mitochondrial ribosomal protein L54",270,383,272,38,326,24.853612,62.1068,56.64158,27.1338,40.4651,44.30489,17.1183,28.3347,101.863
"90",107282883,"chromosome unknown open reading frame, human C19orf25",3,0,3,9,2,10.0137,14.5876,14.8941,12.81912278,13.225174,18.902456,1.82673,10.3454,38.66
"91",107282895,"protein phosphatase 2C like domain containing 1",5,5,5,10,9,0.0438299,0,0.0532554,0,0.0856622,0.0805706,0.777924,1.17651,6.7867
"92",107282896,"potassium voltage-gated channel subfamily H member 8",2,0,1,0,0,0.070367,0.0069198,0.043677,0.2202496,0.03201639,0,0,0,0
"93",107282899,"shugoshin-like 1 (S. pombe)",2,26,6,151,19,0.0192227,0.0910814,0.0173538,0.1300483,0.0801518,0.174086,0.0184504,0.0552697,0.0860656
"94",107282900,"lysine acetyltransferase 2B",60,73,142,135,147,16.999803,8.289704,8.550993,9.419,14.62973,12.9268,13.657,68.88816,73.78985
"95",107282902,"EF-hand domain family member B",1,7,0,5,2,0.0844135,0.0819789,0.1176478,0,0.351826,0,0.0121244,0.0783336,0
"96",107282904,"TBC1 domain family member 5",79,63,183,287,140,4.9267446,4.9280514,5.0429373,3.834639,7.362614,4.746134091,1.498438,4.830872,8.208114717
"97",107282905,"phospholipase C like 2",66,71,138,172,148,2.5671939,1.517456,1.638525,3.386154,3.813169,3.65855,1.04867,2.8644506,8.8596939
"98",107282907,"oxidoreductase NAD-binding domain containing 1",36,49,103,41,103,35.787425,33.97601,36.624454,2.877954935,3.4639428,5.865125,2.92363,6.3809628,7.453309
"99",107282909,"biotinidase",129.6,165.66,262.35,123.64,156,10.95809,10.55715,11.4575,5.14808,6.533802,7.650857,4.288970006,7.956484,23.71808
"100",107282911,"ankyrin repeat domain 28",428,307,636,660,626,6.681968735,4.055149,4.1723303,7.386801,8.64203,7.749542,1.105393373,3.388223,4.9755178
"101",107282925,"KIAA2022 ortholog",3,6,2,9.02,0,0.0215657,0.0132394,0.0194945,0.00658444,0,0.0293946,0,0,0
"102",107282929,"ectodysplasin A",8,2,3,2,3,0.893756198,0.946407053,0.763895636,2.236321895,3.449941414,2.904002,0.399908,0.633649,0.67931
"103",107282932,"ring finger protein, LIM domain interacting",45,55,34,88,38,3.200064,2.1680866,2.310282,2.596912,2.710968,2.585247,1.17833,5.862888,0
"104",107282951,"aryl hydrocarbon receptor",285,283,353,298,294,1.694086,1.3921746,1.5224555,3.763745,6.75175,8.0845265,1.9079606,4.02396,7.02359
"105",107282955,"integrin subunit beta 8",2,1,5,14,16,0.3571931,0.2551081,0.2683602,1.2004847,1.057066,1.053553,0.138302,1.1873982,5.159907
"106",107282956,"cell division cycle associated 7 like",0,0,0,0,1,0.14343,0.0512607,0.070677,9.595244,12.002,13.0002,1.3672007,2.375578,7.84013
"107",107282960,"ankyrin repeat and MYND domain containing 2",143,227,335,139,343,4.6494845,4.023661,3.9031458,6.832985,11.009747,9.869149,17.074,36.1085,74.7195
"108",107282961,"basic leucine zipper and W2 domains 2",161,140,426,101,360,41.991129,36.1245816,35.666253,25.3270243,111.64358,100.12677,77.8350676,186.358282,157.44885
"109",107282962,"tetraspanin 13",76,117,109,288,69,32.160623,47.7586438,43.92526,12.9469,8.2872,4.56823,51.9618,54.1,142.714
"110",107282965,"sorting nexin 13",659,492,954,584,1064,11.277568,7.871944,6.8523941,4.642023,4.6654303,7.185207,1.595945,7.208557,12.4279675
"111",107282966,"TWIST neighbor",244,305,365,216,483,3.5476,7.570729,6.769088,1.41369,1.5812,1.70569,1.55782,3.75817,12.9285
"112",107282967,"metastasis associated in colon cancer 1",22,10,28,21,39,0.0716212,0.0412879,0.0207724,0.285883,0.2094219,0.500871,0,0,0
"113",107282968,"Sp4 transcription factor",32,46,58,83,58,2.55452,2.363458,2.3403,0.534277,1.2046294,1.558453,0.438301,2.22316,5.22146
"114",107282969,"cyclin J",2,5,1,16,6,2.876556,2.459932,2.53163,0.6242868,0.610743,1.205327,0.292953,1.57816,1.27832
"115",107282970,"dynein, axonemal, heavy chain 11",12,11,8,13,10,0,0.0421305,0.0570513,1.21102897,2.965982323,2.47057,0.189938,0.07936,0.781187
"116",107282978,"B-TFIID TATA-box binding protein associated factor 1",259,381,291,401,222,2.3628291,1.68551556,1.5998674,4.341617,4.4621537,3.902057,0.616284,2.09319,2.182313
"117",107282981,"neural precursor cell expressed, developmentally down-regulated 9",531,317,495,223,306,9.06805,7.593798,9.626336,17.49078,13.52599639,13.879481,9.8703,13.175144,32.70846
"118",107282982,"ELOVL fatty acid elongase 2",1,1,0,2,1,0.0452562,0.00786119,0.03307916,0.520931,0.582655,0.719817,0.117394,0.847667,0.105455
"119",107282987,"male germ cell associated kinase",216,145,152,78,156,0.0199168,0.1535741,0.10863547,0.289005,0.215499,0.163042,0.00803592,0.219329,0.1282293
"120",107282989,"zinc finger protein 518A",308,232,373,225,355,0.694463,0.48151,0.750989,0.8972086,1.107534,0.963738,0.315729,1.19382,3.67076
"121",107282992,"eukaryotic translation elongation factor 1 epsilon 1",689,570,594,256,522,3.188345,2.602873,2.509577,5.506615,5.50045,4.524818,12.96698,20.264168,96.4488
"122",107282993,"biogenesis of lysosomal organelles complex 1 subunit 5",472,561,439,203,564,2.97635,2.50409,2.9239164,2.219641,1.753014,1.617171,10.9493,14.88119,58.9115
"123",107282996,"oligosaccharyltransferase complex subunit (non-catalytic)",557,825,486,255,504,22.2087078,18.735195,16.3123031,9.183519,9.72779,7.354835,10.3091,14.6854,74.32412
"124",107282998,"RIO kinase 1",308,358,246,194,332,5.3758126,4.6616552,4.6391428,4.113739,3.488846,3.33103,3.15631,8.1754,16.3966
"125",107283003,"ras responsive element binding protein 1",15,18,28,121,23,6.5504192,7.722278,7.9233579,6.528445,12.72964,12.55102501,0.703496065,5.79343,7.54229
"126",107283006,"coagulation factor XIII A chain",114,108,98,183,79,5.979802028,4.599363386,4.53839612,2.23805,12.91559,12.822588,0.828787,4.0814,3.31119
"127",107283007,"phenylalanyl-tRNA synthetase 2, mitochondrial",180,175,131,32,157,39.143411,34.8067797,34.7313595,6.8853551,12.9185422,12.2698909,9.8863578,15.2085164,30.93988
"128",107283009,"ribonuclease P/MRP 40kDa subunit",66,54,26,40,43,2.115281,1.8944788,2.0495946,1.635175,1.075898,1.46136652,2.7851159,4.4771047,4.145833
"129",107283011,"endothelin 1",12,51,34,26,39,1.56406,1.26728,1.44037,2.81443,0.35976,0.538469,0.334604,0.606789,1.53103
"130",107283014,"neuritin 1",0,0,0,2,1,2.504314,3.4610521,4.5487025,20.63357,10.05752,7.259712,7.67205,4.05216,10.1192
"131",107283018,"deiodinase, iodothyronine, type I",9,10,2,1,5,0.0795765,0,0.0681688,0,0.6868409,0.0772141,0.0401228,0.335603,0.129607
"132",107283021,"family with sequence similarity 159 member A",0,3,1,0,2,0.168521,0.426991,0.149698,0.6392184,2.836254,2.539058,15.3127,21.7765,132.662
"133",107283031,"transcription elongation factor A N-terminal and central domain containing 2",123,112,104,63,143,3.593415,4.6357089,4.8155472,1.2703981,2.481794177,1.479422,5.1158,8.53001,14.04624
"134",107283033,"leucine rich repeat containing 42",78,103,88,106,53,3.859152,2.834635,3.737415,6.369532,5.93646,7.28766,4.7247,7.555888,27.33685
"135",107283035,"heat shock protein family B (small) member 11",89,75,36,36,50,1.729027,2.068023,1.192223,5.325224,4.075643,3.792739,10.2734,7.11226,4.81882
"136",107283040,"LDL receptor related protein 8",1,0,1,3,6,0.5123382,0.7749327,0.756173048,1.3200531,1.24983645,1.414437837,2.657712,3.169913,14.27859
"137",107283043,"podocan",50,105,87,71,114,24.009199,50.45871,49.46082011,60.75368,100.9061,105.9396,5.12343,19.1628,10.2164
"138",107283044,"sterol carrier protein 2",1845,1720,981,712,1496,158.069831,135.33595,130.72986,38.37871401,42.174288,41.099135,23.94081,25.44996,96.7311
"139",107283045,"enoyl-CoA hydratase domain containing 2",283,325,387,115,355,32.175183,37.340412,38.542488,85.728606,164.079137,161.721397,10.15068,58.36,88.4193
"140",107283050,"pre-mRNA processing factor 38A",585,1004,704,561,623,3.3951505,2.2756787,1.9512914,9.248334,10.30537,10.93599,6.62635,7.2705,9.2563
"141",107283052,"coiled-coil and C2 domain containing 1B",93,146,102,124,140,6.97519,9.970884,9.882109,9.106931,9.408754,8.265391,4.578694,7.76707,12.315319
"142",107283055,"thioredoxin domain containing 12 (endoplasmic reticulum)",133,221,159,65,163,9.325657,8.7021397,8.0884071,14.118237,11.823487,11.719373,25.10105,45.6083,151.3651
"143",107283057,"nardilysin convertase",896,876,817,496,860,58.797466,37.77366,44.327773,79.41368196,56.047148,45.27335124,11.217182,20.704909,16.495693
"144",107283060,"ring finger protein 11",583,847,525,486,503,30.44177,21.60485,19.81295,32.1377,45.95648,61.70107,65.7155,120.593,636.92165
"145",107283061,"Fas associated factor 1",195,96,124,95,182,6.9237,9.3463,18.04655,19.28602,19.74505,21.25696,27.3286,41.964425,138.724
"146",107283064,"WD repeat domain 92",1324,787,938,352,1286,3.64066,4.04311,4.56629,2.421387,3.106711,3.184091,4.31282,6.20439,12.6866
"147",107283067,"solute carrier family 1 (glutamate transporter), member 7",7,1,8,4,0,0.690209,1.360792,1.283874,1.1052911,1.99993,2.82645,0.3152611,0.912481,0.973021
"148",107283068,"cytochrome c oxidase assembly factor 7",271,364,281,51,350,7.63537,6.641829,6.2155,3.35197,7.35825,7.915,2.02203,4.63883,18.96
"149",107283075,"beaded filament structural protein 1",0,0,0,0,2,0.1214,0.130073,0.177879,0.35345,0,0.535667,0.158625,0.197789,0.742196
"150",107283103,"transmembrane protein 238",0,0,0,10,0,1.665263,7.38486,4.85169,1.17168,0.87367,1.16237,0.0722747,10.3082,0.70458
"151",107283114,"centrosomal protein 290kDa",377,507,382,308,457,1.1970781,0.7305699,0.61498727,1.536251,1.025357,1.981459,0.22216065,0.3730296,1.56194505
"152",107283121,"dual specificity phosphatase 6",30,51,19,62,28,10.941768,16.64582,15.06683,11.198334,25.46104,22.24247,10.2307,14.6723,25.764
"153",107283122,"pleckstrin",32,125,51,137,97,1.020882,1.081217,1.175835,1.539944,0.628504,1.424565,0.28956,0.59953,1.207758
"154",107283124,"transient receptor potential cation channel subfamily M member 1",6,2,9,2,6,0.0370203,0.06086613,0.137298,0,0,0,0.078426263,0.066531286,0.184360152
"155",107283134,"regulatory factor X7",21,10,23,196,14,2.44987,1.785650701,1.796727632,1.485554,2.290233,1.731913,0.184173,2.290185,2.52193
"156",107283138,"WD repeat domain 72",41,28,38,21,50,0.241967351,0.197314533,0.167772172,0.812368,1.47902,1.10876,0.0829246,0.411464281,0.944635
"157",107283141,"myotubularin related protein 10",9,8,17,18,8,3.101225,2.82206,2.493543,5.259209,6.534264,5.824652,2.04797,7.94502,15.7348
"158",107283146,"annexin A2",1343,3822,2011,3332,1356,47.584513,55.833901,53.189839,168.4284,111.7108,119.6543,69.1575841,65.956859,199.569609
"159",107283147,"RAR related orphan receptor A",30,31,17,29,24,5.883502,5.588035,5.321705,1.7459555,6.8959998,6.690099,0.120145,1.975534,2.18372
"160",107283154,"ADAM metallopeptidase domain 10",66,79,79,204,61,8.441279,5.6280678,5.825112,23.072399,14.790394,13.32019641,2.911699,4.454670334,16.1621622
"161",107283157,"zinc finger protein 280D",25,56,36,123,23,16.17365212,19.0299159,30.44011607,0.708679,1.45983,0.848348,0.733943,2.634143,7.135469
"162",107283162,"methylmalonyl-CoA epimerase",223,189,123,43,241,49.39283,53.08233,48.30287,9.266821,11.685117,15.54921,55.2441,76.8263,620.529
"163",107283168,"carbonic anhydrase XII",0,0,0,3,0,0.0206542,0,0.01843681,0.0117777,1.6125143,0.319766,0,0.357445,0
"164",107283170,"ubiquitin specific peptidase 3",13,38,19,24,13,6.7734982,4.693898,5.744365,8.301290173,4.16803104,7.789913791,1.644291,4.299371159,7.185202
"165",107283172,"TBC1 domain family member 2B",3,0,8,29,4,6.54628,5.560136,5.7731812,10.32166,9.692626,8.05602,1.266925,3.181413,3.403802
"166",107283183,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",530,860,644,481,574,8.69587,3.542574,3.94639,16.82895,9.64253,10.69048,12.0634,11.6159,75.4723
"167",107283185,"von Willebrand factor A domain containing 8",72,67,28,70,50,29.5672339,25.6844715,27.0712571,3.278288,6.21014,5.960043,3.773275,10.7173908,27.0047368
"168",107283187,"A-kinase anchoring protein 11",12,8,12,90,7,4.90426,3.0142694,3.4453573,2.33757,2.31032,2.43106,0.710423,3.78167,16.73491
"169",107283190,"coiled-coil domain containing 122",0,0,1,1,0,0.205839,0.3115175,0.2926928,1.450164,1.585256,1.042516,0,0,0.090993
"170",107283192,"SEC24 homolog B, COPII coat complex component",354,573,408,494,503,12.894703,16.139567,17.791382,3.892568,8.554183,8.347075,2.560905,7.796060053,10.7161
"171",107283198,"E74 like ETS transcription factor 1",46,59,42,278,29,4.378359,3.715154,3.614920302,13.00507684,11.75226,12.22874,3.078623,6.555622,14.982621
"172",107283199,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit",18,9,11,27,22,1.6727,1.1754326,1.3113347,3.569123,0.9459988,2.546484,11.328095,14.8790408,30.66356
