"","gene","description","Pm_1_kidney","Pm_10_kidney","Pm_3_kidney","Pm_5_kidney","Pm_8_kidney","Mus_kidn_1","Mus_kidn_2","Mus_kidn_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Canis_kidn_1","Canis_kidn_2","Canis_kidn_3"
"22",107282350,"serine/threonine kinase 24",256,203,437,358,454,19.842851,19.776031,19.0891272,43.333124,48.389634,60.922016,41.17323005,40.83160042,57.39563734
"23",107282361,"dickkopf WNT signaling pathway inhibitor 2",36,55,56,33,36,8.64818,8.21692,8.34349,0.246961,0.0246807,0.33978,0.828696,12.2521,2.7796
"24",107282362,"solute carrier family 15 (oligopeptide transporter), member 1",0,0,878,1233,810,0.227587,0.325874,0.238259,19.048952,11.194612,22.800559,0.0652997,0.161655,0.11714862
"25",107282380,"F-box protein 47",5,5,19,20,5,0.13329,0.300328,0.2275527,0,0.083559,0,0,0,0.0175877
"26",107282413,"tubulin folding cofactor D",608.05,405.68,742.81,476.54,546.95,38.899467,44.173369,36.841813,32.84824,38.510023,45.4293068,26.4973,1.2355465,10.397274
"27",107282421,"plexin domain containing 1",10,9,24,33,9,0.661083,0.88151,0.854545,2.526656,7.9207436,1.600324,1.39147,0,3.863516
"28",107282422,"DEAD-box helicase 42",508,529,1208,1069,875,7.539652,6.840598,7.065579,50.46079,33.64802,43.11882,12.7651,0.16315,15.5372
"29",107282423,"zinc finger protein 750",18,21,128,162,92,2.12227,2.25394,2.20835,1.157015,0.464718,0.62837322,0.0942797,0,0.211247
"30",107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",175,99,205,136,140,37.841167,37.783656,36.35836,20.70553,16.388755,28.888974,12.121052,28.19898,25.365319
"31",107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",468,311,455,438,296,16.5421,15.389745,15.727136,1.049248,1.058014,3.654694,3.39983,9.94643,4.67852
"32",107282516,"myocardin",45,20,12,23,16,0.1799672,0.2060387,0.267077902,0.4748378,0.2864345,0.566158012,0.141374,0.111401,1.29271
"33",107282539,"troponin T1, slow skeletal type",2,3,1,1,0,11.886718,10.262262,9.587853,0.948482,0.327262,0.72765,3.37232,0.684763,0.4357454
"34",107282560,"SAGA complex associated factor 29",73,61,128,85,47,36.689502,31.831785,45.00603,25.87294,23.94817,9.916956,14.961928,13.59809,14.98823
"35",107282562,"sphingomyelin synthase 2",142,96,124,196,94,20.357316,18.154866,20.644666,6.9591019,3.549287,13.471349,11.52835,43.0481,17.7708
"36",107282570,"regulator of G-protein signaling 9",9,6,4,10,6,1.189715,1.150043,1.50267,4.018443123,3.2475499,4.324101,1.694646,0.44152,1.1370932
"37",107282571,"guanine nucleotide binding protein (G protein), alpha 13",1453,1249,2410,2260,1781,22.15171,21.64255,22.09093,5.64068,2.0589,13.6193789,10.7209,0.18316,7.77278
"38",107282575,"arylsulfatase G",405,323,408,1016,589,14.49214514,13.678066,14.596052,9.379939481,6.79713,6.20706255,14.7437,0,6.55132
"39",107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",261,125,245,143,126,70.32936,68.76041,70.23314,225.7349603,60.4909,188.4816638,106.197119,0.590511,197.94385
"40",107282581,"potassium voltage-gated channel subfamily J member 16",4208,3372,4495,2410,2149,120.4115,122.957515,122.93045,74.66137,23.8310238,135.5265,32.7362,0.162717,10.2695
"41",107282586,"phosphatase, orphan 1",5,4,9,9,5,27.1551074,27.095,28.8973,1.104998,0.890982,0.733525,0.964271,0,0.521615
"42",107282593,"homeobox B1",0,0,0,0,0,0.0198057,0,0.0805681,0,0.679468,0.1832,0,0,0
"43",107282595,"T-box 21",0,0,0,3,0,0.392101,0.368649,0.398747,0.383919,0.109601,0.196125,0.109775,0,0.19324
"44",107282597,"potassium voltage-gated channel subfamily H member 4",1,0,0,0,0,0.33954117,0.476054,0.332518,0,0.120877,0.0288403,0.0807588,0,0.115513
"45",107282604,"transmembrane protein 101",26,16,88,76,58,14.0785495,12.43165,13.264158,69.988802,56.579652,63.8629134,14.832,0,13.855
"46",107282607,"protein phosphatase 1 regulatory subunit 9B",10,12,26,19,16,19.735203,18.57677,19.82466,91.138,33.04126,22.81404,5.1048,0.170493,17.72584
"47",107282610,"integrin subunit alpha 3",6,3,18,25,9,34.85405,33.3197501,34.496273,52.381715,87.7380914,33.68008663,21.35447,0.0904002,22.55841
"48",107282615,"solute carrier family 35 member B1",181,197,513,535,432,43.965651,44.59312,44.469648,50.28143502,33.23758613,76.87136501,16.545,0.0278065,15.1735
"49",107282616,"speckle type BTB/POZ protein",18.98,7.38,33,16,14,38.617393,37.543528,45.700988,28.560483,10.621701,28.72965329,15.6458,0.0620136,29.8857
"50",107282620,"SNF8, ESCRT-II complex subunit",1442,1205,3509,2630,3152,34.011862,34.67402632,35.893483,113.1022269,83.208227,114.7386564,51.37169,0.159805,64.27331
"51",107282621,"ubiquitin conjugating enzyme E2Z",54.01,34,72,84,61,25.6994,26.122,26.1435,31.267595,35.36563,36.736815,25.4825,0,30.4626
"52",107282630,"CDK5 regulatory subunit associated protein 3",990,792,3135,2190,2491,26.549181,23.724479,25.92039411,112.257017,73.27589826,102.5025461,26.5942,0.0287083,24.3444
"53",107282631,"proline rich 15 like",208,192,343,496,544,95.33886,91.181887,91.092915,25.3359,34.0205,37.8462,158.965,0.49957,735.778
"54",107282634,"Sp6 transcription factor",6,16,31,37,20,0.672028,0.634738,0.745291,0.2049353,0.680687,0.1832743,0.319434,0,0.270153
"55",107282635,"secernin 2",61,36,133,90,87,74.183438,66.616145,76.167341,230.098571,194.36819,133.915693,22.4406,0.0782313,13.5817
"56",107282636,"mitochondrial ribosomal protein L10",89.97,66,258.99,163.99,156.85,140.4484,136.4627,145.6638,104.50937,70.789588,38.094721,18.6019,0.0613833,13.6539
"57",107282640,"mitochondrial ribosomal protein L45",371,397,994,749,664,17.221412,17.144603,17.7318,8.49218,4.5e-06,16.5808,32.2788,0,64.9159
"58",107282641,"Rho GTPase activating protein 23",40,31,81,49,37,9.868484,8.767272,9.454058,8.650095,8.059627,4.726963,1.36841,0,4.39489
"59",107282642,"SRC kinase signaling inhibitor 1",15,3,25,19,13,10.12517,9.570772,13.563028,0.4062282,0.197259,0.08961192,0.5106664,0,0.4355485
"60",107282643,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",40,32,79,53,52,29.324593,27.3816,29.562932,44.49809,18.12533,12.30837,10.258,0.0189666,11.961
"61",107282646,"CDGSH iron sulfur domain 3",42,35,101,79,84,111.02626,110.97987,119.3106,36.5633,56.65667,48.86511,345.529,0.135197,323.077
"62",107282649,"lysine acetyltransferase 2A",56,43,137,95,85,18.431734,17.425053,18.08998,17.09214,22.032744,19.83897,3.4868,0,6.0779
"63",107282654,"potassium voltage-gated channel modifier subfamily G member 4",0,1,0,2,1,0.342503,0.401498,0.432723,0.0600586,0.0851036,0.0711009,0.582763,0.855953,0
"64",107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,0,0,0,7.626017,7.99108,9.398673,1.823141,3.768407,1.570441,1.12147,0.696503,9.13844
"65",107282673,"pyridoxamine 5'-phosphate oxidase",29,17,29,32,65,52.014191,51.106517,52.68652,48.318556,53.8915618,70.705692,149.25264,0.237543,85.99294
"66",107282675,"leucine rich repeat containing 46",10,19,126,76,109,2.03319,1.93774,1.80113,1.301229,3.620808,1.362584,4.82926,0.0432068,3.00518
"67",107282677,"N-acetylglucosaminidase, alpha",29,23,91,79,82,33.7249,33.411047,35.345526,66.02359,89.04484,66.58195,23.3774,0,15.6261
"68",107282727,"cysteine rich secretory protein LCCL domain containing 2",49,30,17,30,8,11.97778,12.04515,11.78807,2.644722,12.709709,2.707867,1.02038,18.2342,51.943
"69",107282747,"serine/threonine kinase 31",0,0,2,3,0,0,0,0,0.0517138,0.8719046,0.3792834,0.0117503,0,0.0251309
"70",107282748,"WAP four-disulfide core domain 1",21,14,14,32,40,6.9483,5.69456,6.59714,6.010153,13.151914,6.328308,7.228005,34.14207,31.1739
"71",107282749,"neuropeptide VF precursor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",107282756,"glycoprotein nmb",27,11,88,154,21,1.3712953,1.067629,0.6168485,42.152324,22.853159,65.455415,6.98888,92.0778,24.1593
"73",107282760,"coiled-coil domain containing 126",138,119,525,407,373,2.952568,3.4158018,2.896274,5.68156,1.492001,7.544516,22.95762,69.60964,14.44176
"74",107282761,"family with sequence similarity 221 member A",62,42,116,74,83,1.649295,1.42914,1.9675876,6.285483,2.821496,8.370455,6.481917,4.602456,7.57401
"75",107282762,"membrane protein, palmitoylated 6",56,34,323,162,169,16.3345688,12.891846,14.7905105,6.228232,3.222157,7.0173662,6.4640224,10.25168,2.719027
"76",107282763,"deafness, autosomal dominant 5",44,42,110,94,64,4.815335,4.7957631,4.7410081,21.86995,9.7307451,15.63207031,6.85532,8.32349,19.1419
"77",107282764,"oxysterol binding protein like 3",703,723,1422,1414,1099,27.217368,25.2337117,23.163264,5.770471321,4.519624,6.564647,2.45757,2.0206349,4.049565
"78",107282765,"cytochrome c",1231,947,1432,1758,922,8.2342,8.053046,8.582275,151.4064,18.52518,320.5694,83.0129,433.796,217.277
"79",107282769,"sorting nexin 10",49,78,1003,1019,386,3.5833887,4.040713,3.703796,61.30821,3.737432,105.07066,39.6079,76.97928,28.5522
"80",107282770,"src kinase associated phosphoprotein 2",248,194,609,696,509,15.7418451,18.5113143,17.5893112,19.718577,6.043,26.1406,12.109723,29.215332,30.6961
"81",107282778,"secernin 1",13,20,21,18,19,2.234261,1.9123845,1.7222007,21.32308,13.22682008,21.03074,4.1848537,8.541043,4.46702
"82",107282780,"pleckstrin homology domain containing A8",169,172,605,348,325,4.535409,4.501715,4.3640083,4.672966,1.829733,6.584358706,3.699088,3.319947,3.062999
"83",107282781,"interleukin 6",0,1,3,7,2,0,0,0,0.111765,0.336769,0.200876,0.173972105,0.872631,18.331893
"84",107282787,"insulin like growth factor 2 mRNA binding protein 3",10,13,47,26,17,1.5508215,1.318031,1.2084495,0.3379202,0.301821,0.2057848,0.0468845,0.095829,0
"85",107282800,"TLR4 interactor with leucine-rich repeats",12,13,19,18,12,11.7669,11.2791,12.7102,1.71253,4.19702,1.55676,6.48985,8.22885,1.43336
"86",107282855,"cartilage oligomeric matrix protein",0,1,0,1,2,1.1605896,1.12363,1.503062,1.726566,2.624112,0.569292,0.7439284,0.895571,1.452388
"87",107282876,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",706,604,702,607,661,1345.650626,1159.062278,1391.943546,416.322469,700.84254,246.045644,335.068,498.556,249.014
"88",107282880,"peptidase (mitochondrial processing) beta",850,731,626,481,439,93.6252042,101.1424449,95.689488,74.211581,27.126848,95.520942,68.7347,28.3758,31.8742
"89",107282882,"mitochondrial ribosomal protein L54",173,131,181,133,106,105.73344,94.86773,107.87575,95.68669,143.0226,104.6827,41.9926,100.211,34.5144
"90",107282883,"chromosome unknown open reading frame, human C19orf25",4,1,2,4,2,32.4672,31.3147,32.5228,26.000203,48.55947505,28.741044,20.5966,51.0273,11.4076
"91",107282895,"protein phosphatase 2C like domain containing 1",7,0,6,8,10,0,0.0179884,0.0343583,0.1531131,0.138397,0.0825511,1.26897,7.15101,2.54569
"92",107282896,"potassium voltage-gated channel subfamily H member 8",0,0,0,0,0,0,0.0855132,0,0,0,0.1582666,0,0,0
"93",107282899,"shugoshin-like 1 (S. pombe)",11,9,30,104,24,0.0327498,0.0234609,0.0222022,0.3417359,0.4275032,0.3466267,0.0344674,0.708402,0.0972727
"94",107282900,"lysine acetyltransferase 2B",147,80,270,205,273,9.481382,10.350957,10.091503,5.41719,6.06219,10.882363,19.32685,15.7695,19.1226
"95",107282902,"EF-hand domain family member B",16,5,9,1,7,0.0110329,0.0326494,0.0309,1.937091,0.2018096,3.055588,0.0224673,0.0464257,0.0154729
"96",107282904,"TBC1 domain family member 5",294,219,413,351,337,8.7528029,8.0665475,8.3161225,12.699263,9.140149,17.21576555,8.540223,14.85732605,6.661287
"97",107282905,"phospholipase C like 2",25,31,66,77,33,2.73356,2.9057599,3.1224573,2.829000005,2.635141044,5.3412009,3.2439184,8.420141,2.3037401
"98",107282907,"oxidoreductase NAD-binding domain containing 1",71,95,193,146,114,38.113823,33.421383,37.656677,10.0354431,4.14671,15.1681531,12.455829,16.490631,10.443237
"99",107282909,"biotinidase",1218.9,1080.28,2904.37,1945.86,1098.88,79.4479,81.3881,78.6961,35.06504,32.54211,43.03893,42.91414,88.35700807,25.92769
"100",107282911,"ankyrin repeat domain 28",647,428,1683,1409,1220,6.11948,5.628950171,5.8981353,29.98042,4.89046,22.443,8.031608,12.661893,6.67134
"101",107282925,"KIAA2022 ortholog",4,3,7,6,9,0.0268512,0.0722762,0.0905174,0.19280924,0.10754,0.496801,0.0280006,0,0.0856137
"102",107282929,"ectodysplasin A",0,1,2,0,0,0.909447577,0.712486516,0.665942074,4.129243,3.368323,4.544345,2.40828,0.555139,1.68125
"103",107282932,"ring finger protein, LIM domain interacting",108,56,157,102,82,4.713271,5.032327,4.814975,4.57816,1.95585,6.514829,5.24302,0,5.86442
"104",107282951,"aryl hydrocarbon receptor",366,324,830,708,478,2.32303,2.15787,2.20043,1.8916489,0.379234,5.765904,5.2752,18.284083,5.838081
"105",107282955,"integrin subunit beta 8",26,16,42,46,26,12.519478,12.119757,12.359373,10.5597924,2.636489,20.7671157,20.499912,45.46491,19.467485
"106",107282956,"cell division cycle associated 7 like",0,0,0,0,0,1.66377,1.82189,1.94526,1.929511,2.099898,2.589475,5.494881,10.485425,6.297706
"107",107282960,"ankyrin repeat and MYND domain containing 2",144,183,693,429,483,11.004911,12.305509,11.3834943,11.337051,8.402996,17.608495,18.8737,31.3408,24.4065
"108",107282961,"basic leucine zipper and W2 domains 2",112,94,567,208,276,8.31785,8.1517988,8.443025,10.977764,10.24291193,21.6048591,21.606561,31.866976,54.303674
"109",107282962,"tetraspanin 13",1914,1977,13015,11494,6186,21.6102673,18.2062359,22.1129669,1.786024,1.373222,5.528926,26.9928,54.6727,78.2689
"110",107282965,"sorting nexin 13",935,656,2244,1414,1387,6.5279741,8.2366543,6.7214003,11.5505699,3.0030146,20.58229391,8.664368,15.0279125,8.104094
"111",107282966,"TWIST neighbor",201,204,434,448,376,14.4564,12.48376,14.408683,2.45449,0.920579,5.46362,7.03374,17.5454,7.24964
"112",107282967,"metastasis associated in colon cancer 1",78,84,239,144,221,0.2765259,0.2224195,0.2222349,3.027504,0.584978,5.29934,0.196708,37.0653654,3.9181786
"113",107282968,"Sp4 transcription factor",26,17,41,22,19,2.557774,2.617985,2.300299,0.645184,0.190184,1.33766003,1.21642,2.98199,2.1832512
"114",107282969,"cyclin J",13,10,7,20,7,1.820985,2.208819,2.49025,1.450837,0.316305,2.901668,1.73401,2.55667,1.3203
"115",107282970,"dynein, axonemal, heavy chain 11",7,10,26,10,14,1.04713127,1.2907701,1.373775,0.163538845,1.203992201,1.500905395,0.278631,1.15123,0.426297
"116",107282978,"B-TFIID TATA-box binding protein associated factor 1",403,383,491,375,335,3.622146,3.7911504,3.4551168,4.673548,1.112147,8.744088,3.08698558,3.48283,2.668704
"117",107282981,"neural precursor cell expressed, developmentally down-regulated 9",620,243,474,376,402,15.278104,16.65102264,15.755327,13.27359195,21.667727,13.515157,14.479633,38.18827,38.816202
"118",107282982,"ELOVL fatty acid elongase 2",0,0,0,0,3,21.0887,21.1473,20.7549,0.0388674,0.022413,0.147058,2.20444,2.33317,0.372847
"119",107282987,"male germ cell associated kinase",335,191,278,359,310,0.0539102,0.054772,0.0748633,0.067085,0.450007,0.1845982,0.0897979,0.4297363,0.2216602
"120",107282989,"zinc finger protein 518A",425,370,618,458,528,0.892358,1.058697,0.854963,2.691045,0.660513,8.149732,1.31553,5.13079,1.13014
"121",107282992,"eukaryotic translation elongation factor 1 epsilon 1",780,704,1491,984,850,5.25842,5.89763,6.336188,22.458843,11.37363,41.020427,24.392887,71.70299,41.830055
"122",107282993,"biogenesis of lysosomal organelles complex 1 subunit 5",331,393,556,387,303,5.329258,5.207391,4.892,9.427667,6.06311,20.19942,18.1962,65.69575,36.83165
"123",107282996,"oligosaccharyltransferase complex subunit (non-catalytic)",726,709,942,1101,727,26.5354005,27.725233,26.295579,20.5234,14.4776,66.75425,44.332171,98.1538,36.68291
"124",107282998,"RIO kinase 1",529,356,393,221,327,5.9429944,6.1363469,6.4110395,4.435427,0.797255,6.105669,4.93115,6.26164,8.10122
"125",107283003,"ras responsive element binding protein 1",32,33,35,31,10,12.385914,11.3831295,13.831612,15.68852,9.6310118,10.593721,10.183541,11.37565,1.9933477
"126",107283006,"coagulation factor XIII A chain",41,24,88,137,55,1.1507226,1.2387894,1.0102253,45.75155,10.00837,59.959638,1.12884,12.60733,0.601643
"127",107283007,"phenylalanyl-tRNA synthetase 2, mitochondrial",599,529,661,443,493,52.3354668,52.662185,53.7483007,11.84841,17.6070487,14.0762662,27.6116967,35.921407,21.13199143
"128",107283009,"ribonuclease P/MRP 40kDa subunit",101,91,165,102,108,4.494955,5.785744,3.811982,2.928077,1.287979,5.7573098,7.921523,9.343813,7.653265
"129",107283011,"endothelin 1",7,10,9,12,10,1.46544,1.4905,1.31277,1.8479,0.726542,3.52473,0.607465,5.62656,3.90904
"130",107283014,"neuritin 1",0,0,1,1,0,0.387074,0.329446,0.45913,3.215077,2.5147821,1.8992574,0.883141,4.25736,11.3201
"131",107283018,"deiodinase, iodothyronine, type I",7792,3834,13728,7781,9704,48.736429,50.886867,51.47676,136.8091,86.06459,112.0042,325.554,423.758,15.3405
"132",107283021,"family with sequence similarity 159 member A",5,19,14,11,8,0.0935975,0.20101,0.190504,5.102259,1.242113,1.151054,16.7008,5.56147,3.58109
"133",107283031,"transcription elongation factor A N-terminal and central domain containing 2",104,91,148,180,124,7.263536,10.335183,7.77588795,1.5298909,2.213605,2.82554496,8.99737,17.01399,11.18559
"134",107283033,"leucine rich repeat containing 42",172,176,417,305,126,8.68439,9.510722,9.922125,9.150553,8.355240001,14.17969,6.391168,15.34929,9.431505
"135",107283035,"heat shock protein family B (small) member 11",95,112,225,220,132,5.948858,6.428275,4.976177,9.921027,3.744623,26.928016,6.23968,4.70951,13.9173
"136",107283040,"LDL receptor related protein 8",2,0,2,2,2,3.82287384,2.36936304,2.746957,2.49552823,1.445939,2.6602726,4.655389,17.54566,13.53776
"137",107283043,"podocan",12,30,68,98,19,21.299649,20.12861,22.837111,3.166613,4.7754,1.278429,27.43,30.2215,15.4664
"138",107283044,"sterol carrier protein 2",5437,3842,7096,7454,6089,450.597576,473.4061,451.646854,165.646515,24.00941855,376.8795464,134.9045,677.634,217.2329
"139",107283045,"enoyl-CoA hydratase domain containing 2",962,954,1130,389,659,157.163151,147.71722,155.406954,230.9980138,206.22012,246.925768,56.4216,174.1625,12.75704
"140",107283050,"pre-mRNA processing factor 38A",1178,993,1932,1354,1091,4.415035,3.9072654,4.1044238,23.79957,16.27315,23.05915,12.3883,15.1388,25.0896
"141",107283052,"coiled-coil and C2 domain containing 1B",141,102,159,137,154,19.292016,18.837417,23.805552,26.03906,17.849869,31.571452,19.34177,18.56037,15.71991
"142",107283055,"thioredoxin domain containing 12 (endoplasmic reticulum)",157,185,232,471,223,17.516252,18.098172,16.958204,31.296422,21.524348,42.13263,131.3248,326.3006,111.2012
"143",107283057,"nardilysin convertase",1033,763,981,737,728,33.375037,30.730768,38.309919,57.16372003,30.34437633,63.656291,18.26201,13.106886,14.535519
"144",107283060,"ring finger protein 11",985,709,979,1055,570,41.5967,39.5236,38.19033,78.3626,21.80493,107.666833,66.1901,243.634,102.8901
"145",107283061,"Fas associated factor 1",123,88,154,131,131,5.7631875,6.4448624,6.25293,35.20951,23.45468,47.29616,34.765139,9.81527,25.2923912
"146",107283064,"WD repeat domain 92",864,770,1071,975,1016,5.20197,5.54479,5.48005,2.315427,1.44918,5.991451,10.3673,15.6753,10.332
"147",107283067,"solute carrier family 1 (glutamate transporter), member 7",5,1,9,13,2,0.1225527,0.1361496,0.343318,1.107190312,0.461588,0.823588,4.49551,55.15966,2.660795
"148",107283068,"cytochrome c oxidase assembly factor 7",197,141,264,193,165,18.76778,21.25707,17.929574,15.72691,5.13565,16.97319,34.0728,63.2157,21.0908
"149",107283075,"beaded filament structural protein 1",17,15,10,21,7,0.2130083,0.277332,0.4102029,0.735631204,1.536351,0.225761,0.608767,0.987852,3.925902
"150",107283103,"transmembrane protein 238",139,110,413,301,287,55.72864,51.58171,58.41504,19.3782,33.4058,0.561294,91.8524,3.95783,4.26578
"151",107283114,"centrosomal protein 290kDa",431,399,703,581,701,1.4108914,1.187097,0.70825192,2.43932,0.8144207,6.976712,1.45247145,3.3238316,1.299987
"152",107283121,"dual specificity phosphatase 6",63,48,107,63,67,37.92161,35.16006,37.12937,13.801463,13.1279,23.09407,23.6371,52.242,62.3118
"153",107283122,"pleckstrin",10,16,88,147,25,0.892388034,1.00765,0.904757144,2.82155,0.913878,3.255252,1.68436,11.70344301,4.0236766
"154",107283124,"transient receptor potential cation channel subfamily M member 1",57,27,193,35,48,0.2899231,0.2701045,0.5015374,0.0545056,0.251047,0.366537,0.027518508,0.085630321,0.415845874
"155",107283134,"regulatory factor X7",19,10,7,8,3,4.753951402,4.694754,4.301353532,1.970399,0.5478305,3.083001,2.375521,5.640809,1.4501885
"156",107283138,"WD repeat domain 72",42,48,68,31,45,7.9852559,8.58058,8.932801,56.9588,14.83026,155.4282,17.218214,28.8790925,3.113658
"157",107283141,"myotubularin related protein 10",61,56,68,44,38,6.922111,7.588997,7.865574,21.905,9.844742,37.27671,24.1132,29.92,15.1878
"158",107283146,"annexin A2",5868,1707,1891,2200,1288,88.031201,91.211011,90.188203,193.1887,155.4581,291.2917,54.391916,593.389083,378.968058
"159",107283147,"RAR related orphan receptor A",10,6,16,12,16,12.253054,13.543937,12.260047,7.159968,7.271364,8.352651,2.413285,2.89853,1.16517
"160",107283154,"ADAM metallopeptidase domain 10",215,134,171,233,140,13.545907,12.298473,15.199226,38.09455234,8.4463009,47.7224327,15.058326,44.5983181,17.83997
"161",107283157,"zinc finger protein 280D",60,33,48,41,40,68.84800236,65.6429603,62.47478484,1.41879,1.02105,1.74105,3.945845,6.190502,5.407797
"162",107283162,"methylmalonyl-CoA epimerase",224,166,85,133,107,68.03305,71.38541,72.85955,16.207242,5.539122,42.21191,130.67,427.096,176.956
"163",107283168,"carbonic anhydrase XII",0,1,1,2,2,223.168864,216.325321,227.832001,311.20224,216.56526,444.084803,402.63343,457.20478,75.3639828
"164",107283170,"ubiquitin specific peptidase 3",55,49,69,71,45,24.431857,22.16821773,25.866815,12.08544581,12.62499115,25.58409424,13.53584361,16.37832,7.482190394
"165",107283172,"TBC1 domain family member 2B",8,4,2,4,1,12.2908,11.706614,13.170927,5.632385,9.071734,7.002206,2.662728,6.343988,4.69083
"166",107283183,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",1677,1168,1616,1070,1310,8.476109,7.94183,7.686872,17.8511,8.11807,28.90811,19.7858,70.5893,30.2838
"167",107283185,"von Willebrand factor A domain containing 8",95,53,59,57,40,45.2722644,48.5583171,44.6198222,7.941368,3.029156,13.519492,15.15893761,8.561099604,4.634103
"168",107283187,"A-kinase anchoring protein 11",11,13,26,29,22,5.901689,6.5445694,6.641608,4.16586,1.14175,10.0935,8.84428,23.72276,5.56952
"169",107283190,"coiled-coil domain containing 122",0,0,1,0,0,0.4092129,0.2411056,0.418506714,1.626492,2.404616,4.91769,0.0274954,0.0373314,0
"170",107283192,"SEC24 homolog B, COPII coat complex component",439,365,687,441,592,29.11759,26.143363,28.08792,6.95075,3.99802,11.972157,13.931735,13.01052,9.65368
"171",107283198,"E74 like ETS transcription factor 1",41,40,102,98,65,10.4883059,10.946183,10.367956,13.90606001,4.395243,22.9349,17.37543,42.86458,20.720434
"172",107283199,"N(alpha)-acetyltransferase 16, NatA auxiliary subunit",59,30,32,24,26,2.283536,2.789093,2.7221012,2.689889,2.034187,4.481521,12.949121,12.28446815,18.069894
