Orthogroup	P_Mucros.pep	N_naja.pep
OG0000014	XP_015665992.1, XP_015681930.1	Nana23739-RA
OG0000014	XP_015678128.1	Nana24070-RA
OG0000014	XP_015674626.1	Nana30712-RA
OG0000015	XP_029141494.1, XP_029142842.1, XP_029142300.1	Nana07170-RA
OG0000015	XP_015684078.2, XP_015686359.1	Nana37963-RA
OG0000015	XP_029142551.1, XP_015682087.2	Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE
OG0000015	XP_015683644.1, XP_015684435.1, XP_029142095.1	Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA
OG0000015	XP_015683740.1	Nana37983-RA
OG0000015	XP_029142552.1, XP_015684387.1, XP_015684316.1	Nana39512-RA, Nana07213-RA
OG0000015	XP_029142094.1	Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA
OG0000015	XP_015684314.1, XP_029142617.1	Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA
OG0000018	XP_015686319.1	Nana10432-RA
OG0000018	XP_015665997.1	Nana10427-RA, Nana23737-RA, Nana24314-RA, Nana38984-RA
OG0000021	XP_029138891.1	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	XP_015665771.1, XP_015665778.1	Nana09413-RA, Nana09413-RB, Nana09413-RC
OG0000021	XP_015669261.1	Nana13832-RA, Nana13832-RB
OG0000021	XP_015677905.1, XP_015677906.1, XP_015677907.1	Nana24863-RA
OG0000023	XP_029140194.1, XP_015672569.2	Nana23400-RA
OG0000026	XP_029142608.1	Nana15442-RA
OG0000026	XP_029142559.1, XP_015684188.2	Nana15436-RA, Nana15438-RA
OG0000026	XP_029142606.1	Nana15441-RA, Nana15443-RA
OG0000027	XP_015670228.1, XP_015681657.1	Nana03933-RA, Nana20181-RA
OG0000027	XP_015672184.1	Nana03934-RB, Nana03934-RA
OG0000027	XP_015674309.1	Nana27836-RA
OG0000027	XP_015679074.1	Nana27543-RA
OG0000027	XP_015671065.1	Nana13883-RA
OG0000027	XP_015672183.1, XP_015672182.1	Nana03933-RB
OG0000027	XP_015670229.1	Nana09911-RA
OG0000029	XP_015683489.1	Nana10133-RA
OG0000029	XP_015683491.1	Nana10134-RA
OG0000029	XP_015668619.1	Nana10130-RA
OG0000029	XP_029139397.1	Nana10131-RA
OG0000029	XP_015672252.1	Nana10387-RA
OG0000029	XP_015677400.1	Nana10116-RA
OG0000031	XP_015669362.1	Nana30921-RA
OG0000031	XP_015669369.1, XP_015669367.1, XP_015669370.1, XP_015669368.1, XP_015669366.1, XP_029139546.1, XP_029139545.1, XP_029139547.1, XP_029139544.1, XP_029139542.1, XP_029139543.1	Nana30920-RB
OG0000031	XP_029139541.1, XP_015669359.1	Nana30920-RA
OG0000031	XP_015669360.1, XP_015669364.1, XP_015669371.1	Nana30920-RC
OG0000033	XP_015682503.1, XP_029142234.1, XP_015686066.1	Nana25612-RA
OG0000033	XP_015682498.1, XP_015682497.1	Nana25617-RA
OG0000033	XP_015682719.2, XP_015683403.1	Nana25601-RA
OG0000034	XP_015675565.1	Nana07731-RA
OG0000034	XP_015687129.1	Nana36726-RA
OG0000034	XP_015669891.1	Nana15765-RA
OG0000034	XP_015669671.1	Nana15763-RA
OG0000034	XP_015672240.1	Nana16081-RA
OG0000034	XP_015679451.1	Nana13527-RA
OG0000041	XP_015678898.1, XP_015674874.1	Nana06960-RA
OG0000041	XP_029141199.1	Nana07059-RA
OG0000041	XP_015683246.2, XP_029142488.1, XP_029142489.1, XP_015685368.2	Nana07193-RA, Nana07192-RA, Nana07188-RA, Nana07187-RA
OG0000042	XP_029142585.1	Nana15423-RA, Nana15427-RA, Nana15429-RA
OG0000045	XP_029142106.1	Nana30791-RA
OG0000047	XP_015677274.1, XP_015676675.1, XP_015676674.1, XP_015676672.1, XP_015676673.1, XP_015676670.1, XP_015676671.1, XP_015676669.1	Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE
OG0000047	XP_015677273.1, XP_015677272.1	Nana04126-RA, Nana04126-RB
OG0000050	XP_029142422.1, XP_029140729.1	Nana16983-RA, Nana16985-RA, Nana39960-RA
OG0000050	XP_015678110.1, XP_015685176.2, XP_015678113.2	Nana16988-RA
OG0000050	XP_015678116.1, XP_015678118.1, XP_015678117.1	Nana16986-RA
OG0000050	XP_029141730.1	Nana38885-RA
OG0000050	XP_015678111.1	Nana16995-RA
OG0000050	XP_015680472.2, XP_029141732.1, XP_015678112.1, XP_015680471.2, XP_015680476.2, XP_015680474.2, XP_015685624.2, XP_015680470.1	Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA
OG0000050	XP_015680468.1, XP_029141731.1, XP_015680473.1	Nana16998-RA
OG0000051	XP_029141524.1	Nana03481-RA, Nana03471-RA
OG0000051	XP_015679120.1	Nana03469-RA
OG0000051	XP_029143052.1	Nana22919-RA
OG0000051	XP_015688000.1	Nana21196-RA
OG0000051	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1	Nana09998-RA
OG0000053	XP_029140902.1, XP_029141896.1	Nana07286-RA
OG0000053	XP_015665798.1, XP_015681317.1	Nana37792-RA, Nana23513-RA
OG0000053	XP_015685493.1, XP_015683778.2	Nana07296-RA
OG0000053	XP_015684847.1	Nana07339-RA
OG0000053	XP_029142333.1	Nana07349-RA
OG0000056	XP_015686863.1, XP_015686845.1, XP_015686795.1	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA
OG0000056	XP_015667034.1	Nana15452-RA
OG0000057	XP_015687186.2	Nana20821-RA
OG0000057	XP_015675899.1	Nana20799-RA
OG0000057	XP_015687182.2	Nana20825-RA
OG0000057	XP_015679108.2	Nana20776-RA
OG0000057	XP_015679109.2	Nana20777-RA
OG0000057	XP_015679164.2, XP_029140766.1, XP_015683374.1, XP_015675889.2, XP_015675900.2, XP_015675893.2	Nana20786-RA
OG0000057	XP_029141441.1	Nana20771-RA
OG0000057	XP_029141451.1, XP_029141440.1	Nana20773-RA, Nana20784-RA
OG0000057	XP_015679161.2, XP_015679159.2, XP_029141452.1, XP_015684294.2	Nana20793-RA
OG0000059	XP_015670662.1	Nana09728-RA
OG0000059	XP_015682953.1	Nana34355-RA
OG0000059	XP_015684708.1	Nana05169-RA
OG0000059	XP_015666627.1, XP_015666628.1	Nana28043-RB, Nana28043-RA
OG0000059	XP_015671497.1	Nana01616-RA
OG0000059	XP_015687360.1	Nana19300-RA
OG0000061	XP_015683390.1	Nana07751-RA
OG0000061	XP_029142390.1	Nana07746-RA, Nana07750-RA, Nana07753-RA
OG0000061	XP_015683388.1	Nana07752-RA
OG0000062	XP_029142599.1	Nana23924-RA
OG0000062	XP_015684243.1	Nana23925-RA
OG0000062	XP_015676883.1	Nana39516-RA
OG0000062	XP_029140961.1, XP_015685340.1, XP_029142849.1	Nana23927-RA
OG0000062	XP_015685339.2, XP_029142959.1	Nana18624-RB, Nana18624-RA
OG0000062	XP_015673408.1	Nana27935-RA
OG0000062	XP_029142076.1	Nana27905-RA
OG0000062	XP_015686729.2	Nana27903-RA
OG0000062	XP_015681994.1	Nana27895-RA
OG0000062	XP_015686675.1	Nana27899-RA, Nana27902-RA
OG0000065	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000066	XP_029142067.1, XP_029142710.1	Nana07879-RA
OG0000067	XP_015686765.2	Nana07272-RA, Nana07261-RA, Nana07263-RA, Nana07270-RA, Nana07267-RA, Nana07269-RA
OG0000067	XP_029140118.1, XP_015672278.1	Nana07271-RA
OG0000067	XP_029142810.1, XP_029142556.1	Nana07322-RC
OG0000067	XP_015685658.1, XP_029143041.1	Nana07279-RA, Nana07312-RA, Nana07274-RA
OG0000067	XP_029140375.1, XP_029142563.1, XP_029142626.1, XP_029142564.1, XP_029142372.1, XP_029142985.1, XP_029142373.1, XP_029142374.1, XP_029142992.1, XP_029142951.1, XP_029142371.1, XP_029142376.1, XP_029142375.1, XP_029140376.1, XP_029142588.1, XP_029140377.1, XP_029142812.1, XP_029142861.1, XP_029142565.1, XP_029142555.1, XP_015686428.1, XP_029142886.1, XP_015683356.1, XP_015685286.1	Nana07258-RA
OG0000069	XP_015679681.1	Nana09934-RA
OG0000069	XP_015678382.1, XP_015678381.1, XP_015678383.1	Nana10146-RA
OG0000069	XP_015678379.1	Nana10140-RA
OG0000069	XP_015686129.1	Nana10137-RA
OG0000069	XP_015678380.1, XP_029141284.1	Nana10142-RA
OG0000069	XP_015672627.1	Nana10295-RA
OG0000071	XP_015685533.1	Nana30659-RB
OG0000071	XP_015682491.1	Nana30659-RA, Nana30662-RA
OG0000071	XP_015684998.1	Nana34398-RA
OG0000072	XP_015684770.2, XP_029141432.1, XP_029141435.1, XP_029141436.1	Nana35916-RA
OG0000072	XP_015671903.1	Nana00984-RA
OG0000073	XP_015674252.1	Nana36370-RA
OG0000073	XP_015678018.1	Nana30547-RA, Nana30547-RB
OG0000073	XP_015668814.1	Nana05770-RA
OG0000074	XP_015670841.1, XP_015670838.1, XP_029139862.1	Nana39081-RB, Nana39423-RA, Nana39648-RA, Nana39219-RA
OG0000074	XP_015670840.1	Nana11137-RA
OG0000074	XP_015670842.1	Nana11138-RA
OG0000077	XP_029141841.1	Nana12814-RA
OG0000077	XP_015679149.1	Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA
OG0000077	XP_029140712.1	Nana04248-RA
OG0000077	XP_015679160.1, XP_015681733.2	Nana04224-RA
OG0000077	XP_015672809.1	Nana08643-RA
OG0000077	XP_015671970.1, XP_015671971.1	Nana04298-RA
OG0000080	XP_029141141.1	Nana38637-RA, Nana38740-RA, Nana39575-RA, Nana06848-RA, Nana06812-RA, Nana13283-RB, Nana13283-RC, Nana13283-RA, Nana37840-RA, Nana06904-RA, Nana13282-RA, Nana38043-RA, Nana24359-RA, Nana06873-RA, Nana06835-RA, Nana06839-RA, Nana38056-RA, Nana38276-RC, Nana24361-RA, Nana06859-RA, Nana06841-RB, Nana06841-RA, Nana06870-RA, Nana06870-RB, Nana39573-RA, Nana06506-RA, Nana06869-RA, Nana06832-RB, Nana06832-RC, Nana38875-RA, Nana38875-RB, Nana38053-RA, Nana38048-RA, Nana38050-RA, Nana38411-RA, Nana38704-RA, Nana39847-RA, Nana27798-RA, Nana38738-RA, Nana39897-RA, Nana06945-RA, Nana06852-RA, Nana06938-RA, Nana06857-RA, Nana38276-RB, Nana06865-RB, Nana06849-RA, Nana06855-RA, Nana38041-RA, Nana38291-RA
OG0000081	XP_015675839.1	Nana37639-RA
OG0000081	XP_015683637.1	Nana37247-RA
OG0000083	XP_015670327.1	Nana00631-RA
OG0000083	XP_015682220.1, XP_015682221.1	Nana06622-RA, Nana06624-RA
OG0000083	XP_015670326.1	Nana00630-RA
OG0000085	XP_029139245.1	Nana02961-RA
OG0000085	XP_029138764.1	Nana32101-RD
OG0000085	XP_029139244.1	Nana02958-RA
OG0000085	XP_029139815.1	Nana20286-RB
OG0000085	XP_029140039.1	Nana20288-RA
OG0000086	XP_015685683.1	Nana13407-RA
OG0000086	XP_015672964.1	Nana02319-RA
OG0000087	XP_015677192.1, XP_015677190.1, XP_015677194.1	Nana09343-RA, Nana09343-RB
OG0000087	XP_015667487.1, XP_015667489.1	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	XP_015687322.1, XP_015687313.1	Nana27331-RA
OG0000087	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1	Nana23710-RA
OG0000090	XP_029139218.1	Nana31033-RB, Nana31033-RA, Nana31033-RC
OG0000091	XP_015686258.1	Nana30970-RA
OG0000092	XP_015671316.1	Nana12893-RB
OG0000092	XP_015671317.1, XP_015671315.1	Nana12893-RC, Nana12893-RA
OG0000092	XP_015666499.1, XP_015666500.1, XP_015666495.1	Nana32804-RA, Nana32804-RB
OG0000092	XP_015666496.1	Nana32804-RC
OG0000093	XP_029138978.1, XP_029138977.1	Nana27045-RA
OG0000093	XP_015687648.1, XP_015687649.1	Nana14174-RA
OG0000093	XP_029140098.1	Nana19135-RA
OG0000093	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1	Nana10674-RA
OG0000094	XP_015686431.1	Nana04968-RC
OG0000094	XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1	Nana04967-RA, Nana04968-RA
OG0000094	XP_015675520.2	Nana04966-RA
OG0000094	XP_029139882.1	Nana25546-RA
OG0000094	XP_029139885.1	Nana25533-RA
OG0000095	XP_015667286.1	Nana09550-RA
OG0000095	XP_029139131.1	Nana09552-RA
OG0000099	XP_015673346.1	Nana20229-RA
OG0000099	XP_029140096.1	Nana02215-RA
OG0000099	XP_015675447.2	Nana24836-RA
OG0000100	XP_015683146.2	Nana28324-RA
OG0000100	XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1	Nana28328-RB
OG0000100	XP_015682631.1	Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA
OG0000100	XP_015683143.1	Nana28321-RA
OG0000101	XP_015678399.1	Nana10097-RA, Nana10097-RB
OG0000101	XP_015678398.1	Nana10097-RC
OG0000101	XP_015686607.1	Nana03073-RA
OG0000101	XP_015686600.1	Nana03073-RB
OG0000101	XP_015687734.1, XP_015669788.1	Nana21110-RA
OG0000102	XP_015675100.1	Nana04405-RA
OG0000102	XP_015682701.1	Nana27661-RA
OG0000106	XP_015673749.1	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	XP_015670458.1	Nana03353-RF, Nana03353-RE, Nana03353-RB
OG0000106	XP_015670457.1	Nana03353-RG
OG0000108	XP_015674991.1, XP_015685952.1, XP_015674990.1, XP_015674989.1, XP_015674988.1	Nana34378-RB, Nana34378-RA
OG0000108	XP_015675017.1	Nana34377-RA
OG0000108	XP_015675003.1	Nana34376-RA
OG0000109	XP_029141959.1, XP_015678078.1, XP_015670871.1	Nana21461-RA
OG0000110	XP_015674238.1	Nana35843-RA, Nana05423-RA
OG0000110	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1	Nana05425-RA, Nana00887-RA
OG0000111	XP_015671863.1	Nana17605-RA, Nana17605-RB
OG0000111	XP_015671967.2	Nana32413-RA, Nana26179-RA
OG0000111	XP_015685194.1, XP_015685989.1	Nana08966-RA
OG0000112	XP_029139834.1	Nana22728-RA
OG0000113	XP_015676715.1	Nana02416-RA
OG0000113	XP_015672662.1, XP_015672664.1, XP_015672663.1	Nana02420-RA
OG0000113	XP_015672656.1, XP_015672657.1	Nana02419-RA
OG0000115	XP_015681977.1	Nana24320-RA
OG0000115	XP_029142064.1	Nana24321-RA
OG0000115	XP_015672908.1	Nana15381-RA
OG0000115	XP_015676950.1	Nana15378-RA
OG0000116	XP_015687773.1, XP_015687806.2, XP_029143187.1	Nana23099-RA
OG0000118	XP_015686784.1, XP_015685484.1, XP_015686918.2	Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA
OG0000118	XP_015685483.1, XP_015685041.1, XP_015686387.1, XP_015685832.1, XP_015684166.1, XP_015686413.1	Nana30521-RA, Nana30520-RA, Nana38829-RA
OG0000118	XP_015686756.1, XP_015686637.1	Nana30546-RA
OG0000118	XP_029141999.1	Nana30571-RA
OG0000118	XP_015681724.1	Nana30570-RA
OG0000118	XP_015682381.1	Nana30515-RA
OG0000118	XP_015680316.1	Nana35776-RA
OG0000119	XP_015675783.1	Nana30054-RA
OG0000119	XP_015678738.1	Nana07708-RA
OG0000119	XP_015676013.1, XP_015680784.2	Nana24627-RA
OG0000119	XP_015667791.1, XP_015667790.1	Nana02918-RA
OG0000120	XP_015681942.1, XP_015686317.1, XP_015681935.1	Nana24316-RA, Nana24308-RA
OG0000120	XP_015669915.1	Nana27152-RA
OG0000121	XP_015684165.2, XP_029142635.1, XP_029142591.1	Nana15428-RA, Nana15421-RA, Nana15429-RB
OG0000126	XP_015667989.1, XP_015667988.1	Nana11693-RA, Nana11693-RB
OG0000126	XP_015672138.1	Nana11690-RA
OG0000126	XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1	Nana33631-RC, Nana33631-RB, Nana33631-RA
OG0000127	XP_015684744.1	Nana21098-RA
OG0000127	XP_029141138.1	Nana21079-RD, Nana21079-RC, Nana39208-RA
OG0000127	XP_015686770.1	Nana21079-RE
OG0000127	XP_029142411.1	Nana38406-RA
OG0000128	XP_029142455.1	Nana23910-RA
OG0000128	XP_015681176.1, XP_015681179.1	Nana23921-RA
OG0000128	XP_015681182.1	Nana23918-RA
OG0000128	XP_015687069.2	Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA
OG0000129	XP_015677033.1	Nana13746-RA
OG0000129	XP_015669757.1	Nana16117-RA
OG0000129	XP_029140022.1	Nana16115-RA, Nana01988-RA
OG0000129	XP_029139363.1	Nana30228-RA
OG0000129	XP_029140019.1	Nana30225-RA, Nana01987-RA
OG0000130	XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1	Nana36269-RA
OG0000130	XP_029141364.1	Nana33055-RA
OG0000131	XP_015675704.1	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB
OG0000134	XP_029142359.1, XP_029142815.1, XP_015686361.2, XP_029140487.1, XP_029142865.1, XP_029140468.1, XP_029142960.1	Nana13327-RA
OG0000135	XP_029143026.1, XP_029142788.1, XP_029142878.1, XP_029142287.1, XP_029142789.1	Nana13295-RA, Nana38700-RC
OG0000136	XP_015680878.1, XP_015680870.1	Nana25848-RA
OG0000136	XP_015673847.1	Nana01675-RA, Nana01675-RB
OG0000136	XP_029140470.1	Nana30115-RA
OG0000136	XP_029141621.1	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	XP_015667066.1	Nana21626-RB, Nana21626-RA
OG0000137	XP_015665901.1	Nana23253-RA, Nana23253-RB
OG0000137	XP_015676018.1	Nana03410-RA, Nana03410-RB
OG0000138	XP_015688007.1, XP_015688008.1, XP_015688006.1	Nana21262-RA
OG0000138	XP_015681515.1	Nana08323-RA
OG0000138	XP_015672190.1	Nana03937-RA
OG0000138	XP_015672185.1	Nana03939-RA
OG0000140	XP_029142978.1	Nana08095-RA, Nana26831-RA, Nana23487-RA, Nana22120-RA, Nana22339-RA
OG0000141	XP_029141886.1, XP_029141888.1, XP_029141929.1, XP_029139480.1, XP_029141934.1, XP_015681393.1, XP_029141642.1, XP_029141891.1, XP_029141892.1, XP_029141930.1, XP_029141933.1, XP_015681391.1, XP_015681395.1, XP_029141646.1, XP_029141645.1, XP_029141647.1, XP_029141644.1, XP_015681389.1, XP_015681387.1, XP_029141643.1, XP_029141640.1, XP_029141931.1, XP_029141890.1, XP_029141932.1, XP_029141639.1, XP_015681386.2, XP_015681388.1, XP_029141887.1, XP_015669885.1, XP_015680074.2, XP_015680075.1, XP_029141889.1, XP_015669886.1, XP_029141641.1, XP_029139479.1, XP_029139484.1, XP_029139478.1, XP_029139477.1, XP_029139476.1, XP_029139475.1	Nana23409-RA
OG0000143	XP_015676537.1	Nana28454-RA
OG0000143	XP_015684838.1, XP_015671949.1	Nana18924-RD, Nana18924-RC
OG0000143	XP_015671953.1	Nana18923-RA
OG0000143	XP_015671938.1	Nana18922-RA
OG0000143	XP_015671939.1	Nana18920-RA
OG0000144	XP_029143019.1, XP_029142873.1, XP_029141366.1, XP_015685258.1, XP_029141365.1, XP_015686440.1, XP_029142369.1, XP_029141367.1, XP_015678767.1, XP_015683151.1, XP_015683350.1, XP_015685563.1, XP_015685103.1, XP_015684701.1, XP_015684933.1, XP_029142796.1, XP_015684959.1, XP_029142805.1, XP_015685104.1, XP_029142983.1, XP_015684680.2	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA
OG0000145	XP_015682430.1	Nana13194-RA
OG0000145	XP_015682429.1	Nana13189-RA
OG0000145	XP_015686853.1, XP_015686492.1	Nana13190-RA
OG0000145	XP_015685170.1, XP_015682427.1	Nana13195-RA
OG0000146	XP_015674430.2	Nana23491-RA
OG0000146	XP_015674428.1	Nana23497-RA
OG0000146	XP_029141375.1, XP_015665730.2	Nana23499-RA
OG0000147	XP_015667871.1, XP_015667872.1, XP_029139251.1	Nana19440-RA
OG0000147	XP_015682850.1	Nana18452-RA
OG0000147	XP_015676540.1	Nana09013-RA
OG0000147	XP_029141582.1, XP_015679774.1	Nana28363-RA
OG0000149	XP_015678292.1	Nana30761-RA
OG0000149	XP_015680285.1	Nana30762-RA
OG0000149	XP_015674515.1	Nana01559-RA
OG0000149	XP_015669576.1	Nana04942-RA
OG0000150	XP_015681862.1	Nana34190-RB, Nana34190-RA
OG0000150	XP_015681761.1	Nana34186-RA
OG0000150	XP_015681941.1	Nana34187-RB
OG0000150	XP_015681947.1	Nana34187-RA
OG0000151	XP_015668037.1	Nana14459-RA
OG0000151	XP_029139285.1	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	XP_015669483.1	Nana11108-RA
OG0000153	XP_015677236.2	Nana30407-RA
OG0000154	XP_015666971.1	Nana21272-RA
OG0000154	XP_015681070.1	Nana03716-RA
OG0000154	XP_029139258.1	Nana39032-RA
OG0000155	XP_029141321.1	Nana27596-RB, Nana27596-RA
OG0000155	XP_029141320.1	Nana27598-RA
OG0000155	XP_015678568.1	Nana27600-RA
OG0000156	XP_029142934.1, XP_015686873.1	Nana04038-RA
OG0000156	XP_029143117.1, XP_029142935.1	Nana04034-RA, Nana04040-RA, Nana04043-RA, Nana04035-RA, Nana04045-RA
OG0000156	XP_015676189.1	Nana02904-RA
OG0000158	XP_015680736.1	Nana37069-RA, Nana37069-RB
OG0000158	XP_015666892.1	Nana14953-RA
OG0000158	XP_015677214.1	Nana37076-RA
OG0000159	XP_029141105.1, XP_015677573.2	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	XP_015685652.1, XP_015685536.1	Nana06954-RA
OG0000162	XP_015672503.1	Nana01233-RA
OG0000162	XP_015679176.1	Nana01383-RB, Nana01383-RC, Nana01383-RA
OG0000162	XP_015679096.1	Nana35924-RA
OG0000163	XP_015668795.1, XP_015668794.1, XP_015668792.2	Nana10880-RA
OG0000163	XP_015672310.1, XP_029140139.1, XP_015672311.1, XP_029140136.1, XP_029140137.1, XP_015672308.1, XP_015672309.1, XP_029140138.1, XP_015672307.1	Nana11460-RA, Nana14489-RA
OG0000164	XP_015676190.1	Nana02902-RA
OG0000164	XP_015676194.1, XP_015676193.1	Nana02891-RB, Nana02893-RA
OG0000164	XP_029140819.1, XP_015676188.1	Nana02894-RB, Nana02894-RA
OG0000164	XP_015676191.2	Nana02901-RA
OG0000164	XP_015669245.1	Nana02890-RD, Nana02890-RC, Nana02890-RB
OG0000169	XP_015668859.1, XP_015668849.1	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	XP_015667139.1	Nana29768-RA
OG0000169	XP_015671850.1	Nana13679-RA
OG0000171	XP_015672895.1	Nana17788-RA
OG0000171	XP_015672892.1, XP_015672893.1	Nana17787-RA
