Orthogroup	P_Mucros.pep	X_tropicalis.pep
OG0000009	XP_015673205.2	ENSXETG00000010384.1
OG0000009	XP_015665579.1	ENSXETG00000015160.1
OG0000009	XP_015668984.2	ENSXETG00000008980.1, ENSXETG00000008996.1, ENSXETG00000009017.1
OG0000009	XP_015677981.1, XP_015677982.2, XP_015673239.1	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1
OG0000010	XP_015672062.1, XP_015681933.1, XP_015681932.1	ENSXETG00000020462.1
OG0000010	XP_015675791.1	ENSXETG00000016136.1
OG0000010	XP_015683800.1	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1
OG0000014	XP_015680071.1, XP_015680070.1	ENSXETG00000001142.1
OG0000014	XP_015669928.1, XP_015669926.1	ENSXETG00000014395.1
OG0000014	XP_015683802.1	ENSXETG00000009426.1
OG0000014	XP_015686318.1	ENSXETG00000005833.1, ENSXETG00000000591.1, ENSXETG00000016233.1
OG0000014	XP_015665992.1, XP_015681930.1	ENSXETG00000005846.1
OG0000014	XP_015674626.1	ENSXETG00000020261.1
OG0000015	XP_029141494.1, XP_029142842.1, XP_029142300.1, XP_015681564.2, XP_029141960.1, XP_015681563.1, XP_029142070.1, XP_029142071.1, XP_029142618.1, XP_015683643.1, XP_029142096.1, XP_029142472.1, XP_029142644.1, XP_015681576.1, XP_015684078.2, XP_015686359.1, XP_029142551.1, XP_015682087.2, XP_015682091.1, XP_015682088.2, XP_015682092.1, XP_015681575.1, XP_015683644.1, XP_015684435.1, XP_029142095.1, XP_015680096.1, XP_015683740.1, XP_029142552.1, XP_015684387.1, XP_015684316.1, XP_015684388.1, XP_029142094.1, XP_015684314.1, XP_029142617.1	ENSXETG00000008260.1, ENSXETG00000008214.1
OG0000018	XP_015686319.1	ENSXETG00000004068.1
OG0000018	XP_015678127.1	ENSXETG00000002840.1
OG0000018	XP_015665997.1	ENSXETG00000009505.1, ENSXETG00000009555.1, ENSXETG00000015930.1, ENSXETG00000002924.1, ENSXETG00000014622.1, ENSXETG00000000638.1, ENSXETG00000015951.1, ENSXETG00000000659.1, ENSXETG00000016155.1, ENSXETG00000005825.1, ENSXETG00000016254.1
OG0000018	XP_015681934.1	ENSXETG00000014595.1
OG0000018	XP_015665996.1	ENSXETG00000009538.1
OG0000021	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1
OG0000021	XP_015665771.1, XP_015665778.1	ENSXETG00000004084.1
OG0000021	XP_015669261.1	ENSXETG00000004298.1
OG0000021	XP_015677905.1, XP_015677906.1, XP_015677907.1	ENSXETG00000006074.1
OG0000021	XP_029141149.1	ENSXETG00000014131.1
OG0000021	XP_015677713.1	ENSXETG00000010941.1
OG0000023	XP_015680186.1, XP_015680187.1, XP_015680192.1, XP_015680188.1, XP_029141670.1, XP_015677303.2, XP_015677478.2, XP_029141074.1, XP_029140194.1, XP_015672569.2, XP_015677304.1, XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1	ENSXETG00000015184.1
OG0000025	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1	ENSXETG00000008190.1
OG0000027	XP_015670228.1, XP_015681657.1	ENSXETG00000012120.1
OG0000027	XP_015672184.1	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1
OG0000027	XP_015684007.1, XP_015674309.1	ENSXETG00000017890.1, ENSXETG00000020471.1
OG0000027	XP_015679069.1, XP_015679074.1	ENSXETG00000012204.1, ENSXETG00000008972.1
OG0000027	XP_015671065.1	ENSXETG00000004361.1
OG0000027	XP_015672183.1, XP_015672182.1	ENSXETG00000003471.1
OG0000027	XP_015670229.1	ENSXETG00000001989.1
OG0000029	XP_015677404.1	ENSXETG00000002038.1
OG0000029	XP_015683489.1, XP_015683491.1, XP_015668619.1, XP_029139397.1	ENSXETG00000001917.1
OG0000029	XP_015672252.1	ENSXETG00000003326.1
OG0000029	XP_015677400.1	ENSXETG00000002021.1, ENSXETG00000002714.1
OG0000031	XP_015669362.1	ENSXETG00000005307.1, ENSXETG00000005319.1, ENSXETG00000005342.1, ENSXETG00000005293.1, ENSXETG00000005399.1, ENSXETG00000005407.1, ENSXETG00000005410.1
OG0000031	XP_015669363.2	ENSXETG00000005596.1, ENSXETG00000005613.1, ENSXETG00000005645.1, ENSXETG00000005696.1, ENSXETG00000005540.1, ENSXETG00000005425.1, ENSXETG00000005678.1, ENSXETG00000005286.1, ENSXETG00000004600.1
OG0000032	XP_015676330.1, XP_015676339.1	ENSXETG00000001411.1
OG0000033	XP_015682503.1, XP_029142234.1, XP_015686066.1, XP_015682498.1, XP_015682497.1, XP_015682719.2, XP_015683403.1, XP_015682714.1	ENSXETG00000015963.1
OG0000034	XP_015681155.1	ENSXETG00000003987.1
OG0000034	XP_015687129.1	ENSXETG00000001110.1
OG0000034	XP_015669891.1, XP_015669671.1	ENSXETG00000014970.1
OG0000034	XP_015678223.1	ENSXETG00000012328.1
OG0000034	XP_015672240.1	ENSXETG00000013453.1
OG0000034	XP_029139076.1, XP_029139073.1, XP_029139075.1, XP_029139074.1	ENSXETG00000006687.1
OG0000038	XP_029141631.1	ENSXETG00000015238.1, ENSXETG00000004790.1, ENSXETG00000021285.1, ENSXETG00000015770.1, ENSXETG00000003622.1, ENSXETG00000003584.1, ENSXETG00000000488.1, ENSXETG00000018135.1, ENSXETG00000015582.1, ENSXETG00000004841.1, ENSXETG00000011311.1, ENSXETG00000005971.1, ENSXETG00000005072.1, ENSXETG00000015762.1, ENSXETG00000014473.1, ENSXETG00000006192.1, ENSXETG00000011897.1, ENSXETG00000014449.1, ENSXETG00000000281.1, ENSXETG00000011949.1, ENSXETG00000019259.1, ENSXETG00000003750.1, ENSXETG00000003733.1, ENSXETG00000015448.1, ENSXETG00000014525.1, ENSXETG00000009382.1, ENSXETG00000014678.1, ENSXETG00000018929.1, ENSXETG00000011969.1, ENSXETG00000011976.1, ENSXETG00000015976.1, ENSXETG00000009163.1, ENSXETG00000015386.1, ENSXETG00000015548.1, ENSXETG00000014506.1, ENSXETG00000009211.1, ENSXETG00000017478.1, ENSXETG00000017488.1, ENSXETG00000014496.1, ENSXETG00000000480.1, ENSXETG00000002825.1, ENSXETG00000015340.1, ENSXETG00000009200.1, ENSXETG00000014916.1, ENSXETG00000015263.1, ENSXETG00000015907.1, ENSXETG00000004810.1, ENSXETG00000020721.1, ENSXETG00000011013.1, ENSXETG00000004821.1, ENSXETG00000015833.1, ENSXETG00000004828.1, ENSXETG00000014751.1, ENSXETG00000020195.1, ENSXETG00000015688.1, ENSXETG00000015425.1, ENSXETG00000014727.1, ENSXETG00000009179.1, ENSXETG00000003998.1, ENSXETG00000003573.1, ENSXETG00000007890.1, ENSXETG00000021188.1, ENSXETG00000009156.1, ENSXETG00000018931.1, ENSXETG00000009189.1, ENSXETG00000021345.1, ENSXETG00000014959.1, ENSXETG00000014838.1, ENSXETG00000018324.1, ENSXETG00000003551.1, ENSXETG00000015890.1, ENSXETG00000014788.1, ENSXETG00000016267.1, ENSXETG00000015534.1, ENSXETG00000002907.1, ENSXETG00000015995.1, ENSXETG00000004369.1, ENSXETG00000015804.1, ENSXETG00000015965.1
OG0000042	XP_029142585.1, XP_015684114.1, XP_029142579.1	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1
OG0000045	XP_029142106.1	ENSXETG00000005669.1, ENSXETG00000005928.1
OG0000050	XP_029142422.1, XP_029140729.1, XP_015678109.1, XP_015678110.1, XP_015685176.2, XP_015678113.2, XP_015678116.1, XP_015678118.1, XP_015678117.1, XP_029141730.1, XP_015678111.1, XP_015680472.2, XP_029141732.1, XP_015678112.1, XP_015680471.2, XP_015680476.2, XP_015680474.2, XP_015685624.2, XP_015680470.1, XP_015680468.1, XP_029141731.1, XP_015680473.1, XP_029142247.1	ENSXETG00000021048.1
OG0000051	XP_029141524.1, XP_015679123.1, XP_029141610.1	ENSXETG00000019147.1, ENSXETG00000018833.1
OG0000051	XP_029143052.1	ENSXETG00000002390.1
OG0000051	XP_015688000.1, XP_015688027.1	ENSXETG00000001983.1
OG0000051	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1	ENSXETG00000019242.1
OG0000055	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1, XP_029139999.1, XP_029140004.1, XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1, XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2	ENSXETG00000007575.1, ENSXETG00000009322.1, ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1
OG0000055	XP_029138831.1, XP_015665604.1, XP_015665603.1, XP_015665594.1, XP_015665596.1, XP_015665589.2, XP_015671600.1, XP_029140002.1, XP_015671603.1	ENSXETG00000020116.1
OG0000056	XP_015686863.1, XP_015686845.1, XP_015686795.1, XP_015667034.1, XP_029139102.1	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1
OG0000057	XP_015687186.2, XP_015675899.1, XP_015687190.2, XP_015687185.2, XP_015687192.2, XP_015687182.2, XP_015679163.2, XP_015679108.2, XP_015679109.2, XP_015679164.2, XP_029140766.1, XP_015683374.1, XP_015675889.2, XP_015675900.2, XP_015675893.2, XP_029141441.1, XP_029141451.1, XP_029141440.1, XP_015684092.2, XP_015679106.2, XP_015684036.2, XP_015679161.2, XP_015679159.2, XP_029141452.1, XP_015684294.2, XP_029140767.1	ENSXETG00000016809.1
OG0000059	XP_015670662.1	ENSXETG00000002612.1
OG0000059	XP_015682953.1	ENSXETG00000003222.1
OG0000059	XP_015684708.1	ENSXETG00000018409.1
OG0000059	XP_015666627.1, XP_015666628.1, XP_015671497.1, XP_015687360.1	ENSXETG00000016356.1
OG0000061	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1, XP_015681309.1, XP_029141912.1	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1
OG0000062	XP_029142850.1, XP_029142268.1, XP_029142599.1, XP_015684243.1, XP_015676883.1, XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1, XP_015673408.1, XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1	ENSXETG00000020477.1, ENSXETG00000021248.1
OG0000065	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1
OG0000066	XP_029142067.1, XP_029142710.1, XP_029142942.1, XP_015681981.2, XP_029142950.1, XP_029141664.1, XP_029141663.1, XP_029141665.1, XP_029141630.1, XP_029141316.1	ENSXETG00000003520.1
OG0000067	XP_015686765.2, XP_029140118.1, XP_015672278.1, XP_029142810.1, XP_029142556.1, XP_015685658.1, XP_029143041.1, XP_029140375.1, XP_029142563.1, XP_029142626.1, XP_029142564.1, XP_029142372.1, XP_029142985.1, XP_029142373.1, XP_029142374.1, XP_029142992.1, XP_029142951.1, XP_029142371.1, XP_029142376.1, XP_029142375.1, XP_029140376.1, XP_029142588.1, XP_029140377.1, XP_029142812.1, XP_029142861.1, XP_029142565.1, XP_029142555.1, XP_015686428.1, XP_029142886.1, XP_015683356.1, XP_015685286.1, XP_015686074.1, XP_015684091.2, XP_029142379.1, XP_029142450.1, XP_029142811.1	ENSXETG00000015118.1, ENSXETG00000006186.1, ENSXETG00000009067.1, ENSXETG00000015105.1, ENSXETG00000000987.1
OG0000069	XP_015679681.1	ENSXETG00000010603.1
OG0000072	XP_015684770.2, XP_029141432.1	ENSXETG00000016641.1
OG0000072	XP_015671903.1	ENSXETG00000016735.1
OG0000072	XP_015680830.1	ENSXETG00000017539.1, ENSXETG00000001264.1, ENSXETG00000001222.1
OG0000073	XP_015674252.1	ENSXETG00000013236.1, ENSXETG00000014295.1
OG0000073	XP_015676898.1	ENSXETG00000018563.1
OG0000073	XP_015678018.1	ENSXETG00000008614.1
OG0000073	XP_015668814.1	ENSXETG00000000353.1
OG0000074	XP_015672094.1	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1
OG0000074	XP_015670840.1, XP_015670842.1	ENSXETG00000005506.1
OG0000080	XP_029141141.1	ENSXETG00000007284.1
OG0000081	XP_015675839.1	ENSXETG00000004100.1
OG0000081	XP_015683637.1	ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1
OG0000083	XP_015682220.1, XP_015682221.1	ENSXETG00000012891.1
OG0000083	XP_015670326.1	ENSXETG00000006371.1, ENSXETG00000006376.1
OG0000085	XP_029139245.1	ENSXETG00000001562.1
OG0000085	XP_029138764.1	ENSXETG00000009001.1
OG0000085	XP_029139244.1	ENSXETG00000001486.1
OG0000085	XP_029138762.1	ENSXETG00000008608.1
OG0000086	XP_015685683.1	ENSXETG00000020194.1, ENSXETG00000001876.1
OG0000086	XP_015685765.1, XP_015672964.1	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1
OG0000087	XP_015677192.1, XP_015677190.1, XP_015677194.1	ENSXETG00000005882.1
OG0000087	XP_015667487.1, XP_015667489.1	ENSXETG00000019782.1
OG0000087	XP_015687322.1, XP_015687313.1	ENSXETG00000011830.1
OG0000087	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1	ENSXETG00000015761.1
OG0000090	XP_029139218.1	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1
OG0000091	XP_015686258.1, XP_015680841.1, XP_015680846.1	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1
OG0000092	XP_015665454.1	ENSXETG00000009074.1
OG0000092	XP_015666499.1, XP_015666500.1, XP_015666495.1	ENSXETG00000018099.1
OG0000093	XP_029138978.1, XP_029138977.1	ENSXETG00000021066.1
OG0000093	XP_015687648.1, XP_015687649.1	ENSXETG00000012846.1
OG0000093	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1	ENSXETG00000005871.1
OG0000093	XP_029143067.1	ENSXETG00000006206.1
OG0000094	XP_015686431.1, XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2, XP_029139882.1, XP_029139885.1	ENSXETG00000000896.1
OG0000095	XP_015667286.1, XP_029139131.1	ENSXETG00000005045.1, ENSXETG00000015661.1
OG0000099	XP_015673346.1	ENSXETG00000001208.1
OG0000099	XP_029140096.1	ENSXETG00000013697.1
OG0000099	XP_015675447.2	ENSXETG00000004436.1
OG0000099	XP_029139330.1, XP_015679762.1	ENSXETG00000003855.1
OG0000100	XP_015683146.2, XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1, XP_015682631.1, XP_015683143.1	ENSXETG00000019033.1, ENSXETG00000018055.1
OG0000101	XP_015678399.1, XP_015678398.1	ENSXETG00000020222.1
OG0000101	XP_015686607.1, XP_015686600.1	ENSXETG00000002189.1
OG0000101	XP_015687734.1	ENSXETG00000008691.1
OG0000101	XP_015669788.1	ENSXETG00000007676.1
OG0000102	XP_015675100.1, XP_015682701.1	ENSXETG00000004528.1
OG0000106	XP_015673749.1	ENSXETG00000004466.1
OG0000106	XP_015670458.1, XP_015670457.1	ENSXETG00000017121.1
OG0000108	XP_015674991.1, XP_015685952.1, XP_015674990.1, XP_015674989.1, XP_015674988.1	ENSXETG00000004931.1, ENSXETG00000005033.1
OG0000108	XP_015675017.1, XP_015675003.1	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1
OG0000109	XP_029141959.1, XP_015678078.1, XP_015670871.1	ENSXETG00000007832.1
OG0000110	XP_015674238.1	ENSXETG00000002348.1
OG0000110	XP_029140479.1	ENSXETG00000000543.1
OG0000110	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1	ENSXETG00000013548.1
OG0000111	XP_015671863.1	ENSXETG00000007548.1
OG0000111	XP_015671967.2	ENSXETG00000000914.1
OG0000111	XP_015682442.1	ENSXETG00000006548.1
OG0000111	XP_015685194.1, XP_015685989.1	ENSXETG00000017510.1
OG0000112	XP_029139834.1	ENSXETG00000008621.1
OG0000113	XP_015676715.1, XP_015672662.1, XP_015672664.1, XP_015672663.1, XP_015672656.1, XP_015672657.1, XP_029140220.1, XP_015672653.1	ENSXETG00000021352.1
OG0000115	XP_015681977.1, XP_015681973.1, XP_029142064.1	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1
OG0000115	XP_015676950.1	ENSXETG00000002691.1
OG0000116	XP_015687773.1, XP_015687806.2, XP_029143187.1	ENSXETG00000003024.1
OG0000118	XP_029141999.1	ENSXETG00000000892.1
OG0000118	XP_015681724.1, XP_015682381.1	ENSXETG00000000902.1
OG0000119	XP_015675783.1	ENSXETG00000008731.1
OG0000119	XP_015678738.1	ENSXETG00000012191.1
OG0000119	XP_015676013.1, XP_015680784.2, XP_015667791.1, XP_015667790.1	ENSXETG00000001974.1
OG0000120	XP_015681942.1, XP_015686317.1, XP_015681935.1, XP_015669915.1	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1
OG0000122	XP_015671586.1, XP_015671585.1, XP_015671621.1, XP_015671588.1, XP_015671620.1, XP_015671587.1, XP_015671584.1, XP_015671590.1, XP_015671589.1, XP_015671591.1, XP_015671596.1, XP_015671595.1, XP_015671593.1, XP_015671597.1, XP_015671592.1, XP_015671598.1, XP_029140000.1	ENSXETG00000010024.1
OG0000126	XP_015667989.1, XP_015667988.1	ENSXETG00000018540.1
OG0000126	XP_015672138.1	ENSXETG00000021190.1
OG0000129	XP_015677033.1	ENSXETG00000010610.1
OG0000129	XP_015669757.1	ENSXETG00000020896.1
OG0000129	XP_029139363.1	ENSXETG00000018955.1
OG0000129	XP_029140019.1	ENSXETG00000020932.1
OG0000130	XP_015680905.1, XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1, XP_029141364.1	ENSXETG00000005046.1
OG0000131	XP_015680915.1	ENSXETG00000021214.1
OG0000131	XP_015675705.1, XP_015675706.1, XP_015675707.1, XP_015675708.1, XP_015675710.1, XP_015675704.1, XP_015675700.1, XP_015675699.1, XP_015675701.1, XP_015675702.1, XP_015675703.1, XP_015675697.1, XP_015675698.1, XP_015675711.1	ENSXETG00000005085.1
OG0000134	XP_029142359.1, XP_029142815.1, XP_015686361.2, XP_029140487.1, XP_029142865.1, XP_029140468.1, XP_029142960.1	ENSXETG00000017896.1
OG0000134	XP_015684498.1	ENSXETG00000015402.1, ENSXETG00000009059.1
OG0000134	XP_015681269.1, XP_029142660.1	ENSXETG00000015408.1
OG0000136	XP_015680878.1, XP_015680870.1	ENSXETG00000021421.1
OG0000136	XP_015673847.1	ENSXETG00000010463.1
OG0000136	XP_029140470.1	ENSXETG00000013406.1
OG0000136	XP_029141621.1	ENSXETG00000009967.1
OG0000137	XP_015667066.1	ENSXETG00000008151.1
OG0000137	XP_015683353.1, XP_015683349.1, XP_015683341.1	ENSXETG00000011285.1
OG0000137	XP_015676018.1	ENSXETG00000011177.1
OG0000138	XP_015688007.1, XP_015688008.1, XP_015688006.1	ENSXETG00000013594.1
OG0000138	XP_015681515.1, XP_015672190.1, XP_015672185.1	ENSXETG00000003380.1
OG0000140	XP_029142978.1	ENSXETG00000014286.1
OG0000140	XP_015666656.2, XP_029141283.1, XP_029141795.1, XP_015676360.1, XP_015667269.1, XP_029139130.1, XP_029141632.1, XP_029141539.1, XP_029142078.1, XP_029139135.1, XP_029139137.1, XP_029141278.1, XP_015670762.1, XP_029142378.1, XP_029139104.1, XP_029141825.1, XP_029142613.1, XP_029142548.1, XP_029141705.1, XP_015682802.2, XP_029140175.1, XP_015672044.1, XP_029143121.1, XP_029142501.1, XP_015683903.1, XP_015680545.1, XP_015684216.1, XP_029140584.1, XP_015669429.1, XP_015682423.1, XP_029142361.1, XP_029141787.1, XP_029140205.1	ENSXETG00000006962.1
OG0000143	XP_015676537.1	ENSXETG00000000948.1, ENSXETG00000005553.1
OG0000143	XP_015671953.1, XP_015671938.1	ENSXETG00000020664.1
OG0000143	XP_015671939.1	ENSXETG00000019731.1
OG0000146	XP_015674430.2	ENSXETG00000016291.1, ENSXETG00000016341.1, ENSXETG00000010028.1
OG0000146	XP_015674428.1, XP_029141375.1, XP_015665730.2	ENSXETG00000010005.1, ENSXETG00000009719.1, ENSXETG00000009980.1, ENSXETG00000009594.1, ENSXETG00000009946.1, ENSXETG00000009921.1, ENSXETG00000009738.1, ENSXETG00000009419.1, ENSXETG00000009233.1, ENSXETG00000009516.1, ENSXETG00000009119.1
OG0000147	XP_015667871.1, XP_015667872.1, XP_029139251.1	ENSXETG00000018873.1
OG0000147	XP_015682850.1	ENSXETG00000004690.1
