Orthogroup	P_Mucros.pep	P_troglodytes.pep
OG0000032	XP_015676330.1, XP_015676339.1	ENSPTRG00000029745.2, ENSPTRG00000005050.4, ENSPTRG00000005052.4, ENSPTRG00000029744.2, ENSPTRG00000048341.1, ENSPTRG00000047388.1, ENSPTRG00000050576.1, ENSPTRG00000045202.1
OG0000033	XP_015682498.1, XP_015682497.1	ENSPTRG00000028733.5, ENSPTRG00000003234.2, ENSPTRG00000003268.5, ENSPTRG00000003267.4, ENSPTRG00000028728.3
OG0000033	XP_015682719.2, XP_015683403.1, XP_015682714.1	ENSPTRG00000003252.3, ENSPTRG00000003255.7
OG0000034	XP_015681155.1	ENSPTRG00000017675.6
OG0000034	XP_015687129.1	ENSPTRG00000023373.3
OG0000034	XP_015678223.1	ENSPTRG00000010369.4
OG0000034	XP_015672240.1	ENSPTRG00000009878.6
OG0000034	XP_029139076.1	ENSPTRG00000008496.7
OG0000034	XP_015679451.1	ENSPTRG00000013680.2
OG0000045	XP_029142106.1	ENSPTRG00000011172.2
OG0000047	XP_015677274.1, XP_015676675.1, XP_015676674.1, XP_015676672.1, XP_015676673.1, XP_015676670.1, XP_015676671.1, XP_015676669.1, XP_015677273.1, XP_015677272.1	ENSPTRG00000003719.4, ENSPTRG00000003718.3, ENSPTRG00000003716.5
OG0000050	XP_029142247.1	ENSPTRG00000018763.6
OG0000051	XP_029141524.1	ENSPTRG00000012591.6
OG0000051	XP_015679123.1	ENSPTRG00000012595.6
OG0000051	XP_029141610.1	ENSPTRG00000012590.7
OG0000051	XP_015679120.1	ENSPTRG00000012597.7
OG0000051	XP_029143052.1	ENSPTRG00000009532.6
OG0000051	XP_015688000.1, XP_015688027.1	ENSPTRG00000014762.7
OG0000051	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1	ENSPTRG00000004959.7
OG0000053	XP_029139701.1, XP_029142975.1, XP_029142836.1, XP_029140641.1, XP_029142755.1, XP_029142424.1, XP_029142382.1, XP_029140902.1, XP_029141896.1, XP_015665798.1, XP_015681317.1, XP_015671808.2, XP_015685493.1, XP_015683778.2, XP_015678893.1, XP_015684847.1, XP_029142333.1	ENSPTRG00000047486.1
OG0000055	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1, XP_029139999.1, XP_029140004.1, XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1, XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2	ENSPTRG00000034080.3
OG0000057	XP_015675899.1	ENSPTRG00000048232.1
OG0000059	XP_015670662.1	ENSPTRG00000048969.1
OG0000059	XP_015682953.1	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6
OG0000059	XP_015684708.1	ENSPTRG00000006890.4
OG0000059	XP_015679888.1	ENSPTRG00000002086.7
OG0000059	XP_015671497.1	ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1, XP_015681309.1, XP_029141912.1	ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1
OG0000062	XP_029142850.1, XP_029142268.1, XP_029142599.1, XP_015684243.1, XP_015676883.1, XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1, XP_015673408.1, XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1	ENSPTRG00000001180.6
OG0000065	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2	ENSPTRG00000006682.3
OG0000069	XP_015679681.1	ENSPTRG00000005060.3
OG0000069	XP_015678382.1, XP_015678381.1, XP_015678383.1, XP_015678379.1, XP_015686129.1, XP_015678380.1, XP_029141284.1, XP_015672627.1	ENSPTRG00000005113.5
OG0000071	XP_015685533.1, XP_015682491.1, XP_015684998.1	ENSPTRG00000011030.6, ENSPTRG00000050646.1, ENSPTRG00000045990.1, ENSPTRG00000051404.1, ENSPTRG00000045877.1, ENSPTRG00000045330.1, ENSPTRG00000049486.1, ENSPTRG00000011067.7, ENSPTRG00000051729.1, ENSPTRG00000048170.1, ENSPTRG00000049328.1, ENSPTRG00000048924.1, ENSPTRG00000050518.1, ENSPTRG00000052731.1, ENSPTRG00000048736.1, ENSPTRG00000047617.1, ENSPTRG00000049320.1, ENSPTRG00000041975.2, ENSPTRG00000011072.6, ENSPTRG00000011063.4, ENSPTRG00000011032.6, ENSPTRG00000011031.6, ENSPTRG00000011061.7, ENSPTRG00000011033.7, ENSPTRG00000011029.4
OG0000072	XP_015684770.2, XP_029141432.1, XP_029141435.1, XP_029141436.1	ENSPTRG00000023694.5, ENSPTRG00000003796.6
OG0000072	XP_015671903.1	ENSPTRG00000018194.7
OG0000072	XP_015680830.1	ENSPTRG00000052347.1, ENSPTRG00000023703.5, ENSPTRG00000003841.6, ENSPTRG00000003799.5, ENSPTRG00000003797.6, ENSPTRG00000024251.5, ENSPTRG00000003800.7
OG0000073	XP_015674252.1	ENSPTRG00000029753.4, ENSPTRG00000029754.4, ENSPTRG00000040614.2, ENSPTRG00000049334.1
OG0000073	XP_015676898.1	ENSPTRG00000043209.1, ENSPTRG00000050744.1, ENSPTRG00000052825.1, ENSPTRG00000051554.1, ENSPTRG00000004404.6
OG0000073	XP_015668814.1	ENSPTRG00000006439.5
OG0000074	XP_015670840.1, XP_015670842.1	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1
OG0000077	XP_029141841.1, XP_015679149.1, XP_029140712.1, XP_015679160.1, XP_015681733.2, XP_015672809.1	ENSPTRG00000011432.6, ENSPTRG00000002198.7
OG0000077	XP_015671970.1, XP_015671971.1	ENSPTRG00000003118.7
OG0000081	XP_015675839.1	ENSPTRG00000000197.7
OG0000081	XP_015686395.1, XP_015686839.1, XP_015686746.1, XP_015686887.1, XP_015685638.1, XP_015683637.1	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1
OG0000083	XP_015682220.1, XP_015682221.1	ENSPTRG00000046869.1
OG0000083	XP_015670326.1	ENSPTRG00000009039.6, ENSPTRG00000047483.1, ENSPTRG00000045727.1, ENSPTRG00000009037.6, ENSPTRG00000043187.1, ENSPTRG00000030907.4, ENSPTRG00000033677.3
OG0000085	XP_029139245.1	ENSPTRG00000006031.6
OG0000085	XP_029138764.1	ENSPTRG00000022173.6
OG0000085	XP_029139244.1	ENSPTRG00000006032.7
OG0000085	XP_029138762.1	ENSPTRG00000022171.7
OG0000085	XP_029139815.1	ENSPTRG00000012991.7
OG0000085	XP_029140039.1	ENSPTRG00000012992.7
OG0000086	XP_015685683.1	ENSPTRG00000013737.4
OG0000086	XP_015672964.1	ENSPTRG00000016737.5, ENSPTRG00000048890.1, ENSPTRG00000051935.1, ENSPTRG00000051235.1, ENSPTRG00000047542.1, ENSPTRG00000018347.7
OG0000087	XP_015677192.1, XP_015677190.1, XP_015677194.1	ENSPTRG00000008746.7
OG0000087	XP_015667487.1, XP_015667489.1	ENSPTRG00000007810.7
OG0000087	XP_015687322.1, XP_015687313.1	ENSPTRG00000014309.6
OG0000087	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1	ENSPTRG00000011333.6
OG0000090	XP_029139218.1	ENSPTRG00000022723.5
OG0000091	XP_015686258.1, XP_015680841.1, XP_015680846.1	ENSPTRG00000000940.5, ENSPTRG00000000938.6, ENSPTRG00000034354.2, ENSPTRG00000000937.5, ENSPTRG00000000934.6, ENSPTRG00000048580.1, ENSPTRG00000000935.6, ENSPTRG00000000939.6
OG0000092	XP_015671316.1, XP_015671321.1, XP_015671317.1, XP_015671315.1, XP_015665456.1	ENSPTRG00000052468.1, ENSPTRG00000010637.6
OG0000092	XP_015668851.1, XP_029139443.1, XP_015668848.1, XP_015668852.1	ENSPTRG00000001375.7
OG0000092	XP_015666499.1, XP_015666500.1, XP_015666495.1	ENSPTRG00000007141.6
OG0000092	XP_015666492.1, XP_015666494.1, XP_015666496.1	ENSPTRG00000024321.6
OG0000093	XP_029138978.1, XP_029138977.1	ENSPTRG00000005286.7
OG0000093	XP_015687648.1, XP_015687649.1	ENSPTRG00000001873.7
OG0000093	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1	ENSPTRG00000022399.4
OG0000093	XP_029143067.1	ENSPTRG00000014620.7
OG0000094	XP_015686431.1, XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2, XP_029139882.1, XP_029139885.1	ENSPTRG00000030707.2, ENSPTRG00000048603.1, ENSPTRG00000006493.6
OG0000095	XP_015667286.1	ENSPTRG00000009610.3, ENSPTRG00000030785.2, ENSPTRG00000009615.6
OG0000095	XP_029139131.1	ENSPTRG00000009613.5, ENSPTRG00000050623.1, ENSPTRG00000022952.5, ENSPTRG00000009611.3
OG0000099	XP_015673346.1	ENSPTRG00000012967.5
OG0000099	XP_029140096.1	ENSPTRG00000018428.5
OG0000099	XP_015675447.2	ENSPTRG00000015127.3
OG0000099	XP_029139330.1	ENSPTRG00000000316.6
OG0000099	XP_015679762.1	ENSPTRG00000015134.6
OG0000100	XP_015683146.2, XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1, XP_015682631.1, XP_015683143.1	ENSPTRG00000020084.5, ENSPTRG00000020085.4
OG0000101	XP_015678399.1, XP_015678398.1	ENSPTRG00000049344.1, ENSPTRG00000005080.7
OG0000101	XP_015678396.1	ENSPTRG00000023043.4
OG0000101	XP_015686607.1, XP_015686600.1	ENSPTRG00000012879.6
OG0000101	XP_015687734.1	ENSPTRG00000024314.6
OG0000101	XP_015669788.1	ENSPTRG00000014860.6
OG0000102	XP_015675100.1	ENSPTRG00000003422.7, ENSPTRG00000003423.6, ENSPTRG00000049319.1, ENSPTRG00000007125.6, ENSPTRG00000047792.1, ENSPTRG00000050528.1, ENSPTRG00000050437.1, ENSPTRG00000043159.1, ENSPTRG00000003421.5
OG0000102	XP_015682701.1	ENSPTRG00000004762.5, ENSPTRG00000042933.1, ENSPTRG00000052843.1
OG0000103	XP_015669529.1, XP_015669539.1, XP_015669528.2	ENSPTRG00000033853.3, ENSPTRG00000045861.1, ENSPTRG00000041832.2, ENSPTRG00000044873.1, ENSPTRG00000049604.1
OG0000106	XP_015673749.1	ENSPTRG00000044399.1, ENSPTRG00000032634.2, ENSPTRG00000031176.4, ENSPTRG00000049417.1
OG0000106	XP_015670458.1, XP_015670457.1	ENSPTRG00000052830.1, ENSPTRG00000012676.4, ENSPTRG00000018253.5
OG0000108	XP_015675017.1, XP_015675003.1	ENSPTRG00000019458.7, ENSPTRG00000033773.3, ENSPTRG00000019459.7, ENSPTRG00000019461.7, ENSPTRG00000048873.1
OG0000109	XP_029141959.1, XP_015678078.1, XP_015670871.1	ENSPTRG00000038833.2
OG0000110	XP_015674238.1	ENSPTRG00000006589.6
OG0000110	XP_029140479.1	ENSPTRG00000003843.6
OG0000110	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1	ENSPTRG00000047199.1
OG0000111	XP_015671863.1	ENSPTRG00000016192.3
OG0000111	XP_015671967.2	ENSPTRG00000045367.1, ENSPTRG00000019200.6, ENSPTRG00000046053.1, ENSPTRG00000048384.1
OG0000111	XP_015682442.1	ENSPTRG00000044122.1, ENSPTRG00000017222.6
OG0000111	XP_015685194.1, XP_015685989.1	ENSPTRG00000022227.7
OG0000112	XP_029139834.1	ENSPTRG00000022603.4, ENSPTRG00000031179.3, ENSPTRG00000031178.3, ENSPTRG00000043598.1, ENSPTRG00000043146.1, ENSPTRG00000050567.1, ENSPTRG00000039427.2, ENSPTRG00000016116.6
OG0000113	XP_015672662.1, XP_015672664.1, XP_015672663.1, XP_015672656.1, XP_015672657.1	ENSPTRG00000018280.6, ENSPTRG00000032454.4, ENSPTRG00000048903.1, ENSPTRG00000018284.3, ENSPTRG00000032453.3
OG0000113	XP_029140220.1, XP_015672653.1	ENSPTRG00000018285.3
OG0000115	XP_015681977.1, XP_015681973.1, XP_029142064.1	ENSPTRG00000008721.5, ENSPTRG00000008724.5, ENSPTRG00000008723.4
OG0000115	XP_015672908.1, XP_015676950.1	ENSPTRG00000002458.5
OG0000116	XP_015687773.1, XP_015687806.2, XP_029143187.1	ENSPTRG00000042666.1, ENSPTRG00000009171.4, ENSPTRG00000009172.6, ENSPTRG00000008819.6, ENSPTRG00000009173.6
OG0000118	XP_015686784.1, XP_015685484.1, XP_015686918.2, XP_015685483.1, XP_015685041.1, XP_015686387.1, XP_015685832.1, XP_015684166.1, XP_015686413.1, XP_015686756.1, XP_015686637.1, XP_029141999.1, XP_015681724.1, XP_015682381.1, XP_015680316.1	ENSPTRG00000011092.4
OG0000119	XP_015675783.1	ENSPTRG00000000350.6
OG0000119	XP_015678738.1	ENSPTRG00000017982.6
OG0000119	XP_015676013.1, XP_015680784.2	ENSPTRG00000013882.5
OG0000119	XP_015667791.1, XP_015667790.1	ENSPTRG00000018230.7
OG0000121	XP_015684165.2, XP_029142635.1, XP_029142591.1	ENSPTRG00000043323.1, ENSPTRG00000048702.1
OG0000122	XP_015671586.1, XP_015671585.1, XP_015671621.1, XP_015671588.1, XP_015671620.1, XP_015671587.1, XP_015671584.1, XP_015671590.1, XP_015671589.1, XP_015671591.1, XP_015671596.1, XP_015671595.1, XP_015671593.1, XP_015671597.1, XP_015671592.1, XP_015671598.1, XP_029140000.1	ENSPTRG00000017893.4, ENSPTRG00000044200.1, ENSPTRG00000047098.1
OG0000126	XP_015667989.1, XP_015667988.1	ENSPTRG00000021048.7
OG0000126	XP_015672138.1	ENSPTRG00000021047.6
OG0000126	XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1	ENSPTRG00000007231.7
OG0000127	XP_015684744.1	ENSPTRG00000019841.5
OG0000127	XP_015677677.1	ENSPTRG00000050853.1, ENSPTRG00000023917.4, ENSPTRG00000049199.1, ENSPTRG00000028361.4, ENSPTRG00000019845.6
OG0000128	XP_029142455.1, XP_015681176.1, XP_015681179.1	ENSPTRG00000044163.1, ENSPTRG00000006105.5
OG0000128	XP_015681182.1, XP_015687069.2	ENSPTRG00000043768.1
OG0000129	XP_015677033.1	ENSPTRG00000013505.6
OG0000129	XP_015669757.1	ENSPTRG00000009851.6
OG0000129	XP_029139363.1	ENSPTRG00000000447.7
OG0000129	XP_029140019.1	ENSPTRG00000018587.7
OG0000130	XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1	ENSPTRG00000001293.7
OG0000130	XP_029141364.1	ENSPTRG00000034360.3
OG0000131	XP_015680915.1	ENSPTRG00000014010.6
OG0000131	XP_015675704.1	ENSPTRG00000005018.6, ENSPTRG00000012025.5
OG0000135	XP_029143026.1, XP_029142788.1, XP_029142878.1, XP_029142287.1, XP_029142789.1	ENSPTRG00000013166.7, ENSPTRG00000047284.1, ENSPTRG00000044253.1, ENSPTRG00000013171.6
OG0000136	XP_015680878.1, XP_015680870.1	ENSPTRG00000052293.1
OG0000136	XP_015673847.1	ENSPTRG00000018793.6
OG0000136	XP_029140470.1	ENSPTRG00000000387.6
OG0000136	XP_029141621.1	ENSPTRG00000022064.4
OG0000137	XP_015667066.1	ENSPTRG00000019421.3
OG0000137	XP_015665901.1	ENSPTRG00000009388.4
OG0000137	XP_015683353.1, XP_015683349.1, XP_015683341.1	ENSPTRG00000021750.6
OG0000137	XP_015676018.1	ENSPTRG00000012642.6
OG0000138	XP_015688007.1, XP_015688008.1, XP_015688006.1	ENSPTRG00000052479.1, ENSPTRG00000046598.1
OG0000138	XP_015681515.1	ENSPTRG00000030133.2
OG0000138	XP_015672185.1	ENSPTRG00000012951.6
OG0000143	XP_015676537.1	ENSPTRG00000020152.4
OG0000143	XP_015671953.1, XP_015671938.1	ENSPTRG00000002655.6
OG0000143	XP_015671939.1	ENSPTRG00000002653.5
OG0000144	XP_029143019.1, XP_029142873.1, XP_029141366.1, XP_015685258.1, XP_029141365.1, XP_015686440.1, XP_029142369.1, XP_029141367.1, XP_015678767.1, XP_015683151.1, XP_015683350.1, XP_015685563.1, XP_015685103.1, XP_015684701.1, XP_015684933.1, XP_029142796.1, XP_015684959.1, XP_029142805.1, XP_015685104.1, XP_029142983.1, XP_015684680.2	ENSPTRG00000052806.1, ENSPTRG00000028357.4
OG0000146	XP_015674430.2	ENSPTRG00000014859.5, ENSPTRG00000049614.1, ENSPTRG00000007661.4
OG0000146	XP_015674428.1	ENSPTRG00000012456.6
OG0000147	XP_015667871.1, XP_015667872.1, XP_029139251.1	ENSPTRG00000003073.5
OG0000147	XP_015682850.1	ENSPTRG00000015878.6
OG0000147	XP_015676540.1	ENSPTRG00000017380.6
OG0000147	XP_029141582.1, XP_015679774.1	ENSPTRG00000020099.4
OG0000149	XP_015680285.1	ENSPTRG00000010935.5
OG0000149	XP_015674515.1	ENSPTRG00000002144.4
OG0000149	XP_015687228.1	ENSPTRG00000052354.1
OG0000149	XP_015669574.1, XP_015669575.1, XP_015669576.1	ENSPTRG00000006477.6
OG0000150	XP_015681761.1	ENSPTRG00000007843.6
OG0000150	XP_015681941.1	ENSPTRG00000034486.3
OG0000150	XP_029142048.1, XP_015681947.1	ENSPTRG00000007846.6, ENSPTRG00000007845.6, ENSPTRG00000050863.1
OG0000151	XP_029139285.1	ENSPTRG00000000705.5, ENSPTRG00000000708.7
OG0000153	XP_015669483.1	ENSPTRG00000004577.6, ENSPTRG00000050523.1, ENSPTRG00000046665.1, ENSPTRG00000039246.2
OG0000153	XP_015677236.2	ENSPTRG00000010848.5
OG0000154	XP_015666971.1	ENSPTRG00000019929.4
OG0000154	XP_015681070.1	ENSPTRG00000012403.3
OG0000154	XP_015667884.1	ENSPTRG00000043801.1
OG0000154	XP_029139258.1	ENSPTRG00000019048.5, ENSPTRG00000048512.1
OG0000155	XP_029141321.1	ENSPTRG00000004754.5, ENSPTRG00000004750.6, ENSPTRG00000044231.1
