Orthogroup	P_Mucros.pep	C_familiaris.pep
OG0000025	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1	ENSCAFG00000000806.4, ENSCAFG00000000814.4, ENSCAFG00000000900.4
OG0000026	XP_029142608.1, XP_029142559.1, XP_015684188.2, XP_029142606.1	ENSCAFG00000024617.2, ENSCAFG00000043743.1, ENSCAFG00000041019.1, ENSCAFG00000024614.3, ENSCAFG00000006106.4, ENSCAFG00000030815.2
OG0000027	XP_015670228.1, XP_015681657.1	ENSCAFG00000008661.4, ENSCAFG00000031767.2, ENSCAFG00000015086.4
OG0000027	XP_015672184.1	ENSCAFG00000008640.4, ENSCAFG00000015217.3
OG0000027	XP_015684007.1, XP_015674309.1	ENSCAFG00000005248.4
OG0000027	XP_015679069.1, XP_015679074.1	ENSCAFG00000010412.4
OG0000027	XP_015672183.1, XP_015672182.1	ENSCAFG00000015209.4
OG0000029	XP_015677404.1	ENSCAFG00000025322.3
OG0000029	XP_015672252.1	ENSCAFG00000005908.4
OG0000031	XP_015669369.1, XP_015669367.1, XP_015669370.1, XP_015669368.1, XP_015669366.1, XP_029139546.1, XP_029139545.1, XP_029139547.1, XP_029139544.1, XP_029139542.1, XP_029139543.1	ENSCAFG00000005065.4
OG0000031	XP_015669360.1, XP_015669364.1, XP_015669371.1	ENSCAFG00000032339.2, ENSCAFG00000031823.2
OG0000032	XP_015676330.1, XP_015676339.1	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1, ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1, ENSCAFG00000006303.3, ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1, ENSCAFG00000009495.3, ENSCAFG00000043356.1, ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4, ENSCAFG00000029875.1, ENSCAFG00000044831.1, ENSCAFG00000032546.1, ENSCAFG00000046509.1, ENSCAFG00000010795.3, ENSCAFG00000006304.4, ENSCAFG00000049942.1, ENSCAFG00000044223.1
OG0000033	XP_015682503.1, XP_029142234.1, XP_015686066.1	ENSCAFG00000032056.2
OG0000033	XP_015682498.1, XP_015682497.1	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1, ENSCAFG00000031681.2, ENSCAFG00000029703.1, ENSCAFG00000029246.1, ENSCAFG00000047997.1, ENSCAFG00000042183.1, ENSCAFG00000006328.3, ENSCAFG00000024431.2, ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2
OG0000033	XP_015682719.2, XP_015683403.1, XP_015682714.1	ENSCAFG00000031226.2, ENSCAFG00000029020.2, ENSCAFG00000006016.4, ENSCAFG00000029611.1, ENSCAFG00000024586.1, ENSCAFG00000047088.1, ENSCAFG00000049488.1, ENSCAFG00000041929.1, ENSCAFG00000044138.1, ENSCAFG00000041265.1, ENSCAFG00000006366.3, ENSCAFG00000006226.4
OG0000034	XP_015681155.1	ENSCAFG00000042737.1
OG0000034	XP_015687129.1	ENSCAFG00000019460.4
OG0000034	XP_015669671.1	ENSCAFG00000042390.1
OG0000034	XP_015678223.1	ENSCAFG00000018634.4
OG0000042	XP_029142585.1, XP_015684114.1, XP_029142579.1	ENSCAFG00000049483.1, ENSCAFG00000046241.1
OG0000045	XP_029142106.1	ENSCAFG00000024541.1
OG0000050	XP_029142247.1	ENSCAFG00000000742.3
OG0000051	XP_029141524.1	ENSCAFG00000011130.5
OG0000051	XP_015679123.1	ENSCAFG00000005058.5
OG0000051	XP_029141610.1	ENSCAFG00000010864.5
OG0000051	XP_015679120.1	ENSCAFG00000011438.5
OG0000051	XP_029143052.1	ENSCAFG00000012146.5
OG0000051	XP_015688000.1, XP_015688027.1	ENSCAFG00000005051.5
OG0000051	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1	ENSCAFG00000007600.4
OG0000053	XP_029139701.1, XP_029142975.1, XP_029142836.1, XP_029140641.1, XP_029142755.1, XP_029142424.1, XP_029142382.1, XP_029140902.1, XP_029141896.1, XP_015665798.1, XP_015681317.1, XP_015671808.2, XP_015685493.1, XP_015683778.2, XP_015678893.1, XP_015684847.1, XP_029142333.1	ENSCAFG00000048119.1
OG0000055	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1, XP_029139999.1, XP_029140004.1, XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1, XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2	ENSCAFG00000019773.4
OG0000056	XP_015686863.1, XP_015686845.1, XP_015686795.1, XP_015667034.1, XP_029139102.1	ENSCAFG00000023033.4, ENSCAFG00000045181.1
OG0000059	XP_015670662.1	ENSCAFG00000005734.5
OG0000059	XP_015684708.1, XP_015679888.1, XP_015666627.1, XP_015666628.1, XP_015671497.1, XP_015687360.1	ENSCAFG00000010442.5
OG0000061	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1, XP_015681309.1, XP_029141912.1	ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2
OG0000062	XP_029142850.1, XP_029142268.1, XP_029142599.1, XP_015684243.1, XP_015676883.1, XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1, XP_015673408.1, XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2
OG0000065	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2	ENSCAFG00000017661.3
OG0000069	XP_015679681.1	ENSCAFG00000000063.4
OG0000069	XP_015678382.1, XP_015678381.1, XP_015678383.1, XP_015678379.1, XP_015686129.1, XP_015678380.1, XP_029141284.1, XP_015672627.1	ENSCAFG00000000148.4, ENSCAFG00000000143.4
OG0000071	XP_015685533.1, XP_015682491.1, XP_015684998.1	ENSCAFG00000014247.5, ENSCAFG00000023933.3, ENSCAFG00000043802.1
OG0000072	XP_015684770.2, XP_029141432.1, XP_029141435.1, XP_029141436.1	ENSCAFG00000015418.4, ENSCAFG00000024439.3
OG0000072	XP_015680830.1	ENSCAFG00000029947.2, ENSCAFG00000013724.3, ENSCAFG00000025146.3, ENSCAFG00000014367.4, ENSCAFG00000025291.4, ENSCAFG00000043861.1, ENSCAFG00000015226.5
OG0000073	XP_015674252.1	ENSCAFG00000000641.4, ENSCAFG00000000639.3
OG0000073	XP_015676898.1	ENSCAFG00000001886.2, ENSCAFG00000011666.4
OG0000073	XP_015668814.1	ENSCAFG00000016031.2
OG0000074	XP_015672094.1	ENSCAFG00000002880.4
OG0000074	XP_015670840.1, XP_015670842.1	ENSCAFG00000003818.4
OG0000077	XP_029141841.1, XP_015679149.1, XP_029140712.1, XP_015679160.1, XP_015681733.2, XP_015672809.1	ENSCAFG00000002723.5, ENSCAFG00000032019.2, ENSCAFG00000010686.4
OG0000077	XP_015671970.1, XP_015671971.1	ENSCAFG00000024796.3
OG0000081	XP_015675839.1	ENSCAFG00000016301.5
OG0000081	XP_015686395.1, XP_015686839.1, XP_015686746.1, XP_015686887.1, XP_015685638.1, XP_015683637.1	ENSCAFG00000014733.4
OG0000083	XP_015670326.1	ENSCAFG00000018167.4, ENSCAFG00000018164.4, ENSCAFG00000018169.4
OG0000085	XP_029139245.1	ENSCAFG00000006062.5
OG0000085	XP_029138764.1	ENSCAFG00000018020.5
OG0000085	XP_029138762.1	ENSCAFG00000018016.5
OG0000085	XP_029139815.1	ENSCAFG00000010423.5
OG0000085	XP_029140039.1	ENSCAFG00000010426.5
OG0000086	XP_015685683.1	ENSCAFG00000013249.4
OG0000086	XP_015672964.1	ENSCAFG00000041091.1, ENSCAFG00000003668.3, ENSCAFG00000024474.2, ENSCAFG00000011673.1, ENSCAFG00000024406.2, ENSCAFG00000042176.1, ENSCAFG00000003316.1, ENSCAFG00000012222.4, ENSCAFG00000023039.3, ENSCAFG00000044361.1, ENSCAFG00000041097.1, ENSCAFG00000006899.3, ENSCAFG00000017848.4, ENSCAFG00000018228.5, ENSCAFG00000014607.4, ENSCAFG00000041885.1, ENSCAFG00000008655.4, ENSCAFG00000025295.2, ENSCAFG00000002656.4, ENSCAFG00000007079.4, ENSCAFG00000000565.3, ENSCAFG00000017221.3, ENSCAFG00000024806.5, ENSCAFG00000046499.1, ENSCAFG00000009708.2
OG0000087	XP_015677192.1, XP_015677190.1, XP_015677194.1	ENSCAFG00000017262.4
OG0000087	XP_015667487.1, XP_015667489.1	ENSCAFG00000018560.4
OG0000087	XP_015687322.1, XP_015687313.1	ENSCAFG00000001630.4
OG0000087	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1	ENSCAFG00000003156.5
OG0000090	XP_029139218.1	ENSCAFG00000009316.4
OG0000091	XP_015686258.1, XP_015680841.1, XP_015680846.1	ENSCAFG00000020200.6, ENSCAFG00000020204.5
OG0000092	XP_015671316.1, XP_015671321.1, XP_015671317.1, XP_015671315.1, XP_015665456.1	ENSCAFG00000015796.4
OG0000092	XP_015668851.1, XP_029139443.1, XP_015668848.1, XP_015668852.1	ENSCAFG00000017311.5
OG0000092	XP_015666492.1, XP_015666494.1, XP_015666496.1	ENSCAFG00000002086.5
OG0000093	XP_029138978.1, XP_029138977.1	ENSCAFG00000006121.5
OG0000093	XP_015687648.1, XP_015687649.1	ENSCAFG00000009564.4
OG0000093	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1	ENSCAFG00000019230.4
OG0000093	XP_029143067.1	ENSCAFG00000005076.5
OG0000094	XP_015686431.1, XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2, XP_029139882.1, XP_029139885.1	ENSCAFG00000016666.3, ENSCAFG00000016663.3, ENSCAFG00000007921.4
OG0000095	XP_015667286.1	ENSCAFG00000004561.5, ENSCAFG00000024944.3, ENSCAFG00000043524.1, ENSCAFG00000024942.4, ENSCAFG00000043569.1, ENSCAFG00000004595.5
OG0000095	XP_029139131.1	ENSCAFG00000004565.5, ENSCAFG00000028912.2, ENSCAFG00000044944.1, ENSCAFG00000024792.3
OG0000099	XP_015673346.1	ENSCAFG00000015936.4
OG0000099	XP_029140096.1	ENSCAFG00000003332.4
OG0000099	XP_015675447.2	ENSCAFG00000008741.4
OG0000099	XP_029139330.1	ENSCAFG00000023528.4
OG0000100	XP_015683146.2, XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1, XP_015682631.1, XP_015683143.1	ENSCAFG00000009056.4, ENSCAFG00000024869.4
OG0000101	XP_015678399.1, XP_015678398.1	ENSCAFG00000041354.1, ENSCAFG00000042554.1
OG0000101	XP_015678396.1	ENSCAFG00000000110.4
OG0000101	XP_015686607.1, XP_015686600.1	ENSCAFG00000013875.6
OG0000101	XP_015687734.1	ENSCAFG00000013728.4
OG0000102	XP_015675100.1	ENSCAFG00000009239.4, ENSCAFG00000009211.5, ENSCAFG00000003294.4, ENSCAFG00000043434.1, ENSCAFG00000007763.4, ENSCAFG00000007942.4
OG0000102	XP_015682701.1	ENSCAFG00000007002.1, ENSCAFG00000012195.5, ENSCAFG00000017824.2, ENSCAFG00000001098.2, ENSCAFG00000009620.3, ENSCAFG00000016636.4, ENSCAFG00000049593.1, ENSCAFG00000006066.4, ENSCAFG00000017236.2
OG0000103	XP_015669529.1, XP_015669539.1, XP_015669528.2	ENSCAFG00000030583.1, ENSCAFG00000030916.1, ENSCAFG00000046337.1, ENSCAFG00000046148.1, ENSCAFG00000029932.1, ENSCAFG00000030970.1, ENSCAFG00000030879.2, ENSCAFG00000046405.1, ENSCAFG00000032151.1
OG0000106	XP_015673749.1	ENSCAFG00000049411.1, ENSCAFG00000040986.1, ENSCAFG00000005307.3, ENSCAFG00000017180.4, ENSCAFG00000006327.4, ENSCAFG00000002232.4, ENSCAFG00000006580.5
OG0000106	XP_015670458.1, XP_015670457.1	ENSCAFG00000013497.4, ENSCAFG00000019198.3
OG0000108	XP_015675017.1, XP_015675003.1	ENSCAFG00000014877.4, ENSCAFG00000014939.5, ENSCAFG00000014990.4
OG0000109	XP_029141959.1, XP_015678078.1, XP_015670871.1	ENSCAFG00000032642.1
OG0000110	XP_015674238.1	ENSCAFG00000030472.2
OG0000110	XP_029140479.1	ENSCAFG00000014338.6
OG0000110	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1	ENSCAFG00000002712.4
OG0000111	XP_015671863.1	ENSCAFG00000008668.4
OG0000111	XP_015671967.2	ENSCAFG00000006087.5, ENSCAFG00000001952.5
OG0000111	XP_015682442.1	ENSCAFG00000000906.4
OG0000111	XP_015685194.1, XP_015685989.1	ENSCAFG00000018419.5
OG0000112	XP_029139834.1	ENSCAFG00000028888.3, ENSCAFG00000029376.2, ENSCAFG00000031254.2, ENSCAFG00000029232.3, ENSCAFG00000030088.2, ENSCAFG00000002857.5
OG0000113	XP_015672662.1, XP_015672664.1, XP_015672663.1, XP_015672656.1, XP_015672657.1	ENSCAFG00000031682.2
OG0000113	XP_029140220.1, XP_015672653.1	ENSCAFG00000024066.3, ENSCAFG00000009164.4, ENSCAFG00000008721.3
OG0000115	XP_015681977.1, XP_015681973.1, XP_029142064.1	ENSCAFG00000016928.4, ENSCAFG00000016949.4, ENSCAFG00000023464.3
OG0000115	XP_015672908.1, XP_015676950.1	ENSCAFG00000006948.4
OG0000116	XP_015687773.1, XP_015687806.2, XP_029143187.1	ENSCAFG00000015944.4, ENSCAFG00000031250.2
OG0000118	XP_015686784.1, XP_015685484.1, XP_015686918.2, XP_015685483.1, XP_015685041.1, XP_015686387.1, XP_015685832.1, XP_015684166.1, XP_015686413.1, XP_015686756.1, XP_015686637.1, XP_029141999.1, XP_015681724.1, XP_015682381.1, XP_015680316.1	ENSCAFG00000004727.5
OG0000119	XP_015675783.1	ENSCAFG00000012914.5
OG0000119	XP_015678738.1	ENSCAFG00000006342.3, ENSCAFG00000002351.2, ENSCAFG00000003053.3, ENSCAFG00000000621.5
OG0000119	XP_015676013.1, XP_015680784.2	ENSCAFG00000009568.4
OG0000119	XP_015667791.1, XP_015667790.1	ENSCAFG00000002016.5
OG0000121	XP_015684165.2, XP_029142635.1, XP_029142591.1	ENSCAFG00000023682.2
OG0000126	XP_015667989.1, XP_015667988.1	ENSCAFG00000001462.4
OG0000126	XP_015672138.1	ENSCAFG00000001534.6
OG0000126	XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1	ENSCAFG00000017589.6
OG0000127	XP_015684744.1	ENSCAFG00000004442.4
OG0000127	XP_015677677.1	ENSCAFG00000004429.4, ENSCAFG00000004444.4, ENSCAFG00000025209.3
OG0000128	XP_029142455.1, XP_015681176.1, XP_015681179.1	ENSCAFG00000005426.4, ENSCAFG00000005431.4
OG0000129	XP_015677033.1	ENSCAFG00000009280.5
OG0000129	XP_015669757.1	ENSCAFG00000018639.5
OG0000129	XP_029139363.1	ENSCAFG00000011524.5
OG0000129	XP_029140019.1	ENSCAFG00000001101.5
OG0000130	XP_015680905.1	ENSCAFG00000036179.2
OG0000130	XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1	ENSCAFG00000012794.4
OG0000131	XP_015680915.1	ENSCAFG00000011907.5
OG0000131	XP_015675706.1, XP_015675707.1	ENSCAFG00000013587.4
OG0000131	XP_015675704.1	ENSCAFG00000044122.1, ENSCAFG00000003326.3, ENSCAFG00000006821.5
OG0000135	XP_029143026.1, XP_029142788.1, XP_029142878.1, XP_029142287.1, XP_029142789.1	ENSCAFG00000025335.3, ENSCAFG00000046516.1, ENSCAFG00000015593.4, ENSCAFG00000031201.3, ENSCAFG00000030315.2, ENSCAFG00000025454.3, ENSCAFG00000029953.3, ENSCAFG00000025524.3, ENSCAFG00000042019.1
OG0000136	XP_015680878.1, XP_015680870.1	ENSCAFG00000013171.4
OG0000136	XP_015673847.1	ENSCAFG00000000828.4
OG0000136	XP_029140470.1	ENSCAFG00000012408.5
OG0000136	XP_029141621.1	ENSCAFG00000017373.4
OG0000137	XP_015667066.1	ENSCAFG00000002129.5
OG0000137	XP_015665901.1	ENSCAFG00000016967.4
OG0000137	XP_015683353.1, XP_015683349.1, XP_015683341.1	ENSCAFG00000013476.4
OG0000137	XP_015676018.1	ENSCAFG00000013060.5
OG0000138	XP_015688007.1, XP_015688008.1, XP_015688006.1	ENSCAFG00000005174.4
OG0000138	XP_015672190.1	ENSCAFG00000016259.3, ENSCAFG00000015882.2
OG0000138	XP_015672185.1	ENSCAFG00000015223.4
OG0000143	XP_015676537.1	ENSCAFG00000029801.2
OG0000143	XP_015671953.1, XP_015671938.1	ENSCAFG00000031398.3
OG0000143	XP_015671939.1	ENSCAFG00000044275.1
OG0000144	XP_029143019.1, XP_029142873.1, XP_029141366.1, XP_015685258.1, XP_029141365.1, XP_015686440.1, XP_029142369.1, XP_029141367.1, XP_015678767.1, XP_015683151.1, XP_015683350.1, XP_015685563.1, XP_015685103.1, XP_015684701.1, XP_015684933.1, XP_029142796.1, XP_015684959.1, XP_029142805.1, XP_015685104.1, XP_029142983.1, XP_015684680.2	ENSCAFG00000032359.2, ENSCAFG00000004574.5
OG0000146	XP_015674430.2	ENSCAFG00000019335.4, ENSCAFG00000045657.1, ENSCAFG00000042548.1
OG0000147	XP_015667871.1, XP_015667872.1, XP_029139251.1	ENSCAFG00000010962.5
OG0000147	XP_015682850.1	ENSCAFG00000015799.4
OG0000147	XP_015676540.1	ENSCAFG00000006607.4
OG0000147	XP_029141582.1, XP_015679774.1	ENSCAFG00000008753.4
OG0000149	XP_015680285.1	ENSCAFG00000005776.5
OG0000149	XP_015674515.1	ENSCAFG00000010822.4
OG0000149	XP_015687228.1	ENSCAFG00000012504.4
OG0000149	XP_015669574.1, XP_015669575.1, XP_015669576.1	ENSCAFG00000016534.5
OG0000150	XP_015681761.1	ENSCAFG00000023658.3
OG0000150	XP_015681941.1	ENSCAFG00000023236.3
OG0000150	XP_029142048.1, XP_015681947.1	ENSCAFG00000024109.3
OG0000151	XP_029139285.1	ENSCAFG00000023399.3, ENSCAFG00000004169.5
OG0000153	XP_015669483.1	ENSCAFG00000015077.4, ENSCAFG00000023809.3, ENSCAFG00000024512.1, ENSCAFG00000015959.4, ENSCAFG00000006853.3, ENSCAFG00000048208.1, ENSCAFG00000023617.3, ENSCAFG00000007532.2, ENSCAFG00000005538.3, ENSCAFG00000024323.2, ENSCAFG00000017475.3, ENSCAFG00000008260.3, ENSCAFG00000023331.2, ENSCAFG00000017823.4, ENSCAFG00000013374.4, ENSCAFG00000000291.3, ENSCAFG00000017995.3, ENSCAFG00000007094.3
OG0000153	XP_015677236.2	ENSCAFG00000006986.4
OG0000154	XP_015666971.1	ENSCAFG00000005255.4
OG0000154	XP_015681070.1	ENSCAFG00000004889.4
OG0000154	XP_015667884.1	ENSCAFG00000005257.4
OG0000154	XP_029139258.1	ENSCAFG00000023315.3
OG0000155	XP_029141321.1	ENSCAFG00000012373.4
OG0000155	XP_029141320.1, XP_015678568.1	ENSCAFG00000012368.4
OG0000156	XP_015676189.1	ENSCAFG00000002127.5
OG0000158	XP_015676867.1, XP_015677214.1	ENSCAFG00000019985.5
OG0000159	XP_029141105.1, XP_015677573.2	ENSCAFG00000014139.4, ENSCAFG00000030739.3, ENSCAFG00000047066.1, ENSCAFG00000031806.2
OG0000160	XP_015685652.1, XP_015685536.1	ENSCAFG00000000803.4, ENSCAFG00000000896.4
OG0000161	XP_015679846.1	ENSCAFG00000002834.4, ENSCAFG00000002855.4, ENSCAFG00000032162.2, ENSCAFG00000003423.5, ENSCAFG00000028980.2, ENSCAFG00000044469.1, ENSCAFG00000028603.3
OG0000162	XP_015672503.1	ENSCAFG00000016416.5
OG0000162	XP_015679176.1	ENSCAFG00000001960.5
OG0000162	XP_015679096.1	ENSCAFG00000013830.4
OG0000163	XP_029138955.1, XP_015666400.1, XP_015666399.1	ENSCAFG00000003927.5
OG0000163	XP_015668795.1, XP_015668794.1, XP_015668792.2	ENSCAFG00000017350.5
OG0000163	XP_015672310.1, XP_029140139.1, XP_015672311.1, XP_029140136.1, XP_029140137.1, XP_015672308.1, XP_015672309.1, XP_029140138.1, XP_015672307.1	ENSCAFG00000001688.4
