Orthogroup	P_Mucros.pep	G_gallus.pep
OG0000029	XP_015677400.1	ENSGALG00000034868.3
OG0000032	XP_015676330.1, XP_015676339.1	ENSGALG00000037290.2
OG0000033	XP_015682719.2, XP_015683403.1	ENSGALG00000017341.7
OG0000033	XP_015682714.1	ENSGALG00000017342.5
OG0000034	XP_015681155.1	ENSGALG00000041471.2
OG0000034	XP_015687129.1	ENSGALG00000008586.5
OG0000034	XP_015669891.1	ENSGALG00000012821.7
OG0000034	XP_015669671.1	ENSGALG00000054420.1
OG0000034	XP_015672240.1	ENSGALG00000031275.3
OG0000034	XP_029139073.1, XP_029139075.1, XP_029139074.1	ENSGALG00000000059.6
OG0000034	XP_015679451.1	ENSGALG00000007447.5
OG0000042	XP_029142585.1, XP_015684114.1, XP_029142579.1	ENSGALG00000028565.3, ENSGALG00000052936.1
OG0000050	XP_029142422.1, XP_029140729.1, XP_015678109.1, XP_015678110.1, XP_015685176.2, XP_015678113.2, XP_015678116.1, XP_015678118.1, XP_015678117.1, XP_029141730.1, XP_015678111.1, XP_015680472.2, XP_029141732.1, XP_015678112.1, XP_015680471.2, XP_015680476.2, XP_015680474.2, XP_015685624.2, XP_015680470.1, XP_015680468.1, XP_029141731.1, XP_015680473.1	ENSGALG00000054732.1, ENSGALG00000051203.1, ENSGALG00000037166.2, ENSGALG00000047526.1, ENSGALG00000032803.2
OG0000050	XP_029142247.1	ENSGALG00000011622.4
OG0000051	XP_029141524.1	ENSGALG00000011009.6
OG0000051	XP_015679123.1	ENSGALG00000010943.7
OG0000051	XP_029141610.1	ENSGALG00000011040.6
OG0000051	XP_015679120.1	ENSGALG00000027793.3
OG0000051	XP_029143052.1	ENSGALG00000034427.2
OG0000051	XP_015688000.1	ENSGALG00000027702.3, ENSGALG00000006072.8
OG0000051	XP_015688027.1	ENSGALG00000006112.6
OG0000051	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1	ENSGALG00000043728.2
OG0000055	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1, XP_029139999.1, XP_029140004.1, XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1, XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2, XP_029138831.1, XP_015665604.1, XP_015665603.1, XP_015665594.1, XP_015665596.1, XP_015665589.2, XP_015671600.1, XP_029140002.1, XP_015671603.1	ENSGALG00000041229.2
OG0000056	XP_015686863.1, XP_015686845.1, XP_015686795.1, XP_015667034.1, XP_029139102.1	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2
OG0000057	XP_015687186.2	ENSGALG00000008283.7
OG0000057	XP_015675899.1, XP_015687190.2, XP_015687185.2, XP_015687192.2	ENSGALG00000045255.2
OG0000057	XP_015679163.2, XP_015679108.2, XP_015679109.2, XP_015679164.2, XP_029140766.1, XP_015683374.1, XP_015675889.2, XP_015675900.2, XP_015675893.2, XP_029141441.1, XP_029141451.1, XP_029141440.1, XP_015684092.2, XP_015679106.2, XP_015684036.2, XP_015679161.2, XP_015679159.2, XP_029141452.1, XP_015684294.2, XP_029140767.1	ENSGALG00000008178.6, ENSGALG00000045351.2
OG0000059	XP_015670662.1	ENSGALG00000028749.4
OG0000059	XP_015682953.1	ENSGALG00000009621.7
OG0000059	XP_015684708.1	ENSGALG00000009844.7
OG0000059	XP_015679888.1	ENSGALG00000011086.6
OG0000059	XP_015671497.1, XP_015687360.1	ENSGALG00000006343.6
OG0000061	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1, XP_015681309.1, XP_029141912.1	ENSGALG00000028659.2
OG0000062	XP_029142850.1, XP_029142268.1, XP_029142599.1, XP_015684243.1, XP_015676883.1, XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1, XP_015673408.1, XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1	ENSGALG00000002931.6
OG0000065	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2	ENSGALG00000010969.6
OG0000066	XP_029142067.1, XP_029142710.1	ENSGALG00000046739.1
OG0000069	XP_015679681.1	ENSGALG00000034988.3
OG0000069	XP_015678382.1, XP_015678381.1, XP_015678383.1, XP_015678379.1, XP_015686129.1, XP_015678380.1, XP_029141284.1, XP_015672627.1	ENSGALG00000034701.2, ENSGALG00000041909.2
OG0000072	XP_029141435.1	ENSGALG00000048258.1
OG0000072	XP_015671903.1	ENSGALG00000001661.5
OG0000073	XP_015676898.1	ENSGALG00000006512.6
OG0000074	XP_015672094.1	ENSGALG00000046716.1, ENSGALG00000050594.1, ENSGALG00000048265.1, ENSGALG00000054335.1, ENSGALG00000047647.1, ENSGALG00000054324.1
OG0000074	XP_015670840.1, XP_015670842.1	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1
OG0000077	XP_029141841.1, XP_015679149.1, XP_029140712.1, XP_015679160.1, XP_015681733.2, XP_015672809.1	ENSGALG00000034124.3
OG0000077	XP_015671970.1, XP_015671971.1	ENSGALG00000006904.6
OG0000081	XP_015675839.1	ENSGALG00000039406.2
OG0000083	XP_015670327.1	ENSGALG00000054196.1, ENSGALG00000049551.1, ENSGALG00000053121.1, ENSGALG00000014585.5
OG0000083	XP_015682220.1, XP_015682221.1	ENSGALG00000053868.1, ENSGALG00000032717.2, ENSGALG00000043603.2
OG0000083	XP_015670326.1	ENSGALG00000034478.2
OG0000085	XP_029139245.1	ENSGALG00000036798.3
OG0000085	XP_029138764.1	ENSGALG00000008141.6
OG0000085	XP_029139244.1	ENSGALG00000016843.7
OG0000085	XP_029138762.1	ENSGALG00000048179.1
OG0000085	XP_029139815.1	ENSGALG00000004946.6
OG0000085	XP_029140039.1	ENSGALG00000038612.2
OG0000086	XP_015685683.1	ENSGALG00000005843.5
OG0000086	XP_015672964.1	ENSGALG00000015917.7
OG0000087	XP_015677192.1, XP_015677190.1, XP_015677194.1	ENSGALG00000001183.6
OG0000087	XP_015667487.1, XP_015667489.1	ENSGALG00000006520.7
OG0000087	XP_015687322.1, XP_015687313.1	ENSGALG00000043092.2
OG0000091	XP_015686258.1	ENSGALG00000050544.1, ENSGALG00000054648.1
OG0000091	XP_015680841.1, XP_015680846.1	ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6
OG0000092	XP_015665454.1	ENSGALG00000002563.7
OG0000092	XP_015668851.1, XP_029139443.1, XP_015668848.1, XP_015668852.1	ENSGALG00000013537.7
OG0000092	XP_015666499.1, XP_015666500.1, XP_015666495.1, XP_015666492.1, XP_015666494.1, XP_015666496.1	ENSGALG00000003521.7
OG0000093	XP_029138978.1, XP_029138977.1	ENSGALG00000030550.3
OG0000093	XP_015687648.1, XP_015687649.1	ENSGALG00000003601.6
OG0000093	XP_029143067.1	ENSGALG00000030908.2
OG0000094	XP_015686431.1, XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2, XP_029139882.1, XP_029139885.1	ENSGALG00000013838.6
OG0000095	XP_029139131.1	ENSGALG00000019755.4
OG0000099	XP_015673346.1	ENSGALG00000005256.6
OG0000099	XP_029140096.1	ENSGALG00000015593.6
OG0000099	XP_015675447.2	ENSGALG00000015403.5
OG0000099	XP_029139330.1	ENSGALG00000021567.5
OG0000100	XP_015683146.2, XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1, XP_015682631.1, XP_015683143.1	ENSGALG00000000357.7
OG0000101	XP_015678399.1, XP_015678398.1	ENSGALG00000035086.3
OG0000101	XP_015686600.1	ENSGALG00000002907.7
OG0000101	XP_015687734.1	ENSGALG00000000585.7
OG0000101	XP_015669788.1	ENSGALG00000005448.6
OG0000102	XP_015675100.1	ENSGALG00000006300.7
OG0000102	XP_015682701.1	ENSGALG00000035836.3
OG0000106	XP_015673749.1	ENSGALG00000042011.3
OG0000106	XP_015670457.1	ENSGALG00000009250.6
OG0000108	XP_015674991.1, XP_015685952.1, XP_015674990.1, XP_015674989.1, XP_015674988.1	ENSGALG00000004436.7
OG0000108	XP_015675017.1, XP_015675003.1	ENSGALG00000004449.5
OG0000110	XP_015674238.1	ENSGALG00000027255.3
OG0000110	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1	ENSGALG00000009107.6
OG0000111	XP_015671863.1	ENSGALG00000011476.7
OG0000111	XP_015671967.2	ENSGALG00000016811.6
OG0000111	XP_015682442.1	ENSGALG00000034187.2
OG0000111	XP_015685194.1, XP_015685989.1	ENSGALG00000008633.7
OG0000112	XP_029139834.1	ENSGALG00000011805.6
OG0000113	XP_015676715.1	ENSGALG00000016322.5
OG0000113	XP_015672662.1, XP_015672664.1, XP_015672663.1	ENSGALG00000016328.7
OG0000113	XP_015672656.1, XP_015672657.1	ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6
OG0000113	XP_029140220.1, XP_015672653.1	ENSGALG00000016324.3
OG0000115	XP_015676950.1	ENSGALG00000005857.6
OG0000116	XP_015687773.1, XP_015687806.2, XP_029143187.1	ENSGALG00000051754.1, ENSGALG00000003690.7
OG0000119	XP_015675783.1	ENSGALG00000001262.7
OG0000119	XP_015676013.1, XP_015680784.2	ENSGALG00000016020.7
OG0000119	XP_015667791.1, XP_015667790.1	ENSGALG00000016707.6
OG0000120	XP_015681942.1, XP_015686317.1, XP_015681935.1, XP_015669915.1	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2
OG0000122	XP_015671586.1, XP_015671585.1, XP_015671621.1, XP_015671588.1, XP_015671620.1, XP_015671587.1, XP_015671584.1, XP_015671590.1, XP_015671589.1, XP_015671591.1, XP_015671596.1, XP_015671595.1, XP_015671593.1, XP_015671597.1, XP_015671592.1, XP_015671598.1, XP_029140000.1	ENSGALG00000042358.2, ENSGALG00000044048.2
OG0000126	XP_015667989.1, XP_015667988.1	ENSGALG00000012575.6
OG0000126	XP_015672138.1	ENSGALG00000015184.6
OG0000126	XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1	ENSGALG00000008120.7
OG0000127	XP_015684744.1	ENSGALG00000039048.2
OG0000127	XP_029141138.1, XP_015686770.1	ENSGALG00000036870.2
OG0000127	XP_029142411.1	ENSGALG00000023632.5
OG0000127	XP_015677677.1	ENSGALG00000038657.3
OG0000129	XP_015677033.1	ENSGALG00000037889.2
OG0000129	XP_015669757.1	ENSGALG00000031284.2
OG0000129	XP_029139363.1	ENSGALG00000031440.2
OG0000129	XP_029140019.1	ENSGALG00000037423.2
OG0000130	XP_015680905.1, XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1, XP_029141364.1	ENSGALG00000002413.6
OG0000131	XP_015680915.1	ENSGALG00000004394.6
OG0000131	XP_015675706.1, XP_015675707.1	ENSGALG00000041030.2
OG0000134	XP_029142342.1, XP_029143014.1, XP_029143024.1, XP_029142964.1, XP_029142677.1, XP_029142676.1, XP_029142731.1, XP_029142869.1, XP_029141842.1, XP_029141398.1, XP_015686902.2, XP_015677633.1, XP_029142359.1, XP_029142815.1, XP_015686361.2, XP_029140487.1, XP_029142865.1, XP_029140468.1, XP_029142960.1, XP_015684498.1, XP_015681269.1, XP_029142660.1, XP_029143009.1, XP_015686295.1, XP_029142699.1, XP_029143010.1, XP_029143040.1, XP_015685871.2, XP_029142862.1	ENSGALG00000042850.3
OG0000135	XP_029143026.1, XP_029142788.1, XP_029142878.1, XP_029142287.1, XP_029142789.1	ENSGALG00000006152.6, ENSGALG00000025778.4
OG0000136	XP_015680878.1, XP_015680870.1	ENSGALG00000016406.6
OG0000136	XP_015673847.1	ENSGALG00000011473.6
OG0000136	XP_029140470.1	ENSGALG00000037136.2
OG0000136	XP_029141621.1	ENSGALG00000007097.6
OG0000137	XP_015667066.1	ENSGALG00000009700.7
OG0000137	XP_015665901.1	ENSGALG00000045846.2
OG0000137	XP_015683353.1, XP_015683349.1, XP_015683341.1	ENSGALG00000016323.5
OG0000137	XP_015676018.1	ENSGALG00000013235.5
OG0000138	XP_015688007.1, XP_015688008.1, XP_015688006.1	ENSGALG00000006477.7
OG0000138	XP_015672190.1	ENSGALG00000046725.1, ENSGALG00000027506.4
OG0000143	XP_015676537.1	ENSGALG00000001633.7
OG0000143	XP_015684838.1, XP_015671949.1	ENSGALG00000050860.1
OG0000143	XP_015671953.1	ENSGALG00000005007.6
OG0000143	XP_015671938.1	ENSGALG00000005017.6
OG0000143	XP_015671939.1	ENSGALG00000005019.5
OG0000144	XP_029143019.1, XP_029142873.1, XP_029141366.1, XP_015685258.1, XP_029141365.1, XP_015686440.1, XP_029142369.1, XP_029141367.1, XP_015678767.1, XP_015683151.1, XP_015683350.1, XP_015685563.1, XP_015685103.1, XP_015684701.1, XP_015684933.1, XP_029142796.1, XP_015684959.1, XP_029142805.1, XP_015685104.1, XP_029142983.1, XP_015684680.2	ENSGALG00000053964.1, ENSGALG00000029857.2
OG0000145	XP_015682430.1, XP_015682429.1, XP_015686853.1, XP_015686492.1, XP_015685170.1, XP_015682427.1	ENSGALG00000054868.1
OG0000147	XP_015667871.1, XP_015667872.1, XP_029139251.1	ENSGALG00000010490.8
OG0000147	XP_015682850.1	ENSGALG00000041203.3
OG0000147	XP_015676540.1	ENSGALG00000007582.6
OG0000147	XP_029141582.1, XP_015679774.1	ENSGALG00000000227.7
OG0000149	XP_015678292.1, XP_015680285.1	ENSGALG00000036496.2
OG0000149	XP_015674515.1	ENSGALG00000014463.7
OG0000149	XP_015669574.1, XP_015669575.1, XP_015669576.1	ENSGALG00000042458.3
OG0000150	XP_015681761.1	ENSGALG00000042446.2
OG0000150	XP_015681941.1, XP_029142048.1, XP_015681947.1	ENSGALG00000029827.2
OG0000151	XP_015668037.1	ENSGALG00000020688.6
OG0000151	XP_029139285.1	ENSGALG00000010469.7
OG0000153	XP_015669483.1	ENSGALG00000014442.7
OG0000154	XP_015666971.1	ENSGALG00000006575.5
OG0000154	XP_015681070.1	ENSGALG00000012106.6
OG0000154	XP_015667884.1	ENSGALG00000005259.6
OG0000154	XP_029139258.1	ENSGALG00000005212.5
OG0000155	XP_029141321.1	ENSGALG00000019277.5
OG0000155	XP_029141320.1	ENSGALG00000019276.5
OG0000155	XP_015678568.1	ENSGALG00000031293.2
OG0000156	XP_029142934.1, XP_015686873.1, XP_029143117.1, XP_029142935.1, XP_015681506.1, XP_015676189.1	ENSGALG00000047313.1, ENSGALG00000040120.3
OG0000158	XP_015680736.1	ENSGALG00000002546.6
OG0000158	XP_015676867.1, XP_015677214.1	ENSGALG00000046817.1
OG0000159	XP_029141105.1, XP_015677573.2	ENSGALG00000049450.1
OG0000160	XP_015685652.1, XP_015685536.1	ENSGALG00000051101.1
OG0000162	XP_015672503.1	ENSGALG00000009360.6
OG0000162	XP_015679176.1	ENSGALG00000010186.7
OG0000162	XP_015679096.1	ENSGALG00000041685.2
OG0000163	XP_015666399.1	ENSGALG00000010533.7
OG0000163	XP_015672310.1, XP_029140139.1, XP_015672311.1, XP_029140136.1, XP_029140137.1, XP_015672308.1, XP_015672309.1, XP_029140138.1, XP_015672307.1	ENSGALG00000015799.6
OG0000164	XP_015676190.1, XP_015676194.1, XP_015676193.1, XP_029140819.1, XP_015676188.1, XP_015676191.2, XP_029139534.1, XP_015669245.1	ENSGALG00000016690.7, ENSGALG00000046639.2
OG0000169	XP_015668859.1, XP_015668849.1	ENSGALG00000030280.3
OG0000169	XP_015667139.1	ENSGALG00000003800.6
OG0000169	XP_015671850.1	ENSGALG00000004123.6
OG0000171	XP_015672895.1, XP_015672892.1, XP_015672893.1	ENSGALG00000020160.5, ENSGALG00000054856.1
OG0000171	XP_015672896.1, XP_015672894.1	ENSGALG00000030614.2
OG0000172	XP_029140806.1	ENSGALG00000006097.5
OG0000172	XP_015672473.1	ENSGALG00000001264.6
OG0000172	XP_015684318.1	ENSGALG00000006473.5
OG0000173	XP_029141104.1, XP_015677462.1, XP_029141137.1, XP_015677474.1, XP_029141129.1, XP_029141132.1, XP_029141126.1, XP_029141120.1, XP_029141125.1, XP_029141103.1, XP_029141107.1, XP_029141093.1, XP_029141100.1, XP_029141122.1, XP_015677468.1, XP_029141109.1, XP_029141114.1, XP_029141135.1, XP_029141091.1, XP_029141097.1, XP_029141099.1, XP_029141084.1, XP_029141089.1, XP_029141133.1, XP_029141080.1, XP_029141079.1, XP_029141073.1, XP_029141072.1, XP_029141076.1, XP_029141078.1	ENSGALG00000040256.2
OG0000174	XP_015670429.1, XP_015670431.1, XP_015670430.1, XP_015670428.1	ENSGALG00000032385.2
OG0000174	XP_015683273.2	ENSGALG00000040369.2
OG0000174	XP_015677824.1	ENSGALG00000002099.6
OG0000179	XP_029141413.1, XP_015687365.1	ENSGALG00000045194.2, ENSGALG00000003557.7
OG0000179	XP_015678517.1	ENSGALG00000006378.6
OG0000181	XP_015671583.1	ENSGALG00000044962.2
OG0000181	XP_015668225.1	ENSGALG00000021598.5, ENSGALG00000049664.1, ENSGALG00000041400.3
OG0000183	XP_029141374.1	ENSGALG00000011350.7
OG0000183	XP_015674112.1	ENSGALG00000001442.7
OG0000183	XP_015676390.1, XP_029140862.1	ENSGALG00000001437.6
OG0000184	XP_015675393.1	ENSGALG00000014875.7
OG0000184	XP_015681863.1	ENSGALG00000033653.2
OG0000184	XP_015680940.1	ENSGALG00000001342.6
OG0000185	XP_015683210.1	ENSGALG00000005393.6
OG0000186	XP_015684024.2	ENSGALG00000015531.6
OG0000186	XP_015676531.1	ENSGALG00000007565.7
OG0000186	XP_015667869.1	ENSGALG00000010471.6
OG0000186	XP_015679777.1	ENSGALG00000000235.6
OG0000187	XP_015679486.1, XP_015679485.1	ENSGALG00000016485.6
OG0000187	XP_015682140.1, XP_015682141.1	ENSGALG00000001569.6
OG0000187	XP_029140248.1, XP_015672812.1, XP_029140247.1	ENSGALG00000003806.7
OG0000188	XP_015671217.1, XP_029139925.1, XP_029139926.1	ENSGALG00000037253.2
OG0000193	XP_029139939.1	ENSGALG00000004901.7
OG0000193	XP_015678276.1, XP_015678275.1	ENSGALG00000033300.2
OG0000194	XP_015671969.1	ENSGALG00000029260.2
OG0000194	XP_015680441.1	ENSGALG00000030943.2
