logFC..venom...liver,logFC..venom...kidney,logFC..venom...heart,logCPM,F,PValue,genes,description,MM.turq
-4.600036985,-4.087820669,-1.444217219,1.81676975,20.40133924,5.83E-05,107293088,dehydrogenase/reductase SDR family member 4-like,0.149345705
3.41684939,2.677022196,2.42304224,4.108574773,20.37982199,5.92E-05,107290408,cAMP responsive element binding protein 3-like 1,0.833194327
4.858087554,3.667419864,4.056275847,3.861898784,20.26104332,6.09E-05,107291927,dynein heavy chain 7 axonemal-like,0.826684127
3.461156663,0.452541027,1.070537448,3.626857275,20.12091143,6.19E-05,107283915,EPS8 like 2,0.728764056
1.186719004,2.110718221,-0.395858796,4.349341058,20.08245202,6.25E-05,107282999,hemoglobin subunit alpha-like,0.11321815
0.543118559,-0.807792998,2.296439827,5.911409768,20.00369667,6.39E-05,107292296,3'(2') 5'-bisphosphate nucleotidase 1,0.420922677
1.909443938,1.252194894,-3.813947835,2.614220987,20.01212564,6.47E-05,107285367,p21 protein (Cdc42/Rac)-activated kinase 7,0.712968482
7.904376305,4.043359707,5.134527577,5.059013624,19.9645826,6.54E-05,107282423,zinc finger protein 750,0.893083075
4.78020753,1.643968675,-0.701504805,1.763899703,19.75485967,6.79E-05,107291772,collagen type VIII alpha 1,0.758578512
5.444851733,8.443315897,6.283005625,5.466463877,19.76240295,6.87E-05,107289098,solute carrier family 45 member 3,0.941914178
2.70208572,1.755058637,3.618210562,5.991423459,19.68238265,7.01E-05,107290839,major facilitator superfamily domain containing 13A,0.941707932
-0.700232878,4.182032338,5.010150842,5.945891544,19.56957344,7.20E-05,107282526,claudin-4-like,0.746326771
2.543410207,1.470834673,-0.916603536,3.834063959,19.5548792,7.23E-05,107282830,KIAA1462 ortholog,0.821668383
5.364323919,1.090567336,2.761309234,3.130630097,19.42115044,7.47E-05,107299460,calcium permeable stress-gated cation channel 1-like,0.774695107
-6.169935067,-6.191568535,-0.190007424,1.657151572,19.40479866,7.50E-05,107303039,mitochondrial peptide methionine sulfoxide reductase-like,0.274304686
1.10203823,-4.116763402,1.155120104,3.648516608,19.37147725,7.57E-05,107284856,solute carrier family 35 member F2,0.802898083
5.022658487,3.175733399,4.112048843,4.205983915,19.24016923,7.82E-05,107285134,tetratricopeptide repeat protein 39A-like,0.940610048
5.0820139,0.239670379,1.583085872,5.829410536,19.17481067,7.95E-05,107291606,solute carrier family 1 member 1,0.907610954
-2.61444563,1.911661621,0.859022001,6.783318383,19.11689999,8.06E-05,107292371,metallothionein-2-like,0.818102348
-6.380800357,-3.888708467,0.727622075,5.551306294,19.0454011,8.21E-05,107295111,alcohol dehydrogenase iron containing 1,0.677647892
5.862088464,-1.069091364,3.450633321,2.932515347,19.02407763,8.26E-05,107290465,inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2,0.866034044
1.209683529,-0.778248492,-1.721564756,7.068744325,18.79216725,8.62E-05,107282234,plasmalemma vesicle associated protein,0.207715583
3.39741823,-0.707781382,2.111128746,3.042491985,18.72710297,8.90E-05,107282288,coiled-coil serine rich protein 1,0.826227972
-1.508489043,-6.570339302,1.667650499,3.786478533,18.71230176,8.94E-05,107291286,solute carrier family 25 member 47,0.217581302
-6.106943313,0.739125167,2.688789104,3.401366093,18.52475638,9.38E-05,107301119,interleukin-27 subunit beta-like,0.443407667
5.158943613,4.218376775,2.59919793,2.765968412,18.46425692,9.53E-05,107289331,Pim-3 proto-oncogene serine/threonine kinase,0.770771357
-2.737375959,-1.231379978,0.993268315,7.106481376,18.42299322,9.63E-05,107282819,acyl-CoA binding domain containing 5,0.757908538
9.76318094,2.050208834,7.938128528,4.044799639,18.3971899,9.69E-05,107296514,uncharacterized LOC107296514,0.846041363
3.59674677,-4.692611381,-0.358314709,0.220501177,22.75903633,9.84E-05,107287697,uncharacterized LOC107287697,0.19094579
2.065759541,3.885129702,3.40936707,1.673774521,18.12425444,0.000102699,107296757,dolichyldiphosphatase 1,0.66378835
5.569031684,0.013492884,1.64069239,5.361249549,18.12902649,0.000103952,107282485,branched chain amino-acid transaminase 2 mitochondrial,0.845425165
5.425953148,1.974239802,0.934792201,2.808047109,18.09825466,0.000104796,107293106,protein jagged-2-like,0.530441137
2.463677087,1.878697434,2.058181185,5.28887147,17.9882015,0.000107397,107292203,calcium activated nucleotidase 1,0.717046224
-2.566318481,-2.290123746,-0.890738731,4.652304095,17.90867895,0.000108726,107302537,aminolevulinate dehydratase,0.473733552
-3.958270214,-2.47422844,1.26020226,0.436004528,17.88600889,0.000109182,107293782,RAB43 member RAS oncogene family,0.215831924
-1.18149359,-1.124449904,-3.2062539,3.389303664,17.73339566,0.000114928,107285436,adhesion G protein-coupled receptor L4,0.214582349
7.486462453,-1.163221479,2.427947545,0.956416897,21.85768384,0.000115969,107290464,inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2,0.831865271
-5.078312305,1.283518094,5.210297823,9.908600978,17.69229154,0.000116717,107291832,glutathione S-transferase theta-1-like,0.918520773
-3.136423443,-3.604923148,0.967782812,2.600737187,17.65601725,0.000117857,107295526,sideroflexin 1,0.606892083
3.343352578,3.316958972,-0.797521964,5.015512393,17.61370707,0.000119204,107302903,myelin P2 protein-like,0.782190365
2.34793005,0.744736048,2.812094118,5.977107257,17.56884817,0.000120651,107291259,solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter) member A3,0.775368647
1.764770298,1.00661604,-1.098770318,4.920333385,17.37372646,0.000127191,107284186,microtubule associated serine/threonine kinase family member 4,0.241250154
4.577022993,1.430454712,1.830086793,2.236423063,17.27106308,0.000129654,107290363,uncharacterized LOC107290363,0.707654915
-1.850259187,0.194858839,-3.527212982,6.211895639,17.30225378,0.00012969,107290146,erythrocyte membrane protein band 4.1-like 3,0.397111159
-2.577403546,-2.416723194,1.758723475,4.627716165,17.22326892,0.000132519,107289854,solute carrier family 25 member 15,0.791474109
2.570761033,1.307236595,2.169960084,6.188857885,17.1485819,0.000134257,107294046,chloride intracellular channel 1,0.893015109
2.402424917,-1.422573006,1.418112883,2.020443761,17.0845739,0.000135841,107299583,band 4.1-like protein 4A,0.558679133
3.142015101,-5.775656012,0.930216547,3.791590273,17.11869628,0.000136375,107293157,V-type proton ATPase subunit S1-like,0.848459709
-2.284961772,-1.57155678,1.215258625,2.316508025,17.03155585,0.000137678,107300623,RING finger and transmembrane domain-containing protein 1-like,0.738748733
3.503360487,-4.960037986,1.2896767,0.321410768,20.89861974,0.000142358,107300334,uncharacterized LOC107300334,0.139176919
4.093053935,1.967384299,1.671263937,4.625929256,16.92854475,0.000143729,107294339,ribonucleoprotein PTB-binding 2,0.88040501
3.527030907,-5.901978224,0.47074649,1.145590836,20.84668215,0.000143842,107287368,fatty acid 2-hydroxylase,0.476894035
7.940027733,4.676049506,4.395443207,-0.054950598,20.6889809,0.000145999,107284441,uncharacterized F-box/LRR-repeat protein C02F5.7-like,0.382771334
3.344546124,-0.246273792,1.304707846,2.858214434,16.70666449,0.000151,107282393,tripartite motif-containing protein 16-like protein,0.343768431
7.741651102,3.815808629,4.726752343,4.901058399,16.73603788,0.000151651,107294495,ARFGEF family member 3,0.947665986
-1.037506469,-2.092688729,-0.856550424,3.892830368,16.62889803,0.000154074,107298200,protein kinase N2,0.436516597
4.925991068,2.373904709,5.9842121,2.175970499,16.66585192,0.000154666,107289557,claudin 23,0.584134268
-0.799896648,-3.524219212,-0.417086899,6.881160943,16.58089142,0.000158409,107297288,chromosome unknown open reading frame human C14orf159,0.572608148
-3.962338818,-3.492114624,-1.641098024,3.668466386,16.56838979,0.000158969,107288416,spermatogenesis associated 13,0.639958259
-3.198129893,-4.548643726,-0.501536555,5.362268074,16.5621913,0.000159247,107286270,tetratricopeptide repeat domain 38,0.569066166
-1.669971814,-2.979655661,-2.258797714,3.015691804,16.41631824,0.000163646,107282222,insulin receptor,0.540820321
2.675600466,-3.612394172,2.126946735,6.174354328,16.44853155,0.000164454,107292272,hydroxysteroid (11-beta) dehydrogenase 1,0.874701045
-1.611382002,3.074709409,1.774908277,5.594982921,16.40241692,0.000166623,107285324,cyclic AMP-dependent transcription factor ATF-5-like,0.869481487
-2.159508897,1.401881842,1.337766737,6.047119347,16.31183448,0.000170983,107289838,nuclear receptor subfamily 1 group H member 3,0.884702174
1.103585735,1.167965136,-3.381248373,2.308396248,16.27846643,0.000172622,107298932,amyloid beta precursor protein binding family B member 2,0.195946597
-0.983797718,1.340617244,1.47052448,2.277895839,16.15902913,0.000176177,107286650,solute carrier family 16 (monocarboxylate transporter) member 5,0.582482161
-3.521170492,-1.843462643,-0.720470221,4.802231412,16.17080974,0.000178037,107291109,dpy-19 like 3 (C. elegans),0.664095797
-1.762352155,-0.133738461,0.696955898,4.799688465,16.10996465,0.000179802,107286969,purinergic receptor P2X 4,0.878546353
3.583306399,-1.943862379,1.101753164,3.418530383,16.109167,0.000181228,107294038,zinc finger transcription factor Trps1-like,0.890709508
-3.209095264,-2.360798165,-3.24239274,8.025568271,16.04570771,0.000182358,107291463,solute carrier family 16 (monocarboxylate transporter) member 1,0.730265012
-3.070370505,-2.619337299,0.009161504,3.591410074,15.99889147,0.000187103,107302996,transcription elongation factor A3,0.399917152
7.14932102,5.911628451,8.112818132,3.268363544,15.9982229,0.00018714,107296041,fer-1 like family member 6,0.912224329
-7.108386062,-4.132256992,1.418490387,2.461972197,15.96421377,0.000188997,107301720,hydroxysteroid 11-beta-dehydrogenase 1-like protein A,0.597472907
6.811368554,-0.757934626,6.202729661,7.993614265,15.91145954,0.000191921,107286675,solute carrier family 41 member 2,0.895663407
