logFC..venom...liver,logFC..venom...kidney,logFC..venom...heart,logCPM,F,PValue,genes,description
16.35593267,13.44690342,9.706675929,7.877220015,65.92824384,8.71E-07,107290716,immunoglobulin superfamily member 22
16.192436,14.59471908,11.99629559,10.13526432,51.98133535,4.61E-07,107290686,calmodulin like 6
15.88241687,14.20809145,12.34845243,7.402613916,15.48351098,0.000482382,107287555,snake venom serine protease 3
15.59211575,18.00291572,18.00291572,9.521300823,12.29390191,0.002539629,107298194,disintegrin-like leberagin-C
15.45871181,15.45871181,12.41119135,6.979544616,13.45016541,0.001910613,107300812,snaclec jerdonibitin subunit alpha
15.30705951,15.30705951,11.72862386,6.828574754,50.72778829,1.90E-05,107286719,parvalbumin muscle-like
15.27944641,15.27944641,15.27944641,6.800390536,10.68037347,0.00898432,107300811,zinc metalloproteinase/disintegrin-like HR1a
15.26119259,11.97381239,10.04003434,6.783844182,15.47456589,0.000483488,107291631,snake venom vascular endothelial growth factor toxin
15.2167004,9.924015578,9.963984467,6.740693737,11.23810534,0.001647888,107296982,zinc metalloproteinase-disintegrin-like HF3
15.04283874,12.72563163,12.9513871,8.985633207,17.30709958,0.000129519,107287546,snake venom serine protease 3-like
14.86996092,11.60680374,9.364561053,6.394854636,52.20878793,2.55E-06,107298219,calsequestrin 1
14.79707398,17.22292807,8.720705131,8.745266548,51.61604458,2.69E-06,107298627,keratin type II cytoskeletal 6A-like
14.6585094,15.43403677,10.201079,8.602374963,43.02391539,1.28E-06,107282510,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
14.467359,12.85113308,11.04119423,8.399058188,47.98951493,7.10E-07,107302932,myosin-16
14.36387879,14.36387879,14.36387879,5.887523155,12.02874858,0.00674514,107302083,snake venom metalloproteinase BjussuMP-2-like
14.11052329,12.45896238,0.705544083,6.322152376,31.56479475,2.43E-05,107290518,triadin-like
14.06019355,11.64862303,6.429324034,5.60262641,18.89616569,0.00021594,107284917,sarcolipin
14.01542372,3.876751241,7.280902399,5.644023071,14.59677215,0.00060858,107287604,ATPase H+ transporting V1 subunit G3
13.77303785,13.77303785,0.137322107,6.227689883,44.99588747,2.94E-05,107302211,creatine kinase M-type-like
13.77303785,13.77303785,0.137322107,6.227689883,44.99588747,2.94E-05,107302212,creatine kinase M-type-like
13.75839457,13.02625736,12.60349808,9.803918972,17.2895999,0.000130139,107287557,transmembrane protease serine 9-like
13.72020024,2.896572906,11.52106424,5.429902399,7.38263721,0.007138229,107290433,dentin sialophosphoprotein
13.61547111,8.184117714,9.087145773,5.151973705,30.97329368,2.64E-05,107286742,transmembrane protease serine 11E
13.38631707,8.623279113,6.3270968,4.937395116,52.04784102,2.58E-06,107297936,mediator of DNA damage checkpoint protein 1-like
13.32179186,11.66996023,7.153588384,4.862714155,34.5070009,1.64E-05,107302645,leiomodin 3
13.29740576,17.4919873,14.44135657,9.010737971,15.81489534,0.000443475,107298285,zinc metalloproteinase-disintegrin-like ACLD
13.21906628,11.56725105,4.618656773,4.807817792,18.98752308,0.000211706,107288347,calcium voltage-gated channel auxiliary subunit gamma 1
13.12484974,12.89976043,0.169255078,9.735610625,40.77652607,1.70E-06,107291634,creatine kinase M-type
13.02464434,13.02464434,9.446748918,4.561978522,44.7817744,2.99E-05,107298887,boophilin-G2-like
13.01842553,6.059590051,8.301734794,4.580093603,9.69932743,0.002810828,107286359,matrix metalloproteinase-20-like
12.5530681,10.8714359,0.612118463,4.807943756,30.03511438,3.03E-05,107290519,glutamic acid-rich protein-like
12.52766887,7.936187627,12.52766887,4.072693099,69.44959197,5.93E-06,107291156,glycoprotein A33
12.51216315,11.95912784,-0.103297227,10.54592799,35.8789962,3.35E-06,107303068,titin-cap
12.48020438,2.777553844,12.48020438,4.216917425,5.618160866,0.023847199,107301105,RNA polymerase-associated protein LEO1-like
12.4300822,9.990414313,1.490266845,4.403254193,37.20720168,1.18E-05,107289042,calcium voltage-gated channel subunit alpha1 S
12.31626923,12.04084231,12.30167191,12.78063228,15.9699339,0.000188683,107287552,beta-fibrinogenase mucrofibrase-3
12.29929077,16.83138369,14.03716121,10.0371303,16.74746828,0.000151167,107298284,zinc metalloproteinase-disintegrin-like batroxstatin-3
12.27036545,12.27036545,12.27036545,3.812706087,26.46819279,0.000896186,107301906,snake venom metalloproteinase ACLF-like
12.16306319,12.16306319,9.955577361,3.710506606,25.82639497,0.000214214,107302316,regenerating islet-derived protein 4-like
12.14923271,5.033912747,7.622807892,3.749030462,10.45910894,0.002143784,107282611,distal-less homeobox 3
12.14208683,12.14208683,-2.020558143,6.00190677,19.15506253,0.000597792,107285286,alpha-crystallin A chain-like
12.09576645,11.19275033,11.42238482,11.93827454,13.76030741,0.000372292,107287553,snake venom serine protease serpentokallikrein-2
12.06454732,12.06454732,7.126233701,3.622105532,19.61453414,0.000551796,107299510,troponin C2 fast skeletal type
12.04122646,4.962739526,8.46063554,3.635221052,8.722738291,0.004076061,107291742,basic helix-loop-helix family member a15
11.98488759,10.55762207,1.236924715,6.440475807,30.97615112,7.22E-06,107290520,uncharacterized LOC107290520
11.70394974,12.49673411,10.54222318,8.728850521,53.93361545,3.77E-07,107286058,mucin-2-like
11.65393433,9.978772939,5.278085834,3.254238167,12.35613311,0.001155999,107284986,laminin subunit gamma 2
11.6535498,0.284810597,1.443722247,4.317806309,18.80888488,0.00022008,107290501,MAP3K7 C-terminal like
11.63766249,7.138750796,0.79005569,3.841057536,26.90864255,4.87E-05,107301200,myomegalin-like
11.63048041,11.63048041,8.055998234,3.192823549,38.8105983,5.03E-05,107292538,dehydrogenase/reductase (SDR family) member 7C
11.58958754,11.98492316,-0.586272504,11.55695697,67.43971859,1.10E-07,107290010,titin
11.57064618,11.57064618,5.642549964,3.160573911,18.21221092,0.000708317,107297355,calmodulin-like protein 12
11.54126405,4.808632643,4.50257504,3.212956948,14.0816433,0.000700205,107282851,cytokine receptor-like factor 1
11.52724776,13.95189384,8.089598994,5.483269472,44.70433679,5.16E-06,107292179,uncharacterized LOC107292179
11.36602155,9.680330034,11.36602155,2.93455355,25.08525951,0.0002371,107286047,serine protease 27-like
11.32331957,12.29380023,9.655156168,12.32091875,14.63808246,0.00028154,107292177,myosin light chain 5
11.25040559,7.47295929,5.43542469,2.858293616,25.38860042,6.26E-05,107295583,tropomodulin 4
11.22831223,12.31155291,-0.409185758,11.45850584,27.74624898,1.27E-05,107303059,myosin light chain 4
11.19500138,8.269396835,2.727522375,2.962337896,21.75476319,0.000120362,107300821,calpain-3-like
11.09169915,8.673241324,0.952943513,3.2441734,22.46959127,0.000105072,107290525,microtubule-associated protein 1B-like
11.08528649,6.706938634,6.35110616,2.694227176,62.08811133,1.15E-06,107303162,annexin A3
11.04129424,9.676829973,9.90668145,4.998913048,43.43980781,1.21E-06,107297920,troponin T3 fast skeletal type
10.98416073,13.65129688,13.40127947,9.428644899,13.96594811,0.000348287,107287547,snake venom serine protease-like
10.97784964,8.594342175,2.145933243,2.840418684,22.56724587,0.00010317,107293055,periostin osteoblast specific factor
10.93878379,13.36344699,7.643396989,4.902017184,45.14269105,4.94E-06,107282192,mucin-16-like
10.90821893,10.40303544,13.33119585,4.862350503,14.03931896,0.000708448,107287561,snaclec coagulation factor IX/factor X-binding protein subunit A
10.90718914,10.58605146,1.79614438,11.13497105,49.67800891,5.89E-07,107295108,actin alpha 1 skeletal muscle
10.8932143,0.742628214,6.203254412,3.137648976,10.24641996,0.002309237,107286906,transient receptor potential cation channel subfamily V member 6-like
10.79220032,16.29759207,11.81592487,9.503672137,37.41822986,2.69E-06,107298732,sushi nidogen and EGF-like domain-containing protein 1
10.78446842,1.083244333,7.965908905,5.297951346,5.243172683,0.015697589,107282362,solute carrier family 15 (oligopeptide transporter) member 1
10.7814054,7.500519453,5.418211943,2.412686372,29.12083188,3.46E-05,107297228,uncharacterized LOC107297228
10.73898902,10.73898902,6.771493214,2.341477418,29.09376617,0.000140981,107282472,voltage-dependent calcium channel gamma-6 subunit-like
10.71944618,7.222901194,3.67134706,2.424360889,16.02674924,0.000420577,107286485,ATPase H+/K+ transporting non-gastric alpha2 subunit
10.71474364,7.387506704,1.819617614,2.650010044,16.51573689,0.000372939,107284239,caveolin-2-like
10.70633541,10.70633541,3.34214528,2.425551018,32.83841486,9.17E-05,107283975,sarcalumenin
10.63139756,12.08100833,12.57279828,7.642809576,56.9397107,2.80E-07,107301474,sushi nidogen and EGF-like domain-containing protein 1
10.57434662,2.011590035,5.475851508,2.506266964,16.41636352,0.000382071,107289965,EPH receptor A1
10.54659554,10.54659554,6.57068521,2.15973362,18.07846185,0.000726013,107297176,transmembrane protein 182-like
10.52506739,3.420822167,8.015364665,4.618262056,21.10410935,4.99E-05,107283584,serpin peptidase inhibitor clade B (ovalbumin) member 5
10.44762048,3.17228255,5.922239063,2.210301846,11.23989242,0.00164692,107287636,iroquois homeobox 1
10.3527475,6.753198506,4.241881823,2.055433207,13.45422219,0.000835305,107299689,parathyroid hormone-related protein-like
10.23602931,10.23602931,7.204457578,1.866150757,35.96629074,6.62E-05,107299459,boophilin-G2-like
10.18226792,1.932308906,1.702048767,2.412017716,24.23897696,7.62E-05,107295735,breast cancer anti-estrogen resistance 3
10.1542262,8.984878568,0.80350189,5.60906193,35.39288094,3.60E-06,107287870,cardiomyopathy associated 5
10.14821724,7.199542927,-3.230881619,5.050365103,28.04358564,4.08E-05,107288944,tripartite motif containing 55
10.14792589,3.73731126,6.777261358,7.835021011,14.00225421,0.000344239,107302459,tumor-associated calcium signal transducer 2
10.14719611,5.375669898,4.560790732,1.863867008,48.48216611,3.54E-06,107282959,sclerostin domain containing 1
10.13497705,-2.079127733,5.046187598,4.068129171,10.43744963,0.002159966,107285400,forkhead box I1
10.12234006,1.416537858,6.164161973,2.192868613,10.7001746,0.00197318,107300765,ST6 (alpha-N-acetyl-neuraminyl-23-beta-galactosyl-13)-N-acetylgalactosaminide alpha-26-sialyltransferase 1
10.04157837,5.454659004,2.769003195,1.891014939,6.702877986,0.009737109,107300416,parathyroid hormone-like hormone
10.01654211,4.959649039,6.102453903,1.72521311,13.33907432,0.000863398,107289500,dishevelled-binding antagonist of beta-catenin 2
9.991443616,6.140041152,0.48529187,2.355970238,18.54156728,0.000233371,107293558,cAMP regulated phosphoprotein 21kDa
9.985784182,7.776427608,6.583077838,3.974953516,36.27620051,3.16E-06,107302624,actinin alpha 3
9.979013185,5.687601826,7.648295566,6.269226953,8.52440961,0.002786949,107295677,solute carrier family 30 (zinc transporter) member 2
9.962271458,3.320576063,4.337588778,1.788659385,11.80336913,0.00137307,107296405,cadherin 26
9.922014939,0.24102184,3.44328468,2.456560637,5.613005648,0.016745458,107302787,proprotein convertase subtilisin/kexin type 1
9.908149771,8.27379101,4.917756234,5.292894236,10.40915085,0.001245412,107285910,beta-14-N-acetyl-galactosaminyltransferase 3
9.873465569,8.183125466,6.841886308,1.533498312,35.80282778,1.40E-05,107297510,tripartite motif-containing protein 72-like
9.86646545,2.569182888,8.727540447,4.06169983,33.54680862,4.77E-06,107297975,synaptotagmin 8
9.831405776,4.614472882,2.649238789,1.723842778,24.09049231,7.82E-05,107303030,ras-related protein Rab-39B-like
9.777678261,7.371324464,7.566074139,1.444222183,49.09427964,3.37E-06,107294355,tubulin alpha-8 chain
9.776832541,9.776832541,9.776832541,1.431386851,22.73689631,0.00133943,107282263,mucin-16-like
9.764971885,7.347058964,5.048568152,1.463236634,37.43446239,1.14E-05,107289972,chloride voltage-gated channel 1
9.76318094,2.050208834,7.938128528,4.044799639,18.3971899,9.69E-05,107296514,uncharacterized LOC107296514
9.745131274,5.375108316,4.630340433,1.485356841,10.39204777,0.002194364,107285201,protein S100-A2-like
9.739061466,-0.017339098,7.307573567,5.555036404,24.90581368,2.19E-05,107289610,E74 like ETS transcription factor 5
9.736973481,13.95380154,5.947294077,5.50425252,31.89016935,2.33E-05,107299541,myozenin 1
9.730950734,8.040217631,6.151749258,1.406183844,20.47057173,0.000155163,107302873,uncharacterized LOC107302873
9.726832027,7.282046535,-0.632051679,2.640285812,17.28536299,0.00031044,107294956,single-pass membrane protein with coiled-coil domains 1
9.683354152,2.738034862,3.291653589,1.635177346,18.16972599,0.000253503,107287872,homer scaffolding protein 1
9.653701444,9.068974661,-0.681814525,7.733715738,35.5966902,3.49E-06,107293045,taxilin beta
9.628995166,2.426326532,4.681831866,1.570813414,7.756933227,0.006064564,107286366,stromelysin-1-like
9.62593875,11.4455901,9.101809455,5.368787209,45.29343768,9.70E-07,107295828,protein phosphatase 1 regulatory subunit 27
9.621847592,12.18656171,7.563571675,9.820709301,29.75031584,8.89E-06,107286053,nebulin
9.612682994,9.612682994,4.515797987,1.332260402,19.87009049,0.000528134,107285788,T-box 15
9.610337035,2.294136195,-0.372842217,2.497689954,3.498981441,0.05871901,107293038,uncharacterized LOC107293038
9.588150664,3.847513287,5.046094627,1.392106678,9.763644712,0.00274549,107299733,solute carrier family 34 (type II sodium/phosphate cotransporter) member 2
9.55767264,3.282180905,2.947463898,1.503811245,6.889804448,0.008922806,107300302,tumor necrosis factor receptor superfamily member 6B-like
9.539757635,0.906149622,-1.555106507,3.244437922,3.733424034,0.050270488,107301449,elongation factor 1-alpha 2-like
9.529331464,7.649545102,2.313452838,3.755310465,21.48121598,4.58E-05,107293711,transglutaminase 4
9.430576698,4.703435279,4.911194298,1.202519045,30.35766763,2.89E-05,107289106,transmembrane and coiled-coil domain family 2
9.425670035,3.608869294,4.034140423,1.273944066,9.111285151,0.00350395,107302472,plasma membrane calcium-transporting ATPase 2-like
9.312952068,1.851202583,5.745673201,1.339208316,11.39867472,0.001563576,107286893,ATPase phospholipid transporting 10B (putative)
9.280201112,3.231213326,6.223880962,1.133254728,12.75526129,0.001024657,107296675,ras homolog family member D
9.27589212,1.939417609,7.091731016,1.272642116,7.811109859,0.005925755,107292581,solute carrier family 7 (amino acid transporter light chain bo+ system) member 9
9.275758072,9.275758072,7.075795612,0.982758698,14.7258052,0.001427385,107292227,uncharacterized LOC107292227
9.269529336,3.632156671,-1.885354301,5.473185772,21.81244737,4.24E-05,107282606,sarcoglycan alpha
9.26948177,6.089682338,9.472985525,3.264460641,41.10807768,1.63E-06,107298470,mucin-5AC-like
9.26757404,2.487195385,2.3092566,1.371814454,5.950791686,0.014065122,107288122,protein tyrosine phosphatase receptor type N
9.266979132,3.354767299,-1.100044072,4.913120317,44.48042198,1.07E-06,107300912,eukaryotic translation elongation factor 1 alpha 2
9.258351346,3.60016617,-3.866853447,4.753856681,34.66447161,1.61E-05,107284944,A-kinase anchoring protein 6
9.251584743,8.923751213,5.505772039,7.548029751,14.52997336,0.000291192,107292794,keratin type II cytoskeletal 5-like
9.177481034,2.431230118,7.317681586,5.176867284,22.77227395,3.43E-05,107292463,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1-like
9.177443451,2.7297102,4.074355198,1.14487554,9.775813485,0.002733334,107293976,scavenger receptor class A member 5-like
9.176497028,8.664393414,-2.503528165,5.859837982,46.26043245,8.66E-07,107286447,tripartite motif containing 54
9.144028972,9.144028972,5.553763119,0.894038674,23.76144235,0.000286195,107287806,SH3 and cysteine rich domain 3
9.094728872,6.078223303,-0.791569971,4.506466532,24.26796492,2.50E-05,107297187,ankyrin repeat and SOCS box containing 14
9.079185067,12.89138089,-0.084684831,5.459705413,18.77811776,0.000221563,107302461,triadin-like
9.072452768,0.942367969,2.146007752,1.516368199,6.60284376,0.01020951,107287249,formin 1
9.072157439,11.6281061,8.534719213,4.817790604,53.94514564,3.76E-07,107300672,pulmonary surfactant-associated protein D-like
9.053453248,3.666783509,5.482896394,0.906473396,17.40109099,0.000302171,107285489,echinoderm microtubule-associated protein-like 6
9.033751714,11.44613127,0.215855268,3.880385244,24.99245002,6.69E-05,107302462,FK506-binding protein 4-like
9.022939312,9.759567383,1.84540588,3.342182262,44.32180419,1.09E-06,107285997,obscurin cytoskeletal calmodulin and titin-interacting RhoGEF
9.017749539,7.377934572,3.380501128,0.874473192,13.47057559,0.000831405,107300818,uncharacterized protein PB18E9.04c-like
9.00639709,9.00639709,9.00639709,0.739358505,34.03305977,0.000456347,107300423,nebulin-like
9.005650251,1.405705205,3.427939133,1.240934087,6.790785369,0.009343508,107288409,tumor necrosis factor receptor superfamily member 19
8.995740279,3.326325195,6.78307535,0.871657704,23.49819947,8.70E-05,107283144,glucosaminyl (N-acetyl) transferase 3 mucin type
8.946980978,0.797614459,4.768664869,5.38098292,11.86248711,0.000715567,107282202,cytochrome b561
8.939038474,6.500024582,6.726074267,0.707977858,25.11661639,6.55E-05,107300425,uncharacterized LOC107300425
8.933480778,7.29110741,-0.133061865,1.614177216,4.962524192,0.023859082,107297210,forkhead box protein E1-like
8.928953874,8.928953874,-0.438855016,1.76220647,22.17544305,0.00036316,107292157,kelch like family member 31
8.923661335,3.907290094,-0.620888982,1.892780809,37.6096755,1.10E-05,107286430,smoothelin-like 2
8.92217052,8.92217052,0.54496379,1.316989073,11.80105026,0.002886208,107300595,thrombospondin 4
8.902285741,-1.307603461,3.803046026,2.318248896,11.47610481,0.001524779,107287088,breast carcinoma-amplified sequence 1-like
8.898421868,1.584891509,2.62996249,1.147323326,25.69604289,5.81E-05,107284252,phosphatidylinositol specific phospholipase C X domain containing 1
8.894824409,7.202628804,1.945182364,0.930101975,16.67728498,0.000358647,107298220,sodium/potassium-transporting ATPase subunit alpha-2
8.871485283,7.127548928,6.248035523,2.894984804,34.87040333,3.89E-06,107287716,ribosomal protein L3 like
8.860060259,6.161993194,5.42534658,8.069078039,17.62642126,0.000118797,107283645,collagen type I alpha 2
8.855021013,3.589035138,3.030507893,0.859206964,5.443757433,0.018317683,107297592,sparc/osteonectin cwcv and kazal-like domains proteoglycan (testican) 1
8.842289668,8.842289668,6.642241536,0.617952248,36.25414325,6.43E-05,107287897,dual specificity phosphatase DUPD1-like
8.829819319,0.352513649,7.769372404,7.265011167,12.11689573,0.000652744,107289611,ETS homologous factor
8.829560271,1.241841369,4.590528064,1.079244479,9.706800893,0.002803141,107290814,p21 protein (Cdc42/Rac)-activated kinase 6
8.820718182,7.221195304,4.272509208,2.904430547,12.21593078,0.000630048,107302639,monooxygenase DBH-like 1
8.80432713,0.283977409,1.641606221,1.534147553,9.334337417,0.00321916,107286654,HID1 domain containing
8.8030877,4.729522537,2.608391013,0.802178655,9.969633526,0.002548184,107294817,hyaluronan synthase 2
8.784398249,8.784398249,1.029989112,1.028013602,16.9803517,0.000894548,107301364,voltage-dependent L-type calcium channel subunit alpha-1S-like
8.784231114,5.74007131,2.379865163,3.037311588,16.69376568,0.000153459,107283159,collagen alpha-1(XI) chain-like
8.781896245,1.920814522,3.665150444,0.925153896,6.389039429,0.011314842,107282585,distal-less homeobox 4
8.757160056,8.757160056,0.990063317,1.017488989,12.45071809,0.002440444,107290398,MSS51 mitochondrial translational activator
8.72806253,5.470759846,-1.060377347,1.944349023,5.217741601,0.020702772,107294062,dual oxidase 2
8.710579302,5.12222806,4.453160706,0.590158697,15.73985665,0.000451944,107294122,tumor necrosis factor superfamily member 15
8.708252221,2.165010563,4.180670088,0.789775223,13.6936611,0.000780331,107295634,cancer susceptibility candidate 1
8.647278961,4.400662979,-0.505460134,1.561546831,12.10513866,0.001249016,107294097,dual specificity phosphatase 14
8.64642894,4.143268009,8.64642894,0.522041762,15.00529808,0.001342824,107288701,NACHT LRR and PYD domains-containing protein 12-like
8.645886742,-0.718642725,5.058409266,1.695488879,7.108622108,0.008071119,107300890,stimulated by retinoic acid gene 6 protein homolog
8.630876204,4.594984272,5.031342775,3.563319989,8.517051672,0.002796352,107282634,Sp6 transcription factor
8.608048166,8.608048166,1.139206431,0.837245691,14.17251861,0.001615491,107302466,uncharacterized LOC107302466
8.600443624,8.600443624,4.638834524,0.446935695,23.24163531,0.000308937,107298771,tyrosine-protein kinase Srms-like
8.577486913,5.392886906,5.12372633,7.812977306,13.67763177,0.000382485,107284752,5'-nucleotidase ecto
8.568128655,6.119264836,5.766017606,8.265773756,13.59502957,0.000392996,107282605,collagen type I alpha 1
8.563993321,1.825201313,5.157588799,4.315759255,25.70680784,1.87E-05,107288294,absent in melanoma 1
8.556053854,2.186101586,2.376893324,0.767340987,5.95270177,0.014051496,107300881,SEL1L family member 3
8.549981318,6.170012635,-1.728886053,2.231443927,15.69796646,0.000456756,107284119,F-box protein 40
8.545518278,6.359787024,5.441732992,3.968444224,9.723189714,0.001648982,107285203,vegetative cell wall protein gp1-like
8.543831932,2.291343265,5.486035806,0.615984419,7.950970172,0.005584692,107284436,aquaporin-3-like
8.542384773,1.795580172,6.329313856,0.652408499,6.509336782,0.010676189,107287686,lysophosphatidylcholine acyltransferase 2-like
8.536532768,-2.376530549,4.971104982,2.743046733,7.688974263,0.006244256,107291171,potassium voltage-gated channel subfamily J member 1
8.520814112,-0.168987869,7.139611295,5.906806208,14.65085603,0.000280425,107285747,calbindin 1
8.515311311,2.151457131,0.532930845,1.110068916,12.06047022,0.001266501,107302951,early B-cell factor 1
8.511917555,5.247434797,2.417602271,0.546018879,14.91752686,0.000558798,107289718,pappalysin 2
8.511049039,6.141455621,8.511049039,0.328952803,20.28686498,0.000492216,107290364,aquaporin 4
8.487102878,9.164778505,-1.84133718,6.41706451,20.86193528,5.28E-05,107302384,SET and MYND domain containing 1
8.481364318,7.235908396,5.336653954,8.165067411,22.75000972,3.45E-05,107303094,keratin type I cytoskeletal 19-like
8.48130119,8.860136766,0.964138121,3.908750284,27.17826419,1.41E-05,107289931,glycogen phosphorylase muscle form-like
8.47941334,8.47941334,2.097838975,0.535501222,11.80822232,0.002880753,107296288,tripartite motif containing 72 E3 ubiquitin protein ligase
8.47770558,7.954111015,2.708240386,2.691061848,13.81404215,0.000365838,107282193,serine-rich adhesin for platelets-like
8.452894356,10.87658469,0.484937229,3.205855423,27.25408289,4.61E-05,107284368,hedgehog acyltransferase-like
8.448013172,5.47508937,4.913530134,0.320750507,13.31696659,0.000868921,107299082,actin-binding Rho-activating protein-like
8.434262567,-2.278285709,4.476986417,2.57022671,10.92627623,0.001827811,107294285,myosin binding protein H
8.421896323,7.702581698,-3.246706772,6.619848838,40.62802907,1.74E-06,107291996,dual specificity phosphatase 26 (putative)
8.382312996,8.328532745,6.533894483,4.718467144,20.63901407,5.56E-05,107289897,stratifin
8.364645417,4.781101772,2.700256181,2.602142878,31.08490069,7.09E-06,107288965,E3 ubiquitin-protein ligase TRIM58-like
8.358541473,8.358541473,-4.089513723,4.060325797,14.82351721,0.001397081,107287384,cholinergic receptor nicotinic alpha 1 subunit
8.355412308,4.739453712,0.764381829,0.769756458,7.74149431,0.006104835,107295000,unc-5 netrin receptor B
8.347144934,-1.140135901,0.62988333,1.898399641,4.061572975,0.040753925,107289305,doublesex and mab-3 related transcription factor 2
8.332054778,2.197149314,3.381020973,0.488719873,4.317373666,0.034803592,107300347,coiled-coil domain-containing protein 189-like
8.325711275,3.721811723,4.279001114,2.509321952,25.60738942,1.91E-05,107294053,ectonucleoside triphosphate diphosphohydrolase 3
8.310993453,5.941337393,2.440956316,0.350768193,18.12416812,0.000256111,107287954,ankyrin repeat domain 23
8.309552809,1.153462503,2.395976388,0.751655812,5.846028234,0.014837359,107297315,cell adhesion molecule L1 like
8.298331739,0.731330005,2.271650725,0.870363617,3.1806961,0.07306627,107284177,LIM domain only 1
8.29741873,5.259576907,-0.299159554,6.844727822,23.43490843,2.98E-05,107289010,myotilin
8.265568978,-0.019149211,0.193187302,1.429742338,4.739591255,0.027098253,107292172,FRAS1-related extracellular matrix protein 2-like
8.248727135,6.570029722,1.1014924,0.535047041,3.859267124,0.046336023,107298237,mambalgin-1-like
8.247485184,0.703655967,6.268511664,3.772584177,21.56179982,4.49E-05,107283103,transmembrane protein 238
8.236181676,10.83671641,9.011553109,5.646702672,20.51168806,5.74E-05,107295018,uroplakin-3b-like
8.219206342,6.915801014,2.733801393,4.472814919,22.43215458,3.70E-05,107295757,calpain 3
8.171704147,4.134592626,-1.430140617,6.110320621,16.42212541,0.000165692,107284518,heat shock protein family B (small) member 2
8.164882856,7.37483224,6.595844331,8.826717092,22.04445465,4.03E-05,107302977,phospholipase B domain containing 1
8.160420455,1.567707896,1.303494162,2.949712203,10.91758427,0.001019856,107290509,sulfatase 1
8.155418107,1.726552354,8.155418107,0.34175872,8.597063391,0.007484424,107302146,beta-13-galactosyltransferase 5-like
8.152734092,3.614262966,1.146913534,0.512178746,14.47369456,0.00062909,107297838,pannexin 1
8.152539184,2.880817526,8.152539184,0.196947461,6.990406375,0.013399294,107300588,uncharacterized LOC107300588
8.148232246,3.865595554,5.207439288,3.128324215,8.252260665,0.003160758,107295614,brefeldin A-inhibited guanine nucleotide-exchange protein 3-like
8.133490713,4.094972811,2.224636426,0.296788305,6.282945514,0.0119165,107302777,HHIP like 2
8.12345012,2.948908114,-1.298993685,1.568566803,16.83809183,0.000345071,107293332,sarcoglycan delta
8.114241585,9.310512679,4.512462007,4.48889674,22.75214915,3.45E-05,107297454,interleukin-36 alpha-like
