Orthogroup	C_familiaris.pep	X_tropicalis.pep
OG0000006	ENSCAFG00000030568.2, ENSCAFG00000029058.2, ENSCAFG00000048255.1, ENSCAFG00000045193.1	ENSXETG00000006700.1
OG0000006	ENSCAFG00000029432.2, ENSCAFG00000049733.1	ENSXETG00000009141.1
OG0000008	ENSCAFG00000046411.1	ENSXETG00000015698.1, ENSXETG00000016218.1, ENSXETG00000016244.1, ENSXETG00000015715.1, ENSXETG00000016286.1, ENSXETG00000016187.1, ENSXETG00000016029.1, ENSXETG00000015725.1, ENSXETG00000004077.1, ENSXETG00000004085.1, ENSXETG00000004783.1, ENSXETG00000002937.1, ENSXETG00000009231.1, ENSXETG00000014480.1, ENSXETG00000000107.1, ENSXETG00000000090.1, ENSXETG00000000610.1, ENSXETG00000015778.1, ENSXETG00000014388.1, ENSXETG00000009239.1, ENSXETG00000002804.1, ENSXETG00000002898.1, ENSXETG00000004726.1
OG0000008	ENSCAFG00000012332.2	ENSXETG00000001657.1, ENSXETG00000001664.1
OG0000008	ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1	ENSXETG00000004749.1
OG0000008	ENSCAFG00000029759.1	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1
OG0000009	ENSCAFG00000007996.4, ENSCAFG00000007993.2, ENSCAFG00000041303.1, ENSCAFG00000043344.1	ENSXETG00000002126.1
OG0000009	ENSCAFG00000011043.4	ENSXETG00000002349.1, ENSXETG00000002345.1, ENSXETG00000002352.1, ENSXETG00000010384.1
OG0000009	ENSCAFG00000008020.3, ENSCAFG00000008025.4	ENSXETG00000002333.1
OG0000009	ENSCAFG00000008097.3	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1
OG0000010	ENSCAFG00000029445.1, ENSCAFG00000030731.2	ENSXETG00000020462.1
OG0000010	ENSCAFG00000049029.1	ENSXETG00000016136.1
OG0000010	ENSCAFG00000030570.1, ENSCAFG00000029200.2, ENSCAFG00000043731.1, ENSCAFG00000044000.1, ENSCAFG00000045051.1, ENSCAFG00000044027.1, ENSCAFG00000031494.1, ENSCAFG00000049795.1, ENSCAFG00000045037.1, ENSCAFG00000042780.1, ENSCAFG00000028672.1	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1
OG0000014	ENSCAFG00000016119.5	ENSXETG00000001142.1
OG0000014	ENSCAFG00000041871.1	ENSXETG00000005833.1, ENSXETG00000000591.1, ENSXETG00000016233.1
OG0000014	ENSCAFG00000040996.1, ENSCAFG00000049134.1, ENSCAFG00000043815.1, ENSCAFG00000048797.1, ENSCAFG00000045512.1, ENSCAFG00000042995.1, ENSCAFG00000045750.1, ENSCAFG00000048378.1	ENSXETG00000020403.1, ENSXETG00000002851.1
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1	ENSXETG00000004068.1
OG0000018	ENSCAFG00000012989.4	ENSXETG00000009489.1
OG0000018	ENSCAFG00000024275.3, ENSCAFG00000029451.2, ENSCAFG00000029066.1	ENSXETG00000016155.1
OG0000018	ENSCAFG00000030825.1	ENSXETG00000001455.1
OG0000018	ENSCAFG00000030696.1	ENSXETG00000009538.1
OG0000020	ENSCAFG00000046928.1	ENSXETG00000015201.1
OG0000021	ENSCAFG00000017575.4, ENSCAFG00000030337.3, ENSCAFG00000017522.4, ENSCAFG00000042770.1, ENSCAFG00000017460.5	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1
OG0000021	ENSCAFG00000023094.3	ENSXETG00000004084.1
OG0000021	ENSCAFG00000007782.4	ENSXETG00000004298.1
OG0000021	ENSCAFG00000010154.4	ENSXETG00000006074.1
OG0000021	ENSCAFG00000011619.5	ENSXETG00000010941.1
OG0000023	ENSCAFG00000005679.3, ENSCAFG00000042671.1, ENSCAFG00000023739.3, ENSCAFG00000015460.4, ENSCAFG00000011456.3, ENSCAFG00000029808.2, ENSCAFG00000029148.1, ENSCAFG00000031594.1, ENSCAFG00000030249.1, ENSCAFG00000031974.1, ENSCAFG00000031533.1, ENSCAFG00000041125.1, ENSCAFG00000030533.2, ENSCAFG00000045423.1, ENSCAFG00000030818.1, ENSCAFG00000032250.2, ENSCAFG00000025368.3	ENSXETG00000015184.1
OG0000025	ENSCAFG00000000806.4, ENSCAFG00000000814.4, ENSCAFG00000000900.4	ENSXETG00000008190.1
OG0000027	ENSCAFG00000008661.4	ENSXETG00000012120.1
OG0000027	ENSCAFG00000008640.4, ENSCAFG00000015217.3	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1
OG0000027	ENSCAFG00000005248.4	ENSXETG00000017890.1, ENSXETG00000020471.1
OG0000027	ENSCAFG00000010412.4	ENSXETG00000012204.1, ENSXETG00000008972.1
OG0000027	ENSCAFG00000015209.4	ENSXETG00000003471.1
OG0000028	ENSCAFG00000029582.3, ENSCAFG00000028453.3, ENSCAFG00000042932.1, ENSCAFG00000050021.1, ENSCAFG00000047890.1, ENSCAFG00000030509.2, ENSCAFG00000024425.3	ENSXETG00000011785.1
OG0000029	ENSCAFG00000025322.3	ENSXETG00000002038.1
OG0000029	ENSCAFG00000005908.4	ENSXETG00000003326.1
OG0000032	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1, ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1, ENSCAFG00000006303.3, ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1, ENSCAFG00000009495.3, ENSCAFG00000043356.1, ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4, ENSCAFG00000029875.1, ENSCAFG00000044831.1, ENSCAFG00000032546.1, ENSCAFG00000046509.1, ENSCAFG00000010795.3, ENSCAFG00000006304.4, ENSCAFG00000049942.1, ENSCAFG00000044223.1	ENSXETG00000001411.1
OG0000033	ENSCAFG00000032056.2, ENSCAFG00000006276.4, ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1, ENSCAFG00000031681.2, ENSCAFG00000029703.1, ENSCAFG00000029246.1, ENSCAFG00000047997.1, ENSCAFG00000042183.1, ENSCAFG00000006328.3, ENSCAFG00000024431.2, ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2, ENSCAFG00000031226.2, ENSCAFG00000029020.2, ENSCAFG00000006016.4, ENSCAFG00000029611.1, ENSCAFG00000024586.1, ENSCAFG00000047088.1, ENSCAFG00000049488.1, ENSCAFG00000041929.1, ENSCAFG00000044138.1, ENSCAFG00000041265.1, ENSCAFG00000006366.3, ENSCAFG00000006226.4	ENSXETG00000015963.1
OG0000034	ENSCAFG00000000443.4, ENSCAFG00000042737.1	ENSXETG00000003987.1
OG0000034	ENSCAFG00000019460.4	ENSXETG00000001110.1
OG0000034	ENSCAFG00000009337.4, ENSCAFG00000042390.1	ENSXETG00000014970.1
OG0000034	ENSCAFG00000018634.4	ENSXETG00000012328.1
OG0000039	ENSCAFG00000024302.1, ENSCAFG00000024740.3, ENSCAFG00000013384.1, ENSCAFG00000013378.2, ENSCAFG00000048463.1, ENSCAFG00000024377.1, ENSCAFG00000013381.2	ENSXETG00000011586.1, ENSXETG00000011578.1
OG0000042	ENSCAFG00000049483.1, ENSCAFG00000046241.1	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1
OG0000045	ENSCAFG00000024541.1	ENSXETG00000005669.1, ENSXETG00000005928.1
OG0000050	ENSCAFG00000000742.3	ENSXETG00000021048.1
OG0000051	ENSCAFG00000011130.5, ENSCAFG00000005058.5, ENSCAFG00000010864.5	ENSXETG00000019147.1, ENSXETG00000018833.1
OG0000051	ENSCAFG00000012146.5	ENSXETG00000002390.1
OG0000051	ENSCAFG00000005051.5	ENSXETG00000001983.1
OG0000051	ENSCAFG00000007600.4	ENSXETG00000019242.1
OG0000052	ENSCAFG00000025546.3, ENSCAFG00000011096.4, ENSCAFG00000048140.1, ENSCAFG00000043519.1, ENSCAFG00000047752.1	ENSXETG00000014881.1, ENSXETG00000014892.1
OG0000055	ENSCAFG00000019773.4	ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1
OG0000056	ENSCAFG00000023033.4, ENSCAFG00000045181.1	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1
OG0000059	ENSCAFG00000005734.5	ENSXETG00000002612.1
OG0000059	ENSCAFG00000010442.5	ENSXETG00000012167.1, ENSXETG00000014392.1, ENSXETG00000018409.1, ENSXETG00000021252.1, ENSXETG00000016356.1
OG0000061	ENSCAFG00000013596.4, ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1
OG0000062	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2	ENSXETG00000020477.1, ENSXETG00000021248.1
OG0000065	ENSCAFG00000017661.3	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1
OG0000065	ENSCAFG00000023610.3, ENSCAFG00000017675.5, ENSCAFG00000017646.4	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1
OG0000069	ENSCAFG00000000063.4	ENSXETG00000010603.1
OG0000069	ENSCAFG00000023161.2	ENSXETG00000016879.1, ENSXETG00000016859.1, ENSXETG00000012063.1, ENSXETG00000016886.1, ENSXETG00000016817.1, ENSXETG00000012062.1
OG0000072	ENSCAFG00000015418.4, ENSCAFG00000024439.3	ENSXETG00000016641.1
OG0000072	ENSCAFG00000029947.2, ENSCAFG00000013724.3	ENSXETG00000017539.1
OG0000072	ENSCAFG00000025146.3, ENSCAFG00000014367.4, ENSCAFG00000025291.4, ENSCAFG00000043861.1, ENSCAFG00000015226.5	ENSXETG00000001264.1, ENSXETG00000001222.1
OG0000073	ENSCAFG00000000641.4, ENSCAFG00000000639.3	ENSXETG00000013236.1, ENSXETG00000014295.1
OG0000073	ENSCAFG00000001886.2, ENSCAFG00000011666.4	ENSXETG00000018563.1
OG0000073	ENSCAFG00000016031.2	ENSXETG00000000353.1
OG0000074	ENSCAFG00000002880.4	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1
OG0000074	ENSCAFG00000003818.4	ENSXETG00000005506.1
OG0000076	ENSCAFG00000014977.4, ENSCAFG00000045242.1, ENSCAFG00000024337.3, ENSCAFG00000031023.2, ENSCAFG00000048830.1	ENSXETG00000014707.1, ENSXETG00000003785.1, ENSXETG00000003794.1, ENSXETG00000014671.1, ENSXETG00000014682.1, ENSXETG00000014726.1, ENSXETG00000003774.1, ENSXETG00000014635.1
OG0000079	ENSCAFG00000042586.1, ENSCAFG00000043031.1, ENSCAFG00000031359.2, ENSCAFG00000049082.1, ENSCAFG00000003812.4, ENSCAFG00000045360.1	ENSXETG00000019724.1, ENSXETG00000018500.1
OG0000081	ENSCAFG00000007774.4	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1
OG0000081	ENSCAFG00000016301.5	ENSXETG00000004100.1
OG0000081	ENSCAFG00000014733.4	ENSXETG00000005580.1, ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1
OG0000083	ENSCAFG00000018167.4, ENSCAFG00000018164.4, ENSCAFG00000018169.4	ENSXETG00000006371.1, ENSXETG00000006376.1
OG0000085	ENSCAFG00000006062.5	ENSXETG00000001562.1
OG0000085	ENSCAFG00000018020.5	ENSXETG00000009001.1
OG0000085	ENSCAFG00000018016.5	ENSXETG00000008608.1
