Orthogroup	C_familiaris.pep	G_gallus.pep
OG0000021	ENSCAFG00000017575.4, ENSCAFG00000030337.3, ENSCAFG00000017522.4, ENSCAFG00000042770.1	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4
OG0000021	ENSCAFG00000017460.5	ENSGALG00000029660.2
OG0000021	ENSCAFG00000007782.4	ENSGALG00000030985.2
OG0000021	ENSCAFG00000010154.4	ENSGALG00000015358.7
OG0000023	ENSCAFG00000005679.3, ENSCAFG00000042671.1, ENSCAFG00000023739.3, ENSCAFG00000015460.4, ENSCAFG00000011456.3, ENSCAFG00000029808.2, ENSCAFG00000029148.1, ENSCAFG00000031594.1, ENSCAFG00000030249.1, ENSCAFG00000031974.1, ENSCAFG00000031533.1, ENSCAFG00000041125.1, ENSCAFG00000030533.2, ENSCAFG00000045423.1, ENSCAFG00000030818.1, ENSCAFG00000032250.2, ENSCAFG00000025368.3	ENSGALG00000054820.1
OG0000025	ENSCAFG00000000806.4, ENSCAFG00000000814.4, ENSCAFG00000000900.4	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7
OG0000026	ENSCAFG00000024617.2, ENSCAFG00000043743.1, ENSCAFG00000041019.1, ENSCAFG00000024614.3, ENSCAFG00000006106.4, ENSCAFG00000030815.2	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1
OG0000027	ENSCAFG00000008661.4, ENSCAFG00000031767.2, ENSCAFG00000015086.4	ENSGALG00000006241.5
OG0000027	ENSCAFG00000008640.4	ENSGALG00000052192.1
OG0000027	ENSCAFG00000005248.4	ENSGALG00000008444.6
OG0000027	ENSCAFG00000010412.4	ENSGALG00000013045.6, ENSGALG00000013056.6
OG0000027	ENSCAFG00000015209.4	ENSGALG00000000433.7, ENSGALG00000011324.6
OG0000029	ENSCAFG00000025322.3	ENSGALG00000032672.3
OG0000032	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1, ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1, ENSCAFG00000006303.3, ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1, ENSCAFG00000009495.3, ENSCAFG00000043356.1, ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4, ENSCAFG00000029875.1, ENSCAFG00000044831.1, ENSCAFG00000032546.1, ENSCAFG00000046509.1, ENSCAFG00000010795.3, ENSCAFG00000006304.4, ENSCAFG00000049942.1, ENSCAFG00000044223.1	ENSGALG00000037290.2
OG0000033	ENSCAFG00000031226.2, ENSCAFG00000029020.2, ENSCAFG00000006016.4, ENSCAFG00000029611.1, ENSCAFG00000024586.1, ENSCAFG00000047088.1, ENSCAFG00000049488.1, ENSCAFG00000041929.1, ENSCAFG00000044138.1, ENSCAFG00000041265.1, ENSCAFG00000006366.3, ENSCAFG00000006226.4	ENSGALG00000017341.7, ENSGALG00000017342.5
OG0000034	ENSCAFG00000000443.4, ENSCAFG00000042737.1	ENSGALG00000041471.2
OG0000034	ENSCAFG00000019460.4	ENSGALG00000008586.5
OG0000034	ENSCAFG00000042390.1	ENSGALG00000054420.1
OG0000042	ENSCAFG00000049483.1, ENSCAFG00000046241.1	ENSGALG00000028565.3, ENSGALG00000052936.1
OG0000050	ENSCAFG00000000742.3	ENSGALG00000011622.4
OG0000051	ENSCAFG00000011130.5	ENSGALG00000011009.6
OG0000051	ENSCAFG00000005058.5	ENSGALG00000010943.7
OG0000051	ENSCAFG00000010864.5	ENSGALG00000011040.6
OG0000051	ENSCAFG00000011438.5	ENSGALG00000027793.3
OG0000051	ENSCAFG00000012146.5	ENSGALG00000034427.2
OG0000051	ENSCAFG00000005051.5	ENSGALG00000027702.3, ENSGALG00000006072.8, ENSGALG00000006112.6
OG0000051	ENSCAFG00000007600.4	ENSGALG00000043728.2
OG0000055	ENSCAFG00000019773.4	ENSGALG00000041229.2
OG0000056	ENSCAFG00000023033.4, ENSCAFG00000045181.1	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2
OG0000059	ENSCAFG00000005734.5	ENSGALG00000028749.4
OG0000059	ENSCAFG00000010442.5	ENSGALG00000009844.7, ENSGALG00000011086.6, ENSGALG00000040415.2, ENSGALG00000006343.6
OG0000061	ENSCAFG00000013596.4	ENSGALG00000049665.1
OG0000061	ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2	ENSGALG00000045540.2, ENSGALG00000042611.3, ENSGALG00000050315.1, ENSGALG00000053510.1, ENSGALG00000042449.2, ENSGALG00000042684.2, ENSGALG00000044598.2, ENSGALG00000047623.1, ENSGALG00000044630.2, ENSGALG00000050091.1, ENSGALG00000044569.2, ENSGALG00000047794.1, ENSGALG00000052376.1, ENSGALG00000051297.1, ENSGALG00000042023.3, ENSGALG00000051677.1, ENSGALG00000028659.2
OG0000062	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2	ENSGALG00000002931.6
OG0000063	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1, ENSCAFG00000048456.1	ENSGALG00000015062.5
OG0000065	ENSCAFG00000017661.3	ENSGALG00000010969.6
OG0000065	ENSCAFG00000023610.3, ENSCAFG00000017675.5, ENSCAFG00000017646.4	ENSGALG00000046409.2, ENSGALG00000020390.5, ENSGALG00000020388.5, ENSGALG00000023070.3
OG0000069	ENSCAFG00000000063.4	ENSGALG00000034988.3
OG0000069	ENSCAFG00000000148.4, ENSCAFG00000000143.4	ENSGALG00000034701.2, ENSGALG00000041909.2
OG0000072	ENSCAFG00000015418.4, ENSCAFG00000024439.3	ENSGALG00000048258.1
OG0000073	ENSCAFG00000001886.2, ENSCAFG00000011666.4	ENSGALG00000006512.6
OG0000074	ENSCAFG00000002880.4	ENSGALG00000046716.1, ENSGALG00000050594.1, ENSGALG00000048265.1, ENSGALG00000054335.1, ENSGALG00000047647.1, ENSGALG00000054324.1
OG0000074	ENSCAFG00000003818.4	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1
OG0000077	ENSCAFG00000002723.5, ENSCAFG00000032019.2, ENSCAFG00000010686.4	ENSGALG00000034124.3
OG0000077	ENSCAFG00000024796.3	ENSGALG00000006904.6
OG0000079	ENSCAFG00000042586.1, ENSCAFG00000043031.1, ENSCAFG00000031359.2, ENSCAFG00000049082.1, ENSCAFG00000003812.4, ENSCAFG00000045360.1	ENSGALG00000014750.7
OG0000081	ENSCAFG00000007774.4	ENSGALG00000034825.2
OG0000081	ENSCAFG00000016301.5	ENSGALG00000039406.2
OG0000081	ENSCAFG00000014733.4	ENSGALG00000027189.3
OG0000083	ENSCAFG00000018167.4, ENSCAFG00000018164.4, ENSCAFG00000018169.4	ENSGALG00000034478.2
OG0000085	ENSCAFG00000006062.5	ENSGALG00000036798.3
OG0000085	ENSCAFG00000018020.5	ENSGALG00000008141.6
OG0000085	ENSCAFG00000018016.5	ENSGALG00000048179.1
OG0000085	ENSCAFG00000010423.5	ENSGALG00000004946.6
OG0000085	ENSCAFG00000010426.5	ENSGALG00000038612.2
OG0000086	ENSCAFG00000013249.4	ENSGALG00000005843.5
OG0000086	ENSCAFG00000041091.1	ENSGALG00000015917.7
OG0000087	ENSCAFG00000017262.4	ENSGALG00000001183.6
OG0000087	ENSCAFG00000018560.4	ENSGALG00000006520.7
OG0000087	ENSCAFG00000001630.4	ENSGALG00000043092.2
OG0000090	ENSCAFG00000020391.4	ENSGALG00000038923.2
OG0000091	ENSCAFG00000020200.6, ENSCAFG00000020204.5	ENSGALG00000050544.1, ENSGALG00000054648.1, ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6
OG0000092	ENSCAFG00000017311.5	ENSGALG00000013537.7
OG0000092	ENSCAFG00000002086.5	ENSGALG00000003521.7
OG0000093	ENSCAFG00000006121.5	ENSGALG00000030550.3
OG0000093	ENSCAFG00000009564.4	ENSGALG00000003601.6
OG0000093	ENSCAFG00000005076.5	ENSGALG00000030908.2
OG0000094	ENSCAFG00000016666.3, ENSCAFG00000016663.3, ENSCAFG00000007921.4	ENSGALG00000013838.6
OG0000095	ENSCAFG00000032631.2	ENSGALG00000007713.7
OG0000095	ENSCAFG00000004565.5, ENSCAFG00000028912.2, ENSCAFG00000044944.1, ENSCAFG00000024792.3	ENSGALG00000019755.4
OG0000099	ENSCAFG00000015936.4	ENSGALG00000005256.6
OG0000099	ENSCAFG00000003332.4	ENSGALG00000015593.6
OG0000099	ENSCAFG00000008741.4	ENSGALG00000015403.5
OG0000099	ENSCAFG00000023528.4	ENSGALG00000021567.5
OG0000099	ENSCAFG00000002714.5	ENSGALG00000011680.6
OG0000100	ENSCAFG00000009056.4, ENSCAFG00000024869.4	ENSGALG00000000357.7
OG0000101	ENSCAFG00000041354.1, ENSCAFG00000042554.1	ENSGALG00000035086.3
OG0000101	ENSCAFG00000013875.6	ENSGALG00000002907.7
OG0000101	ENSCAFG00000013728.4	ENSGALG00000000585.7
OG0000102	ENSCAFG00000009239.4, ENSCAFG00000009211.5, ENSCAFG00000003294.4, ENSCAFG00000043434.1, ENSCAFG00000007763.4, ENSCAFG00000007942.4	ENSGALG00000006300.7
OG0000102	ENSCAFG00000007002.1, ENSCAFG00000012195.5, ENSCAFG00000017824.2, ENSCAFG00000001098.2, ENSCAFG00000009620.3, ENSCAFG00000016636.4, ENSCAFG00000049593.1, ENSCAFG00000006066.4, ENSCAFG00000017236.2	ENSGALG00000035836.3
OG0000106	ENSCAFG00000049411.1, ENSCAFG00000040986.1, ENSCAFG00000005307.3, ENSCAFG00000017180.4, ENSCAFG00000006327.4, ENSCAFG00000002232.4, ENSCAFG00000006580.5	ENSGALG00000042011.3
OG0000106	ENSCAFG00000013497.4, ENSCAFG00000019198.3	ENSGALG00000009250.6
OG0000108	ENSCAFG00000014877.4, ENSCAFG00000014939.5, ENSCAFG00000014990.4	ENSGALG00000004449.5
OG0000110	ENSCAFG00000030472.2	ENSGALG00000027255.3
OG0000110	ENSCAFG00000002712.4	ENSGALG00000009107.6
OG0000111	ENSCAFG00000008668.4	ENSGALG00000011476.7
OG0000111	ENSCAFG00000006087.5, ENSCAFG00000001952.5	ENSGALG00000016811.6
OG0000111	ENSCAFG00000000906.4	ENSGALG00000034187.2
OG0000111	ENSCAFG00000018419.5	ENSGALG00000008633.7
OG0000112	ENSCAFG00000028888.3, ENSCAFG00000029376.2, ENSCAFG00000031254.2, ENSCAFG00000029232.3, ENSCAFG00000030088.2, ENSCAFG00000002857.5	ENSGALG00000011805.6
OG0000113	ENSCAFG00000031682.2	ENSGALG00000016328.7, ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6
OG0000113	ENSCAFG00000024066.3, ENSCAFG00000009164.4, ENSCAFG00000008721.3	ENSGALG00000016324.3
OG0000115	ENSCAFG00000016928.4, ENSCAFG00000016949.4, ENSCAFG00000023464.3	ENSGALG00000044760.2
OG0000115	ENSCAFG00000006948.4	ENSGALG00000005857.6
OG0000116	ENSCAFG00000015944.4, ENSCAFG00000031250.2	ENSGALG00000051754.1, ENSGALG00000003690.7
OG0000116	ENSCAFG00000016007.4	ENSGALG00000019718.6
OG0000119	ENSCAFG00000012914.5	ENSGALG00000001262.7
OG0000119	ENSCAFG00000009568.4	ENSGALG00000016020.7
OG0000119	ENSCAFG00000002016.5	ENSGALG00000016707.6
OG0000120	ENSCAFG00000010932.3, ENSCAFG00000031512.1, ENSCAFG00000024295.3, ENSCAFG00000010923.4, ENSCAFG00000043597.1	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2
OG0000126	ENSCAFG00000001462.4	ENSGALG00000012575.6
OG0000126	ENSCAFG00000001534.6	ENSGALG00000015184.6
OG0000126	ENSCAFG00000017589.6	ENSGALG00000008120.7
OG0000127	ENSCAFG00000004442.4	ENSGALG00000039048.2
OG0000127	ENSCAFG00000004429.4, ENSCAFG00000004444.4, ENSCAFG00000025209.3	ENSGALG00000044014.2, ENSGALG00000038657.3
OG0000129	ENSCAFG00000009280.5	ENSGALG00000037889.2
OG0000129	ENSCAFG00000018639.5	ENSGALG00000031284.2
OG0000129	ENSCAFG00000011524.5	ENSGALG00000031440.2
OG0000129	ENSCAFG00000001101.5	ENSGALG00000037423.2
OG0000130	ENSCAFG00000036179.2, ENSCAFG00000012794.4	ENSGALG00000002413.6
OG0000131	ENSCAFG00000011907.5	ENSGALG00000004394.6
OG0000131	ENSCAFG00000013587.4	ENSGALG00000041030.2
OG0000135	ENSCAFG00000025335.3, ENSCAFG00000046516.1, ENSCAFG00000015593.4, ENSCAFG00000031201.3, ENSCAFG00000030315.2, ENSCAFG00000025454.3, ENSCAFG00000029953.3, ENSCAFG00000025524.3, ENSCAFG00000042019.1	ENSGALG00000006152.6, ENSGALG00000025778.4, ENSGALG00000029485.2
OG0000136	ENSCAFG00000013171.4	ENSGALG00000016406.6
OG0000136	ENSCAFG00000000828.4	ENSGALG00000011473.6
OG0000136	ENSCAFG00000012408.5	ENSGALG00000037136.2
OG0000136	ENSCAFG00000017373.4	ENSGALG00000007097.6
OG0000137	ENSCAFG00000002129.5	ENSGALG00000009700.7
OG0000137	ENSCAFG00000016967.4	ENSGALG00000045846.2
OG0000137	ENSCAFG00000013476.4	ENSGALG00000016323.5
OG0000137	ENSCAFG00000013060.5	ENSGALG00000013235.5
OG0000138	ENSCAFG00000005174.4	ENSGALG00000006477.7
OG0000138	ENSCAFG00000016259.3, ENSCAFG00000015882.2	ENSGALG00000046725.1, ENSGALG00000027506.4
OG0000143	ENSCAFG00000029801.2	ENSGALG00000001633.7
OG0000143	ENSCAFG00000031398.3	ENSGALG00000005007.6, ENSGALG00000005017.6
OG0000143	ENSCAFG00000044275.1	ENSGALG00000005019.5
OG0000144	ENSCAFG00000032359.2, ENSCAFG00000004574.5	ENSGALG00000053964.1, ENSGALG00000029857.2
OG0000145	ENSCAFG00000032096.2, ENSCAFG00000029223.2	ENSGALG00000050656.1
OG0000147	ENSCAFG00000010962.5	ENSGALG00000010490.8
OG0000147	ENSCAFG00000015799.4	ENSGALG00000041203.3
OG0000147	ENSCAFG00000006607.4	ENSGALG00000007582.6
OG0000147	ENSCAFG00000008753.4	ENSGALG00000000227.7
OG0000149	ENSCAFG00000005776.5	ENSGALG00000036496.2
OG0000149	ENSCAFG00000010822.4	ENSGALG00000014463.7
OG0000149	ENSCAFG00000016534.5	ENSGALG00000042458.3
OG0000150	ENSCAFG00000023658.3	ENSGALG00000042446.2
OG0000150	ENSCAFG00000023236.3, ENSCAFG00000024109.3	ENSGALG00000029827.2
OG0000151	ENSCAFG00000023399.3, ENSCAFG00000004169.5	ENSGALG00000010469.7
OG0000152	ENSCAFG00000013311.4, ENSCAFG00000008099.4	ENSGALG00000052243.1, ENSGALG00000047199.1, ENSGALG00000005795.6, ENSGALG00000049414.1
OG0000153	ENSCAFG00000015077.4, ENSCAFG00000023809.3, ENSCAFG00000024512.1, ENSCAFG00000015959.4, ENSCAFG00000006853.3, ENSCAFG00000048208.1, ENSCAFG00000023617.3, ENSCAFG00000007532.2, ENSCAFG00000005538.3, ENSCAFG00000024323.2, ENSCAFG00000017475.3, ENSCAFG00000008260.3, ENSCAFG00000023331.2, ENSCAFG00000017823.4, ENSCAFG00000013374.4, ENSCAFG00000000291.3, ENSCAFG00000017995.3, ENSCAFG00000007094.3	ENSGALG00000014442.7
OG0000154	ENSCAFG00000005255.4	ENSGALG00000006575.5
OG0000154	ENSCAFG00000004889.4	ENSGALG00000012106.6
OG0000154	ENSCAFG00000005257.4	ENSGALG00000005259.6
OG0000154	ENSCAFG00000023315.3	ENSGALG00000005242.7, ENSGALG00000000274.7, ENSGALG00000005212.5
OG0000155	ENSCAFG00000012373.4	ENSGALG00000019277.5
OG0000155	ENSCAFG00000012368.4	ENSGALG00000019276.5, ENSGALG00000031293.2
OG0000155	ENSCAFG00000012377.4	ENSGALG00000013154.5
OG0000156	ENSCAFG00000007663.5, ENSCAFG00000002127.5	ENSGALG00000047313.1, ENSGALG00000040120.3
OG0000158	ENSCAFG00000019985.5	ENSGALG00000046817.1
OG0000159	ENSCAFG00000014139.4, ENSCAFG00000030739.3, ENSCAFG00000047066.1, ENSCAFG00000031806.2	ENSGALG00000049450.1
OG0000160	ENSCAFG00000000803.4	ENSGALG00000051101.1
OG0000162	ENSCAFG00000016416.5	ENSGALG00000009360.6
OG0000162	ENSCAFG00000016432.4	ENSGALG00000009382.7
OG0000162	ENSCAFG00000001960.5	ENSGALG00000010186.7
OG0000162	ENSCAFG00000013830.4	ENSGALG00000041685.2
OG0000163	ENSCAFG00000003927.5	ENSGALG00000010533.7
OG0000163	ENSCAFG00000001688.4	ENSGALG00000015799.6
OG0000164	ENSCAFG00000002133.4	ENSGALG00000016690.7, ENSGALG00000046639.2
OG0000169	ENSCAFG00000000567.5	ENSGALG00000030280.3
OG0000169	ENSCAFG00000003081.5	ENSGALG00000003800.6
OG0000169	ENSCAFG00000009573.4	ENSGALG00000004123.6
OG0000171	ENSCAFG00000010410.4	ENSGALG00000030614.2
OG0000172	ENSCAFG00000003989.4	ENSGALG00000006097.5
OG0000172	ENSCAFG00000011756.5	ENSGALG00000001264.6
OG0000172	ENSCAFG00000001362.4	ENSGALG00000006473.5
OG0000173	ENSCAFG00000000670.5	ENSGALG00000040256.2
OG0000174	ENSCAFG00000016476.5	ENSGALG00000032385.2
OG0000174	ENSCAFG00000005194.5	ENSGALG00000040369.2
OG0000174	ENSCAFG00000012493.4	ENSGALG00000002099.6
OG0000179	ENSCAFG00000015682.4, ENSCAFG00000029090.2	ENSGALG00000045194.2, ENSGALG00000003557.7
OG0000179	ENSCAFG00000015721.5	ENSGALG00000006378.6
OG0000181	ENSCAFG00000016373.4, ENSCAFG00000016370.4	ENSGALG00000044962.2, ENSGALG00000021598.5, ENSGALG00000049664.1, ENSGALG00000041400.3
OG0000183	ENSCAFG00000020411.4	ENSGALG00000011350.7
OG0000183	ENSCAFG00000010858.5	ENSGALG00000040620.3
OG0000183	ENSCAFG00000009842.4	ENSGALG00000001442.7
OG0000183	ENSCAFG00000009907.5	ENSGALG00000001437.6
OG0000184	ENSCAFG00000018508.6	ENSGALG00000014875.7
OG0000184	ENSCAFG00000016963.3	ENSGALG00000033653.2
OG0000184	ENSCAFG00000019716.4	ENSGALG00000001342.6
OG0000185	ENSCAFG00000010433.4	ENSGALG00000005393.6
OG0000185	ENSCAFG00000001726.5	ENSGALG00000043476.2
OG0000185	ENSCAFG00000029086.2	ENSGALG00000005622.6
OG0000186	ENSCAFG00000014257.4	ENSGALG00000015531.6
OG0000186	ENSCAFG00000006542.4	ENSGALG00000007565.7
OG0000186	ENSCAFG00000010882.5	ENSGALG00000010471.6
OG0000186	ENSCAFG00000008850.5	ENSGALG00000000235.6
OG0000187	ENSCAFG00000003850.3	ENSGALG00000016485.6
OG0000187	ENSCAFG00000047569.1, ENSCAFG00000013413.4	ENSGALG00000001569.6
OG0000187	ENSCAFG00000023066.2	ENSGALG00000003806.7
OG0000188	ENSCAFG00000018314.5	ENSGALG00000037253.2
