Orthogroup	C_familiaris.pep	N_naja.pep
OG0000027	ENSCAFG00000008640.4, ENSCAFG00000015217.3	Nana03934-RB, Nana03934-RA
OG0000027	ENSCAFG00000005248.4	Nana27836-RA
OG0000027	ENSCAFG00000010412.4	Nana27543-RA
OG0000027	ENSCAFG00000015209.4	Nana03933-RB
OG0000029	ENSCAFG00000005908.4	Nana10387-RA
OG0000031	ENSCAFG00000005065.4	Nana30920-RB
OG0000031	ENSCAFG00000032339.2, ENSCAFG00000031823.2	Nana30920-RC
OG0000033	ENSCAFG00000032056.2	Nana25612-RA
OG0000033	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1, ENSCAFG00000031681.2, ENSCAFG00000029703.1, ENSCAFG00000029246.1, ENSCAFG00000047997.1, ENSCAFG00000042183.1, ENSCAFG00000006328.3, ENSCAFG00000024431.2, ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2	Nana25617-RA
OG0000033	ENSCAFG00000031226.2, ENSCAFG00000029020.2, ENSCAFG00000006016.4, ENSCAFG00000029611.1, ENSCAFG00000024586.1, ENSCAFG00000047088.1, ENSCAFG00000049488.1, ENSCAFG00000041929.1, ENSCAFG00000044138.1, ENSCAFG00000041265.1, ENSCAFG00000006366.3, ENSCAFG00000006226.4	Nana25601-RA
OG0000034	ENSCAFG00000019460.4	Nana36726-RA
OG0000034	ENSCAFG00000042390.1	Nana15763-RA
OG0000039	ENSCAFG00000024302.1, ENSCAFG00000024740.3, ENSCAFG00000013384.1, ENSCAFG00000013378.2, ENSCAFG00000048463.1, ENSCAFG00000024377.1, ENSCAFG00000013381.2	Nana25427-RA
OG0000042	ENSCAFG00000049483.1, ENSCAFG00000046241.1	Nana15423-RA, Nana15427-RA, Nana15429-RA
OG0000045	ENSCAFG00000024541.1	Nana30791-RA
OG0000047	ENSCAFG00000010365.4, ENSCAFG00000046787.1, ENSCAFG00000030195.2, ENSCAFG00000016458.4	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE
OG0000051	ENSCAFG00000011130.5	Nana03481-RA, Nana03471-RA
OG0000051	ENSCAFG00000011438.5	Nana03469-RA
OG0000051	ENSCAFG00000012146.5	Nana22919-RA
OG0000051	ENSCAFG00000005051.5	Nana21196-RA
OG0000051	ENSCAFG00000007600.4	Nana09998-RA
OG0000053	ENSCAFG00000048119.1	Nana07286-RA, Nana07283-RA, Nana07283-RB, Nana05961-RA, Nana37792-RA, Nana23513-RA, Nana07296-RA, Nana07339-RA, Nana07341-RA, Nana07333-RA, Nana07349-RA, Nana07343-RA, Nana07342-RA, Nana07259-RA, Nana07292-RA, Nana07282-RA, Nana07375-RA, Nana07255-RA
OG0000056	ENSCAFG00000023033.4, ENSCAFG00000045181.1	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA
OG0000059	ENSCAFG00000005734.5	Nana09728-RA
OG0000059	ENSCAFG00000010442.5	Nana05169-RA, Nana28043-RB, Nana28043-RA, Nana01616-RA, Nana19300-RA
OG0000061	ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA
OG0000062	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA
OG0000063	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1, ENSCAFG00000048456.1	Nana12777-RA
OG0000065	ENSCAFG00000017661.3	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000069	ENSCAFG00000000063.4	Nana09934-RA
OG0000069	ENSCAFG00000000148.4, ENSCAFG00000000143.4	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA
OG0000071	ENSCAFG00000014247.5, ENSCAFG00000023933.3, ENSCAFG00000043802.1	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA
OG0000072	ENSCAFG00000015418.4, ENSCAFG00000024439.3	Nana35916-RA
OG0000073	ENSCAFG00000000641.4, ENSCAFG00000000639.3	Nana36370-RA
OG0000073	ENSCAFG00000016031.2	Nana05770-RA
OG0000074	ENSCAFG00000003818.4	Nana11137-RA, Nana11138-RA
OG0000077	ENSCAFG00000002723.5, ENSCAFG00000032019.2, ENSCAFG00000010686.4	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA
OG0000077	ENSCAFG00000024796.3	Nana04298-RA
OG0000081	ENSCAFG00000016301.5	Nana37639-RA
OG0000081	ENSCAFG00000014733.4	Nana37247-RA
OG0000083	ENSCAFG00000018167.4, ENSCAFG00000018164.4, ENSCAFG00000018169.4	Nana00630-RA
OG0000085	ENSCAFG00000006062.5	Nana02961-RA
OG0000085	ENSCAFG00000018020.5	Nana32101-RD
OG0000085	ENSCAFG00000010423.5	Nana20286-RB
OG0000085	ENSCAFG00000010426.5	Nana20288-RA
OG0000086	ENSCAFG00000013249.4	Nana13407-RA
OG0000086	ENSCAFG00000041091.1, ENSCAFG00000003668.3, ENSCAFG00000024474.2, ENSCAFG00000011673.1, ENSCAFG00000024406.2, ENSCAFG00000042176.1, ENSCAFG00000003316.1, ENSCAFG00000012222.4, ENSCAFG00000023039.3, ENSCAFG00000044361.1, ENSCAFG00000041097.1, ENSCAFG00000006899.3, ENSCAFG00000017848.4, ENSCAFG00000018228.5, ENSCAFG00000014607.4, ENSCAFG00000041885.1, ENSCAFG00000008655.4, ENSCAFG00000025295.2, ENSCAFG00000002656.4, ENSCAFG00000007079.4, ENSCAFG00000000565.3, ENSCAFG00000017221.3, ENSCAFG00000024806.5, ENSCAFG00000046499.1, ENSCAFG00000009708.2	Nana02319-RA
OG0000087	ENSCAFG00000017262.4	Nana09343-RA, Nana09343-RB
OG0000087	ENSCAFG00000018560.4	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	ENSCAFG00000001630.4	Nana27331-RA
OG0000087	ENSCAFG00000003156.5	Nana23710-RA
OG0000090	ENSCAFG00000009316.4	Nana31033-RB, Nana31033-RA, Nana31033-RC
OG0000091	ENSCAFG00000020200.6, ENSCAFG00000020204.5	Nana30970-RA
OG0000092	ENSCAFG00000015796.4	Nana12893-RB, Nana12893-RC, Nana12893-RA
OG0000092	ENSCAFG00000002086.5	Nana32804-RC
OG0000093	ENSCAFG00000006121.5	Nana27045-RA
OG0000093	ENSCAFG00000009564.4	Nana14174-RA
OG0000093	ENSCAFG00000019230.4	Nana10674-RA
OG0000094	ENSCAFG00000016666.3, ENSCAFG00000016663.3, ENSCAFG00000007921.4	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA
OG0000095	ENSCAFG00000004561.5, ENSCAFG00000024944.3, ENSCAFG00000043524.1, ENSCAFG00000024942.4, ENSCAFG00000043569.1, ENSCAFG00000004595.5	Nana09550-RA
OG0000095	ENSCAFG00000004565.5, ENSCAFG00000028912.2, ENSCAFG00000044944.1, ENSCAFG00000024792.3	Nana09552-RA
OG0000099	ENSCAFG00000015936.4	Nana20229-RA
OG0000099	ENSCAFG00000003332.4	Nana02215-RA
OG0000099	ENSCAFG00000008741.4	Nana24836-RA
OG0000100	ENSCAFG00000009056.4, ENSCAFG00000024869.4	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA
OG0000101	ENSCAFG00000041354.1, ENSCAFG00000042554.1	Nana10097-RA, Nana10097-RB, Nana10097-RC
OG0000101	ENSCAFG00000013875.6	Nana03073-RA, Nana03073-RB
OG0000101	ENSCAFG00000013728.4	Nana21110-RA
OG0000102	ENSCAFG00000009239.4, ENSCAFG00000009211.5, ENSCAFG00000003294.4, ENSCAFG00000043434.1, ENSCAFG00000007763.4, ENSCAFG00000007942.4	Nana04405-RA
OG0000102	ENSCAFG00000007002.1, ENSCAFG00000012195.5, ENSCAFG00000017824.2, ENSCAFG00000001098.2, ENSCAFG00000009620.3, ENSCAFG00000016636.4, ENSCAFG00000049593.1, ENSCAFG00000006066.4, ENSCAFG00000017236.2	Nana27661-RA
OG0000106	ENSCAFG00000049411.1, ENSCAFG00000040986.1, ENSCAFG00000005307.3, ENSCAFG00000017180.4, ENSCAFG00000006327.4, ENSCAFG00000002232.4, ENSCAFG00000006580.5	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	ENSCAFG00000028932.2	Nana03353-RD, Nana03353-RC
OG0000106	ENSCAFG00000013497.4, ENSCAFG00000019198.3	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG
OG0000108	ENSCAFG00000014877.4, ENSCAFG00000014939.5, ENSCAFG00000014990.4	Nana34377-RA, Nana34376-RA
OG0000109	ENSCAFG00000032642.1, ENSCAFG00000023653.3, ENSCAFG00000049719.1, ENSCAFG00000030414.1, ENSCAFG00000031862.2	Nana21461-RA
OG0000110	ENSCAFG00000030472.2	Nana35843-RA, Nana05423-RA
OG0000110	ENSCAFG00000002712.4	Nana05425-RA, Nana00887-RA
OG0000111	ENSCAFG00000008668.4	Nana17605-RA, Nana17605-RB
OG0000111	ENSCAFG00000006087.5, ENSCAFG00000001952.5	Nana32413-RA, Nana26179-RA
OG0000111	ENSCAFG00000018419.5	Nana08966-RA
OG0000112	ENSCAFG00000028888.3, ENSCAFG00000029376.2, ENSCAFG00000031254.2, ENSCAFG00000029232.3, ENSCAFG00000030088.2, ENSCAFG00000002857.5	Nana22728-RA
OG0000113	ENSCAFG00000031682.2	Nana02420-RA, Nana02419-RA
OG0000115	ENSCAFG00000016928.4, ENSCAFG00000016949.4, ENSCAFG00000023464.3	Nana24320-RA, Nana24321-RA, Nana24323-RA
OG0000115	ENSCAFG00000006948.4	Nana15380-RA, Nana15381-RA, Nana15378-RA
OG0000116	ENSCAFG00000015944.4, ENSCAFG00000031250.2	Nana23099-RA
OG0000116	ENSCAFG00000016007.4	Nana23092-RA
OG0000118	ENSCAFG00000004727.5	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA
OG0000119	ENSCAFG00000012914.5	Nana30054-RA
OG0000119	ENSCAFG00000006342.3, ENSCAFG00000002351.2, ENSCAFG00000003053.3, ENSCAFG00000000621.5	Nana07708-RA
OG0000119	ENSCAFG00000009568.4	Nana24627-RA
OG0000119	ENSCAFG00000002016.5	Nana02918-RA
OG0000121	ENSCAFG00000023682.2	Nana15428-RA, Nana15421-RA, Nana15429-RB
OG0000126	ENSCAFG00000001462.4	Nana11693-RA, Nana11693-RB
OG0000126	ENSCAFG00000001534.6	Nana11690-RA
OG0000126	ENSCAFG00000017589.6	Nana33631-RC, Nana33631-RB, Nana33631-RA
OG0000127	ENSCAFG00000004442.4	Nana21098-RA
OG0000128	ENSCAFG00000005426.4, ENSCAFG00000005431.4	Nana23910-RA, Nana23921-RA
OG0000129	ENSCAFG00000009280.5	Nana13746-RA
OG0000129	ENSCAFG00000018639.5	Nana16117-RA
OG0000129	ENSCAFG00000011524.5	Nana30228-RA
OG0000129	ENSCAFG00000001101.5	Nana30225-RA, Nana01987-RA
OG0000130	ENSCAFG00000012794.4	Nana36269-RA
OG0000131	ENSCAFG00000044122.1, ENSCAFG00000003326.3, ENSCAFG00000006821.5	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB
OG0000135	ENSCAFG00000025335.3, ENSCAFG00000046516.1, ENSCAFG00000015593.4, ENSCAFG00000031201.3, ENSCAFG00000030315.2, ENSCAFG00000025454.3, ENSCAFG00000029953.3, ENSCAFG00000025524.3, ENSCAFG00000042019.1	Nana13295-RA, Nana38700-RC, Nana38966-RA
OG0000136	ENSCAFG00000013171.4	Nana25848-RA
OG0000136	ENSCAFG00000000828.4	Nana01675-RA, Nana01675-RB
OG0000136	ENSCAFG00000012408.5	Nana30115-RA
OG0000136	ENSCAFG00000017373.4	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	ENSCAFG00000002129.5	Nana21626-RB, Nana21626-RA
OG0000137	ENSCAFG00000016967.4	Nana23253-RA, Nana23253-RB
OG0000137	ENSCAFG00000006315.4	Nana25813-RA
OG0000137	ENSCAFG00000013060.5	Nana03410-RA, Nana03410-RB
OG0000138	ENSCAFG00000005174.4	Nana21262-RA
OG0000138	ENSCAFG00000016259.3, ENSCAFG00000015882.2	Nana03937-RA
OG0000138	ENSCAFG00000015223.4	Nana03939-RA
OG0000143	ENSCAFG00000029801.2	Nana28454-RA
OG0000143	ENSCAFG00000031398.3	Nana18923-RA, Nana18922-RA
OG0000143	ENSCAFG00000044275.1	Nana18920-RA
OG0000144	ENSCAFG00000032359.2, ENSCAFG00000004574.5	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA
OG0000145	ENSCAFG00000044557.1	Nana08336-RA
OG0000145	ENSCAFG00000032096.2, ENSCAFG00000029223.2	Nana13191-RA, Nana17827-RA
OG0000146	ENSCAFG00000019335.4, ENSCAFG00000045657.1, ENSCAFG00000042548.1	Nana23491-RA
OG0000147	ENSCAFG00000010962.5	Nana19440-RA
OG0000147	ENSCAFG00000015799.4	Nana18452-RA
OG0000147	ENSCAFG00000006607.4	Nana09013-RA
OG0000147	ENSCAFG00000008753.4	Nana28363-RA
OG0000149	ENSCAFG00000005776.5	Nana30762-RA
OG0000149	ENSCAFG00000010822.4	Nana01559-RA
OG0000149	ENSCAFG00000016534.5	Nana04942-RA
OG0000150	ENSCAFG00000023658.3	Nana34186-RA
OG0000150	ENSCAFG00000023236.3	Nana34187-RB
OG0000150	ENSCAFG00000024109.3	Nana34187-RA
OG0000151	ENSCAFG00000023399.3, ENSCAFG00000004169.5	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	ENSCAFG00000015077.4, ENSCAFG00000023809.3, ENSCAFG00000024512.1, ENSCAFG00000015959.4, ENSCAFG00000006853.3, ENSCAFG00000048208.1, ENSCAFG00000023617.3, ENSCAFG00000007532.2, ENSCAFG00000005538.3, ENSCAFG00000024323.2, ENSCAFG00000017475.3, ENSCAFG00000008260.3, ENSCAFG00000023331.2, ENSCAFG00000017823.4, ENSCAFG00000013374.4, ENSCAFG00000000291.3, ENSCAFG00000017995.3, ENSCAFG00000007094.3	Nana11108-RA
OG0000153	ENSCAFG00000006986.4	Nana30407-RA
OG0000154	ENSCAFG00000005255.4	Nana21272-RA
OG0000154	ENSCAFG00000004889.4	Nana03716-RA
OG0000154	ENSCAFG00000023315.3	Nana39032-RA
OG0000155	ENSCAFG00000012373.4	Nana27596-RB, Nana27596-RA
OG0000155	ENSCAFG00000012368.4	Nana27598-RA, Nana27600-RA
OG0000156	ENSCAFG00000002127.5	Nana02904-RA
OG0000158	ENSCAFG00000017958.4	Nana36405-RA, Nana10438-RA
OG0000158	ENSCAFG00000019985.5	Nana14954-RA, Nana39299-RA, Nana37076-RA
OG0000159	ENSCAFG00000014139.4, ENSCAFG00000030739.3, ENSCAFG00000047066.1, ENSCAFG00000031806.2	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	ENSCAFG00000000803.4, ENSCAFG00000000896.4	Nana06954-RA
OG0000162	ENSCAFG00000016416.5	Nana01233-RA
OG0000162	ENSCAFG00000016432.4	Nana01232-RB
OG0000162	ENSCAFG00000001960.5	Nana01383-RB, Nana01383-RC, Nana01383-RA
OG0000162	ENSCAFG00000013830.4	Nana35924-RA
OG0000163	ENSCAFG00000017350.5	Nana10880-RA
OG0000163	ENSCAFG00000001688.4	Nana11460-RA, Nana14489-RA
OG0000164	ENSCAFG00000002133.4	Nana02902-RA, Nana02891-RB, Nana02893-RA, Nana02894-RB, Nana02894-RA, Nana02901-RA, Nana02890-RD, Nana02890-RC, Nana02890-RB
OG0000169	ENSCAFG00000000567.5	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	ENSCAFG00000003081.5	Nana29768-RA
OG0000169	ENSCAFG00000009573.4	Nana13679-RA
OG0000171	ENSCAFG00000010410.4	Nana17789-RA
OG0000172	ENSCAFG00000003989.4	Nana08296-RA, Nana14058-RA
OG0000172	ENSCAFG00000001362.4	Nana27786-RA
OG0000172	ENSCAFG00000019587.6	Nana10639-RA
OG0000174	ENSCAFG00000016476.5	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD
OG0000174	ENSCAFG00000005194.5	Nana27734-RA
OG0000174	ENSCAFG00000012493.4	Nana08485-RD, Nana08485-RC, Nana08485-RB
OG0000179	ENSCAFG00000015682.4	Nana19279-RA
OG0000179	ENSCAFG00000029090.2	Nana19294-RA
OG0000179	ENSCAFG00000015721.5	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA
OG0000181	ENSCAFG00000016373.4, ENSCAFG00000016370.4	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA
OG0000183	ENSCAFG00000020411.4	Nana14703-RA
OG0000183	ENSCAFG00000010858.5	Nana24962-RA
OG0000183	ENSCAFG00000009907.5	Nana28668-RA, Nana28665-RA
OG0000184	ENSCAFG00000018508.6	Nana12380-RA
OG0000184	ENSCAFG00000016963.3	Nana36072-RA
OG0000184	ENSCAFG00000019716.4	Nana06340-RA
OG0000185	ENSCAFG00000010433.4	Nana21120-RA
OG0000185	ENSCAFG00000001726.5, ENSCAFG00000029086.2	Nana08360-RA
OG0000186	ENSCAFG00000014257.4	Nana18448-RA
OG0000186	ENSCAFG00000010882.5	Nana19444-RA
OG0000186	ENSCAFG00000008850.5	Nana09006-RA
OG0000187	ENSCAFG00000003850.3	Nana02631-RA
OG0000187	ENSCAFG00000047569.1, ENSCAFG00000013413.4	Nana14009-RA
OG0000187	ENSCAFG00000023066.2	Nana08636-RA
OG0000188	ENSCAFG00000018314.5	Nana10451-RA, Nana10448-RA, Nana10449-RA
OG0000193	ENSCAFG00000011301.5	Nana34739-RA, Nana34739-RB
OG0000193	ENSCAFG00000011565.5	Nana04026-RB, Nana04026-RA
OG0000193	ENSCAFG00000017110.4	Nana23748-RA
OG0000194	ENSCAFG00000031029.2	Nana04300-RA
OG0000194	ENSCAFG00000009532.4	Nana13959-RA
OG0000196	ENSCAFG00000018380.2, ENSCAFG00000005504.4	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA
OG0000197	ENSCAFG00000008123.5	Nana18220-RA
OG0000197	ENSCAFG00000017137.4	Nana09163-RA
OG0000197	ENSCAFG00000004731.4	Nana25443-RA
OG0000197	ENSCAFG00000018631.5	Nana32135-RA
OG0000198	ENSCAFG00000024306.4	Nana29992-RA
OG0000198	ENSCAFG00000024682.3	Nana29987-RA
OG0000198	ENSCAFG00000001196.4	Nana17024-RD, Nana17024-RB
OG0000199	ENSCAFG00000009795.5	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC
OG0000199	ENSCAFG00000004958.4	Nana30635-RA
OG0000199	ENSCAFG00000012174.4	Nana36358-RA
OG0000200	ENSCAFG00000001916.4	Nana11623-RA
OG0000200	ENSCAFG00000012554.4	Nana36320-RH, Nana36320-RG, Nana36320-RJ, Nana36320-RE, Nana36320-RC, Nana36320-RD, Nana36320-RB
OG0000201	ENSCAFG00000011909.4	Nana14043-RA
OG0000201	ENSCAFG00000019242.4	Nana10669-RA
OG0000201	ENSCAFG00000005331.4	Nana07920-RC
OG0000202	ENSCAFG00000008918.4	Nana19477-RA, Nana28348-RA
OG0000202	ENSCAFG00000006631.4	Nana19472-RA
OG0000203	ENSCAFG00000007100.4	Nana12325-RA
OG0000203	ENSCAFG00000017790.6	Nana10784-RA
OG0000203	ENSCAFG00000018583.4	Nana14670-RA
OG0000203	ENSCAFG00000014928.6	Nana06067-RA
OG0000204	ENSCAFG00000029482.2	Nana22989-RJ, Nana22989-RG, Nana22989-RH, Nana22989-RI, Nana22989-RK, Nana22993-RM, Nana22993-RK, Nana22993-RL, Nana22993-RJ, Nana22993-RI, Nana22995-RA, Nana22989-RA, Nana22989-RE, Nana22989-RD, Nana22989-RF, Nana22989-RC, Nana22993-RD, Nana22993-RC, Nana22993-RA, Nana22993-RB, Nana22993-RE, Nana22993-RF, Nana22993-RH, Nana22989-RB, Nana22997-RA, Nana22989-RM
OG0000205	ENSCAFG00000009617.4, ENSCAFG00000031614.2, ENSCAFG00000009612.4, ENSCAFG00000007151.4	Nana19313-RA, Nana19312-RA, Nana19314-RA, Nana19315-RA
OG0000207	ENSCAFG00000024989.2, ENSCAFG00000024063.2, ENSCAFG00000025043.2, ENSCAFG00000012549.4, ENSCAFG00000012512.3, ENSCAFG00000024863.3	Nana25610-RA, Nana25597-RA
OG0000212	ENSCAFG00000019339.5	Nana00145-RA
OG0000212	ENSCAFG00000018012.4	Nana00135-RA
OG0000212	ENSCAFG00000010796.4	Nana34717-RA
OG0000213	ENSCAFG00000009921.3	Nana26049-RA
OG0000213	ENSCAFG00000019156.4	Nana26050-RA, Nana09216-RA, Nana26052-RA
OG0000213	ENSCAFG00000017227.5	Nana09215-RA
OG0000214	ENSCAFG00000011787.3	Nana35941-RA, Nana35936-RA
OG0000216	ENSCAFG00000006577.3, ENSCAFG00000017292.3	Nana12893-RF, Nana12893-RE, Nana12893-RD
OG0000217	ENSCAFG00000018163.4	Nana17917-RA, Nana28484-RA, Nana18823-RA, Nana08830-RA
OG0000218	ENSCAFG00000014886.2, ENSCAFG00000014968.3, ENSCAFG00000002084.4	Nana28474-RA
OG0000219	ENSCAFG00000030258.3	Nana24213-RB, Nana24213-RA, Nana24211-RA, Nana24210-RA, Nana24209-RA, Nana39539-RA, Nana24208-RA, Nana24207-RA
OG0000220	ENSCAFG00000000454.5	Nana07784-RA
OG0000220	ENSCAFG00000000636.6	Nana07713-RA, Nana07713-RB
OG0000221	ENSCAFG00000002490.4	Nana02364-RA
