Orthogroup	C_familiaris.pep	P_troglodytes.pep
OG0000003	ENSCAFG00000047420.1	ENSPTRG00000044418.1, ENSPTRG00000045120.1
OG0000003	ENSCAFG00000023369.2	ENSPTRG00000047003.1, ENSPTRG00000043724.1, ENSPTRG00000042740.1, ENSPTRG00000042025.2
OG0000003	ENSCAFG00000007370.4, ENSCAFG00000007366.4	ENSPTRG00000046612.1
OG0000004	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1
OG0000004	ENSCAFG00000013622.4	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1
OG0000004	ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3	ENSPTRG00000050807.1, ENSPTRG00000043596.1
OG0000004	ENSCAFG00000028850.2, ENSCAFG00000031273.2	ENSPTRG00000043052.1, ENSPTRG00000048142.1, ENSPTRG00000051542.1, ENSPTRG00000046255.1, ENSPTRG00000051793.1, ENSPTRG00000045803.1, ENSPTRG00000046633.1, ENSPTRG00000043164.1, ENSPTRG00000049497.1, ENSPTRG00000043119.1, ENSPTRG00000047226.1
OG0000004	ENSCAFG00000042398.1	ENSPTRG00000051256.1, ENSPTRG00000049144.1, ENSPTRG00000052875.1
OG0000004	ENSCAFG00000024382.3	ENSPTRG00000014125.2
OG0000006	ENSCAFG00000032253.2, ENSCAFG00000028550.2, ENSCAFG00000023300.3, ENSCAFG00000049203.1, ENSCAFG00000041396.1, ENSCAFG00000042267.1	ENSPTRG00000047697.1
OG0000006	ENSCAFG00000030603.2	ENSPTRG00000011558.5
OG0000006	ENSCAFG00000002361.5	ENSPTRG00000011592.6
OG0000006	ENSCAFG00000030568.2, ENSCAFG00000029058.2, ENSCAFG00000048255.1	ENSPTRG00000039931.2
OG0000006	ENSCAFG00000031471.2	ENSPTRG00000052677.1, ENSPTRG00000048805.1
OG0000006	ENSCAFG00000041809.1, ENSCAFG00000031469.2	ENSPTRG00000010249.6
OG0000006	ENSCAFG00000030256.2	ENSPTRG00000010599.6, ENSPTRG00000050695.1
OG0000006	ENSCAFG00000002441.4	ENSPTRG00000030267.3
OG0000006	ENSCAFG00000030461.2	ENSPTRG00000045846.1
OG0000006	ENSCAFG00000031000.3	ENSPTRG00000017606.5
OG0000006	ENSCAFG00000029114.3	ENSPTRG00000017609.5
OG0000006	ENSCAFG00000029432.2	ENSPTRG00000008322.3
OG0000006	ENSCAFG00000029984.2	ENSPTRG00000047228.1
OG0000006	ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1	ENSPTRG00000047693.1
OG0000006	ENSCAFG00000029179.2	ENSPTRG00000042406.2
OG0000006	ENSCAFG00000049102.1	ENSPTRG00000020717.6
OG0000008	ENSCAFG00000012984.1	ENSPTRG00000004723.4
OG0000008	ENSCAFG00000046411.1	ENSPTRG00000047219.1
OG0000008	ENSCAFG00000012332.2	ENSPTRG00000004369.4
OG0000008	ENSCAFG00000043458.1	ENSPTRG00000046303.1
OG0000008	ENSCAFG00000031860.1	ENSPTRG00000043682.1
OG0000008	ENSCAFG00000029759.1	ENSPTRG00000043908.1, ENSPTRG00000029801.2
OG0000008	ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1	ENSPTRG00000042706.1, ENSPTRG00000044259.1
OG0000008	ENSCAFG00000029078.1	ENSPTRG00000044636.1
OG0000008	ENSCAFG00000049775.1	ENSPTRG00000045889.1
OG0000008	ENSCAFG00000024315.2	ENSPTRG00000017789.3
OG0000009	ENSCAFG00000008100.4	ENSPTRG00000046082.1, ENSPTRG00000045266.1
OG0000009	ENSCAFG00000007632.4	ENSPTRG00000003691.3
OG0000009	ENSCAFG00000007996.4, ENSCAFG00000007993.2, ENSCAFG00000041303.1, ENSCAFG00000043344.1	ENSPTRG00000003646.4
OG0000009	ENSCAFG00000030998.1, ENSCAFG00000031814.1	ENSPTRG00000003626.2
OG0000009	ENSCAFG00000008017.4	ENSPTRG00000029960.3
OG0000009	ENSCAFG00000008020.3	ENSPTRG00000003643.4
OG0000009	ENSCAFG00000008097.3	ENSPTRG00000003619.3
OG0000010	ENSCAFG00000029445.1	ENSPTRG00000051324.1
OG0000010	ENSCAFG00000030731.2	ENSPTRG00000047357.1
OG0000010	ENSCAFG00000049029.1	ENSPTRG00000047237.1, ENSPTRG00000046524.1
OG0000010	ENSCAFG00000030570.1, ENSCAFG00000029200.2	ENSPTRG00000052585.1
OG0000010	ENSCAFG00000043731.1	ENSPTRG00000049674.1
OG0000010	ENSCAFG00000044027.1	ENSPTRG00000050249.1, ENSPTRG00000045223.1, ENSPTRG00000048874.1
OG0000010	ENSCAFG00000049795.1	ENSPTRG00000050454.1
OG0000010	ENSCAFG00000042780.1	ENSPTRG00000043707.1
OG0000010	ENSCAFG00000028672.1	ENSPTRG00000045140.1
OG0000010	ENSCAFG00000024333.1, ENSCAFG00000024336.2	ENSPTRG00000049906.1
OG0000013	ENSCAFG00000001273.4	ENSPTRG00000023522.3
OG0000014	ENSCAFG00000016119.5	ENSPTRG00000043737.1
OG0000014	ENSCAFG00000041871.1	ENSPTRG00000044185.1
OG0000014	ENSCAFG00000049134.1	ENSPTRG00000049252.1, ENSPTRG00000047137.1, ENSPTRG00000052362.1
OG0000014	ENSCAFG00000043815.1	ENSPTRG00000048013.1
OG0000014	ENSCAFG00000048797.1	ENSPTRG00000017824.3
OG0000014	ENSCAFG00000042995.1	ENSPTRG00000042751.1
OG0000014	ENSCAFG00000045750.1	ENSPTRG00000045132.1
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1	ENSPTRG00000001238.5
OG0000018	ENSCAFG00000012989.4	ENSPTRG00000052551.1
OG0000018	ENSCAFG00000024275.3	ENSPTRG00000046786.1
OG0000018	ENSCAFG00000029451.2	ENSPTRG00000043887.1, ENSPTRG00000047281.1
OG0000020	ENSCAFG00000044868.1, ENSCAFG00000045759.1	ENSPTRG00000043968.1, ENSPTRG00000049305.1, ENSPTRG00000043025.1, ENSPTRG00000048451.1, ENSPTRG00000050973.1, ENSPTRG00000049108.1, ENSPTRG00000050824.1, ENSPTRG00000052394.1, ENSPTRG00000030364.3, ENSPTRG00000044278.1, ENSPTRG00000048433.1, ENSPTRG00000043657.1
OG0000021	ENSCAFG00000017575.4	ENSPTRG00000008769.4
OG0000021	ENSCAFG00000030337.3	ENSPTRG00000008770.5
OG0000021	ENSCAFG00000017522.4	ENSPTRG00000008771.7, ENSPTRG00000008768.6
OG0000021	ENSCAFG00000017460.5	ENSPTRG00000008766.6
OG0000021	ENSCAFG00000023094.3	ENSPTRG00000008773.5
OG0000021	ENSCAFG00000007782.4	ENSPTRG00000013428.6
OG0000021	ENSCAFG00000010154.4	ENSPTRG00000015191.4
OG0000021	ENSCAFG00000011619.5	ENSPTRG00000006175.6
OG0000023	ENSCAFG00000005679.3	ENSPTRG00000041296.2
OG0000023	ENSCAFG00000042671.1	ENSPTRG00000050187.1
OG0000023	ENSCAFG00000011456.3	ENSPTRG00000004413.3
OG0000023	ENSCAFG00000029808.2	ENSPTRG00000003695.4
OG0000023	ENSCAFG00000029148.1	ENSPTRG00000047267.1, ENSPTRG00000043210.1
OG0000023	ENSCAFG00000031594.1	ENSPTRG00000043163.1
OG0000023	ENSCAFG00000031533.1	ENSPTRG00000003692.4
OG0000023	ENSCAFG00000041125.1	ENSPTRG00000030829.4
OG0000023	ENSCAFG00000025368.3	ENSPTRG00000006083.2
OG0000025	ENSCAFG00000000806.4, ENSCAFG00000000814.4	ENSPTRG00000023404.6, ENSPTRG00000018018.7
OG0000025	ENSCAFG00000000900.4	ENSPTRG00000023735.6, ENSPTRG00000051243.1, ENSPTRG00000018001.7
OG0000026	ENSCAFG00000024617.2	ENSPTRG00000017330.3
OG0000026	ENSCAFG00000043743.1	ENSPTRG00000045415.1
OG0000026	ENSCAFG00000006106.4	ENSPTRG00000017341.4
OG0000026	ENSCAFG00000030815.2	ENSPTRG00000017335.4
OG0000027	ENSCAFG00000031767.2	ENSPTRG00000004900.5
OG0000027	ENSCAFG00000015086.4	ENSPTRG00000012467.6
OG0000027	ENSCAFG00000008640.4	ENSPTRG00000045808.1
OG0000027	ENSCAFG00000005248.4	ENSPTRG00000002253.4
OG0000027	ENSCAFG00000010412.4	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	ENSCAFG00000015209.4	ENSPTRG00000012949.6
OG0000028	ENSCAFG00000042932.1, ENSCAFG00000050021.1, ENSCAFG00000047890.1	ENSPTRG00000011455.5
OG0000028	ENSCAFG00000030509.2, ENSCAFG00000024425.3	ENSPTRG00000011456.3, ENSPTRG00000028888.5, ENSPTRG00000045348.1
OG0000029	ENSCAFG00000025322.3	ENSPTRG00000043894.1
OG0000029	ENSCAFG00000005908.4	ENSPTRG00000051393.1, ENSPTRG00000045994.1, ENSPTRG00000021185.2, ENSPTRG00000043539.1
OG0000031	ENSCAFG00000005052.4	ENSPTRG00000033855.3, ENSPTRG00000023029.6
OG0000031	ENSCAFG00000005065.4	ENSPTRG00000011016.6
OG0000031	ENSCAFG00000032339.2, ENSCAFG00000031823.2	ENSPTRG00000011014.4, ENSPTRG00000011015.7, ENSPTRG00000033800.3
OG0000032	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1	ENSPTRG00000029745.2
OG0000032	ENSCAFG00000006303.3	ENSPTRG00000005050.4
OG0000032	ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1	ENSPTRG00000005052.4
OG0000032	ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4	ENSPTRG00000029744.2
OG0000032	ENSCAFG00000046509.1, ENSCAFG00000010795.3	ENSPTRG00000048341.1, ENSPTRG00000047388.1
OG0000033	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1	ENSPTRG00000028733.5
OG0000033	ENSCAFG00000031681.2, ENSCAFG00000029703.1	ENSPTRG00000003234.2
OG0000033	ENSCAFG00000042183.1	ENSPTRG00000003268.5
OG0000033	ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2	ENSPTRG00000003267.4, ENSPTRG00000028728.3
OG0000033	ENSCAFG00000031226.2, ENSCAFG00000029020.2	ENSPTRG00000003252.3
OG0000033	ENSCAFG00000024586.1, ENSCAFG00000047088.1	ENSPTRG00000003255.7
OG0000034	ENSCAFG00000000443.4, ENSCAFG00000042737.1	ENSPTRG00000017675.6
OG0000034	ENSCAFG00000019460.4	ENSPTRG00000023373.3
OG0000034	ENSCAFG00000018634.4	ENSPTRG00000010369.4
OG0000039	ENSCAFG00000024740.3	ENSPTRG00000050321.1, ENSPTRG00000019779.6
OG0000039	ENSCAFG00000013384.1	ENSPTRG00000004682.4
OG0000039	ENSCAFG00000013378.2, ENSCAFG00000048463.1	ENSPTRG00000047242.1, ENSPTRG00000045940.1, ENSPTRG00000046845.1, ENSPTRG00000032530.3, ENSPTRG00000046810.1, ENSPTRG00000052621.1, ENSPTRG00000046701.1, ENSPTRG00000049970.1, ENSPTRG00000049303.1
OG0000039	ENSCAFG00000013381.2	ENSPTRG00000004685.6
OG0000040	ENSCAFG00000018099.4, ENSCAFG00000000487.5, ENSCAFG00000032222.2	ENSPTRG00000046522.1
OG0000040	ENSCAFG00000008234.5	ENSPTRG00000043460.1, ENSPTRG00000017908.7, ENSPTRG00000041261.2, ENSPTRG00000017912.7, ENSPTRG00000039521.2, ENSPTRG00000017906.6, ENSPTRG00000046552.1, ENSPTRG00000038986.2
OG0000045	ENSCAFG00000024541.1	ENSPTRG00000011172.2
OG0000047	ENSCAFG00000010365.4	ENSPTRG00000034329.3, ENSPTRG00000003710.6
OG0000050	ENSCAFG00000000742.3	ENSPTRG00000018763.6
OG0000051	ENSCAFG00000011130.5	ENSPTRG00000012591.6
OG0000051	ENSCAFG00000005058.5	ENSPTRG00000012595.6
OG0000051	ENSCAFG00000010864.5	ENSPTRG00000012590.7
OG0000051	ENSCAFG00000011438.5	ENSPTRG00000012597.7
OG0000051	ENSCAFG00000012146.5	ENSPTRG00000009532.6
OG0000051	ENSCAFG00000005051.5	ENSPTRG00000014762.7
OG0000051	ENSCAFG00000007600.4	ENSPTRG00000004959.7
OG0000052	ENSCAFG00000025546.3	ENSPTRG00000048564.1
OG0000052	ENSCAFG00000011096.4	ENSPTRG00000046436.1, ENSPTRG00000043709.1, ENSPTRG00000047479.1, ENSPTRG00000049224.1
OG0000052	ENSCAFG00000048140.1, ENSCAFG00000043519.1, ENSCAFG00000047752.1	ENSPTRG00000050303.1, ENSPTRG00000043877.1, ENSPTRG00000052207.1
OG0000053	ENSCAFG00000048119.1	ENSPTRG00000047486.1
OG0000059	ENSCAFG00000005734.5	ENSPTRG00000048969.1
OG0000059	ENSCAFG00000010442.5	ENSPTRG00000006890.4, ENSPTRG00000002086.7, ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	ENSCAFG00000013596.4	ENSPTRG00000004659.4
OG0000061	ENSCAFG00000032751.2	ENSPTRG00000004661.4
OG0000061	ENSCAFG00000047442.1	ENSPTRG00000004662.6
OG0000061	ENSCAFG00000031529.2	ENSPTRG00000043256.1
OG0000062	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2	ENSPTRG00000001180.6
OG0000063	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1	ENSPTRG00000048038.1, ENSPTRG00000041238.2, ENSPTRG00000043432.1, ENSPTRG00000050673.1, ENSPTRG00000044822.1, ENSPTRG00000044382.1, ENSPTRG00000045595.1, ENSPTRG00000048249.1, ENSPTRG00000045477.1, ENSPTRG00000020820.3
OG0000063	ENSCAFG00000048456.1	ENSPTRG00000048978.1
OG0000064	ENSCAFG00000047687.1, ENSCAFG00000046041.1, ENSCAFG00000046135.1, ENSCAFG00000047572.1, ENSCAFG00000042663.1, ENSCAFG00000042778.1, ENSCAFG00000043564.1, ENSCAFG00000041882.1, ENSCAFG00000042584.1, ENSCAFG00000031121.2, ENSCAFG00000043563.1, ENSCAFG00000047982.1, ENSCAFG00000043200.1, ENSCAFG00000042397.1, ENSCAFG00000049138.1, ENSCAFG00000044081.1, ENSCAFG00000049391.1, ENSCAFG00000047614.1, ENSCAFG00000049667.1, ENSCAFG00000042234.1, ENSCAFG00000044414.1, ENSCAFG00000045261.1, ENSCAFG00000028583.2, ENSCAFG00000047583.1, ENSCAFG00000042668.1, ENSCAFG00000046921.1	ENSPTRG00000044845.1, ENSPTRG00000049020.1, ENSPTRG00000048779.1, ENSPTRG00000051521.1, ENSPTRG00000014031.5, ENSPTRG00000052131.1, ENSPTRG00000047568.1
OG0000065	ENSCAFG00000017661.3	ENSPTRG00000006682.3
