Orthogroup	C_familiaris.pep	H_sapiens.pep
OG0000004	ENSCAFG00000024382.3	ENSG00000169575.5
OG0000006	ENSCAFG00000030603.2	ENSG00000268163.1, ENSG00000268107.6
OG0000006	ENSCAFG00000002361.5	ENSG00000171574.18
OG0000006	ENSCAFG00000029058.2	ENSG00000286261.1
OG0000006	ENSCAFG00000032123.2	ENSG00000269755.1
OG0000006	ENSCAFG00000031471.2	ENSG00000196826.7, ENSG00000242852.7
OG0000006	ENSCAFG00000041809.1, ENSCAFG00000031469.2	ENSG00000175691.9
OG0000006	ENSCAFG00000030256.2	ENSG00000160961.12
OG0000006	ENSCAFG00000002441.4	ENSG00000273291.5, ENSG00000240747.7
OG0000006	ENSCAFG00000030461.2	ENSG00000177932.7
OG0000006	ENSCAFG00000031000.3	ENSG00000169131.13
OG0000006	ENSCAFG00000029114.3	ENSG00000178338.11
OG0000006	ENSCAFG00000029432.2	ENSG00000157429.16
OG0000006	ENSCAFG00000049733.1	ENSG00000261611.6
OG0000006	ENSCAFG00000029984.2	ENSG00000189420.8
OG0000006	ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1	ENSG00000283930.1
OG0000006	ENSCAFG00000029179.2	ENSG00000175395.16
OG0000006	ENSCAFG00000049102.1	ENSG00000147789.15
OG0000008	ENSCAFG00000012984.1	ENSG00000246705.4
OG0000008	ENSCAFG00000046411.1	ENSG00000184270.5
OG0000008	ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1	ENSG00000229674.2
OG0000008	ENSCAFG00000043458.1	ENSG00000272196.2, ENSG00000203812.2
OG0000008	ENSCAFG00000031860.1	ENSG00000180573.9
OG0000008	ENSCAFG00000029759.1	ENSG00000276903.1, ENSG00000196787.3, ENSG00000278677.1, ENSG00000196747.4, ENSG00000275221.1
OG0000008	ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1	ENSG00000196866.2
OG0000008	ENSCAFG00000029078.1	ENSG00000274997.1
OG0000008	ENSCAFG00000049775.1	ENSG00000276368.1
OG0000008	ENSCAFG00000024315.2	ENSG00000164508.4
OG0000009	ENSCAFG00000008100.4	ENSG00000149133.1
OG0000009	ENSCAFG00000007632.4	ENSG00000172320.3
OG0000009	ENSCAFG00000030998.1, ENSCAFG00000031814.1	ENSG00000174957.1
OG0000009	ENSCAFG00000008017.4	ENSG00000172459.4
OG0000009	ENSCAFG00000008020.3	ENSG00000172464.3
OG0000009	ENSCAFG00000008097.3	ENSG00000181785.2
OG0000010	ENSCAFG00000029445.1	ENSG00000146047.6
OG0000010	ENSCAFG00000030731.2	ENSG00000203814.6
OG0000010	ENSCAFG00000010770.3, ENSCAFG00000044235.1	ENSG00000285480.1
OG0000010	ENSCAFG00000030570.1, ENSCAFG00000029200.2, ENSCAFG00000043731.1	ENSG00000274290.2
OG0000010	ENSCAFG00000044000.1	ENSG00000278588.1
OG0000010	ENSCAFG00000045051.1	ENSG00000273802.2
OG0000010	ENSCAFG00000044027.1	ENSG00000233822.4, ENSG00000158373.8
OG0000010	ENSCAFG00000049795.1	ENSG00000184678.10
OG0000010	ENSCAFG00000042780.1	ENSG00000197903.7
OG0000010	ENSCAFG00000028672.1	ENSG00000124635.8
OG0000010	ENSCAFG00000024333.1, ENSCAFG00000024336.2	ENSG00000185130.5
OG0000013	ENSCAFG00000001273.4	ENSG00000189181.5
OG0000014	ENSCAFG00000016119.5	ENSG00000163041.12
OG0000014	ENSCAFG00000041871.1	ENSG00000203811.1
OG0000014	ENSCAFG00000049134.1	ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3
OG0000014	ENSCAFG00000045512.1	ENSG00000273983.1
OG0000014	ENSCAFG00000048378.1	ENSG00000197409.7
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1	ENSG00000158406.4
OG0000018	ENSCAFG00000032188.1	ENSG00000273542.1
OG0000018	ENSCAFG00000024573.3	ENSG00000278705.1
OG0000018	ENSCAFG00000024275.3	ENSG00000275663.1
OG0000018	ENSCAFG00000030696.1	ENSG00000277157.1
OG0000020	ENSCAFG00000044868.1, ENSCAFG00000045759.1	ENSG00000211973.2, ENSG00000282350.1, ENSG00000280411.1, ENSG00000282399.1, ENSG00000282284.1, ENSG00000211950.2, ENSG00000277282.1, ENSG00000188403.7, ENSG00000288375.1, ENSG00000282131.1, ENSG00000211962.2, ENSG00000282776.1, ENSG00000211961.3, ENSG00000211934.3, ENSG00000282550.1, ENSG00000288165.1, ENSG00000270505.1, ENSG00000281179.1, ENSG00000288190.1, ENSG00000211935.3, ENSG00000282213.1, ENSG00000211945.2, ENSG00000282716.1
OG0000021	ENSCAFG00000017575.4	ENSG00000264424.1
OG0000021	ENSCAFG00000030337.3	ENSG00000125414.19
OG0000021	ENSCAFG00000017522.4	ENSG00000109061.10, ENSG00000133020.4
OG0000021	ENSCAFG00000017460.5	ENSG00000006788.14
OG0000021	ENSCAFG00000023094.3	ENSG00000109063.15
OG0000021	ENSCAFG00000007782.4	ENSG00000078814.16
OG0000021	ENSCAFG00000010154.4	ENSG00000144821.10
OG0000021	ENSCAFG00000011619.5	ENSG00000197616.12
OG0000023	ENSCAFG00000005679.3	ENSG00000221977.2
OG0000023	ENSCAFG00000023739.3, ENSCAFG00000015460.4	ENSG00000182652.3
OG0000023	ENSCAFG00000011456.3	ENSG00000171014.2
OG0000023	ENSCAFG00000029808.2	ENSG00000172742.5
OG0000023	ENSCAFG00000029148.1	ENSG00000254466.2
OG0000023	ENSCAFG00000031594.1	ENSG00000176200.1
OG0000023	ENSCAFG00000031533.1	ENSG00000166884.2
OG0000023	ENSCAFG00000041125.1	ENSG00000141194.6
OG0000023	ENSCAFG00000030533.2, ENSCAFG00000045423.1	ENSG00000255713.2
OG0000023	ENSCAFG00000030818.1	ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2
OG0000023	ENSCAFG00000032250.2	ENSG00000176294.6
OG0000023	ENSCAFG00000025368.3	ENSG00000184394.2
OG0000025	ENSCAFG00000000806.4, ENSCAFG00000000814.4	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5
OG0000025	ENSCAFG00000000900.4	ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11
OG0000026	ENSCAFG00000024617.2	ENSG00000171815.5
OG0000026	ENSCAFG00000041019.1	ENSG00000113212.7
OG0000026	ENSCAFG00000024614.3	ENSG00000112852.7
OG0000026	ENSCAFG00000006106.4	ENSG00000120327.6
OG0000026	ENSCAFG00000030815.2	ENSG00000113211.5
OG0000027	ENSCAFG00000031767.2	ENSG00000075886.11, ENSG00000198033.12
OG0000027	ENSCAFG00000015086.4	ENSG00000152086.9
OG0000027	ENSCAFG00000015217.3	ENSG00000123416.15
OG0000027	ENSCAFG00000005248.4	ENSG00000178462.12
OG0000027	ENSCAFG00000010412.4	ENSG00000183785.15
OG0000027	ENSCAFG00000015209.4	ENSG00000127824.14
OG0000028	ENSCAFG00000042932.1, ENSCAFG00000050021.1, ENSCAFG00000047890.1	ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4
OG0000028	ENSCAFG00000030509.2, ENSCAFG00000024425.3	ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4, ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5
OG0000029	ENSCAFG00000025322.3	ENSG00000170454.6
OG0000031	ENSCAFG00000005052.4	ENSG00000197408.10
OG0000031	ENSCAFG00000032339.2, ENSCAFG00000031823.2	ENSG00000197838.5, ENSG00000255974.8, ENSG00000198077.10
OG0000032	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1	ENSG00000205327.3
OG0000032	ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1	ENSG00000179695.2
OG0000032	ENSCAFG00000006303.3	ENSG00000197706.3
OG0000032	ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1	ENSG00000188324.4
OG0000032	ENSCAFG00000009495.3, ENSCAFG00000043356.1	ENSG00000187857.4
OG0000032	ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4	ENSG00000205330.4
OG0000032	ENSCAFG00000029875.1, ENSCAFG00000044831.1	ENSG00000205329.2
OG0000032	ENSCAFG00000046509.1, ENSCAFG00000010795.3	ENSG00000179626.4
OG0000033	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1	ENSG00000205495.1
OG0000033	ENSCAFG00000031681.2, ENSCAFG00000029703.1	ENSG00000176787.2
OG0000033	ENSCAFG00000042183.1	ENSG00000180974.4
OG0000033	ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2	ENSG00000183269.5, ENSG00000205409.3
OG0000033	ENSCAFG00000031226.2, ENSCAFG00000029020.2	ENSG00000181609.5
OG0000033	ENSCAFG00000024586.1, ENSCAFG00000047088.1	ENSG00000181616.9
OG0000033	ENSCAFG00000006366.3	ENSG00000255307.1
OG0000033	ENSCAFG00000006226.4	ENSG00000187747.2
OG0000034	ENSCAFG00000042737.1	ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16
OG0000034	ENSCAFG00000019460.4	ENSG00000188229.6
OG0000034	ENSCAFG00000009337.4	ENSG00000137285.10
OG0000034	ENSCAFG00000042390.1	ENSG00000137267.6
OG0000034	ENSCAFG00000018634.4	ENSG00000104833.12
OG0000039	ENSCAFG00000024740.3	ENSG00000127362.2
OG0000039	ENSCAFG00000013384.1	ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1
OG0000039	ENSCAFG00000013378.2, ENSCAFG00000048463.1	ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3
OG0000039	ENSCAFG00000013381.2	ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2
OG0000040	ENSCAFG00000008234.5	ENSG00000206506.10, ENSG00000235680.8, ENSG00000276051.4, ENSG00000235346.9, ENSG00000233095.8, ENSG00000230413.9, ENSG00000237216.8, ENSG00000204632.11, ENSG00000231834.10, ENSG00000223980.10, ENSG00000234745.11, ENSG00000232126.8, ENSG00000206450.11, ENSG00000228964.10, ENSG00000224608.10, ENSG00000223532.10, ENSG00000225691.7, ENSG00000204525.16, ENSG00000233841.11, ENSG00000206435.10, ENSG00000206452.10, ENSG00000237022.10, ENSG00000228299.9, ENSG00000229215.9, ENSG00000224320.9, ENSG00000206505.13, ENSG00000235657.9, ENSG00000227715.11, ENSG00000206503.13, ENSG00000233904.6, ENSG00000229252.6, ENSG00000230254.7, ENSG00000206493.7, ENSG00000204592.9, ENSG00000225201.6, ENSG00000236632.5
OG0000042	ENSCAFG00000049483.1	ENSG00000276547.1
OG0000045	ENSCAFG00000024541.1	ENSG00000188425.4
OG0000047	ENSCAFG00000010365.4	ENSG00000214787.10, ENSG00000110079.18
OG0000050	ENSCAFG00000000742.3	ENSG00000130368.6
OG0000051	ENSCAFG00000011130.5	ENSG00000136531.17
OG0000051	ENSCAFG00000005058.5	ENSG00000144285.21
OG0000051	ENSCAFG00000010864.5	ENSG00000153253.18
OG0000051	ENSCAFG00000011438.5	ENSG00000169432.17
OG0000051	ENSCAFG00000012146.5	ENSG00000007314.12
OG0000051	ENSCAFG00000005051.5	ENSG00000183873.16
OG0000051	ENSCAFG00000007600.4	ENSG00000196876.17
OG0000052	ENSCAFG00000025546.3	ENSG00000211801.3
OG0000052	ENSCAFG00000011096.4	ENSG00000211810.3
OG0000052	ENSCAFG00000048140.1, ENSCAFG00000043519.1, ENSCAFG00000047752.1	ENSG00000211779.3, ENSG00000211791.2, ENSG00000211788.2
OG0000056	ENSCAFG00000023033.4	ENSG00000239389.8
OG0000056	ENSCAFG00000045181.1	ENSG00000204965.9
OG0000059	ENSCAFG00000005734.5	ENSG00000184009.12
OG0000059	ENSCAFG00000006961.3	ENSG00000169067.4
OG0000059	ENSCAFG00000010442.5	ENSG00000159251.8, ENSG00000143632.14, ENSG00000163017.14, ENSG00000107796.13
OG0000061	ENSCAFG00000013596.4	ENSG00000110848.8
OG0000061	ENSCAFG00000032751.2	ENSG00000110852.4
OG0000061	ENSCAFG00000047442.1	ENSG00000188393.9
OG0000061	ENSCAFG00000031529.2	ENSG00000069493.15
OG0000062	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2	ENSG00000134193.15
OG0000063	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1	ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7
OG0000063	ENSCAFG00000048456.1	ENSG00000177047.6
OG0000064	ENSCAFG00000047687.1, ENSCAFG00000046041.1, ENSCAFG00000046135.1, ENSCAFG00000047572.1, ENSCAFG00000042663.1, ENSCAFG00000042778.1, ENSCAFG00000043564.1, ENSCAFG00000041882.1, ENSCAFG00000042584.1, ENSCAFG00000031121.2, ENSCAFG00000043563.1, ENSCAFG00000047982.1, ENSCAFG00000043200.1, ENSCAFG00000042397.1, ENSCAFG00000049138.1, ENSCAFG00000044081.1, ENSCAFG00000049391.1, ENSCAFG00000047614.1, ENSCAFG00000049667.1, ENSCAFG00000042234.1, ENSCAFG00000044414.1, ENSCAFG00000045261.1, ENSCAFG00000028583.2, ENSCAFG00000047583.1, ENSCAFG00000042668.1, ENSCAFG00000046921.1	ENSG00000282182.1, ENSG00000251039.2, ENSG00000273962.1
OG0000065	ENSCAFG00000017661.3	ENSG00000165953.9
OG0000065	ENSCAFG00000023610.3	ENSG00000170054.14, ENSG00000100665.12
OG0000065	ENSCAFG00000017675.5	ENSG00000196136.18
OG0000065	ENSCAFG00000017646.4	ENSG00000258597.3, ENSG00000274821.4, ENSG00000277377.4, ENSG00000197249.14
OG0000069	ENSCAFG00000000063.4	ENSG00000135437.9
OG0000069	ENSCAFG00000000148.4	ENSG00000139547.7
OG0000069	ENSCAFG00000000143.4	ENSG00000025423.11
OG0000069	ENSCAFG00000023161.2	ENSG00000170426.2
OG0000070	ENSCAFG00000029067.2, ENSCAFG00000030172.2, ENSCAFG00000042474.1	ENSG00000182986.14, ENSG00000204604.12, ENSG00000198538.11, ENSG00000213799.13, ENSG00000196417.13, ENSG00000160336.15, ENSG00000198346.11, ENSG00000203326.12, ENSG00000258405.11, ENSG00000198482.13, ENSG00000189190.10, ENSG00000213020.10, ENSG00000221874.4, ENSG00000180257.13, ENSG00000197385.6, ENSG00000167562.12, ENSG00000213793.5, ENSG00000197497.11, ENSG00000197608.11, ENSG00000196267.12, ENSG00000204611.7, ENSG00000170954.11, ENSG00000167555.14, ENSG00000198633.10, ENSG00000221923.9, ENSG00000198464.14, ENSG00000167554.15, ENSG00000196214.11, ENSG00000167766.18, ENSG00000170949.17
OG0000071	ENSCAFG00000014247.5, ENSCAFG00000023933.3	ENSG00000007129.18, ENSG00000278565.4, ENSG00000007306.15, ENSG00000221878.13, ENSG00000124467.19, ENSG00000231924.9, ENSG00000221826.10, ENSG00000183668.18, ENSG00000170848.15, ENSG00000204941.14, ENSG00000243137.8, ENSG00000243130.8, ENSG00000242221.9, ENSG00000086548.9, ENSG00000124469.12, ENSG00000105388.16, ENSG00000079385.22
OG0000071	ENSCAFG00000043802.1	ENSG00000170956.17, ENSG00000274131.3, ENSG00000105352.10
OG0000072	ENSCAFG00000015418.4	ENSG00000197901.11
OG0000072	ENSCAFG00000024439.3	ENSG00000149452.16
OG0000072	ENSCAFG00000025146.3	ENSG00000168065.16
OG0000072	ENSCAFG00000014367.4	ENSG00000197891.12
OG0000072	ENSCAFG00000025291.4	ENSG00000184999.12
OG0000072	ENSCAFG00000043861.1, ENSCAFG00000015226.5	ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10
OG0000073	ENSCAFG00000000641.4	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6
OG0000073	ENSCAFG00000000639.3	ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6
OG0000073	ENSCAFG00000001886.2, ENSCAFG00000011666.4	ENSG00000109971.14
OG0000073	ENSCAFG00000016031.2	ENSG00000126803.9
OG0000074	ENSCAFG00000002880.4	ENSG00000129437.10
OG0000074	ENSCAFG00000003818.4	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5
OG0000076	ENSCAFG00000014977.4, ENSCAFG00000045242.1, ENSCAFG00000024337.3, ENSCAFG00000031023.2, ENSCAFG00000048830.1	ENSG00000211798.3, ENSG00000211783.3, ENSG00000211793.2
OG0000077	ENSCAFG00000002723.5, ENSCAFG00000032019.2	ENSG00000142405.21
OG0000077	ENSCAFG00000010686.4	ENSG00000162711.17
OG0000077	ENSCAFG00000006714.5	ENSG00000158077.4
OG0000077	ENSCAFG00000024796.3	ENSG00000276230.4, ENSG00000023191.17
OG0000079	ENSCAFG00000042586.1	ENSG00000211746.3, ENSG00000282621.1
OG0000079	ENSCAFG00000043031.1	ENSG00000282730.1, ENSG00000211750.2
OG0000079	ENSCAFG00000031359.2	ENSG00000281963.1, ENSG00000282499.1
OG0000079	ENSCAFG00000049082.1	ENSG00000282812.1, ENSG00000211753.4
OG0000079	ENSCAFG00000003812.4	ENSG00000282610.1, ENSG00000282134.1, ENSG00000253534.1, ENSG00000282470.1, ENSG00000253188.1, ENSG00000277110.3, ENSG00000211721.2, ENSG00000211724.3, ENSG00000282459.1, ENSG00000281970.1, ENSG00000211706.2, ENSG00000282240.1, ENSG00000211713.3, ENSG00000282719.1, ENSG00000283063.1, ENSG00000282353.1, ENSG00000282007.1, ENSG00000229769.2, ENSG00000275791.1, ENSG00000282340.1, ENSG00000211717.3, ENSG00000282618.1
OG0000079	ENSCAFG00000045360.1	ENSG00000211752.3, ENSG00000282234.1
OG0000081	ENSCAFG00000007774.4	ENSG00000139610.2
OG0000081	ENSCAFG00000016301.5	ENSG00000162438.12
OG0000081	ENSCAFG00000014733.4	ENSG00000142789.20, ENSG00000219073.8
OG0000083	ENSCAFG00000018167.4	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2
OG0000083	ENSCAFG00000018164.4	ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5
OG0000083	ENSCAFG00000018169.4	ENSG00000276409.5, ENSG00000277236.4
OG0000085	ENSCAFG00000006062.5	ENSG00000187498.16
OG0000085	ENSCAFG00000018020.5	ENSG00000188153.13
OG0000085	ENSCAFG00000018016.5	ENSG00000197565.16
OG0000085	ENSCAFG00000010423.5	ENSG00000081052.13
OG0000085	ENSCAFG00000010426.5	ENSG00000169031.20
OG0000086	ENSCAFG00000013249.4	ENSG00000101210.12
OG0000086	ENSCAFG00000024474.2, ENSCAFG00000011673.1, ENSCAFG00000024406.2, ENSCAFG00000042176.1, ENSCAFG00000003316.1, ENSCAFG00000012222.4, ENSCAFG00000023039.3, ENSCAFG00000044361.1, ENSCAFG00000041097.1, ENSCAFG00000006899.3, ENSCAFG00000017848.4, ENSCAFG00000018228.5, ENSCAFG00000014607.4, ENSCAFG00000041885.1, ENSCAFG00000008655.4, ENSCAFG00000025295.2, ENSCAFG00000002656.4, ENSCAFG00000007079.4, ENSCAFG00000000565.3, ENSCAFG00000017221.3, ENSCAFG00000024806.5, ENSCAFG00000046499.1, ENSCAFG00000009708.2	ENSG00000156508.18
OG0000087	ENSCAFG00000017262.4	ENSG00000133026.12
OG0000087	ENSCAFG00000018560.4	ENSG00000276480.5, ENSG00000133392.18
OG0000087	ENSCAFG00000001630.4	ENSG00000100345.21
OG0000087	ENSCAFG00000003156.5	ENSG00000105357.18
OG0000090	ENSCAFG00000009316.4	ENSG00000198848.12, ENSG00000262243.5
OG0000090	ENSCAFG00000020391.4	ENSG00000172831.13
OG0000091	ENSCAFG00000020200.6	ENSG00000183347.14
OG0000091	ENSCAFG00000020204.5	ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10
OG0000092	ENSCAFG00000015796.4	ENSG00000167460.17
OG0000092	ENSCAFG00000017311.5	ENSG00000143549.21
OG0000092	ENSCAFG00000002086.5	ENSG00000198467.15
OG0000093	ENSCAFG00000006121.5	ENSG00000070961.15
OG0000093	ENSCAFG00000009564.4	ENSG00000058668.14
OG0000093	ENSCAFG00000019230.4	ENSG00000067842.17
OG0000093	ENSCAFG00000005076.5	ENSG00000157087.20
OG0000094	ENSCAFG00000045458.1	ENSG00000168594.15
OG0000094	ENSCAFG00000016666.3	ENSG00000134007.5
OG0000094	ENSCAFG00000016663.3	ENSG00000139985.7
OG0000095	ENSCAFG00000004561.5	ENSG00000178789.9
OG0000095	ENSCAFG00000024944.3, ENSCAFG00000043524.1, ENSCAFG00000024942.4, ENSCAFG00000043569.1	ENSG00000204345.1
OG0000095	ENSCAFG00000004595.5	ENSG00000186074.19
OG0000095	ENSCAFG00000004565.5	ENSG00000186407.7
OG0000095	ENSCAFG00000028912.2	ENSG00000284690.2
OG0000095	ENSCAFG00000044944.1, ENSCAFG00000024792.3	ENSG00000167851.15, ENSG00000167850.4
OG0000096	ENSCAFG00000011300.4, ENSCAFG00000011293.4	ENSG00000279116.2
OG0000096	ENSCAFG00000023573.3	ENSG00000196341.3
OG0000096	ENSCAFG00000011470.3	ENSG00000181518.4
OG0000096	ENSCAFG00000011237.4	ENSG00000196119.8
OG0000096	ENSCAFG00000030741.2	ENSG00000197849.6, ENSG00000255298.3
