Orthogroup	C_familiaris.pep	A_carolinensis.pep
OG0000086	ENSCAFG00000041091.1, ENSCAFG00000003668.3, ENSCAFG00000024474.2, ENSCAFG00000011673.1, ENSCAFG00000024406.2, ENSCAFG00000042176.1, ENSCAFG00000003316.1, ENSCAFG00000012222.4, ENSCAFG00000023039.3, ENSCAFG00000044361.1, ENSCAFG00000041097.1, ENSCAFG00000006899.3, ENSCAFG00000017848.4, ENSCAFG00000018228.5, ENSCAFG00000014607.4, ENSCAFG00000041885.1, ENSCAFG00000008655.4, ENSCAFG00000025295.2, ENSCAFG00000002656.4, ENSCAFG00000007079.4, ENSCAFG00000000565.3, ENSCAFG00000017221.3, ENSCAFG00000024806.5, ENSCAFG00000046499.1, ENSCAFG00000009708.2	ENSACAG00000004556.3
OG0000087	ENSCAFG00000017262.4	ENSACAG00000017579.3
OG0000087	ENSCAFG00000018560.4	ENSACAG00000008633.3
OG0000087	ENSCAFG00000001630.4	ENSACAG00000016387.3
OG0000087	ENSCAFG00000003156.5	ENSACAG00000015586.3
OG0000090	ENSCAFG00000009316.4	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2
OG0000091	ENSCAFG00000020200.6, ENSCAFG00000020204.5	ENSACAG00000006626.3, ENSACAG00000028945.1, ENSACAG00000022872.1
OG0000092	ENSCAFG00000015796.4	ENSACAG00000011479.3
OG0000092	ENSCAFG00000017311.5	ENSACAG00000010562.2
OG0000092	ENSCAFG00000002086.5	ENSACAG00000022662.1
OG0000093	ENSCAFG00000006121.5	ENSACAG00000011979.3
OG0000093	ENSCAFG00000009564.4	ENSACAG00000010151.3
OG0000093	ENSCAFG00000019230.4	ENSACAG00000009210.3
OG0000093	ENSCAFG00000005076.5	ENSACAG00000009556.3
OG0000094	ENSCAFG00000016666.3, ENSCAFG00000016663.3, ENSCAFG00000007921.4	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1, ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2, ENSACAG00000015961.3, ENSACAG00000022750.1
OG0000095	ENSCAFG00000004561.5, ENSCAFG00000024944.3, ENSCAFG00000043524.1, ENSCAFG00000024942.4, ENSCAFG00000043569.1, ENSCAFG00000004595.5	ENSACAG00000005375.3
OG0000095	ENSCAFG00000004565.5, ENSCAFG00000028912.2, ENSCAFG00000044944.1, ENSCAFG00000024792.3	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1
OG0000099	ENSCAFG00000015936.4	ENSACAG00000005061.3
OG0000099	ENSCAFG00000003332.4	ENSACAG00000003318.3
OG0000099	ENSCAFG00000008741.4	ENSACAG00000000872.2
OG0000099	ENSCAFG00000023528.4	ENSACAG00000014526.3
OG0000099	ENSCAFG00000002714.5	ENSACAG00000012709.3
OG0000100	ENSCAFG00000009056.4, ENSCAFG00000024869.4	ENSACAG00000011428.3
OG0000101	ENSCAFG00000041354.1, ENSCAFG00000042554.1	ENSACAG00000007876.3
OG0000101	ENSCAFG00000000110.4	ENSACAG00000022592.2
OG0000101	ENSCAFG00000013875.6	ENSACAG00000010643.3
OG0000101	ENSCAFG00000013728.4	ENSACAG00000017407.2
OG0000102	ENSCAFG00000009239.4, ENSCAFG00000009211.5, ENSCAFG00000003294.4, ENSCAFG00000043434.1, ENSCAFG00000007763.4, ENSCAFG00000007942.4	ENSACAG00000000061.3
OG0000102	ENSCAFG00000007002.1, ENSCAFG00000012195.5, ENSCAFG00000017824.2, ENSCAFG00000001098.2, ENSCAFG00000009620.3, ENSCAFG00000016636.4, ENSCAFG00000049593.1, ENSCAFG00000006066.4, ENSCAFG00000017236.2	ENSACAG00000017089.3
OG0000106	ENSCAFG00000049411.1, ENSCAFG00000040986.1, ENSCAFG00000005307.3, ENSCAFG00000017180.4, ENSCAFG00000006327.4, ENSCAFG00000002232.4, ENSCAFG00000006580.5	ENSACAG00000007169.3
OG0000106	ENSCAFG00000013497.4, ENSCAFG00000019198.3	ENSACAG00000012234.3
OG0000108	ENSCAFG00000014877.4, ENSCAFG00000014939.5, ENSCAFG00000014990.4	ENSACAG00000000874.3, ENSACAG00000017475.3
OG0000109	ENSCAFG00000032077.2	ENSACAG00000016498.2, ENSACAG00000014576.2, ENSACAG00000029238.1
OG0000109	ENSCAFG00000032642.1	ENSACAG00000021011.2
OG0000109	ENSCAFG00000030414.1	ENSACAG00000024704.1, ENSACAG00000027474.1, ENSACAG00000017078.2, ENSACAG00000024505.1, ENSACAG00000016372.2, ENSACAG00000017462.2, ENSACAG00000022446.2, ENSACAG00000024590.1, ENSACAG00000025266.1
OG0000109	ENSCAFG00000031862.2	ENSACAG00000024991.1
OG0000110	ENSCAFG00000030472.2	ENSACAG00000017328.3, ENSACAG00000015074.3
OG0000110	ENSCAFG00000002712.4	ENSACAG00000001550.3
OG0000111	ENSCAFG00000008668.4	ENSACAG00000012255.3
OG0000111	ENSCAFG00000006087.5, ENSCAFG00000001952.5	ENSACAG00000001660.3
OG0000111	ENSCAFG00000000906.4	ENSACAG00000012880.3
OG0000111	ENSCAFG00000018419.5	ENSACAG00000011892.3
OG0000112	ENSCAFG00000028888.3, ENSCAFG00000029376.2, ENSCAFG00000031254.2, ENSCAFG00000029232.3, ENSCAFG00000030088.2, ENSCAFG00000002857.5	ENSACAG00000029696.1, ENSACAG00000009562.3, ENSACAG00000009384.3
OG0000113	ENSCAFG00000031682.2	ENSACAG00000021110.2, ENSACAG00000001664.3, ENSACAG00000009032.3, ENSACAG00000008898.2
OG0000115	ENSCAFG00000016928.4, ENSCAFG00000016949.4, ENSCAFG00000023464.3	ENSACAG00000029538.1, ENSACAG00000004949.3, ENSACAG00000005188.3, ENSACAG00000025047.1, ENSACAG00000005203.3, ENSACAG00000005465.2
OG0000115	ENSCAFG00000006948.4	ENSACAG00000013726.3
OG0000116	ENSCAFG00000015944.4, ENSCAFG00000031250.2	ENSACAG00000026769.2, ENSACAG00000017879.3
OG0000116	ENSCAFG00000016007.4	ENSACAG00000028720.1
OG0000118	ENSCAFG00000004727.5	ENSACAG00000027865.2, ENSACAG00000027084.2, ENSACAG00000006864.2, ENSACAG00000027740.2, ENSACAG00000004461.2, ENSACAG00000005249.2, ENSACAG00000022806.2
OG0000119	ENSCAFG00000012914.5	ENSACAG00000017852.2
OG0000119	ENSCAFG00000006342.3, ENSCAFG00000002351.2, ENSCAFG00000003053.3, ENSCAFG00000000621.5	ENSACAG00000017312.2
OG0000119	ENSCAFG00000002016.5	ENSACAG00000013030.3
OG0000120	ENSCAFG00000010932.3	ENSACAG00000024289.1
OG0000121	ENSCAFG00000023682.2	ENSACAG00000012366.2, ENSACAG00000023024.1, ENSACAG00000024968.1, ENSACAG00000023556.1, ENSACAG00000024949.1, ENSACAG00000026692.1, ENSACAG00000028163.1, ENSACAG00000022026.1, ENSACAG00000025849.1, ENSACAG00000024960.1
OG0000126	ENSCAFG00000001462.4	ENSACAG00000002262.3
OG0000126	ENSCAFG00000001534.6	ENSACAG00000002789.2
OG0000126	ENSCAFG00000017589.6	ENSACAG00000014467.3
OG0000127	ENSCAFG00000004442.4	ENSACAG00000006602.2
OG0000127	ENSCAFG00000004429.4, ENSCAFG00000004444.4, ENSCAFG00000025209.3	ENSACAG00000027554.2, ENSACAG00000017661.3
OG0000128	ENSCAFG00000005426.4, ENSCAFG00000005431.4	ENSACAG00000007894.2, ENSACAG00000022863.1
OG0000129	ENSCAFG00000009280.5	ENSACAG00000013632.3
OG0000129	ENSCAFG00000018639.5	ENSACAG00000010005.3
OG0000129	ENSCAFG00000011524.5	ENSACAG00000001027.3
OG0000129	ENSCAFG00000001101.5	ENSACAG00000010512.3
OG0000130	ENSCAFG00000036179.2, ENSCAFG00000012794.4	ENSACAG00000012428.3
OG0000131	ENSCAFG00000011907.5	ENSACAG00000004607.2
OG0000131	ENSCAFG00000044122.1, ENSCAFG00000003326.3, ENSCAFG00000006821.5	ENSACAG00000000783.3
OG0000135	ENSCAFG00000025335.3, ENSCAFG00000046516.1, ENSCAFG00000015593.4, ENSCAFG00000031201.3, ENSCAFG00000030315.2, ENSCAFG00000025454.3, ENSCAFG00000029953.3, ENSCAFG00000025524.3, ENSCAFG00000042019.1	ENSACAG00000011411.3, ENSACAG00000026651.2, ENSACAG00000011407.3, ENSACAG00000027636.2
OG0000136	ENSCAFG00000013171.4	ENSACAG00000012681.3
OG0000136	ENSCAFG00000000828.4	ENSACAG00000015344.3
OG0000136	ENSCAFG00000017373.4	ENSACAG00000014143.3
OG0000137	ENSCAFG00000002129.5	ENSACAG00000014020.3
OG0000137	ENSCAFG00000016967.4	ENSACAG00000005384.3
OG0000137	ENSCAFG00000013476.4	ENSACAG00000007063.3
OG0000137	ENSCAFG00000013060.5	ENSACAG00000015877.3
OG0000138	ENSCAFG00000005174.4	ENSACAG00000011443.3
OG0000138	ENSCAFG00000016259.3, ENSCAFG00000015882.2	ENSACAG00000028348.1
OG0000138	ENSCAFG00000015223.4	ENSACAG00000013484.3
OG0000143	ENSCAFG00000029801.2	ENSACAG00000000791.3
OG0000143	ENSCAFG00000031398.3	ENSACAG00000028463.1, ENSACAG00000008666.3
OG0000143	ENSCAFG00000044275.1	ENSACAG00000008686.3
OG0000144	ENSCAFG00000032359.2, ENSCAFG00000004574.5	ENSACAG00000016862.2, ENSACAG00000028535.1, ENSACAG00000017193.2
OG0000146	ENSCAFG00000019335.4, ENSCAFG00000045657.1, ENSCAFG00000042548.1	ENSACAG00000025507.1, ENSACAG00000007026.3
OG0000147	ENSCAFG00000010962.5	ENSACAG00000007703.3
OG0000147	ENSCAFG00000015799.4	ENSACAG00000015019.3
OG0000147	ENSCAFG00000006607.4	ENSACAG00000014556.3
OG0000147	ENSCAFG00000008753.4	ENSACAG00000006159.3
