P_Mucros.pep,P_bivittatus_protein
XP_015667384.1,XP_015745164.1
XP_015668225.1,XP_007444921.2
XP_015671583.1,XP_015745863.2
XP_029140763.1,XP_007423190.1
XP_015678646.1,XP_007426461.1
XP_015678647.1,XP_025021307.1
XP_015677956.1,XP_007436629.1
XP_015683034.1,XP_007425452.1
XP_015672503.1,XP_007426346.1
XP_015679176.1,XP_007429545.2
XP_015679096.1,XP_015745242.1
XP_015676129.1,XP_007426604.1
XP_015672051.1,XP_007440899.1
XP_029140405.1,XP_007438607.2
XP_029140162.1,XP_025025483.1
XP_015679165.1,XP_007428606.1
XP_029139964.1,XP_007437767.1
XP_029139965.1,XP_025027885.1
XP_029139967.1,XP_025031621.1
XP_029141207.1,XP_025032436.1
XP_015676189.1,XP_007433902.1
XP_015672468.1,XP_007444510.1
XP_015679262.2,XP_025021316.1
XP_015672475.1,XP_015744131.1
XP_015671391.1,XP_025019747.1
XP_029142131.1,XP_025032999.1
XP_015675100.1,XP_007435027.1
XP_015682701.1,XP_007427442.1
XP_015675017.1,XP_025028850.1
XP_015675003.1,XP_007438113.1
XP_015678334.1,XP_007433138.1
XP_015676151.1,XP_025028909.1
XP_029141186.1,XP_025022441.1
XP_015670837.1,XP_007432933.1
XP_029138883.1,XP_007422577.1
XP_015679697.1,XP_007421950.1
XP_015669312.1,XP_007427938.1
XP_015681608.1,XP_007420667.1
XP_015673214.1,XP_007426636.1
XP_015673213.1,XP_025021415.1
XP_029143083.1,XP_025023576.1
XP_029141693.1,XP_025030804.1
XP_015670509.1,XP_007437778.3
XP_015670475.1,XP_007444769.1
XP_015670476.1,XP_007437782.3
XP_015670480.1,XP_007437777.1
XP_015670479.1,XP_007437781.2
XP_015679309.1,XP_007438029.1
XP_029143039.1,XP_015744202.1
XP_015677141.1,XP_007439906.2
XP_015677827.1,XP_007425681.2
XP_015687890.1,XP_007433624.1
XP_015670377.1,XP_007443914.1
XP_015683638.1,XP_007438216.2
XP_029141908.1,XP_015742870.1
XP_015670145.1,XP_007424366.2
XP_015668019.1,XP_007429009.1
XP_015683887.1,XP_007429863.1
XP_015683878.1,XP_007429862.1
XP_015674326.1,XP_007424938.1
XP_015674325.1,XP_025020321.1
XP_015668021.1,XP_007429011.1
XP_015674324.1,XP_007424937.2
XP_015666713.1,XP_007427637.1
XP_015670112.1,XP_007423499.1
XP_015684290.1,XP_025020729.1
XP_015684291.1,XP_025020730.1
XP_015678280.1,XP_007426285.1
XP_015682858.1,XP_007419876.1
XP_015668968.1,XP_007437145.1
XP_029142118.1,XP_025031439.1
XP_015682176.2,XP_015746145.2
XP_029142385.1,XP_025028476.1
XP_015674087.1,XP_007420780.1
XP_015676230.1,XP_007441917.3
XP_015667172.1,XP_007435361.1
XP_015666217.1,XP_007430252.1
XP_015669060.1,XP_007425357.1
XP_029141560.1,XP_007435230.1
XP_029141561.1,XP_025026939.1
XP_015679495.1,XP_007435229.1
XP_015679641.1,XP_007435231.1
XP_015683370.1,XP_007423487.2
XP_015668763.1,XP_007432565.1
XP_015665930.1,XP_007420209.1
XP_015681906.1,XP_015746616.2
XP_029139365.1,XP_025023308.1
XP_029143212.1,XP_007440778.2
XP_015683506.1,XP_007432573.1
XP_015668438.1,XP_007420862.1
XP_015667126.1,XP_007432015.2
XP_015678776.1,XP_025020198.1
XP_029140183.1,XP_025031789.1
XP_029140184.1,XP_025031526.1
XP_015672473.1,XP_007434784.1
XP_015684318.1,XP_007442629.1
XP_015670606.2,XP_007429283.1
XP_029140806.1,XP_007431381.1
XP_015667161.1,XP_007441174.1
XP_015675826.1,XP_007442850.2
XP_015679616.1,XP_025021969.1
XP_015665696.1,XP_007423152.1
XP_015671166.1,XP_007428450.1
XP_029140168.1,XP_025028352.1
XP_015687045.1,XP_025022651.1
XP_015675418.1,XP_007424025.1
XP_029140404.1,XP_025026004.1
XP_015673843.1,XP_007433842.1
XP_015682344.1,XP_007442224.1
XP_015668347.1,XP_007427920.1
XP_015668346.1,XP_007427919.1
XP_015668349.1,XP_007427921.1
XP_015672067.1,XP_007434912.1
XP_015680533.1,XP_007424212.1
XP_015671668.1,XP_025023388.1
XP_029140069.1,XP_007441078.3
XP_015682288.1,XP_007428782.2
XP_015682943.1,XP_007441262.2
XP_015685276.1,XP_007428707.1
XP_015687880.1,XP_007443722.1
XP_029139557.1,XP_025026808.1
XP_015683833.1,XP_007421715.1
XP_015683818.1,XP_007421714.1
XP_015670004.1,XP_007443963.1
XP_015670020.1,XP_007443964.1
XP_015672635.1,XP_007434818.1
XP_015669621.1,XP_007435501.1
XP_015668037.1,XP_007436052.1
XP_029139285.1,XP_015744910.1
XP_015675393.1,XP_007423427.1
XP_015680940.1,XP_007441805.1
XP_029141385.1,XP_007442319.1
XP_015681863.1,XP_007435249.1
XP_015669134.1,XP_007444258.2
XP_015678662.1,XP_007423389.1
XP_015669064.1,XP_007439741.1
XP_015669597.1,XP_025026314.1
XP_015673107.1,XP_025024288.1
XP_029140291.1,XP_025020531.1
XP_029140427.1,XP_025022392.1
XP_015674488.1,XP_025019813.1
XP_029142669.1,XP_025029497.1
XP_015681150.1,XP_007444589.2
XP_015681982.1,XP_007445134.1
XP_015671282.1,XP_007444281.2
XP_015665419.1,XP_007438180.1
XP_015671951.1,XP_007429391.1
XP_015675581.1,XP_007436301.1
XP_015673381.1,XP_007420401.1
XP_015686106.1,XP_007428084.1
XP_029139501.1,XP_025025561.1
XP_015683450.1,XP_007426143.1
XP_015676649.1,XP_007420792.2
XP_015669673.1,XP_007438799.2
XP_015672118.2,XP_007442733.3
XP_015669674.1,XP_007425077.1
XP_015670647.1,XP_025019200.1
XP_015684836.1,XP_007439028.1
XP_015665670.1,XP_007429829.1
XP_015669943.1,XP_015744103.1
XP_015669942.1,XP_025024328.1
XP_015665531.1,XP_007424544.1
XP_015671418.1,XP_007440405.1
XP_015678554.1,XP_007427037.1
XP_015670447.1,XP_007422281.1
XP_015668084.1,XP_007435636.1
XP_015673553.1,XP_007427441.1
XP_015665701.1,XP_007424202.1
XP_015673407.2,XP_025030356.1
XP_015669297.1,XP_007422472.1
XP_029142229.1,XP_007438553.1
XP_015681570.1,XP_007423429.1
XP_015676012.1,XP_007420243.1
XP_015668680.1,XP_007440288.1
XP_015686655.2,XP_025026520.1
XP_015673519.1,XP_025033388.1
XP_015670822.2,XP_025030453.1
XP_015677665.1,XP_007444593.2
XP_015677117.1,XP_025031795.1
XP_015687348.1,XP_007421936.1
XP_015675953.1,XP_015744531.1
XP_015677395.1,XP_007420798.1
XP_015670952.1,XP_007440178.1
XP_015681194.1,XP_007442355.3
XP_029140428.1,XP_025023840.1
XP_015674818.1,XP_007431720.1
XP_015667154.1,XP_007435146.1
XP_015683639.1,XP_007430240.1
XP_015682506.1,XP_025026192.1
XP_015670226.1,XP_007441998.1
XP_015672601.1,XP_025020601.1
XP_015675311.1,XP_025022076.1
XP_015675312.1,XP_007427686.1
XP_015675313.1,XP_007427688.1
XP_015680082.1,XP_025021727.1
XP_015684862.1,XP_025025275.1
XP_015668195.1,XP_007435942.1
XP_015669709.2,XP_025023239.1
XP_015686563.1,XP_007442689.1
XP_029138998.1,XP_025025196.1
XP_015667635.1,XP_025024240.1
XP_015687824.1,XP_007426667.1
XP_015665451.1,XP_007433199.1
XP_015686286.1,XP_007422415.1
XP_015668869.1,XP_007429179.1
XP_029142171.1,XP_025029469.1
XP_029141911.1,XP_025033174.1
XP_015675689.1,XP_025023521.1
XP_015672504.1,XP_007440622.2
XP_015683377.1,XP_007437483.1
XP_015670932.1,XP_007422788.1
XP_015670401.1,XP_007435932.1
XP_015683026.1,XP_015742940.1
XP_029142567.1,XP_025022642.1
XP_029142458.1,XP_007440433.2
XP_029142262.1,XP_025021428.1
XP_015670630.1,XP_007428427.1
XP_015670106.1,XP_007425989.2
XP_015687466.1,XP_007423717.1
XP_015678413.1,XP_025020726.1
XP_015683175.1,XP_007426752.1
XP_015670740.1,XP_007433360.2
XP_015677342.1,XP_007422568.2
XP_015667106.1,XP_025027266.1
XP_029142028.1,XP_025026707.1
XP_015678146.1,XP_007428247.1
XP_015670048.1,XP_007420100.1
XP_015683351.1,XP_007445078.1
XP_029141370.1,XP_007441011.1
XP_015677428.1,XP_025021413.1
XP_015679703.1,XP_025022518.1
XP_015684700.1,XP_007432808.1
XP_029139120.1,XP_007421752.1
XP_015666294.1,XP_007436717.1
XP_015678258.1,XP_007431032.1
XP_015671170.1,XP_007431612.1
XP_015672742.1,XP_007433517.1
XP_029141028.1,XP_007445275.2
XP_029141000.1,XP_025030421.1
XP_015677104.1,XP_007444622.1
XP_015675216.1,XP_007444578.1
XP_015665836.1,XP_007421493.2
XP_015678519.1,XP_007434939.1
XP_015677968.1,XP_025030327.1
XP_015670174.1,XP_007426932.2
XP_015680818.1,XP_007440632.1
XP_015670429.1,XP_007422260.1
XP_029141893.1,XP_007433492.1
XP_015666876.1,XP_025031255.1
XP_015672992.1,XP_007430026.1
XP_015676240.1,XP_007435984.1
XP_015684950.1,XP_007433866.1
XP_015666616.1,XP_007440582.1
XP_015680257.1,XP_025029255.1
XP_015675665.1,XP_025026938.1
XP_015667894.1,XP_025022551.1
XP_015687624.1,XP_007422993.1
XP_015687623.1,XP_007422992.1
XP_015680063.1,XP_007427043.1
XP_015680064.1,XP_007427044.1
XP_015679452.1,XP_025024738.1
XP_015667200.1,XP_025023360.1
XP_015681515.1,XP_007439499.1
XP_015665944.1,XP_007424965.1
XP_015671802.1,XP_025021690.1
XP_015679897.1,XP_015743144.1
XP_029138910.1,XP_015743143.1
XP_015666059.1,XP_007425771.1
XP_015669632.1,XP_007420698.1
XP_015669631.1,XP_007420697.1
XP_015669630.1,XP_015743536.1
XP_015675546.1,XP_007440580.1
XP_015675545.1,XP_007440579.1
XP_015678515.1,XP_007444855.1
XP_029141304.1,XP_025032679.1
XP_015685216.1,XP_025028463.1
XP_015676268.2,XP_025020524.1
XP_015676936.1,XP_015743708.2
XP_029142730.1,XP_025032411.1
XP_029142005.1,XP_007444302.2
XP_015676486.1,XP_025022712.1
XP_015677958.1,XP_007430355.1
XP_015668658.1,XP_025030288.1
XP_015667720.1,XP_007420446.2
XP_015683823.1,XP_007440175.1
XP_015683537.1,XP_007440710.1
XP_029140698.1,XP_007434152.1
XP_015683399.1,XP_007440564.2
XP_029142631.1,XP_007444094.1
XP_015666782.1,XP_007444969.1
XP_015670230.1,XP_007421304.2
XP_015675851.1,XP_015747071.1
XP_015683714.1,XP_015746142.1
XP_015676371.1,XP_007436973.1
XP_015665779.1,XP_025027843.1
XP_015676530.1,XP_007437586.1
XP_015677188.1,XP_007427696.1
XP_015678310.1,XP_007442552.1
XP_015685897.1,XP_007438919.2
XP_015666276.1,XP_025021742.1
XP_015668027.1,XP_007430219.1
XP_015668029.1,XP_007430225.1
XP_015684439.1,XP_025029397.1
XP_029139602.1,XP_007421991.1
XP_015676342.1,XP_007429758.1
XP_029139255.1,XP_025019984.1
XP_029141966.1,XP_007429599.1
XP_015680989.1,XP_007443988.1
XP_029141578.1,XP_025024517.1
XP_029139993.1,XP_007438517.2
XP_015680138.1,XP_015746283.1
XP_015687024.1,XP_007420363.1
XP_015677610.1,XP_025033475.1
XP_015676145.1,XP_025024073.1
XP_015675370.1,XP_007424892.2
XP_015677568.1,XP_007432476.1
XP_015672208.1,XP_007425364.1
XP_015667968.1,XP_007434567.1
XP_015665504.1,XP_007439726.1
XP_015670772.1,XP_007432172.1
XP_015678390.1,XP_007421300.1
XP_015687282.1,XP_007423762.1
XP_015674952.1,XP_007444763.1
XP_015673967.1,XP_007444665.1
XP_015686313.1,XP_025024819.1
XP_015680090.1,XP_007423933.2
XP_029138886.1,XP_025022591.1
XP_015668591.2,XP_025025377.1
XP_015676984.1,XP_025030600.1
XP_015687920.1,XP_007433621.1
XP_015673192.1,XP_007428229.2
XP_015679103.1,XP_007423844.1
XP_015679376.1,XP_007445546.2
XP_015671624.2,XP_007427178.1
XP_029141514.1,XP_025026432.1
XP_015682709.1,XP_007427618.1
XP_015687067.1,XP_007430615.1
XP_015668049.1,XP_007440597.1
