P_guttatus_protein,P_Mucros.pep,python_protein,Pm_geneid
XP_034271490.1,XP_015665931.1,XP_007420211.1,107282636
XP_034271532.1,XP_015665938.1,XP_007422065.1,107282642
XP_034271541.1,XP_029138894.1,XP_015743000.1,107282643
XP_034272451.1,XP_015665941.1,XP_025020332.1,107282646
XP_034272438.1,XP_015665945.1,XP_007424966.2,107282649
XP_034271395.1,XP_015665961.1,XP_007428979.2,107282663
XP_034271477.1,XP_015665973.1,XP_007420204.1,107282673
XP_034282442.1,XP_015666034.1,XP_007439730.1,107282727
XP_034257736.1,XP_015666050.1,XP_007425777.2,107282747
XP_034282429.1,XP_015666054.1,XP_007435286.1,107282748
XP_034257871.1,XP_015666058.1,XP_007442788.1,107282756
XP_034257825.1,XP_015666061.1,XP_007425775.1,107282760
XP_034257833.1,XP_015666062.1,XP_007425779.2,107282761
XP_034258551.1,XP_015666063.1,XP_025025509.1,107282762
XP_034258539.1,XP_015666066.1,XP_025025513.1,107282763
XP_034258027.1,XP_015666067.1,XP_007433154.1,107282764
XP_034258227.1,XP_015666077.1,XP_007420872.1,107282769
XP_034257795.1,XP_015666079.1,XP_007437214.1,107282770
XP_034257936.1,XP_015666088.1,XP_007429315.1,107282778
XP_034257717.1,XP_015666092.1,XP_007429317.1,107282780
XP_034258016.1,XP_015666098.1,XP_007425770.1,107282787
XP_034278448.1,XP_015666172.1,XP_007430392.1,107282855
XP_034289571.1,XP_015666205.1,XP_007426984.2,107282880
XP_034258137.1,XP_015666222.1,XP_025020963.1,107282899
XP_034258350.1,XP_015666228.1,XP_007441700.2,107282904
XP_034258034.1,XP_015666229.1,XP_025027498.1,107282905
XP_034258560.1,XP_015666231.1,XP_025027665.1,107282907
XP_034258089.1,XP_015666234.1,XP_007429322.1,107282909
XP_034258121.1,XP_029138932.1,XP_025023076.1,107282911
XP_034291000.1,XP_015666257.1,XP_007424003.1,107282932
XP_034258291.1,XP_015666279.2,XP_007442572.2,107282955
XP_034258287.1,XP_015666280.1,XP_007439781.1,107282956
XP_034258449.1,XP_015666284.1,XP_025023792.1,107282960
XP_034258343.1,XP_015666285.1,XP_025023795.1,107282961
XP_034258530.1,XP_015666287.1,XP_015743951.1,107282962
XP_034257913.1,XP_029138946.1,XP_007438035.1,107282965
XP_034258358.1,XP_015666291.1,XP_007420609.1,107282966
XP_034258296.1,XP_015666293.1,XP_025031862.1,107282968
XP_034286352.1,XP_015666297.1,XP_007440677.1,107282969
XP_034286348.1,XP_015666309.1,XP_007429215.1,107282978
XP_034285027.1,XP_029138949.1,XP_025021773.1,107282981
XP_034285025.1,XP_015666310.1,XP_007437556.1,107282982
XP_034286353.1,XP_015666320.1,XP_015742914.1,107282989
XP_034298145.1,XP_015666359.1,XP_007421373.1,107282996
XP_034284992.1,XP_015666330.1,XP_025032125.1,107283003
XP_034284988.1,XP_015666334.1,XP_007434172.1,107283006
XP_034284979.1,XP_015666335.1,XP_025031079.1,107283007
XP_034284978.1,XP_015666337.1,XP_007441301.1,107283009
XP_034271015.1,XP_015666366.1,XP_007432776.1,107283035
XP_034270999.1,XP_015666372.1,XP_025032901.1,107283040
XP_034270989.1,XP_015666375.1,XP_025024135.1,107283043
XP_034270986.1,XP_015666376.1,XP_007430965.1,107283044
XP_034270987.1,XP_015666377.1,XP_007430963.1,107283045
XP_034270977.1,XP_015666382.1,XP_007440739.1,107283050
XP_034270971.1,XP_015666386.1,XP_007433018.1,107283052
XP_034270964.1,XP_015666391.1,XP_007431309.1,107283057
XP_034270957.1,XP_015666396.1,XP_007443580.1,107283060
XP_034270952.1,XP_015666398.1,XP_007432339.3,107283061
XP_034270990.1,XP_015666403.1,XP_007430967.3,107283067
XP_034270981.1,XP_015666405.1,XP_007430956.1,107283068
XP_034258580.1,XP_015666461.1,XP_025024144.1,107283121
XP_034288319.1,XP_015666465.1,XP_007423235.1,107283122
XP_034265303.1,XP_015666464.1,XP_025031856.1,107283124
XP_034265136.1,XP_015666480.1,XP_025027340.1,107283138
XP_034265302.1,XP_015666483.1,XP_007424602.2,107283141
XP_034265289.1,XP_015666490.1,XP_007439873.1,107283146
XP_034265286.1,XP_015666491.2,XP_007431282.2,107283147
XP_034265221.1,XP_015666505.1,XP_015746434.2,107283154
XP_034265313.1,XP_015666515.1,XP_007424600.1,107283162
XP_034265229.1,XP_015666522.1,XP_025019966.1,107283170
XP_034265201.1,XP_015666524.1,XP_007424468.1,107283172
XP_034260760.1,XP_015666540.1,XP_025030667.1,107283183
XP_034272369.1,XP_029138990.1,XP_007425894.1,107283187
XP_034298155.1,XP_015666585.1,XP_007441190.1,107283192
XP_034276517.1,XP_015666561.1,XP_007436542.1,107283204
XP_034276540.1,XP_015666569.1,XP_007434902.1,107283211
XP_034272279.1,XP_015666570.1,XP_007437544.1,107283212
XP_034286551.1,XP_015666594.1,XP_007432156.3,107283235
XP_034286639.1,XP_015666611.1,XP_025031076.1,107283252
XP_034265882.1,XP_015666615.1,XP_007425691.1,107283253
XP_034286562.1,XP_015666619.1,XP_007432151.1,107283260
XP_034286568.1,XP_015666620.1,XP_007434603.1,107283261
XP_034265879.1,XP_015666626.1,XP_025020803.1,107283264
XP_034286596.1,XP_015666624.2,XP_007434598.2,107283266
XP_034286624.1,XP_015666633.1,XP_015744035.2,107283272
XP_034286540.1,XP_015666644.1,XP_007437342.1,107283283
XP_034267769.1,XP_015666652.1,XP_007432348.2,107283289
XP_034265874.1,XP_015666655.1,XP_007425694.1,107283290
XP_034269549.1,XP_015666660.1,XP_007429224.1,107283298
XP_034270423.1,XP_015666664.1,XP_025019907.1,107283302
XP_034264684.1,XP_015666705.1,XP_015745305.1,107283326
XP_034265606.1,XP_015666739.1,XP_025022747.1,107283361
XP_034265613.1,XP_015666744.1,XP_007443293.1,107283366
XP_034265609.1,XP_015666745.1,XP_007428828.1,107283367
XP_034265611.1,XP_015666746.1,XP_007428827.1,107283369
XP_034265607.1,XP_015666747.1,XP_025022744.1,107283370
XP_034265603.1,XP_015666750.1,XP_025032427.1,107283372
XP_034286322.1,XP_015666765.1,XP_007430021.1,107283385
XP_034298158.1,XP_015666813.1,XP_007437450.1,107283395
XP_034286315.1,XP_015666778.1,XP_007431827.1,107283398
XP_034286316.1,XP_015666780.1,XP_007440816.1,107283401
XP_034270853.1,XP_015666785.1,XP_025019821.1,107283405
XP_034270868.1,XP_015666793.1,XP_007420292.1,107283413
XP_034270867.1,XP_015666794.1,XP_007420291.1,107283414
XP_034270863.1,XP_015666795.1,XP_007420287.1,107283415
XP_034270847.1,XP_015666806.1,XP_007420283.1,107283421
XP_034270845.1,XP_015666807.1,XP_007420279.2,107283422
XP_034270810.1,XP_015666829.1,XP_007444286.1,107283436
XP_034270798.1,XP_015666834.1,XP_007420023.1,107283439
XP_034270780.1,XP_015666836.1,XP_025028551.1,107283441
XP_034270786.1,XP_015666839.1,XP_007420030.1,107283444
XP_034270766.1,XP_015666848.1,XP_007420033.1,107283446
XP_034270753.1,XP_029139042.1,XP_025029121.1,107283447
XP_034270740.1,XP_015666851.1,XP_007444145.2,107283450
XP_034270727.1,XP_015666852.1,XP_007442638.2,107283451
XP_034270712.1,XP_015666861.1,XP_007432730.1,107283457
XP_034270711.1,XP_015666863.1,XP_007432724.1,107283460
XP_034261810.1,XP_015666864.1,XP_007420295.1,107283461
XP_034270791.1,XP_015666873.1,XP_025028656.1,107283468
XP_034282510.1,XP_029139061.1,XP_007442681.1,107283479
XP_034282554.1,XP_015666891.1,XP_025032848.1,107283486
XP_034282534.1,XP_015666917.1,XP_007433001.1,107283511
XP_034282511.1,XP_015666919.1,XP_007442680.2,107283514
XP_034282590.1,XP_015666928.1,XP_025029269.1,107283521
XP_034282614.1,XP_015666936.1,XP_007442037.2,107283526
XP_034282506.1,XP_015666944.2,XP_007431685.1,107283534
XP_034282502.1,XP_015666945.1,XP_025024611.1,107283535
XP_034282573.1,XP_015666956.1,XP_007444603.1,107283543
XP_034282593.1,XP_015666961.1,XP_007438751.1,107283547
XP_034282640.1,XP_015666967.1,XP_007431831.1,107283554
XP_034257762.1,XP_015666969.1,XP_025028871.1,107283556
XP_034258356.1,XP_015666971.1,XP_007431358.2,107283557
XP_034257926.1,XP_015666984.1,XP_025021536.1,107283566
XP_034288840.1,XP_029139087.1,XP_007429941.1,107283569
XP_034288838.1,XP_029139084.1,XP_025021467.1,107283570
XP_034288858.1,XP_015666993.1,XP_007430903.3,107283575
XP_034288855.1,XP_029139089.1,XP_025024111.1,107283576
XP_034288851.1,XP_015666995.1,XP_007429938.2,107283577
XP_034288844.1,XP_015666997.1,XP_025023502.1,107283579
XP_034288835.1,XP_015667000.1,XP_007439838.1,107283583
XP_034257979.1,XP_029139099.1,XP_025022051.1,107283608
XP_034267537.1,XP_015667031.1,XP_007430700.1,107283616
XP_034258061.1,XP_015667043.1,XP_015745525.2,107283630
XP_034258368.1,XP_015667051.1,XP_007427895.1,107283635
XP_034258023.1,XP_015667052.1,XP_007436413.1,107283636
XP_034258180.1,XP_015667057.1,XP_007427638.1,107283643
XP_034258172.1,XP_015667062.1,XP_007425175.1,107283646
XP_034258271.1,XP_029139093.1,XP_007425173.1,107283647
XP_034258513.1,XP_015667065.1,XP_025020474.1,107283649
XP_034258007.1,XP_015667081.2,XP_025020576.1,107283662
XP_034257881.1,XP_015667083.1,XP_015743066.1,107283663
XP_034267540.1,XP_015667085.1,XP_007442925.1,107283665
XP_034267543.1,XP_015667086.1,XP_025031842.1,107283666
XP_034267530.1,XP_015667089.1,XP_007430702.1,107283670
XP_034257873.1,XP_015667099.1,XP_007431005.1,107283679
XP_034269205.1,XP_015667105.1,XP_015744862.2,107283686
XP_034269206.1,XP_015667121.1,XP_025027267.1,107283704
XP_034269063.1,XP_015667124.1,XP_007442830.1,107283706
XP_034269074.1,XP_015667127.1,XP_007432013.1,107283709
XP_034269168.1,XP_015667138.1,XP_007439822.1,107283717
XP_034269207.1,XP_015667151.1,XP_025027254.1,107283727
XP_034269078.1,XP_015667156.1,XP_015744197.1,107283733
XP_034269199.1,XP_015667177.1,XP_025029952.1,107283749
XP_034259871.1,XP_015667192.2,XP_007429017.1,107283763
XP_034259943.1,XP_015667198.1,XP_007438111.1,107283766
XP_034278153.1,XP_015667203.1,XP_025023349.1,107283770
XP_034259837.1,XP_015667207.1,XP_007421750.1,107283772
XP_034259879.1,XP_015667208.1,XP_025022870.1,107283773
XP_034259936.1,XP_015667209.1,XP_007432660.1,107283774
XP_034278152.1,XP_015667210.1,XP_025026308.1,107283775
XP_034264650.1,XP_015667215.1,XP_007439416.1,107283781
XP_034272294.1,XP_015667223.1,XP_025020888.1,107283789
XP_034272508.1,XP_015667224.1,XP_025020893.1,107283790
XP_034277232.1,XP_015667225.1,XP_025020897.1,107283792
XP_034290866.1,XP_015667229.1,XP_007431666.1,107283794
XP_034262187.1,XP_015667241.1,XP_007431653.1,107283800
XP_034264754.1,XP_015667242.1,XP_007426410.1,107283801
XP_034265838.1,XP_015667244.1,XP_007431545.1,107283803
XP_034267663.1,XP_015667252.1,XP_025027327.1,107283806
XP_034266805.1,XP_015667253.1,XP_025027326.1,107283807
XP_034296766.1,XP_015667256.1,XP_007421400.1,107283809
XP_034265638.1,XP_015667263.1,XP_007439191.1,107283816
XP_034296763.1,XP_015667264.1,XP_007421398.1,107283817
XP_034259452.1,XP_015667268.1,XP_007423001.1,107283821
XP_034258895.1,XP_015667273.1,XP_007423010.1,107283827
XP_034259522.1,XP_029139138.1,XP_025018974.1,107283830
XP_034259570.1,XP_015667287.1,XP_007423453.1,107283836
XP_034259568.1,XP_015667288.1,XP_025019292.1,107283837
XP_034258885.1,XP_015667296.1,XP_007441052.1,107283841
XP_034274623.1,XP_015667304.1,XP_007430832.1,107283850
XP_034274565.1,XP_015667308.1,XP_007436177.1,107283853
XP_034280616.1,XP_029139143.1,XP_007422398.1,107283866
XP_034280615.1,XP_015667326.1,XP_007440418.1,107283867
XP_034280611.1,XP_015667330.1,XP_007425140.1,107283868
XP_034280591.1,XP_015667335.1,XP_007423619.2,107283874
XP_034280588.1,XP_015667336.1,XP_007423620.1,107283875
XP_034257719.1,XP_015667337.1,XP_025019825.1,107283876
XP_034257721.1,XP_015667338.1,XP_007424214.1,107283877
XP_034280595.1,XP_015667342.2,XP_007425151.1,107283881
XP_034280520.1,XP_015667345.1,XP_007423618.2,107283883
XP_034283172.1,XP_015667351.1,XP_007430464.1,107283888
XP_034283153.1,XP_015667354.1,XP_025026129.1,107283891
XP_034283140.1,XP_015667355.1,XP_015744543.1,107283892
XP_034291361.1,XP_029139166.1,XP_015743897.2,107283899
XP_034291354.1,XP_015667377.1,XP_007420781.2,107283913
XP_034291395.1,XP_015667386.1,XP_007445157.2,107283921
XP_034291399.1,XP_015667387.1,XP_007436437.1,107283922
XP_034291429.1,XP_015667388.1,XP_015745309.1,107283923
XP_034291434.1,XP_015667389.2,XP_025025901.1,107283924
XP_034291436.1,XP_015667390.2,XP_007433680.1,107283925
XP_034272698.1,XP_015667394.1,XP_007440970.1,107283926
XP_034291351.1,XP_015667404.1,XP_007420777.1,107283934
XP_034291355.1,XP_029139165.1,XP_015743679.1,107283935
XP_034291377.1,XP_015667409.1,XP_015745064.2,107283938
XP_034291381.1,XP_015667411.1,XP_025028424.1,107283940
XP_034291397.1,XP_015667412.1,XP_025027732.1,107283941
XP_034272711.1,XP_015667439.1,XP_025024233.1,107283959
XP_034297269.1,XP_015667436.1,XP_007433930.1,107283960
XP_034259940.1,XP_015667488.1,XP_025027185.1,107283974
XP_034272714.1,XP_015667462.1,XP_015744072.1,107283980
XP_034297337.1,XP_015667465.1,XP_007440885.1,107283986
XP_034272693.1,XP_015667473.1,XP_025027706.1,107283991
XP_034297239.1,XP_015667472.2,XP_025026058.1,107283994
XP_034297349.1,XP_015667490.1,XP_015746060.1,107284009
XP_034257892.1,XP_015667501.2,XP_007428079.1,107284019
XP_034283359.1,XP_029139224.1,XP_007431748.1,107284021
XP_034258521.1,XP_029139190.1,XP_025028456.1,107284022
XP_034258496.1,XP_015667510.1,XP_025029391.1,107284026
XP_034292373.1,XP_015667514.1,XP_007431019.1,107284029
XP_034258640.1,XP_015667522.1,XP_025032954.1,107284036
XP_034259505.1,XP_015667524.1,XP_007440498.1,107284038
XP_034283344.1,XP_015667528.1,XP_007436253.1,107284039
XP_034258863.1,XP_015667532.1,XP_025025161.1,107284045
XP_034270149.1,XP_015667536.1,XP_025023496.1,107284050
XP_034270143.1,XP_015667544.1,XP_007429935.1,107284053
XP_034270129.1,XP_015667548.1,XP_007428985.1,107284055
XP_034283336.1,XP_015667552.1,XP_007428533.1,107284056
XP_034283362.1,XP_015667563.1,XP_007431749.2,107284068
XP_034259916.1,XP_015667600.1,XP_025027172.1,107284072
XP_034281446.1,XP_015667571.1,XP_025023272.1,107284080
XP_034281461.1,XP_015667575.1,XP_007440820.2,107284083
XP_034281449.1,XP_015667581.1,XP_007441075.1,107284089
XP_034283351.1,XP_015667585.1,XP_007436468.1,107284090
XP_034281466.1,XP_015667583.1,XP_007436295.1,107284092
XP_034268889.1,XP_029139204.1,XP_025032363.1,107284096
XP_034268891.1,XP_015667589.1,XP_007422228.1,107284097
XP_034267014.1,XP_029139209.1,XP_025019829.1,107284099
XP_034267035.1,XP_015667597.2,XP_007424228.1,107284106
XP_034267011.1,XP_015667606.1,XP_007434761.1,107284113
XP_034266996.1,XP_015667610.1,XP_007434758.1,107284115
XP_034283338.1,XP_015667628.1,XP_007428536.1,107284127
XP_034267560.1,XP_015667635.1,XP_025024240.1,107284137
XP_034267550.1,XP_015667647.1,XP_007438001.1,107284147
XP_034283352.1,XP_015667651.1,XP_007431742.1,107284148
XP_034281526.1,XP_015667669.1,XP_007443193.1,107284169
XP_034264963.1,XP_015667673.1,XP_007426409.1,107284170
XP_034281556.1,XP_015667670.1,XP_007438489.1,107284171
XP_034281590.1,XP_015667671.1,XP_007441746.3,107284172
XP_034281551.1,XP_015667679.1,NP_001306578.1,107284180
XP_034290201.1,XP_015667704.1,XP_007427972.1,107284200
XP_034290200.1,XP_015667705.1,XP_007427970.1,107284201
XP_034290207.1,XP_015667739.1,XP_025022227.1,107284226
XP_034287288.1,XP_015667769.1,XP_025021894.1,107284254
XP_034287284.1,XP_029139235.1,XP_007439853.2,107284255
XP_034287275.1,XP_015667776.1,XP_007443850.1,107284259
XP_034282699.1,XP_015667778.1,XP_015743318.1,107284261
XP_034282777.1,XP_029139247.1,XP_007432232.1,107284273
XP_034282669.1,XP_015667789.1,XP_015743323.1,107284274
XP_034282732.1,XP_015667806.1,XP_007433725.2,107284288
XP_034282744.1,XP_029139240.1,XP_015744352.2,107284292
XP_034282751.1,XP_015667812.1,XP_025026764.1,107284294
XP_034282753.1,XP_015667813.1,XP_007434981.1,107284296
XP_034282779.1,XP_015667822.1,XP_007430821.1,107284301
XP_034282782.1,XP_015667824.1,XP_007430820.1,107284302
XP_034282780.1,XP_015667826.1,XP_007430819.1,107284303
XP_034282778.1,XP_015667827.1,XP_025024049.1,107284304
XP_034282783.1,XP_015667833.2,XP_025024923.1,107284307
XP_034282708.1,XP_015667837.1,XP_015744811.1,107284311
XP_034285720.1,XP_015667847.1,XP_025029065.1,107284320
XP_034285723.1,XP_029139249.1,XP_015743166.1,107284329
XP_034285724.1,XP_015667862.1,XP_007425889.1,107284330
XP_034285695.1,XP_015667864.1,XP_025023690.1,107284332
XP_034285713.1,XP_015667866.1,XP_025028470.1,107284334
XP_034257569.1,XP_015667888.2,XP_007434185.1,107284355
XP_034257568.1,XP_015667898.1,XP_007443232.1,107284365
XP_034257632.1,XP_015667903.1,XP_007437964.2,107284371
XP_034259994.1,XP_015667908.1,XP_007422896.1,107284378
XP_034259843.1,XP_029139263.1,XP_007435954.1,107284381
XP_034259894.1,XP_015667912.1,XP_007421431.1,107284382
XP_034259968.1,XP_015667916.1,XP_007438824.2,107284384
XP_034280222.1,XP_015667920.1,XP_007443415.2,107284388
XP_034280177.1,XP_015667921.1,XP_007437102.1,107284389
XP_034260475.1,XP_029139265.1,XP_025022483.1,107284390
XP_034280059.1,XP_015667928.2,XP_007427104.2,107284394
XP_034258657.1,XP_015667944.1,XP_007423457.1,107284406
XP_034259239.1,XP_029139268.1,XP_007423469.1,107284412
XP_034259055.1,XP_015667957.1,XP_007430003.1,107284413
XP_034279673.1,XP_015667973.1,XP_007430531.1,107284430
XP_034272583.1,XP_015667981.1,XP_007437257.1,107284439
XP_034297754.1,XP_015667994.1,XP_007429364.1,107284446
XP_034283206.1,XP_015667999.1,XP_007423639.1,107284453
XP_034267611.1,XP_029139280.1,XP_007432845.1,107284457
XP_034267614.1,XP_015668012.1,XP_007428999.1,107284467
XP_034267596.1,XP_015668014.1,XP_007429003.1,107284469
XP_034270917.1,XP_015668038.1,XP_015744911.1,107284488
XP_034270910.1,XP_015668039.1,XP_007436055.2,107284489
XP_034270907.1,XP_015668049.1,XP_007440597.1,107284496
XP_034270903.1,XP_015668050.1,XP_007440596.1,107284497
XP_034293158.1,XP_015668055.1,XP_025019746.1,107284500
XP_034281010.1,XP_015668066.1,XP_007438624.1,107284511
XP_034261542.1,XP_015668069.1,XP_007422673.1,107284514
XP_034281164.1,XP_015668073.1,XP_025018718.1,107284518
XP_034281168.1,XP_015668075.2,XP_025018715.1,107284519
XP_034266078.1,XP_015668085.1,XP_007437616.1,107284527
XP_034274097.1,XP_029139304.1,XP_007437704.1,107284539
XP_034274119.1,XP_015668098.1,XP_007431402.1,107284541
XP_034259060.1,XP_015668124.1,XP_007435392.1,107284563
XP_034258809.1,XP_015668126.1,XP_007428466.1,107284565
XP_034259103.1,XP_015668154.1,XP_025027439.1,107284583
XP_034296892.1,XP_015668151.1,XP_007420186.2,107284584
XP_034296890.1,XP_015668158.1,XP_007438399.1,107284588
XP_034296900.1,XP_015668161.1,XP_007420180.1,107284590
XP_034296576.1,XP_015668165.1,XP_025021035.1,107284595
XP_034291052.1,XP_029139314.1,XP_007436346.2,107284611
XP_034291046.1,XP_015668188.1,XP_007428741.1,107284612
XP_034291065.1,XP_015668193.1,XP_025027997.1,107284616
XP_034291044.1,XP_015668199.1,XP_007428736.1,107284622
XP_034291043.1,XP_015668200.1,XP_007428737.1,107284623
XP_034291036.1,XP_015668203.1,XP_007428739.1,107284625
XP_034260692.1,XP_015668226.1,XP_025027203.1,107284648
XP_034260682.1,XP_015668234.1,XP_015745661.2,107284656
XP_034258974.1,XP_015668247.1,XP_025020146.1,107284662
XP_034262595.1,XP_015668250.1,XP_007432861.2,107284664
XP_034260690.1,XP_015668257.1,XP_025020359.1,107284672
XP_034260672.1,XP_015668260.1,XP_025027210.1,107284674
XP_034295945.1,XP_015668267.1,XP_025025410.1,107284682
XP_034295933.1,XP_029139331.1,XP_025023704.1,107284685
XP_034295918.1,XP_015668274.1,XP_007430307.1,107284687
XP_034270972.1,XP_015668287.1,XP_007444385.1,107284698
XP_034277267.1,XP_015668300.1,XP_007430321.1,107284710
XP_034259732.1,XP_015668311.1,XP_007435781.1,107284716
XP_034264840.1,XP_015668335.1,XP_007442170.1,107284741
XP_034264844.1,XP_015668336.1,XP_025029850.1,107284742
XP_034264839.1,XP_015668339.1,XP_007440082.1,107284744
XP_034264832.1,XP_015668344.1,XP_007442532.1,107284748
XP_034281119.1,XP_015668360.1,XP_025024752.1,107284761
XP_034281076.1,XP_015668369.1,XP_015745985.1,107284769
XP_034259134.1,XP_015668376.1,XP_007432541.1,107284773
XP_034281016.1,XP_029139345.1,XP_025019893.1,107284782
XP_034259136.1,XP_015668387.1,XP_007432540.1,107284784
XP_034281105.1,XP_029139340.1,XP_025018939.1,107284789
XP_034281100.1,XP_015668393.1,XP_007441559.2,107284793
XP_034281074.1,XP_015668395.2,XP_007441553.1,107284796
XP_034281070.1,XP_015668400.1,XP_015742882.1,107284800
XP_034261909.1,XP_015668410.1,XP_007424635.1,107284808
XP_034265555.1,XP_015668420.1,XP_007431779.1,107284815
XP_034269581.1,XP_029139363.1,XP_007431646.1,107284824
XP_034268514.1,XP_015668445.1,XP_007431412.1,107284842
XP_034268513.1,XP_015668454.1,XP_007431411.1,107284849
XP_034268494.1,XP_015668459.1,XP_025019377.1,107284854
XP_034268493.1,XP_015668460.1,XP_007423592.1,107284855
XP_034265425.1,XP_015668464.1,XP_007440348.1,107284856
XP_034277170.1,XP_015668470.1,XP_007432366.1,107284865
XP_034277152.1,XP_015668475.1,XP_025021026.1,107284870
XP_034277167.1,XP_015668477.1,XP_025026187.1,107284873
XP_034277142.1,XP_015668479.2,XP_007426023.1,107284875
XP_034267797.1,XP_029139374.1,XP_007426938.1,107284876
XP_034273925.1,XP_015668496.1,XP_007430740.1,107284888
XP_034295065.1,XP_015668502.1,XP_007433051.1,107284893
XP_034295076.1,XP_015668508.1,XP_007443035.1,107284897
XP_034265489.1,XP_015668512.1,XP_007438011.1,107284898
XP_034295079.1,XP_015668509.1,XP_007440138.1,107284899
XP_034286097.1,XP_015668514.1,XP_007432381.1,107284903
XP_034285914.1,XP_015668523.1,XP_007441041.1,107284910
XP_034285886.1,XP_015668526.1,XP_007441035.1,107284912
XP_034288047.1,XP_015668542.1,XP_007421743.1,107284924
XP_034288043.1,XP_015668545.1,XP_007440292.1,107284928
XP_034272427.1,XP_015668553.1,XP_025021241.1,107284936
XP_034273875.1,XP_015668561.1,XP_007437490.1,107284943
XP_034273868.1,XP_015668564.1,XP_007431377.1,107284946
XP_034283560.1,XP_015668573.1,XP_007424705.1,107284954
XP_034283562.1,XP_015668574.1,XP_007424702.1,107284955
XP_034283565.1,XP_015668578.1,XP_007438142.1,107284957
XP_034283573.1,XP_015668589.1,XP_025031382.1,107284968
XP_034265528.1,XP_015668604.1,XP_007437912.1,107284983
XP_034265532.1,XP_015668605.1,XP_007442372.1,107284984
XP_034265535.1,XP_029139398.1,XP_007425432.1,107284987
XP_034265542.1,XP_015668613.1,XP_025032152.1,107284988
XP_034265557.1,XP_015668617.1,XP_007441097.1,107284992
XP_034265534.1,XP_015668623.1,XP_007425430.1,107284995
XP_034268651.1,XP_015668709.1,XP_007429338.1,107285070
XP_034285881.1,XP_015668712.1,XP_007433126.1,107285076
XP_034285884.1,XP_015668714.1,XP_007426481.1,107285078
XP_034274425.1,XP_015668719.1,XP_025028582.1,107285083
XP_034274432.1,XP_015668721.1,XP_007423529.1,107285084
XP_034274427.1,XP_015668725.1,XP_007437679.1,107285088
XP_034274444.1,XP_029139426.1,XP_025019339.1,107285089
XP_034281839.1,XP_029139434.1,XP_015746961.1,107285106
XP_034290368.1,XP_015668766.1,XP_007445475.1,107285127
XP_034290370.1,XP_015668767.2,XP_007432163.1,107285131
XP_034290371.1,XP_015668768.1,XP_007432164.1,107285132
XP_034268529.1,XP_015668782.1,XP_007429343.1,107285139
XP_034290417.1,XP_015668781.1,XP_007423092.1,107285142
XP_034278429.1,XP_029139486.1,XP_007439199.1,107285147
XP_034290398.1,XP_029139435.1,XP_007426259.1,107285149
XP_034265505.1,XP_015668797.1,XP_025019182.1,107285152
XP_034265500.1,XP_015668798.1,XP_007436992.1,107285153
XP_034265498.1,XP_015668799.1,XP_007436997.1,107285154
XP_034265493.1,XP_015668807.1,XP_007435834.1,107285159
XP_034289463.1,XP_015668810.1,XP_007432491.1,107285162
XP_034289464.1,XP_015668811.1,XP_007444522.2,107285163
XP_034289479.1,XP_015668812.1,XP_025027193.1,107285164
XP_034278385.1,XP_015668827.1,XP_007437135.1,107285175
XP_034263102.1,XP_015668847.1,XP_007429173.1,107285199
XP_034293012.1,XP_029139461.1,XP_025027304.1,107285236
