h_genes,m_genes,s_genes,g_gene,a_gene,x_gene,p_gene,dog_gene
153,11554,107287322,101750705,100563228,116412276,466206,493972
158,11564,107285406,396540,100555996,448055,100608083,474499
159,11566,107297445,428579,100554309,394644,457865,480098
161,11772,107292167,423102,100563902,407867,450939,475994
162,11764,107288783,417021,100556801,100158536,458967,486344
164,11765,107283529,415880,100559290,100380050,454228,479666
165,11568,107286238,100859431,100553724,100487826,463922,608927
175,11593,107285704,422558,100565704,100485379,461616,475638
176,11595,107293678,395798,100554326,100491091,453629,403828
178,77559,107290193,424474,100565632,780065,469392,479931
182,16449,107286320,396043,100566281,100486874,748073,485769
183,11606,107295594,421543,100567502,100127178,450104,403783
185,11608,107284836,396065,100555655,100170183,460762,403836
186,11609,107303217,428708,100565925,779906,742608,403835
190,11614,107284428,395285,100558794,100487043,450140,100855508
191,269378,107288389,419146,100566806,733486,458190,477198
196,11622,107282951,373907,100565118,613065,463278,475251
202,11630,107288294,421783,100560564,100491164,462906,475012
204,11637,107283739,428227,100560801,448011,456723,478145
205,11639,107294341,424697,100568108,100495400,450169,489554
207,11651,107302433,395928,100556289,100490038,740898,490878
210,17025,107302537,417273,100560889,779632,464675,474808
211,11655,107299847,552895,100567706,493434,460416,476600
214,11658,107287382,396092,100553116,780210,460565,478550
220,56847,107283882,395389,100555228,100485844,453686,100856346
223,56752,107301157,424405,100555336,448752,457478,478991
238,11682,107296234,421297,100553426,100495071,459127,483021
241,11690,107286801,770904,100560510,613083,452520,477323
262,11702,107287167,421755,100564500,549897,472092,481960
267,23802,107296064,415697,100561595,549837,735643,487269
268,11705,107282187,395887,100567631,101734331,100608039,485072
269,110542,107291244,107051468,100553556,100498418,467005,486506
270,229665,107284051,772125,100552392,100488507,457144,606901
271,109674,107292613,112530327,100563338,100490248,469403,479913
273,218038,114922263,420761,100559668,100125136,463363,475877
274,30948,107302076,424228,100557585,394839,735972,483870
275,434437,107288677,395566,100559645,100491726,461012,484770
284,11600,107290751,395129,100567911,100492672,464334,403656
285,11601,107288547,395610,100554406,101731563,742508,607616
287,109676,107286690,422689,100561446,100494806,461444,487908
288,11735,107290664,396309,100554052,100216211,450478,479215
290,16790,107283923,395667,100562984,100492262,107968418,403913
291,11739,107302668,422546,100563345,394504,461632,475630
302,12306,107283146,396297,100559416,394517,747018,403435
307,11746,107283252,772393,100561286,548801,459542,606756
308,11747,107296598,428767,100565969,493545,461466,476094
309,11749,107294936,395481,100561685,779574,462198,479325
310,11750,107295626,423747,100561894,407959,737825,479246
311,11744,107297765,423637,100558571,448260,450553,479259
313,27052,107283808,420737,100554361,100491792,463352,482402
317,11783,107290550,417926,100556318,100127738,452153,482620
318,66401,107298975,427399,100565132,448765,465056,474746
320,319924,107294423,427246,100563777,100485825,472947,100686233
321,11784,107293006,415386,103281149,100498579,453697,488700
322,11785,107288665,100859045,100560495,116408631,466415,476833
323,11787,107298932,422781,100558873,100144693,461184,488831
324,11789,107293244,415607,100561377,779466,461999,479139
331,11798,107297409,395280,100557644,594971,473765,442989
334,11804,107291716,419727,100557178,100380132,741867,479393
338,238055,107291935,396535,100559232,100498048,459058,475680
351,11820,107292284,374198,100553307,448208,473931,403407
353,11821,107283514,100857155,100556354,493317,736305,479615
356,14103,107290564,429064,100554702,100124789,469584,442968
358,11826,107284354,420384,100567659,448309,463330,403732
361,11829,107290364,421088,100556774,100487371,455350,612628
367,11835,107284620,422165,100337535,100489816,747460,403588
372,213827,107284802,770561,100560354,549732,451590,479415
373,81003,107284585,427164,100552250,100490191,461843,487232
374,11839,107302391,428752,100556321,100145251,461251,475176
375,11840,107285995,420398,100552859,394614,739225,100856517
377,11842,107298590,107049507,100562735,100145191,451869,486562
382,11845,107298229,428927,100562975,448503,452892,490679
384,11847,107285839,423272,100553790,780142,452985,480364
387,11848,107288686,395442,100566989,448080,461014,403954
388,11852,107294743,395734,100558447,407883,459054,403670
389,11853,107297292,395869,100557494,549323,100612435,483218
390,74194,107294542,424312,100562501,448301,735757,483917
391,56212,107298414,100859599,100551775,100489878,748092,485217
392,228359,107294862,428865,100566592,493503,451156,483631
394,11855,107284943,428883,100553896,100499209,467419,490642
395,11856,107288403,418642,100560047,100127692,473518,491738
396,192662,107295826,769231,100565163,448131,454971,475924
397,11857,107286134,417941,100552989,448583,742002,486666
399,74734,107299071,428786,103278964,100145522,738274,488833
400,104303,107291873,417934,100555015,549150,452171,612931
403,56350,107290844,423865,100552846,100492073,450701,100855707
406,11865,107291094,374115,100563092,100422809,451034,476860
410,11883,107298546,426863,103282387,100487749,458946,474457
411,11881,107287875,771459,100564703,100493013,737316,610364
427,11886,107301677,422727,100565312,100485700,464022,482897
429,17172,107289475,386573,100562949,100490701,452184,482628
434,50518,107288395,419147,100563799,116408065,747368,492296
439,56495,107286882,100859771,100558756,779794,455750,476699
440,27053,107283656,420574,100552992,448254,463556,475240
443,11484,107296942,417609,103282484,733935,454430,611064
460,11899,107289719,429070,100567520,779977,457544,490331
462,11905,107302846,424440,100552983,493515,457528,480066
463,11906,107283552,395682,100562578,100495855,468024,489729
466,11908,107302709,426873,100558002,448303,452429,486545
467,11910,107287443,421369,100566474,100494437,469143,612911
468,11911,107288132,395693,100565177,448005,744513,474503
471,108147,107292555,396091,100559178,448061,459925,488513
472,11920,107284835,395401,100560063,100490767,451530,479450
474,11921,114922548,101750213,103278922,100488309,461380,487864
475,11927,107293201,770231,100561384,734100,743743,403713
481,11931,107287477,396529,100557885,548592,457497,403966
482,11932,107299048,107050378,100562654,394667,749043,489479
483,11933,107292033,396549,100556957,394687,746692,477098
490,67972,107283119,374244,100564194,100127567,452116,403480
496,11945,107290450,386581,100560046,448282,738405,404020
498,11946,107295901,374159,100566465,594998,455397,480149
501,110695,107283290,426812,100560663,549131,462033,481486
506,11947,107290974,426673,100554732,407968,451999,403669
509,11949,107296590,419108,100565306,549161,450294,478009
513,66043,107282876,771478,100568279,549270,742197,476756
514,67126,107294713,768660,100564090,116408027,100613526,102153397
517,67942,107303067,100858216,100558198,448692,451943,477595
518,228033,107301383,424142,100557515,448663,470584,478807
521,11958,107292178,769146,103279445,549169,461042,100684805
522,11957,107292283,418477,100558205,549796,744512,478393
523,11964,107284113,395821,100554836,493238,460590,487981
526,11966,107297460,395497,100554895,779628,464033,486137
527,11984,107292229,416753,100557326,394488,453837,479877
528,66335,107287824,420259,100552063,394779,464326,475061
529,11973,107292280,418162,100563341,394728,458633,477740
533,114143,107283442,424575,100557360,549818,100610064,482528
535,11975,107282653,395474,100565909,100036694,454685,607705
537,54411,107286697,427854,100567506,100170603,740281,610922
539,28080,107293889,418508,100560905,733460,473976,100855541
540,11979,107297074,418879,100558446,100497797,452734,476903
545,245000,107292039,424777,100561948,100495593,460745,100856315
546,22589,107284622,422331,100561913,100380046,449625,480963
549,11992,107297055,427269,100556627,548406,464587,476348
550,11993,107292504,769206,103281530,100135201,740837,475783
552,54140,107291898,771773,100554491,100488869,452038,481142
553,26361,107292373,428263,100562094,100487856,469656,488578
567,12010,107294069,414830,100560544,100422806,450170,100855741
571,12013,107290511,418488,100556379,100125783,745234,487718
573,12017,107289430,420967,100553251,100380014,465041,611781
575,107831,107296741,100859755,100561578,100492219,104007785,100683150
576,230775,107290172,426163,100560534,100498218,456703,487317
578,12018,107287068,419912,100564650,108645783,462616,481744
580,12021,107296717,424010,100563125,100498289,470638,610190
582,52028,107297108,112530911,100562519,100125212,746493,483709
583,67378,107296066,415694,100560996,100493660,454102,478121
585,102774,107297690,415318,100567822,549034,453726,487634
586,12035,107297797,418193,100553843,100124778,465345,486633
590,12038,107292518,395358,100555848,100495889,460830,488143
593,12039,107295271,374210,100554302,100036656,468889,484488
594,12040,107288223,395375,100558130,100496384,462845,474978
595,12443,107285821,396341,100563772,448045,747442,449028
604,12053,107298086,424912,100553941,100126063,460926,488124
605,77045,107287003,416856,100558111,448642,465189,486256
607,77578,107289024,418456,100562612,100489374,457248,483154
613,110279,107294184,416952,100554393,100170543,458694,607482
617,66821,107291479,424212,100552242,549619,459946,478911
627,12064,107286944,396186,100564408,100037853,503511,403461
631,12075,107283075,396056,100561680,100487862,458107,485756
632,12096,107297414,396348,103282194,448310,100190891,403762
636,12121,107287193,427919,100566492,100493367,465268,610028
639,12142,107293254,445340,100560171,493207,462904,481947
640,12143,107289318,422035,100559493,100496460,463991,486080
641,12144,107283943,415577,100559578,100124311,453650,100685609
642,104184,107298999,395996,100564025,448747,454555,480635
643,12145,107284772,419784,100561143,100495113,451595,489378
644,109778,107285970,420776,100564394,448743,463366,475867
646,12173,107302558,427504,100562714,100492394,467745,488756
650,12156,107285368,378779,100560955,548717,458090,477162
651,110075,107303156,422581,103278890,100497890,471189,100855862
652,12159,107293299,396165,100567033,549788,107968170,490695
653,12160,107290943,396053,100552153,100494976,462787,474944
654,12161,107282995,420868,100556648,100127176,471851,478715
655,12162,107294610,395494,100557434,394805,458357,477270
657,12166,107295501,396308,100561841,734017,450572,489077
658,12167,107294782,396030,100553122,780089,461683,478484
659,12168,107290699,374147,100553521,100494339,459885,478875
662,224630,107289845,416207,100557936,780363,740480,609594
663,12175,107283145,415379,100561520,548687,453484,487580
664,12176,107284336,423971,103278256,548576,450831,607408
665,12177,107295003,419522,100555165,100126677,464069,608552
666,51800,107295202,395445,100553048,100491111,107974006,100855929
668,26927,107292183,503512,100556307,100486124,470940,100687445
669,12183,107294354,418172,100564984,549353,463746,482704
670,68021,107285976,420885,100558162,100489969,462398,478700
672,12189,107285925,373983,100553919,733513,449497,403437
673,109880,107288626,396239,100556317,779570,463781,475526
675,12190,107286819,374139,100554942,100038818,452526,474180
678,12193,107284974,107052930,100553193,100125029,459185,100856710
680,12209,107303225,378927,103280975,100488712,737980,613002
685,12223,107302420,448833,100567860,100497610,461250,482682
686,26363,107282909,420639,100556978,100489727,470760,477059
687,16601,107284422,770238,100562997,100134994,464520,484172
688,12224,107303136,418818,100562479,100489339,452597,612788
689,218490,107290539,426154,100556760,549451,461812,608628
694,12226,107284762,396295,100561441,394522,452121,100684605
695,12229,107291582,374075,100561192,100170477,465759,492019
699,12235,107290416,421226,100559298,780291,459484,100682599
701,12236,107290815,378922,100551949,100125106,453324,608350
705,53414,107293965,419927,100566364,548555,462688,474900
708,12261,107296911,395538,100552432,100494551,455252,489450
726,12337,107296130,419086,103280761,448405,451438,485175
730,109828,107291124,427187,100567247,100485186,738238,489221
731,230558,107286641,429111,100563663,448034,456886,100855712
732,110382,107286642,424669,100551539,100380076,456887,479555
733,69379,107302541,770691,103281937,100038157,100610119,480672
734,209212,107285745,420217,100551535,613107,472813,487038
740,18120,107296001,100858532,100552893,100486190,466659,483747
744,77015,107283513,421604,100551786,549855,451098,607678
745,225908,107287915,422966,100554760,100486798,738878,483794
746,69038,107287962,422964,107983189,448722,739125,476064
752,57778,107303031,419965,100560388,493573,736805,490927
753,52662,107290082,421044,100567325,100491607,455502,483983
754,108705,107285878,107051859,100557287,100145604,458606,100856547
755,67884,107285875,424866,100556700,394810,458603,611424
767,12319,107284329,421139,100561632,496646,464196,486965
771,76459,107283168,415370,100567887,549185,467701,478333
773,12286,107286895,107049790,100557580,100492135,455766,100686650
775,12288,107288329,395891,100553244,100488055,466915,403516
776,12289,107287678,395895,100554865,780391,460447,484724
777,12290,107284993,424412,100567913,100488514,457564,490305
779,12292,107289042,395985,100551605,100485035,469635,490244
782,12295,107303060,777366,100564526,100158521,454624,491030
783,12296,107286931,428420,100552594,100495884,740138,487113
784,12297,107285719,107050029,100557874,100145181,451867,486563
786,12299,107288347,417428,100551551,496444,741106,610892
788,57279,107292778,416062,100560902,394703,460354,484774
790,69719,107286448,428659,103282587,100125119,470338,483009
793,12307,107285747,396519,100567779,780272,464279,611334
799,12311,107283675,428425,100559199,100491101,472445,482306
800,109624,107292018,373965,100565307,100124848,472523,608135
801,12313,107292392,396523,100562594,493522,738819,480416
805,12314,107287851,395855,100551861,100496298,459213,474584
811,12317,107285132,100859104,100560763,407962,455756,476694
813,12321,107296490,107050717,100553940,407965,100609981,475201
816,12323,107286231,374174,100554504,780379,738167,608846
817,108058,107286689,422688,100552004,100135023,461445,610764
819,12328,107294995,395808,100565385,549354,462352,474684
821,12330,107296594,416288,100565226,448161,462330,403908
822,12332,107286228,431244,100566817,496747,459361,483082
823,12333,107294378,693249,100560015,541455,451317,483745
829,12340,107297290,396521,100557167,550078,457101,475857
830,12343,107285372,417771,100561830,550008,736736,503863
833,27267,107292941,423086,100564829,496832,450962,475998
835,12366,107289968,395857,100567806,100486813,463804,482737
839,12368,107283297,395477,100564002,496478,736606,487899
840,12369,107291550,423901,100563813,549053,450745,486896
842,12371,107291376,426970,100560103,100144708,456457,487432
846,12374,107285802,418266,100561507,100496505,460628,488007
857,12389,107287882,373996,100561047,548467,463670,403980
858,12390,107287881,417772,100560849,548480,736452,475294
860,12393,107284274,373919,100555776,100189546,472017,474923
862,12395,107285752,395503,100567064,100491944,472816,487044
863,12398,107283510,415846,100568070,100485526,454309,489660
865,12400,107296067,395257,100555471,100270773,100612666,479690
867,12402,107285391,374038,100568145,594900,451690,489369
868,208650,107287381,418406,100561034,448509,460566,487965
871,12406,107289768,396228,100567283,100490491,466899,485187
889,79264,107282805,420549,100566369,100158531,463528,482299
890,12428,107296600,396172,100559864,448454,461467,483845
892,51813,107291191,421791,100552051,394762,736585,475007
898,12447,107292735,426117,100553527,549082,455914,484610
900,12450,107293585,416161,100555513,448326,462243,479303
901,12452,107287828,422512,100556642,549201,461229,478442
902,66671,107302941,427328,100561616,549010,739351,479156
904,12455,107290976,100859215,100558264,100170179,450146,486564
905,72949,107284396,424289,100552048,100488125,470546,476126
916,12501,107284819,396062,103281392,100101735,742330,442981
919,12503,107297203,395911,100553308,100488995,748272,611571
928,12527,107302525,395527,100561174,549743,451775,611695
940,12487,107290808,396249,100566176,100126210,470617,403646
947,12490,107288370,419856,100553261,779603,457692,415130
949,20778,107299480,416814,100557505,100490714,452359,486241
950,12492,107297787,422638,100557822,549311,461239,478435
953,12495,107287727,423826,100553564,448501,100614135,486810
955,12497,107284111,416708,100561218,677735,458146,485564
956,215446,107294053,428447,100561052,100125010,460286,485604
957,12499,107290491,423343,100555642,677734,453027,480384
959,21947,107303226,395485,100556739,100489038,473802,403468
960,12505,107290423,395666,100563382,394545,451122,403939
967,12512,107294929,107049249,100561059,549167,451969,474391
972,16149,107290981,414741,100555195,100486651,462191,479329
975,12520,107294011,374256,100565415,394885,449635,611606
977,12476,107283980,423105,100551648,100144686,740513,475992
978,72269,107291361,771849,100566914,549971,744046,487393
983,12534,107297330,396252,100562632,394503,450481,100856079
988,71702,107291679,422052,100563906,493564,462736,474921
989,235072,107283804,420741,100552137,100216295,463349,475284
990,23834,107303083,100857489,100562161,493356,468234,480527
991,107995,107283451,424563,100556314,394542,456819,100855774
994,12531,107297885,107049885,100568149,100036608,458064,485790
1000,12558,107290361,414745,100560248,100151712,468509,480169
1003,12562,107288892,374068,100567792,100488458,467991,489775
1009,12552,107287444,415797,100567596,548575,454142,479696
1013,12555,107283507,107054331,100551698,100489106,468076,479613
1015,12557,107292744,420225,100560247,100216129,464286,487050
1017,12566,107287774,100529062,100555545,493498,467032,100855704
1021,12571,107283642,420558,100558412,100489734,746968,609920
1024,264064,107288412,428080,100554966,394856,452501,486035
1025,107951,107298051,417226,100553609,448039,464755,100855805
1027,12576,107286956,374106,100565071,101732126,466947,403429
1031,12580,107283071,429104,100556777,100144705,469319,475359
1036,12583,107290893,427391,100562760,394737,462010,474637
1039,12585,107292089,416621,100567821,448123,454352,479811
1040,74596,107303189,422611,100566366,100496577,461202,487840
1047,12745,107292447,422447,100555609,100494636,461501,476076
1051,12608,107289378,396185,100560183,619595,469969,100856480
1052,12609,107287158,107052707,100562689,594973,464163,606783
1054,12611,107284078,395800,100565458,549197,100612381,100686458
1060,12617,107286746,395922,100565315,100379894,461295,475158
1063,108000,107289292,395357,100557865,100127686,457733,480027
1069,26370,107293163,422303,100567273,549903,107971232,481078
1070,12626,107295175,427104,100552719,549141,738363,488915
1073,12632,107292954,423320,100553103,496574,452853,490649
1075,13032,107294161,419014,100565042,407938,451469,403458
1080,12638,107285369,100049619,100559531,100486085,463674,492302
1081,12640,107284754,421829,100557664,100488153,462868,403483
1101,12643,107283731,769665,103277842,101732210,747194,609296
1103,12647,107293833,395314,100558883,100485221,450451,486775
1104,100088,107287445,429810,100553743,548855,100568439,487332
1105,12648,107295121,395783,100563387,100485675,461968,488891
1106,244059,107296242,415507,100554579,100497210,101057134,479028
1108,107932,107285763,418278,100566510,100124711,451788,477714
1112,71375,107292386,423402,100552175,549054,453094,610880
1114,12653,107297365,421312,100551644,100145188,470034,477165
1121,12662,107296185,422266,100562631,100488898,465737,480972
1123,108699,107287383,429021,100558566,100038142,100611604,478805
1124,69993,107282777,428437,100567151,100496459,472333,475267
1129,243764,107294180,418126,100560735,100485603,463758,403858
1130,17101,107288314,421514,100557273,779601,457838,479195
1132,12672,107288590,423195,100553418,100127705,466504,611314
1133,213788,107296429,428881,100562127,100498518,503515,487472
1135,110902,107293494,395607,100563759,100495873,472725,486101
1141,11444,107285170,395605,100555506,100101688,740303,490443
1142,108043,107294845,395604,100563627,100379831,464500,482837
1144,11447,107297924,424940,100563820,548531,738968,486162
1146,11449,107297925,429151,100565393,100125132,470680,486163
1147,12675,107291445,423669,100565922,549654,450673,477796
1152,12709,107285083,396248,100554759,733543,453185,100855552
1153,12696,107282865,425789,100552626,549982,742386,476755
1154,12700,107288554,395335,100552117,100135018,470819,484757
1155,66411,107291973,101748459,100562581,100038107,455974,476475
1161,71991,107295768,427153,100554473,549933,471534,487225
1163,54124,107296702,100134845,100566137,100101691,100608937,612237
1164,66197,107293824,768830,100559835,548924,464582,100686141
1173,11773,107291412,770246,100560395,394572,736431,607139
1175,232910,107291944,100859555,100562386,549079,456156,476427
1176,11777,107290892,427389,100562957,448714,471606,607494
1180,12723,107289972,427949,100567610,101731973,472560,403723
1182,12725,107286191,422432,100567534,100216107,471346,477354
1183,12727,107288519,428005,100555918,100145074,473516,491736
1185,26372,107294164,419488,100557854,100496474,457955,478229
1186,26373,107284004,416656,100559363,733969,453817,479889
1198,102414,107291914,415295,100567104,496952,453742,478367
1200,12751,107288659,425576,100556940,100124868,450999,485337
1203,211286,107303130,101752092,100561102,733746,452607,485498
1207,12729,107297919,425500,100565847,496644,748896,403971
1211,12757,107293129,427284,100558023,394591,465093,100856559
1212,74325,107292443,416226,100554069,496489,462288,489104
1236,12775,107303021,428315,100551880,100485139,454654,491011
1240,14747,107287262,425507,100559738,100216025,107967631,486321
1244,12780,107287743,423828,100563787,100485020,104008275,403632
1259,12788,107299149,396143,100561513,100491997,739850,403891
1263,12795,107283415,424586,100559459,448451,456546,475380
1264,12797,107285138,396522,100552182,548513,455734,484937
1266,71994,107299985,424485,100565896,394869,469388,479937
1267,12799,107303041,395921,100562366,100492391,454673,607694
1268,12801,107294949,428633,100555903,100497761,472066,481913
1269,12802,107290752,428232,100563830,100498271,456625,612289
1270,12803,107295691,396488,100565480,101731244,100610090,483464
1271,12804,107297901,395885,100567737,100135712,473218,442941
1272,12805,107293543,417786,100557818,100487602,451836,477641
1277,12842,107282605,395532,100565711,496414,104001053,403651
1278,12843,107283645,396243,100559991,780175,455117,403824
1280,12824,107288503,395069,100553016,394828,451860,403826
1281,12825,107288423,396340,100556853,100124865,459815,478835
1282,12826,107284271,395530,100551853,100124870,452659,403496
1284,12827,107284270,418752,100552050,100486079,452661,403843
1288,94216,107303140,422350,100554629,100493153,465804,403840
1290,12832,107288434,423986,100557047,100492754,459817,478836
1291,12833,107296188,396000,100558915,100490352,450204,403668
1292,12834,107296179,396292,100556168,100145523,474056,100856491
1293,12835,107291711,396548,100559509,100488707,460045,403582
1295,12837,107291772,418378,100556311,100037917,460550,487950
1296,329941,107294747,428221,100555626,100486732,747856,482478
1297,12839,114923236,771873,100567245,100145133,462810,481873
1300,12813,107292480,100858979,103280694,105947294,742603,100856711
1303,12816,107288836,395875,100555585,100495209,462826,481881
1307,107581,107290173,430477,100560340,100498062,456702,487318
1310,12823,107293895,421873,103280305,100488633,472049,481872
1311,12845,107282855,420120,100564230,100494714,469068,476665
1315,70349,107295027,423063,100565591,100216235,451039,476866
1316,23849,107283953,420463,100559596,493232,450269,487151
1317,20529,107302811,417268,100559623,407919,464670,481678
1318,20530,107299022,425778,100565139,733902,741560,612526
1326,26410,107282828,420479,100562883,100493069,450384,487085
1327,12857,107288246,415826,100552415,549233,454391,479623
1329,12859,107287968,107049545,100563950,549004,741789,474567
1337,12861,107300563,416978,100556334,549297,100616508,477508
1347,12866,107288831,772260,100555391,100125145,738626,100686500
1350,12867,107302093,431629,100561418,100329161,739452,609990
1352,70383,107289572,417329,100555255,100145039,465445,489515
1353,69802,107302742,770638,100566567,100491545,748332,609555
1355,226139,107287730,423830,100563985,100486044,744451,477792
1356,12870,107284831,771940,100562012,100492836,460768,442963
1361,56373,107289863,418851,100567959,595005,452582,608910
1363,12876,107290874,422424,100552346,100127580,461592,475492
1368,70574,107284409,417843,100556918,496721,452067,100685525
1369,93721,107287742,769143,100563397,550020,107966811,477795
1371,12892,107291774,418377,100565041,100145617,460544,487948
1373,227231,107301875,428994,100562333,100158506,738670,488506
1376,12896,107283066,424649,100559925,394801,737945,489585
1382,12904,107298212,100857929,100556219,448629,469838,612093
1384,12908,107296759,417195,100566780,613081,107976794,491304
1385,12912,107295640,395099,100555818,407934,459901,607922
1386,11909,107301365,395727,100557710,100485532,101059354,478806
1387,12914,107283968,416667,100563301,100101677,467891,479866
1389,232430,107286987,426496,100564479,100038265,740601,611207
1390,12916,107284019,378903,100559990,100492439,450400,403887
1393,12919,107293555,427214,100565686,100489647,461799,610584
1395,12922,107284360,395105,100563346,101730324,748363,482384
1397,68337,107301135,424374,100555726,780192,107968266,612710
1404,12950,107282195,396475,100555587,100490017,461765,488921
1407,12952,107284732,374093,100553773,550065,452205,474528
1408,12953,107290556,374092,100559432,100422810,742186,483641
1410,12955,107284519,396089,100554777,100494321,451543,479441
1412,12958,107291500,373999,100565284,100496418,459955,488531
1428,12971,107292093,427008,100561928,100125176,742586,479818
1431,12974,107300526,100858903,100556301,550067,746229,474403
1434,110750,107293641,419212,100559262,100158534,458318,477257
1436,12978,107298558,396406,100555979,493543,462187,489188
1445,12988,107298221,396396,100566714,100216174,453745,487649
1452,93687,107290597,395924,100556569,407897,462182,479331
1453,104318,107288854,417378,100562607,394689,454989,475928
1460,13001,107285996,112530988,100566091,448656,744778,474844
1462,13003,107303335,395565,100561219,100101672,461766,488922
1464,121021,107291727,425524,100566250,116409763,737574,487658
1482,18091,107289915,396073,100562273,100144646,462273,489113
1490,14219,107302643,374135,100562863,548598,463003,476202
1491,107869,107294130,424716,100555553,394634,456939,479991
1493,12477,107289736,424106,103282850,100493714,470619,403696
1499,12387,107293683,395964,100566951,549712,450183,477032
1500,12388,107295696,428852,100555581,100101665,743685,483489
1503,51797,107288020,419561,100553732,100379698,469296,100687720
1508,13030,107289312,396329,100563878,394833,463993,486077
1510,13034,107292374,771791,100561705,100145572,457677,488577
1520,13040,107292919,425657,100560943,448203,457277,403400
1523,13047,107292336,101749861,103281086,100488175,450166,489821
1525,13052,107285866,418473,100555402,496497,473920,403772
1528,109672,107296189,414798,100553373,548733,735913,476167
1535,13057,107283532,100859840,100555174,549234,468068,489664
1536,13058,107294658,418581,100562545,595081,465566,491825
1540,74256,107295351,415725,100559734,100144739,465165,611649
1545,13078,107287481,421466,100561291,100490477,459163,483038
1581,13122,107284319,414834,100562614,100488670,464191,486962
1588,13075,107300116,414854,100565397,100036594,453433,494003
1591,13081,107287085,395827,100564552,100497429,746729,485935
1592,13082,107283401,408183,100564658,548901,450614,486804
1595,13121,107286842,420548,100557431,548948,463527,475225
1600,13131,107286643,374083,100563465,100135079,740508,610344
1601,13132,107288299,427449,100567842,100485591,461905,479353
1602,13134,107303139,373935,100553703,779442,467281,485489
1603,13135,107287152,395343,100555505,549694,452783,480238
1605,13138,107289185,100049058,100565815,549272,460372,476623
1606,13139,107287775,101748037,100555149,100124931,451976,100855691
1609,110524,107291850,427381,100561310,733958,461052,488867
1610,13142,107287290,101751055,100557335,100036595,743881,486317
1611,223453,107294656,420923,100560053,549918,744657,607300
1612,69635,107297726,431670,100556297,100144678,464571,484142
1615,226414,107284388,424296,100567113,394926,459634,476132
1620,56710,107285742,395098,103280452,100495314,464694,481694
1621,13166,107291028,395549,100566843,100492247,464827,448806
1622,13167,107296263,395263,100561275,394469,459574,476115
1627,56320,107291401,396496,100555524,733967,462307,489088
1629,13171,107302494,395374,100558603,549717,457056,479929
1632,13177,107283966,416657,100560602,496654,750080,490059
1633,13178,107289800,422648,100554557,594934,461273,482188
1634,13179,107284773,417892,100561696,100101716,452120,403904
1635,320685,107288733,422556,100566255,549019,461620,607328
