P_Mucros.pep,N_naja.pep
XP_015678771.1,Nana02555-RA
XP_015679616.1,Nana04591-RA
XP_015665696.1,Nana23345-RA
XP_015671166.1,Nana27459-RA
XP_029140168.1,Nana13964-RA
XP_015682861.1,Nana00121-RA
XP_015668413.1,Nana28953-RA
XP_015687045.1,Nana18820-RA
XP_015675418.1,Nana08824-RA
XP_015682344.1,Nana18637-RA
XP_015668348.1,Nana02256-RA
XP_015683497.1,Nana11741-RA
XP_015680533.1,Nana27637-RA
XP_029139765.1,Nana04443-RA
XP_029140069.1,Nana17942-RA
XP_029140067.1,Nana17950-RA
XP_015671660.1,Nana25009-RA
XP_015679757.1,Nana11591-RA
XP_015682288.1,Nana06795-RA
XP_015671305.1,Nana19689-RA
XP_015685276.1,Nana26063-RA
XP_029139557.1,Nana10768-RA
XP_015669399.1,Nana10765-RA
XP_029139560.1,Nana10767-RA
XP_015672635.1,Nana25947-RA
XP_029140213.1,Nana10324-RA
XP_015669621.1,Nana20086-RB
XP_015668037.1,Nana14459-RA
XP_015675393.1,Nana12380-RA
XP_015680940.1,Nana06340-RA
XP_029141385.1,Nana33040-RA
XP_015681863.1,Nana36072-RA
XP_015675459.1,Nana37089-RF
XP_015678662.1,Nana24606-RA
XP_015669064.1,Nana09145-RA
XP_015669597.1,Nana09150-RA
XP_015673107.1,Nana19499-RA
XP_029140291.1,Nana19503-RA
XP_015684261.2,Nana14830-RA
XP_015668650.1,Nana38724-RA
XP_029142669.1,Nana25221-RA
XP_015671077.2,Nana10915-RA
XP_015681982.1,Nana00145-RA
XP_015671282.1,Nana34717-RA
XP_015680997.1,Nana04017-RA
XP_029140230.1,Nana33341-RA
XP_015675581.1,Nana19520-RA
XP_015673381.1,Nana08664-RA
XP_015665914.1,Nana23225-RA
XP_015686106.1,Nana03375-RA
XP_015687747.1,Nana10241-RA
XP_015683450.1,Nana10173-RA
XP_015676649.1,Nana10182-RA
XP_015672118.2,Nana20424-RA
XP_015669674.1,Nana22882-RA
XP_015670647.1,Nana22723-RA
XP_015666790.1,Nana14333-RA
XP_015684836.1,Nana29384-RA
XP_015665670.1,Nana23319-RA
XP_015683975.1,Nana29388-RA
XP_015665531.1,Nana06025-RB
XP_015671418.1,Nana05026-RA
XP_015678554.1,Nana30718-RA
XP_015670447.1,Nana10583-RA
XP_015668084.1,Nana14262-RA
XP_015673553.1,Nana29546-RA
XP_015673407.2,Nana27938-RD
XP_015676809.1,Nana28597-RA
XP_015669297.1,Nana24582-RA
XP_029142229.1,Nana15547-RA
XP_029139790.1,Nana39126-RA
XP_015667789.1,Nana02914-RA
XP_015676011.1,Nana24619-RA
XP_015675083.1,Nana37344-RA
XP_015668680.1,Nana20656-RA
XP_015686655.2,Nana14647-RA
XP_015674915.1,Nana12180-RA
XP_015668026.2,Nana14471-RA
XP_015670822.2,Nana09228-RA
XP_029142946.1,Nana09227-RA
XP_029142980.1,Nana26059-RA
XP_029139324.1,Nana37579-RA
XP_015677665.1,Nana30244-RA
XP_015677117.1,Nana38499-RA
XP_015677395.1,Nana10112-RA
XP_015679726.1,Nana20138-RA
XP_015670952.1,Nana25526-RA
XP_015681194.1,Nana30605-RA
XP_029140428.1,Nana30639-RA
XP_015683639.1,Nana02155-RA
XP_015684534.1,Nana10942-RA
XP_015682506.1,Nana36542-RA
XP_029141629.1,Nana25288-RA
XP_015670226.1,Nana09899-RA
XP_015687750.1,Nana23054-RA
XP_015680103.1,Nana19999-RA
XP_015670378.1,Nana21299-RA
XP_029142325.1,Nana24333-RA
XP_015681188.1,Nana25181-RB
XP_015669709.2,Nana19543-RA
XP_015667635.1,Nana15483-RA
XP_015665451.1,Nana06002-RA
XP_015686286.1,Nana00711-RA
XP_029141911.1,Nana07773-RA
XP_029141105.1,Nana35145-RA
XP_015670932.1,Nana34774-RA
XP_015675609.1,Nana24791-RA
XP_015677136.1,Nana30406-RA
XP_015670401.1,Nana24938-RA
XP_029142567.1,Nana15408-RA
XP_015684454.1,Nana18521-RA
XP_029142262.1,Nana15525-RA
XP_015680611.1,Nana05260-RA
XP_015668495.1,Nana05261-RA
XP_015665477.1,Nana06066-RA
XP_015670106.1,Nana29457-RA
XP_015687466.1,Nana14212-RA
XP_015678918.1,Nana08444-RA
XP_015683175.1,Nana24331-RA
XP_015670740.1,Nana26141-RA
XP_015677342.1,Nana02184-RA
XP_015667106.1,Nana29740-RA
XP_015680243.1,Nana31893-RA
XP_015680421.1,Nana19003-RA
XP_015670048.1,Nana28474-RA
XP_015666764.1,Nana19400-RA
XP_015677539.1,Nana09032-RA
XP_015666254.1,Nana19402-RA
XP_029141370.1,Nana04470-RA
XP_015677428.1,Nana14277-RA
XP_029138864.1,Nana23594-RA
XP_015679703.1,Nana33420-RA
XP_029141778.1,Nana07784-RA
XP_015666294.1,Nana21757-RA
XP_015678258.1,Nana09328-RA
XP_015674374.1,Nana09644-RA
XP_015672742.1,Nana27283-RA
XP_029141028.1,Nana30428-RA
XP_029141000.1,Nana30431-RA
XP_015677104.1,Nana30427-RA
XP_015675216.1,Nana04110-RA
XP_015665836.1,Nana23536-RA
XP_015678114.1,Nana13337-RA
XP_015670652.1,Nana22732-RA
XP_015680035.1,Nana26009-RA
XP_015670174.1,Nana01106-RA
XP_015677946.1,Nana05788-RA
XP_015680818.1,Nana35792-RA
XP_015678372.1,Nana02868-RA
XP_029141893.1,Nana19672-RA
XP_015681262.1,Nana19671-RA
XP_015666876.1,Nana26049-RA
XP_015672992.1,Nana09215-RA
XP_015676240.1,Nana11497-RA
XP_015680257.1,Nana05052-RA
XP_015675665.1,Nana01275-RA
XP_015667894.1,Nana02847-RA
XP_015687624.1,Nana05854-RA
XP_015680064.1,Nana30708-RA
XP_015681945.1,Nana24319-RA
XP_015681785.1,Nana13575-RA
XP_015679452.1,Nana13524-RA
XP_015671846.1,Nana13678-RA
XP_015680629.1,Nana02542-RA
XP_015668838.1,Nana16692-RB
XP_015681515.1,Nana08323-RA
XP_015672190.1,Nana03937-RA
XP_015666978.1,Nana21279-RA
XP_015687334.1,Nana10015-RA
XP_029141680.1,Nana19451-RA
XP_015676273.1,Nana09439-RA
XP_015684425.1,Nana15402-RA
XP_015679897.1,Nana21777-RB
XP_015666059.1,Nana21777-RC
XP_015671029.1,Nana14624-RA
XP_029141189.1,Nana10900-RA
XP_029140308.1,Nana14151-RA
XP_015675546.1,Nana04258-RA
XP_015679733.1,Nana20127-RA
XP_015674636.1,Nana02445-RA
XP_015676268.2,Nana02446-RA
XP_029142730.1,Nana06396-RA
XP_029142005.1,Nana06397-RA
XP_029141361.1,Nana33059-RA
XP_015676486.1,Nana10577-RA
XP_015673359.1,Nana29623-RA
XP_015677958.1,Nana14026-RA
XP_015668658.1,Nana38899-RA
XP_015667720.1,Nana00351-RA
XP_015683823.1,Nana35445-RA
XP_015683537.1,Nana30376-RA
XP_015673854.1,Nana03545-RA
XP_029140698.1,Nana10057-RA
XP_015683399.1,Nana22677-RA
XP_015678812.1,Nana24230-RA
XP_015678621.1,Nana26756-RA
XP_015666782.1,Nana28088-RA
XP_015675803.1,Nana03574-RA
XP_015675851.1,Nana37623-RA
XP_015683714.1,Nana39224-RA
XP_015665779.1,Nana23545-RC
XP_015676530.1,Nana23545-RB
XP_015667490.1,Nana34586-RA
XP_029141269.1,Nana35954-RA
XP_015678310.1,Nana35957-RA
XP_029139212.1,Nana15478-RA
XP_015668027.1,Nana14445-RA
XP_015668043.1,Nana14448-RA
XP_015684439.1,Nana19211-RA
XP_029139602.1,Nana08859-RA
XP_015676342.1,Nana17545-RA
XP_015665663.1,Nana23335-RA
XP_015669898.1,Nana25165-RA
XP_015671241.1,Nana34683-RA
XP_029141578.1,Nana20807-RA
XP_015687024.1,Nana05750-RA
XP_015675754.1,Nana05665-RA
XP_015675370.1,Nana01608-RA
XP_015672208.1,Nana11646-RA
XP_015667968.1,Nana11640-RA
XP_015665504.1,Nana06155-RB
XP_015670772.1,Nana33278-RA
XP_015687282.1,Nana18194-RA
XP_015674952.1,Nana18074-RA
XP_015673967.1,Nana26024-RA
XP_015667630.1,Nana12569-RA
XP_015680090.1,Nana02273-RA
XP_029138886.1,Nana23218-RA
XP_015668591.2,Nana01044-RA
XP_015676984.1,Nana36022-RA
XP_015679103.1,Nana35365-RA
XP_015671624.2,Nana05204-RA
XP_015671990.1,Nana01478-RA
XP_015672096.1,Nana35841-RA
XP_015682709.1,Nana15538-RA
XP_015687067.1,Nana08460-RA
XP_015668049.1,Nana14455-RA
XP_015671918.1,Nana07623-RA
XP_029143153.1,Nana07622-RA
XP_015668513.1,Nana03231-RA
XP_029142079.1,Nana08362-RA
XP_029142430.1,Nana34198-RA
XP_015667156.1,Nana29840-RA
XP_015678211.1,Nana02050-RA
XP_015670969.1,Nana25527-RA
XP_029139307.1,Nana02436-RA
XP_029140044.1,Nana04336-RA
XP_029140043.1,Nana04335-RA
XP_015669476.1,Nana16595-RA
XP_015671665.1,Nana25001-RA
XP_029140738.1,Nana05971-RA
XP_015680651.1,Nana01359-RA
XP_015676469.1,Nana01361-RA
XP_015686718.1,Nana36124-RA
XP_015672895.1,Nana17788-RA
XP_015672894.1,Nana17789-RA
XP_015667595.1,Nana00911-RA
XP_015675787.1,Nana24054-RA
XP_015676484.1,Nana30830-RA
XP_015672404.1,Nana01575-RA
XP_015683713.2,Nana39222-RB
XP_015682283.1,Nana18732-RA
XP_015670893.1,Nana34783-RA
XP_015687344.1,Nana04030-RA
XP_015666241.2,Nana31957-RA
XP_015671138.1,Nana25080-RA
XP_015679763.1,Nana08833-RA
XP_015668296.1,Nana00597-RA
XP_015668295.1,Nana00596-RA
XP_015675813.1,Nana27412-RA
XP_015681579.1,Nana11599-RA
XP_015668764.1,Nana10846-RA
XP_015678370.1,Nana04975-RA
XP_015687221.1,Nana35892-RA
XP_015682036.1,Nana32251-RA
XP_015672645.1,Nana25946-RA
XP_015673010.1,Nana09597-RA
XP_015675019.1,Nana34421-RA
XP_015687161.1,Nana33238-RA
XP_015684247.1,Nana36343-RA
XP_015676528.1,Nana11827-RA
XP_015685178.1,Nana14686-RA
XP_015681691.1,Nana06728-RA
XP_015668022.1,Nana13933-RA
XP_015665719.1,Nana23602-RA
XP_015671769.1,Nana19948-RA
XP_015677076.1,Nana17532-RA
XP_015680128.1,Nana06358-RA
XP_015668118.1,Nana11680-RA
XP_015674065.2,Nana18127-RA
XP_029140559.1,Nana33998-RA
XP_015678465.1,Nana34083-RA
XP_029140014.1,Nana03650-RA
XP_015667313.1,Nana21679-RA
XP_015679075.1,Nana27545-RA
XP_015672394.1,Nana26881-RA
XP_015681371.1,Nana26884-RA
XP_015672119.1,Nana04693-RA
XP_015665907.1,Nana23243-RA
XP_029143126.1,Nana24806-RA
XP_015681005.1,Nana02227-RB
XP_015681646.1,Nana02228-RA
XP_015678584.1,Nana25316-RA
XP_015673902.2,Nana07850-RA
XP_015669140.1,Nana01251-RA
XP_029142445.1,Nana38804-RA
XP_029141302.1,Nana11815-RA
XP_015672834.1,Nana20123-RA
XP_015666761.1,Nana28082-RA
XP_015687848.1,Nana17635-RA
XP_029139008.1,Nana28080-RA
XP_015677102.1,Nana15016-RA
XP_015674778.1,Nana02711-RA
XP_015675882.1,Nana08689-RA
XP_015672730.1,Nana19605-RA
XP_015667898.1,Nana21166-RA
XP_015675980.1,Nana03869-RA
XP_015673002.1,Nana09587-RA
XP_015673000.1,Nana09587-RB
XP_015666765.1,Nana19389-RA
XP_029140860.1,Nana19032-RA
XP_029140861.1,Nana19033-RA
XP_015671939.1,Nana18920-RA
XP_015671938.1,Nana18922-RA
XP_015671953.1,Nana18923-RA
XP_015680354.1,Nana20627-RA
XP_015676794.1,Nana25992-RA
XP_015667090.1,Nana15466-RA
XP_015667088.1,Nana15467-RA
XP_015682562.1,Nana15542-RA
XP_015674409.1,Nana03770-RA
XP_015677209.1,Nana14316-RA
XP_015679581.1,Nana08253-RA
XP_015682136.1,Nana14015-RA
XP_015669040.1,Nana29651-RA
XP_015667179.1,Nana24447-RA
XP_015682796.1,Nana12586-RA
XP_015670349.1,Nana24493-RA
XP_015684305.1,Nana24340-RA
XP_029141464.1,Nana29552-RA
XP_029142303.1,Nana07924-RA
XP_029142061.1,Nana35912-RA
XP_015667999.1,Nana00833-RA
XP_029141874.1,Nana30688-RC
XP_015674966.1,Nana33499-RA
XP_029142386.1,Nana36338-RA
XP_015666270.1,Nana15671-RA
XP_015679655.1,Nana12549-RA
XP_015678786.1,Nana04685-RA
XP_015673645.1,Nana27106-RA
XP_015679579.1,Nana00489-RA
XP_015670933.1,Nana34780-RA
XP_029141920.1,Nana08046-RA
XP_015667447.1,Nana34633-RA
XP_015666327.1,Nana15793-RA
XP_015674349.1,Nana37160-RA
XP_015682607.1,Nana02785-RA
XP_015681742.1,Nana35982-RA
XP_015671645.1,Nana14996-RA
XP_015671638.1,Nana14997-RA
XP_015683656.1,Nana36510-RA
XP_029139454.1,Nana36220-RA
XP_015687726.1,Nana23010-RB
XP_015687727.1,Nana23010-RA
XP_015666711.1,Nana21460-RA
XP_015676392.1,Nana15499-RA
XP_015674042.1,Nana12139-RA
XP_015686796.1,Nana00864-RA
XP_029143113.1,Nana10011-RA
XP_015687330.1,Nana10010-RA
XP_029143112.1,Nana10009-RA
XP_015668493.2,Nana15614-RA
XP_015670533.1,Nana09528-RA
XP_015679487.1,Nana02628-RA
XP_015680703.1,Nana02270-RA
XP_029140016.1,Nana33184-RA
XP_015674022.1,Nana06534-RA
XP_015676857.1,Nana11858-RA
XP_015673494.1,Nana26303-RA
XP_015680867.1,Nana16861-RA
XP_015685743.1,Nana39190-RA
XP_015684123.1,Nana00734-RA
XP_015674486.1,Nana31497-RA
XP_015672272.1,Nana16010-RA
XP_015681995.1,Nana27891-RA
XP_015684541.1,Nana10477-RA
XP_015687483.2,Nana15260-RA
XP_015669595.1,Nana09841-RA
XP_015667392.1,Nana33623-RA
XP_015681445.1,Nana39267-RA
XP_015672659.1,Nana02425-RA
XP_015671662.1,Nana16752-RA
XP_029139859.1,Nana09261-RA
XP_029142215.1,Nana36409-RA
XP_015671468.1,Nana02718-RA
