P_Mucros.pep,E_macularius_gene_v1.0.pep
XP_015669828.1,CCG016766.1
XP_015679681.1,CCG020772.1
XP_015678379.1,CCG020729.1
XP_015672627.1,CCG000553.1
XP_015671863.1,CCG012494.1
XP_015682442.1,CCG005776.2
XP_015675828.1,CCG019071.1
XP_015668761.1,CCG020428.1
XP_015684705.1,CCG000935.1
XP_029142064.1,CCG023874.2
XP_015683080.1,CCG002910.1
XP_015683861.1,CCG004664.1
XP_015673566.1,CCG009873.1
XP_015670344.1,CCG007637.1
XP_029139751.1,CCG017224.1
XP_015670203.1,CCG017230.1
XP_015670206.1,CCG017221.1
XP_015672863.1,CCG003675.1
XP_015682229.1,CCG019372.1
XP_015676483.1,CCG011104.2
XP_015676780.1,CCG017398.1
XP_015670095.1,CCG022504.1
XP_015677238.1,CCG017947.1
XP_015668814.1,CCG011529.1
XP_015674252.1,CCG010176.1
XP_015676898.1,CCG008548.1
XP_015677305.1,CCG022994.1
XP_015672809.1,CCG017672.1
XP_029141415.1,CCG019023.1
XP_015682424.1,CCG015147.1
XP_015666507.1,CCG007163.1
XP_015680358.1,CCG003584.1
XP_015682637.1,CCG020999.1
XP_015684321.2,CCG011885.1
XP_029141098.1,CCG012969.1
XP_015671692.1,CCG014687.1
XP_015676715.1,CCG014857.1
XP_029142411.1,CCG021515.3
XP_015677214.1,CCG018720.1
XP_015666892.1,CCG001849.2
XP_015679751.1,CCG013087.4
XP_015673929.1,CCG018129.1
XP_015665509.1,CCG001146.1
XP_029141434.1,CCG010054.1
XP_029139939.1,CCG007506.1
XP_015683964.1,CCG001937.1
XP_029141015.1,CCG012113.1
XP_015674092.1,CCG007008.2
XP_029140923.1,CCG020702.1
XP_015682931.1,CCG017657.1
XP_015676306.1,CCG005466.1
XP_015676307.1,CCG005465.1
XP_015675839.1,CCG013588.1
XP_015678419.1,CCG002185.1
XP_015683661.1,CCG002170.3
XP_015687761.1,CCG000829.1
XP_015682850.1,CCG017121.1
XP_015676540.1,CCG004417.1
XP_015670152.1,CCG002758.1
XP_015666344.1,CCG003682.1
XP_029139131.1,CCG022436.1
XP_015670326.1,CCG021845.1
XP_015674515.1,CCG022864.1
XP_015680285.1,CCG022061.1
XP_015668855.1,CCG015139.1
XP_015687365.1,CCG017860.1
XP_015678970.1,CCG011574.1
XP_029141414.1,CCG019807.1
XP_029141413.1,CCG011578.1
XP_015686431.1,CCG015257.1
XP_029141224.1,CCG009023.1
XP_015666879.1,CCG021695.1
XP_015675061.1,CCG014521.1
XP_015671969.1,CCG003698.1
XP_015679366.1,CCG003219.1
XP_015681133.1,CCG016604.1
XP_015679212.1,CCG009465.1
XP_015684346.1,CCG001797.1
XP_015681862.1,CCG009983.1
XP_015681941.1,CCG009985.1
XP_029142048.1,CCG009987.1
XP_015681947.1,CCG009986.1
XP_015681761.1,CCG009988.1
XP_015667082.1,CCG002455.1
XP_015680900.1,CCG022116.1
XP_015676390.1,CCG003470.1
XP_015668361.1,CCG019524.1
XP_015668246.1,CCG019523.1
XP_015685683.1,CCG013937.1
XP_015675233.1,CCG021683.2
XP_015679413.1,CCG003689.1
XP_015674516.1,CCG016237.1
XP_015683511.1,CCG011594.1
XP_015687659.1,CCG001044.1
XP_015681873.1,CCG020297.1
XP_015683143.1,CCG012008.1
XP_015679138.1,CCG021111.1
XP_015666168.1,CCG014123.1
XP_029141710.1,CCG023396.1
XP_015666971.1,CCG002076.1
XP_015667884.1,CCG022150.1
XP_015681070.1,CCG021757.1
XP_029139258.1,CCG024087.1
XP_029139221.1,CCG021938.2
XP_015687603.2,CCG020248.1
XP_015674514.1,CCG016996.1
XP_015681256.1,CCG003907.1
XP_029140326.1,CCG003165.2
XP_015671850.1,CCG022908.1
XP_015667139.1,CCG021180.1
XP_015668588.1,CCG007138.1
XP_015684391.1,CCG017117.1
XP_015687209.1,CCG003870.1
XP_015687208.1,CCG003872.1
XP_015674242.1,CCG009088.1
XP_015683523.2,CCG011300.1
XP_015686657.1,CCG012989.1
XP_029140763.1,CCG013576.1
XP_015678645.1,CCG008677.1
XP_015677956.1,CCG014103.1
XP_015670612.1,CCG007036.2
XP_015672503.1,CCG008572.1
XP_015679176.1,CCG013790.1
XP_029140405.1,CCG009945.1
XP_015677572.1,CCG004864.1
XP_015679165.1,CCG013816.1
XP_029139964.1,CCG015025.1
XP_029139967.1,CCG011862.1
XP_015676189.1,CCG015172.1
XP_015681506.1,CCG010926.1
XP_015672468.1,CCG022390.1
XP_015677537.1,CCG003351.1
XP_029142131.1,CCG009111.1
XP_015675100.1,CCG018935.1
XP_015680781.1,CCG006284.1
XP_015674143.1,CCG006645.1
XP_015675003.1,CCG022732.1
XP_015684238.1,CCG020560.2
XP_029140812.1,CCG014491.2
XP_015678334.1,CCG004922.1
XP_015676151.1,CCG014493.1
XP_029141186.1,CCG012175.1
XP_015670837.1,CCG001975.1
XP_029141576.1,CCG020770.3
XP_015676014.1,CCG014947.1
XP_029138883.1,CCG010480.4
XP_029139834.1,CCG023111.2
XP_029143083.1,CCG012335.1
XP_015680245.1,CCG023333.1
XP_015682545.1,CCG021776.1
XP_015670509.1,CCG022552.1
XP_029143039.1,CCG004271.1
XP_015677215.1,CCG024483.1
XP_015677141.1,CCG018798.1
XP_015677827.1,CCG003690.1
XP_015670377.1,CCG003921.1
XP_015681300.1,CCG019614.1
XP_015681568.1,CCG013139.2
XP_015670145.1,CCG018796.3
XP_015666713.1,CCG022480.1
XP_015682858.1,CCG016403.1
XP_029142394.1,CCG003446.1
XP_029142118.1,CCG003440.1
XP_015682176.2,CCG003444.1
XP_015674087.1,CCG024204.1
XP_015676748.1,CCG012978.1
XP_015676230.1,CCG005864.1
XP_015667171.1,CCG021184.1
XP_029140312.1,CCG003534.1
XP_029139204.1,CCG021248.1
XP_015682569.1,CCG020900.1
XP_015669060.1,CCG020901.1
XP_015679495.1,CCG016205.1
XP_015679641.1,CCG016203.1
XP_029140042.1,CCG024604.1
XP_015676036.1,CCG013046.1
XP_029139365.1,CCG009077.1
XP_029143212.1,CCG002298.1
XP_015668438.1,CCG009078.1
XP_029141592.1,CCG019785.1
XP_029140409.1,CCG014816.1
XP_029140176.1,CCG013475.1
XP_015672473.1,CCG003509.1
XP_015684318.1,CCG016616.1
XP_029140806.1,CCG018360.1
XP_015678771.1,CCG008686.2
XP_015671858.1,CCG010524.1
XP_015675826.1,CCG014615.1
XP_015679616.1,CCG009158.1
XP_015665696.1,CCG009346.1
XP_015671166.1,CCG021083.1
XP_015682861.1,CCG001932.1
XP_015672930.1,CCG013188.1
XP_015668413.1,CCG000272.1
XP_015687045.1,CCG004708.3
XP_015680533.1,CCG007066.1
XP_029139765.1,CCG005612.1
XP_015671668.1,CCG012460.1
XP_015671660.1,CCG015060.1
XP_015671305.1,CCG001241.1
XP_015687880.1,CCG023726.1
XP_029139557.1,CCG008035.1
XP_015673469.1,CCG002535.1
XP_015668037.1,CCG017989.1
XP_015675393.1,CCG012583.1
XP_029141385.1,CCG018155.1
XP_015681863.1,CCG004441.1
XP_015675459.1,CCG018626.1
XP_015682489.1,CCG024355.2
XP_015678662.1,CCG004896.1
XP_015669064.1,CCG020908.1
XP_029140427.1,CCG012005.1
XP_015666148.1,CCG022786.2
XP_015668650.1,CCG023761.1
XP_015671077.2,CCG017588.2
XP_015671282.1,CCG007522.1
XP_029142387.1,CCG008750.1
XP_015665419.1,CCG013170.1
XP_029140230.1,CCG001374.1
XP_015673381.1,CCG003559.1
XP_015670898.1,CCG011420.4
XP_015687747.1,CCG002523.1
XP_015683450.1,CCG010122.1
XP_015676649.1,CCG020699.1
XP_015669674.1,CCG016676.1
XP_015670647.1,CCG023108.1
XP_015666790.1,CCG022509.1
XP_015684836.1,CCG020823.1
XP_015665670.1,CCG009332.1
XP_015683975.1,CCG020824.1
XP_015673644.1,CCG003621.1
XP_015665531.1,CCG015124.1
XP_015671418.1,CCG012654.1
XP_015681824.1,CCG008103.1
XP_029141046.1,CCG013319.1
XP_015670447.1,CCG006919.1
XP_015668084.1,CCG015224.1
XP_015673553.1,CCG006083.1
XP_015665701.1,CCG009324.1
XP_029140527.1,CCG024237.1
XP_029142229.1,CCG004726.1
XP_015681570.1,CCG016164.1
XP_015667789.1,CCG020634.1
XP_015668680.1,CCG023792.1
XP_015686655.2,CCG002754.1
XP_015673519.1,CCG021114.1
XP_015668026.2,CCG013709.2
XP_029142980.1,CCG021699.1
XP_029139324.1,CCG014279.1
XP_015677665.1,CCG021497.1
XP_015677117.1,CCG009641.1
XP_015675953.1,CCG010662.2
XP_015677395.1,CCG020707.1
XP_015679726.1,CCG006872.1
XP_015670952.1,CCG020189.2
XP_015683063.1,CCG002903.1
XP_015681194.1,CCG004657.2
XP_029140428.1,CCG019644.1
XP_015683639.1,CCG018821.1
XP_015676590.1,CCG014186.1
XP_015676593.1,CCG014187.1
XP_029141629.1,CCG003371.1
XP_015670226.1,CCG020753.1
XP_015687750.1,CCG002734.1
XP_015675311.1,CCG020987.1
XP_015680082.1,CCG019784.1
XP_015671814.1,CCG009618.1
XP_029142325.1,CCG023865.1
XP_015684862.1,CCG021803.1
XP_015668195.1,CCG012943.2
XP_015681188.1,CCG008578.1
XP_015669709.2,CCG008734.1
XP_029139717.1,CCG019894.1
XP_015686563.1,CCG001337.1
XP_015684681.1,CCG014807.1
XP_015686286.1,CCG010684.1
XP_029141911.1,CCG009207.1
XP_015675689.1,CCG014280.1
XP_015672504.1,CCG015628.2
XP_015683377.1,CCG015495.1
XP_015669019.1,CCG006150.1
XP_015670932.1,CCG011436.1
XP_015675609.1,CCG006675.1
XP_015677136.1,CCG014706.3
XP_015670401.1,CCG012236.1
XP_029142567.1,CCG012445.4
XP_029142262.1,CCG002725.1
XP_015668495.1,CCG017601.2
XP_015665477.1,CCG020858.1
XP_015670886.1,CCG015570.1
XP_015683175.1,CCG023866.2
XP_015670740.1,CCG023163.1
XP_015677342.1,CCG017040.1
XP_015667106.1,CCG006956.1
XP_015679994.1,CCG002891.1
XP_015680243.1,CCG021730.1
XP_029142028.1,CCG014534.1
XP_015678146.1,CCG021250.1
XP_015680421.1,CCG003706.1
XP_015683351.1,CCG019884.1
XP_015674733.1,CCG022719.1
XP_015676277.1,CCG008432.1
XP_015666764.1,CCG016303.1
XP_015677539.1,CCG010617.1
XP_029138864.1,CCG014425.1
XP_015679703.1,CCG024183.1
XP_015684700.1,CCG015238.1
XP_029141778.1,CCG021963.4
XP_015678338.1,CCG005251.1
XP_029139120.1,CCG016602.1
XP_015674997.1,CCG020227.2
XP_015672742.1,CCG004065.1
XP_015685093.1,CCG006700.1
XP_029141000.1,CCG018171.2
XP_015677104.1,CCG018161.1
XP_015675216.1,CCG011753.1
XP_015665836.1,CCG014383.1
XP_015678519.1,CCG010578.1
XP_015678114.1,CCG002171.1
XP_015670652.1,CCG002729.1
XP_015670174.1,CCG010776.1
XP_015677946.1,CCG011540.1
XP_015680818.1,CCG008100.1
XP_015675552.1,CCG002640.2
XP_015681262.1,CCG004388.1
XP_015666876.1,CCG003537.1
XP_015684950.1,CCG015660.1
XP_029142219.1,CCG000482.1
XP_015680257.1,CCG022872.1
XP_015669347.1,CCG000868.1
XP_015675665.1,CCG022453.1
XP_015667894.1,CCG018180.1
XP_015681945.1,CCG023326.1
XP_015681785.1,CCG006433.1
XP_015679452.1,CCG014037.1
XP_015671846.1,CCG022907.1
XP_015681515.1,CCG012226.1
XP_015672190.1,CCG016416.1
XP_015676519.1,CCG004413.1
XP_015676273.1,CCG001877.1
XP_015668998.1,CCG006153.1
XP_015665944.1,CCG010032.1
XP_015675546.1,CCG023750.1
XP_015680738.1,CCG002791.2
XP_015679733.1,CCG006882.1
XP_015674636.1,CCG017481.1
XP_015676936.1,CCG015115.1
XP_029142730.1,CCG001613.1
XP_029141361.1,CCG018145.1
XP_015676486.1,CCG006921.1
XP_015673359.1,CCG013148.1
XP_015677958.1,CCG022712.1
XP_015668658.1,CCG013873.1
XP_015683823.1,CCG010569.1
XP_015673854.1,CCG003714.1
XP_015678812.1,CCG023264.1
XP_015678621.1,CCG001659.1
XP_015675803.1,CCG000890.1
XP_015675851.1,CCG013608.1
XP_015683714.1,CCG023837.1
XP_015676352.1,CCG010386.1
XP_015665779.1,CCG014390.1
XP_015676530.1,CCG005949.1
XP_029141269.1,CCG010066.1
XP_015685887.1,CCG015734.1
XP_029139212.1,CCG010977.3
XP_015668027.1,CCG010721.1
XP_015668043.1,CCG010719.1
XP_015668029.1,CCG010720.1
XP_029139602.1,CCG014171.1
XP_015674139.1,CCG001890.1
XP_029141966.1,CCG011823.3
XP_015680989.1,CCG005741.1
XP_015682998.1,CCG007144.1
XP_015671241.1,CCG000911.1
XP_015673838.1,CCG017882.1
XP_029141578.1,CCG008010.2
XP_029139993.1,CCG003504.1
XP_015680138.1,CCG023829.1
XP_015676145.1,CCG014503.2
XP_015675754.1,CCG020913.1
XP_015675370.1,CCG013388.2
XP_015677568.1,CCG015874.1
XP_015667968.1,CCG021099.1
XP_015670772.1,CCG001403.1
XP_015667630.1,CCG003150.1
XP_015680090.1,CCG011135.1
XP_029138886.1,CCG012779.1
XP_029139156.1,CCG006067.1
XP_015668591.2,CCG017356.1
XP_015676984.1,CCG015857.2
XP_029140206.1,CCG002473.1
XP_015677003.1,CCG015862.2
XP_015679103.1,CCG017965.1
XP_015679376.1,CCG008696.2
XP_015665803.1,CCG006412.2
XP_015682709.1,CCG004734.1
XP_015687067.1,CCG015174.1
XP_015669656.1,CCG002860.1
XP_015668049.1,CCG014559.1
XP_015675063.1,CCG019483.1
XP_029139977.1,CCG021049.1
XP_015668513.1,CCG016645.1
XP_029142079.1,CCG009611.1
XP_015678211.1,CCG012546.1
XP_015668678.1,CCG009910.1
XP_029139307.1,CCG013764.1
XP_029140044.1,CCG014120.4
XP_029140043.1,CCG015989.1
XP_015671665.1,CCG008048.1
XP_015679998.1,CCG024573.1
XP_029140738.1,CCG022523.1
XP_015686718.1,CCG002187.2
XP_015667595.1,CCG013754.1
XP_015675787.1,CCG010198.1
XP_015680219.1,CCG005040.1
XP_015680521.1,CCG007579.1
XP_015676484.1,CCG011110.1
XP_015672404.1,CCG000670.1
XP_015683713.2,CCG023838.1
XP_015687344.1,CCG008924.1
XP_015682870.1,CCG010598.1
XP_015666241.2,CCG020513.1
XP_015671138.1,CCG020444.1
XP_015679763.1,CCG002371.1
XP_015665950.1,CCG010039.1
XP_029141909.1,CCG005628.1
XP_015687221.1,CCG018807.1
XP_015682927.1,CCG004368.1
XP_015671722.1,CCG023158.1
XP_015682660.1,CCG019549.1
XP_015682036.1,CCG003930.1
XP_015673010.1,CCG006140.1
XP_015687161.1,CCG015662.2
XP_015684247.1,CCG009191.1
XP_015676528.1,CCG023134.1
XP_015685178.1,CCG009960.1
XP_015681691.1,CCG004022.1
XP_015671769.1,CCG001557.1
XP_015683328.1,CCG019137.1
XP_015677076.1,CCG014073.1
XP_015666503.1,CCG020046.1
XP_015673831.1,CCG017879.1
XP_015673832.1,CCG017880.2
XP_015668108.1,CCG011030.1
XP_015674065.2,CCG004671.1
XP_029140559.1,CCG003963.1
XP_015678465.1,CCG017399.1
XP_015667313.1,CCG006523.1
XP_015679075.1,CCG024115.1
XP_015681371.1,CCG008852.1
XP_015665907.1,CCG015323.1
XP_015681005.1,CCG005313.1
XP_029140835.1,CCG007747.1
XP_015669140.1,CCG006747.1
XP_015678798.1,CCG022749.2
XP_015683615.1,CCG004459.1
XP_029142445.1,CCG002776.1
XP_029141302.1,CCG003619.1
XP_029141952.1,CCG008228.3
XP_015672834.1,CCG018312.1
XP_029139880.1,CCG005802.1
XP_029142010.1,CCG005309.1
XP_015674177.1,CCG008859.1
XP_015666761.1,CCG017815.1
XP_015674778.1,CCG008855.1
XP_015668921.1,CCG001777.1
XP_015676740.1,CCG003839.5
XP_029141712.1,CCG016859.1
XP_015672730.1,CCG017999.1
XP_015667898.1,CCG003065.1
XP_015676131.1,CCG020689.1
XP_015675980.1,CCG016327.1
XP_015673001.1,CCG006133.1
XP_015666765.1,CCG018855.1
XP_015685519.1,CCG007921.1
XP_029140860.1,CCG007926.1
XP_015671939.1,CCG004715.2
XP_015671938.1,CCG004716.1
XP_015671953.1,CCG004717.1
XP_015680354.1,CCG024579.1
XP_015682562.1,CCG004730.1
XP_015677208.1,CCG015501.1
XP_015679581.1,CCG016994.1
XP_015668247.1,CCG022381.1
XP_015671335.1,CCG021076.1
XP_015686366.1,CCG015219.4
XP_015670349.1,CCG007826.1
XP_015684305.1,CCG023860.1
XP_029141464.1,CCG018495.1
XP_015674966.1,CCG024168.1
XP_029138799.1,CCG005011.2
XP_015679655.1,CCG019788.1
XP_015678786.1,CCG016685.1
XP_015673645.1,CCG013157.1
XP_015679579.1,CCG012282.1
XP_015670933.1,CCG011433.1
XP_029141920.1,CCG019324.5
XP_015677922.1,CCG015244.3
XP_015668901.1,CCG004323.1
XP_015667447.1,CCG012054.1
XP_015666327.1,CCG012055.1
XP_015668789.1,CCG020422.1
XP_015674349.1,CCG005184.1
XP_029142622.1,CCG013643.1
XP_029139454.1,CCG024286.1
XP_029139755.1,CCG024028.2
XP_015667054.1,CCG022806.2
XP_029140295.1,CCG000517.1
XP_015666387.1,CCG020656.1
XP_015674042.1,CCG007592.1
XP_015666923.1,CCG009285.1
XP_015683136.1,CCG012507.1
XP_015675421.1,CCG023183.1
XP_015686796.1,CCG004270.1
XP_029143115.1,CCG024549.1
XP_015668493.2,CCG000465.2
XP_029140287.1,CCG006315.1
XP_029139390.1,CCG002236.1
XP_015670533.1,CCG009756.1
XP_015679487.1,CCG016475.1
XP_029140016.1,CCG015695.1
XP_015674022.1,CCG011292.1
XP_015673494.1,CCG017971.1
XP_015680867.1,CCG021200.1
XP_015674486.1,CCG024244.1
XP_015682595.1,CCG001182.1
XP_015681995.1,CCG018727.1
XP_015687483.2,CCG014957.1
XP_015677644.1,CCG017727.1
XP_015671619.1,CCG016007.1
XP_015671581.1,CCG016008.1
XP_015669595.1,CCG016679.1
XP_015679750.1,CCG013089.1
XP_029139859.1,CCG011712.1
XP_029142215.1,CCG004851.1
XP_015675988.1,CCG023879.1
XP_029141210.1,CCG006498.2
XP_015666464.1,CCG020075.1
XP_029139269.1,CCG021101.1
XP_029142084.1,CCG001184.1
XP_015681523.1,CCG013863.1
XP_015681685.1,CCG008232.1
XP_015681953.1,CCG007178.1
XP_015676741.1,CCG003838.1
XP_015668649.1,CCG023763.1
XP_015667611.1,CCG012734.1
XP_015687937.1,CCG022642.1
XP_015687509.1,CCG016904.1
XP_015676840.1,CCG002880.1
XP_015667553.1,CCG003611.1
XP_015667427.1,CCG006568.1
XP_029143182.1,CCG000621.2
XP_015675093.1,CCG017458.1
XP_015687237.1,CCG007209.1
XP_029140060.1,CCG022292.1
XP_015671682.1,CCG008633.1
XP_015683893.1,CCG024358.1
XP_015673539.1,CCG022751.1
XP_015669189.1,CCG021149.1
XP_015681434.1,CCG004827.1
XP_015682438.1,CCG024575.1
XP_015672238.1,CCG019656.1
XP_015665731.1,CCG018820.1
XP_015666447.1,CCG008266.1
XP_015669186.1,CCG011965.1
XP_015672740.1,CCG004069.1
XP_029140732.1,CCG015655.2
XP_015665557.1,CCG001149.1
XP_029139946.1,CCG003154.1
XP_015667932.1,CCG015082.1
XP_015667579.1,CCG006117.1
XP_015685590.1,CCG016804.1
XP_015682959.1,CCG017801.1
XP_015678274.1,CCG008927.1
XP_015670011.1,CCG013163.1
XP_015674892.1,CCG007889.1
XP_029140282.1,CCG023208.1
XP_029139957.1,CCG017548.1
XP_015674711.1,CCG007466.2
XP_015674879.1,CCG017702.1
XP_015687390.1,CCG021690.1
XP_015678513.1,CCG012824.1
XP_015679924.1,CCG020545.3
XP_015678932.1,CCG023131.1
XP_015677408.1,CCG021007.1
XP_015680387.1,CCG004402.1
XP_015671890.1,CCG012683.1
XP_015669179.2,CCG014202.1
XP_015680277.1,CCG007417.1
XP_029140411.1,CCG011334.1
XP_029139759.1,CCG015057.1
XP_015677180.1,CCG014635.1
XP_029139423.1,CCG019526.1
XP_015678509.1,CCG008194.1
XP_015682306.1,CCG019882.1
XP_015680706.1,CCG010323.3
XP_015674372.1,CCG004956.1
XP_015686948.1,CCG008596.1
XP_029139146.1,CCG024160.1
XP_029143091.1,CCG003126.1
XP_015676452.1,CCG018967.1
XP_015672217.1,CCG004764.2
XP_015675300.1,CCG008961.1
XP_015666479.1,CCG007150.1
XP_015669177.1,CCG011967.1
XP_015668235.1,CCG021823.1
XP_015684944.1,CCG004983.1
XP_015684943.1,CCG004986.1
XP_015670868.1,CCG009467.1
XP_015667533.1,CCG004088.1
XP_015665631.1,CCG009334.1
XP_015683877.1,CCG010888.1
XP_015684259.1,CCG005135.1
XP_029142135.1,CCG012841.1
XP_029142708.1,CCG001805.1
XP_029140944.1,CCG004178.1
XP_015665510.1,CCG002841.1
XP_015668050.1,CCG019217.1
XP_015667448.1,CCG012053.4
XP_029140536.1,CCG014245.1
XP_015672250.1,CCG001103.1
XP_015677231.1,CCG015830.1
XP_015670865.1,CCG016879.1
XP_015681319.1,CCG016316.1
XP_029142877.1,CCG007717.1
XP_015671178.1,CCG016318.1
XP_015672596.1,CCG011634.1
XP_015665423.1,CCG001153.1
XP_015679405.1,CCG002603.1
XP_015672006.1,CCG004498.1
XP_015674212.1,CCG007773.1
XP_015679170.1,CCG001755.1
XP_015677128.1,CCG021550.1
XP_029138786.1,CCG003100.1
XP_029143074.1,CCG008892.1
XP_015673358.1,CCG007549.1
XP_015683029.1,CCG018239.2
XP_015687909.1,CCG022627.1
XP_015671679.1,CCG008636.1
XP_029139003.1,CCG005992.1
XP_029140656.1,CCG015836.2
XP_015671821.1,CCG009616.1
XP_015673393.2,CCG003163.1
XP_015669955.1,CCG011039.1
XP_015667336.1,CCG001369.1
XP_015679449.1,CCG000964.1
XP_015686380.1,CCG018762.1
XP_015680950.1,CCG014309.1
XP_015668511.1,CCG008716.1
XP_015666519.1,CCG020059.1
XP_015669811.1,CCG021490.1
XP_015675642.1,CCG008024.1
XP_015676003.1,CCG022315.1
XP_015673336.2,CCG003527.1
XP_015674386.1,CCG020528.1
XP_029140857.1,CCG014116.1
XP_015668918.2,CCG019535.1
XP_029139470.1,CCG011062.1
XP_015668994.1,CCG011069.1
XP_015668996.1,CCG011065.1
XP_015678705.1,CCG007222.1
XP_015667862.1,CCG009895.1
XP_015680163.1,CCG013734.1
XP_029139940.1,CCG007513.1
XP_015675386.1,CCG006453.1
XP_015673018.1,CCG010435.2
XP_029141831.1,CCG001595.1
XP_015687823.1,CCG023102.1
XP_015679226.1,CCG002872.1
XP_015682635.1,CCG024714.1
XP_015682856.2,CCG020219.1
XP_015677434.1,CCG003327.1
XP_015676758.1,CCG004810.1
XP_015687491.1,CCG004034.1
XP_015682415.2,CCG007487.1
XP_015682555.1,CCG008723.1
XP_015681453.1,CCG001456.1
XP_015672953.1,CCG013211.1
XP_029141110.1,CCG009291.1
XP_015672469.1,CCG003279.1
XP_029140788.1,CCG007392.1
XP_015684686.1,CCG010715.1
XP_015687023.1,CCG014623.1
XP_015669412.1,CCG010736.1
XP_015680228.1,CCG005039.1
XP_015668150.1,CCG023049.1
XP_015665427.1,CCG002831.1
XP_015673265.1,CCG014907.1
XP_029140534.1,CCG018511.1
XP_015669949.1,CCG022121.1
XP_015665637.1,CCG009311.2
XP_015669773.1,CCG001634.1
XP_015666418.1,CCG007327.1
