CroVir_rnd1.all.maker.proteins.final,P_Mucros.pep
crovir-protein-16045,XP_015670327.1
crovir-protein-9865,XP_015670326.1
crovir-protein-16992,XP_015685103.1
crovir-protein-12237,XP_015684701.1
crovir-protein-17174,XP_015684680.2
crovir-protein-17283,XP_029142983.1
crovir-protein-991,XP_015675783.1
crovir-protein-8581,XP_015667791.1
crovir-protein-138,XP_015680208.1
crovir-protein-13168,XP_015678738.1
crovir-protein-15161,XP_015670840.1
crovir-protein-15164,XP_015672094.1
crovir-protein-8293,XP_015670457.1
crovir-protein-9700,XP_015671903.1
crovir-protein-12419,XP_029141432.1
crovir-protein-12407,XP_015684770.2
crovir-protein-12406,XP_029141435.1
crovir-protein-12405,XP_029141436.1
crovir-protein-297,XP_015680830.1
crovir-protein-16213,XP_015666895.1
crovir-protein-16230,XP_015666896.1
crovir-protein-16233,XP_015666927.1
crovir-protein-6645,XP_015684223.1
crovir-protein-5147,XP_015674724.1
crovir-protein-16576,XP_015682354.1
crovir-protein-5629,XP_015687513.1
crovir-protein-5626,XP_015687512.1
crovir-protein-5631,XP_015687510.1
crovir-protein-8538,XP_029139245.1
crovir-protein-10765,XP_029140039.1
crovir-protein-8610,XP_029139244.1
crovir-protein-65,XP_029138762.1
crovir-protein-10771,XP_029139815.1
crovir-protein-2056,XP_015666103.1
crovir-protein-8297,XP_015670470.1
crovir-protein-15914,XP_015671316.1
crovir-protein-11163,XP_029141364.1
crovir-protein-12688,XP_015670344.1
crovir-protein-1176,XP_015683080.1
crovir-protein-712,XP_015683861.1
crovir-protein-15049,XP_015673566.1
crovir-protein-14626,XP_015672611.1
crovir-protein-8373,XP_015672544.1
crovir-protein-8358,XP_015672533.1
crovir-protein-14902,XP_029139567.1
crovir-protein-6814,XP_029138811.1
crovir-protein-3071,XP_015687069.2
crovir-protein-3068,XP_029142455.1
crovir-protein-13496,XP_029140419.1
crovir-protein-2199,XP_029141318.1
crovir-protein-8095,XP_015673125.1
crovir-protein-16130,XP_015687979.1
crovir-protein-3481,XP_015676794.1
crovir-protein-10927,XP_015680354.1
crovir-protein-15038,XP_015668794.1
crovir-protein-SVMP_4,XP_015685664.1
crovir-protein-SVMP_11,XP_015683146.2
crovir-protein-SVMP_10,XP_029142320.1
crovir-protein-SVMP_6,XP_015683145.1
crovir-protein-12864,XP_015686551.1
crovir-protein-7250,XP_015686536.1
crovir-protein-SVMP_9,XP_015683679.2
crovir-protein-SVMP_1,XP_015682631.1
crovir-protein-12856,XP_015683143.1
crovir-protein-585,XP_015667116.1
crovir-protein-8919,XP_029141240.1
crovir-protein-4369,XP_015672895.1
crovir-protein-2801,XP_015669828.1
crovir-protein-2796,XP_015674428.1
crovir-protein-2794,XP_015674430.2
crovir-protein-14511,XP_015679681.1
crovir-protein-14674,XP_015678379.1
crovir-protein-14644,XP_015672627.1
crovir-protein-14561,XP_015671217.1
crovir-protein-14562,XP_029139925.1
crovir-protein-14560,XP_029139926.1
crovir-protein-4257,XP_015671863.1
crovir-protein-13931,XP_015682442.1
crovir-protein-3369,XP_015671967.2
crovir-protein-5554,XP_015672908.1
crovir-protein-16966,XP_015681973.1
crovir-protein-9210,XP_015679072.1
crovir-protein-4272,XP_015674090.1
crovir-protein-4028,XP_029139751.1
crovir-protein-4022,XP_029139749.1
crovir-protein-4023,XP_015670203.1
crovir-protein-4026,XP_015670206.1
crovir-protein-5764,XP_015680541.1
crovir-protein-1410,XP_015675828.1
crovir-protein-733,XP_015681724.1
crovir-protein-752,XP_015682381.1
crovir-protein-745,XP_015686777.1
crovir-protein-2850,XP_029138857.1
crovir-protein-15926,XP_015678553.1
crovir-protein-12450,XP_015683915.1
crovir-protein-10795,XP_015680148.1
crovir-protein-14447,XP_015678396.1
crovir-protein-2504,XP_015687734.1
crovir-protein-6243,XP_015676045.1
crovir-protein-6145,XP_015670095.1
crovir-protein-7891,XP_015677238.1
crovir-protein-13543,XP_015671692.1
crovir-protein-14883,XP_029139226.1
crovir-protein-12294,XP_015672425.1
crovir-protein-17349,XP_029141138.1
crovir-protein-17148,XP_015677677.1
crovir-protein-16632,XP_029142411.1
crovir-protein-1686,XP_015684744.1
crovir-protein-4602,XP_015672863.1
crovir-protein-80,XP_015672837.1
crovir-protein-2515,XP_015682229.1
crovir-protein-14006,XP_015674820.1
crovir-protein-1303,XP_015676483.1
crovir-protein-10755,XP_015674502.1
crovir-protein-3504,XP_015681165.1
crovir-protein-35,XP_015668682.1
crovir-protein-15883,XP_015669285.1
crovir-protein-15942,XP_029142011.1
crovir-protein-1201,XP_015674252.1
crovir-protein-10063,XP_015678018.1
crovir-protein-12686,XP_015676898.1
crovir-protein-10682,XP_029141186.1
crovir-protein-16717,XP_015682335.2
crovir-protein-11589,XP_015677197.1
crovir-protein-3085,XP_015677305.1
crovir-protein-108,XP_029141621.1
crovir-protein-9328,XP_015673847.1
crovir-protein-956,XP_029140470.1
crovir-protein-11616,XP_015679505.1
crovir-protein-1133,XP_015668220.1
crovir-protein-4264,XP_015682637.1
crovir-protein-3490,XP_015684321.2
crovir-protein-5722,XP_015671583.1
crovir-protein-1122,XP_015668225.1
crovir-protein-11361,XP_015675866.1
crovir-protein-1120,XP_015668223.1
crovir-protein-17296,XP_015681935.1
crovir-protein-418,XP_015684240.1
crovir-protein-1180,XP_015675839.1
crovir-protein-17321,XP_015683637.1
crovir-protein-15945,XP_015681792.1
crovir-protein-6868,XP_015665419.1
crovir-protein-16663,XP_015680736.1
crovir-protein-5744,XP_015666892.1
crovir-protein-16664,XP_015677214.1
crovir-protein-5745,XP_015676867.1
crovir-protein-4016,XP_029141415.1
crovir-protein-4685,XP_015682424.1
crovir-protein-11030,XP_015666507.1
crovir-protein-15889,XP_015680358.1
crovir-protein-5881,XP_015672653.1
crovir-protein-5877,XP_029140220.1
crovir-protein-8869,XP_015676715.1
crovir-protein-4225,XP_015683964.1
crovir-protein-16443,XP_015686414.1
crovir-protein-15990,XP_029139218.1
crovir-protein-6756,XP_015665509.1
crovir-protein-7483,XP_029141098.1
crovir-protein-13700,XP_015672809.1
crovir-protein-7877,XP_015679149.1
crovir-protein-7094,XP_015682374.1
crovir-protein-10977,XP_015679751.1
crovir-protein-13369,XP_015679212.1
crovir-protein-4041,XP_029141216.1
crovir-protein-9423,XP_015674515.1
crovir-protein-12428,XP_029141434.1
crovir-protein-12425,XP_029142366.1
crovir-protein-2114,XP_015667194.1
crovir-protein-14708,XP_029140923.1
crovir-protein-8249,XP_029141470.1
crovir-protein-8298,XP_015676018.1
crovir-protein-2667,XP_015665901.1
crovir-protein-1958,XP_015667066.1
crovir-protein-14070,XP_029140530.1
crovir-protein-10389,XP_029139251.1
crovir-protein-16723,XP_015682850.1
crovir-protein-3442,XP_015666878.1
crovir-protein-14262,XP_015667179.1
crovir-protein-7465,XP_015686431.1
crovir-protein-7464,XP_015679002.1
crovir-protein-7463,XP_015679003.1
crovir-protein-7461,XP_015675520.2
crovir-protein-7468,XP_015678999.1
crovir-protein-7466,XP_029141417.1
crovir-protein-8890,XP_015675233.1
crovir-protein-637,XP_015674516.1
crovir-protein-9055,XP_015671118.1
crovir-protein-932,XP_015670658.1
crovir-protein-6505,XP_015671231.1
crovir-protein-5185,XP_015668954.1
crovir-protein-1608,XP_015684043.1
crovir-protein-12693,XP_029140862.1
crovir-protein-12694,XP_015676390.1
crovir-protein-14796,XP_015670431.1
crovir-protein-8798,XP_015683273.2
crovir-protein-13590,XP_015677824.1
crovir-protein-15665,XP_015670152.1
crovir-protein-6804,XP_015665542.1
crovir-protein-7398,XP_015666344.1
crovir-protein-14753,XP_015684903.1
crovir-protein-3090,XP_015670474.1
crovir-protein-14021,XP_015675061.1
crovir-protein-14333,XP_015669892.1
crovir-protein-16174,XP_029138765.1
crovir-protein-3445,XP_015666879.1
crovir-protein-15649,XP_015671623.1
crovir-protein-7822,XP_015671969.1
crovir-protein-6376,XP_015667544.1
crovir-protein-12355,XP_015680441.1
crovir-protein-16785,XP_029142215.1
crovir-protein-14058,XP_015684484.1
crovir-protein-14057,XP_029139859.1
crovir-protein-14853,XP_015670602.1
crovir-protein-16507,XP_015683242.1
crovir-protein-10391,XP_015667869.1
crovir-protein-12836,XP_015679777.1
crovir-protein-8106,XP_015684024.2
crovir-protein-13955,XP_015676531.1
crovir-protein-2532,XP_015687746.1
crovir-protein-14426,XP_015668460.1
crovir-protein-8483,XP_015686521.1
crovir-protein-17462,XP_015684836.1
crovir-protein-17461,XP_015683975.1
crovir-protein-14257,XP_015667286.1
crovir-protein-14256,XP_029139131.1
crovir-protein-8472,XP_015675064.1
crovir-protein-13447,XP_015678241.1
crovir-protein-13446,XP_029140806.1
crovir-protein-14838,XP_015670606.2
crovir-protein-6325,XP_015672473.1
crovir-protein-10633,XP_015669192.1
crovir-protein-3222,XP_029138770.1
crovir-protein-9859,XP_029141224.1
crovir-protein-13845,XP_015679366.1
crovir-protein-702,XP_015682491.1
crovir-protein-5096,XP_015667850.1
crovir-protein-9838,XP_029140344.1
crovir-protein-15617,XP_029141015.1
crovir-protein-11380,XP_015674092.1
crovir-protein-16669,XP_015668636.1
crovir-protein-13752,XP_029142592.1
crovir-protein-1210,XP_015674242.1
crovir-protein-17051,XP_015683523.2
crovir-protein-12362,XP_015686657.1
crovir-protein-379,XP_015681761.1
crovir-protein-381,XP_015681941.1
crovir-protein-382,XP_015681862.1
crovir-protein-10556,XP_015668929.1
crovir-protein-16745,XP_015680900.1
crovir-protein-13998,XP_029140149.1
crovir-protein-13066,XP_015668413.1
crovir-protein-12440,XP_029141321.1
crovir-protein-12442,XP_029141320.1
crovir-protein-12443,XP_015678568.1
crovir-protein-2285,XP_015679165.1
crovir-protein-8097,XP_029140405.1
crovir-protein-15508,XP_029140162.1
crovir-protein-749,XP_029141228.1
crovir-protein-11722,XP_015670169.1
crovir-protein-10366,XP_015666764.1
crovir-protein-13967,XP_015674111.1
crovir-protein-4664,XP_015677539.1
crovir-protein-4617,XP_015670377.1
crovir-protein-16162,XP_015687890.1
crovir-protein-926,XP_015687659.1
crovir-protein-6651,XP_015682845.1
crovir-protein-15992,XP_029139221.1
crovir-protein-2349,XP_015677888.1
crovir-protein-2350,XP_015672454.1
crovir-protein-10447,XP_015668246.1
crovir-protein-5379,XP_015668361.1
crovir-protein-8910,XP_015672964.1
crovir-protein-6654,XP_015685683.1
crovir-protein-15127,XP_015669483.1
crovir-protein-10224,XP_029139428.1
crovir-protein-7839,XP_015672051.1
crovir-protein-9215,XP_015676129.1
crovir-protein-7365,XP_029139964.1
crovir-protein-7449,XP_029139967.1
crovir-protein-7448,XP_029139965.1
crovir-protein-7451,XP_015671425.1
crovir-protein-13250,XP_015673894.2
crovir-protein-475,XP_015687208.1
crovir-protein-473,XP_015687209.1
crovir-protein-555,XP_015684391.1
crovir-protein-17198,XP_015681300.1
crovir-protein-17192,XP_029141908.1
crovir-protein-10909,XP_015681247.1
crovir-protein-1149,XP_015675869.1
crovir-protein-16753,XP_015682283.1
crovir-protein-6688,XP_015666168.1
crovir-protein-15428,XP_015679138.1
crovir-protein-11647,XP_015677956.1
crovir-protein-13276,XP_015683034.1
crovir-protein-14842,XP_015670612.1
crovir-protein-6327,XP_015674986.1
crovir-protein-5606,XP_015668623.1
crovir-protein-4300,XP_015676915.1
crovir-protein-9593,XP_015672503.1
crovir-protein-12424,XP_015679096.1
crovir-protein-9475,XP_015679176.1
crovir-protein-15192,XP_015669312.1
crovir-protein-1436,XP_015681608.1
crovir-protein-16866,XP_015678588.1
crovir-protein-9450,XP_015674514.1
crovir-protein-5742,XP_015676869.1
crovir-protein-5743,XP_015676870.1
crovir-protein-7521,XP_015674143.1
crovir-protein-13531,XP_029142079.1
crovir-protein-365,XP_029142430.1
crovir-protein-355,XP_015683342.1
crovir-protein-8426,XP_015668513.1
crovir-protein-6524,XP_015671850.1
crovir-protein-583,XP_015667139.1
crovir-protein-6323,XP_015672468.1
crovir-protein-6321,XP_015672475.1
crovir-protein-8162,XP_015679262.2
crovir-protein-4916,XP_029141072.1
crovir-protein-16660,XP_015675459.1
crovir-protein-14410,XP_029138868.1
crovir-protein-10397,XP_015687603.2
crovir-protein-12332,XP_015680533.1
crovir-protein-7965,XP_015681506.1
crovir-protein-301,XP_015675017.1
crovir-protein-302,XP_015675003.1
crovir-protein-300,XP_015674988.1
crovir-protein-1207,XP_015684238.1
crovir-protein-1269,XP_015676151.1
crovir-protein-1275,XP_029140812.1
crovir-protein-6826,XP_015678334.1
crovir-protein-12140,XP_015687442.1
crovir-protein-13129,XP_015681568.1
crovir-protein-1440,XP_015676404.1
crovir-protein-5911,XP_015670145.1
crovir-protein-5734,XP_015679389.1
crovir-protein-14967,XP_015682873.1
crovir-protein-4229,XP_015678882.1
crovir-protein-6172,XP_029143083.1
crovir-protein-13471,XP_029141693.1
crovir-protein-11699,XP_015679241.1
crovir-protein-8521,XP_015670566.1
crovir-protein-14729,XP_029140821.1
crovir-protein-12562,XP_029139457.1
crovir-protein-1617,XP_029140312.1
crovir-protein-12086,XP_015677684.1
crovir-protein-8882,XP_015671391.1
crovir-protein-1020,XP_015679641.1
crovir-protein-1017,XP_015679495.1
crovir-protein-2668,XP_029138883.1
crovir-protein-8299,XP_015676014.1
crovir-protein-14506,XP_029141576.1
crovir-protein-4052,XP_015675456.1
crovir-protein-5739,XP_015683370.1
crovir-protein-14988,XP_015668763.1
crovir-protein-12842,XP_029140427.1
crovir-protein-14011,XP_015669597.1
crovir-protein-10402,XP_015673107.1
crovir-protein-14005,XP_015669064.1
crovir-protein-10404,XP_029140291.1
crovir-protein-3520,XP_015680781.1
crovir-protein-17141,XP_029142394.1
crovir-protein-3401,XP_015679179.2
crovir-protein-4891,XP_015677050.1
crovir-protein-658,XP_015680170.1
crovir-protein-8893,XP_015680671.1
crovir-protein-8892,XP_029139307.1
crovir-protein-11561,XP_015673077.1
crovir-protein-2235,XP_015666652.1
crovir-protein-17082,XP_015680120.1
crovir-protein-15630,XP_015668170.1
crovir-protein-1109,XP_015674345.1
crovir-protein-4381,XP_015683887.1
crovir-protein-10290,XP_015674324.1
crovir-protein-1904,XP_015666713.1
crovir-protein-8108,XP_015684290.1
crovir-protein-14522,XP_015678280.1
crovir-protein-1465,XP_015683512.1
crovir-protein-15009,XP_015671077.2
crovir-protein-8069,XP_015682858.1
crovir-protein-17113,XP_015681906.1
crovir-protein-11045,XP_015666523.1
crovir-protein-13294,XP_015682379.1
crovir-protein-17352,XP_015681826.1
crovir-protein-13403,XP_015676748.1
crovir-protein-11836,XP_015676230.1
crovir-protein-7460,XP_015667172.1
crovir-protein-8721,XP_015671842.1
crovir-protein-10333,XP_015678517.1
crovir-protein-10322,XP_015687365.1
crovir-protein-16655,XP_015677215.1
crovir-protein-5616,XP_015677141.1
crovir-protein-8322,XP_015671382.1
crovir-protein-2636,XP_015665930.1
crovir-protein-2072,XP_015666088.1
crovir-protein-7619,XP_015679616.1
crovir-protein-2722,XP_015665696.1
crovir-protein-12245,XP_015671166.1
crovir-protein-6353,XP_029140168.1
crovir-protein-10139,XP_015687045.1
crovir-protein-13821,XP_015675418.1
crovir-protein-4704,XP_015682344.1
crovir-protein-9114,XP_015685647.1
crovir-protein-6382,XP_029140042.1
crovir-protein-2896,XP_015665820.1
crovir-protein-3910,XP_015671660.1
crovir-protein-3911,XP_015671668.1
crovir-protein-4448,XP_029140069.1
crovir-protein-4008,XP_029142669.1
crovir-protein-4012,XP_029141408.1
crovir-protein-4004,XP_015678934.1
crovir-protein-14643,XP_029142385.1
crovir-protein-5284,XP_029140409.1
crovir-protein-602,XP_015667126.1
crovir-protein-8842,XP_015678776.1
crovir-protein-7256,XP_015669060.1
crovir-protein-3735,XP_015679812.1
crovir-protein-16780,XP_029142123.1
crovir-protein-16771,XP_015687066.1
crovir-protein-11779,XP_015672635.1
crovir-protein-4641,XP_015670004.1
crovir-protein-15815,XP_015675393.1
crovir-protein-6659,XP_015680940.1
crovir-protein-12515,XP_015681863.1
crovir-protein-11153,XP_029141385.1
crovir-protein-4924,XP_015671858.1
crovir-protein-1397,XP_015675826.1
crovir-protein-8708,XP_015678771.1
crovir-protein-3679,XP_015678662.1
crovir-protein-16320,XP_015669134.1
crovir-protein-3716,XP_015674818.1
crovir-protein-8981,XP_015677752.1
crovir-protein-606,XP_015667154.1
crovir-protein-8970,XP_015683639.1
crovir-protein-7751,XP_015675100.1
crovir-protein-12342,XP_015682701.1
crovir-protein-10841,XP_015672118.2
crovir-protein-2395,XP_015669673.1
crovir-protein-2397,XP_015669674.1
crovir-protein-3316,XP_015683506.1
crovir-protein-15306,XP_015674694.1
crovir-protein-6834,XP_015665487.1
crovir-protein-5703,XP_015683763.1
crovir-protein-5716,XP_029142225.1
crovir-protein-16463,XP_015671282.1
crovir-protein-3434,XP_015685276.1
crovir-protein-16170,XP_015687880.1
crovir-protein-11299,XP_015681480.1
crovir-protein-11297,XP_029140230.1
crovir-protein-10414,XP_015684837.2
crovir-protein-13714,XP_015673381.1
crovir-protein-15124,XP_029139583.1
crovir-protein-10675,XP_015669621.1
crovir-protein-14622,XP_029140213.1
crovir-protein-2267,XP_015672930.1
crovir-protein-878,XP_015672067.1
crovir-protein-8940,XP_015668349.1
crovir-protein-5441,XP_015683899.1
crovir-protein-15487,XP_015683497.1
crovir-protein-15407,XP_015679757.1
crovir-protein-7286,XP_015674853.1
crovir-protein-1352,XP_029141592.1
crovir-protein-10480,XP_015671305.1
crovir-protein-196,XP_015684681.1
crovir-protein-3241,XP_015687824.1
crovir-protein-9824,XP_029143039.1
crovir-protein-12887,XP_015673469.1
crovir-protein-11710,XP_015673553.1
crovir-protein-6187,XP_015668084.1
crovir-protein-13283,XP_029141046.1
crovir-protein-14813,XP_015670447.1
crovir-protein-4743,XP_015684005.1
crovir-protein-14103,XP_015678258.1
crovir-protein-14329,XP_015674374.1
crovir-protein-14102,XP_015679410.1
crovir-protein-2025,XP_015666294.1
crovir-protein-3680,XP_015676011.1
crovir-protein-3682,XP_015676012.1
crovir-protein-16571,XP_015668680.1
crovir-protein-7561,XP_015675083.1
crovir-protein-2650,XP_015665914.1
crovir-protein-8313,XP_015686106.1
crovir-protein-14659,XP_015687747.1
crovir-protein-10699,XP_015679726.1
crovir-protein-9217,XP_015670952.1
crovir-protein-10625,XP_015680103.1
crovir-protein-3378,XP_015675312.1
crovir-protein-11989,XP_015673644.1
crovir-protein-5974,XP_015685054.1
crovir-protein-11284,XP_015671918.1
crovir-protein-13124,XP_015685274.1
crovir-protein-13120,XP_015687532.1
crovir-protein-13126,XP_015679811.1
crovir-protein-16486,XP_015681824.1
crovir-protein-7366,XP_015671418.1
crovir-protein-7948,XP_015680997.1
crovir-protein-14909,XP_029139557.1
crovir-protein-2715,XP_015665701.1
crovir-protein-16687,XP_015673409.1
crovir-protein-11453,XP_029140527.1
crovir-protein-5483,XP_029142229.1
crovir-protein-3096,XP_029139790.1
crovir-protein-6058,XP_015668037.1
crovir-protein-6055,XP_029139285.1
crovir-protein-14036,XP_029142946.1
crovir-protein-3438,XP_029142980.1
crovir-protein-1119,XP_029139324.1
crovir-protein-6195,XP_015677432.2
crovir-protein-11124,XP_015686575.1
crovir-protein-14847,XP_029139826.1
crovir-protein-902,XP_015677665.1
crovir-protein-5076,XP_015687348.1
crovir-protein-7952,XP_029140648.1
crovir-protein-16363,XP_029139501.1
crovir-protein-16372,XP_015676530.1
crovir-protein-2816,XP_015665779.1
crovir-protein-16373,XP_015681857.1
crovir-protein-9992,XP_015676371.1
crovir-protein-8048,XP_015675952.1
crovir-protein-14703,XP_015677395.1
crovir-protein-7766,XP_015683450.1
crovir-protein-14705,XP_015676649.1
crovir-protein-1829,XP_015666148.1
crovir-protein-1175,XP_015683063.1
crovir-protein-709,XP_015681194.1
crovir-protein-16883,XP_029140428.1
crovir-protein-256,XP_015676589.1
crovir-protein-272,XP_015676590.1
crovir-protein-257,XP_015676593.1
crovir-protein-7113,XP_029141629.1
crovir-protein-14529,XP_015670226.1
crovir-protein-2548,XP_015687750.1
crovir-protein-5849,XP_015684261.2
crovir-protein-2362,XP_015670647.1
crovir-protein-15074,XP_029139208.1
crovir-protein-6854,XP_015665531.1
crovir-protein-3820,XP_029143112.1
crovir-protein-14486,XP_029143115.1
crovir-protein-14484,XP_029143114.1
crovir-protein-14485,XP_029143113.1
crovir-protein-14481,XP_029143110.1
crovir-protein-10848,XP_015670886.1
crovir-protein-18,XP_015668195.1
crovir-protein-3988,XP_015681188.1
crovir-protein-13000,XP_029138998.1
crovir-protein-5518,XP_015667635.1
crovir-protein-4270,XP_015674066.1
crovir-protein-6883,XP_015665451.1
crovir-protein-9890,XP_015686286.1
crovir-protein-2216,XP_029139125.1
crovir-protein-3991,XP_015673407.2
crovir-protein-12722,XP_015676809.1
crovir-protein-14756,XP_015685093.1
crovir-protein-4200,XP_015678519.1
crovir-protein-2815,XP_015665836.1
crovir-protein-12434,XP_029141269.1
crovir-protein-12433,XP_015678310.1
crovir-protein-1995,XP_015666276.1
crovir-protein-15777,XP_015670630.1
crovir-protein-6813,XP_015665477.1
crovir-protein-17427,XP_015670106.1
crovir-protein-6233,XP_015687466.1
crovir-protein-14989,XP_015668764.1
crovir-protein-15415,XP_015681579.1
crovir-protein-15913,XP_015671330.1
crovir-protein-25,XP_015680243.1
crovir-protein-4059,XP_029142028.1
crovir-protein-7778,XP_015678146.1
crovir-protein-15582,XP_029140325.1
crovir-protein-8201,XP_015680138.1
crovir-protein-3899,XP_015671665.1
crovir-protein-620,XP_015667148.1
crovir-protein-13878,XP_015679998.1
crovir-protein-4466,XP_015669996.1
crovir-protein-6175,XP_015677428.1
crovir-protein-2869,XP_029138864.1
crovir-protein-7733,XP_029141370.1
crovir-protein-11326,XP_015679703.1
crovir-protein-8150,XP_029140287.1
crovir-protein-5430,XP_015668493.2
crovir-protein-11075,XP_029141121.1
crovir-protein-15870,XP_015672504.1
crovir-protein-13479,XP_029141105.1
crovir-protein-13474,XP_015677573.2
crovir-protein-5600,XP_015668624.1
crovir-protein-5603,XP_015668614.1
crovir-protein-5652,XP_015687495.1
crovir-protein-17324,XP_029140237.1
crovir-protein-16418,XP_015670932.1
crovir-protein-6046,XP_015668026.2
crovir-protein-4923,XP_015668838.1
crovir-protein-6522,XP_015671846.1
crovir-protein-8760,XP_015680629.1
crovir-protein-785,XP_029141028.1
crovir-protein-798,XP_029141000.1
crovir-protein-795,XP_015677104.1
crovir-protein-15295,XP_015683026.1
crovir-protein-5543,XP_029142567.1
crovir-protein-14923,XP_029139454.1
crovir-protein-13773,XP_015677968.1
crovir-protein-2603,XP_015665944.1
crovir-protein-1391,XP_015681081.1
crovir-protein-3477,XP_015680035.1
crovir-protein-3476,XP_015680031.1
crovir-protein-4066,XP_015678584.1
crovir-protein-13465,XP_015671814.1
crovir-protein-59,XP_015680738.1
crovir-protein-10703,XP_015679733.1
crovir-protein-16857,XP_015680949.1
crovir-protein-16855,XP_015680951.1
crovir-protein-16854,XP_015680950.1
crovir-protein-13002,XP_015666616.1
crovir-protein-543,XP_015674733.1
crovir-protein-7307,XP_015680257.1
crovir-protein-9561,XP_015675665.1
crovir-protein-1225,XP_015669347.1
crovir-protein-3472,XP_015673967.1
crovir-protein-4507,XP_015674952.1
crovir-protein-8220,XP_015673854.1
crovir-protein-14452,XP_029140698.1
crovir-protein-3606,XP_015683399.1
crovir-protein-3612,XP_029142631.1
crovir-protein-13803,XP_015682774.1
crovir-protein-13804,XP_015684873.1
crovir-protein-13802,XP_015682775.2
crovir-protein-8746,XP_015678621.1
crovir-protein-6260,XP_015678645.1
crovir-protein-6254,XP_015678647.1
crovir-protein-12107,XP_015672742.1
crovir-protein-280,XP_015674997.1
crovir-protein-2379,XP_015687990.1
crovir-protein-10794,XP_015677798.1
crovir-protein-8029,XP_015675957.1
crovir-protein-14710,XP_015675954.1
crovir-protein-1729,XP_015667899.1
