geneid,proteinid
107282658,XP_015665957.1
107282660,XP_015665958.1
107282661,XP_015665994.1
107282661,XP_015666064.1
107282662,XP_015665959.1
107282662,XP_015665960.1
107282663,XP_015665961.1
107282664,XP_015665962.1
107282664,XP_015665963.1
107282665,XP_015665966.1
107282666,XP_015665964.1
107282667,XP_015665965.1
107282667,XP_015665967.1
107282668,XP_015665968.1
107282669,XP_015665969.1
107282670,XP_015665970.1
107282671,XP_015665971.1
107282672,XP_015665972.1
107282673,XP_015665973.1
107282674,XP_015665977.1
107282674,XP_015665983.1
107282674,XP_015665990.1
107282675,XP_015665974.1
107282676,XP_015665975.1
107282677,XP_015665976.1
107282679,XP_015665978.1
107282680,XP_015665979.1
107282681,XP_015665980.1
107282682,XP_015665981.1
107282683,XP_015665982.1
107282684,XP_015665984.1
107282685,XP_015665985.1
107282686,XP_015665986.1
107282687,XP_015665987.1
107282688,XP_015665988.1
107282689,XP_015665989.1
107282690,XP_015665991.1
107282692,XP_015665992.1
107282693,XP_015665993.1
107282694,XP_015665995.1
107282695,XP_015665996.1
107282696,XP_015665997.1
107282697,XP_015666002.1
107282698,XP_015665998.1
107282699,XP_015665999.1
107282700,XP_015666000.1
107282700,XP_015666001.1
107282701,XP_015666003.1
107282701,XP_015666004.1
107282702,XP_015666005.1
107282703,XP_015666006.1
107282704,XP_015666007.1
107282706,XP_015666008.1
107282707,XP_015666012.1
107282708,XP_015666009.1
107282709,XP_015666010.1
107282709,XP_015666011.1
107282710,XP_015666013.1
107282711,XP_015666014.1
107282711,XP_015666015.1
107282712,XP_015666016.1
107282714,XP_015666017.1
107282715,XP_015666018.1
107282715,XP_015666019.1
107282716,XP_015666023.1
107282717,XP_015666020.1
107282718,XP_015666021.1
107282719,XP_015666022.1
107282720,XP_015666024.1
107282721,XP_015666025.1
107282722,XP_015666026.1
107282723,XP_015666027.1
107282724,XP_015666028.1
107282725,XP_015666029.1
107282726,XP_015666030.1
107282727,XP_015666034.1
107282728,XP_015666031.1
107282728,XP_015666032.1
107282729,XP_015666033.1
107282730,XP_015666035.1
107282731,XP_015666036.1
107282732,XP_015666037.1
107282733,XP_015666038.1
107282734,XP_015666039.1
107282735,XP_015666040.1
107282736,XP_015666041.1
107282737,XP_015666044.1
107282738,XP_015666042.1
107282739,XP_015666043.1
107282741,XP_015666045.1
107282742,XP_015666046.1
107282743,XP_015666047.1
107282744,XP_015666048.1
107282745,XP_015666049.1
107282747,XP_015666050.1
107282748,XP_015666054.1
107282749,XP_015666051.1
107282750,XP_015666052.1
107282751,XP_015666053.1
107282753,XP_015666055.1
107282754,XP_015666056.1
107282754,XP_015666057.1
107282756,XP_015666058.1
107282757,XP_015666059.1
107282758,XP_015666060.1
107282759,XP_015666065.1
107282760,XP_015666061.1
107282761,XP_015666062.1
107282762,XP_015666063.1
107282763,XP_015666066.1
107282764,XP_015666067.1
107282764,XP_015666068.1
107282765,XP_015666069.1
107282766,XP_015666070.1
107282766,XP_015666071.1
107282766,XP_015666072.1
107282766,XP_015666073.1
107282767,XP_015666078.1
107282768,XP_015666074.1
107282768,XP_015666075.1
107282768,XP_015666076.1
107282769,XP_015666077.1
107282770,XP_015666079.1
107282771,XP_015666080.1
107282772,XP_015666081.1
107282772,XP_015666082.1
107282773,XP_015666083.1
107282774,XP_015666084.1
107282775,XP_015666085.1
107282775,XP_015666086.1
107282776,XP_015666090.1
107282777,XP_015666087.1
107282778,XP_015666088.1
107282779,XP_015666089.1
107282779,XP_015666091.1
107282780,XP_015666092.1
107282781,XP_015666093.1
107282782,XP_015666094.1
107282783,XP_015666095.1
107282784,XP_015666096.1
107282785,XP_015666097.1
107282786,XP_015666101.1
107282787,XP_015666098.1
107282788,XP_015666099.1
107282789,XP_015666100.1
107282790,XP_015666102.1
107282791,XP_015666103.1
107282792,XP_015666104.1
107282793,XP_015666105.1
107282794,XP_015666106.1
107282795,XP_015666107.1
107282796,XP_015666108.1
107282797,XP_015666112.1
107282798,XP_015666109.1
107282799,XP_015666110.1
107282800,XP_015666111.1
107282801,XP_015666113.1
107282802,XP_015666114.1
107282803,XP_015666115.1
107282805,XP_015666116.1
107282806,XP_015666117.1
107282806,XP_015666118.1
107282807,XP_015666122.1
107282808,XP_015666119.1
107282809,XP_015666120.1
107282810,XP_015666121.1
107282811,XP_015666123.1
107282811,XP_015666124.1
107282812,XP_015666125.1
107282813,XP_015666126.1
107282814,XP_015666127.1
107282814,XP_015666128.1
107282815,XP_015666129.1
107282816,XP_015666130.1
107282816,XP_015666131.1
107282816,XP_015666132.1
107282817,XP_015666135.1
107282818,XP_015666133.1
107282819,XP_015666134.1
107282820,XP_015666136.1
107282821,XP_015666137.1
107282821,XP_015666138.1
107282822,XP_015666139.1
107282823,XP_015666140.1
107282824,XP_015666141.1
107282825,XP_015666142.1
107282826,XP_015666179.1
107282826,XP_015666249.1
107282827,XP_015666146.1
107282827,XP_015666154.1
107282828,XP_015666143.1
107282829,XP_015666144.1
107282829,XP_015666145.1
107282830,XP_015666147.1
107282831,XP_015666148.1
107282832,XP_015666149.1
107282833,XP_015666150.1
107282833,XP_015666151.1
107282833,XP_015666152.1
107282833,XP_015666153.1
107282835,XP_015666155.1
107282836,XP_015666156.1
107282837,XP_015666157.1
107282838,XP_015666158.1
107282839,XP_015666159.1
107282840,XP_015666160.1
107282842,XP_015666163.1
107282843,XP_015666161.1
107282844,XP_015666162.1
107282846,XP_015666164.1
107282847,XP_015666165.1
107282848,XP_015666166.1
107282849,XP_015666167.1
107282850,XP_015666168.1
107282851,XP_015666169.1
107282852,XP_015666170.1
107282853,XP_015666174.1
107282854,XP_015666171.1
107282855,XP_015666172.1
107282856,XP_015666173.1
107282857,XP_015666175.1
107282858,XP_015666176.1
107282859,XP_015666177.1
107282860,XP_015666178.1
107282861,XP_015666180.1
107282862,XP_015666181.1
107282863,XP_015666182.1
107282864,XP_015666186.1
107282864,XP_015666194.1
107282865,XP_015666183.1
107282865,XP_015666184.1
107282866,XP_015666185.1
107282867,XP_015666187.1
107282868,XP_015666188.1
107282869,XP_015666189.1
107282870,XP_015666190.1
107282871,XP_015666191.1
107282872,XP_015666192.1
107282873,XP_015666193.1
107282873,XP_015666195.1
107282874,XP_015666196.1
107282875,XP_015666197.1
107282876,XP_015666198.1
107282877,XP_015666199.1
107282878,XP_015666200.1
107282879,XP_015666201.1
107282880,XP_015666205.1
107282881,XP_015666202.1
107282882,XP_015666203.1
107282883,XP_015666204.1
107282884,XP_015666206.1
107282884,XP_015666207.1
107282884,XP_015666208.1
107282885,XP_015666209.1
107282886,XP_015666210.1
107282887,XP_015666211.1
107282888,XP_015666212.1
107282889,XP_015666213.1
107282890,XP_015666214.1
107282891,XP_015666215.1
107282892,XP_015666216.1
107282893,XP_015666217.1
107282894,XP_015666218.1
107282895,XP_015666219.1
107282896,XP_015666220.1
107282898,XP_015666221.1
107282899,XP_015666222.1
107282900,XP_015666223.1
107282901,XP_015666224.1
107282901,XP_015666225.1
107282902,XP_015666226.1
107282903,XP_015666227.1
107282904,XP_015666228.1
107282905,XP_015666229.1
107282906,XP_015666230.1
107282907,XP_015666231.1
107282908,XP_015666232.1
107282909,XP_015666233.1
107282909,XP_015666234.1
107282910,XP_015666235.1
107282911,XP_015666236.1
107282913,XP_015666237.1
107282914,XP_015666238.1
107282915,XP_015666242.1
107282916,XP_015666239.1
107282917,XP_015666240.1
107282918,XP_015666241.1
107282919,XP_015666243.1
107282920,XP_015666244.1
107282921,XP_015666245.1
107282922,XP_015666246.1
107282923,XP_015666247.1
107282924,XP_015666248.1
107282925,XP_015666250.1
107282926,XP_015666254.1
107282927,XP_015666251.1
107282928,XP_015666252.1
107282929,XP_015666253.1
107282930,XP_015666255.1
107282931,XP_015666256.1
107282932,XP_015666257.1
107282933,XP_015666258.1
107282934,XP_015666259.1
107282935,XP_015666260.1
107282936,XP_015666261.1
107282937,XP_015666264.1
107282939,XP_015666262.1
107282940,XP_015666263.1
107282941,XP_015666265.1
107282942,XP_015666266.1
107282944,XP_015666267.1
107282945,XP_015666268.1
107282945,XP_015666269.1
107282946,XP_015666270.1
107282947,XP_015666274.1
107282948,XP_015666271.1
107282949,XP_015666272.1
107282950,XP_015666273.1
107282951,XP_015666275.1
107282952,XP_015666276.1
107282953,XP_015666277.1
107282954,XP_015666278.1
107282955,XP_015666279.1
107282956,XP_015666280.1
107282957,XP_015666281.1
107282958,XP_015666286.1
107282959,XP_015666282.1
107282959,XP_015666283.1
107282960,XP_015666284.1
107282961,XP_015666285.1
107282962,XP_015666287.1
107282963,XP_015666288.1
107282964,XP_015666289.1
107282965,XP_015666290.1
107282966,XP_015666291.1
107282967,XP_015666292.1
107282968,XP_015666293.1
107282969,XP_015666297.1
107282970,XP_015666294.1
107282971,XP_015666295.1
107282972,XP_015666296.1
107282973,XP_015666298.1
107282974,XP_015666299.1
107282975,XP_015666300.1
107282976,XP_015666301.1
107282976,XP_015666302.1
107282976,XP_015666303.1
107282976,XP_015666304.1
107282977,XP_015666305.1
107282978,XP_015666309.1
107282979,XP_015666306.1
107282980,XP_015666307.1
107282981,XP_015666308.1
107282982,XP_015666310.1
107282983,XP_015666311.1
107282984,XP_015666312.1
107282985,XP_015666313.1
107282986,XP_015666314.1
107282987,XP_015666315.1
107282988,XP_015666316.1
107282989,XP_015666320.1
107282990,XP_015666317.1
107282991,XP_015666318.1
107282991,XP_015666319.1
107282992,XP_015666321.1
107282993,XP_015666322.1
107282994,XP_015666323.1
107282995,XP_015666324.1
107282996,XP_015666359.1
107282997,XP_015666325.1
107282998,XP_015666326.1
107282999,XP_015666327.1
107283000,XP_015666331.1
107283001,XP_015666328.1
107283001,XP_015666329.1
107283003,XP_015666330.1
107283003,XP_015666332.1
107283005,XP_015666333.1
107283006,XP_015666334.1
107283007,XP_015666335.1
107283008,XP_015666336.1
107283009,XP_015666337.1
107283010,XP_015666341.1
107283010,XP_015666348.1
107283011,XP_015666338.1
107283012,XP_015666339.1
107283013,XP_015666340.1
107283014,XP_015666342.1
107283015,XP_015666343.1
107283016,XP_015666344.1
107283017,XP_015666345.1
107283018,XP_015666346.1
107283019,XP_015666347.1
107283021,XP_015666349.1
107283022,XP_015666350.1
107283023,XP_015666351.1
107283024,XP_015666352.1
107283025,XP_015666353.1
107283026,XP_015666354.1
107283027,XP_015666355.1
107283029,XP_015666356.1
107283030,XP_015666357.1
107283031,XP_015666358.1
107283032,XP_015666360.1
107283032,XP_015666361.1
107283033,XP_015666362.1
107283034,XP_015666363.1
107283034,XP_015666364.1
107283034,XP_015666365.1
107283035,XP_015666366.1
107283036,XP_015666367.1
107283036,XP_015666368.1
107283037,XP_015666371.1
107283038,XP_015666369.1
107283039,XP_015666370.1
107283040,XP_015666372.1
107283041,XP_015666373.1
107283042,XP_015666374.1
107283043,XP_015666375.1
107283044,XP_015666376.1
107283045,XP_015666377.1
107283046,XP_015666378.1
107283046,XP_015666379.1
107283047,XP_015666383.1
107283048,XP_015666380.1
107283049,XP_015666381.1
107283050,XP_015666382.1
107283051,XP_015666384.1
107283051,XP_015666385.1
107283052,XP_015666386.1
107283053,XP_015666387.1
107283054,XP_015666388.1
107283054,XP_015666389.1
107283055,XP_015666390.1
107283056,XP_015666395.1
107283057,XP_015666391.1
107283058,XP_015666392.1
107283058,XP_015666393.1
107283059,XP_015666394.1
107283060,XP_015666396.1
107283060,XP_015666397.1
107283061,XP_015666398.1
107283062,XP_015666399.1
107283062,XP_015666400.1
107283064,XP_015666404.1
107283065,XP_015666401.1
107283066,XP_015666402.1
107283067,XP_015666403.1
107283068,XP_015666405.1
107283069,XP_015666406.1
107283070,XP_015666407.1
107283071,XP_015666408.1
107283072,XP_015666409.1
107283073,XP_015666410.1
107283074,XP_015666411.1
107283075,XP_015666415.1
107283076,XP_015666412.1
107283077,XP_015666413.1
107283078,XP_015666414.1
107283079,XP_015666416.1
107283080,XP_015666417.1
107283081,XP_015666418.1
107283084,XP_015666419.1
107283085,XP_015666420.1
107283086,XP_015666424.1
107283087,XP_015666421.1
107283088,XP_015666422.1
107283089,XP_015666423.1
107283090,XP_015666425.1
107283091,XP_015666426.1
107283092,XP_015666427.1
107283093,XP_015666428.1
107283094,XP_015666429.1
107283095,XP_015666430.1
107283096,XP_015666431.1
107283097,XP_015666470.1
107283098,XP_015666435.1
107283098,XP_015666444.1
107283099,XP_015666432.1
107283100,XP_015666433.1
107283101,XP_015666434.1
107283102,XP_015666436.1
107283103,XP_015666437.1
107283104,XP_015666438.1
107283105,XP_015666439.1
107283105,XP_015666440.1
107283106,XP_015666441.1
107283107,XP_015666442.1
107283107,XP_015666443.1
107283108,XP_015666445.1
107283110,XP_015666446.1
107283111,XP_015666447.1
107283112,XP_015666448.1
107283112,XP_015666449.1
107283112,XP_015666450.1
107283113,XP_015666453.1
107283114,XP_015666451.1
107283115,XP_015666452.1
107283116,XP_015666454.1
107283117,XP_015666455.1
107283118,XP_015666456.1
107283118,XP_015666457.1
107283119,XP_015666458.1
107283120,XP_015666459.1
107283120,XP_015666460.1
107283121,XP_015666461.1
107283121,XP_015666462.1
107283122,XP_015666465.1
107283123,XP_015666463.1
107283124,XP_015666464.1
107283125,XP_015666466.1
107283126,XP_015666467.1
107283127,XP_015666468.1
107283128,XP_015666469.1
107283129,XP_015666471.1
107283130,XP_015666472.1
107283131,XP_015666473.1
107283132,XP_015666477.1
107283132,XP_015666485.1
