P_Mucros.pep,P_guttatus.pep
XP_029141330.1,XP_034277355.1
XP_015685264.1,XP_034260975.1
XP_015685075.1,XP_034276261.1
XP_015677982.2,XP_034276264.1
XP_015677981.1,XP_034276262.1
XP_015684654.1,XP_034260791.1
XP_015684657.1,XP_034276275.1
XP_015684479.2,XP_034276271.1
XP_015684100.2,XP_034276311.1
XP_015673239.1,XP_034276247.1
XP_015677985.1,XP_034276330.1
XP_015677984.1,XP_034276265.1
XP_015681499.1,XP_034276316.1
XP_015677989.1,XP_034276257.1
XP_015677980.2,XP_034276263.1
XP_015684099.2,XP_034276310.1
XP_015681496.2,XP_034276274.1
XP_015680188.1,XP_034282943.1
XP_015680192.1,XP_034282942.1
XP_029141670.1,XP_034282945.1
XP_015680187.1,XP_034282946.1
XP_015680186.1,XP_034282941.1
XP_015677303.2,XP_034267423.1
XP_015677302.1,XP_034267467.1
XP_015677297.2,XP_034267424.1
XP_015677476.1,XP_034267426.1
XP_015677477.1,XP_034267471.1
XP_029140903.1,XP_034267932.1
XP_015671511.1,XP_034286822.1
XP_029141967.1,XP_034268002.1
XP_029140491.1,XP_034286842.1
XP_029141754.1,XP_034287561.1
XP_015671808.2,XP_034268487.1
XP_015671606.1,XP_034278758.1
XP_015671604.1,XP_034278759.1
XP_015671607.1,XP_034278757.1
XP_029138831.1,XP_034278870.1
XP_015665593.1,XP_034278872.1
XP_015671600.1,XP_034278765.1
XP_015665574.1,XP_034278798.1
XP_015665575.2,XP_034278799.1
XP_015665572.1,XP_034278796.1
XP_015665570.1,XP_034278854.1
XP_015665565.1,XP_034278787.1
XP_015665596.1,XP_034278857.1
XP_015665604.1,XP_034278877.1
XP_015665618.1,XP_034278890.1
XP_015665598.1,XP_034278891.1
XP_015665601.1,XP_034278894.1
XP_029138834.1,XP_034278884.1
XP_015665611.1,XP_034278887.1
XP_029138832.1,XP_034278879.1
XP_029138833.1,XP_034278880.1
XP_015665608.1,XP_034278883.1
XP_029139999.1,XP_034278780.1
XP_029141960.1,XP_034260901.1
XP_015678750.1,XP_034275221.1
XP_015678743.1,XP_034275214.1
XP_015673915.1,XP_034277600.1
XP_015677647.1,XP_034287381.1
XP_015672237.1,XP_034287163.1
XP_015668418.1,XP_034281104.1
XP_015684014.1,XP_034262092.1
XP_015666717.1,XP_034262516.1
XP_029139027.1,XP_034260375.1
XP_029141724.1,XP_034264109.1
XP_015675899.1,XP_034264197.1
XP_015687185.2,XP_034263588.1
XP_029141444.1,XP_034297898.1
XP_029141443.1,XP_034297871.1
XP_029140767.1,XP_034264198.1
XP_015687186.2,XP_034262338.1
XP_015683397.1,XP_034291850.1
XP_015682707.1,XP_034291848.1
XP_015682498.1,XP_034261531.1
XP_015682714.1,XP_034260822.1
XP_015686910.1,XP_034260824.1
XP_015683400.2,XP_034291849.1
XP_029142247.1,XP_034284420.1
XP_015678109.1,XP_034291956.1
XP_015678111.1,XP_034291906.1
XP_029141730.1,XP_034261714.1
XP_029142972.1,XP_034269048.1
XP_029141173.1,XP_034261176.1
XP_015681931.1,XP_034283824.1
XP_015678747.1,XP_034275222.1
XP_015678744.1,XP_034275213.1
XP_015683800.1,XP_034262734.1
XP_015672561.1,XP_034278839.1
XP_015665579.1,XP_034279007.1
XP_015684098.2,XP_034276309.1
XP_015674572.2,XP_034275743.1
XP_029142074.1,XP_034263708.1
XP_015682003.1,XP_034263107.1
XP_015682007.1,XP_034260886.1
XP_015682012.1,XP_034260885.1
XP_015673205.2,XP_034270746.1
XP_015680915.1,XP_034282828.1
XP_029140727.1,XP_034295706.1
XP_015675705.1,XP_034268055.1
XP_015675707.1,XP_034268056.1
XP_015675699.1,XP_034268053.1
XP_015675698.1,XP_034268052.1
XP_015675697.1,XP_034268051.1
XP_015675704.1,XP_034268054.1
XP_015677713.1,XP_034262239.1
XP_015687581.1,XP_034292461.1
XP_015669261.1,XP_034269955.1
XP_015672567.1,XP_034278715.1
XP_015672565.1,XP_034278717.1
XP_015670850.1,XP_034267134.1
XP_015676339.1,XP_034260634.1
XP_015676330.1,XP_034261773.1
XP_015673894.2,XP_034277565.1
XP_029141524.1,XP_034282469.1
XP_015688027.1,XP_034257616.1
XP_015688000.1,XP_034257563.1
XP_029140672.1,XP_034288883.1
XP_029141355.1,XP_034263178.1
XP_029141198.1,XP_034288880.1
XP_015669740.1,XP_034277411.1
XP_029139616.1,XP_034288881.1
XP_029139635.1,XP_034277409.1
XP_015677920.1,XP_034263783.1
XP_015679069.1,XP_034259700.1
XP_015679074.1,XP_034259744.1
XP_015671065.1,XP_034270040.1
XP_015670229.1,XP_034268450.1
XP_015670228.1,XP_034289663.1
XP_015681657.1,XP_034289661.1
XP_015672184.1,XP_034289662.1
XP_015665587.1,XP_034278867.1
XP_015665585.1,XP_034278866.1
XP_015671578.1,XP_034278785.1
XP_015668969.1,XP_034278904.1
XP_015684243.1,XP_034267486.1
XP_015676883.1,XP_034267482.1
XP_029142268.1,XP_034267488.1
XP_029142850.1,XP_034267439.1
XP_015686675.1,XP_034262418.1
XP_015686729.2,XP_034263018.1
XP_015672252.1,XP_034275176.1
XP_015677400.1,XP_034268136.1
XP_015677404.1,XP_034268139.1
XP_015683489.1,XP_034268144.1
XP_015683491.1,XP_034268145.1
XP_029139397.1,XP_034268142.1
XP_015686835.1,XP_034261237.1
XP_015687129.1,XP_034292162.1
XP_015678223.1,XP_034290333.1
XP_015681155.1,XP_034277465.1
XP_015669891.1,XP_034284965.1
XP_015679451.1,XP_034289003.1
XP_015672240.1,XP_034285318.1
XP_029139076.1,XP_034282322.1
XP_015670662.1,XP_034268650.1
XP_015682953.1,XP_034292467.1
XP_015684708.1,XP_034273830.1
XP_015679888.1,XP_034284248.1
XP_015687360.1,XP_034286254.1
XP_029140479.1,XP_034280229.1
XP_029139511.1,XP_034283310.1
XP_029139512.1,XP_034283298.1
XP_029139513.1,XP_034283297.1
XP_015669165.1,XP_034283291.1
XP_029142608.1,XP_034261723.1
XP_029139137.1,XP_034264733.1
XP_015686361.2,XP_034262113.1
XP_015686590.2,XP_034277692.1
XP_029142960.1,XP_034260721.1
XP_029138978.1,XP_034258939.1
XP_015687649.1,XP_034270416.1
XP_029140098.1,XP_034294572.1
XP_015687802.1,XP_034271636.1
XP_015687773.1,XP_034271627.1
XP_029143185.1,XP_034271639.1
XP_015687767.1,XP_034271635.1
XP_015687766.1,XP_034271634.1
XP_015684989.1,XP_034267127.1
XP_029142780.1,XP_034267126.1
XP_015678490.1,XP_034267125.1
XP_029141248.1,XP_034278465.1
XP_015667989.1,XP_034266069.1
XP_015667988.1,XP_034266068.1
XP_015680124.1,XP_034278461.1
XP_029139719.1,XP_034292831.1
XP_029142579.1,XP_034261090.1
XP_029142106.1,XP_034293810.1
XP_015685097.1,XP_034261225.1
XP_015676191.2,XP_034263517.1
XP_015674555.1,XP_034274529.1
XP_015685317.1,XP_034262784.1
XP_015685319.1,XP_034262786.1
XP_015681722.1,XP_034262035.1
XP_015681720.1,XP_034262791.1
XP_015681719.2,XP_034262790.1
XP_015681721.1,XP_034262792.1
XP_015686587.1,XP_034262034.1
XP_015670840.1,XP_034266783.1
XP_029140000.1,XP_034278767.1
XP_015671588.1,XP_034278777.1
XP_015671621.1,XP_034278778.1
XP_015671584.1,XP_034262145.1
XP_015671591.1,XP_034278774.1
XP_015671589.1,XP_034278776.1
XP_015671590.1,XP_034278775.1
XP_015671598.1,XP_034278768.1
XP_015671593.1,XP_034278771.1
XP_029141631.1,XP_034267885.1
XP_029139656.1,XP_034279001.1
XP_029139657.1,XP_034278997.1
XP_015672586.1,XP_034278707.1
XP_029140203.1,XP_034278998.1
XP_029140196.1,XP_034278837.1
XP_015672582.1,XP_034279000.1
XP_029140201.1,XP_034278995.1
XP_029140200.1,XP_034278994.1
XP_015672583.1,XP_034278709.1
XP_015666494.1,XP_034265264.1
XP_015668850.1,XP_034261984.1
XP_015666497.1,XP_034265268.1
XP_015665456.1,XP_034293430.1
XP_015671316.1,XP_034297762.1
XP_015671321.1,XP_034297760.1
XP_015671903.1,XP_034283162.1
XP_029141432.1,XP_034280327.1
XP_029141436.1,XP_034280246.1
XP_029141435.1,XP_034280328.1
XP_015675783.1,XP_034269380.1
XP_015680208.1,XP_034279953.1
XP_015678738.1,XP_034277440.1
XP_015666103.1,XP_034257791.1
XP_029141067.1,XP_034287558.1
XP_015682354.1,XP_034265472.1
XP_015687513.1,XP_034265835.1
XP_015678078.1,XP_034279662.1
XP_029141959.1,XP_034267868.1
XP_029139815.1,XP_034295267.1
XP_029140039.1,XP_034295251.1
XP_029139245.1,XP_034282739.1
XP_015666895.1,XP_034282568.1
XP_015666896.1,XP_034282574.1
XP_015665943.1,XP_034282423.1
XP_015676546.1,XP_034288901.1
XP_015674724.1,XP_034285542.1
XP_015684072.2,XP_034260364.1
XP_029139831.1,XP_034296826.1
XP_015684967.1,XP_034289166.1
XP_015672308.1,XP_034266422.1
XP_029140137.1,XP_034266424.1
XP_029140136.1,XP_034266423.1
XP_015670080.1,XP_034296031.1
XP_029139725.1,XP_034296019.1
XP_015670078.1,XP_034296027.1
XP_015670077.1,XP_034296026.1
XP_029140419.1,XP_034280769.1
XP_029141240.1,XP_034292560.1
XP_015674430.2,XP_034279073.1
XP_015669828.1,XP_034260462.1
XP_015679681.1,XP_034268429.1
XP_015678379.1,XP_034268158.1
XP_015672627.1,XP_034275028.1
XP_015677483.1,XP_034267473.1
XP_015677482.1,XP_034267472.1
XP_015677492.1,XP_034267436.1
XP_029141075.1,XP_034267431.1
XP_015677486.2,XP_034267474.1
XP_029142455.1,XP_034267397.1
XP_015681182.1,XP_034267490.1
XP_015682430.1,XP_034260656.1
XP_015685194.1,XP_034281814.1
XP_015668761.1,XP_034290346.1
XP_015680541.1,XP_034293202.1
XP_029139926.1,XP_034275239.1
XP_029139925.1,XP_034275280.1
XP_015671217.1,XP_034275240.1
XP_015672908.1,XP_034265788.1
XP_015683080.1,XP_034280876.1
XP_015683861.1,XP_034293786.1
XP_015673566.1,XP_034267043.1
XP_015678399.1,XP_034268225.1
XP_015678398.1,XP_034268224.1
XP_015678396.1,XP_034268222.1
XP_015686600.1,XP_034288165.1
XP_015669788.1,XP_034264049.1
XP_029139751.1,XP_034270858.1
XP_029139749.1,XP_034270871.1
XP_015670203.1,XP_034265092.1
XP_015670206.1,XP_034265031.1
XP_015681724.1,XP_034293852.1
XP_015682381.1,XP_034290837.1
XP_015682229.1,XP_034261062.1
XP_015681166.1,XP_034290767.1
XP_015668682.1,XP_034286700.1
XP_015676483.1,XP_034293813.1
XP_015674502.1,XP_034295299.1
XP_015683150.1,XP_034260418.1
XP_015686840.1,XP_034263409.1
XP_015684507.2,XP_034286400.1
XP_015669915.1,XP_034258568.1
XP_015670095.1,XP_034271155.1
XP_015677238.1,XP_034276291.1
XP_015665422.1,XP_034293607.1
XP_015668814.1,XP_034289471.1
XP_015674252.1,XP_034280860.1
XP_015676898.1,XP_034286392.1
XP_015685258.1,XP_034260420.1
XP_015677197.1,XP_034281323.1
XP_015673847.1,XP_034284374.1
XP_029140470.1,XP_034269444.1
XP_029141415.1,XP_034265148.1
XP_015673632.1,XP_034257862.1
XP_015682637.1,XP_034287129.1
XP_015679505.1,XP_034293766.1
XP_029141098.1,XP_034273450.1
XP_029139226.1,XP_034290450.1
XP_015676715.1,XP_034292622.1
XP_015684744.1,XP_034262042.1
XP_029141138.1,XP_034286447.1
XP_015677677.1,XP_034286433.1
XP_029142411.1,XP_034286398.1
XP_015670457.1,XP_034284145.1
XP_015682374.1,XP_034260622.1
XP_015673929.1,XP_034288512.1
XP_015665509.1,XP_034293627.1
XP_015678949.1,XP_034261802.1
XP_029141434.1,XP_034280231.1
XP_015678948.1,XP_034261801.1
XP_029141409.1,XP_034261797.1
XP_029142366.1,XP_034260524.1
XP_015682931.1,XP_034260021.1
XP_015676306.1,XP_034261918.1
XP_015676315.2,XP_034261769.1
XP_015676316.1,XP_034261768.1
XP_015676314.1,XP_034261770.1
XP_015676318.2,XP_034263195.1
XP_015676326.1,XP_034261776.1
XP_015671102.1,XP_034262783.1
XP_015676325.1,XP_034261766.1
XP_015675839.1,XP_034280200.1
XP_015683637.1,XP_034260629.1
XP_015675060.1,XP_034262305.1
XP_015687542.1,XP_034285908.1
XP_015687544.1,XP_034285907.1
XP_015687543.1,XP_034285909.1
XP_015667190.1,XP_034259877.1
XP_015667188.1,XP_034259872.1
XP_015667189.1,XP_034259875.1
XP_015687761.1,XP_034271660.1
XP_029139251.1,XP_034292405.1
XP_015682850.1,XP_034262835.1
XP_015676540.1,XP_034261110.1
XP_029139131.1,XP_034268956.1
XP_015670327.1,XP_034277246.1
XP_015682491.1,XP_034293920.1
XP_015685533.1,XP_034293791.1
XP_015674515.1,XP_034284180.1
XP_015687228.1,XP_034280275.1
XP_015671319.1,XP_034297767.1
XP_015671320.1,XP_034297768.1
XP_029141228.1,XP_034293822.1
XP_015670169.1,XP_034277059.1
XP_015678517.1,XP_034263090.1
XP_015687365.1,XP_034286247.1
XP_015678970.1,XP_034261162.1
XP_029141414.1,XP_034261163.1
XP_029141413.1,XP_034281823.1
XP_015686431.1,XP_034273562.1
XP_015679002.1,XP_034273559.1
XP_015679003.1,XP_034273561.1
XP_015675520.2,XP_034274548.1
XP_015683242.1,XP_034260234.1
XP_015672812.1,XP_034296894.1
XP_015680999.1,XP_034289839.1
XP_015681102.1,XP_034279166.1
XP_015671969.1,XP_034272671.1
XP_015669483.1,XP_034266834.1
XP_015687869.1,XP_034296321.1
XP_015667869.1,XP_034292378.1
XP_015676531.1,XP_034261068.1
XP_015679777.1,XP_034292735.1
XP_029141321.1,XP_034298505.1
XP_029141320.1,XP_034298538.1
XP_029141216.1,XP_034264759.1
XP_015666132.1,XP_034258323.1
XP_015667850.1,XP_034285689.1
XP_015667851.1,XP_034285690.1
XP_029140344.1,XP_034277217.1
XP_029140185.1,XP_034278741.1
XP_015672547.1,XP_034278735.1
XP_015672548.1,XP_034278734.1
XP_015665689.1,XP_034279008.1
XP_015681862.1,XP_034282121.1
XP_015681761.1,XP_034282119.1
XP_015668929.1,XP_034295804.1
XP_015684043.1,XP_034262443.1
XP_015668246.1,XP_034260747.1
XP_015672964.1,XP_034287789.1
XP_015685683.1,XP_034297172.1
XP_015674516.1,XP_034269237.1
XP_015681585.1,XP_034275979.1
XP_015682631.1,XP_034292720.1
XP_015666168.1,XP_034278521.1
XP_015681070.1,XP_034288656.1
XP_029139258.1,XP_034257570.1
XP_015676870.1,XP_034293267.1
XP_015668623.1,XP_034265534.1
XP_029139196.1,XP_034292368.1
XP_015678588.1,XP_034263501.1
XP_015681256.1,XP_034273789.1
XP_015675167.1,XP_034259105.1
XP_015671850.1,XP_034269776.1
XP_015667139.1,XP_034269169.1
XP_015668588.1,XP_034264252.1
XP_015673841.2,XP_034264237.1
XP_015684391.1,XP_034276443.1
XP_015687209.1,XP_034276526.1
XP_015687208.1,XP_034276525.1
XP_015681565.1,XP_034277738.1
XP_015674242.1,XP_034280843.1
XP_015683523.2,XP_034260449.1
XP_015686657.1,XP_034266705.1
XP_015668225.1,XP_034260686.1
XP_015671583.1,XP_034293338.1
XP_029140763.1,XP_034280223.1
XP_015678646.1,XP_034270425.1
XP_015678647.1,XP_034270426.1
XP_015677956.1,XP_034278008.1
XP_015683034.1,XP_034287639.1
XP_015672503.1,XP_034283796.1
XP_015679176.1,XP_034283964.1
XP_015679096.1,XP_034280338.1
XP_015676129.1,XP_034276060.1
XP_015676133.1,XP_034276064.1
XP_015676134.1,XP_034276063.1
XP_015672051.1,XP_034276066.1
XP_029140405.1,XP_034288268.1
XP_029139964.1,XP_034274551.1
XP_015671425.1,XP_034274549.1
XP_029139965.1,XP_034273674.1
XP_029139967.1,XP_034273675.1
XP_029141207.1,XP_034274513.1
XP_015676189.1,XP_034262797.1
XP_015669528.2,XP_034260668.1
XP_015669539.1,XP_034260671.1
XP_015679262.2,XP_034288778.1
XP_029142131.1,XP_034281758.1
XP_015675100.1,XP_034272828.1
XP_029139457.1,XP_034291544.1
XP_015675017.1,XP_034292481.1
XP_015675003.1,XP_034292479.1
XP_029140812.1,XP_034294083.1
XP_015676151.1,XP_034294132.1
XP_029141186.1,XP_034295491.1
XP_015679697.1,XP_034259895.1
XP_015669312.1,XP_034266720.1
XP_015666006.1,XP_034275532.1
XP_015681608.1,XP_034262419.1
XP_015673214.1,XP_034270614.1
XP_015673213.1,XP_034270612.1
XP_029141693.1,XP_034287364.1
XP_015670509.1,XP_034267456.1
XP_015670475.1,XP_034261361.1
XP_015670476.1,XP_034267419.1
XP_015670480.1,XP_034267455.1
XP_015670479.1,XP_034267409.1
XP_015686926.1,XP_034283260.1
XP_015686919.1,XP_034283258.1
XP_015686924.1,XP_034283259.1
XP_015681976.1,XP_034262462.1
XP_015677827.1,XP_034257905.1
XP_015687890.1,XP_034297687.1
XP_015683638.1,XP_034260617.1
XP_015681300.1,XP_034260608.1
XP_015676404.1,XP_034260903.1
XP_015668019.1,XP_034267605.1
XP_015683887.1,XP_034298081.1
XP_015674326.1,XP_034281857.1
XP_015668021.1,XP_034267606.1
XP_015674324.1,XP_034281856.1
XP_015666713.1,XP_034258106.1
XP_015678280.1,XP_034268443.1
XP_015682858.1,XP_034289639.1
XP_015678003.1,XP_034278650.1
XP_029142118.1,XP_034285948.1
XP_015674087.1,XP_034291321.1
XP_015682569.1,XP_034293802.1
XP_015666217.1,XP_034288326.1
XP_015679495.1,XP_034269310.1
XP_015679641.1,XP_034269311.1
XP_015683370.1,XP_034293281.1
XP_015668763.1,XP_034290347.1
XP_015676774.1,XP_034294922.1
XP_015681906.1,XP_034262399.1
XP_015678052.1,XP_034291680.1
XP_015666027.1,XP_034275530.1
XP_015678545.1,XP_034275528.1
XP_015682956.2,XP_034260190.1
XP_029143212.1,XP_034261845.1
XP_015668438.1,XP_034295176.1
XP_029140182.1,XP_034278745.1
XP_029140181.1,XP_034262939.1
XP_029140183.1,XP_034278744.1
XP_029140184.1,XP_034278742.1
XP_015672535.2,XP_034278743.1
XP_029140176.1,XP_034278749.1
XP_015672473.1,XP_034270228.1
XP_015684318.1,XP_034286872.1
XP_029140806.1,XP_034287355.1
XP_015668028.1,XP_034261333.1
XP_015667161.1,XP_034269121.1
XP_015671858.1,XP_034278020.1
XP_015665696.1,XP_034262368.1
XP_029140168.1,XP_034270156.1
XP_015682861.1,XP_034260210.1
XP_015668413.1,XP_034281123.1
XP_015675418.1,XP_034258235.1
XP_015682344.1,XP_034267294.1
XP_015668348.1,XP_034264816.1
XP_015668347.1,XP_034264821.1
XP_015668346.1,XP_034264820.1
XP_015668349.1,XP_034264822.1
XP_015683497.1,XP_034265996.1
XP_015671668.1,XP_034267181.1
XP_015682288.1,XP_034263262.1
XP_015682943.1,XP_034290298.1
XP_029139557.1,XP_034290210.1
XP_015669406.1,XP_034290214.1
XP_015669399.1,XP_034290209.1
XP_029139560.1,XP_034290213.1
XP_015683811.1,XP_034298070.1
XP_015683804.1,XP_034298069.1
XP_015683825.1,XP_034298072.1
XP_015683833.1,XP_034298073.1
XP_015683818.1,XP_034298071.1
XP_015670004.1,XP_034298555.1
XP_015670020.1,XP_034298557.1
XP_015669621.1,XP_034295498.1
XP_015680940.1,XP_034278455.1
XP_029141385.1,XP_034288457.1
XP_015681863.1,XP_034262855.1
XP_015669134.1,XP_034284578.1
XP_015678662.1,XP_034297154.1
XP_015669064.1,XP_034261921.1
XP_015669597.1,XP_034261929.1
XP_015684261.2,XP_034293035.1
XP_015668650.1,XP_034286718.1
XP_029141408.1,XP_034270900.1
XP_015683512.1,XP_034260292.1
XP_015681150.1,XP_034260503.1
XP_015681982.1,XP_034262909.1
XP_015671282.1,XP_034284833.1
XP_015680997.1,XP_034289582.1
XP_029142387.1,XP_034263884.1
XP_029140230.1,XP_034280519.1
XP_015675581.1,XP_034292307.1
XP_015673381.1,XP_034297403.1
XP_015686106.1,XP_034283761.1
XP_015687747.1,XP_034268018.1
XP_015676649.1,XP_034268115.1
XP_015686731.1,XP_034277976.1
XP_015669673.1,XP_034272101.1
XP_015672118.2,XP_034296191.1
XP_015669674.1,XP_034272102.1
XP_015684836.1,XP_034296285.1
XP_015665670.1,XP_034271229.1
XP_015683975.1,XP_034263819.1
XP_015669943.1,XP_034296929.1
XP_015669942.1,XP_034296930.1
XP_015665531.1,XP_034293393.1
XP_015671418.1,XP_034273677.1
XP_015678554.1,XP_034293973.1
XP_015681824.1,XP_034282938.1
XP_015670447.1,XP_034289951.1
XP_015668084.1,XP_034270575.1
XP_015677383.1,XP_034287589.1
XP_015677382.1,XP_034287588.1
XP_015668680.1,XP_034292496.1
XP_015686655.2,XP_034271133.1
XP_015673519.1,XP_034266179.1
XP_015674915.1,XP_034296647.1
XP_015668026.2,XP_034270927.1
XP_015670822.2,XP_034262326.1
XP_029142946.1,XP_034262333.1
XP_029142980.1,XP_034287257.1
XP_015677395.1,XP_034268133.1
XP_015679726.1,XP_034295445.1
XP_015670953.1,XP_034291837.1
XP_015670952.1,XP_034291761.1
XP_015681194.1,XP_034293889.1
XP_029140428.1,XP_034293787.1
XP_015667154.1,XP_034269057.1
XP_015676590.1,XP_034294508.1
XP_029141629.1,XP_034264732.1
XP_015670226.1,XP_034268462.1
XP_015675311.1,XP_034275302.1
XP_015675312.1,XP_034275308.1
XP_015675313.1,XP_034275324.1
XP_015680082.1,XP_034283048.1
XP_015678988.1,XP_034276288.1
XP_015679141.1,XP_034276019.1
XP_015668195.1,XP_034291061.1
XP_015681188.1,XP_034265578.1
XP_015669709.2,XP_034292292.1
XP_015686563.1,XP_034263269.1
XP_029138998.1,XP_034286532.1
XP_015667635.1,XP_034267560.1
XP_015687824.1,XP_034272672.1
XP_015666520.1,XP_034265255.1
XP_015665451.1,XP_034293426.1
XP_015686286.1,XP_034277080.1
XP_015668869.1,XP_034261966.1
XP_015681286.2,XP_034260977.1
XP_029139471.1,XP_034278652.1
XP_029141911.1,XP_034277653.1
XP_015675689.1,XP_034264693.1
XP_015672504.1,XP_034298317.1
XP_015683377.1,XP_034280928.1
XP_015670401.1,XP_034267770.1
XP_015683026.1,XP_034266512.1
XP_029142567.1,XP_034264722.1
XP_015666407.1,XP_034270967.1
XP_015665477.1,XP_034293513.1
XP_015687466.1,XP_034270474.1
XP_015678413.1,XP_034273077.1
XP_015670740.1,XP_034275654.1
XP_015677342.1,XP_034264938.1
XP_015667106.1,XP_034269620.1
XP_015679994.1,XP_034290874.1
XP_029142028.1,XP_034270424.1
XP_015680421.1,XP_034279876.1
XP_015670048.1,XP_034292812.1
XP_015669007.1,XP_034259070.1
XP_015669003.1,XP_034259068.1
XP_015676277.1,XP_034286531.1
XP_015677539.1,XP_034264775.1
XP_015677428.1,XP_034270609.1
XP_029138864.1,XP_034279070.1
XP_015679703.1,XP_034280626.1
XP_015674374.1,XP_034268749.1
XP_015672742.1,XP_034259363.1
XP_029141028.1,XP_034279455.1
XP_029141000.1,XP_034279456.1
XP_015677104.1,XP_034279425.1
XP_015679846.1,XP_034290817.1
XP_015665836.1,XP_034279258.1
XP_015680031.1,XP_034287331.1
XP_015680818.1,XP_034261703.1
XP_015678374.1,XP_034288378.1
XP_015677824.1,XP_034294715.1
XP_015670431.1,XP_034289991.1
XP_015670430.1,XP_034289987.1
XP_015673922.1,XP_034277587.1
XP_015673923.1,XP_034277588.1
XP_015681262.1,XP_034296223.1
XP_015676240.1,XP_034266387.1
XP_015684950.1,XP_034290533.1
XP_015680257.1,XP_034273698.1
XP_015675665.1,XP_034283833.1
XP_015680064.1,XP_034293968.1
XP_015681945.1,XP_034262459.1
XP_015679452.1,XP_034288899.1
XP_015671846.1,XP_034269775.1
XP_015680629.1,XP_034287964.1
XP_015668838.1,XP_034278444.1
XP_015681515.1,XP_034287391.1
XP_015688007.1,XP_034257520.1
XP_015687334.1,XP_034268329.1
XP_015668998.1,XP_034258869.1
XP_015665944.1,XP_034271552.1
XP_029138910.1,XP_034257817.1
XP_015666059.1,XP_034257819.1
XP_015669632.1,XP_034295525.1
XP_015669631.1,XP_034295523.1
XP_015669630.1,XP_034295520.1
XP_015675545.1,XP_034272592.1
XP_015680738.1,XP_034290947.1
XP_015685216.1,XP_034297991.1
XP_015676268.2,XP_034292647.1
XP_015676936.1,XP_034266676.1
XP_029142730.1,XP_034261729.1
XP_029141361.1,XP_034262663.1
XP_015668658.1,XP_034286703.1
XP_015683823.1,XP_034294348.1
XP_029142631.1,XP_034272264.1
XP_015666782.1,XP_034262543.1
XP_015683714.1,XP_034262345.1
XP_015676371.1,XP_034276798.1
XP_015668043.1,XP_034271157.1
XP_015668029.1,XP_034270894.1
XP_015676342.1,XP_034287023.1
XP_015673838.1,XP_034280378.1
XP_029139993.1,XP_034264280.1
XP_015675370.1,XP_034284244.1
XP_015677568.1,XP_034273892.1
XP_015670772.1,XP_034277282.1
XP_015687282.1,XP_034298722.1
XP_015674952.1,XP_034298669.1
XP_015673967.1,XP_034287313.1
XP_015667630.1,XP_034257427.1
XP_015668591.2,XP_034283575.1
XP_015676984.1,XP_034281220.1
XP_015679103.1,XP_034291125.1
XP_015672096.1,XP_034263293.1
XP_015682709.1,XP_034267669.1
XP_015669656.1,XP_034258643.1
XP_029139977.1,XP_034284051.1
XP_015668513.1,XP_034288442.1
XP_029142079.1,XP_034264645.1
XP_029142430.1,XP_034294719.1
XP_015667156.1,XP_034269078.1
XP_015684403.1,XP_034262841.1
XP_015668678.1,XP_034286710.1
XP_029140731.1,XP_034291018.1
XP_029140044.1,XP_034274508.1
XP_029140043.1,XP_034274505.1
XP_015671665.1,XP_034267309.1
XP_015666770.1,XP_034283487.1
