"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_livr_1","Mus_livr_2","Mus_livr_3","Mus_livr_4","Homo_livr_1","Homo_livr_2","Homo_livr_3","Canis_livr_1","Canis_livr_2","Canis_livr_3"
"38",107282575,"arylsulfatase G",1043,498,457,533,327,384,268,332,587,347,286,510,300,386,434,362,643,396,527,431,285,216,516,465,694,496,550,446,395,645,7.061942,7.8794009,7.005919,6.347657,2.347482,0.296824,1.3553251,0,0,0.909734
"39",107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",183,106,148,80,70,80,31,100,72,44,130,124,109,75,72,96,92,91,193,96,73,180,388,133,211,118,120,51,133,75,41.374252,49.373172,52.69665,49.360371,64.760756,32.9780218,37.84874832,0.136599,0.46464,70.84772
"40",107282581,"potassium voltage-gated channel subfamily J member 16",0,0,1,0,0,7,0,0,0,1,2,1,0,0,0,0,0,0,8,1,0,8.02,0,1,0,6,0,1,3.03,0,0.135762073,0.431199028,0.431988155,0.489502021,0.805691,0.298557981,0.684788834,0.10084,0.0351468,0.458578
"41",107282586,"phosphatase, orphan 1",4,6,5,6,5,13,1,5,83,2,8,42,6,2,0,4,0,1,5,1,5,22,244,4,18,13,3,0,15,1,24.57037,24.35919,27.23258,20.62263,0.434787,0.707319,0.3273043,0,0,0.625498
"42",107282593,"homeobox B1",0,2,3,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,1,0,0,3,0,0.0244302,0,0.0959649,0.0255878,0,0,0,0,0,0
"43",107282595,"T-box 21",0,3,2,1,0,8,0,3,0,4,4,1,0,3,0,0,0,0,1,0,0,3,1,0,0,4,0,0,5,0,0.181463,0.25715,0.211398,0.401638,0.544565,0.116822,0.730073,0,0,0.589778
"44",107282597,"potassium voltage-gated channel subfamily H member 4",0,4.99,7,0,0,6,0,6,3,0,2,0,1,2,0,2,0,0,2,1,2,3,4.99,3,3,9,1,1,2,4,0.0260579,0.01513,0.0684072,0.0273648,0.0343194,0,0.00731984,0,0,0
"45",107282604,"transmembrane protein 101",30,27,38,36,20,45,15,24,12,20,15,26,19,12,21,17,12,38,21,13,17,56,127,5,21,51,20,3,22,10,13.444787,10.768331,9.580944,7.98524,15.632556,7.7806434,10.16355,0.0555872,0,18.1262
"46",107282607,"protein phosphatase 1 regulatory subunit 9B",0,22,21,5,4,9,1,9,5,8,41,8,16,9,4,7,4,8,21,11.35,4,26,50,22,14,12,6,0,21,5,2.569097,2.84048,3.15498,3.11653,7.654992,0.708845,2.493041,0,0,3.147249
"47",107282610,"integrin subunit alpha 3",7,24,27,17,16,24,7,18,22,18,32,28,13,11,3,14,4,28,27,6,15,43,237,19,29,49,21,3,44,21,7.605354001,4.889729,4.889916,7.158278,2.6693481,0.7324362,0.6023476,0,0.0212033,0.8706636
"48",107282615,"solute carrier family 35 member B1",500,105,166,1319,272,277,227,743,242,656,127,501,89,431,305,256,454,725,160,206,520,253,355,136,267,268,304,323,195,395,68.306725,85.2949,75.16291,82.428779,53.19623644,57.30003503,28.75115421,0.0422927,0.0375463,9.76756
"49",107282616,"speckle type BTB/POZ protein",54.07,52.08,49.17,42,31.91,32,23.15,24,41.47,21,56.75,58,25.03,12.99,15.74,23.35,21.58,9.77,57.54,33.45,18,61,112,52.59,51.79,37,28.7,7.43,51,19.45,43.7704661,33.636938,34.352915,32.834387,19.961218,7.0510705,11.30251131,0,0.165783,9.30795
"50",107282620,"SNF8, ESCRT-II complex subunit",664,366,478,660,267,490,143,361,304,192,313,1185,196,157,223,167,137,275,463,156,419,730,1026,421,443,817,325,121,473,182,22.137781,15.77569,17.367927,19.211438,53.806133,42.596047,42.016597,0.117597,0.092680712,37.000979
"51",107282621,"ubiquitin conjugating enzyme E2Z",82.58,97.22,89.75,100,52.87,72,27.13,74,70,53,106.01,95,35.54,46.75,32.79,50.08,57.53,50,75.02,39.17,69,98,159,83.44,71.86,131,41,69.9,88,71,17.0607,18.9388,18.9767,18.2013,13.0962551,5.5092406,9.087873,0,0,12.5119
"52",107282630,"CDK5 regulatory subunit associated protein 3",1165,579,813,880,574,1175,276,587,503,546,442,2457,281,424,533,300,370,1132,706,397,726,803,1695,580,801,778,687,578,945,474,31.96932864,47.843058,43.6775716,44.0072534,50.41543231,36.67722926,58.52558417,0,0.115959,18.7199
"53",107282631,"proline rich 15 like",465,173,285,374,134,271,131,270,134,216,93,582,106,115,141,127,213,419,175,186,384,244,449,280,441,304,274,106,324,206,1.1750419,2.737269,2.9715784,3.2701724,0.641963,0.47274,0.674076,0,0,5.68527
"54",107282634,"Sp6 transcription factor",31,30,29,34,23,17,19,74,348,19,42,630,58,8,8,19,14,26,56,16,11,292,2763,22,40,26,25,5,38,12,0.0138124,0.0481112,0.0181271,0.0425604,0.03355267,0.009447224,0.04293788,0,0,0
"55",107282635,"secernin 2",28,54,60,41,13,41,11,39,15,47,34,105,28,29,14,29,11,39,66,24,51,81,126,44,49,47,32,2,65,15,48.115365,45.27235,49.653641,49.988361,34.292188,3.961972,24.350162,0,0.0509828,7.91019
"56",107282636,"mitochondrial ribosomal protein L10",121,94,112.77,270.96,108.97,139,33,82,101,80.92,84.88,114.95,84,50,35.81,55,33,84.91,103.82,54,100,326.87,345,82,113,251,108.94,25.64,177,57,168.1722,119.3847,123.4812,123.7179,28.5636375,8.309502,10.2947906,0,0.0282889,7.88822
"57",107282640,"mitochondrial ribosomal protein L45",363,280,470,726,200,415,117,313,270,204,223,619,198,154,148,141,185,267,314,127,328,559,991,261,360,895,254,276,473,209,10.9161,10.9295,10.1012,10.788814,12.2204,2.07782,0,0,0,21.7972
"58",107282641,"Rho GTPase activating protein 23",25,63,82,50,40,100,16,69,53,67,77,100,35,37,27,27,35,70,42,27,47,130,412,32,51,75,37,33,130,21,8.4472728,9.821366,13.3423753,10.016907,1.428192,0.123041,5.65e-08,0,0,0.48684
"59",107282642,"SRC kinase signaling inhibitor 1",3,15,16,14,4,18,1,15,2,13,16,8,3,4,0,8,0,2,17,8,6,38,49,17,9,20,1,3,18,6,0.0753322,0.1808814,0.1241564,0.187471,3.531003,0.6286561,0.8583714,0,0,0.1300528
"60",107282643,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",14,23,20,38,13,28,10,41,33,30,39,64,31,24,24,19,10,28,47,16,53,74,86,35,45,51,37,20,50,3,8.958598,12.58093,12.47091,9.76693,5.663185,0.4879787,0.7320444,0,0.0407923,9.43629
"61",107282646,"CDGSH iron sulfur domain 3",14,23,47,84,13,51,9,64,31,23,25,64,23,22,13,39,21,38,54,19,38,77,95,49,31,101,30,32,76,14,82.86292,60.69427,66.0681,65.67956,60.4524,37.80938,48.67191,0.38711,0.278563,315.911
"62",107282649,"lysine acetyltransferase 2A",92,100,161,97,69,145,23,64,87,61,104,169,95,48,41,38,51,62,89,52,50,208,511,72,172,198,63,41,177,46,13.31788,16.76257,15.90227,15.654652,25.45329,6.783354,16.76478,0,0.0202414,5.15459
"63",107282654,"potassium voltage-gated channel modifier subfamily G member 4",2,3,3,2,0,1,2,1,1,0,1,1,2,0,0,0,0,0,2,1,0,0,6,1,1,2,0,1,0,0,0.054967,0,0,0.0134638,0.12665,0.0069078,0.0102401,0,0,0
"64",107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.579186,5.540762,4.7436931,4.752180836,1.6179,0.172881,1.27746,0.169491,0.0376123,1.44698
"65",107282673,"pyridoxamine 5'-phosphate oxidase",4,20,28,9,7,13,5,15,9,13,24,18,10,6,14,11,8,17,9,9,14,39,65,17,15,9,5,0,44,4,139.42034,152.87917,146.56814,151.33203,48.20049427,12.0499549,41.0556966,0,0.356827,86.334208
"66",107282675,"leucine rich repeat containing 46",13,20,12,37,1,13,1,58,21,16,39,19,30,10,7,31,1,7,35,15,57,114,38,35,11,69,9,3,28,3,1.0497,0.932049,1.05365,1.22178,0.608303,0.1614725,0.344546,0,0,0.578143
"67",107282677,"N-acetylglucosaminidase, alpha",66,58,76,70,31,97,36,60,40,54,76,52,47,36,32,45,46,100,64,76,37,116,289,53,74,92,55,6,81,19,30.16478,34.55907,34.638457,36.64144,27.000216,14.037041,21.900818,0,0.0277154,8.61601
"68",107282727,"cysteine rich secretory protein LCCL domain containing 2",65,197,129,22,13,76,24,12,31,40,68,58,66,50,40,57,42,19,75,40,21,78,97,71,92,106,58,16,51,10,0.4964148,0.3718997,0.305194,1.0073043,1.204022,1.4192274,1.0965443,0,0,0.822291
"69",107282747,"serine/threonine kinase 31",0,10,11,8,5,14,0,10,6,3,13,9,2,0,8,1,0,4,6,4,8,17,43,27,1,22,0,0,20,0,0,0,0,0,0.1581535,0.05040549,0.2642331,0,0,0.0302418
"70",107282748,"WAP four-disulfide core domain 1",24,105,89,11,6,31,3,8,86,11,6,109,53,10,20,12,5,3,37,12,5,83,158,41,29,95,18,29,67,3,15.64236,10.74156,10.74926,11.61057,2.334758,0.2452988,1.2767349,0.894876,0.527199,2.812149
"71",107282749,"neuropeptide VF precursor",0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",107282756,"glycoprotein nmb",81,185,128,81,13,72,26,46,104,22,112,162,749,42,55,27,37,49,426,41,197,259,207,135,101,50,80,11,196,26,0.303709,0.139591,0.1304133,0.20838435,1.560523,1.090293111,3.07952,7.3718,28.0547,2.2663
"73",107282760,"coiled-coil domain containing 126",167,165,211,244,80,184,75,134,105,140,132,178,78,94,115,77,84,148,175,108,184,200,418,128,157,210,152,67,220,62,0.771801,0.719146,0.7294745,0.806649,4.142813,2.229614,5.3804,8.62188,3.08281,3.57605
"74",107282761,"family with sequence similarity 221 member A",71,83,93,193,76,112,28,110,68,61,62,152,65,83,58,47,33,78,120,50,159,226,107.99,76.99,75,154,86,65,72,47,0.0830587,0.204705268,0.3776182,0.2226072,2.61154,3.513762,7.553504,4.49697,3.373959,2.379787
"75",107282762,"membrane protein, palmitoylated 6",26,58,87,64,12,131,7,70,97,16,88,92,47,19,30,18,15,37,62,28,58,243,505,51,24,161,25,8,124,20,18.7002744,14.028105,19.738277,14.68757,7.471978,1.0394292,1.7776573,14.867992,11.062211,6.91632
"76",107282763,"deafness, autosomal dominant 5",91,134,218,89,17,38,4,13,90,11,67,153,37,20,29,17,13,39,72,21,45,130,450,79,87,140,48,4,61,71,1.6843805,1.988369,1.598548,1.8954258,1.0913815,0.6560447,1.2148767,0.418394,0.319601,0.131238
"77",107282764,"oxysterol binding protein like 3",77,469,726,267,93,323,37,293,303,107,463,299,269,132,151,121,88,186,313,195,313,1157,1984,443,193,486.99,223,37,990,78,0.1389964,0.53152818,0.4578022,0.2480446,1.0670944,0.1435724,0.882739518,0.50869,1.1813411,0.5512616
"78",107282765,"cytochrome c",4717,1781,2856,5400,2279,3384,473,1437,1609,1140,2138,2326,1673,1221,678,832,1083,1241,1976,630,1524,3177,3509,3641,3966,6909,1387,9520,8216,3155,2.57345,2.500124,2.315796,3.250573,84.85053,49.96765,40.92601,382.499,218.817,27.849
"79",107282769,"sorting nexin 10",218,608,790,513,150,338,42,312,251,188,535,398,263,129,157,136,64,259,363,120,383,565,600,360,263,757,301,46,671,160,4.207968,3.7946,5.192427,4.6907,10.692615,28.387267,10.0631047,40.58095,10.83954,13.88221
"80",107282770,"src kinase associated phosphoprotein 2",112.94,211.99,266,216.89,67,171.98,51,130.97,141,83.11,126.95,143.52,116,66,70,81,60.44,123,142,107,130,272,580,156.98,115,355.99,123.93,10.33,236.86,58.94,4.38748099,3.7136487,6.1820888,4.5224078,1.861513,1.34545,1.947845,9.78379,5.261792,1.83815
"81",107282778,"secernin 1",68,13,7,167,54,65,16,15,67,38,5,44,8,42,44,3,27,80,15,24,7,16,65,11,46,12,121,59,9,62,0.010043767,0.0612861,0.105523,0.0211076,0.89233984,0.29235398,0.5888815,6.07741,5.258953,1.5975157
"82",107282780,"pleckstrin homology domain containing A8",157,207,186,368,115,254,83,135,177,174,101,294,93,107,132,118,136,165,167,155,195,195,559,147,189,234,184,73,212,152,4.32489,2.802792,3.2831617,2.91098,0.9096208,0.60857231,0.5686247,2.99423,1.965694,1.8701549
"83",107282781,"interleukin 6",12,12,15,44,8,11,5,21,5,19,25,35,6,9,8,7,16,24,13,4,27,17,23,14,8,34,15,8,16,7,0,0.113858,0.0776726,0.102877,0,0.1507834,0,0,0,0
"84",107282787,"insulin like growth factor 2 mRNA binding protein 3",2,49,46,8,6,20,1,3,19,1,27,14,10,1,11,6,3,0,18,9,4,70,171,32,28,13.98,11,0,33,0,0.303575,0.4199759,0.3409447,0.770427,0.2391541,0,0.3068279,0.0484528,0.127715,0.376459
"85",107282800,"TLR4 interactor with leucine-rich repeats",21,32,25,25,14,26,2,10,27,20,28,36,14,24,18,13,5,9,41,3,14,28,81,29,50,43,29,4,41,24,0.340682,0.448593,0.459447,0.461968,0.100136,0.0281946,0.106788,0.922676,1.1139,0.509456
"86",107282855,"cartilage oligomeric matrix protein",4,20,22,19,11,7,3,10,18,11,11,7,2,3,7,14,2,1,15,1,3,7,7,44,21,22,27,20,15,8,0.104069,0,0,0,0.940281,0,0.2377035,0.0350376,0.125967,0.206097
"87",107282876,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",494,666,776,786,405,580,291,400,756,403,586,545,496,350,256,344,318,272,873,266,453,793,680,541,622,827,455,1190,827,417,1257.151691,1155.8977,1392.885023,1136.0337,282.7648969,114.0778968,98.092072,277.147,532.78,189.328
"88",107282880,"peptidase (mitochondrial processing) beta",600,311,309,203,342,238,123,156,243,224,305,648,200,268,234,278,211,232,391,221,188,510,750,369,490,127,372,656,319,353,58.068713,52.783285,53.971202,53.462263,26.504223,23.808995,39.0006464,30.4511,30.2878,24.9054
"89",107282882,"mitochondrial ribosomal protein L54",222,109,109,194,157,79,127,123,180,147,91,160,112,240,181,171,201,155,145,96,158,127,105,126,157,139,156,752,102,177,69.65636,66.84113,59.30373,54.45794,69.176,83.3537,69.006,41.7085,41.6762,27.2283
"90",107282883,"chromosome unknown open reading frame, human C19orf25",20,20,14,11,26,11,9,20,16,22,24,28,12,18,11,33,17,21,13,28,5,6,38,23,44,3,12,24,11,1,20.0858,19.5227,21.3221,20.9025,17.25502641,8.372523555,9.4432918,13.6798,17.2871,12.1947
"91",107282895,"protein phosphatase 2C like domain containing 1",8,21,30,37,4,15,1,36,8,17,27,16,12,4,3,9,9,10,34,2,35,81,36,39,11,65,8,0,35,6,0.0616899,0,0.054496,0,0,0,0.0279359,5.79083,2.3041,0.848667
"92",107282896,"potassium voltage-gated channel subfamily H member 8",0,4,3,2,0,2,0,4,3,2,1,10,5,0,1,0,2,1,3,2,0,16,74,4,2,4,0,0,3,1,0,0,0,0,0,0.01378402,0.0156655,0,0,0
"93",107282899,"shugoshin-like 1 (S. pombe)",13,50,65,89,27,148,16,226,87,39,266,52,205,75,29,84,27,21,144,41,131,713,346,164,33,145,36,5,175,4,0,0.0156561,0.0176964,0,0.36817159,0.1027565,0.2707122,0.144056,0.0323155,0.0222143
"94",107282900,"lysine acetyltransferase 2B",31,130,107,112,19,119,12,91,63,76,77,86,34,32,44,31,34,53,48,36,72,157,220,57,63,105,47,25,168,27,12.060814,13.6888,15.3907,14.617452,14.65192,4.3856475,11.81793,42.61533,51.17028,37.389912
"95",107282902,"EF-hand domain family member B",9,104,60,75,15,107,3,51,31,35,38,60,53,16,9,76,14,19,98,29,103,263,83,69,9,210,28,2,78,7,0.0134768,0.0160103,0.0746554,0.100493,0.0601296,0.0320041,0.242777168,0,0,0.0289075
"96",107282904,"TBC1 domain family member 5",81,170,142,150,41,133,53,97,117,112,205,109,83,72,70,55,84,130,100,89,97,270,461,84,124,116,116,34,220,31,4.3876308,4.7848009,4.9693565,4.7303304,6.6672409,1.05062,2.940967,4.121814606,5.739144,3.901887
"97",107282905,"phospholipase C like 2",6,56,57,45,20,109,7,59,45,35,119,40,45,22,27,32,11,11,59,16,26,136,98,71,68,123,47,3,156,3,2.82,3.5436887,3.4121793,3.6922503,1.037138,0.317748,1.451052,1.4097179,1.727136665,0.4645098
"98",107282907,"oxidoreductase NAD-binding domain containing 1",71,119,129,186,69,128,23,90,59,64,69,150,60,54,65,27,22,68,85,45,97,142,288,34,69,246,59,44,129,51,28.014191,22.4604657,29.142264,30.239639,6.524788,4.581036,7.2315795,13.64696,7.444866,6.417709
