"","X","gene","description","class","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Pm_1_heart","Pm_10_heart","Pm_3_heart","Pm_5_heart","Pm_8_heart","Pm_1_kidney","Pm_10_kidney","Pm_3_kidney","Pm_5_kidney","Pm_8_kidney","Pm_1_liver","Pm_10_liver","Pm_3_liver","Pm_5_liver","Pm_8_liver","sg_1","sg_2","sg_3","sg_4","hrt_1","hr2_2","kidn_1","kidn_2","kidn_3","livr_1","livr_2","livr_3","Naja_vg_1","Naja_vg_2","Naja_vg_3","Naja_vg_4","Naja_vg_5","Naja_vg_6","Naja_liv_1","Naja_liv_2","Naja_kid_1","Naja_kid_2","Naja_pan_1","Naja_pan_2","Naja_sg_1"
"15",37,107282233,"DET1 and DDB1 associated 1",NA,556,607,442,345,304,358,166,289,353,150,450,492,318,246,211,270,264,222,425,188,259,423,661,391,691,466,409,331.73,437.01,359,262,301,252,125,273,313,315,413,322,268,107,202,84,85,135,3.11,4.31,2.77,3.17,67.86,59.64,94,95.3,96.04,32.17,34.74,36.26,0.0310279,1.33551,0.755167,0,3.83868,2.66241,1.47559,1.16164,4.98081,3.35006,0.146226,0,0
"16",39,107282238,"mitogen-activated protein kinase kinase kinase 5",NA,30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18,37,35,38,77,66,351,240,277,157,158,36,117,99,72,154,30.47,24.5,26.23,26.26,59.34,64.17,74.96,86.74,83.19,184.53,185.69,206.61,0.839519,1.88023,0.995952,1.27524,1.91727,0.893965,17.1801,19.9305,27.5003,24.6064,2.82693,0.596166,5.97478
"17",46,107282258,"adaptor related protein complex 3 delta 1 subunit",NA,434,199,365,216,292,162,170,220,274,205,331,435,208,250,148,197,194,278,246,219,162,352,639,373,633,160,284,359,240,327,91,109,124,271,84,170,161,179,161,160,73,190,101,145,168,10.66,9.15,9.27,7.28,5.3,5.57,10.79,11.71,11.77,5.17,4.26,3.64,12.0725,11.1385,16.984,17.5745,23.1238,2.82493,17.8935,9.29007,29.1355,18.7467,9.60254,4.30366,26.0892
"18",51,107282273,"phosphoinositide-3-kinase regulatory subunit 2",NA,41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12,20,6,15,48,11,93,35,59,26,42,26,46,24,26,30,0,0,0,0,0,0.02,0.02,0.05,0,0,0,0,14.6352,2.204763,25.0073,36.6089,32.2381727,8.802395,19.64693224,14.5748,201.651176,154.41443,24.4039,9.4756,57.856468
"19",52,107282274,"microtubule associated serine/threonine kinase 3",NA,4,10,4,27,15,8,15,5,8,5,11,6,1,12,11,15,18,15,12,12,11,11,11,4,18,2,17,28,2,23,6,9,9,128,14,31,5,12,7,10,12,25,3,6,31,0.22,0.33,0.24,0.24,2.28,1.69,2.2,2.16,2.32,8.52,8.86,9.1,2.698333,0.272805,3.49179,8.26134,8.64913,0.339694,6.28621,8.02583,19.53942,11.97062,8.02484,2.081522,4.461257
"20",61,107282288,"coiled-coil serine rich protein 1",NA,187,171,227,127,108,97,75,88,115,87,136,97,94,120,153,89,168,113,175,131,133,107,247,124,163,75,182,147,101,112,9,24,17,35,15,238,202,306,185,212,4,12,8,9,86,0.66,0.61,0.35,0.34,1.05,0.66,5.12,5.78,5.7,7.23,6.72,7.96,6.14811,0.372262,8.73715,7.57448,48.1432,2.98,0.931207,0.530896,1.48918,4.39022,6.64642,2.87496,6.87974
"21",62,107282290,"phospholipid phosphatase related 3",NA,1,6,10,0,0,1,0,1,2,2,5,2,4,1,0,1,0,0,8,2,0,5,12,4,3,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,1.05,1.26,0.95,14.46,12.84,13.61,13.5,13.49,19.89,20.74,21.44,0.0161165,0.170632,0.0407466,0.0413319,0.309948,0.159359,0.373479,0.113561,0.0904947,0.138101,0.320683,0.0185978,0.182732
"22",68,107282350,"serine/threonine kinase 24",NA,261,225,236,282,191,112,70,145.99,208,68,203,97,139,124,115,112,114,149,158,86,137,177,226,164,175,216,181,61,191,199,158,113,176,118,150,256,203,437,358,454,220,146,219,120,159,31.21,24.43,25.58,26.65,92.64,75.79,195.12,192.67,206.78,119.27,109.19,120.73,1.84166,4.82798,4.22881,3.52975,5.1643,4.1136,4.74649,2.72328,6.80771,7.37814,4.3498,1.81658,7.50169
"23",69,107282361,"dickkopf WNT signaling pathway inhibitor 2",NA,87,651,652,147.97,365,93,515,324,239,116,126,242,389,642,606,457,311,179,489,135,145,238,785,337,340,247,158,143.98,187,126,80,61,52,7,93,36,55,56,33,36,7,11,5,4,16,19.06,17.56,22.92,19.27,83.73,69.57,60.76,60.69,60.55,78.81,72.93,77.73,1.03022,0.266034,1.27057,2.96429,1.57054,0.165639,0.349377,0,0,0,5.1873,0,5.29914
"24",70,107282362,"solute carrier family 15 (oligopeptide transporter), member 1",NA,3753,455,2,1259,880,497,450,324,326,487,81,2402,2,527,1144,537,407,351,134,449,591,1,1,136,1949,8,2803,1140,23,555,2,2,0,8,0,0,0,878,1233,810,1,0,0,0,0,5.9,4.21,5.96,5.09,33.98,31.41,57.36,59.37,57.53,40.95,39.66,44.77,15.0479,32.89,20.8328,32.5739,169.83,42.1905,0,0,0,0.739431,0.0136997,0.101696,5.53316
"25",75,107282380,"F-box protein 47",NA,0,9,1,2,0,9,0,0,1,1,3,4,0,1,0,3,1,3,3,0,1,4,2,0,3.98,8,3,2,6,2,0,17,3,6,0,5,5,19,20,5,0,3,0,2,0,6.64,2.93,6.8,5.59,16.25,16.58,50.98,41.32,45.75,22.08,22.81,23.28,0.0116412,0.0616251,0.14716,0,0.0139925,0.306953,0.053954,0.0410133,0.549072,2.26106,0.0289543,0.0268669,0.844738
"26",85,107282413,"tubulin folding cofactor D",NA,2228.62,545.85,629.62,1889.44,1251.7,1019.47,2603.91,2745.77,1621.09,1492.39,1071.94,888.71,328.07,1243.69,3154.29,2054.24,3725.42,3132.22,758.01,1795.75,2540,514.43,787.55,524.34,1052.6,360.37,1938.01,1428.81,405.47,937.8,422.09,355.45,630.99,367.15,525.06,608.05,405.68,742.81,476.54,546.95,184.87,205.14,208.19,191.52,388.77,0.31,0.28,0.17,0.13,2.77,1.77,9.49,9.07,9.19,0.68,0.45,0.54,7.88447,3.43974,4.2162,11.9719,10.0523,6.03712,4.61498,3.87191,7.78887,11.8463,5.47845,2.86854,8.24077
"27",87,107282421,"plexin domain containing 1",NA,5.56,79,89,70,5,28,6,26,73,10,66,70,36,14,19,13,9,5,86,10,17,90,127,52,28,117,24,8,67,6,11,161,42,101,59,10,9,24,33,9,12,41,3,22,32,8.62,7.6,6.57,7.23,18.91,16.58,126.62,117.89,130.1,89.65,89.77,86.2,0.166514,0,0.497534,0.155286,0.145562,0.0997866,0.420955,0.106664,2.48195,9.72849,0.640063,0.279491,1.06413
"28",88,107282422,"DEAD-box helicase 42",NA,442.23,722.52,723.47,483,278.03,615.62,207,487.01,408.08,315.04,450.06,601.09,365,199,269,237.47,301.08,511,773.51,472.22,399,878.94,2438.04,485.01,608.85,684.25,362.97,135.03,601.51,418,401,588,785,1041,745,508,529,1208,1069,875,223,451,430,449,830,0.33,0.27,0.21,0.05,254.4,227.86,770.74,742.17,761.44,71.42,68.72,72.5,4.98852,6.48719,9.34375,6.99911,10.233,5.23557,9.04608,6.61235,11.7163,21.8611,7.30288,5.49415,24.1268
"29",89,107282423,"zinc finger protein 750",NA,2288,1082,1712,1708,1200,692,819,1103,1244,839,1003,1302,680,1052,815,1074,1218,1438,1305,996,979,956,2229,775,1168,939,1654,430,801,1063,10,10,7,65,1,18,21,128,162,92,5,4,5,0,6,0.04,0,0.04,0,0.16,0.14,551.35,491.55,525.79,0,0.05,0.08,16.9258,10.8534,24.4138,33.2175,15.9509,10.8269,0.0173401,0.00659057,0.428557,1.79531,0.204722,0,19.352
"30",96,107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",NA,269,267,288,139,147,197,109,138,253,124,207,267,212,193,167,144,233,188,376,238,99,205,545,244,280,102,250,80,124,162,74,102,116,119,103,175,99,205,136,140,51,61,58,68,183,0.45,0.25,0.48,0.42,3.8,3.46,23.94,23.86,23.8,30.96,28.84,29.31,5.45131,0.51448,11.2358,9.35796,16.0571,3.78568,5.15956,4.73137,11.8468,14.6117,12.1742,3.30332,15.1265
"31",101,107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",NA,192,198,270,213,127,149,58,113,170,56,191,146,181,117,95,102,61,72,269,82,142,257,286,163,175,334,168,78,120,116,144,202,140,99,134,468,311,455,438,296,361,235,229,260,194,7.71,5.82,7.73,8.16,10.11,7.63,30.3,33.66,33.86,13.03,11.53,13.16,1.55541,4.16768,3.60665,1.7303,7.8868,6.36204,1.92817,1.47368,2.91493,2.49364,2.6107,1.01317,2.96421
"32",103,107282516,"myocardin",NA,7,17,14,9,2,9,0,7,9,4,4,9,10,1,7,9,3,5,10,6,1,17,31,16,13,14,16,3,9,4,290,90,395,212,572,45,20,12,23,16,0,8,3,3,19,84.9,79.19,60.91,67.87,67.91,55.28,475.54,468.05,471.07,397.34,362.75,380.13,0.119942,0.0488412,0.104969,0.0828151,0.421414,0.121638,0.363472,0.341306,0.290113,0.698357,0.32127,0.0319402,0.292907
"33",106,107282539,"troponin T1, slow skeletal type",NA,0,53,1,16,21,1293,5,50,13,25,115.85,84,3,9,1,36,9,1,30,0,0,121,3,16,2,2,15,79,1360,41,275,1205,230,103,254,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0.03,0.04,22.3,22.34,20.04,3.4,3.72,4.88,3.27644,6.14492,0.0473353,0,0.0225042,5.80064,0,0.0659617,0.504612,0.0534772,0.0465672,0,4.45788
"34",110,107282560,"SAGA complex associated factor 29",NA,60,74,116,49,27,106,27,71,44,71,46,113,47,33,46,36,29,68,76,48,63,92,173,55,67,118,58,11,81,31,36,18,64,50,55,73,61,128,85,47,56,64,45,79,80,217.2,248.25,184.96,198.56,133.46,110.91,115.15,111.24,114.18,64.12,53.95,56.51,1.52309,2.25758,2.21566,1.67059,2.11801,2.81123,3.01913,1.65934,4.76817,8.5134,1.49199,1.08159,6.70572
"35",111,107282562,"sphingomyelin synthase 2",NA,917,725,1032,627,366,406,171,451,420,235,875,556,578,322,344,344,300,329,618,264,233,470,1071,469,787,1235,553,216,538,548,116,213,81,192,82,142,96,124,196,94,379,486,134,213,263,4.57,5.12,5.57,4.4,7.82,6.09,91.51,98.69,92.84,9.25,10.29,11.28,1.115,1.68811,2.22834,1.73025,7.09624,1.63497,0.273742,0.146652,3.08092,1.98615,0.847061,0.439538,4.38155
"36",112,107282570,"regulator of G-protein signaling 9",NA,29,6,5,13,11,16,83,55,30,41,11,6,2,2,51,32,60,26,11,47,24,3,27,14,3,4,27,22,3,31,3,1,1,11,2,9,6,4,10,6,0,0,0,2,1,4.57,5.78,4.18,4.26,28.81,26.05,118.82,124.64,120.24,69.69,62.87,67.44,9.54101,1.54499,15.4482,10.9618,39.6929,3.3495,0.156265,0.133569,0.271862,0.247283,0.256343,0.0384293,2.13523
"37",113,107282571,"guanine nucleotide binding protein (G protein), alpha 13",NA,990,1622,1773,830,573,962,278,506,769,379,1023,440,609,410,546,388,571,559,913,509,410,1000,1789,700,1204,1513,805,252,1016,458,1060,958,1158,659,1089,1453,1249,2410,2260,1781,770,568,632,491,504,23.12,18.46,18.36,18.66,64.06,58.87,271.67,263.01,265.82,87.43,83.15,86.65,6.14821,4.72053,6.52622,10.1105,22.3394,2.16566,7.39575,4.13376,10.225,8.04329,8.28804,1.73308,14.2612
"38",115,107282575,"arylsulfatase G",NA,1043,498,457,533,327,384,268,332,587,347,286,510,300,386,434,362,643,396,527,431,285,216,516,465,694,496,550,446,395,645,204,288,207,494,234,405,323,408,1016,589,209,189,218,263,290,0.19,0.63,0.73,0.24,1.26,1.54,3.3,3.51,3.63,0.87,0.74,0.94,13.6665,0.812103,16.8845,17.0631,23.9597,6.43485,13.2169,26.8324,17.9559,12.887,6.91457,2.20816,13.3125
"39",116,107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",NA,183,106,148,80,70,80,31,100,72,44,130,124,109,75,72,96,92,91,193,96,73,180,388,133,211,118,120,51,133,75,142,36,130,98,94,261,125,245,143,126,77,124,135,106,227,0.3,0.19,0.45,0.25,7.63,6.74,4.24,4.66,4.9,4.65,4.07,2.62,17.2173,11.2276,36.4805,27.2061,43.0878,14.8166,27.3997,19.9087,47.846,37.0617,25.9313,5.72082,48.1292
"40",118,107282581,"potassium voltage-gated channel subfamily J member 16",NA,0,0,1,0,0,7,0,0,0,1,2,1,0,0,0,0,0,0,8,1,0,8.02,0,1,0,6,0,1,3.03,0,0,1,0,23,1,4208,3372,4495,2410,2149,1,1,4,3,4,46.8,39.26,29.88,34.88,80.78,67.66,371.53,353.88,393.9,24.86,23.62,23.48,0.0382354,0,0,0.0980574,0,3.19258,1.65397,0.583734,223.968,104.225,2.88471,0.235318,1.93639
"41",121,107282586,"phosphatase, orphan 1",NA,4,6,5,6,5,13,1,5,83,2,8,42,6,2,0,4,0,1,5,1,5,22,244,4,18,13,3,0,15,1,0,3,12,17,13,5,4,9,9,5,1,1,1,3,6,0.6,0.43,0.78,0.51,1.09,1.07,1.94,1.81,2.12,77.04,78.92,77.76,0.508399,0.493408,1.59599,0.793162,2.58694,6.0045,1.27633,0.26121,0.294984,0.859186,1.02214,0.13689,29.1868
"42",125,107282593,"homeobox B1",NA,0,2,3,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.29,6.39,4.55,4.52,44.26,38.95,70.59,64.74,65.74,33.76,30.91,31.6,0,0.29325,0,0,0,0,0,0,0.331786,0.42194,0,0,0
"43",126,107282595,"T-box 21",NA,0,3,2,1,0,8,0,3,0,4,4,1,0,3,0,0,0,0,1,0,0,3,1,0,0,4,0,0,5,0,1,1,1,5,1,0,0,0,3,0,0,0,4,2,0,0,0.01,0,0,0.16,0.19,0.08,0.14,0.13,0.3,0.42,0.49,0.055355,0,0.139952,0.248433,0.0166339,0.0912243,0.320695,0.121889,0,0.395277,1.75543,0.095816,0.847296
"44",128,107282597,"potassium voltage-gated channel subfamily H member 4",NA,0,4.99,7,0,0,6,0,6,3,0,2,0,1,2,0,2,0,0,2,1,2,3,4.99,3,3,9,1,1,2,4,0,1,2,3,0,1,0,0,0,0,0,0,0,0,2,0.4,0.28,1.09,0.61,1.22,2.04,3.84,3.47,3.98,2.87,2.35,2.68,0.00519348,0.0274928,0,0,0.012485,0,0,0,0,0,0.167926,0.0599306,0
"45",131,107282604,"transmembrane protein 101",NA,30,27,38,36,20,45,15,24,12,20,15,26,19,12,21,17,12,38,21,13,17,56,127,5,21,51,20,3,22,10,18,8,44,9,21,26,16,88,76,58,5,18,17,28,40,10.5,13.64,7.63,8.46,41.21,33.2,100.24,96.43,100.5,50.71,68.58,49.57,2.85161,6.13825,5.4991,3.84998,8.45434,2.59141,2.3691,3.08319,4.33481,7.30277,2.87906,1.51304,12.4199
"46",133,107282607,"protein phosphatase 1 regulatory subunit 9B",NA,0,22,21,5,4,9,1,9,5,8,41,8,16,9,4,7,4,8,21,11.35,4,26,50,22,14,12,6,0,21,5,16,11,32,46,15,10,12,26,19,16,1,1,1,6.39,3,0,0,0,0,0,0,0,0,0,0,0,0,0.429221,0,0.445203,0.564497,0.701118,0.0725489,3.06051,0.814261,15.3999,30.0839,5.47473,1.21921,4.66695
"47",135,107282610,"integrin subunit alpha 3",NA,7,24,27,17,16,24,7,18,22,18,32,28,13,11,3,14,4,28,27,6,15,43,237,19,29,49,21,3,44,21,1,2,19,25,14,6,3,18,25,9,1,4,1,4,6,0.13,0,0.08,0.18,0.22,0.29,7.38,7.83,8.18,0.24,0.01,0.02,2.04643,0.0509799,3.18957,3.98866,2.65078,0.571341,0.80341,1.04331,2.19542,4.42863,0.826369,0.544534,14.3039
"48",136,107282615,"solute carrier family 35 member B1",NA,500,105,166,1319,272,277,227,743,242,656,127,501,89,431,305,256,454,725,160,206,520,253,355,136,267,268,304,323,195,395,83,121,192,108,248,181,197,513,535,432,149,209,332,485,570,47.63,36.07,51.81,49.73,85.78,76.12,106.01,100.8,106.12,17.25,19.17,18.77,36.1401,22.6627,49.4915,42.3773,70.9272,30.616,37.1312,40.715,34.7661,27.9619,27.3862,11.4797,39.0378
"49",137,107282616,"speckle type BTB/POZ protein",NA,54.07,52.08,49.17,42,31.91,32,23.15,24,41.47,21,56.75,58,25.03,12.99,15.74,23.35,21.58,9.77,57.54,33.45,18,61,112,52.59,51.79,37,28.7,7.43,51,19.45,14.23,4.42,17,22,10,18.98,7.38,33,16,14,1,16.51,5,15,12,2.45,1.82,2.16,2.39,5.14,5.36,8.67,8.98,9.16,3.89,3.48,4.05,4.19235,4.48619,8.21327,6.71768,8.17991,6.43283,9.31353,6.26544,5.62369,9.57237,5.54102,3.33386,16.0436
"50",138,107282620,"SNF8, ESCRT-II complex subunit",NA,664,366,478,660,267,490,143,361,304,192,313,1185,196,157,223,167,137,275,463,156,419,730,1026,421,443,817,325,121,473,182,387,337,460,348,563,1442,1205,3509,2630,3152,1288,840,1190,1208,946,1.38,0.47,2.33,1.56,7.42,6.68,9.15,8.09,9.1,7.01,7.16,7.56,5.00523,3.56888,10.6906,9.11638,29.86,26.6648,15.9072,21.6647,27.4392,40.5473,11.1788,8.53408,46.5122
"51",139,107282621,"ubiquitin conjugating enzyme E2Z",NA,82.58,97.22,89.75,100,52.87,72,27.13,74,70,53,106.01,95,35.54,46.75,32.79,50.08,57.53,50,75.02,39.17,69,98,159,83.44,71.86,131,41,69.9,88,71,33,27,36,42,40,54.01,34,72,84,61,25,42.72,45,44,106,4.66,4.21,3.46,3.86,20.24,15.79,34.49,32.03,33.39,15.53,15.85,17.59,2.548110715,5.082222,5.698325009,3.679161645,8.423446,7.254828865,4.644730003,2.884079,5.217099808,10.79982435,3.49742564,2.57586579,17.3934
"52",141,107282630,"CDK5 regulatory subunit associated protein 3",NA,1165,579,813,880,574,1175,276,587,503,546,442,2457,281,424,533,300,370,1132,706,397,726,803,1695,580,801,778,687,578,945,474,552,364,1221,494,1184,990,792,3135,2190,2491,659,993,1196,1210,2097,3.19,2.67,3.08,2.69,167.76,177.33,235.9,247.16,226.81,61.94,52.12,64.07,23.2233,21.37,41.3792,31.3105,151.91,72.5069,31.3582,41.1756,25.0612,60.7403,13.8387,14.6206,34.7652
"53",142,107282631,"proline rich 15 like",NA,465,173,285,374,134,271,131,270,134,216,93,582,106,115,141,127,213,419,175,186,384,244,449,280,441,304,274,106,324,206,0,0,0,4,2,208,192,343,496,544,134,373,131,219,608,0.84,0.36,0.27,0.48,0.66,0.55,43.81,46.2,46.7,6.23,6.84,5.98,0,3.04099,0,0,13.1192,0,0,0,0,0,0,0,0
"54",143,107282634,"Sp6 transcription factor",NA,31,30,29,34,23,17,19,74,348,19,42,630,58,8,8,19,14,26,56,16,11,292,2763,22,40,26,25,5,38,12,0,0,2,29,0,6,16,31,37,20,1,0,0,1,3,0.02,0.13,0.02,0.01,1.25,1.21,1.38,1.34,1.29,0.16,0.16,0.13,2.94723,0,3.50173,3.42812,3.54252,3.29108,0,0,0,0.0920021,6.36907,12.8977,2.92165
"55",144,107282635,"secernin 2",NA,28,54,60,41,13,41,11,39,15,47,34,105,28,29,14,29,11,39,66,24,51,81,126,44,49,47,32,2,65,15,48,20,62,67,50,61,36,133,90,87,28,49,25,32,79,0.02,0,0,0,3.47,4.27,4.14,4.46,4.39,1.63,1.58,1.55,1.98024,1.19468,4.03944,2.27336,1.51946,2.16943,5.65526,2.95126,9.23926,11.5499,3.23102,1.83214,7.60056
