"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_hrt_1","Mus_hrt_2","Mus_hrt_3","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Canis_hrt_1","Canis_hrt_2","Canis_hrt_3"
"34",107282560,"SAGA complex associated factor 29",60,74,116,49,27,106,27,71,44,71,46,113,47,33,46,36,29,68,76,48,63,92,173,55,67,118,58,11,81,31,16.821718,25.918748,27.757286,20.79815,15.63549,17.07519,2.562838,11.09914,4.56681
"35",107282562,"sphingomyelin synthase 2",917,725,1032,627,366,406,171,451,420,235,875,556,578,322,344,344,300,329,618,264,233,470,1071,469,787,1235,553,216,538,548,0.212325,0.405193,0.283169,3.719591,9.421913,3.84144772,0.4707,1.856677,5.21671
"36",107282570,"regulator of G-protein signaling 9",29,6,5,13,11,16,83,55,30,41,11,6,2,2,51,32,60,26,11,47,24,3,27,14,3,4,27,22,3,31,0.236543,0.2604638,0.2988959,1.291064,1.2509384,0.7654455,0.2689156,0.471225,0.3363216
"37",107282571,"guanine nucleotide binding protein (G protein), alpha 13",990,1622,1773,830,573,962,278,506,769,379,1023,440,609,410,546,388,571,559,913,509,410,1000,1789,700,1204,1513,805,252,1016,458,8.124781,8.02208,8.30239,2.68403,3.16114168,2.977804,0.737719,3.50828,7.8378
"38",107282575,"arylsulfatase G",1043,498,457,533,327,384,268,332,587,347,286,510,300,386,434,362,643,396,527,431,285,216,516,465,694,496,550,446,395,645,0.729485086,0.990462001,0.898884774,2.9497825,4.529514,4.070727,0.514446,1.18261,2.48412
"39",107282576,"protein kinase cAMP-dependent type I regulatory subunit alpha",183,106,148,80,70,80,31,100,72,44,130,124,109,75,72,96,92,91,193,96,73,180,388,133,211,118,120,51,133,75,92.81893,91.45893,90.906323,209.7731675,279.1313003,286.334012,57.616786,88.15484,97.59803
"40",107282581,"potassium voltage-gated channel subfamily J member 16",0,0,1,0,0,7,0,0,0,1,2,1,0,0,0,0,0,0,8,1,0,8.02,0,1,0,6,0,1,3.03,0,0.068097907,0.0673476,0.037507308,0.486728,0,0.1426573,0.105467,0.537115,1.58681
"41",107282586,"phosphatase, orphan 1",4,6,5,6,5,13,1,5,83,2,8,42,6,2,0,4,0,1,5,1,5,22,244,4,18,13,3,0,15,1,72.3487,132.64976,134.9957,0.845272,1.367457,1.171997,4.294082,16.50752,0.275442
"42",107282593,"homeobox B1",0,2,3,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,4,1,0,0,3,0,0,0,0.0157525,0,0.0899935,0,0,0,0
"43",107282595,"T-box 21",0,3,2,1,0,8,0,3,0,4,4,1,0,3,0,0,0,0,1,0,0,3,1,0,0,4,0,0,5,0,0.115239,0.32108,0.246825,0.551313,0.411091,0.270767,0.0293394,0.117291,0.27394
"44",107282597,"potassium voltage-gated channel subfamily H member 4",0,4.99,7,0,0,6,0,6,3,0,2,0,1,2,0,2,0,0,2,1,2,3,4.99,3,3,9,1,1,2,4,0.0185722,0.0318784,0,0.0200676,0.0448908,0.149311,0.0218243,0,0.033751
"45",107282604,"transmembrane protein 101",30,27,38,36,20,45,15,24,12,20,15,26,19,12,21,17,12,38,21,13,17,56,127,5,21,51,20,3,22,10,7.722696,11.0021674,11.349002,10.117603,21.22924,21.634886,4.33273,7.4,18.3666
"46",107282607,"protein phosphatase 1 regulatory subunit 9B",0,22,21,5,4,9,1,9,5,8,41,8,16,9,4,7,4,8,21,11.35,4,26,50,22,14,12,6,0,21,5,8.78843,11.655457,11.93066,58.405,29.0391,26.95728,5.81418,14.04739,0.183911
"47",107282610,"integrin subunit alpha 3",7,24,27,17,16,24,7,18,22,18,32,28,13,11,3,14,4,28,27,6,15,43,237,19,29,49,21,3,44,21,6.264568,6.543246546,6.969497,6.602942,23.123311,16.549972,0.501294,3.202909,0.0182695
"48",107282615,"solute carrier family 35 member B1",500,105,166,1319,272,277,227,743,242,656,127,501,89,431,305,256,454,725,160,206,520,253,355,136,267,268,304,323,195,395,29.914383,27.361415,27.38301,25.013571,36.31646408,33.6743593,7.38763,12.6855,0.13526
"49",107282616,"speckle type BTB/POZ protein",54.07,52.08,49.17,42,31.91,32,23.15,24,41.47,21,56.75,58,25.03,12.99,15.74,23.35,21.58,9.77,57.54,33.45,18,61,112,52.59,51.79,37,28.7,7.43,51,19.45,35.972549,36.349858,35.675239,22.25319661,18.65512311,20.93702441,6.23529,10.8616,0
"50",107282620,"SNF8, ESCRT-II complex subunit",664,366,478,660,267,490,143,361,304,192,313,1185,196,157,223,167,137,275,463,156,419,730,1026,421,443,817,325,121,473,182,13.838678,12.102404,12.365991,66.278362,54.832179,50.178094,42.00882,36.967619,0.786713
"51",107282621,"ubiquitin conjugating enzyme E2Z",82.58,97.22,89.75,100,52.87,72,27.13,74,70,53,106.01,95,35.54,46.75,32.79,50.08,57.53,50,75.02,39.17,69,98,159,83.44,71.86,131,41,69.9,88,71,15.5835,12.8472,11.8227,15.563186,17.509127,16.7066063,8.12381,21.5168,0.0967158
"52",107282630,"CDK5 regulatory subunit associated protein 3",1165,579,813,880,574,1175,276,587,503,546,442,2457,281,424,533,300,370,1132,706,397,726,803,1695,580,801,778,687,578,945,474,6.81551,7.975333614,8.575162,55.8047711,67.6859159,61.65371201,21.9119,22.5219,27.8653
"53",107282631,"proline rich 15 like",465,173,285,374,134,271,131,270,134,216,93,582,106,115,141,127,213,419,175,186,384,244,449,280,441,304,274,106,324,206,1.4379715,2.1737645,1.733889047,0.0577502,0.387558,0.343748,0,1.004,0.615226
"54",107282634,"Sp6 transcription factor",31,30,29,34,23,17,19,74,348,19,42,630,58,8,8,19,14,26,56,16,11,292,2763,22,40,26,25,5,38,12,0.0689295,0.109851,0.142228,0.977857,0.351103,0.02919512,0,0.126634,0
"55",107282635,"secernin 2",28,54,60,41,13,41,11,39,15,47,34,105,28,29,14,29,11,39,66,24,51,81,126,44,49,47,32,2,65,15,6.24208,7.7219628,7.4764265,18.797801,34.790869,43.544818,2.81258,4.41487,7.67815
"56",107282636,"mitochondrial ribosomal protein L10",121,94,112.77,270.96,108.97,139,33,82,101,80.92,84.88,114.95,84,50,35.81,55,33,84.91,103.82,54,100,326.87,345,82,113,251,108.94,25.64,177,57,39.0641,72.5828,73.795,45.94691983,84.311203,88.88652,5.31335,7.78307,17.6122
"57",107282640,"mitochondrial ribosomal protein L45",363,280,470,726,200,415,117,313,270,204,223,619,198,154,148,141,185,267,314,127,328,559,991,261,360,895,254,276,473,209,19.1398,17.6579,18.3936,3.1588,4.1604,2.14654,25.834,46.9157,168.838
"58",107282641,"Rho GTPase activating protein 23",25,63,82,50,40,100,16,69,53,67,77,100,35,37,27,27,35,70,42,27,47,130,412,32,51,75,37,33,130,21,5.801026,8.286522,9.248211,9.836988,21.48832,26.72233,1.13262,4.84169,2.85118
"59",107282642,"SRC kinase signaling inhibitor 1",3,15,16,14,4,18,1,15,2,13,16,8,3,4,0,8,0,2,17,8,6,38,49,17,9,20,1,3,18,6,0.0866757,0.23014342,0.2192972,0.1664383,0.5078703,0.8085913,0.1461288,0.1461436,0.1550136
"60",107282643,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6",14,23,20,38,13,28,10,41,33,30,39,64,31,24,24,19,10,28,47,16,53,74,86,35,45,51,37,20,50,3,19.44406,26.09195,25.836548,43.8845,35.54384,36.72504,3.22358,11.7594,30.1472
"61",107282646,"CDGSH iron sulfur domain 3",14,23,47,84,13,51,9,64,31,23,25,64,23,22,13,39,21,38,54,19,38,77,95,49,31,101,30,32,76,14,37.0943,63.9935,58.49489,11.8898,24.42167,21.72351,401.446,329.383,514.885
"62",107282649,"lysine acetyltransferase 2A",92,100,161,97,69,145,23,64,87,61,104,169,95,48,41,38,51,62,89,52,50,208,511,72,172,198,63,41,177,46,8.084021,10.558295,10.569839,17.974504,17.613239,17.75382,3.04773,6.27444,5.56684
"63",107282654,"potassium voltage-gated channel modifier subfamily G member 4",2,3,3,2,0,1,2,1,1,0,1,1,2,0,0,0,0,0,2,1,0,0,6,1,1,2,0,1,0,0,0.191869,0.203881,0.164983,0.0858027,0.161916,0.15242,0,0,0
"64",107282663,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5.690097,7.907535,7.474416,1.675542,1.05307,0.628922,2.99982,3.22105,0.271045
"65",107282673,"pyridoxamine 5'-phosphate oxidase",4,20,28,9,7,13,5,15,9,13,24,18,10,6,14,11,8,17,9,9,14,39,65,17,15,9,5,0,44,4,7.693019,12.396093,13.33283,5.9447953,19.6238241,10.5584505,8.201012,23.404756,53.9285
"66",107282675,"leucine rich repeat containing 46",13,20,12,37,1,13,1,58,21,16,39,19,30,10,7,31,1,7,35,15,57,114,38,35,11,69,9,3,28,3,0.319456,0.570851,0.704896,0.2927549,1.57993,1.183225,0.199205,1.21549,0.626157
"67",107282677,"N-acetylglucosaminidase, alpha",66,58,76,70,31,97,36,60,40,54,76,52,47,36,32,45,46,100,64,76,37,116,289,53,74,92,55,6,81,19,4.59371,8.32945,8.374572,6.291574,11.264,13.26742,1.22142,2.76136,2.30847
"68",107282727,"cysteine rich secretory protein LCCL domain containing 2",65,197,129,22,13,76,24,12,31,40,68,58,66,50,40,57,42,19,75,40,21,78,97,71,92,106,58,16,51,10,17.4087345,17.4488669,17.8124745,13.301647,25.461297,27.405176,2.15271,3.50445,17.2186
"69",107282747,"serine/threonine kinase 31",0,10,11,8,5,14,0,10,6,3,13,9,2,0,8,1,0,4,6,4,8,17,43,27,1,22,0,0,20,0,0,0.0804532,0,0.3261736,0.263091,1.263412,0,0.0377866,0.078495
"70",107282748,"WAP four-disulfide core domain 1",24,105,89,11,6,31,3,8,86,11,6,109,53,10,20,12,5,3,37,12,5,83,158,41,29,95,18,29,67,3,17.311103,26.48825,28.1476,1.625742,4.160512,3.227628,1.996463,2.939036,16.6076
"71",107282749,"neuropeptide VF precursor",0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"72",107282756,"glycoprotein nmb",81,185,128,81,13,72,26,46,104,22,112,162,749,42,55,27,37,49,426,41,197,259,207,135,101,50,80,11,196,26,1.0352461,2.8495686,2.8647668,24.628766,103.314027,114.68888,0.168487,0.31924,0.287847
"73",107282760,"coiled-coil domain containing 126",167,165,211,244,80,184,75,134,105,140,132,178,78,94,115,77,84,148,175,108,184,200,418,128,157,210,152,67,220,62,1.3791,1.44474,1.40926,2.01446,1.126575,3.403636,1.635174,4.61566,17.6515
"74",107282761,"family with sequence similarity 221 member A",71,83,93,193,76,112,28,110,68,61,62,152,65,83,58,47,33,78,120,50,159,226,107.99,76.99,75,154,86,65,72,47,0.50158,1.2818649,0.6777704,2.46167,2.849039,2.51802,0.7372838,1.629095,4.10464
"75",107282762,"membrane protein, palmitoylated 6",26,58,87,64,12,131,7,70,97,16,88,92,47,19,30,18,15,37,62,28,58,243,505,51,24,161,25,8,124,20,11.301093,7.0912369,7.2216243,0.6686805,0.3417967,0.4597678,0.491955,0.944556,3.610861
"76",107282763,"deafness, autosomal dominant 5",91,134,218,89,17,38,4,13,90,11,67,153,37,20,29,17,13,39,72,21,45,130,450,79,87,140,48,4,61,71,0.83998732,0.750796937,0.63234,2.883279,5.839141,4.2483382,1.11586,0.973205,1.8929
"77",107282764,"oxysterol binding protein like 3",77,469,726,267,93,323,37,293,303,107,463,299,269,132,151,121,88,186,313,195,313,1157,1984,443,193,486.99,223,37,990,78,6.9939212,9.025311,8.607921,2.68487,1.549114,1.090436241,2.471465,7.508071,5.335132
"78",107282765,"cytochrome c",4717,1781,2856,5400,2279,3384,473,1437,1609,1140,2138,2326,1673,1221,678,832,1083,1241,1976,630,1524,3177,3509,3641,3966,6909,1387,9520,8216,3155,26.73946,14.248944,15.66742,146.0138,157.0323,161.2971,364.553,309.134,1319.42
"79",107282769,"sorting nexin 10",218,608,790,513,150,338,42,312,251,188,535,398,263,129,157,136,64,259,363,120,383,565,600,360,263,757,301,46,671,160,3.769053,3.121828,3.014541,0.202073,1.778269701,0.300701,9.68791,5.335572,19.28229
"80",107282770,"src kinase associated phosphoprotein 2",112.94,211.99,266,216.89,67,171.98,51,130.97,141,83.11,126.95,143.52,116,66,70,81,60.44,123,142,107,130,272,580,156.98,115,355.99,123.93,10.33,236.86,58.94,3.1305176,3.3561026,2.9537783,2.529915,0.658379,1.882363,1.06427,2.3872,4.41857
"81",107282778,"secernin 1",68,13,7,167,54,65,16,15,67,38,5,44,8,42,44,3,27,80,15,24,7,16,65,11,46,12,121,59,9,62,5.994322,4.084192,4.602199,6.44995,6.611389,6.499796,0.936805,1.5167281,2.9890426
"82",107282780,"pleckstrin homology domain containing A8",157,207,186,368,115,254,83,135,177,174,101,294,93,107,132,118,136,165,167,155,195,195,559,147,189,234,184,73,212,152,2.417815,1.43978,1.45527,1.57940409,0.855521,0.931256,1.1106315,1.665457,1.524737
"83",107282781,"interleukin 6",12,12,15,44,8,11,5,21,5,19,25,35,6,9,8,7,16,24,13,4,27,17,23,14,8,34,15,8,16,7,0,0,0,3.311312,0.7919352,1.144889,0.0204495,0,0.159215
"84",107282787,"insulin like growth factor 2 mRNA binding protein 3",2,49,46,8,6,20,1,3,19,1,27,14,10,1,11,6,3,0,18,9,4,70,171,32,28,13.98,11,0,33,0,0.7681976,0.6384936,0.7264924,0.0829563,0.0588238,0.0973349,0.0497795,0.124918,0.311055
"85",107282800,"TLR4 interactor with leucine-rich repeats",21,32,25,25,14,26,2,10,27,20,28,36,14,24,18,13,5,9,41,3,14,28,81,29,50,43,29,4,41,24,1.89031,2.38352,2.47857,0.497697,3.0453,3.33276,0.0472159,0.909498,0.391021
"86",107282855,"cartilage oligomeric matrix protein",4,20,22,19,11,7,3,10,18,11,11,7,2,3,7,14,2,1,15,1,3,7,7,44,21,22,27,20,15,8,7.359316,6.802412,7.115021,1.882012,4.186334677,6.168038005,0.871282,0.635069,0.390525
"87",107282876,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit",494,666,776,786,405,580,291,400,756,403,586,545,496,350,256,344,318,272,873,266,453,793,680,541,622,827,455,1190,827,417,404.66619,1072.155263,1088.578717,231.858385,721.8391626,785.349441,340.94,434.118,740.712
"88",107282880,"peptidase (mitochondrial processing) beta",600,311,309,203,342,238,123,156,243,224,305,648,200,268,234,278,211,232,391,221,188,510,750,369,490,127,372,656,319,353,67.7017005,54.165445,54.6866525,24.405918,33.712709,30.061603,24.536,55.4667,40.7473
"89",107282882,"mitochondrial ribosomal protein L54",222,109,109,194,157,79,127,123,180,147,91,160,112,240,181,171,201,155,145,96,158,127,105,126,157,139,156,752,102,177,24.853612,62.1068,56.64158,27.1338,40.4651,44.30489,17.1183,28.3347,101.863
"90",107282883,"chromosome unknown open reading frame, human C19orf25",20,20,14,11,26,11,9,20,16,22,24,28,12,18,11,33,17,21,13,28,5,6,38,23,44,3,12,24,11,1,10.0137,14.5876,14.8941,12.81912278,13.225174,18.902456,1.82673,10.3454,38.66
"91",107282895,"protein phosphatase 2C like domain containing 1",8,21,30,37,4,15,1,36,8,17,27,16,12,4,3,9,9,10,34,2,35,81,36,39,11,65,8,0,35,6,0.0438299,0,0.0532554,0,0.0856622,0.0805706,0.777924,1.17651,6.7867
"92",107282896,"potassium voltage-gated channel subfamily H member 8",0,4,3,2,0,2,0,4,3,2,1,10,5,0,1,0,2,1,3,2,0,16,74,4,2,4,0,0,3,1,0.070367,0.0069198,0.043677,0.2202496,0.03201639,0,0,0,0
"93",107282899,"shugoshin-like 1 (S. pombe)",13,50,65,89,27,148,16,226,87,39,266,52,205,75,29,84,27,21,144,41,131,713,346,164,33,145,36,5,175,4,0.0192227,0.0910814,0.0173538,0.1300483,0.0801518,0.174086,0.0184504,0.0552697,0.0860656
"94",107282900,"lysine acetyltransferase 2B",31,130,107,112,19,119,12,91,63,76,77,86,34,32,44,31,34,53,48,36,72,157,220,57,63,105,47,25,168,27,16.999803,8.289704,8.550993,9.419,14.62973,12.9268,13.657,68.88816,73.78985
"95",107282902,"EF-hand domain family member B",9,104,60,75,15,107,3,51,31,35,38,60,53,16,9,76,14,19,98,29,103,263,83,69,9,210,28,2,78,7,0.0844135,0.0819789,0.1176478,0,0.351826,0,0.0121244,0.0783336,0
"96",107282904,"TBC1 domain family member 5",81,170,142,150,41,133,53,97,117,112,205,109,83,72,70,55,84,130,100,89,97,270,461,84,124,116,116,34,220,31,4.9267446,4.9280514,5.0429373,3.834639,7.362614,4.746134091,1.498438,4.830872,8.208114717
"97",107282905,"phospholipase C like 2",6,56,57,45,20,109,7,59,45,35,119,40,45,22,27,32,11,11,59,16,26,136,98,71,68,123,47,3,156,3,2.5671939,1.517456,1.638525,3.386154,3.813169,3.65855,1.04867,2.8644506,8.8596939
"98",107282907,"oxidoreductase NAD-binding domain containing 1",71,119,129,186,69,128,23,90,59,64,69,150,60,54,65,27,22,68,85,45,97,142,288,34,69,246,59,44,129,51,35.787425,33.97601,36.624454,2.877954935,3.4639428,5.865125,2.92363,6.3809628,7.453309
"99",107282909,"biotinidase",1207.75,280.29,419.12,2077.07,707.59,587.18,320.15,795.36,430.15,1024.67,229.44,921.04,214.38,435.9,339,442.74,538.23,797.59,510,294.62,781.13,408.34,661.5,392.32,762.78,593.03,648.76,268.71,438.16,563.83,10.95809,10.55715,11.4575,5.14808,6.533802,7.650857,4.288970006,7.956484,23.71808
"100",107282911,"ankyrin repeat domain 28",611,629,698,729,216,573,202,573,565,391,669,918,454,294,300,317,296,605,715,327,530,845,1719,641,741,855,515,86,855,396,6.681968735,4.055149,4.1723303,7.386801,8.64203,7.749542,1.105393373,3.388223,4.9755178
