Pm_pro,Pm_geneid,Pm_description,target_id,cro_vg.un.,cro_vg_1,cro_vg_2,cro_vg_3(surrogate)
XP_015665694.1,107282430,E3 ubiquitin-protein ligase TRIM39,crovir-protein-2747,3.68704,0.597928,0.416064,1.567010667
XP_015665696.1,107282432,synaptotagmin-3,crovir-protein-2722,0,0.015232,0.0112776,0.008836533
XP_015665697.1,107282434,transcription factor Spi-B,crovir-protein-2733,2.21784,0.123406,0.0571042,0.799450067
XP_015665699.1,107282436,neurotrophin-4,crovir-protein-2707,1.09812,0,0.173998,0.424039333
XP_015665701.1,107282437,"carnitine O-palmitoyltransferase 1, brain isoform",crovir-protein-2715,0,0.0502676,0.0743824,0.04155
XP_015665703.1,107282439,ras-related protein R-Ras,crovir-protein-2696,1.81162,2.0754,2.16611,2.01771
XP_015665704.1,107282440,putative ADP-ribosylation factor-like protein 5C,crovir-protein-2685,2.25431,0.364951,0.983049,1.20077
XP_015665709.1,107282446,toll-like receptor 13,crovir-protein-2887,0.611542,0.127424,0.290987,0.343317667
XP_015665712.1,107282449,"protein tweety homolog 1-like, partial",crovir-protein-2889,0,0.0552919,0.163282,0.072857967
XP_015665713.1,107282450,immunoglobulin superfamily member 1,crovir-protein-2880,3.50889,0.25334,0.260535,1.340921667
XP_015665717.1,107282451,fructosamine-3-kinase,crovir-protein-14134,0.225282,0.0942383,0.278925,0.199481767
XP_015665718.1,107282455,lysoplasmalogenase,crovir-protein-2870,0,0.185276,0.102654,0.095976667
XP_015665719.1,107282456,synaptotagmin-1,crovir-protein-2873,0,0,0.101115,0.033705
XP_015665725.1,107282463,hydroxyproline dehydrogenase-like,crovir-protein-2813,0.765964,0.0801775,0.217483,0.3545415
XP_015665726.1,107282464,battenin,crovir-protein-2809,19.3775,17.8565,22.7078,19.9806
XP_015665727.1,107282461,dual specificity mitogen-activated protein kinase kinase 4,crovir-protein-14145,11.6408,12.2445,14.5459,12.8104
XP_015665731.1,107282469,ER lumen protein-retaining receptor 1,crovir-protein-2912,48.7007,35.3764,44.127,42.7347
XP_015665743.1,107282480,leukocyte receptor cluster member 9-like,crovir-protein-2893,9.44852,3.35504,4.51318,5.772246667
XP_015665745.1,107282482,hsp70-binding protein 1,crovir-protein-2871,11.9595,4.72395,8.41878,8.36741
XP_015665748.1,107282484,"dynein assembly factor 3, axonemal",crovir-protein-2876,0,0.11936,0.117624,0.078994667
XP_015665749.1,107282485,"branched-chain-amino-acid aminotransferase, mitochondrial",crovir-protein-2866,48.1147,119.124,140.084,102.4409
XP_015665751.1,107282487,protein phosphatase 1 regulatory subunit 15A,crovir-protein-2867,11.5519,6.11882,7.68293,8.451216667
XP_015665752.1,107282488,nucleobindin-1,crovir-protein-2863,211.394,188.188,194.956,198.1793333
XP_015665754.1,107282491,60S ribosomal protein L13a,crovir-protein-2861,1803.21,752.719,892.462,1149.463667
XP_015665757.1,107282490,manganese-dependent ADP-ribose/CDP-alcohol diphosphatase,crovir-protein-14146,5.13868,5.62884,6.35487,5.707463333
XP_015665760.1,107282496,orphan sodium- and chloride-dependent neurotransmitter transporter NTT5,crovir-protein-2851,6.27013,9.87826,10.371,8.839796667
XP_015665765.1,107282159,delta-like protein 4,crovir-protein-7304,0,0.155768,0.104852,0.086873333
XP_015665766.1,107282465,bifunctional 3\'-phosphoadenosine 5\'-phosphosulfate synthase 1,crovir-protein-4405,5.45038,2.47367,2.93525,3.619766667
XP_015665767.1,107282500,protein arginine N-methyltransferase 1 isoform X2,crovir-protein-2848,78.7555,35.8783,46.5091,53.7143
XP_015665779.1,107282510,sarcoplasmic/endoplasmic reticulum calcium ATPase 1,crovir-protein-2816,1.34164,0,0,0.447213333
XP_015665786.1,107282515,apolipoprotein B receptor,crovir-protein-2818,4.59194,19.4485,22.1169,15.38578
XP_015665791.1,107282518,sulfotransferase family cytosolic 1B member 1,crovir-protein-2841,8.11763,5.67345,4.93996,6.24368
XP_015665799.1,107282525,membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,crovir-protein-2787,1.36154,0.806903,1.17655,1.114997667
XP_015665803.1,107282527,serine/arginine repetitive matrix protein 2,crovir-protein-2792,28.3856,44.6863,50.4106,41.16083333
XP_015665809.1,107282530,tRNA-splicing endonuclease subunit Sen34,crovir-protein-2910,6.93524,3.55854,4.81981,5.10453
XP_015665810.1,107282531,glutamate-rich WD repeat-containing protein 1,crovir-protein-2908,39.3536,24.8251,37.1261,33.76826667
XP_015665820.1,107282539,"troponin T, slow skeletal muscle",crovir-protein-2896,3.00166,0,0.484479,1.162046333
XP_015665823.1,107282543,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase",crovir-protein-2868,0,0,0.0786075,0.0262025
XP_015665824.1,107282544,PIH1 domain-containing protein 1,crovir-protein-2855,5.30696,5.73419,5.26969,5.436946667
XP_015665835.1,107282553,protein ADP-ribosylarginine hydrolase,crovir-protein-2814,0.878313,0.508539,0.717214,0.701355333
XP_015665836.1,107282554,calcium-binding protein 5,crovir-protein-2815,0.672293,0,0,0.224097667
XP_015665838.1,107282556,sulfotransferase 1C1-like,crovir-protein-2833,0,0,0.268045,0.089348333
XP_015665842.1,107282560,SAGA-associated factor 29,crovir-protein-2837,9.53556,11.7479,13.3912,11.55822
XP_015665850.1,107282569,dual specificity mitogen-activated protein kinase kinase 6,crovir-protein-14389,1.70956,0.361402,0.53344,0.868134
XP_015665851.1,107282570,regulator of G-protein signaling 9,crovir-protein-14398,0.660888,0.90141,1.17913,0.913809333
XP_015665852.1,107282571,guanine nucleotide-binding protein subunit alpha-13,crovir-protein-14400,5.47092,6.94189,8.68688,7.03323
XP_015665861.1,107282575,arylsulfatase G,crovir-protein-14402,20.5141,35.9152,35.7503,30.72653333
XP_015665862.1,107282576,cAMP-dependent protein kinase type I-alpha regulatory subunit,crovir-protein-14392,22.4022,19.3078,22.4833,21.39776667
XP_015665864.1,107282577,pseudokinase FAM20A,crovir-protein-14394,0.64928,0.162484,0.170447,0.327403667
XP_015665869.1,107282582,G protein-activated inward rectifier potassium channel 1-like,crovir-protein-2690,0,0,0.0183181,0.006106033
XP_015665871.1,107282583,sclerostin,crovir-protein-2671,0,0,0,0
XP_015665872.1,107282584,homeobox protein MOX-1,crovir-protein-2673,0,0,0,0
XP_015665873.2,107282585,homeobox protein DLX-4,crovir-protein-2658,1.4995,0.440094,0.511442,0.817012
XP_015665878.1,107282591,homeobox protein Hox-B13,crovir-protein-2643,0,0,0,0
XP_015665880.2,107282593,homeobox protein Hox-B1,crovir-protein-2626,0,0,0.0964143,0.0321381
XP_015665881.1,107282562,phosphatidylcholine:ceramide cholinephosphotransferase 2,crovir-protein-4400,5.46767,5.1759,8.35116,6.331576667
XP_015665884.1,107282595,T-box transcription factor TBX21,crovir-protein-2621,0,0.190463,0,0.063487667
XP_015665885.1,107282596,suppressor of cytokine signaling 7,crovir-protein-2616,1.83128,0.383454,0.344442,0.853058667
XP_015665889.1,107282600,protein LSM12 homolog,crovir-protein-2694,32.9244,24.3975,29.7348,29.0189
XP_015665891.1,107282601,MAGUK p55 subfamily member 3,crovir-protein-2695,0.16161,0.0504781,0.0623193,0.091469133
XP_015665892.1,107282602,ras-related protein Rab-18-B-like,crovir-protein-2692,0,0,0,0
XP_015665893.1,107282603,dual specificity protein phosphatase 3,crovir-protein-2675,0.613182,0.257146,0.404086,0.424804667
XP_015665894.1,107282604,transmembrane protein 101,crovir-protein-2672,7.12121,6.73819,8.38294,7.414113333
XP_015665897.1,107282606,alpha-sarcoglycan,crovir-protein-2679,0,0.206594,0.305841,0.170811667
XP_015665900.1,107282608,sterile alpha motif domain-containing protein 14,crovir-protein-2669,0.284773,0.0296619,0.139141,0.151191967
XP_015665901.1,107282609,"pyruvate dehydrogenase kinase, isozyme 2",crovir-protein-2667,1.63807,1.50749,1.68677,1.610776667
XP_015665903.1,107282611,homeobox protein DLX-3,crovir-protein-2659,0,0.0497376,0,0.0165792
XP_015665904.1,107282612,histone acetyltransferase KAT7,crovir-protein-2664,2.87223,2.79159,2.94053,2.868116667
XP_015665906.1,107282615,solute carrier family 35 member B1,crovir-protein-2665,67.1731,87.1946,87.8655,80.7444
XP_015665907.1,107282616,speckle-type POZ protein,crovir-protein-2663,15.7905,18.4301,21.176,18.46553333
XP_015665908.1,107282617,prohibitin,crovir-protein-2641,38.9476,28.6127,32.933,33.49776667
XP_015665910.1,107282618,zinc finger protein 652,crovir-protein-2640,22.1206,23.7814,27.1036,24.3352
XP_015665912.1,107282620,vacuolar-sorting protein SNF8,crovir-protein-2655,13.173,13.0716,13.3621,13.20223333
XP_015665913.2,107282621,ubiquitin-conjugating enzyme E2 Z,crovir-protein-2652,13.5045,6.60987,8.39145,9.50194
XP_015665914.1,107282622,"ATP synthase F(0) complex subunit C1, mitochondrial",crovir-protein-2650,77.7024,42.9556,51.8437,57.50056667
XP_015665921.1,107282624,"ankyrin repeat domain-containing protein 42, partial",crovir-protein-3335,0,0.272582,0,0.090860667
XP_015665924.1,107282629,coatomer subunit zeta-2,crovir-protein-2632,86.2559,153.668,160.716,133.5466333
XP_015665925.1,107282630,CDK5 regulatory subunit-associated protein 3,crovir-protein-2628,46.5497,38.0176,40.1576,41.57496667
XP_015665927.1,107282632,transcription factor Sp2 isoform X1,crovir-protein-2633,5.46798,3.42711,4.56293,4.486006667
XP_015665929.1,107282634,transcription factor Sp6,crovir-protein-2638,4.87875,8.87358,10.0155,7.92261
XP_015665930.1,107282635,secernin-2,crovir-protein-2636,4.6069,6.36796,5.93141,5.635423333
XP_015665931.1,107282636,"39S ribosomal protein L10, mitochondrial",crovir-protein-2635,22.5634,42.2793,49.961,38.2679
XP_015665932.1,107282633,pre-mRNA cleavage complex 2 protein Pcf11,crovir-protein-4098,2.27911,3.61034,3.92685,3.2721
XP_015665936.1,107282640,"39S ribosomal protein L45, mitochondrial",crovir-protein-2615,21.7198,16.3588,20.4531,19.51056667
XP_015665938.1,107282642,SRC kinase signaling inhibitor 1,crovir-protein-2617,0,0,0,0
XP_015665940.1,107282645,"coenzyme Q-binding protein COQ10 homolog B, mitochondrial-like",crovir-protein-2607,1.19663,0.0632981,0.186819,0.482249033
XP_015665941.1,107282646,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial",crovir-protein-2610,7.66798,5.15246,4.81248,5.87764
XP_015665942.1,107282647,bifunctional coenzyme A synthase,crovir-protein-2608,12.7428,10.6645,11.7444,11.71723333
XP_015665944.1,107282648,ras-related protein Rab-5C,crovir-protein-2603,17.9504,19.5686,22.94,20.153
XP_015665945.1,107282649,histone acetyltransferase KAT2A,crovir-protein-2605,3.26655,1.99937,2.50475,2.590223333
XP_015665946.1,107282650,signal transducer and activator of transcription 5B,crovir-protein-2604,0.778709,0.763862,0.517384,0.686651667
XP_015665948.1,107282651,signal transducer and activator of transcription 3 isoform X2,crovir-protein-2598,10.1928,11.3152,12.7321,11.41336667
XP_015665949.1,107282652,caveolae-associated protein 1,crovir-protein-2597,1.53109,1.01502,1.46227,1.336126667
XP_015665950.1,107282653,V-type proton ATPase 116 kDa subunit a,crovir-protein-2599,13.988,20.8516,23.272,19.37053333
XP_015665951.1,107282655,glucose-6-phosphatase 3,crovir-protein-2691,8.75224,6.08707,6.23064,7.023316667
XP_015665952.1,107282656,ETS translocation variant 4,crovir-protein-2676,0.308006,0.0968792,0.191042,0.1986424
XP_015665953.1,107282657,goannatyrotoxin-Vere1-like,crovir-protein-2674,1.11694,0.430244,0.520371,0.689185
XP_015665954.1,107282654,potassium voltage-gated channel subfamily G member 4,crovir-protein-11446,0,0,0,0
XP_015665958.1,107282660,neurexophilin-3,crovir-protein-2660,1.33178,1.02125,1.30528,1.219436667
XP_015665960.2,107282662,LOW QUALITY PROTEIN: tumor necrosis factor receptor superfamily member 16,crovir-protein-2661,0.917966,0.192477,0.0711682,0.3938704
