ens_gene,Pm_geneid,Pm_geneid2,slg_1,slg_2,smg_1,smg_2,pg_1,pg_2,
ENSMUSG00000003344,XP_015665560.1,107282302,2.656717,2.177547,2.04288,2.814011,1.501228,0.7055359,
ENSMUSG00000023073,XP_015665561.1,107282299,0.0228853,0.0395639,0.0902694,0.022373,0.0462564,0,
ENSMUSG00000020211,XP_015665562.1,107282303,0.450001,0.410313,0,0.177649,0.105974,0.132683,
ENSMUSG00000063410,XP_015665610.1,107282350,3.7153779,2.965554,2.3430245,3.7390419,0.843976,1.279468,
ENSMUSG00000025557,XP_015665621.1,107282362,0.0344618,0.0982482,0.2112675,1.79824,0.0147156,0.0603692,
ENSMUSG00000008028,XP_015665627.1,107282371,0.034797,0.0220001,0.104493,0.0622292,0,0,
ENSMUSG00000038670,XP_015665629.1,107282374,0.0262589,0.018267,0,0.0257667,0.674798,0,
ENSMUSG00000003872,XP_015665631.1,107282376,1.471693,1.614235,1.147475,1.08256,0.160518,0.497083,
ENSMUSG00000025558,XP_015665632.1,107282373,1.8747671,1.07724383,0.7101687,0.79281009,0.5932745,0.3983878,
ENSMUSG00000070336,XP_015665636.1,107282380,0.27606,0.1931904,0.0758196,0,0.0646549,0.0583399,
ENSMUSG00000046828,XP_015665643.1,107282384,0,0,0,0.0649768,0.0318692,0.0310562,
ENSMUSG00000005575,XP_015665646.1,107282388,5.647731,4.651684,9.670374,15.240701,3.782986,3.550736,
ENSMUSG00000005566,XP_015665647.1,107282389,12.9328076,8.057148,11.193727,13.015824,6.428447,5.49803,
ENSMUSG00000022760,XP_015665653.1,107282395,12.109545,11.432887,2.875274,7.751981,4.163594444,2.832363,
ENSMUSG00000028031,XP_015665655.1,107282361,0.0128824,0.0793178,0.0751916,0.0890497,0.0127012,0.0169867,
ENSMUSG00000038695,XP_015665657.1,107282397,14.895804,12.246231,2.4989513,6.372161329,5.0530639,2.9831721,
ENSMUSG00000004473,XP_015665659.1,107282399,0.774725,0.786208,0.428269,0.633135,0.230227,0.261071,
ENSMUSG00000038644,XP_015665662.1,107282401,2.063366,1.09024652,2.3557613,1.622976,0.779057,0.455394103,
ENSMUSG00000060601,XP_015665663.1,107282402,9.300409,7.446554868,5.71541,8.7733353,2.720255,2.8380378,
ENSMUSG00000003868,XP_015665664.1,107282404,5.586704,5.100579,1.840773,4.637361,2.92708434,2.080599,
ENSMUSG00000038260,XP_015665665.1,107282405,8.7058327,5.512313,5.803118,7.4181673,2.0670025,1.5370597,
ENSMUSG00000039208,XP_015665667.1,107282403,3.33302,2.183878,5.311898,7.27141,1.282178,0.887697,
ENSMUSG00000003863,XP_015665668.1,107282407,0.0522117,0.01152,0.0865931,0.102995737,0.0230442,0,
ENSMUSG00000002968,XP_015665673.1,107282411,2.3519104,1.0195241,1.2956937,0.8570601,0.391917099,0.4873594,
ENSMUSG00000011658,XP_015665674.1,107282412,1.6601536,1.10431229,0.299805,0.5880038,0.6164085,0.294249,
ENSMUSG00000039230,XP_015665679.1,107282413,17.0962043,18.856141,5.405647,9.457849,5.23861,3.646895,
ENSMUSG00000003421,XP_015665680.1,107282416,12.748928,17.185779,5.682857,14.832474,7.178192,4.983047,
ENSMUSG00000007837,XP_015665681.1,107282417,13.007654,12.709306,4.992769,12.183862,7.680899,8.1558528,
ENSMUSG00000003184,XP_015665683.1,107282419,11.097868,8.5505031,8.368796889,5.114606,5.9393848,4.486311452,
ENSMUSG00000038366,XP_015665684.1,107282420,25.3556567,16.434336,5.419953,12.622576,3.964426,2.4352828,
ENSMUSG00000020705,XP_015665686.1,107282422,4.0168,3.91305,2.237074,4.42692,1.28605,1.472106,
ENSMUSG00000039238,XP_015665690.1,107282423,6.29634,5.20353,1.05449,3.9001,0.942066,0.956885,
ENSMUSG00000049600,XP_015665691.1,107282426,0.513336,0.595192,0.65742,0.849387,0.248775,0.251066,
ENSMUSG00000047085,XP_015665695.1,107282431,0.0796722,0.0123521,0,0,0.0168691,0,
ENSMUSG00000030731,XP_015665696.1,107282432,0.957158,0.599803,0.583538,0.271889,0.594985,0.764713,
ENSMUSG00000008193,XP_015665697.1,107282434,0.0173331,0.0241266,0,0.0849791,0.0712571,0.0294963,
ENSMUSG00000002963,XP_015665698.1,107282435,3.427609228,3.8506697,2.9929096,3.5911258,3.003288,2.3199802,
ENSMUSG00000074121,XP_015665699.1,107282436,0.102761,0.0533421,0.212063,0.126322,0.0484273,0.086552,
ENSMUSG00000046605,XP_015665700.1,107282433,1.007,1.54121,0.366696,0.824911,0.264393,0.2807821,
ENSMUSG00000025175,XP_015665717.1,107282451,3.709603,2.949771,4.2165018,4.464983,5.325674,5.3028647,
ENSMUSG00000045282,XP_015665718.1,107282455,0.6077381,0.1689624,0.145684,0.362248,0.1034982,0.1404543,
ENSMUSG00000036892,XP_015665725.1,107282463,0.113804,0.1703015,0.062437,0.142095,0.1460978,0.191195,
ENSMUSG00000030720,XP_015665726.1,107282464,18.8948176,28.7693413,9.8063176,28.519073,11.1453624,9.488275,
ENSMUSG00000033352,XP_015665727.1,107282461,2.67171,1.567324,2.344499,2.872569,0.93156,0.7409197,
ENSMUSG00000043432,XP_015665743.1,107282480,1.09026,0.644896,0.307782,0.455263,0.232191,0.204882,
ENSMUSG00000063802,XP_015665745.1,107282482,9.168656,6.25446,2.35029,4.207015,1.730916,1.311894,
ENSMUSG00000055809,XP_015665748.1,107282484,2.04287,2.08741,0.477717,0.717781,2.36088,0.659813,
ENSMUSG00000030826,XP_015665749.1,107282485,104.51888,163.409476,37.39699,47.065199,42.5724971,43.2707559,
ENSMUSG00000030825,XP_015665750.1,107282486,0.284174,0.459526483,0.294987,0,0.0383358,0,
ENSMUSG00000040435,XP_015665751.1,107282487,5.432983,6.46672,7.00521,4.2391517,3.158988,2.21833,
ENSMUSG00000030824,XP_015665752.1,107282488,70.646659,93.4741263,4.7620954,26.0576813,12.2564144,10.3875312,
ENSMUSG00000020910,XP_015665757.1,107282490,5.821951,5.720116,2.500008,5.318422,1.687264,2.434604,
ENSMUSG00000027314,XP_015665765.1,107282159,0.113612,0.0175622,0.0628818,0.0906731,0.0120165,0.0771792,
ENSMUSG00000028032,XP_015665766.1,107282465,20.57102,23.63366,8.849045,39.071191,7.98346,8.550163,
ENSMUSG00000030730,XP_015665779.1,107282510,0.288232,0.0400176,0.155049,0.0927845,8.93907,0.1578654,
ENSMUSG00000035585,XP_015665809.1,107282530,5.249853,2.742359,3.523702,5.2282354,1.9276387,2.00327,
ENSMUSG00000053801,XP_015665810.1,107282531,2.689239,3.907761,2.17587364,2.917056,1.1496662,0.945415,
ENSMUSG00000064179,XP_015665820.1,107282539,4.241993613,3.36919,0.2912415,0.589933,0.2093581,0.3410483,
ENSMUSG00000003423,XP_015665824.1,107282544,11.740371,12.542558,5.053196,7.89885,4.884965,4.014872,
ENSMUSG00000005649,XP_015665836.1,107282554,0.0285698,0,0,0.0279511,0.0270718,0,
ENSMUSG00000030714,XP_015665842.1,107282560,25.353261,21.552027,15.240349,32.394521,21.15015,15.877946,
ENSMUSG00000020623,XP_015665850.1,107282569,0.7033061,0.5718666,0.556164,0.343228,0.137064,0.1456907,
ENSMUSG00000020599,XP_015665851.1,107282570,0.0464641,0.0441256,0.104372,0.1196212,0.0201895,0.030295,
ENSMUSG00000020611,XP_015665852.1,107282571,6.61478,6.70328,1.917546,5.50092,1.834876,2.33853,
ENSMUSG00000020604,XP_015665861.1,107282575,1.277424,0.58847499,0.341351258,0.674777001,0.351913623,0.349775001,
ENSMUSG00000020612,XP_015665862.1,107282576,26.341147,31.681817,7.402614,18.610557,7.5802241,6.715295,
ENSMUSG00000020614,XP_015665864.1,107282577,0.192814,0.1052134,0.353231,1.445931,3.41187,2.7820368,
ENSMUSG00000041695,XP_015665867.1,107282580,0.0681983,0.094837,0.085051,0.084112,0.0487466,0.0072827,
ENSMUSG00000051497,XP_015665868.1,107282581,0.073331001,0.4034455,1.139302,13.69128,0.274359,0.358265,
ENSMUSG00000001494,XP_015665871.1,107282583,0.0482063,0,0,0,0.0457372,0,
ENSMUSG00000001493,XP_015665872.1,107282584,0.265932,0.0308629,0.110025,0.434157,0.210376,0.169332,
ENSMUSG00000049604,XP_015665878.1,107282591,0,0,0,0,0,0,
ENSMUSG00000018973,XP_015665880.2,107282593,0.166916,0.215894,0.733932,0.1868,0.135753,0.020229,
ENSMUSG00000001444,XP_015665884.1,107282595,0.0392466,0,0,0,0.0559264,0,
ENSMUSG00000038485,XP_015665885.1,107282596,1.761723,1.09355,0.719835,1.12054,0.81254,0.818274,
ENSMUSG00000003518,XP_015665893.1,107282603,4.144287,5.116811,1.868022,4.257745,1.540283,0.878455,
ENSMUSG00000020921,XP_015665894.1,107282604,6.0498566,7.25861,2.27452,4.551662,2.3159358,1.77605,
ENSMUSG00000001508,XP_015665897.1,107282606,0,0.0249063,0.0588286,0,0.4497103,0.0602728,
ENSMUSG00000047181,XP_015665900.1,107282608,0.560979,0.170219,0.119608,0.268091,0.0685158,0.0612966,
ENSMUSG00000038967,XP_015665901.1,107282609,29.189695,34.977449,10.60647,26.131289,13.444136,11.7311033,
ENSMUSG00000020873,XP_015665906.1,107282615,33.166173,48.623418,22.786218,60.650577,29.47224,27.545739,
ENSMUSG00000057522,XP_015665907.1,107282616,27.691764,32.899472,13.39187,29.956944,17.242177,16.394226,
ENSMUSG00000038845,XP_015665908.1,107282617,58.419783,72.6330441,45.488792,107.467814,39.995416,34.98722,
ENSMUSG00000075595,XP_015665910.1,107282618,3.66759122,4.3488823,1.215334,3.5611626,1.04801,1.23168,
ENSMUSG00000006058,XP_015665912.1,107282620,8.621379,7.500089,7.595117,9.435477,2.010944,2.870215,
ENSMUSG00000014349,XP_015665913.2,107282621,4.31461,3.68978,3.40689,5.25303,3.73771,2.72515,
ENSMUSG00000041343,XP_015665921.1,107282624,2.4538425,1.857805326,0.252711987,0.102204038,0.2443631,0.228186992,
ENSMUSG00000018672,XP_015665924.1,107282629,46.171717,54.031747,37.29103,24.03310344,18.077743,23.353249,
ENSMUSG00000018669,XP_015665925.1,107282630,55.905623,94.915504,14.213869,31.265511,18.568539,18.389463,
ENSMUSG00000047040,XP_015665926.1,107282631,71.592435,90.11885,16.0882,58.58086,12.3518771,11.0432507,
ENSMUSG00000038560,XP_015665929.1,107282634,0.0937009,0.00931213,0.111102,0.0656714,0.0254787,0,
ENSMUSG00000020877,XP_015665930.1,107282635,4.684623,3.9832928,0.963902,2.637349,2.11972,1.51934,
ENSMUSG00000041328,XP_015665932.1,107282633,2.867865,2.6074355,3.783667,3.5321474,0.9356994,1.577093,
ENSMUSG00000018882,XP_015665936.1,107282640,5.61089,6.19381,2.96682,6.841077,2.67638,2.59989,
ENSMUSG00000038453,XP_015665938.1,107282642,0.0065172,0,0.057422,0.0064032,0.01426387,0,
ENSMUSG00000078695,XP_015665941.1,107282646,41.558112,51.505033,91.42303,39.85463,20.199265,6.56806,
ENSMUSG00000001755,XP_015665942.1,107282647,8.9993913,10.24213,2.49468,6.9384311,3.897,3.1032252,
ENSMUSG00000031841,XP_015665943.1,107282644,2.349177,3.962094219,0.1655163,0.958679,0.354044937,0.4772654,
ENSMUSG00000019173,XP_015665944.1,107282648,12.599285,6.286459,5.369291,4.41873,1.937355,1.13437,
ENSMUSG00000020918,XP_015665945.1,107282649,1.728966,1.319656,2.14924434,2.162753464,1.373569601,1.042142,
ENSMUSG00000004044,XP_015665949.1,107282652,13.318417,8.19053,5.24135,9.5942474,5.5741878,3.38738,
ENSMUSG00000019302,XP_015665950.1,107282653,4.2388291,4.0901001,2.201592036,3.7165335,1.2430239,1.6345061,
ENSMUSG00000034793,XP_015665951.1,107282655,7.595195,12.286183,4.7270763,10.3764052,3.85048495,3.3669171,
ENSMUSG00000017724,XP_015665952.1,107282656,0.0210312,0,0,0,0,0,
ENSMUSG00000017311,XP_015665953.1,107282657,0,0,0,0,0,0,
ENSMUSG00000045246,XP_015665954.1,107282654,0.05376118,0,0.0206175,0.0243699,0.0118196,0,
ENSMUSG00000046719,XP_015665958.1,107282660,0.0236804,0.0329843,0.0391687,0.115947,0.0224702,0,
ENSMUSG00000000120,XP_015665960.2,107282662,0.0138172,0.125176,0.530206,21.9441,0.0661113,0.0588799,
ENSMUSG00000038811,XP_015665961.1,107282663,5.947772,1.7936472,9.5393144,4.1451758,2.198526,2.823904,
ENSMUSG00000013415,XP_015665962.1,107282664,0.100066,0.03874047,0.1001829,0.10286261,0.16167315,0.083893,
ENSMUSG00000074064,XP_015665966.1,107282665,5.94684,3.7226082,3.54926,3.47152,2.12462,1.74144,
ENSMUSG00000038700,XP_015665969.1,107282669,0.0346932,0.0120727,0,0.0170076,0,0,
ENSMUSG00000000690,XP_015665970.1,107282670,0.0511146,0,0,0,0.0381297,0,
ENSMUSG00000075588,XP_015665972.2,107282672,0,0,0.0521047,0.0308859,0.0299057,0,
ENSMUSG00000018659,XP_015665973.1,107282673,12.100059,16.0593337,3.366331,14.0691,4.37713,4.2726571,
ENSMUSG00000020878,XP_015665974.1,107282675,0.597511,0.166747,0,0.0388874,0.112873,0,
ENSMUSG00000001751,XP_015665976.1,107282677,2.79596,2.01246,1.03988,1.13719,0.704819,0.711533,
ENSMUSG00000049350,XP_015665986.1,107282686,0,0,0.821892,1.098406,0,0,
ENSMUSG00000001983,XP_015665998.1,107282698,3.55518,3.41323,0.880779,2.9118,1.15595,1.06326,
ENSMUSG00000034112,XP_015666002.1,107282697,3.39592,3.92082,0,0.0581865,0.0846437,0.0896584,
ENSMUSG00000031827,XP_015666012.1,107282707,3.39371,1.53212,1.65232,1.9591,1.04018,1.01063,
ENSMUSG00000031826,XP_015666023.1,107282716,6.0060583,6.362381325,4.7607534,6.8035147,3.4553592,3.0252292,
ENSMUSG00000047721,XP_015666024.1,107282720,40.9878107,29.9063679,33.925101,38.0316294,13.064687,12.984551,
ENSMUSG00000031825,XP_015666034.1,107282727,3.891014,2.459213,1.82964,2.217911,1.390783,1.536409,
ENSMUSG00000044313,XP_015666040.1,107282735,0.0266755,0.0249835,0.0297455,0.0351896,0.0126938,0,
ENSMUSG00000031823,XP_015666044.1,107282737,1.46875,0.858928,0.958938,1.9769,0.475546,0.36160028,
ENSMUSG00000023403,XP_015666050.1,107282747,0.0431102,0,0,0,0,0,
ENSMUSG00000029831,XP_015666051.1,107282749,0,0,0,0,0,0,
ENSMUSG00000023336,XP_015666054.1,107282748,0.618007,0.0808333,0.444909,0.150865,0.109486,0,
ENSMUSG00000029816,XP_015666058.1,107282756,0.2578205,0.1847422,0.0679959,0.1274326,0.03825604,0.102676,
ENSMUSG00000092118,XP_015666060.1,107282758,0.181423,0.0842948,0.199601,0.118292,0.0286382,0.127888,
ENSMUSG00000050786,XP_015666061.1,107282760,2.21364,2.07919,0.829822,1.962676,0.376809,0.408027,
ENSMUSG00000047115,XP_015666062.1,107282761,10.057836,13.571516,4.496563,8.935171,7.905556,8.755439,
ENSMUSG00000038388,XP_015666063.1,107282762,4.4913022,3.0064169,7.703647,16.557392,2.4283983,2.9283569,
ENSMUSG00000034105,XP_015666065.1,107282759,2.57367,3.076275,0.713498,2.11341,0.943666,0.7016096,
ENSMUSG00000029821,XP_015666066.1,107282763,1.45533269,1.9889065,1.452887,6.598686,0.5311763,0.4285064,
ENSMUSG00000029822,XP_015666067.1,107282764,0.6275322,0.497608,0.2709298,0.3116082,0.1354244,0.0901173,
ENSMUSG00000038301,XP_015666077.1,107282769,10.216637,8.0871178,12.428227,44.772059,2.8178349,2.2756318,
ENSMUSG00000031828,XP_015666078.1,107282767,0.385755,0.52931,0.262821,0.488954,0.193841,0.115562,
ENSMUSG00000059182,XP_015666079.1,107282770,6.2804372,7.41304722,3.6611765,3.8665771,3.0142402,2.205644,
ENSMUSG00000029776,XP_015666080.1,107282771,24.9866626,25.8632257,12.9131207,19.4017264,7.3921885,8.753358,
ENSMUSG00000063568,XP_015666083.1,107282773,0.26928,0.218767,0.303807,0.17584,0.149413,0.155789,
ENSMUSG00000004633,XP_015666087.1,107282777,1.437781,0.737172,1.410672,1.6031701,0.980523,0.639312,
ENSMUSG00000019124,XP_015666088.1,107282778,0.529177,0.1863213,0.447485,0.2864469,0.945239,0.214416,
ENSMUSG00000005225,XP_015666092.1,107282780,0.2927935,0.3029612,0.635838,0.688643,0.0834351,0.2739818,
ENSMUSG00000025746,XP_015666093.1,107282781,0,0,0,0,0,0,
ENSMUSG00000028998,XP_015666094.1,107282782,70.845,60.5515,42.7433,64.4937,28.5361,26.5187,
ENSMUSG00000028986,XP_015666095.1,107282783,5.85353,7.1525949,1.7060193,3.6299142,1.645912,1.6043838,
ENSMUSG00000048439,XP_015666096.1,107282784,2.080096,1.3701841,0.438375,0.627203,0.15711,0.140642,
ENSMUSG00000029815,XP_015666097.1,107282785,4.075291,3.5313604,2.8877131,3.3716559,1.138432,1.676449,
ENSMUSG00000029814,XP_015666098.1,107282787,1.8845307,2.9769304,3.0036407,2.3446122,1.205656,1.092531,
ENSMUSG00000029819,XP_015666099.1,107282788,0,0,0,0,0,0,
ENSMUSG00000029844,XP_015666100.1,107282789,0.065731,0.0339989,0,0,0,0,
ENSMUSG00000038253,XP_015666104.1,107282792,0.0536964,0,0.0443596,0,0.025453,0.0227457,
ENSMUSG00000043219,XP_015666105.1,107282793,0,0,0,0,0,0,
ENSMUSG00000000938,XP_015666107.1,107282795,0,0.0765042,0,0.0524217,0.018034,0,
ENSMUSG00000038210,XP_015666108.1,107282796,0,0,0,0,0,0,
ENSMUSG00000038203,XP_015666109.1,107282798,0.324835698,0,0,0.0398418,0,0,
ENSMUSG00000005503,XP_015666110.1,107282799,0.0545673,0,0.0277774,0,0,0,
ENSMUSG00000043496,XP_015666111.1,107282800,0.155863,0.102377,0.24476,0.280632,0.082521,0.0665727,
ENSMUSG00000037905,XP_015666112.1,107282797,1.081732,0.7268062,1.094264,0.822745,0.240061,0.3132887,
ENSMUSG00000042453,XP_015666135.1,107282817,0.325256,0.09027213,0.1078183,0.8860017,0.51574867,0.8511875,
ENSMUSG00000008348,XP_015666146.1,107282827,570.126983,1038.195833,247.9767,1040.20271,503.964972,456.1342452,
ENSMUSG00000003070,XP_015666162.1,107282844,0.0698531,0.0162157,0,0,0.0220969,0.0197583,
ENSMUSG00000029014,XP_015666163.1,107282842,1.850215,1.4409126,1.339763,1.6229374,0.737452,0.651352,
ENSMUSG00000069565,XP_015666166.1,107282848,2.8222027,1.402984,1.512454,1.326518,0.713445,0.3714554,
ENSMUSG00000020135,XP_015666167.2,107282849,0.035975706,0.017482851,0.008375442,0.02540557,0,0.0177403,
ENSMUSG00000034902,XP_015666168.1,107282850,1.2298043,0.743086,0.686297411,1.5975866,0.30835,0.228645006,
ENSMUSG00000007888,XP_015666169.1,107282851,6.92945,5.291544,4.33996,1.2711,0.0591466,0.132042,
ENSMUSG00000035964,XP_015666170.1,107282852,12.245,14.9059,0.28821,0.136745,0.165454,0,
ENSMUSG00000031849,XP_015666172.1,107282855,0.0405319,0,0.0335609,0.417034,0,0,
