Orthogroup	H_sapiens.pep	A_carolinensis.pep
OG0000009	ENSG00000172464.3	ENSACAG00000020941.2
OG0000010	ENSG00000276410.3	ENSACAG00000027274.1
OG0000010	ENSG00000285480.1	ENSACAG00000003370.1
OG0000010	ENSG00000180596.7, ENSG00000274290.2, ENSG00000278588.1, ENSG00000273802.2, ENSG00000233822.4, ENSG00000158373.8, ENSG00000277224.2, ENSG00000184678.10, ENSG00000274641.1, ENSG00000275713.2, ENSG00000274559.3, ENSG00000234289.6, ENSG00000197903.7, ENSG00000124635.8	ENSACAG00000026549.1
OG0000013	ENSG00000189181.5, ENSG00000225291.4, ENSG00000112459.5, ENSG00000204695.4, ENSG00000234195.4, ENSG00000237777.4, ENSG00000234100.4, ENSG00000236927.4, ENSG00000196772.4	ENSACAG00000010954.2, ENSACAG00000027007.1, ENSACAG00000024209.1, ENSACAG00000024155.2, ENSACAG00000022589.1, ENSACAG00000010940.2, ENSACAG00000010942.2, ENSACAG00000010938.2, ENSACAG00000022282.1, ENSACAG00000026301.1
OG0000014	ENSG00000163041.12	ENSACAG00000026224.2
OG0000015	ENSG00000153029.14	ENSACAG00000011968.3, ENSACAG00000006471.3, ENSACAG00000024638.2, ENSACAG00000029516.1, ENSACAG00000006498.3, ENSACAG00000000468.2, ENSACAG00000006674.2, ENSACAG00000017226.3, ENSACAG00000000562.3, ENSACAG00000011070.2, ENSACAG00000006478.3, ENSACAG00000024528.1, ENSACAG00000023667.1, ENSACAG00000022634.1, ENSACAG00000027871.1, ENSACAG00000022657.2, ENSACAG00000025947.1, ENSACAG00000024081.2, ENSACAG00000024309.2, ENSACAG00000003088.2, ENSACAG00000024337.1, ENSACAG00000013947.2, ENSACAG00000026915.2, ENSACAG00000024939.1, ENSACAG00000025539.1
OG0000018	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1	ENSACAG00000021103.2
OG0000018	ENSG00000275663.1	ENSACAG00000024530.1
OG0000020	ENSG00000211973.2, ENSG00000282350.1, ENSG00000280411.1, ENSG00000282399.1, ENSG00000282284.1, ENSG00000211950.2, ENSG00000277282.1, ENSG00000188403.7, ENSG00000288375.1, ENSG00000282131.1, ENSG00000211962.2, ENSG00000282776.1, ENSG00000211961.3, ENSG00000211934.3, ENSG00000282550.1, ENSG00000288165.1, ENSG00000270505.1, ENSG00000281179.1, ENSG00000288190.1, ENSG00000211935.3, ENSG00000282213.1, ENSG00000211945.2, ENSG00000282716.1, ENSG00000277574.2, ENSG00000211966.2, ENSG00000282401.1, ENSG00000282651.2	ENSACAG00000025737.1
OG0000021	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4	ENSACAG00000017332.3, ENSACAG00000017003.3
OG0000021	ENSG00000006788.14	ENSACAG00000017325.2
OG0000021	ENSG00000078814.16	ENSACAG00000007497.3
OG0000021	ENSG00000144821.10	ENSACAG00000006610.3
OG0000021	ENSG00000197616.12	ENSACAG00000006296.3, ENSACAG00000029475.1
OG0000023	ENSG00000276240.2	ENSACAG00000002843.2
OG0000023	ENSG00000182652.3	ENSACAG00000008699.2
OG0000023	ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2	ENSACAG00000022276.1, ENSACAG00000010915.2
OG0000023	ENSG00000182974.3, ENSG00000288469.1, ENSG00000288194.1, ENSG00000278776.1, ENSG00000274102.2, ENSG00000275249.1, ENSG00000176299.5	ENSACAG00000008714.2
OG0000023	ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2, ENSG00000176294.6, ENSG00000184394.2	ENSACAG00000025829.1
OG0000025	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5, ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11	ENSACAG00000006391.2
OG0000026	ENSG00000171815.5, ENSG00000120324.9, ENSG00000177839.7, ENSG00000113212.7, ENSG00000112852.7, ENSG00000120327.6, ENSG00000272674.3, ENSG00000187372.11, ENSG00000120322.4, ENSG00000081818.4, ENSG00000113209.9, ENSG00000113211.5, ENSG00000113205.5, ENSG00000113248.6, ENSG00000120328.6, ENSG00000197479.7	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1
OG0000027	ENSG00000075886.11, ENSG00000198033.12	ENSACAG00000002559.3
OG0000027	ENSG00000167552.14	ENSACAG00000015652.2
OG0000027	ENSG00000123416.15	ENSACAG00000013417.3
OG0000027	ENSG00000178462.12	ENSACAG00000017598.3
OG0000027	ENSG00000183785.15	ENSACAG00000012426.3, ENSACAG00000012411.3
OG0000027	ENSG00000127824.14	ENSACAG00000013342.3, ENSACAG00000028051.2
OG0000027	ENSG00000167553.15	ENSACAG00000013414.3
OG0000028	ENSG00000276452.4, ENSG00000277751.4, ENSG00000275730.4, ENSG00000278555.4, ENSG00000278279.4, ENSG00000186818.12, ENSG00000276042.4, ENSG00000105609.17, ENSG00000278437.4, ENSG00000277414.4, ENSG00000273991.4, ENSG00000274311.4, ENSG00000275019.5, ENSG00000274587.5, ENSG00000277177.4, ENSG00000204577.11, ENSG00000277816.5, ENSG00000275841.4, ENSG00000276175.4, ENSG00000278046.4, ENSG00000273884.4, ENSG00000274935.5, ENSG00000277398.5, ENSG00000104974.12, ENSG00000275525.5, ENSG00000275290.4, ENSG00000239998.6, ENSG00000278634.4, ENSG00000274000.4, ENSG00000275463.4, ENSG00000131042.14, ENSG00000274513.4, ENSG00000276146.4, ENSG00000274669.5, ENSG00000277807.5, ENSG00000277134.5, ENSG00000104972.15, ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4, ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4, ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5	ENSACAG00000027060.2
OG0000029	ENSG00000170454.6, ENSG00000170465.10, ENSG00000205420.11, ENSG00000185479.6, ENSG00000186081.12	ENSACAG00000007370.3
OG0000029	ENSG00000172867.4, ENSG00000167768.4	ENSACAG00000029684.1
OG0000029	ENSG00000170486.11, ENSG00000139648.7, ENSG00000186049.8, ENSG00000186442.7, ENSG00000185069.2	ENSACAG00000028764.1, ENSACAG00000029007.1
OG0000029	ENSG00000170421.12	ENSACAG00000011658.3
OG0000029	ENSG00000135480.16	ENSACAG00000007961.3
OG0000032	ENSG00000205327.3, ENSG00000179695.2, ENSG00000197706.3, ENSG00000188324.4, ENSG00000205328.2, ENSG00000185821.3, ENSG00000187857.4, ENSG00000205330.4, ENSG00000205329.2, ENSG00000179626.4, ENSG00000179615.2	ENSACAG00000002989.2
OG0000034	ENSG00000229684.10, ENSG00000232421.10, ENSG00000196230.13, ENSG00000235067.10, ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16	ENSACAG00000017201.3
OG0000034	ENSG00000188229.6	ENSACAG00000012869.2
OG0000034	ENSG00000137267.6	ENSACAG00000017677.3
OG0000034	ENSG00000104833.12	ENSACAG00000015226.3
OG0000034	ENSG00000101162.4	ENSACAG00000001102.2
OG0000039	ENSG00000127362.2, ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1, ENSG00000273713.2, ENSG00000273086.1, ENSG00000121381.4, ENSG00000277316.2, ENSG00000121314.2, ENSG00000272712.1, ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3, ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2	ENSACAG00000021090.2, ENSACAG00000021058.2
OG0000042	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2, ENSACAG00000015633.3, ENSACAG00000026732.1, ENSACAG00000024780.1, ENSACAG00000024944.1, ENSACAG00000026340.1, ENSACAG00000023499.1, ENSACAG00000012349.2, ENSACAG00000012353.2, ENSACAG00000023291.1, ENSACAG00000027406.1, ENSACAG00000026891.1, ENSACAG00000028317.1, ENSACAG00000024549.2
OG0000045	ENSG00000188425.4	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1
OG0000047	ENSG00000214787.10, ENSG00000110079.18	ENSACAG00000017816.2
OG0000047	ENSG00000166961.15, ENSG00000166959.8, ENSG00000071203.9	ENSACAG00000017822.2, ENSACAG00000023869.2, ENSACAG00000025055.2
OG0000050	ENSG00000130368.6	ENSACAG00000004224.2
OG0000051	ENSG00000136531.17	ENSACAG00000002063.3
OG0000051	ENSG00000144285.21	ENSACAG00000002844.3
OG0000051	ENSG00000153253.18	ENSACAG00000001038.3
OG0000051	ENSG00000169432.17	ENSACAG00000000353.3
OG0000051	ENSG00000007314.12	ENSACAG00000012739.3
OG0000051	ENSG00000183873.16	ENSACAG00000009381.3, ENSACAG00000009159.3
OG0000051	ENSG00000196876.17	ENSACAG00000017243.3
OG0000055	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11	ENSACAG00000027280.1, ENSACAG00000010884.2, ENSACAG00000027953.1, ENSACAG00000010760.2, ENSACAG00000024757.1
OG0000056	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1
OG0000059	ENSG00000184009.12	ENSACAG00000015238.2
OG0000059	ENSG00000075624.16	ENSACAG00000001200.3
OG0000059	ENSG00000143632.14	ENSACAG00000000836.3
OG0000059	ENSG00000163017.14	ENSACAG00000001718.2
OG0000059	ENSG00000107796.13	ENSACAG00000000475.3
OG0000061	ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15	ENSACAG00000024109.1, ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3, ENSACAG00000012097.2, ENSACAG00000012089.3
OG0000062	ENSG00000134193.15	ENSACAG00000008003.2, ENSACAG00000028410.1, ENSACAG00000028256.1, ENSACAG00000007989.2, ENSACAG00000028723.1, ENSACAG00000007915.2, ENSACAG00000022832.2, ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2, ENSACAG00000029001.1, ENSACAG00000029029.1, ENSACAG00000000571.2, ENSACAG00000029058.1, ENSACAG00000011171.3, ENSACAG00000011159.2, ENSACAG00000011151.2, ENSACAG00000011120.2, ENSACAG00000024909.2, ENSACAG00000000536.3, ENSACAG00000027149.1
OG0000063	ENSG00000184995.7, ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7, ENSG00000177047.6	ENSACAG00000023930.1
OG0000065	ENSG00000165953.9	ENSACAG00000004073.3
OG0000065	ENSG00000170054.14, ENSG00000100665.12, ENSG00000196136.18, ENSG00000258597.3, ENSG00000274821.4, ENSG00000277377.4, ENSG00000197249.14	ENSACAG00000029443.1, ENSACAG00000025656.1, ENSACAG00000005298.2, ENSACAG00000022474.2, ENSACAG00000004228.2
OG0000069	ENSG00000135437.9	ENSACAG00000009989.3
OG0000069	ENSG00000139547.7, ENSG00000025423.11	ENSACAG00000009223.2, ENSACAG00000009362.3, ENSACAG00000029689.1, ENSACAG00000009319.1, ENSACAG00000028794.1, ENSACAG00000009382.3, ENSACAG00000029377.1, ENSACAG00000009380.3, ENSACAG00000007510.2
OG0000072	ENSG00000197901.11, ENSG00000149452.16	ENSACAG00000006380.3, ENSACAG00000013956.2, ENSACAG00000024988.2, ENSACAG00000026822.2
OG0000072	ENSG00000137204.14	ENSACAG00000004635.2, ENSACAG00000004528.3
OG0000072	ENSG00000168065.16, ENSG00000197891.12, ENSG00000184999.12, ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10	ENSACAG00000008091.2
OG0000073	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6, ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6, ENSG00000173110.8	ENSACAG00000014684.2
OG0000073	ENSG00000109971.14	ENSACAG00000004884.2
OG0000073	ENSG00000126803.9	ENSACAG00000015774.1
OG0000074	ENSG00000129437.10	ENSACAG00000016715.2
OG0000074	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5	ENSACAG00000007958.3
OG0000076	ENSG00000211798.3, ENSG00000211783.3, ENSG00000211793.2	ENSACAG00000002837.2, ENSACAG00000029665.1
OG0000076	ENSG00000211808.3, ENSG00000211795.3, ENSG00000211777.2, ENSG00000211796.1	ENSACAG00000029247.1, ENSACAG00000022679.1
OG0000077	ENSG00000142405.21, ENSG00000162711.17	ENSACAG00000022288.2, ENSACAG00000024664.2
OG0000077	ENSG00000276230.4, ENSG00000023191.17	ENSACAG00000014816.3
OG0000078	ENSG00000247315.4	ENSACAG00000028668.1
OG0000081	ENSG00000139610.2	ENSACAG00000012038.2
OG0000081	ENSG00000142789.20, ENSG00000219073.8	ENSACAG00000011397.3, ENSACAG00000012636.3, ENSACAG00000028645.1
OG0000085	ENSG00000187498.16	ENSACAG00000014194.3
OG0000085	ENSG00000188153.13	ENSACAG00000012321.3
OG0000085	ENSG00000134871.19	ENSACAG00000014055.2
OG0000085	ENSG00000197565.16	ENSACAG00000012181.3
OG0000085	ENSG00000081052.13	ENSACAG00000003770.3
OG0000085	ENSG00000169031.20	ENSACAG00000004217.3
OG0000086	ENSG00000101210.12	ENSACAG00000006007.3
OG0000086	ENSG00000156508.18	ENSACAG00000004556.3
OG0000087	ENSG00000133026.12	ENSACAG00000017579.3
OG0000087	ENSG00000276480.5, ENSG00000133392.18	ENSACAG00000008633.3
OG0000087	ENSG00000100345.21	ENSACAG00000016387.3
OG0000087	ENSG00000105357.18	ENSACAG00000015586.3
OG0000090	ENSG00000198848.12, ENSG00000262243.5, ENSG00000172824.16, ENSG00000159398.16, ENSG00000261972.5	ENSACAG00000000544.3, ENSACAG00000010277.3, ENSACAG00000007244.2, ENSACAG00000011006.3, ENSACAG00000006173.3, ENSACAG00000001882.2
OG0000091	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14	ENSACAG00000006626.3, ENSACAG00000028945.1, ENSACAG00000022872.1
OG0000092	ENSG00000167460.17	ENSACAG00000011479.3
OG0000092	ENSG00000143549.21	ENSACAG00000010562.2
OG0000092	ENSG00000198467.15	ENSACAG00000022662.1
OG0000093	ENSG00000070961.15	ENSACAG00000011979.3
OG0000093	ENSG00000058668.14	ENSACAG00000010151.3
OG0000093	ENSG00000067842.17	ENSACAG00000009210.3
OG0000093	ENSG00000157087.20	ENSACAG00000009556.3
OG0000094	ENSG00000134007.5, ENSG00000139985.7	ENSACAG00000004990.2, ENSACAG00000026773.1, ENSACAG00000027118.1, ENSACAG00000027457.1, ENSACAG00000026828.1, ENSACAG00000004979.2, ENSACAG00000015961.3, ENSACAG00000022750.1
OG0000095	ENSG00000178789.9, ENSG00000204345.1, ENSG00000186074.19	ENSACAG00000005375.3
OG0000095	ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4	ENSACAG00000005370.2, ENSACAG00000021973.2, ENSACAG00000028593.1
OG0000099	ENSG00000116106.12	ENSACAG00000005061.3
OG0000099	ENSG00000135333.14	ENSACAG00000003318.3
OG0000099	ENSG00000044524.11	ENSACAG00000000872.2
OG0000099	ENSG00000070886.12	ENSACAG00000014526.3
OG0000099	ENSG00000145242.13	ENSACAG00000012709.3
OG0000100	ENSG00000042980.13, ENSG00000134028.14	ENSACAG00000011428.3
OG0000101	ENSG00000092841.18	ENSACAG00000007876.3
OG0000101	ENSG00000196465.10	ENSACAG00000022592.2
OG0000101	ENSG00000168530.16	ENSACAG00000010643.3
OG0000101	ENSG00000198336.9	ENSACAG00000017407.2
OG0000101	ENSG00000160808.11	ENSACAG00000005125.3
OG0000102	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14	ENSACAG00000000061.3
OG0000102	ENSG00000111716.14, ENSG00000285854.1	ENSACAG00000017089.3
OG0000106	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17	ENSACAG00000007169.3
OG0000106	ENSG00000170144.20	ENSACAG00000012234.3
OG0000108	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16	ENSACAG00000000874.3, ENSACAG00000017475.3
OG0000109	ENSG00000140993.11	ENSACAG00000016498.2, ENSACAG00000014576.2, ENSACAG00000029238.1
OG0000109	ENSG00000221944.8	ENSACAG00000021011.2
OG0000109	ENSG00000234616.9	ENSACAG00000020942.2
OG0000110	ENSG00000021645.19	ENSACAG00000017328.3, ENSACAG00000015074.3
OG0000110	ENSG00000179915.23	ENSACAG00000001550.3
OG0000111	ENSG00000138758.11	ENSACAG00000012255.3
OG0000111	ENSG00000154997.9, ENSG00000186522.15	ENSACAG00000001660.3
OG0000111	ENSG00000164402.14	ENSACAG00000012880.3
OG0000111	ENSG00000125354.23	ENSACAG00000011892.3
OG0000112	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5	ENSACAG00000029696.1, ENSACAG00000009562.3, ENSACAG00000009384.3
OG0000113	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15	ENSACAG00000021110.2, ENSACAG00000001664.3, ENSACAG00000009032.3, ENSACAG00000008898.2
OG0000115	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11	ENSACAG00000029538.1, ENSACAG00000004949.3, ENSACAG00000005188.3, ENSACAG00000025047.1, ENSACAG00000005203.3, ENSACAG00000005465.2
OG0000115	ENSG00000012779.11, ENSG00000275565.4	ENSACAG00000013726.3
OG0000116	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17	ENSACAG00000026769.2, ENSACAG00000017879.3
OG0000116	ENSG00000186395.8, ENSG00000171401.15, ENSG00000171346.16	ENSACAG00000028720.1
OG0000116	ENSG00000171345.13	ENSACAG00000017868.3
OG0000118	ENSG00000124449.7	ENSACAG00000027865.2, ENSACAG00000027084.2, ENSACAG00000006864.2, ENSACAG00000027740.2, ENSACAG00000004461.2, ENSACAG00000005249.2, ENSACAG00000022806.2
OG0000119	ENSG00000169504.15	ENSACAG00000017852.2
OG0000119	ENSG00000213719.8, ENSG00000206394.8, ENSG00000226248.6, ENSG00000226417.6, ENSG00000226651.6, ENSG00000223639.6, ENSG00000230685.6	ENSACAG00000017312.2
OG0000119	ENSG00000112782.19	ENSACAG00000013030.3
OG0000120	ENSG00000187475.5, ENSG00000124610.4	ENSACAG00000024289.1
OG0000121	ENSG00000253846.2, ENSG00000261934.2, ENSG00000253767.2, ENSG00000253159.3, ENSG00000253873.6, ENSG00000254245.2, ENSG00000081853.15, ENSG00000204956.5, ENSG00000253485.2, ENSG00000262576.3, ENSG00000253537.3, ENSG00000253731.2	ENSACAG00000012366.2, ENSACAG00000023024.1, ENSACAG00000024968.1, ENSACAG00000023556.1, ENSACAG00000024949.1, ENSACAG00000026692.1, ENSACAG00000028163.1, ENSACAG00000022026.1, ENSACAG00000025849.1, ENSACAG00000024960.1
OG0000126	ENSG00000196781.16	ENSACAG00000002262.3
OG0000126	ENSG00000106829.19	ENSACAG00000002789.2
OG0000126	ENSG00000140332.16	ENSACAG00000014467.3
OG0000127	ENSG00000170265.12	ENSACAG00000006602.2
OG0000127	ENSG00000197024.9, ENSG00000181220.17, ENSG00000204946.10	ENSACAG00000027554.2, ENSACAG00000017661.3
OG0000128	ENSG00000258818.4, ENSG00000129538.14	ENSACAG00000007894.2, ENSACAG00000022863.1
OG0000128	ENSG00000214274.9	ENSACAG00000025388.1, ENSACAG00000021050.2, ENSACAG00000007895.2, ENSACAG00000005615.2, ENSACAG00000005623.2, ENSACAG00000005620.2, ENSACAG00000007898.2
OG0000129	ENSG00000196090.12	ENSACAG00000013632.3
