Orthogroup	H_sapiens.pep	N_naja.pep
OG0000039	ENSG00000127362.2, ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1, ENSG00000273713.2, ENSG00000273086.1, ENSG00000121381.4, ENSG00000277316.2, ENSG00000121314.2, ENSG00000272712.1, ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3, ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2	Nana25427-RA
OG0000042	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2	Nana15423-RA, Nana15427-RA, Nana15429-RA
OG0000045	ENSG00000188425.4	Nana30791-RA
OG0000047	ENSG00000214787.10, ENSG00000110079.18	Nana04132-RB, Nana04132-RA, Nana04133-RA, Nana04134-RE
OG0000047	ENSG00000166961.15, ENSG00000166959.8, ENSG00000071203.9	Nana04129-RA, Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE, Nana04126-RA, Nana04126-RB
OG0000051	ENSG00000136531.17	Nana03481-RA, Nana03471-RA
OG0000051	ENSG00000169432.17	Nana03469-RA
OG0000051	ENSG00000007314.12	Nana22919-RA
OG0000051	ENSG00000183873.16	Nana21196-RA
OG0000051	ENSG00000196876.17	Nana09998-RA
OG0000056	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA
OG0000059	ENSG00000184009.12	Nana09728-RA
OG0000059	ENSG00000075624.16	Nana34355-RA
OG0000059	ENSG00000163017.14	Nana28043-RB, Nana28043-RA
OG0000059	ENSG00000107796.13	Nana01616-RA, Nana19300-RA
OG0000061	ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA
OG0000062	ENSG00000134193.15	Nana23924-RA, Nana23925-RA, Nana23926-RA, Nana39516-RA, Nana23927-RA, Nana18624-RB, Nana18624-RA, Nana27935-RA, Nana27886-RA, Nana27905-RA, Nana27903-RA, Nana27895-RA, Nana27899-RA, Nana27902-RA, Nana27885-RA, Nana23928-RA, Nana23923-RA
OG0000063	ENSG00000184995.7, ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7, ENSG00000177047.6	Nana12777-RA
OG0000065	ENSG00000165953.9	Nana05575-RB, Nana05575-RA, Nana05574-RA
OG0000069	ENSG00000135437.9	Nana09934-RA
OG0000069	ENSG00000139547.7, ENSG00000025423.11	Nana10146-RA, Nana10140-RA, Nana10137-RA, Nana10142-RA, Nana10295-RA
OG0000071	ENSG00000267881.2, ENSG00000007129.18, ENSG00000278565.4, ENSG00000007306.15, ENSG00000221878.13, ENSG00000124467.19, ENSG00000231924.9, ENSG00000221826.10, ENSG00000183668.18, ENSG00000170848.15, ENSG00000204941.14, ENSG00000243137.8, ENSG00000243130.8, ENSG00000242221.9, ENSG00000086548.9, ENSG00000124469.12, ENSG00000105388.16, ENSG00000079385.22, ENSG00000170956.17, ENSG00000274131.3, ENSG00000105352.10	Nana30659-RB, Nana30659-RA, Nana30662-RA, Nana34398-RA
OG0000072	ENSG00000197901.11, ENSG00000149452.16	Nana35916-RA
OG0000072	ENSG00000137204.14	Nana00984-RA
OG0000073	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6, ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6, ENSG00000173110.8	Nana36370-RA
OG0000073	ENSG00000126803.9	Nana05770-RA
OG0000074	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5	Nana11137-RA, Nana11138-RA
OG0000077	ENSG00000142405.21, ENSG00000162711.17	Nana12814-RA, Nana04232-RE, Nana04232-RC, Nana04232-RB, Nana04232-RF, Nana04232-RD, Nana04232-RA, Nana04228-RA, Nana04219-RA, Nana04248-RA, Nana04224-RA, Nana04218-RA, Nana08643-RA
OG0000077	ENSG00000276230.4, ENSG00000023191.17	Nana04298-RA
OG0000081	ENSG00000162438.12	Nana37639-RA
OG0000081	ENSG00000142789.20, ENSG00000219073.8	Nana37247-RA
OG0000083	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2, ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5, ENSG00000275302.2, ENSG00000276409.5, ENSG00000277236.4	Nana00630-RA
OG0000085	ENSG00000187498.16	Nana02961-RA
OG0000085	ENSG00000188153.13	Nana32101-RD
OG0000085	ENSG00000134871.19	Nana02958-RA
OG0000085	ENSG00000081052.13	Nana20286-RB
OG0000085	ENSG00000169031.20	Nana20288-RA
OG0000086	ENSG00000101210.12	Nana13407-RA
OG0000086	ENSG00000156508.18	Nana02319-RA
OG0000087	ENSG00000133026.12	Nana09343-RA, Nana09343-RB
OG0000087	ENSG00000276480.5, ENSG00000133392.18	Nana34587-RE, Nana34587-RH, Nana34587-RG, Nana34587-RC, Nana34587-RB, Nana34587-RA
OG0000087	ENSG00000100345.21	Nana27331-RA
OG0000087	ENSG00000105357.18	Nana23710-RA
OG0000090	ENSG00000198848.12, ENSG00000262243.5	Nana31033-RB, Nana31033-RA, Nana31033-RC
OG0000091	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14	Nana30970-RA
OG0000092	ENSG00000167460.17	Nana12893-RB, Nana12893-RC, Nana12893-RA
OG0000092	ENSG00000140416.22	Nana32804-RA, Nana32804-RB
OG0000092	ENSG00000198467.15	Nana32804-RC
OG0000093	ENSG00000070961.15	Nana27045-RA
OG0000093	ENSG00000058668.14	Nana14174-RA
OG0000093	ENSG00000067842.17	Nana10674-RA
OG0000094	ENSG00000134007.5, ENSG00000139985.7	Nana04968-RC, Nana04967-RA, Nana04968-RA, Nana04966-RA, Nana25546-RA, Nana25533-RA
OG0000095	ENSG00000178789.9, ENSG00000204345.1, ENSG00000186074.19	Nana09550-RA
OG0000095	ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4	Nana09552-RA
OG0000099	ENSG00000116106.12	Nana20229-RA
OG0000099	ENSG00000135333.14	Nana02215-RA
OG0000099	ENSG00000044524.11	Nana24836-RA
OG0000100	ENSG00000042980.13, ENSG00000134028.14	Nana28324-RA, Nana28328-RB, Nana28334-RA, Nana28332-RA, Nana28327-RB, Nana28327-RA, Nana28327-RC, Nana28326-RG, Nana28326-RF, Nana28326-RD, Nana28326-RE, Nana28326-RC, Nana28328-RA, Nana28325-RA, Nana28329-RA, Nana28321-RA
OG0000101	ENSG00000092841.18	Nana10097-RA, Nana10097-RB, Nana10097-RC
OG0000101	ENSG00000168530.16	Nana03073-RA, Nana03073-RB
OG0000101	ENSG00000198336.9, ENSG00000160808.11	Nana21110-RA
OG0000102	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14	Nana04405-RA
OG0000102	ENSG00000111716.14, ENSG00000285854.1	Nana27661-RA
OG0000106	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17	Nana10281-RH, Nana10281-RG, Nana10281-RC, Nana10281-RE, Nana10281-RD, Nana10281-RF, Nana10281-RB, Nana10281-RA
OG0000106	ENSG00000170144.20	Nana03353-RF, Nana03353-RE, Nana03353-RB, Nana03353-RG
OG0000108	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16	Nana34377-RA, Nana34376-RA
OG0000109	ENSG00000221944.8, ENSG00000177946.6	Nana21461-RA
OG0000110	ENSG00000021645.19	Nana35843-RA, Nana05423-RA
OG0000110	ENSG00000179915.23	Nana05425-RA, Nana00887-RA
OG0000111	ENSG00000138758.11	Nana17605-RA, Nana17605-RB
OG0000111	ENSG00000154997.9, ENSG00000186522.15	Nana32413-RA, Nana26179-RA
OG0000111	ENSG00000125354.23	Nana08966-RA
OG0000112	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5	Nana22728-RA
OG0000113	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15	Nana02420-RA, Nana02419-RA
OG0000115	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11	Nana24320-RA, Nana24321-RA, Nana24323-RA
OG0000115	ENSG00000012779.11, ENSG00000275565.4	Nana15380-RA, Nana15381-RA, Nana15378-RA
OG0000116	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17	Nana23099-RA
OG0000116	ENSG00000186395.8, ENSG00000171401.15, ENSG00000171346.16	Nana23092-RA
OG0000116	ENSG00000171345.13	Nana23093-RA, Nana23093-RB
OG0000118	ENSG00000124449.7	Nana30518-RA, Nana38833-RA, Nana38831-RA, Nana30519-RA, Nana30517-RA, Nana38832-RA, Nana38834-RA, Nana30521-RA, Nana30520-RA, Nana38829-RA, Nana30546-RA, Nana30571-RA, Nana30570-RA, Nana30515-RA, Nana35776-RA
OG0000119	ENSG00000169504.15	Nana30054-RA
OG0000119	ENSG00000213719.8, ENSG00000206394.8, ENSG00000226248.6, ENSG00000226417.6, ENSG00000226651.6, ENSG00000223639.6, ENSG00000230685.6	Nana07708-RA
OG0000119	ENSG00000159212.12	Nana24627-RA
OG0000119	ENSG00000112782.19	Nana02918-RA
OG0000121	ENSG00000253846.2, ENSG00000261934.2, ENSG00000253767.2, ENSG00000253159.3, ENSG00000253873.6, ENSG00000254245.2, ENSG00000081853.15, ENSG00000204956.5, ENSG00000253485.2, ENSG00000262576.3, ENSG00000253537.3, ENSG00000253731.2	Nana15428-RA, Nana15421-RA, Nana15429-RB
OG0000126	ENSG00000196781.16	Nana11693-RA, Nana11693-RB
OG0000126	ENSG00000106829.19	Nana11690-RA
OG0000126	ENSG00000140332.16	Nana33631-RC, Nana33631-RB, Nana33631-RA
OG0000127	ENSG00000170265.12	Nana21098-RA
OG0000128	ENSG00000259171.1	Nana23919-RA
OG0000128	ENSG00000258818.4, ENSG00000129538.14	Nana23910-RA, Nana23921-RA
OG0000128	ENSG00000214274.9	Nana23918-RA, Nana23911-RA, Nana23912-RA, Nana23913-RA, Nana23915-RA, Nana23917-RA
OG0000129	ENSG00000196090.12	Nana13746-RA
OG0000129	ENSG00000173482.16	Nana16117-RA
OG0000129	ENSG00000060656.20	Nana30228-RA
OG0000129	ENSG00000152894.14, ENSG00000273993.4	Nana30225-RA, Nana01987-RA
OG0000130	ENSG00000159409.15	Nana36269-RA
OG0000130	ENSG00000273025.1, ENSG00000140488.16	Nana33055-RA
OG0000131	ENSG00000197111.15, ENSG00000169564.7	Nana10230-RC, Nana10230-RA, Nana10230-RD, Nana10230-RB
OG0000135	ENSG00000125900.13, ENSG00000101307.15, ENSG00000089012.14, ENSG00000198053.11, ENSG00000260861.6	Nana13295-RA, Nana38700-RC, Nana38966-RA
OG0000136	ENSG00000177189.14	Nana25848-RA
OG0000136	ENSG00000071242.12	Nana01675-RA, Nana01675-RB
OG0000136	ENSG00000117676.14, ENSG00000281877.3	Nana30115-RA
OG0000136	ENSG00000072133.11	Nana32194-RC, Nana32194-RA, Nana32194-RB
OG0000137	ENSG00000004799.8	Nana21626-RB, Nana21626-RA
OG0000137	ENSG00000005882.12	Nana23253-RA, Nana23253-RB
OG0000137	ENSG00000152256.13	Nana03410-RA, Nana03410-RB
OG0000138	ENSG00000105993.15	Nana21262-RA
OG0000138	ENSG00000179407.3	Nana08323-RA
OG0000138	ENSG00000135924.15	Nana03939-RA
OG0000143	ENSG00000133878.9	Nana28454-RA
OG0000143	ENSG00000079393.20	Nana18923-RA, Nana18922-RA
OG0000143	ENSG00000188716.5, ENSG00000281660.1	Nana18920-RA
OG0000144	ENSG00000106560.11, ENSG00000213203.3	Nana38635-RA, Nana39929-RA, Nana39427-RA, Nana38231-RA, Nana39047-RA, Nana38973-RA
OG0000146	ENSG00000103355.13, ENSG00000172382.10	Nana23491-RA
OG0000147	ENSG00000151640.13	Nana19440-RA
OG0000147	ENSG00000072832.15	Nana18452-RA
OG0000147	ENSG00000113657.13	Nana09013-RA
OG0000147	ENSG00000092964.18	Nana28363-RA
OG0000149	ENSG00000130402.12, ENSG00000282844.2	Nana30762-RA
OG0000149	ENSG00000077522.13	Nana01559-RA
OG0000149	ENSG00000072110.13	Nana04942-RA
OG0000150	ENSG00000183549.10	Nana34186-RA
OG0000150	ENSG00000215009.5	Nana34187-RB
OG0000150	ENSG00000066813.14, ENSG00000183747.12, ENSG00000166743.9	Nana34187-RA
OG0000151	ENSG00000187048.13, ENSG00000162365.12	Nana14461-RA, Nana14465-RA, Nana14462-RA, Nana14464-RA
OG0000153	ENSG00000111640.15	Nana11108-RA
OG0000153	ENSG00000105679.9	Nana30407-RA
OG0000154	ENSG00000106018.14	Nana21272-RA
OG0000154	ENSG00000080293.9	Nana03716-RA
OG0000154	ENSG00000106128.19	Nana39032-RA
OG0000155	ENSG00000134538.3, ENSG00000205754.11, ENSG00000257046.5, ENSG00000111700.12	Nana27596-RB, Nana27596-RA
OG0000155	ENSG00000084453.16	Nana27598-RA, Nana27600-RA
OG0000156	ENSG00000203972.10	Nana02904-RA
OG0000158	ENSG00000080573.7	Nana36405-RA, Nana10438-RA
OG0000158	ENSG00000130635.16	Nana37069-RA, Nana37069-RB
OG0000158	ENSG00000060718.22	Nana14954-RA, Nana39299-RA, Nana37076-RA
OG0000159	ENSG00000128322.7, ENSG00000254709.8, ENSG00000211685.3, ENSG00000211675.2, ENSG00000211677.2, ENSG00000211679.2	Nana35151-RA, Nana35150-RA, Nana35148-RA
OG0000160	ENSG00000226260.9, ENSG00000230726.9, ENSG00000228987.9, ENSG00000227993.9, ENSG00000277263.1, ENSG00000204287.14, ENSG00000206308.11, ENSG00000234794.9, ENSG00000206291.10, ENSG00000224103.7, ENSG00000236177.9, ENSG00000235844.8, ENSG00000229685.8, ENSG00000228163.8, ENSG00000231389.7, ENSG00000168384.11, ENSG00000232957.11, ENSG00000206292.13, ENSG00000232962.11, ENSG00000231558.11, ENSG00000235744.11, ENSG00000204252.14, ENSG00000230141.11	Nana06954-RA
OG0000162	ENSG00000162909.18	Nana01233-RA
OG0000162	ENSG00000203697.12	Nana01232-RB
OG0000162	ENSG00000137225.13	Nana01383-RB, Nana01383-RC, Nana01383-RA
OG0000162	ENSG00000014216.15	Nana35924-RA
OG0000163	ENSG00000196361.10	Nana10880-RA
OG0000163	ENSG00000107105.15	Nana11460-RA, Nana14489-RA
OG0000169	ENSG00000151846.8, ENSG00000070756.16	Nana16688-RB, Nana16688-RC, Nana16688-RA
OG0000169	ENSG00000090621.14	Nana29768-RA
OG0000169	ENSG00000254535.4	Nana16688-RD
OG0000169	ENSG00000101104.12	Nana13679-RA
OG0000171	ENSG00000187758.8, ENSG00000248144.6, ENSG00000196616.14, ENSG00000196344.11	Nana17789-RA
OG0000172	ENSG00000114554.11	Nana08296-RA, Nana14058-RA
OG0000172	ENSG00000221866.9	Nana27786-RA
OG0000172	ENSG00000130827.6	Nana10639-RA
OG0000174	ENSG00000158571.11	Nana10607-RC, Nana10607-RA, Nana10607-RB, Nana10607-RD
OG0000174	ENSG00000170525.21	Nana27734-RA
OG0000174	ENSG00000114268.12	Nana08485-RD, Nana08485-RC, Nana08485-RB
OG0000179	ENSG00000204021.4, ENSG00000182333.14	Nana19279-RA
OG0000179	ENSG00000173239.14	Nana19294-RA
OG0000179	ENSG00000107798.18	Nana19310-RA, Nana19307-RF, Nana19307-RC, Nana19307-RB, Nana19307-RD, Nana19307-RE, Nana19306-RA, Nana19309-RA
OG0000181	ENSG00000204518.2, ENSG00000188984.12	Nana37655-RB, Nana14994-RA, Nana29724-RA, Nana27985-RA
OG0000183	ENSG00000172260.15	Nana14703-RA
OG0000183	ENSG00000185565.12	Nana24962-RA
OG0000183	ENSG00000182667.14	Nana28668-RA, Nana28665-RA
OG0000184	ENSG00000164588.8	Nana12380-RA
OG0000184	ENSG00000138622.4	Nana33040-RA
OG0000184	ENSG00000143630.10, ENSG00000263324.5	Nana36072-RA
OG0000184	ENSG00000099822.3	Nana06340-RA
OG0000185	ENSG00000004059.11, ENSG00000168374.11	Nana08360-RA
OG0000185	ENSG00000134287.10	Nana10173-RA
OG0000186	ENSG00000074211.14	Nana18448-RA
OG0000186	ENSG00000175470.20	Nana19444-RA
OG0000186	ENSG00000221914.11	Nana09006-RA
OG0000187	ENSG00000143878.10	Nana02631-RA
OG0000187	ENSG00000067560.12	Nana08636-RA
OG0000188	ENSG00000104938.17, ENSG00000090659.18	Nana10451-RA, Nana10448-RA, Nana10449-RA
OG0000193	ENSG00000110880.10	Nana34739-RA, Nana34739-RB
OG0000193	ENSG00000172725.14	Nana04026-RB, Nana04026-RA
OG0000193	ENSG00000102879.15	Nana23748-RA
OG0000194	ENSG00000174775.17, ENSG00000276536.4	Nana04300-RA
OG0000194	ENSG00000213281.5	Nana13959-RA
OG0000196	ENSG00000092199.17, ENSG00000275774.3, ENSG00000283370.2, ENSG00000282530.2, ENSG00000274109.2, ENSG00000282175.2, ENSG00000179172.9, ENSG00000283231.1, ENSG00000179412.10, ENSG00000282559.1, ENSG00000283292.1, ENSG00000282095.1, ENSG00000277058.2, ENSG00000273865.2	Nana37778-RA, Nana38985-RD, Nana38985-RE, Nana38985-RB, Nana38985-RC, Nana38985-RA
OG0000197	ENSG00000218336.9	Nana18220-RA
OG0000197	ENSG00000145934.16	Nana09163-RA
OG0000197	ENSG00000149256.16	Nana25443-RA
OG0000197	ENSG00000009694.13	Nana32135-RA
OG0000198	ENSG00000134698.11	Nana29992-RA
OG0000198	ENSG00000126070.20	Nana29987-RA
OG0000198	ENSG00000123908.12	Nana17024-RD, Nana17024-RB
OG0000199	ENSG00000163399.16	Nana10999-RB, Nana10999-RA, Nana10997-RD, Nana10997-RB, Nana10997-RC
OG0000199	ENSG00000285505.1, ENSG00000105409.19	Nana30635-RA
OG0000199	ENSG00000132681.17	Nana00152-RA
OG0000199	ENSG00000018625.15	Nana36358-RA
OG0000200	ENSG00000107242.19	Nana11623-RA
OG0000200	ENSG00000143398.20	Nana36320-RH, Nana36320-RG, Nana36320-RJ, Nana36320-RE, Nana36320-RC, Nana36320-RD, Nana36320-RB
OG0000201	ENSG00000008118.10	Nana14043-RA
OG0000201	ENSG00000130822.15	Nana10669-RA
OG0000201	ENSG00000134072.11	Nana07920-RC
OG0000202	ENSG00000088881.20	Nana19472-RA
OG0000203	ENSG00000113448.19	Nana12325-RA
OG0000203	ENSG00000065989.16	Nana10784-RA
OG0000203	ENSG00000184588.18	Nana14670-RA
OG0000203	ENSG00000105650.22, ENSG00000285188.1	Nana06067-RA
