Orthogroup	H_sapiens.pep	M_musculus.pep
OG0000006	ENSG00000268163.1, ENSG00000268107.6	ENSMUSG00000050844.5, ENSMUSG00000063535.7
OG0000006	ENSG00000286261.1	ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1
OG0000006	ENSG00000196418.12	ENSMUSG00000054519.8
OG0000006	ENSG00000269755.1	ENSMUSG00000063364.10
OG0000006	ENSG00000196826.7, ENSG00000242852.7	ENSMUSG00000074472.10
OG0000006	ENSG00000175691.9	ENSMUSG00000096718.2, ENSMUSG00000094622.2
OG0000006	ENSG00000273291.5, ENSG00000240747.7	ENSMUSG00000002266.17
OG0000006	ENSG00000177932.7	ENSMUSG00000044807.13
OG0000006	ENSG00000169131.13, ENSG00000178338.11	ENSMUSG00000020335.13
OG0000006	ENSG00000285978.1	ENSMUSG00000020364.14
OG0000006	ENSG00000189420.8	ENSMUSG00000031374.13
OG0000006	ENSG00000283930.1, ENSG00000175395.16	ENSMUSG00000072623.6
OG0000006	ENSG00000147789.15	ENSMUSG00000033669.8, ENSMUSG00000116024.1
OG0000008	ENSG00000246705.4	ENSMUSG00000060032.6
OG0000008	ENSG00000184260.5	ENSMUSG00000068855.3
OG0000008	ENSG00000184270.5	ENSMUSG00000063689.4
OG0000008	ENSG00000272196.2, ENSG00000203812.2	ENSMUSG00000064220.6, ENSMUSG00000063954.7
OG0000008	ENSG00000284841.1, ENSG00000181218.5	ENSMUSG00000078851.4
OG0000008	ENSG00000278463.1, ENSG00000277075.2	ENSMUSG00000069270.6, ENSMUSG00000094248.1, ENSMUSG00000069272.6, ENSMUSG00000069301.5
OG0000008	ENSG00000276903.1, ENSG00000196787.3, ENSG00000278677.1, ENSG00000196747.4, ENSG00000275221.1, ENSG00000196866.2	ENSMUSG00000063021.3
OG0000008	ENSG00000274997.1, ENSG00000276368.1	ENSMUSG00000069302.5
OG0000009	ENSG00000172320.3	ENSMUSG00000067522.3
OG0000009	ENSG00000174957.1	ENSMUSG00000047149.5
OG0000009	ENSG00000172459.4	ENSMUSG00000075208.6
OG0000009	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6	ENSMUSG00000090894.4, ENSMUSG00000090675.2
OG0000009	ENSG00000172464.3	ENSMUSG00000046975.7
OG0000009	ENSG00000181785.2	ENSMUSG00000075158.5
OG0000010	ENSG00000146047.6	ENSMUSG00000050799.3
OG0000010	ENSG00000203814.6	ENSMUSG00000105827.1
OG0000010	ENSG00000196890.4, ENSG00000285449.1	ENSMUSG00000056895.4
OG0000010	ENSG00000274290.2	ENSMUSG00000018102.5, ENSMUSG00000069307.6, ENSMUSG00000069303.6, ENSMUSG00000058385.8
OG0000010	ENSG00000233822.4, ENSG00000158373.8	ENSMUSG00000114279.1
OG0000010	ENSG00000185130.5	ENSMUSG00000069308.7, ENSMUSG00000075031.4, ENSMUSG00000095217.1, ENSMUSG00000069300.3, ENSMUSG00000069268.4, ENSMUSG00000094338.1, ENSMUSG00000062727.4, ENSMUSG00000068854.7
OG0000013	ENSG00000225291.4, ENSG00000112459.5, ENSG00000204695.4, ENSG00000234195.4, ENSG00000237777.4, ENSG00000234100.4, ENSG00000236927.4	ENSMUSG00000109212.3, ENSMUSG00000058114.3, ENSMUSG00000059030.5, ENSMUSG00000109376.1, ENSMUSG00000062629.4, ENSMUSG00000092292.3, ENSMUSG00000061336.3, ENSMUSG00000051611.9, ENSMUSG00000092413.5, ENSMUSG00000050613.5
OG0000014	ENSG00000163041.12	ENSMUSG00000016559.14
OG0000014	ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3, ENSG00000287080.1	ENSMUSG00000101972.1
OG0000014	ENSG00000278828.1	ENSMUSG00000101355.1
OG0000014	ENSG00000275714.1	ENSMUSG00000069265.2
OG0000015	ENSG00000153029.14	ENSMUSG00000026471.14
OG0000018	ENSG00000158406.4, ENSG00000273542.1	ENSMUSG00000060678.5
OG0000018	ENSG00000275663.1	ENSMUSG00000069305.3, ENSMUSG00000069306.5
OG0000020	ENSG00000277282.1, ENSG00000188403.7, ENSG00000288375.1	ENSMUSG00000095554.2, ENSMUSG00000094241.2, ENSMUSG00000076709.2, ENSMUSG00000095863.2, ENSMUSG00000094051.6, ENSMUSG00000096410.2, ENSMUSG00000095130.1, ENSMUSG00000095859.2, ENSMUSG00000094652.2, ENSMUSG00000095923.6, ENSMUSG00000095761.6, ENSMUSG00000096649.2, ENSMUSG00000094546.1, ENSMUSG00000103290.1, ENSMUSG00000103254.1, ENSMUSG00000094561.1, ENSMUSG00000093955.2, ENSMUSG00000076695.7
OG0000021	ENSG00000264424.1	ENSMUSG00000057003.12
OG0000021	ENSG00000109061.10	ENSMUSG00000033196.17
OG0000021	ENSG00000133020.4	ENSMUSG00000055775.16
OG0000021	ENSG00000006788.14	ENSMUSG00000060180.12
OG0000021	ENSG00000109063.15	ENSMUSG00000020908.14
OG0000021	ENSG00000078814.16	ENSMUSG00000074652.3
OG0000021	ENSG00000144821.10	ENSMUSG00000092009.1
OG0000021	ENSG00000092054.13	ENSMUSG00000053093.16
OG0000021	ENSG00000197616.12	ENSMUSG00000040752.16
OG0000023	ENSG00000276240.2	ENSMUSG00000059887.7, ENSMUSG00000057564.6
OG0000023	ENSG00000221977.2	ENSMUSG00000035626.4
OG0000023	ENSG00000182652.3	ENSMUSG00000046210.7
OG0000023	ENSG00000171014.2	ENSMUSG00000045812.5
OG0000023	ENSG00000254466.2	ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3
OG0000023	ENSG00000176200.1	ENSMUSG00000067529.2
OG0000023	ENSG00000166884.2	ENSMUSG00000067524.4
OG0000023	ENSG00000141194.6	ENSMUSG00000060787.9
OG0000023	ENSG00000255713.2	ENSMUSG00000093920.2, ENSMUSG00000093839.2
OG0000023	ENSG00000182974.3, ENSG00000288469.1, ENSG00000288194.1, ENSG00000278776.1, ENSG00000274102.2, ENSG00000275249.1, ENSG00000176299.5	ENSMUSG00000045306.3
OG0000023	ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2	ENSMUSG00000090874.2, ENSMUSG00000091873.2
OG0000023	ENSG00000184394.2	ENSMUSG00000048933.8
OG0000025	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5	ENSMUSG00000073421.6
OG0000025	ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11	ENSMUSG00000060586.11, ENSMUSG00000067341.6
OG0000026	ENSG00000171815.5	ENSMUSG00000051663.4
OG0000026	ENSG00000120324.9, ENSG00000177839.7	ENSMUSG00000048347.5
OG0000026	ENSG00000113212.7	ENSMUSG00000047033.2
OG0000026	ENSG00000112852.7	ENSMUSG00000051599.4
OG0000026	ENSG00000120327.6	ENSMUSG00000046191.7
OG0000026	ENSG00000272674.3	ENSMUSG00000046387.5
OG0000026	ENSG00000187372.11, ENSG00000120322.4	ENSMUSG00000047910.6
OG0000026	ENSG00000081818.4	ENSMUSG00000045062.4, ENSMUSG00000051242.1, ENSMUSG00000063687.3
OG0000026	ENSG00000113209.9	ENSMUSG00000045657.3, ENSMUSG00000043458.5, ENSMUSG00000051486.5, ENSMUSG00000051678.4, ENSMUSG00000045876.4, ENSMUSG00000045689.3
OG0000026	ENSG00000113211.5	ENSMUSG00000047307.2
OG0000026	ENSG00000113205.5	ENSMUSG00000045498.1
OG0000026	ENSG00000113248.6	ENSMUSG00000073591.4
OG0000026	ENSG00000120328.6, ENSG00000197479.7	ENSMUSG00000043313.6
OG0000027	ENSG00000075886.11, ENSG00000198033.12	ENSMUSG00000067702.5
OG0000027	ENSG00000152086.9	ENSMUSG00000067338.6
OG0000027	ENSG00000167552.14	ENSMUSG00000072235.6
OG0000027	ENSG00000123416.15	ENSMUSG00000023004.8
OG0000027	ENSG00000178462.12	ENSMUSG00000021216.7
OG0000027	ENSG00000183785.15	ENSMUSG00000030137.8
OG0000027	ENSG00000127824.14	ENSMUSG00000026202.13
OG0000027	ENSG00000167553.15	ENSMUSG00000043091.9
OG0000028	ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4	ENSMUSG00000112023.1, ENSMUSG00000112148.1, ENSMUSG00000062593.17, ENSMUSG00000070873.5
OG0000028	ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4, ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5	ENSMUSG00000074419.11, ENSMUSG00000089942.9, ENSMUSG00000081665.2, ENSMUSG00000074417.9, ENSMUSG00000030427.17, ENSMUSG00000058818.13
OG0000029	ENSG00000170454.6	ENSMUSG00000022986.5
OG0000029	ENSG00000170465.10, ENSG00000205420.11, ENSG00000185479.6	ENSMUSG00000023041.7, ENSMUSG00000058354.7, ENSMUSG00000064232.2, ENSMUSG00000095241.2
OG0000029	ENSG00000186081.12	ENSMUSG00000061527.7
OG0000029	ENSG00000172867.4, ENSG00000167768.4	ENSMUSG00000046834.7
OG0000029	ENSG00000185640.6	ENSMUSG00000061397.8
OG0000029	ENSG00000170477.13	ENSMUSG00000059668.6
OG0000029	ENSG00000170486.11	ENSMUSG00000056605.7
OG0000029	ENSG00000139648.7	ENSMUSG00000051879.4
OG0000029	ENSG00000186049.8	ENSMUSG00000063661.6
OG0000029	ENSG00000186442.7, ENSG00000185069.2	ENSMUSG00000075402.1
OG0000029	ENSG00000170421.12	ENSMUSG00000049382.10
OG0000029	ENSG00000135480.16	ENSMUSG00000023039.17
OG0000031	ENSG00000197408.10	ENSMUSG00000030483.14, ENSMUSG00000040583.8, ENSMUSG00000040660.6, ENSMUSG00000066704.6, ENSMUSG00000040650.8
OG0000031	ENSG00000197838.5, ENSG00000255974.8, ENSG00000198077.10	ENSMUSG00000091867.2, ENSMUSG00000060407.6, ENSMUSG00000074254.4, ENSMUSG00000005547.14
OG0000032	ENSG00000205327.3	ENSMUSG00000044293.5, ENSMUSG00000095138.3, ENSMUSG00000094734.2
OG0000032	ENSG00000179695.2	ENSMUSG00000042801.5
OG0000032	ENSG00000197706.3	ENSMUSG00000044897.3
OG0000032	ENSG00000188324.4	ENSMUSG00000069421.4, ENSMUSG00000063715.2, ENSMUSG00000058251.3
OG0000032	ENSG00000205328.2	ENSMUSG00000049894.3
OG0000032	ENSG00000185821.3	ENSMUSG00000094496.2, ENSMUSG00000095002.3
OG0000032	ENSG00000187857.4	ENSMUSG00000044025.6
OG0000032	ENSG00000205330.4	ENSMUSG00000095696.3, ENSMUSG00000093866.3
OG0000032	ENSG00000205329.2	ENSMUSG00000049217.4
OG0000032	ENSG00000179615.2	ENSMUSG00000056853.3, ENSMUSG00000059762.4
OG0000033	ENSG00000205495.1	ENSMUSG00000073956.3
OG0000033	ENSG00000176787.2	ENSMUSG00000051362.2
OG0000033	ENSG00000180974.4	ENSMUSG00000073914.2
OG0000033	ENSG00000183269.5, ENSG00000205409.3	ENSMUSG00000094531.3, ENSMUSG00000096773.4
OG0000033	ENSG00000181609.5	ENSMUSG00000073931.3
OG0000033	ENSG00000181616.9	ENSMUSG00000042909.4
OG0000033	ENSG00000255307.1	ENSMUSG00000050266.6, ENSMUSG00000043948.2
OG0000033	ENSG00000187747.2	ENSMUSG00000081859.3
OG0000034	ENSG00000229684.10, ENSG00000232421.10, ENSG00000196230.13, ENSG00000235067.10, ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16	ENSMUSG00000001525.10
OG0000034	ENSG00000188229.6	ENSMUSG00000036752.4
OG0000034	ENSG00000137285.10	ENSMUSG00000045136.6
OG0000034	ENSG00000137267.6	ENSMUSG00000058672.7
OG0000034	ENSG00000104833.12	ENSMUSG00000062591.5
OG0000034	ENSG00000176014.13	ENSMUSG00000001473.7
OG0000034	ENSG00000258947.7	ENSMUSG00000062380.4
OG0000034	ENSG00000101162.4	ENSMUSG00000016255.5
OG0000039	ENSG00000127362.2	ENSMUSG00000052850.5
OG0000039	ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1	ENSMUSG00000054497.5
OG0000039	ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3	ENSMUSG00000053217.3, ENSMUSG00000059382.2
OG0000039	ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2	ENSMUSG00000057754.2, ENSMUSG00000061977.2, ENSMUSG00000051153.5, ENSMUSG00000063478.2, ENSMUSG00000053389.4
OG0000040	ENSG00000206506.10, ENSG00000235680.8, ENSG00000276051.4, ENSG00000235346.9, ENSG00000233095.8, ENSG00000230413.9, ENSG00000237216.8, ENSG00000204632.11, ENSG00000231834.10, ENSG00000223980.10, ENSG00000234745.11, ENSG00000232126.8, ENSG00000206450.11, ENSG00000228964.10, ENSG00000224608.10, ENSG00000223532.10, ENSG00000225691.7, ENSG00000204525.16, ENSG00000233841.11, ENSG00000206435.10, ENSG00000206452.10, ENSG00000237022.10, ENSG00000228299.9, ENSG00000229215.9, ENSG00000224320.9, ENSG00000206505.13, ENSG00000235657.9, ENSG00000227715.11, ENSG00000206503.13, ENSG00000233904.6, ENSG00000229252.6, ENSG00000230254.7, ENSG00000206493.7, ENSG00000204592.9, ENSG00000225201.6, ENSG00000236632.5	ENSMUSG00000016283.13
OG0000042	ENSG00000254221.2	ENSMUSG00000103037.1
OG0000042	ENSG00000262209.3, ENSG00000253910.2	ENSMUSG00000102748.1
OG0000042	ENSG00000276547.1	ENSMUSG00000103749.1
OG0000042	ENSG00000253953.2	ENSMUSG00000103585.1
OG0000042	ENSG00000253305.2	ENSMUSG00000103088.1
OG0000042	ENSG00000254122.2	ENSMUSG00000104063.1
OG0000045	ENSG00000188425.4	ENSMUSG00000051965.8
OG0000047	ENSG00000214787.10, ENSG00000110079.18	ENSMUSG00000101389.1
OG0000047	ENSG00000166961.15	ENSMUSG00000067571.4
OG0000047	ENSG00000166959.8	ENSMUSG00000024730.7
OG0000047	ENSG00000071203.9	ENSMUSG00000101031.2
OG0000050	ENSG00000130368.6	ENSMUSG00000068037.11
OG0000051	ENSG00000136531.17	ENSMUSG00000075318.13
OG0000051	ENSG00000144285.21	ENSMUSG00000064329.13
OG0000051	ENSG00000153253.18	ENSMUSG00000057182.15
OG0000051	ENSG00000169432.17	ENSMUSG00000075316.11
OG0000051	ENSG00000007314.12	ENSMUSG00000001027.7
OG0000051	ENSG00000183873.16	ENSMUSG00000032511.17
OG0000051	ENSG00000196876.17	ENSMUSG00000023033.14
OG0000052	ENSG00000211785.1, ENSG00000211789.2, ENSG00000211794.3	ENSMUSG00000105629.1, ENSMUSG00000105393.1, ENSMUSG00000106620.1, ENSMUSG00000094766.3, ENSMUSG00000094023.3, ENSMUSG00000095736.1, ENSMUSG00000104620.1, ENSMUSG00000096417.2, ENSMUSG00000105533.1, ENSMUSG00000096746.3, ENSMUSG00000096908.3, ENSMUSG00000096138.5, ENSMUSG00000105080.1, ENSMUSG00000105721.1
OG0000052	ENSG00000211810.3	ENSMUSG00000076862.5
OG0000052	ENSG00000211803.2	ENSMUSG00000095560.2, ENSMUSG00000093801.2, ENSMUSG00000095711.5, ENSMUSG00000076840.4, ENSMUSG00000096827.2, ENSMUSG00000095854.4, ENSMUSG00000094212.3, ENSMUSG00000094619.2, ENSMUSG00000076824.3
OG0000052	ENSG00000211779.3	ENSMUSG00000076760.2, ENSMUSG00000076858.3, ENSMUSG00000094828.5, ENSMUSG00000094877.2, ENSMUSG00000093953.2
OG0000052	ENSG00000211791.2	ENSMUSG00000096106.1, ENSMUSG00000096168.1, ENSMUSG00000095607.3, ENSMUSG00000076761.1, ENSMUSG00000095646.1, ENSMUSG00000094792.3, ENSMUSG00000096551.2
OG0000055	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11	ENSMUSG00000054036.6, ENSMUSG00000064121.4
OG0000056	ENSG00000239389.8	ENSMUSG00000103310.1
OG0000056	ENSG00000250120.8	ENSMUSG00000103770.1
OG0000056	ENSG00000081842.18, ENSG00000204962.6	ENSMUSG00000103707.5
OG0000056	ENSG00000251664.5, ENSG00000249158.6	ENSMUSG00000102206.5
OG0000056	ENSG00000204967.12	ENSMUSG00000103458.1, ENSMUSG00000104252.5
OG0000056	ENSG00000204963.6, ENSG00000204961.6	ENSMUSG00000104318.1, ENSMUSG00000103800.1
OG0000056	ENSG00000255408.4	ENSMUSG00000102312.1
OG0000056	ENSG00000204969.7	ENSMUSG00000104148.5
OG0000056	ENSG00000204970.9	ENSMUSG00000103442.5
OG0000056	ENSG00000204965.9	ENSMUSG00000103092.1
OG0000059	ENSG00000184009.12	ENSMUSG00000062825.15
OG0000059	ENSG00000075624.16	ENSMUSG00000029580.14
OG0000059	ENSG00000169067.4	ENSMUSG00000055194.3
OG0000059	ENSG00000159251.8, ENSG00000143632.14, ENSG00000163017.14, ENSG00000107796.13	ENSMUSG00000031085.16
OG0000061	ENSG00000110848.8	ENSMUSG00000030156.5
OG0000061	ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15	ENSMUSG00000030364.6, ENSMUSG00000030155.7, ENSMUSG00000030365.11, ENSMUSG00000000248.16, ENSMUSG00000030157.5, ENSMUSG00000089728.3
OG0000062	ENSG00000134193.15	ENSMUSG00000027876.4
OG0000063	ENSG00000184995.7	ENSMUSG00000045364.2
OG0000063	ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7	ENSMUSG00000095270.1, ENSMUSG00000063376.6, ENSMUSG00000096682.1, ENSMUSG00000101252.1, ENSMUSG00000100079.1, ENSMUSG00000095896.1, ENSMUSG00000073811.4, ENSMUSG00000096011.1, ENSMUSG00000100713.1, ENSMUSG00000078355.1, ENSMUSG00000095498.1, ENSMUSG00000078354.1, ENSMUSG00000070904.4, ENSMUSG00000100549.1
OG0000064	ENSG00000244116.3, ENSG00000282025.1, ENSG00000242534.2, ENSG00000243264.2, ENSG00000211623.2	ENSMUSG00000105606.1, ENSMUSG00000076501.2, ENSMUSG00000076500.2, ENSMUSG00000076518.6
OG0000064	ENSG00000282182.1, ENSG00000251039.2, ENSG00000273962.1	ENSMUSG00000093861.2, ENSMUSG00000094335.2, ENSMUSG00000095497.2, ENSMUSG00000076535.1, ENSMUSG00000076525.3
OG0000064	ENSG00000282671.1, ENSG00000241566.1, ENSG00000241294.1, ENSG00000243238.1, ENSG00000281933.1, ENSG00000239571.1	ENSMUSG00000076505.1, ENSMUSG00000096580.1, ENSMUSG00000096336.2, ENSMUSG00000094491.2, ENSMUSG00000076573.6
OG0000065	ENSG00000165953.9	ENSMUSG00000041567.3
OG0000065	ENSG00000170054.14, ENSG00000100665.12	ENSMUSG00000058260.2
OG0000065	ENSG00000196136.18	ENSMUSG00000079013.2, ENSMUSG00000066364.2, ENSMUSG00000041536.13, ENSMUSG00000058207.6, ENSMUSG00000079012.11, ENSMUSG00000066361.3, ENSMUSG00000021091.8, ENSMUSG00000079014.4, ENSMUSG00000066363.12, ENSMUSG00000041481.17
OG0000065	ENSG00000258597.3, ENSG00000274821.4	ENSMUSG00000021081.12
OG0000065	ENSG00000277377.4, ENSG00000197249.14	ENSMUSG00000072849.10, ENSMUSG00000071177.4, ENSMUSG00000066366.14, ENSMUSG00000079015.2, ENSMUSG00000071178.11
OG0000069	ENSG00000135437.9	ENSMUSG00000025350.15
OG0000069	ENSG00000139547.7	ENSMUSG00000040134.8, ENSMUSG00000099009.1, ENSMUSG00000056148.8, ENSMUSG00000069456.4, ENSMUSG00000074639.6, ENSMUSG00000054052.5, ENSMUSG00000089789.1
OG0000069	ENSG00000025423.11	ENSMUSG00000025396.7
OG0000069	ENSG00000170426.2	ENSMUSG00000040127.13
OG0000071	ENSG00000007129.18, ENSG00000278565.4, ENSG00000007306.15, ENSG00000221878.13, ENSG00000124467.19, ENSG00000231924.9, ENSG00000221826.10, ENSG00000183668.18, ENSG00000170848.15, ENSG00000204941.14, ENSG00000243137.8, ENSG00000243130.8, ENSG00000242221.9, ENSG00000086548.9, ENSG00000124469.12, ENSG00000105388.16, ENSG00000079385.22	ENSMUSG00000054385.14, ENSMUSG00000074272.10
OG0000072	ENSG00000197901.11	ENSMUSG00000024650.5
OG0000072	ENSG00000149452.16	ENSMUSG00000063796.9
OG0000072	ENSG00000137204.14	ENSMUSG00000067144.7
OG0000072	ENSG00000168065.16, ENSG00000197891.12	ENSMUSG00000107099.4, ENSMUSG00000061742.12
OG0000072	ENSG00000184999.12, ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10	ENSMUSG00000022366.12
OG0000073	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6	ENSMUSG00000090877.3, ENSMUSG00000091971.3
OG0000073	ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6	ENSMUSG00000007033.4
OG0000073	ENSG00000109971.14	ENSMUSG00000015656.17
OG0000073	ENSG00000126803.9	ENSMUSG00000059970.7
OG0000074	ENSG00000129437.10	ENSMUSG00000044737.6
OG0000074	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5	ENSMUSG00000096525.2, ENSMUSG00000094808.2, ENSMUSG00000029882.5, ENSMUSG00000054106.7, ENSMUSG00000036938.17, ENSMUSG00000062751.5, ENSMUSG00000071519.6, ENSMUSG00000071517.6, ENSMUSG00000058119.6, ENSMUSG00000071521.4, ENSMUSG00000057163.3
OG0000076	ENSG00000211798.3	ENSMUSG00000096055.2, ENSMUSG00000095689.5, ENSMUSG00000096825.2, ENSMUSG00000095958.3, ENSMUSG00000093915.2, ENSMUSG00000094607.2, ENSMUSG00000096531.2, ENSMUSG00000096129.2, ENSMUSG00000096656.6
OG0000076	ENSG00000211783.3	ENSMUSG00000076800.1, ENSMUSG00000096149.5, ENSMUSG00000095426.6
