Orthogroup	H_sapiens.pep	C_familiaris.pep
OG0000039	ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2	ENSCAFG00000013381.2
OG0000040	ENSG00000206506.10, ENSG00000235680.8, ENSG00000276051.4, ENSG00000235346.9, ENSG00000233095.8, ENSG00000230413.9, ENSG00000237216.8, ENSG00000204632.11, ENSG00000231834.10, ENSG00000223980.10, ENSG00000234745.11, ENSG00000232126.8, ENSG00000206450.11, ENSG00000228964.10, ENSG00000224608.10, ENSG00000223532.10, ENSG00000225691.7, ENSG00000204525.16, ENSG00000233841.11, ENSG00000206435.10, ENSG00000206452.10, ENSG00000237022.10, ENSG00000228299.9, ENSG00000229215.9, ENSG00000224320.9, ENSG00000206505.13, ENSG00000235657.9, ENSG00000227715.11, ENSG00000206503.13, ENSG00000233904.6, ENSG00000229252.6, ENSG00000230254.7, ENSG00000206493.7, ENSG00000204592.9, ENSG00000225201.6, ENSG00000236632.5	ENSCAFG00000008234.5
OG0000042	ENSG00000276547.1	ENSCAFG00000049483.1
OG0000045	ENSG00000188425.4	ENSCAFG00000024541.1
OG0000047	ENSG00000214787.10, ENSG00000110079.18	ENSCAFG00000010365.4
OG0000050	ENSG00000130368.6	ENSCAFG00000000742.3
OG0000051	ENSG00000136531.17	ENSCAFG00000011130.5
OG0000051	ENSG00000144285.21	ENSCAFG00000005058.5
OG0000051	ENSG00000153253.18	ENSCAFG00000010864.5
OG0000051	ENSG00000169432.17	ENSCAFG00000011438.5
OG0000051	ENSG00000007314.12	ENSCAFG00000012146.5
OG0000051	ENSG00000183873.16	ENSCAFG00000005051.5
OG0000051	ENSG00000196876.17	ENSCAFG00000007600.4
OG0000052	ENSG00000211801.3	ENSCAFG00000025546.3
OG0000052	ENSG00000211810.3	ENSCAFG00000011096.4
OG0000052	ENSG00000211779.3, ENSG00000211791.2, ENSG00000211788.2	ENSCAFG00000048140.1, ENSCAFG00000043519.1, ENSCAFG00000047752.1
OG0000056	ENSG00000239389.8	ENSCAFG00000023033.4
OG0000056	ENSG00000204965.9	ENSCAFG00000045181.1
OG0000059	ENSG00000184009.12	ENSCAFG00000005734.5
OG0000059	ENSG00000169067.4	ENSCAFG00000006961.3
OG0000059	ENSG00000159251.8, ENSG00000143632.14, ENSG00000163017.14, ENSG00000107796.13	ENSCAFG00000010442.5
OG0000061	ENSG00000110848.8	ENSCAFG00000013596.4
OG0000061	ENSG00000110852.4	ENSCAFG00000032751.2
OG0000061	ENSG00000188393.9	ENSCAFG00000047442.1
OG0000061	ENSG00000069493.15	ENSCAFG00000031529.2
OG0000062	ENSG00000134193.15	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2
OG0000063	ENSG00000147873.5, ENSG00000120235.4, ENSG00000233816.3, ENSG00000197919.6, ENSG00000228083.3, ENSG00000214042.1, ENSG00000186803.3, ENSG00000234829.4, ENSG00000236637.4, ENSG00000137080.4, ENSG00000147885.4, ENSG00000120242.4, ENSG00000188379.7	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1
OG0000063	ENSG00000177047.6	ENSCAFG00000048456.1
OG0000064	ENSG00000282182.1, ENSG00000251039.2, ENSG00000273962.1	ENSCAFG00000047687.1, ENSCAFG00000046041.1, ENSCAFG00000046135.1, ENSCAFG00000047572.1, ENSCAFG00000042663.1, ENSCAFG00000042778.1, ENSCAFG00000043564.1, ENSCAFG00000041882.1, ENSCAFG00000042584.1, ENSCAFG00000031121.2, ENSCAFG00000043563.1, ENSCAFG00000047982.1, ENSCAFG00000043200.1, ENSCAFG00000042397.1, ENSCAFG00000049138.1, ENSCAFG00000044081.1, ENSCAFG00000049391.1, ENSCAFG00000047614.1, ENSCAFG00000049667.1, ENSCAFG00000042234.1, ENSCAFG00000044414.1, ENSCAFG00000045261.1, ENSCAFG00000028583.2, ENSCAFG00000047583.1, ENSCAFG00000042668.1, ENSCAFG00000046921.1
OG0000065	ENSG00000165953.9	ENSCAFG00000017661.3
OG0000065	ENSG00000170054.14, ENSG00000100665.12	ENSCAFG00000023610.3
OG0000065	ENSG00000196136.18	ENSCAFG00000017675.5
OG0000065	ENSG00000258597.3, ENSG00000274821.4, ENSG00000277377.4, ENSG00000197249.14	ENSCAFG00000017646.4
OG0000069	ENSG00000135437.9	ENSCAFG00000000063.4
OG0000069	ENSG00000139547.7	ENSCAFG00000000148.4
OG0000069	ENSG00000025423.11	ENSCAFG00000000143.4
OG0000069	ENSG00000170426.2	ENSCAFG00000023161.2
OG0000070	ENSG00000182986.14, ENSG00000204604.12, ENSG00000198538.11, ENSG00000213799.13, ENSG00000196417.13, ENSG00000160336.15, ENSG00000198346.11, ENSG00000203326.12, ENSG00000258405.11, ENSG00000198482.13, ENSG00000189190.10, ENSG00000213020.10, ENSG00000221874.4, ENSG00000180257.13, ENSG00000197385.6, ENSG00000167562.12, ENSG00000213793.5, ENSG00000197497.11, ENSG00000197608.11, ENSG00000196267.12, ENSG00000204611.7, ENSG00000170954.11, ENSG00000167555.14, ENSG00000198633.10, ENSG00000221923.9, ENSG00000198464.14, ENSG00000167554.15, ENSG00000196214.11, ENSG00000167766.18, ENSG00000170949.17	ENSCAFG00000029067.2, ENSCAFG00000030172.2, ENSCAFG00000042474.1
OG0000071	ENSG00000007129.18, ENSG00000278565.4, ENSG00000007306.15, ENSG00000221878.13, ENSG00000124467.19, ENSG00000231924.9, ENSG00000221826.10, ENSG00000183668.18, ENSG00000170848.15, ENSG00000204941.14, ENSG00000243137.8, ENSG00000243130.8, ENSG00000242221.9, ENSG00000086548.9, ENSG00000124469.12, ENSG00000105388.16, ENSG00000079385.22	ENSCAFG00000014247.5, ENSCAFG00000023933.3
OG0000071	ENSG00000170956.17, ENSG00000274131.3, ENSG00000105352.10	ENSCAFG00000043802.1
OG0000072	ENSG00000197901.11	ENSCAFG00000015418.4
OG0000072	ENSG00000149452.16	ENSCAFG00000024439.3
OG0000072	ENSG00000168065.16	ENSCAFG00000025146.3
OG0000072	ENSG00000197891.12	ENSCAFG00000014367.4
OG0000072	ENSG00000184999.12	ENSCAFG00000025291.4
OG0000072	ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10	ENSCAFG00000043861.1, ENSCAFG00000015226.5
OG0000073	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6	ENSCAFG00000000641.4
OG0000073	ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6	ENSCAFG00000000639.3
OG0000073	ENSG00000109971.14	ENSCAFG00000001886.2, ENSCAFG00000011666.4
OG0000073	ENSG00000126803.9	ENSCAFG00000016031.2
OG0000074	ENSG00000129437.10	ENSCAFG00000002880.4
OG0000074	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5	ENSCAFG00000003818.4
OG0000076	ENSG00000211798.3, ENSG00000211783.3, ENSG00000211793.2	ENSCAFG00000014977.4, ENSCAFG00000045242.1, ENSCAFG00000024337.3, ENSCAFG00000031023.2, ENSCAFG00000048830.1
OG0000077	ENSG00000142405.21	ENSCAFG00000002723.5, ENSCAFG00000032019.2
OG0000077	ENSG00000162711.17	ENSCAFG00000010686.4
OG0000077	ENSG00000158077.4	ENSCAFG00000006714.5
OG0000077	ENSG00000276230.4, ENSG00000023191.17	ENSCAFG00000024796.3
OG0000079	ENSG00000211746.3, ENSG00000282621.1	ENSCAFG00000042586.1
OG0000079	ENSG00000282730.1, ENSG00000211750.2	ENSCAFG00000043031.1
OG0000079	ENSG00000281963.1, ENSG00000282499.1	ENSCAFG00000031359.2
OG0000079	ENSG00000282812.1, ENSG00000211753.4	ENSCAFG00000049082.1
OG0000079	ENSG00000282610.1, ENSG00000282134.1, ENSG00000253534.1, ENSG00000282470.1, ENSG00000253188.1, ENSG00000277110.3, ENSG00000211721.2, ENSG00000211724.3, ENSG00000282459.1, ENSG00000281970.1, ENSG00000211706.2, ENSG00000282240.1, ENSG00000211713.3, ENSG00000282719.1, ENSG00000283063.1, ENSG00000282353.1, ENSG00000282007.1, ENSG00000229769.2, ENSG00000275791.1, ENSG00000282340.1, ENSG00000211717.3, ENSG00000282618.1	ENSCAFG00000003812.4
OG0000079	ENSG00000211752.3, ENSG00000282234.1	ENSCAFG00000045360.1
OG0000081	ENSG00000139610.2	ENSCAFG00000007774.4
OG0000081	ENSG00000162438.12	ENSCAFG00000016301.5
OG0000081	ENSG00000142789.20, ENSG00000219073.8	ENSCAFG00000014733.4
OG0000083	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2	ENSCAFG00000018167.4
OG0000083	ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5	ENSCAFG00000018164.4
OG0000083	ENSG00000276409.5, ENSG00000277236.4	ENSCAFG00000018169.4
OG0000085	ENSG00000187498.16	ENSCAFG00000006062.5
OG0000085	ENSG00000188153.13	ENSCAFG00000018020.5
OG0000085	ENSG00000197565.16	ENSCAFG00000018016.5
OG0000085	ENSG00000081052.13	ENSCAFG00000010423.5
OG0000085	ENSG00000169031.20	ENSCAFG00000010426.5
OG0000086	ENSG00000101210.12	ENSCAFG00000013249.4
OG0000086	ENSG00000156508.18	ENSCAFG00000024474.2, ENSCAFG00000011673.1, ENSCAFG00000024406.2, ENSCAFG00000042176.1, ENSCAFG00000003316.1, ENSCAFG00000012222.4, ENSCAFG00000023039.3, ENSCAFG00000044361.1, ENSCAFG00000041097.1, ENSCAFG00000006899.3, ENSCAFG00000017848.4, ENSCAFG00000018228.5, ENSCAFG00000014607.4, ENSCAFG00000041885.1, ENSCAFG00000008655.4, ENSCAFG00000025295.2, ENSCAFG00000002656.4, ENSCAFG00000007079.4, ENSCAFG00000000565.3, ENSCAFG00000017221.3, ENSCAFG00000024806.5, ENSCAFG00000046499.1, ENSCAFG00000009708.2
OG0000087	ENSG00000133026.12	ENSCAFG00000017262.4
OG0000087	ENSG00000276480.5, ENSG00000133392.18	ENSCAFG00000018560.4
OG0000087	ENSG00000100345.21	ENSCAFG00000001630.4
OG0000087	ENSG00000105357.18	ENSCAFG00000003156.5
OG0000090	ENSG00000198848.12, ENSG00000262243.5	ENSCAFG00000009316.4
OG0000090	ENSG00000172831.13	ENSCAFG00000020391.4
OG0000091	ENSG00000183347.14	ENSCAFG00000020200.6
OG0000091	ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10	ENSCAFG00000020204.5
OG0000092	ENSG00000167460.17	ENSCAFG00000015796.4
OG0000092	ENSG00000143549.21	ENSCAFG00000017311.5
OG0000092	ENSG00000198467.15	ENSCAFG00000002086.5
OG0000093	ENSG00000070961.15	ENSCAFG00000006121.5
OG0000093	ENSG00000058668.14	ENSCAFG00000009564.4
OG0000093	ENSG00000067842.17	ENSCAFG00000019230.4
OG0000093	ENSG00000157087.20	ENSCAFG00000005076.5
OG0000094	ENSG00000168594.15	ENSCAFG00000045458.1
OG0000094	ENSG00000134007.5	ENSCAFG00000016666.3
OG0000094	ENSG00000139985.7	ENSCAFG00000016663.3
OG0000095	ENSG00000178789.9	ENSCAFG00000004561.5
OG0000095	ENSG00000204345.1	ENSCAFG00000024944.3, ENSCAFG00000043524.1, ENSCAFG00000024942.4, ENSCAFG00000043569.1
OG0000095	ENSG00000186074.19	ENSCAFG00000004595.5
OG0000095	ENSG00000186407.7	ENSCAFG00000004565.5
OG0000095	ENSG00000284690.2	ENSCAFG00000028912.2
OG0000095	ENSG00000167851.15, ENSG00000167850.4	ENSCAFG00000044944.1, ENSCAFG00000024792.3
OG0000096	ENSG00000279116.2	ENSCAFG00000011300.4, ENSCAFG00000011293.4
OG0000096	ENSG00000196341.3	ENSCAFG00000023573.3
OG0000096	ENSG00000181518.4	ENSCAFG00000011470.3
OG0000096	ENSG00000196119.8	ENSCAFG00000011237.4
OG0000096	ENSG00000197849.6, ENSG00000255298.3	ENSCAFG00000030741.2
