Orthogroup	H_sapiens.pep	X_tropicalis.pep
OG0000008	ENSG00000188486.3	ENSXETG00000017971.1
OG0000008	ENSG00000229674.2	ENSXETG00000004749.1
OG0000008	ENSG00000196747.4	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1
OG0000009	ENSG00000172464.3	ENSXETG00000002333.1
OG0000009	ENSG00000181785.2	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1
OG0000010	ENSG00000146047.6, ENSG00000203814.6, ENSG00000196890.4, ENSG00000285449.1	ENSXETG00000020462.1
OG0000010	ENSG00000180596.7, ENSG00000274290.2, ENSG00000278588.1, ENSG00000273802.2, ENSG00000233822.4, ENSG00000158373.8, ENSG00000277224.2, ENSG00000184678.10, ENSG00000274641.1, ENSG00000275713.2, ENSG00000274559.3, ENSG00000234289.6, ENSG00000197903.7, ENSG00000124635.8	ENSXETG00000018510.1, ENSXETG00000000633.1, ENSXETG00000019715.1, ENSXETG00000000575.1, ENSXETG00000000655.1
OG0000014	ENSG00000163041.12	ENSXETG00000001142.1
OG0000014	ENSG00000203811.1	ENSXETG00000005833.1, ENSXETG00000000591.1, ENSXETG00000016233.1
OG0000014	ENSG00000273213.3, ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3, ENSG00000287080.1, ENSG00000273983.1, ENSG00000278828.1, ENSG00000275379.1, ENSG00000197409.7, ENSG00000275714.1, ENSG00000197153.4, ENSG00000277775.1	ENSXETG00000020403.1, ENSXETG00000002851.1
OG0000014	ENSG00000183598.3	ENSXETG00000015922.1
OG0000015	ENSG00000153029.14	ENSXETG00000008260.1, ENSXETG00000008214.1
OG0000018	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1	ENSXETG00000004068.1
OG0000018	ENSG00000270276.2	ENSXETG00000014569.1
OG0000018	ENSG00000275663.1	ENSXETG00000016155.1
OG0000018	ENSG00000275126.1	ENSXETG00000014595.1
OG0000018	ENSG00000277157.1	ENSXETG00000009538.1
OG0000020	ENSG00000277574.2, ENSG00000211966.2, ENSG00000282401.1, ENSG00000282651.2	ENSXETG00000003671.1, ENSXETG00000003669.1, ENSXETG00000015210.1, ENSXETG00000020653.1, ENSXETG00000017293.1, ENSXETG00000021231.1, ENSXETG00000020942.1
OG0000021	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4, ENSG00000006788.14	ENSXETG00000003410.1, ENSXETG00000009533.1, ENSXETG00000009137.1, ENSXETG00000009197.1, ENSXETG00000011385.1, ENSXETG00000002184.1, ENSXETG00000017638.1, ENSXETG00000010306.1, ENSXETG00000019506.1, ENSXETG00000010273.1
OG0000021	ENSG00000109063.15	ENSXETG00000004084.1
OG0000021	ENSG00000078814.16	ENSXETG00000004298.1
OG0000021	ENSG00000144821.10	ENSXETG00000006074.1
OG0000021	ENSG00000092054.13, ENSG00000197616.12	ENSXETG00000010941.1
OG0000023	ENSG00000276240.2, ENSG00000221977.2, ENSG00000182652.3, ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2, ENSG00000182974.3, ENSG00000288469.1, ENSG00000288194.1, ENSG00000278776.1, ENSG00000274102.2, ENSG00000275249.1, ENSG00000176299.5, ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2, ENSG00000176294.6, ENSG00000184394.2	ENSXETG00000015184.1
OG0000025	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5, ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11	ENSXETG00000008190.1
OG0000027	ENSG00000167552.14	ENSXETG00000001944.1
OG0000027	ENSG00000123416.15	ENSXETG00000009178.1, ENSXETG00000019803.1, ENSXETG00000003420.1
OG0000027	ENSG00000178462.12	ENSXETG00000017890.1, ENSXETG00000020471.1
OG0000027	ENSG00000183785.15	ENSXETG00000012204.1, ENSXETG00000008972.1
OG0000027	ENSG00000127824.14	ENSXETG00000003471.1
OG0000027	ENSG00000167553.15	ENSXETG00000001989.1
OG0000028	ENSG00000276452.4, ENSG00000277751.4, ENSG00000275730.4, ENSG00000278555.4, ENSG00000278279.4, ENSG00000186818.12, ENSG00000276042.4, ENSG00000105609.17, ENSG00000278437.4, ENSG00000277414.4, ENSG00000273991.4, ENSG00000274311.4, ENSG00000275019.5, ENSG00000274587.5, ENSG00000277177.4, ENSG00000204577.11, ENSG00000277816.5, ENSG00000275841.4, ENSG00000276175.4, ENSG00000278046.4, ENSG00000273884.4, ENSG00000274935.5, ENSG00000277398.5, ENSG00000104974.12, ENSG00000275525.5, ENSG00000275290.4, ENSG00000239998.6, ENSG00000278634.4, ENSG00000274000.4, ENSG00000275463.4, ENSG00000131042.14, ENSG00000274513.4, ENSG00000276146.4, ENSG00000274669.5, ENSG00000277807.5, ENSG00000277134.5, ENSG00000104972.15, ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4, ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4, ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5	ENSXETG00000011785.1
OG0000029	ENSG00000170454.6, ENSG00000170465.10, ENSG00000205420.11, ENSG00000185479.6, ENSG00000186081.12	ENSXETG00000002038.1
OG0000029	ENSG00000172867.4, ENSG00000167768.4, ENSG00000185640.6, ENSG00000170477.13, ENSG00000170486.11, ENSG00000139648.7, ENSG00000186049.8, ENSG00000186442.7, ENSG00000185069.2	ENSXETG00000001917.1
OG0000029	ENSG00000170421.12	ENSXETG00000003326.1
OG0000029	ENSG00000135480.16	ENSXETG00000002021.1, ENSXETG00000002714.1
OG0000032	ENSG00000205327.3, ENSG00000179695.2, ENSG00000197706.3, ENSG00000188324.4, ENSG00000205328.2, ENSG00000185821.3, ENSG00000187857.4, ENSG00000205330.4, ENSG00000205329.2, ENSG00000179626.4, ENSG00000179615.2	ENSXETG00000001411.1
OG0000033	ENSG00000205495.1, ENSG00000176787.2, ENSG00000180974.4, ENSG00000183269.5, ENSG00000205409.3, ENSG00000181609.5, ENSG00000181616.9, ENSG00000255307.1, ENSG00000187747.2	ENSXETG00000015963.1
OG0000034	ENSG00000229684.10, ENSG00000232421.10, ENSG00000196230.13, ENSG00000235067.10, ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16	ENSXETG00000003987.1
OG0000034	ENSG00000188229.6	ENSXETG00000001110.1
OG0000034	ENSG00000137285.10, ENSG00000137267.6	ENSXETG00000014970.1
OG0000034	ENSG00000104833.12	ENSXETG00000012328.1
OG0000034	ENSG00000176014.13	ENSXETG00000013453.1
OG0000034	ENSG00000198211.8, ENSG00000258947.7	ENSXETG00000006687.1
OG0000039	ENSG00000127362.2, ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1, ENSG00000273713.2, ENSG00000273086.1, ENSG00000121381.4, ENSG00000277316.2, ENSG00000121314.2, ENSG00000272712.1, ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3, ENSG00000277238.2, ENSG00000272805.1, ENSG00000121318.2	ENSXETG00000011586.1, ENSXETG00000011578.1
OG0000042	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2	ENSXETG00000012612.1, ENSXETG00000012617.1, ENSXETG00000012621.1, ENSXETG00000012646.1, ENSXETG00000012652.1, ENSXETG00000012642.1, ENSXETG00000012659.1, ENSXETG00000012632.1, ENSXETG00000012666.1, ENSXETG00000012675.1, ENSXETG00000012541.1, ENSXETG00000012559.1, ENSXETG00000012570.1, ENSXETG00000012576.1, ENSXETG00000012564.1, ENSXETG00000014670.1, ENSXETG00000012555.1, ENSXETG00000012609.1, ENSXETG00000012600.1, ENSXETG00000012526.1, ENSXETG00000012689.1, ENSXETG00000012683.1, ENSXETG00000012696.1, ENSXETG00000013157.1, ENSXETG00000013187.1, ENSXETG00000013174.1, ENSXETG00000013163.1, ENSXETG00000013165.1
OG0000045	ENSG00000188425.4	ENSXETG00000005669.1, ENSXETG00000005928.1
OG0000050	ENSG00000130368.6	ENSXETG00000021048.1
OG0000051	ENSG00000136531.17, ENSG00000144285.21, ENSG00000153253.18	ENSXETG00000019147.1, ENSXETG00000018833.1
OG0000051	ENSG00000007314.12	ENSXETG00000002390.1
OG0000051	ENSG00000183873.16	ENSXETG00000001983.1
OG0000051	ENSG00000196876.17	ENSXETG00000019242.1
OG0000052	ENSG00000211785.1, ENSG00000211789.2, ENSG00000211794.3, ENSG00000211801.3, ENSG00000211780.3, ENSG00000211781.3, ENSG00000211800.3, ENSG00000211810.3, ENSG00000211803.2, ENSG00000211779.3, ENSG00000211791.2, ENSG00000211788.2	ENSXETG00000014881.1, ENSXETG00000014892.1
OG0000055	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11	ENSXETG00000001422.1, ENSXETG00000001415.1, ENSXETG00000007450.1, ENSXETG00000007646.1
OG0000056	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9	ENSXETG00000012514.1, ENSXETG00000012511.1, ENSXETG00000012507.1, ENSXETG00000012501.1, ENSXETG00000012499.1, ENSXETG00000012492.1, ENSXETG00000012483.1
OG0000059	ENSG00000184009.12	ENSXETG00000002612.1
OG0000059	ENSG00000075624.16	ENSXETG00000003222.1
OG0000059	ENSG00000159251.8	ENSXETG00000021252.1
OG0000059	ENSG00000163017.14, ENSG00000107796.13	ENSXETG00000016356.1
OG0000061	ENSG00000110848.8, ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15	ENSXETG00000015706.1, ENSXETG00000015696.1, ENSXETG00000008822.1
OG0000062	ENSG00000134193.15	ENSXETG00000020477.1, ENSXETG00000021248.1
OG0000065	ENSG00000165953.9	ENSXETG00000020049.1, ENSXETG00000016938.1, ENSXETG00000019254.1, ENSXETG00000019287.1
OG0000065	ENSG00000170054.14, ENSG00000100665.12, ENSG00000196136.18, ENSG00000258597.3, ENSG00000274821.4, ENSG00000277377.4, ENSG00000197249.14	ENSXETG00000020401.1, ENSXETG00000019076.1, ENSXETG00000020172.1
OG0000069	ENSG00000135437.9	ENSXETG00000010603.1
OG0000069	ENSG00000170426.2	ENSXETG00000016879.1, ENSXETG00000016859.1, ENSXETG00000012063.1, ENSXETG00000016886.1, ENSXETG00000016817.1, ENSXETG00000012062.1
OG0000072	ENSG00000197901.11, ENSG00000149452.16	ENSXETG00000016641.1
OG0000072	ENSG00000137204.14	ENSXETG00000016735.1
OG0000072	ENSG00000168065.16, ENSG00000197891.12, ENSG00000184999.12, ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10	ENSXETG00000001264.1, ENSXETG00000001222.1
OG0000073	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6, ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6, ENSG00000173110.8	ENSXETG00000013236.1, ENSXETG00000014295.1
OG0000073	ENSG00000109971.14	ENSXETG00000018563.1
OG0000073	ENSG00000126803.9	ENSXETG00000000353.1
OG0000074	ENSG00000129437.10	ENSXETG00000005617.1, ENSXETG00000005534.1, ENSXETG00000005634.1, ENSXETG00000005609.1
OG0000074	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5	ENSXETG00000005506.1
OG0000076	ENSG00000211798.3, ENSG00000211783.3, ENSG00000211793.2, ENSG00000211808.3, ENSG00000211795.3, ENSG00000211777.2, ENSG00000211796.1	ENSXETG00000014707.1, ENSXETG00000003785.1, ENSXETG00000003794.1, ENSXETG00000014671.1, ENSXETG00000014682.1, ENSXETG00000014726.1, ENSXETG00000003774.1, ENSXETG00000014635.1
OG0000078	ENSG00000247315.4	ENSXETG00000014121.1, ENSXETG00000008482.1, ENSXETG00000015519.1, ENSXETG00000005115.1, ENSXETG00000001802.1, ENSXETG00000010636.1, ENSXETG00000003923.1, ENSXETG00000003458.1, ENSXETG00000006717.1, ENSXETG00000003972.1, ENSXETG00000012435.1, ENSXETG00000005278.1, ENSXETG00000005508.1, ENSXETG00000001212.1, ENSXETG00000007194.1, ENSXETG00000006440.1, ENSXETG00000001560.1, ENSXETG00000002452.1, ENSXETG00000012252.1, ENSXETG00000018100.1, ENSXETG00000003273.1, ENSXETG00000019891.1, ENSXETG00000014957.1, ENSXETG00000014736.1, ENSXETG00000014658.1, ENSXETG00000019793.1, ENSXETG00000007864.1, ENSXETG00000018383.1, ENSXETG00000019943.1, ENSXETG00000003981.1, ENSXETG00000007288.1, ENSXETG00000013308.1, ENSXETG00000021411.1, ENSXETG00000006293.1, ENSXETG00000017473.1, ENSXETG00000009835.1, ENSXETG00000006996.1, ENSXETG00000019617.1
OG0000079	ENSG00000211746.3, ENSG00000282621.1, ENSG00000282730.1, ENSG00000211750.2, ENSG00000281963.1, ENSG00000282499.1, ENSG00000282812.1, ENSG00000211753.4, ENSG00000282610.1, ENSG00000282134.1, ENSG00000253534.1, ENSG00000282470.1, ENSG00000253188.1, ENSG00000277110.3, ENSG00000211721.2, ENSG00000211724.3, ENSG00000282459.1, ENSG00000281970.1, ENSG00000211706.2, ENSG00000282240.1, ENSG00000211713.3, ENSG00000282719.1, ENSG00000283063.1, ENSG00000282353.1, ENSG00000282007.1, ENSG00000229769.2, ENSG00000275791.1, ENSG00000282340.1, ENSG00000211717.3, ENSG00000282618.1, ENSG00000211752.3, ENSG00000282234.1	ENSXETG00000019724.1, ENSXETG00000018500.1
OG0000081	ENSG00000139610.2	ENSXETG00000019621.1, ENSXETG00000018568.1, ENSXETG00000020487.1, ENSXETG00000015889.1, ENSXETG00000019899.1, ENSXETG00000018271.1
OG0000081	ENSG00000142615.8, ENSG00000215704.10	ENSXETG00000004157.1, ENSXETG00000005859.1
OG0000081	ENSG00000162438.12	ENSXETG00000004100.1
OG0000081	ENSG00000142789.20, ENSG00000219073.8	ENSXETG00000005580.1, ENSXETG00000016292.1, ENSXETG00000016344.1, ENSXETG00000016324.1, ENSXETG00000016277.1
OG0000083	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2, ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5, ENSG00000275302.2, ENSG00000276409.5, ENSG00000277236.4	ENSXETG00000006371.1, ENSXETG00000006376.1
OG0000085	ENSG00000187498.16	ENSXETG00000001562.1
OG0000085	ENSG00000188153.13	ENSXETG00000009001.1
OG0000085	ENSG00000134871.19	ENSXETG00000001486.1
OG0000085	ENSG00000197565.16	ENSXETG00000008608.1
OG0000086	ENSG00000101210.12	ENSXETG00000001876.1
OG0000086	ENSG00000156508.18	ENSXETG00000010183.1, ENSXETG00000015513.1, ENSXETG00000021013.1
OG0000087	ENSG00000133026.12	ENSXETG00000005882.1
OG0000087	ENSG00000276480.5, ENSG00000133392.18	ENSXETG00000019782.1
OG0000087	ENSG00000100345.21	ENSXETG00000011830.1
OG0000087	ENSG00000105357.18	ENSXETG00000015761.1
OG0000090	ENSG00000198848.12, ENSG00000262243.5, ENSG00000172824.16, ENSG00000159398.16, ENSG00000261972.5, ENSG00000172831.13	ENSXETG00000008320.1, ENSXETG00000008498.1, ENSXETG00000008162.1, ENSXETG00000020850.1, ENSXETG00000008082.1
OG0000091	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14	ENSXETG00000000698.1, ENSXETG00000000724.1, ENSXETG00000000730.1, ENSXETG00000000740.1, ENSXETG00000005163.1, ENSXETG00000005199.1, ENSXETG00000004387.1
OG0000092	ENSG00000140416.22	ENSXETG00000018099.1
OG0000093	ENSG00000070961.15	ENSXETG00000021066.1
OG0000093	ENSG00000058668.14	ENSXETG00000012846.1
OG0000093	ENSG00000067842.17	ENSXETG00000005871.1
OG0000093	ENSG00000157087.20	ENSXETG00000006206.1
OG0000094	ENSG00000168594.15	ENSXETG00000000933.1
OG0000094	ENSG00000134007.5, ENSG00000139985.7	ENSXETG00000000896.1
OG0000095	ENSG00000178789.9, ENSG00000204345.1, ENSG00000186074.19, ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4	ENSXETG00000005045.1, ENSXETG00000015661.1
OG0000096	ENSG00000279116.2, ENSG00000196341.3, ENSG00000181518.4, ENSG00000196119.8, ENSG00000197849.6, ENSG00000255298.3	ENSXETG00000016928.1, ENSXETG00000017521.1, ENSXETG00000019046.1, ENSXETG00000019139.1
OG0000099	ENSG00000116106.12	ENSXETG00000001208.1
OG0000099	ENSG00000135333.14	ENSXETG00000013697.1
OG0000099	ENSG00000044524.11	ENSXETG00000004436.1
OG0000099	ENSG00000070886.12, ENSG00000080224.17	ENSXETG00000003855.1
OG0000099	ENSG00000145242.13	ENSXETG00000008942.1, ENSXETG00000006635.1
OG0000100	ENSG00000042980.13, ENSG00000134028.14	ENSXETG00000019033.1, ENSXETG00000018055.1
OG0000101	ENSG00000092841.18	ENSXETG00000020222.1
OG0000101	ENSG00000168530.16	ENSXETG00000002189.1
OG0000101	ENSG00000198336.9	ENSXETG00000008691.1
OG0000101	ENSG00000160808.11	ENSXETG00000007676.1
OG0000102	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14, ENSG00000111716.14, ENSG00000285854.1	ENSXETG00000004528.1
OG0000106	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17	ENSXETG00000004466.1
OG0000106	ENSG00000170144.20	ENSXETG00000017121.1
OG0000107	ENSG00000235780.3, ENSG00000227140.3, ENSG00000228856.3, ENSG00000231051.3, ENSG00000285497.1, ENSG00000226430.6, ENSG00000227551.1, ENSG00000231637.3, ENSG00000223569.6, ENSG00000233136.2, ENSG00000248920.2, ENSG00000232399.3, ENSG00000249104.2, ENSG00000231396.2, ENSG00000232264.4, ENSG00000229579.4, ENSG00000230430.4, ENSG00000249811.2, ENSG00000250745.2, ENSG00000248933.2, ENSG00000250844.2, ENSG00000250913.2, ENSG00000284990.1, ENSG00000223443.2, ENSG00000237038.5, ENSG00000284781.1, ENSG00000236125.3, ENSG00000230549.3, ENSG00000284806.1, ENSG00000225327.3	ENSXETG00000009765.1, ENSXETG00000003555.1, ENSXETG00000015608.1
OG0000108	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16	ENSXETG00000008640.1, ENSXETG00000009993.1, ENSXETG00000009648.1
OG0000109	ENSG00000180346.3, ENSG00000183340.7, ENSG00000140993.11, ENSG00000221944.8, ENSG00000177946.6, ENSG00000234616.9	ENSXETG00000007832.1
OG0000110	ENSG00000021645.19	ENSXETG00000002348.1
OG0000110	ENSG00000110076.19	ENSXETG00000000543.1
OG0000110	ENSG00000179915.23	ENSXETG00000013548.1
OG0000111	ENSG00000138758.11	ENSXETG00000007548.1
OG0000111	ENSG00000154997.9, ENSG00000186522.15	ENSXETG00000000914.1
OG0000111	ENSG00000164402.14	ENSXETG00000006548.1
OG0000111	ENSG00000125354.23	ENSXETG00000017510.1
OG0000112	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5	ENSXETG00000008621.1
OG0000113	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15, ENSG00000170899.11	ENSXETG00000021352.1
OG0000115	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11	ENSXETG00000005761.1, ENSXETG00000005977.1, ENSXETG00000005384.1, ENSXETG00000005693.1, ENSXETG00000003341.1
OG0000115	ENSG00000012779.11, ENSG00000275565.4	ENSXETG00000002691.1
OG0000116	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17	ENSXETG00000003024.1
OG0000116	ENSG00000186395.8, ENSG00000171401.15, ENSG00000171346.16, ENSG00000171345.13	ENSXETG00000002922.1
OG0000118	ENSG00000124449.7	ENSXETG00000000892.1, ENSXETG00000000902.1
OG0000119	ENSG00000169504.15	ENSXETG00000008731.1
OG0000119	ENSG00000213719.8, ENSG00000206394.8, ENSG00000226248.6, ENSG00000226417.6, ENSG00000226651.6, ENSG00000223639.6, ENSG00000230685.6	ENSXETG00000012191.1
OG0000119	ENSG00000159212.12, ENSG00000112782.19	ENSXETG00000001974.1
OG0000120	ENSG00000187475.5, ENSG00000124610.4, ENSG00000168298.6, ENSG00000124575.6, ENSG00000184357.4, ENSG00000187837.3	ENSXETG00000014483.1, ENSXETG00000002859.1, ENSXETG00000004759.1, ENSXETG00000000621.1
OG0000122	ENSG00000251608.2, ENSG00000227446.2, ENSG00000225247.4, ENSG00000280236.3, ENSG00000233481.4, ENSG00000204690.6, ENSG00000235966.4, ENSG00000204692.9, ENSG00000224487.8, ENSG00000251394.6, ENSG00000250364.6, ENSG00000112462.8, ENSG00000242022.8	ENSXETG00000010024.1
OG0000126	ENSG00000196781.16	ENSXETG00000018540.1
OG0000126	ENSG00000106829.19	ENSXETG00000021190.1
OG0000129	ENSG00000196090.12	ENSXETG00000010610.1
OG0000129	ENSG00000173482.16	ENSXETG00000020896.1
OG0000129	ENSG00000060656.20	ENSXETG00000018955.1
OG0000129	ENSG00000152894.14, ENSG00000273993.4	ENSXETG00000020932.1
OG0000130	ENSG00000101489.20, ENSG00000159409.15, ENSG00000273025.1, ENSG00000140488.16	ENSXETG00000005046.1
