Orthogroup	H_sapiens.pep	P_Mucros.pep
OG0000056	ENSG00000239389.8, ENSG00000250120.8, ENSG00000081842.18, ENSG00000204962.6, ENSG00000251664.5, ENSG00000249158.6, ENSG00000204967.12, ENSG00000204963.6, ENSG00000204961.6, ENSG00000255408.4, ENSG00000204969.7, ENSG00000204970.9, ENSG00000204965.9	XP_015686863.1, XP_015686845.1, XP_015686795.1, XP_015667034.1, XP_029139102.1
OG0000059	ENSG00000184009.12	XP_015670662.1
OG0000059	ENSG00000075624.16	XP_015682953.1
OG0000059	ENSG00000143632.14	XP_015679888.1
OG0000059	ENSG00000163017.14	XP_015666627.1, XP_015666628.1
OG0000059	ENSG00000107796.13	XP_015671497.1, XP_015687360.1
OG0000061	ENSG00000110852.4, ENSG00000188393.9, ENSG00000069493.15	XP_015684923.1, XP_015683390.1, XP_029142390.1, XP_015683388.1, XP_015681309.1, XP_029141912.1
OG0000062	ENSG00000134193.15	XP_029142850.1, XP_029142268.1, XP_029142599.1, XP_015684243.1, XP_015676883.1, XP_029140961.1, XP_015685340.1, XP_029142849.1, XP_015685339.2, XP_029142959.1, XP_015673408.1, XP_029142076.1, XP_015686729.2, XP_015681994.1, XP_015686675.1
OG0000065	ENSG00000165953.9	XP_015686921.2, XP_015686896.1, XP_029142736.1, XP_015686236.2
OG0000069	ENSG00000135437.9	XP_015679681.1
OG0000069	ENSG00000139547.7, ENSG00000025423.11	XP_015678382.1, XP_015678381.1, XP_015678383.1, XP_015678379.1, XP_015686129.1, XP_015678380.1, XP_029141284.1, XP_015672627.1
OG0000071	ENSG00000267881.2, ENSG00000007129.18, ENSG00000278565.4, ENSG00000007306.15, ENSG00000221878.13, ENSG00000124467.19, ENSG00000231924.9, ENSG00000221826.10, ENSG00000183668.18, ENSG00000170848.15, ENSG00000204941.14, ENSG00000243137.8, ENSG00000243130.8, ENSG00000242221.9, ENSG00000086548.9, ENSG00000124469.12, ENSG00000105388.16, ENSG00000079385.22, ENSG00000170956.17, ENSG00000274131.3, ENSG00000105352.10	XP_015685533.1, XP_015682491.1, XP_015684998.1
OG0000072	ENSG00000197901.11, ENSG00000149452.16	XP_015684770.2, XP_029141432.1, XP_029141435.1, XP_029141436.1
OG0000072	ENSG00000137204.14	XP_015671903.1
OG0000072	ENSG00000168065.16, ENSG00000197891.12, ENSG00000184999.12, ENSG00000197658.9, ENSG00000196600.12, ENSG00000149742.10	XP_015680830.1
OG0000073	ENSG00000204388.7, ENSG00000231555.4, ENSG00000204389.10, ENSG00000237724.5, ENSG00000235941.5, ENSG00000234475.5, ENSG00000215328.6, ENSG00000232804.5, ENSG00000224501.5, ENSG00000212866.6, ENSG00000206383.8, ENSG00000226704.6, ENSG00000236251.6, ENSG00000204390.10, ENSG00000234258.6, ENSG00000173110.8	XP_015674252.1
OG0000073	ENSG00000109971.14	XP_015676898.1
OG0000073	ENSG00000126803.9	XP_015668814.1
OG0000074	ENSG00000129437.10	XP_015672094.1
OG0000074	ENSG00000010438.16, ENSG00000204983.14, ENSG00000274247.4, ENSG00000282049.1, ENSG00000275896.5	XP_015670840.1, XP_015670842.1
OG0000077	ENSG00000142405.21, ENSG00000162711.17	XP_029141841.1, XP_015679149.1, XP_029140712.1, XP_015679160.1, XP_015681733.2, XP_015672809.1
OG0000077	ENSG00000276230.4, ENSG00000023191.17	XP_015671970.1, XP_015671971.1
OG0000081	ENSG00000162438.12	XP_015675839.1
OG0000081	ENSG00000142789.20, ENSG00000219073.8	XP_015686395.1, XP_015686839.1, XP_015686746.1, XP_015686887.1, XP_015685638.1, XP_015683637.1
OG0000083	ENSG00000277632.2, ENSG00000274221.2, ENSG00000278567.2, ENSG00000277768.2, ENSG00000277336.2, ENSG00000276085.1, ENSG00000277796.2, ENSG00000278006.2, ENSG00000278167.2, ENSG00000275385.2, ENSG00000275824.4, ENSG00000277943.4, ENSG00000276125.4, ENSG00000276070.5, ENSG00000282604.1, ENSG00000275313.5, ENSG00000275302.2, ENSG00000276409.5, ENSG00000277236.4	XP_015670326.1
OG0000085	ENSG00000187498.16	XP_029139245.1
OG0000085	ENSG00000188153.13	XP_029138764.1
OG0000085	ENSG00000134871.19	XP_029139244.1
OG0000085	ENSG00000197565.16	XP_029138762.1
OG0000085	ENSG00000081052.13	XP_029139815.1
OG0000085	ENSG00000169031.20	XP_029140039.1
OG0000086	ENSG00000101210.12	XP_015685683.1
OG0000086	ENSG00000156508.18	XP_015672964.1
OG0000087	ENSG00000133026.12	XP_015677192.1, XP_015677190.1, XP_015677194.1
OG0000087	ENSG00000276480.5, ENSG00000133392.18	XP_015667487.1, XP_015667489.1
OG0000087	ENSG00000100345.21	XP_015687322.1, XP_015687313.1
OG0000087	ENSG00000105357.18	XP_015680596.1, XP_015680595.1, XP_029141745.1, XP_015680594.1, XP_015680592.1, XP_029138971.1
OG0000090	ENSG00000198848.12, ENSG00000262243.5	XP_029139218.1
OG0000091	ENSG00000183347.14, ENSG00000162654.9, ENSG00000213512.3, ENSG00000162645.13, ENSG00000117226.12, ENSG00000117228.10, ENSG00000154451.14	XP_015686258.1, XP_015680841.1, XP_015680846.1
OG0000092	ENSG00000167460.17	XP_015671316.1, XP_015671321.1, XP_015671317.1, XP_015671315.1, XP_015665456.1
OG0000092	ENSG00000143549.21	XP_015668851.1, XP_029139443.1, XP_015668848.1, XP_015668852.1
OG0000092	ENSG00000140416.22	XP_015666499.1, XP_015666500.1, XP_015666495.1
OG0000092	ENSG00000198467.15	XP_015666492.1, XP_015666494.1, XP_015666496.1
OG0000093	ENSG00000070961.15	XP_029138978.1, XP_029138977.1
OG0000093	ENSG00000058668.14	XP_015687648.1, XP_015687649.1
OG0000093	ENSG00000067842.17	XP_015670614.1, XP_029139830.1, XP_015670621.1, XP_015670622.1, XP_015670620.1, XP_015670618.1, XP_015670619.1, XP_015670617.1, XP_029139829.1, XP_015670615.1
OG0000093	ENSG00000157087.20	XP_029143067.1
OG0000094	ENSG00000134007.5, ENSG00000139985.7	XP_015686431.1, XP_015679002.1, XP_015679003.1, XP_015675521.1, XP_015678999.1, XP_029141417.1, XP_015679000.1, XP_015675520.2, XP_029139882.1, XP_029139885.1
OG0000095	ENSG00000178789.9, ENSG00000204345.1, ENSG00000186074.19	XP_015667286.1
OG0000095	ENSG00000186407.7, ENSG00000284690.2, ENSG00000167851.15, ENSG00000167850.4	XP_029139131.1
OG0000099	ENSG00000116106.12	XP_015673346.1
OG0000099	ENSG00000135333.14	XP_029140096.1
OG0000099	ENSG00000044524.11	XP_015675447.2
OG0000099	ENSG00000070886.12	XP_029139330.1
OG0000099	ENSG00000080224.17	XP_015679762.1
OG0000100	ENSG00000042980.13, ENSG00000134028.14	XP_015683146.2, XP_015683144.1, XP_015683145.1, XP_029142320.1, XP_015685587.1, XP_015685701.1, XP_029142020.1, XP_029142018.1, XP_015681821.1, NP_001310177.1, XP_029142322.1, XP_015683047.1, XP_015683679.2, XP_029142019.1, XP_015683048.1, XP_015685802.1, XP_015685664.1, XP_015682631.1, XP_015683143.1
OG0000101	ENSG00000092841.18	XP_015678399.1, XP_015678398.1
OG0000101	ENSG00000196465.10	XP_015678396.1
OG0000101	ENSG00000168530.16	XP_015686607.1, XP_015686600.1
OG0000101	ENSG00000198336.9	XP_015687734.1
OG0000101	ENSG00000160808.11	XP_015669788.1
OG0000102	ENSG00000166796.12, ENSG00000166800.10, ENSG00000171989.6, ENSG00000288299.1, ENSG00000134333.14	XP_015675100.1
OG0000102	ENSG00000111716.14, ENSG00000285854.1	XP_015682701.1
OG0000103	ENSG00000180658.4, ENSG00000243896.4, ENSG00000284827.1, ENSG00000284749.2, ENSG00000221933.3, ENSG00000285496.1, ENSG00000284836.1, ENSG00000212807.2, ENSG00000221970.2, ENSG00000285105.1, ENSG00000285154.1, ENSG00000221858.3, ENSG00000284949.2, ENSG00000284896.1, ENSG00000221836.3, ENSG00000285071.2, ENSG00000221989.2, ENSG00000221938.5, ENSG00000284891.1	XP_015669529.1, XP_015669539.1, XP_015669528.2
OG0000106	ENSG00000224578.5, ENSG00000139675.12, ENSG00000135486.17	XP_015673749.1
OG0000106	ENSG00000170144.20	XP_015670458.1, XP_015670457.1
OG0000108	ENSG00000106258.15, ENSG00000160868.15, ENSG00000282301.2, ENSG00000160870.14, ENSG00000021461.16	XP_015675017.1, XP_015675003.1
OG0000109	ENSG00000221944.8	XP_029141959.1, XP_015678078.1, XP_015670871.1
OG0000110	ENSG00000021645.19	XP_015674238.1
OG0000110	ENSG00000110076.19	XP_029140479.1
OG0000110	ENSG00000179915.23	XP_015669164.1, XP_015669166.1, XP_029139511.1, XP_029139515.1, XP_029139514.1, XP_029139512.1, XP_029139513.1, XP_015669170.1, XP_029139508.1, XP_029139504.1, XP_015669169.1, XP_029139506.1, XP_029139505.1, XP_029139509.1, XP_029139510.1, XP_015669167.1, XP_029139507.1, XP_015669165.1
OG0000111	ENSG00000138758.11	XP_015671863.1
OG0000111	ENSG00000154997.9, ENSG00000186522.15	XP_015671967.2
OG0000111	ENSG00000164402.14	XP_015682442.1
OG0000111	ENSG00000125354.23	XP_015685194.1, XP_015685989.1
OG0000112	ENSG00000278216.3, ENSG00000135220.11, ENSG00000156096.14, ENSG00000171234.14, ENSG00000109181.12, ENSG00000275190.3, ENSG00000213759.10, ENSG00000135226.18, ENSG00000196620.10, ENSG00000197888.2, ENSG00000277132.2, ENSG00000173610.12, ENSG00000271271.5	XP_029139834.1
OG0000113	ENSG00000243955.6, ENSG00000244067.3, ENSG00000182793.11, ENSG00000174156.15	XP_015672662.1, XP_015672664.1, XP_015672663.1, XP_015672656.1, XP_015672657.1
OG0000113	ENSG00000170899.11	XP_029140220.1, XP_015672653.1
OG0000115	ENSG00000179593.16, ENSG00000179148.9, ENSG00000179477.11	XP_015681977.1, XP_015681973.1, XP_029142064.1
OG0000115	ENSG00000012779.11, ENSG00000275565.4	XP_015672908.1, XP_015676950.1
OG0000116	ENSG00000186832.9, ENSG00000186847.6, ENSG00000128422.17	XP_015687773.1, XP_015687806.2, XP_029143187.1
OG0000118	ENSG00000124449.7	XP_015686784.1, XP_015685484.1, XP_015686918.2, XP_015685483.1, XP_015685041.1, XP_015686387.1, XP_015685832.1, XP_015684166.1, XP_015686413.1, XP_015686756.1, XP_015686637.1, XP_029141999.1, XP_015681724.1, XP_015682381.1, XP_015680316.1
OG0000119	ENSG00000169504.15	XP_015675783.1
OG0000119	ENSG00000213719.8, ENSG00000206394.8, ENSG00000226248.6, ENSG00000226417.6, ENSG00000226651.6, ENSG00000223639.6, ENSG00000230685.6	XP_015678738.1
OG0000119	ENSG00000159212.12	XP_015676013.1, XP_015680784.2
OG0000119	ENSG00000112782.19	XP_015667791.1, XP_015667790.1
OG0000121	ENSG00000253846.2, ENSG00000261934.2, ENSG00000253767.2, ENSG00000253159.3, ENSG00000253873.6, ENSG00000254245.2, ENSG00000081853.15, ENSG00000204956.5, ENSG00000253485.2, ENSG00000262576.3, ENSG00000253537.3, ENSG00000253731.2	XP_015684165.2, XP_029142635.1, XP_029142591.1
OG0000122	ENSG00000251608.2, ENSG00000227446.2, ENSG00000225247.4, ENSG00000280236.3, ENSG00000233481.4, ENSG00000204690.6, ENSG00000235966.4, ENSG00000204692.9, ENSG00000224487.8, ENSG00000251394.6, ENSG00000250364.6, ENSG00000112462.8, ENSG00000242022.8	XP_015671586.1, XP_015671585.1, XP_015671621.1, XP_015671588.1, XP_015671620.1, XP_015671587.1, XP_015671584.1, XP_015671590.1, XP_015671589.1, XP_015671591.1, XP_015671596.1, XP_015671595.1, XP_015671593.1, XP_015671597.1, XP_015671592.1, XP_015671598.1, XP_029140000.1
OG0000126	ENSG00000196781.16	XP_015667989.1, XP_015667988.1
OG0000126	ENSG00000106829.19	XP_015672138.1
OG0000126	ENSG00000140332.16	XP_029139160.1, XP_029139161.1, XP_029139162.1, XP_015667401.1, XP_029139164.1, XP_029139163.1, XP_029139159.1, XP_015667400.1, XP_015667398.1, XP_015667397.1, XP_015667399.1, XP_015667396.1, XP_015667395.1
OG0000127	ENSG00000170265.12	XP_015684744.1
OG0000127	ENSG00000197024.9, ENSG00000181220.17, ENSG00000204946.10	XP_015677677.1
OG0000128	ENSG00000258818.4, ENSG00000129538.14	XP_029142455.1, XP_015681176.1, XP_015681179.1
OG0000128	ENSG00000214274.9	XP_015681182.1, XP_015687069.2
OG0000129	ENSG00000196090.12	XP_015677033.1
OG0000129	ENSG00000173482.16	XP_015669757.1
OG0000129	ENSG00000060656.20	XP_029139363.1
OG0000129	ENSG00000152894.14, ENSG00000273993.4	XP_029140019.1
OG0000130	ENSG00000159409.15	XP_015684573.1, XP_015684574.1, XP_029142680.1, XP_029142679.1, XP_029142678.1, XP_029142682.1, XP_029142684.1, XP_029142685.1, XP_029142683.1, XP_015684577.1, XP_029142681.1, XP_015684575.1, XP_015684576.1, XP_015684578.1, XP_029142690.1, XP_029142692.1, XP_029142691.1, XP_029142689.1, XP_029142688.1, XP_029142686.1, XP_029142687.1
OG0000130	ENSG00000273025.1, ENSG00000140488.16	XP_029141364.1
OG0000131	ENSG00000183570.16	XP_015680915.1
OG0000131	ENSG00000197111.15, ENSG00000169564.7	XP_015675704.1
OG0000135	ENSG00000125900.13, ENSG00000101307.15, ENSG00000089012.14, ENSG00000198053.11, ENSG00000260861.6	XP_029143026.1, XP_029142788.1, XP_029142878.1, XP_029142287.1, XP_029142789.1
OG0000136	ENSG00000177189.14	XP_015680878.1, XP_015680870.1
OG0000136	ENSG00000071242.12	XP_015673847.1
OG0000136	ENSG00000117676.14, ENSG00000281877.3	XP_029140470.1
OG0000136	ENSG00000072133.11	XP_029141621.1
OG0000137	ENSG00000004799.8	XP_015667066.1
OG0000137	ENSG00000005882.12	XP_015665901.1
OG0000137	ENSG00000067992.15	XP_015683353.1, XP_015683349.1, XP_015683341.1
OG0000137	ENSG00000152256.13	XP_015676018.1
OG0000138	ENSG00000105993.15	XP_015688007.1, XP_015688008.1, XP_015688006.1
OG0000138	ENSG00000179407.3	XP_015681515.1
OG0000138	ENSG00000135924.15	XP_015672185.1
OG0000143	ENSG00000133878.9	XP_015676537.1
OG0000143	ENSG00000079393.20	XP_015671953.1, XP_015671938.1
OG0000143	ENSG00000188716.5, ENSG00000281660.1	XP_015671939.1
OG0000144	ENSG00000106560.11, ENSG00000213203.3	XP_029143019.1, XP_029142873.1, XP_029141366.1, XP_015685258.1, XP_029141365.1, XP_015686440.1, XP_029142369.1, XP_029141367.1, XP_015678767.1, XP_015683151.1, XP_015683350.1, XP_015685563.1, XP_015685103.1, XP_015684701.1, XP_015684933.1, XP_029142796.1, XP_015684959.1, XP_029142805.1, XP_015685104.1, XP_029142983.1, XP_015684680.2
OG0000146	ENSG00000103355.13, ENSG00000172382.10	XP_015674430.2
OG0000147	ENSG00000151640.13	XP_015667871.1, XP_015667872.1, XP_029139251.1
OG0000147	ENSG00000072832.15	XP_015682850.1
OG0000147	ENSG00000113657.13	XP_015676540.1
OG0000147	ENSG00000092964.18	XP_029141582.1, XP_015679774.1
OG0000149	ENSG00000130402.12, ENSG00000282844.2	XP_015680285.1
OG0000149	ENSG00000077522.13	XP_015674515.1
OG0000149	ENSG00000248746.6	XP_015687228.1
OG0000149	ENSG00000072110.13	XP_015669574.1, XP_015669575.1, XP_015669576.1
OG0000150	ENSG00000183549.10	XP_015681761.1
OG0000150	ENSG00000215009.5	XP_015681941.1
OG0000150	ENSG00000066813.14, ENSG00000183747.12, ENSG00000166743.9	XP_029142048.1, XP_015681947.1
OG0000151	ENSG00000187048.13, ENSG00000162365.12	XP_029139285.1
OG0000153	ENSG00000111640.15	XP_015669483.1
OG0000153	ENSG00000105679.9	XP_015677236.2
OG0000154	ENSG00000106018.14	XP_015666971.1
OG0000154	ENSG00000080293.9	XP_015681070.1
OG0000154	ENSG00000114812.13	XP_015667884.1
OG0000154	ENSG00000106128.19	XP_029139258.1
OG0000155	ENSG00000134538.3, ENSG00000205754.11, ENSG00000257046.5, ENSG00000111700.12	XP_029141321.1
OG0000155	ENSG00000084453.16	XP_029141320.1, XP_015678568.1
OG0000156	ENSG00000203972.10	XP_015676189.1
OG0000158	ENSG00000130635.16	XP_015680736.1
OG0000158	ENSG00000060718.22	XP_015676867.1, XP_015677214.1
OG0000159	ENSG00000128322.7, ENSG00000254709.8, ENSG00000211685.3, ENSG00000211675.2, ENSG00000211677.2, ENSG00000211679.2	XP_029141105.1, XP_015677573.2
