Orthogroup	G_gallus.pep	P_troglodytes.pep
OG0000014	ENSGALG00000048231.1	ENSPTRG00000049585.1, ENSPTRG00000046297.1, ENSPTRG00000049252.1, ENSPTRG00000047137.1, ENSPTRG00000052362.1, ENSPTRG00000048013.1, ENSPTRG00000043155.1, ENSPTRG00000017824.3, ENSPTRG00000042751.1, ENSPTRG00000044316.1, ENSPTRG00000045132.1, ENSPTRG00000052301.1
OG0000018	ENSGALG00000050250.1	ENSPTRG00000047872.1, ENSPTRG00000001238.5, ENSPTRG00000052602.1, ENSPTRG00000052551.1
OG0000018	ENSGALG00000048097.1	ENSPTRG00000046404.1, ENSPTRG00000051784.1, ENSPTRG00000046786.1, ENSPTRG00000043887.1, ENSPTRG00000047281.1, ENSPTRG00000004722.5
OG0000021	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4	ENSPTRG00000008769.4, ENSPTRG00000008770.5, ENSPTRG00000008771.7, ENSPTRG00000008768.6
OG0000021	ENSGALG00000029660.2	ENSPTRG00000008766.6
OG0000021	ENSGALG00000030985.2	ENSPTRG00000013428.6
OG0000021	ENSGALG00000015358.7	ENSPTRG00000015191.4
OG0000021	ENSGALG00000035594.2	ENSPTRG00000042734.1
OG0000021	ENSGALG00000035960.2	ENSPTRG00000006175.6
OG0000023	ENSGALG00000054820.1	ENSPTRG00000047914.1, ENSPTRG00000041296.2, ENSPTRG00000050187.1, ENSPTRG00000004413.3, ENSPTRG00000003695.4, ENSPTRG00000047267.1, ENSPTRG00000043210.1, ENSPTRG00000043163.1, ENSPTRG00000003692.4, ENSPTRG00000030829.4, ENSPTRG00000006083.2
OG0000025	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7	ENSPTRG00000023404.6, ENSPTRG00000018018.7, ENSPTRG00000023735.6, ENSPTRG00000051243.1, ENSPTRG00000018001.7
OG0000026	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1	ENSPTRG00000017330.3, ENSPTRG00000045415.1, ENSPTRG00000032485.2, ENSPTRG00000028558.3, ENSPTRG00000017341.4, ENSPTRG00000017338.5, ENSPTRG00000017333.3, ENSPTRG00000049042.1, ENSPTRG00000051462.1, ENSPTRG00000049066.1, ENSPTRG00000017334.5, ENSPTRG00000032486.2, ENSPTRG00000017335.4, ENSPTRG00000017343.3, ENSPTRG00000050672.1
OG0000027	ENSGALG00000006241.5	ENSPTRG00000004900.5, ENSPTRG00000012467.6, ENSPTRG00000043972.1, ENSPTRG00000047687.1, ENSPTRG00000049222.1
OG0000027	ENSGALG00000037953.3	ENSPTRG00000004901.5
OG0000027	ENSGALG00000052192.1	ENSPTRG00000045808.1
OG0000027	ENSGALG00000008444.6	ENSPTRG00000002253.4
OG0000027	ENSGALG00000013045.6, ENSGALG00000013056.6	ENSPTRG00000043848.1, ENSPTRG00000043999.1
OG0000027	ENSGALG00000000433.7, ENSGALG00000011324.6	ENSPTRG00000012949.6
OG0000027	ENSGALG00000040260.2	ENSPTRG00000048544.1
OG0000029	ENSGALG00000032672.3	ENSPTRG00000043894.1, ENSPTRG00000051265.1, ENSPTRG00000004979.4, ENSPTRG00000020404.6
OG0000029	ENSGALG00000034868.3	ENSPTRG00000004969.4
OG0000032	ENSGALG00000037290.2	ENSPTRG00000029745.2, ENSPTRG00000005050.4, ENSPTRG00000005052.4, ENSPTRG00000029744.2, ENSPTRG00000048341.1, ENSPTRG00000047388.1, ENSPTRG00000050576.1, ENSPTRG00000045202.1
OG0000033	ENSGALG00000017341.7, ENSGALG00000017342.5	ENSPTRG00000003252.3, ENSPTRG00000003255.7
OG0000034	ENSGALG00000041471.2	ENSPTRG00000017675.6
OG0000034	ENSGALG00000008586.5	ENSPTRG00000023373.3
OG0000034	ENSGALG00000031275.3	ENSPTRG00000009878.6
OG0000034	ENSGALG00000007447.5	ENSPTRG00000013680.2
OG0000050	ENSGALG00000011622.4	ENSPTRG00000018763.6
OG0000051	ENSGALG00000011009.6	ENSPTRG00000012591.6
OG0000051	ENSGALG00000010943.7	ENSPTRG00000012595.6
OG0000051	ENSGALG00000011040.6	ENSPTRG00000012590.7
OG0000051	ENSGALG00000027793.3	ENSPTRG00000012597.7
OG0000051	ENSGALG00000034427.2	ENSPTRG00000009532.6
OG0000051	ENSGALG00000027702.3, ENSGALG00000006072.8, ENSGALG00000006112.6	ENSPTRG00000014762.7
OG0000051	ENSGALG00000043728.2	ENSPTRG00000004959.7
OG0000055	ENSGALG00000041229.2	ENSPTRG00000034080.3
OG0000057	ENSGALG00000045255.2	ENSPTRG00000048232.1
OG0000059	ENSGALG00000028749.4	ENSPTRG00000048969.1
OG0000059	ENSGALG00000009621.7	ENSPTRG00000018890.7, ENSPTRG00000041237.2, ENSPTRG00000022897.5, ENSPTRG00000009762.6
OG0000059	ENSGALG00000009844.7	ENSPTRG00000006890.4
OG0000059	ENSGALG00000011086.6	ENSPTRG00000002086.7
OG0000059	ENSGALG00000006343.6	ENSPTRG00000048353.1, ENSPTRG00000047394.1
OG0000061	ENSGALG00000049665.1	ENSPTRG00000004659.4
OG0000061	ENSGALG00000045540.2, ENSGALG00000042611.3, ENSGALG00000050315.1, ENSGALG00000053510.1, ENSGALG00000042449.2, ENSGALG00000042684.2, ENSGALG00000044598.2, ENSGALG00000047623.1, ENSGALG00000044630.2, ENSGALG00000050091.1, ENSGALG00000044569.2, ENSGALG00000047794.1, ENSGALG00000052376.1, ENSGALG00000051297.1, ENSGALG00000042023.3, ENSGALG00000051677.1, ENSGALG00000028659.2	ENSPTRG00000004661.4, ENSPTRG00000004662.6, ENSPTRG00000043256.1
OG0000062	ENSGALG00000002931.6	ENSPTRG00000001180.6
OG0000063	ENSGALG00000015062.5	ENSPTRG00000020823.3, ENSPTRG00000048038.1, ENSPTRG00000041238.2, ENSPTRG00000043432.1, ENSPTRG00000050673.1, ENSPTRG00000044822.1, ENSPTRG00000044382.1, ENSPTRG00000045595.1, ENSPTRG00000048249.1, ENSPTRG00000045477.1, ENSPTRG00000020820.3, ENSPTRG00000048978.1
OG0000065	ENSGALG00000010969.6	ENSPTRG00000006682.3
OG0000065	ENSGALG00000046409.2, ENSGALG00000020390.5, ENSGALG00000020388.5, ENSGALG00000023070.3	ENSPTRG00000006681.6, ENSPTRG00000006683.3, ENSPTRG00000023582.6, ENSPTRG00000023666.5
OG0000069	ENSGALG00000034988.3	ENSPTRG00000005060.3
OG0000069	ENSGALG00000034701.2, ENSGALG00000041909.2	ENSPTRG00000005113.5
OG0000072	ENSGALG00000048258.1	ENSPTRG00000023694.5, ENSPTRG00000003796.6
OG0000072	ENSGALG00000001661.5	ENSPTRG00000018194.7
OG0000073	ENSGALG00000006512.6	ENSPTRG00000043209.1, ENSPTRG00000050744.1, ENSPTRG00000052825.1, ENSPTRG00000051554.1, ENSPTRG00000004404.6
OG0000074	ENSGALG00000054992.1, ENSGALG00000032796.3, ENSGALG00000051751.1	ENSPTRG00000049562.1, ENSPTRG00000052186.1, ENSPTRG00000043298.1, ENSPTRG00000052633.1, ENSPTRG00000052290.1, ENSPTRG00000043326.1, ENSPTRG00000043797.1
OG0000077	ENSGALG00000034124.3	ENSPTRG00000011432.6, ENSPTRG00000002198.7
OG0000077	ENSGALG00000006904.6	ENSPTRG00000003118.7
OG0000079	ENSGALG00000014750.7	ENSPTRG00000046992.1, ENSPTRG00000052324.1, ENSPTRG00000052787.1, ENSPTRG00000049138.1, ENSPTRG00000046904.1, ENSPTRG00000049879.1, ENSPTRG00000040773.2, ENSPTRG00000052858.1
OG0000081	ENSGALG00000034825.2	ENSPTRG00000004955.4
OG0000081	ENSGALG00000004568.6	ENSPTRG00000034262.3, ENSPTRG00000049760.1
OG0000081	ENSGALG00000039406.2	ENSPTRG00000000197.7
OG0000081	ENSGALG00000027189.3	ENSPTRG00000046509.1, ENSPTRG00000042992.1, ENSPTRG00000042935.1
OG0000083	ENSGALG00000053868.1, ENSGALG00000032717.2, ENSGALG00000043603.2	ENSPTRG00000046869.1
OG0000083	ENSGALG00000034478.2	ENSPTRG00000009039.6, ENSPTRG00000047483.1, ENSPTRG00000045727.1, ENSPTRG00000009037.6, ENSPTRG00000043187.1, ENSPTRG00000030907.4, ENSPTRG00000033677.3
OG0000085	ENSGALG00000036798.3	ENSPTRG00000006031.6
OG0000085	ENSGALG00000008141.6	ENSPTRG00000022173.6
OG0000085	ENSGALG00000016843.7	ENSPTRG00000006032.7
OG0000085	ENSGALG00000048179.1	ENSPTRG00000022171.7
OG0000085	ENSGALG00000004946.6	ENSPTRG00000012991.7
OG0000085	ENSGALG00000038612.2	ENSPTRG00000012992.7
OG0000086	ENSGALG00000005843.5	ENSPTRG00000013737.4
OG0000086	ENSGALG00000015917.7	ENSPTRG00000016737.5
OG0000087	ENSGALG00000001183.6	ENSPTRG00000008746.7
OG0000087	ENSGALG00000006520.7	ENSPTRG00000007810.7
OG0000087	ENSGALG00000043092.2	ENSPTRG00000014309.6
OG0000090	ENSGALG00000038923.2	ENSPTRG00000008209.4, ENSPTRG00000051277.1
OG0000091	ENSGALG00000050544.1, ENSGALG00000054648.1, ENSGALG00000026152.3, ENSGALG00000048325.1, ENSGALG00000043606.2, ENSGALG00000000720.6	ENSPTRG00000000940.5, ENSPTRG00000000938.6, ENSPTRG00000034354.2, ENSPTRG00000000937.5, ENSPTRG00000000934.6, ENSPTRG00000048580.1, ENSPTRG00000000935.6, ENSPTRG00000000939.6
OG0000092	ENSGALG00000013537.7	ENSPTRG00000001375.7
OG0000092	ENSGALG00000003521.7	ENSPTRG00000007141.6, ENSPTRG00000024321.6
OG0000093	ENSGALG00000030550.3	ENSPTRG00000005286.7
OG0000093	ENSGALG00000003601.6	ENSPTRG00000001873.7
OG0000093	ENSGALG00000030908.2	ENSPTRG00000014620.7
OG0000094	ENSGALG00000013838.6	ENSPTRG00000030707.2, ENSPTRG00000048603.1, ENSPTRG00000006493.6
OG0000095	ENSGALG00000019755.4	ENSPTRG00000009613.5, ENSPTRG00000050623.1, ENSPTRG00000022952.5, ENSPTRG00000009611.3
OG0000099	ENSGALG00000005256.6	ENSPTRG00000012967.5
OG0000099	ENSGALG00000015593.6	ENSPTRG00000018428.5
OG0000099	ENSGALG00000015403.5	ENSPTRG00000015127.3
OG0000099	ENSGALG00000021567.5	ENSPTRG00000000316.6
OG0000099	ENSGALG00000011680.6	ENSPTRG00000016095.5
OG0000100	ENSGALG00000000357.7	ENSPTRG00000020084.5, ENSPTRG00000020085.4
OG0000101	ENSGALG00000035086.3	ENSPTRG00000049344.1, ENSPTRG00000005080.7
OG0000101	ENSGALG00000002907.7	ENSPTRG00000012879.6
OG0000101	ENSGALG00000000585.7	ENSPTRG00000024314.6
OG0000101	ENSGALG00000005448.6	ENSPTRG00000014860.6
OG0000102	ENSGALG00000006300.7	ENSPTRG00000003422.7, ENSPTRG00000003423.6, ENSPTRG00000049319.1, ENSPTRG00000007125.6, ENSPTRG00000047792.1, ENSPTRG00000050528.1, ENSPTRG00000050437.1, ENSPTRG00000043159.1, ENSPTRG00000003421.5
OG0000102	ENSGALG00000035836.3	ENSPTRG00000004762.5, ENSPTRG00000042933.1, ENSPTRG00000052843.1
OG0000106	ENSGALG00000042011.3	ENSPTRG00000044399.1, ENSPTRG00000032634.2, ENSPTRG00000031176.4, ENSPTRG00000049417.1
OG0000106	ENSGALG00000009250.6	ENSPTRG00000052830.1, ENSPTRG00000012676.4, ENSPTRG00000018253.5
OG0000108	ENSGALG00000004449.5	ENSPTRG00000019458.7, ENSPTRG00000033773.3, ENSPTRG00000019459.7, ENSPTRG00000019461.7, ENSPTRG00000048873.1
OG0000110	ENSGALG00000027255.3	ENSPTRG00000006589.6
OG0000110	ENSGALG00000009107.6	ENSPTRG00000047199.1
OG0000111	ENSGALG00000011476.7	ENSPTRG00000016192.3
OG0000111	ENSGALG00000016811.6	ENSPTRG00000045367.1, ENSPTRG00000019200.6, ENSPTRG00000046053.1, ENSPTRG00000048384.1
OG0000111	ENSGALG00000034187.2	ENSPTRG00000044122.1, ENSPTRG00000017222.6
OG0000111	ENSGALG00000008633.7	ENSPTRG00000022227.7
OG0000112	ENSGALG00000011805.6	ENSPTRG00000022603.4, ENSPTRG00000031179.3, ENSPTRG00000031178.3, ENSPTRG00000043598.1, ENSPTRG00000043146.1, ENSPTRG00000050567.1, ENSPTRG00000039427.2, ENSPTRG00000016116.6
OG0000113	ENSGALG00000016328.7, ENSGALG00000038652.2, ENSGALG00000028551.4, ENSGALG00000016325.6	ENSPTRG00000018280.6, ENSPTRG00000032454.4, ENSPTRG00000048903.1, ENSPTRG00000018284.3, ENSPTRG00000032453.3
OG0000113	ENSGALG00000016324.3	ENSPTRG00000018285.3
OG0000115	ENSGALG00000044760.2	ENSPTRG00000008721.5, ENSPTRG00000008724.5, ENSPTRG00000008723.4
OG0000115	ENSGALG00000005857.6	ENSPTRG00000002458.5
OG0000116	ENSGALG00000051754.1, ENSGALG00000003690.7	ENSPTRG00000042666.1, ENSPTRG00000009171.4, ENSPTRG00000009172.6, ENSPTRG00000008819.6, ENSPTRG00000009173.6
OG0000116	ENSGALG00000019718.6	ENSPTRG00000009132.5, ENSPTRG00000009166.5, ENSPTRG00000009167.5
OG0000116	ENSGALG00000019719.5	ENSPTRG00000009168.5
OG0000119	ENSGALG00000001262.7	ENSPTRG00000000350.6
OG0000119	ENSGALG00000016020.7	ENSPTRG00000013882.5
OG0000119	ENSGALG00000016707.6	ENSPTRG00000018230.7
OG0000120	ENSGALG00000011783.3, ENSGALG00000031874.2, ENSGALG00000031159.2	ENSPTRG00000017807.3, ENSPTRG00000017796.3, ENSPTRG00000017810.3, ENSPTRG00000017819.4, ENSPTRG00000017858.3, ENSPTRG00000017804.2
OG0000122	ENSGALG00000042358.2, ENSGALG00000044048.2	ENSPTRG00000017893.4, ENSPTRG00000044200.1, ENSPTRG00000047098.1
OG0000126	ENSGALG00000012575.6	ENSPTRG00000021048.7
OG0000126	ENSGALG00000015184.6	ENSPTRG00000021047.6
OG0000126	ENSGALG00000008120.7	ENSPTRG00000007231.7
OG0000127	ENSGALG00000039048.2	ENSPTRG00000019841.5
OG0000127	ENSGALG00000034903.2	ENSPTRG00000019842.3
OG0000127	ENSGALG00000044014.2, ENSGALG00000038657.3	ENSPTRG00000050853.1, ENSPTRG00000023917.4, ENSPTRG00000049199.1, ENSPTRG00000028361.4, ENSPTRG00000019845.6
OG0000129	ENSGALG00000037889.2	ENSPTRG00000013505.6
OG0000129	ENSGALG00000031284.2	ENSPTRG00000009851.6
OG0000129	ENSGALG00000031440.2	ENSPTRG00000000447.7
OG0000129	ENSGALG00000037423.2	ENSPTRG00000018587.7
OG0000130	ENSGALG00000002413.6	ENSPTRG00000009982.7, ENSPTRG00000001293.7, ENSPTRG00000034360.3
OG0000131	ENSGALG00000004394.6	ENSPTRG00000014010.6
OG0000135	ENSGALG00000006152.6, ENSGALG00000025778.4, ENSGALG00000029485.2	ENSPTRG00000013166.7, ENSPTRG00000047284.1, ENSPTRG00000044253.1, ENSPTRG00000013171.6
OG0000136	ENSGALG00000016406.6	ENSPTRG00000052293.1
OG0000136	ENSGALG00000011473.6	ENSPTRG00000018793.6
OG0000136	ENSGALG00000037136.2	ENSPTRG00000000387.6
OG0000136	ENSGALG00000007097.6	ENSPTRG00000022064.4
OG0000137	ENSGALG00000009700.7	ENSPTRG00000019421.3
OG0000137	ENSGALG00000045846.2	ENSPTRG00000009388.4
OG0000137	ENSGALG00000016323.5	ENSPTRG00000021750.6
OG0000137	ENSGALG00000013235.5	ENSPTRG00000012642.6
OG0000138	ENSGALG00000051143.1	ENSPTRG00000051226.1
OG0000138	ENSGALG00000006477.7	ENSPTRG00000052479.1, ENSPTRG00000046598.1
OG0000143	ENSGALG00000001633.7	ENSPTRG00000020152.4
OG0000143	ENSGALG00000005007.6, ENSGALG00000005017.6	ENSPTRG00000002655.6
OG0000143	ENSGALG00000005019.5	ENSPTRG00000002653.5
OG0000144	ENSGALG00000053964.1, ENSGALG00000029857.2	ENSPTRG00000052806.1, ENSPTRG00000028357.4
OG0000147	ENSGALG00000010490.8	ENSPTRG00000003073.5
OG0000147	ENSGALG00000041203.3	ENSPTRG00000015878.6
OG0000147	ENSGALG00000007582.6	ENSPTRG00000017380.6
OG0000147	ENSGALG00000000227.7	ENSPTRG00000020099.4
OG0000149	ENSGALG00000036496.2	ENSPTRG00000010935.5
OG0000149	ENSGALG00000014463.7	ENSPTRG00000002144.4
OG0000149	ENSGALG00000042458.3	ENSPTRG00000006477.6
OG0000150	ENSGALG00000042446.2	ENSPTRG00000007843.6
OG0000150	ENSGALG00000029827.2	ENSPTRG00000034486.3, ENSPTRG00000007846.6, ENSPTRG00000007845.6, ENSPTRG00000050863.1
OG0000151	ENSGALG00000010469.7	ENSPTRG00000000705.5, ENSPTRG00000000708.7
OG0000152	ENSGALG00000052243.1, ENSGALG00000047199.1, ENSGALG00000005795.6, ENSGALG00000049414.1	ENSPTRG00000002780.6, ENSPTRG00000002779.5, ENSPTRG00000002781.6
OG0000153	ENSGALG00000014442.7	ENSPTRG00000004577.6, ENSPTRG00000050523.1, ENSPTRG00000046665.1, ENSPTRG00000039246.2
OG0000154	ENSGALG00000006575.5	ENSPTRG00000019929.4
OG0000154	ENSGALG00000012106.6	ENSPTRG00000012403.3
OG0000154	ENSGALG00000005259.6	ENSPTRG00000043801.1
OG0000154	ENSGALG00000005242.7, ENSGALG00000000274.7, ENSGALG00000005212.5	ENSPTRG00000019048.5, ENSPTRG00000048512.1
OG0000155	ENSGALG00000019277.5	ENSPTRG00000004754.5, ENSPTRG00000004750.6, ENSPTRG00000044231.1
OG0000155	ENSGALG00000019276.5, ENSGALG00000031293.2	ENSPTRG00000004755.7
OG0000155	ENSGALG00000013154.5	ENSPTRG00000004749.3
OG0000156	ENSGALG00000047313.1, ENSGALG00000040120.3	ENSPTRG00000003683.4, ENSPTRG00000003684.3, ENSPTRG00000003685.7, ENSPTRG00000050700.1, ENSPTRG00000029617.3
OG0000158	ENSGALG00000002546.6	ENSPTRG00000047304.1
OG0000158	ENSGALG00000005180.7, ENSGALG00000046817.1	ENSPTRG00000001017.6
OG0000159	ENSGALG00000049450.1	ENSPTRG00000050283.1, ENSPTRG00000042669.1, ENSPTRG00000042977.1, ENSPTRG00000052527.1, ENSPTRG00000042833.1, ENSPTRG00000052579.1, ENSPTRG00000043139.1, ENSPTRG00000050238.1
OG0000160	ENSGALG00000051101.1	ENSPTRG00000018016.4
OG0000162	ENSGALG00000009360.6	ENSPTRG00000002016.6, ENSPTRG00000048164.1
OG0000162	ENSGALG00000009382.7	ENSPTRG00000043346.1
OG0000162	ENSGALG00000010186.7	ENSPTRG00000018215.6
OG0000162	ENSGALG00000041685.2	ENSPTRG00000003869.5
OG0000163	ENSGALG00000010533.7	ENSPTRG00000000723.7
OG0000163	ENSGALG00000015799.6	ENSPTRG00000020830.7
OG0000169	ENSGALG00000030280.3	ENSPTRG00000022593.5, ENSPTRG00000047939.1
OG0000169	ENSGALG00000003800.6	ENSPTRG00000000573.6
OG0000169	ENSGALG00000004123.6	ENSPTRG00000013531.5
OG0000171	ENSGALG00000030614.2	ENSPTRG00000041356.2, ENSPTRG00000039360.2, ENSPTRG00000049233.1
OG0000172	ENSGALG00000006097.5	ENSPTRG00000015341.6
OG0000172	ENSGALG00000001264.6	ENSPTRG00000001933.6
OG0000172	ENSGALG00000006473.5	ENSPTRG00000041884.2
OG0000173	ENSGALG00000040256.2	ENSPTRG00000020494.6
OG0000174	ENSGALG00000032385.2	ENSPTRG00000021945.4
OG0000174	ENSGALG00000040369.2	ENSPTRG00000002267.7
OG0000174	ENSGALG00000002099.6	ENSPTRG00000014889.5
